
[00:00:00.000 --> 00:00:04.000]  各位朋友 各位影子妹 新年好
[00:02:38.000 --> 00:02:40.000]  耳就是聽覺
[00:02:40.000 --> 00:02:42.000]  鼻就是嗅覺
[00:02:42.000 --> 00:02:46.000]  口就是舌頭有味覺
[00:02:46.000 --> 00:02:48.000]  而我們的皮膚
[00:02:48.000 --> 00:02:51.000]  我們的神經就是給我們有觸覺
[00:02:51.000 --> 00:02:54.000]  各位朋友 弟兄姊妹
[00:02:54.000 --> 00:02:58.000]  你有沒有善用你的五官感知
[00:02:58.000 --> 00:03:00.000]  去跟神相遇呢
[00:03:00.000 --> 00:03:03.000]  還是很多時候你是視而不見
[00:03:03.000 --> 00:03:06.000]  聽而不聞 食不知味
[00:03:06.000 --> 00:03:10.000]  又或者你認為神是一個靈
[00:03:10.000 --> 00:03:13.000]  又不是人 又不是物件
[00:03:13.000 --> 00:03:17.000]  我們怎能夠用我們的味覺 嗅覺 觸覺
[00:03:17.000 --> 00:03:19.000]  去跟神相遇呢
[00:03:19.000 --> 00:03:24.000]  不過我想你聽聽主耶穌怎樣說
[00:03:24.000 --> 00:03:28.000]  主耶穌說你要盡心盡性 盡意盡力
[00:03:28.000 --> 00:03:30.000]  愛主你的神
[00:03:30.000 --> 00:03:37.000]  即是我們要用盡全人去愛我們的神
[00:03:37.000 --> 00:03:43.000]  有一個心理學派將人這樣分析
[00:03:43.000 --> 00:03:48.000]  在外在裏面我們有我們的五官和感知
[00:03:48.000 --> 00:03:51.000]  去接收外界給我們的一切
[00:03:51.000 --> 00:03:53.000]  跟外界去接觸
[00:03:53.000 --> 00:03:56.000]  跟著在中間有我們的思想
[00:03:56.000 --> 00:03:58.000]  有我們的回憶 有我們的意念
[00:03:58.000 --> 00:04:05.000]  而在內在裏面有我們的情緒 感受和心靈
[00:04:05.000 --> 00:04:10.000]  所以當耶穌說你要盡心盡性 盡意盡力
[00:04:10.000 --> 00:04:13.000]  身體的力去愛你的上帝的時候
[00:04:13.000 --> 00:04:15.000]  其實就是告訴我們
[00:04:15.000 --> 00:04:17.000]  我們應該善用我們的感知
[00:04:17.000 --> 00:04:24.000]  帶動我們的思想 意念 情感 心靈 身體
[00:04:24.000 --> 00:04:30.000]  整個人去經歷神 去親近神 跟神相遇
[00:04:30.000 --> 00:04:35.000]  怎樣善用五官去跟神相遇呢?
[00:04:35.000 --> 00:04:39.000]  先知以西傑就是一個表表者
[00:04:39.000 --> 00:04:45.000]  他記下了他跟榮耀神相遇夢照的經歷
[00:04:45.000 --> 00:04:51.000]  首先他的視覺看到很多光輝 很閃耀
[00:04:51.000 --> 00:04:56.000]  形狀他看到很多 看到火
[00:04:56.000 --> 00:05:01.000]  他的觸覺看到有狂風吹過來
[00:05:01.000 --> 00:05:06.000]  他也聽到翅膀的聲音
[00:05:06.000 --> 00:05:11.000]  在第二章以西傑記載他聽到神向他說話
[00:05:11.000 --> 00:05:13.000]  和看到一隻手向他伸過來
[00:05:13.000 --> 00:05:16.000]  而手裏面有一卷書卷
[00:05:16.000 --> 00:05:22.000]  在第三章他聽到神對他說
[00:05:22.000 --> 00:05:24.000]  你要吃掉這卷書卷
[00:05:24.000 --> 00:05:26.000]  於是他就吃了
[00:05:26.000 --> 00:05:32.000]  當他吃的時候他還沒覺得這卷書卷很甜
[00:05:32.000 --> 00:05:34.000]  好像蜜糖般甜
[00:05:34.000 --> 00:05:36.000]  他又聽到聲音
[00:05:36.000 --> 00:05:38.000]  聽到翅膀相碰的聲音
[00:05:38.000 --> 00:05:40.000]  聽到輪子的聲音
[00:05:40.000 --> 00:05:42.000]  聽到極大震動的聲音
[00:05:42.000 --> 00:05:46.000]  而他當時的感覺是什麼呢?
[00:05:46.000 --> 00:05:48.000]  很苦惱
[00:05:48.000 --> 00:05:52.000]  但他的靈裡面又很火熱
[00:05:52.000 --> 00:05:58.000]  他更觸感到神的手重重壓在他身上
[00:05:58.000 --> 00:06:03.000]  但他因著這些感官
[00:06:03.000 --> 00:06:08.000]  他感覺到他的靈被聖靈舉起
[00:06:08.000 --> 00:06:10.000]  他不單被聖靈舉起
[00:06:10.000 --> 00:06:14.000]  聖靈還帶他去到一個地方
[00:06:14.000 --> 00:06:19.000]  他在這個地方很驚愕呆了七天
[00:06:19.000 --> 00:06:22.000]  然後他又聽到神的聲音
[00:06:22.000 --> 00:06:24.000]  神呼召他
[00:06:24.000 --> 00:06:26.000]  你要去守望以色列家
[00:06:26.000 --> 00:06:29.000]  叫以色列家聽我的警誡
[00:06:29.000 --> 00:06:35.000]  以色列真是一個能善用五官去經歷神的表表者
[00:06:35.000 --> 00:06:37.000]  在第十章他又是
[00:06:37.000 --> 00:06:43.000]  他看到寶石的形狀
[00:06:43.000 --> 00:06:46.000]  仿佛神的形狀
[00:06:46.000 --> 00:06:51.000]  看到雲彩充滿整個內院
[00:06:51.000 --> 00:06:54.000]  耶和華的榮耀充滿整個院子
[00:06:54.000 --> 00:07:02.000]  他也聽到耶和華向一個穿細碼衣的人說話
[00:07:02.000 --> 00:07:06.000]  他聽到基督發誓旁的聲音
[00:07:06.000 --> 00:07:08.000]  他就在想
[00:07:08.000 --> 00:07:11.000]  這個就是全能神說話的聲音
[00:07:12.000 --> 00:07:17.000]  你可能會認為太奇異了
[00:07:17.000 --> 00:07:21.000]  這個是先知的意象
[00:07:21.000 --> 00:07:22.000]  我又不是先知
[00:07:22.000 --> 00:07:24.000]  我是不會看到神的使者
[00:07:24.000 --> 00:07:27.000]  我是不會聽到神的聲音
[00:07:27.000 --> 00:07:31.000]  如果我聽到和看到真的嚇死我
[00:07:31.000 --> 00:07:33.000]  我想我不會相信是真的
[00:07:33.000 --> 00:07:36.000]  我想我會覺得這個只是我的幻覺
[00:07:36.000 --> 00:07:38.000]  你不要這樣想
[00:07:38.000 --> 00:07:40.000]  各位朋友弟兄姊妹
[00:07:40.000 --> 00:07:44.000]  神固然會用特殊和轟烈的方法
[00:07:44.000 --> 00:07:46.000]  向我們啟示他自己
[00:07:46.000 --> 00:07:52.000]  但是他平時也時時向我們啟示他自己
[00:07:52.000 --> 00:07:57.000]  只要我們能夠懂得或善用我們的五感觀
[00:07:57.000 --> 00:07:59.000]  作為一個媒介
[00:07:59.000 --> 00:08:03.000]  我們就可以像先知以西傑一樣
[00:08:03.000 --> 00:08:06.000]  看到神的榮耀
[00:08:06.000 --> 00:08:09.000]  一樣可以和神相遇
[00:08:09.000 --> 00:08:11.000]  首先講第一方面
[00:08:11.000 --> 00:08:14.000]  我們可以在大自然裏面
[00:08:14.000 --> 00:08:17.000]  用五觀去感應神的偉大
[00:08:17.000 --> 00:08:18.000]  神的榮耀
[00:08:18.000 --> 00:08:21.000]  神的憐憫和神的愛
[00:08:21.000 --> 00:08:22.000]  為什麼呢
[00:08:22.000 --> 00:08:26.000]  因為大自然是神的傑作
[00:08:26.000 --> 00:08:29.000]  在《創世紀》第一章記載了神
[00:08:29.000 --> 00:08:32.000]  用六日創造天地
[00:08:32.000 --> 00:08:34.000]  到他創造完一切的時候
[00:08:34.000 --> 00:08:38.000]  他說看了都非常好
[00:08:38.000 --> 00:08:42.000]  所以我們在大自然裏面
[00:08:42.000 --> 00:08:46.000]  一定經歷到神的偉大和慈愛和好
[00:08:46.000 --> 00:08:48.000]  第二方面
[00:08:48.000 --> 00:08:51.000]  大自然是神的啟示
[00:08:51.000 --> 00:08:54.000]  《羅馬書》第一章二十節說
[00:08:54.000 --> 00:08:56.000]  自從造天地以來
[00:08:56.000 --> 00:09:00.000]  神的永能和神性是明明可知的
[00:09:00.000 --> 00:09:02.000]  雖然眼不能見
[00:09:02.000 --> 00:09:04.000]  但直著所造之物
[00:09:04.000 --> 00:09:06.000]  就可以了解看見
[00:09:06.000 --> 00:09:09.000]  叫人無可推諉
[00:09:09.000 --> 00:09:14.000]  其實神直著大自然啟示他自己
[00:09:14.000 --> 00:09:17.000]  在神學上我們稱之為普遍啟示
[00:09:17.000 --> 00:09:20.000]  即是所有人都可以認識神是創造主
[00:09:20.000 --> 00:09:22.000]  第三
[00:09:22.000 --> 00:09:25.000]  我們可以用五觀在大自然經歷神
[00:09:25.000 --> 00:09:30.000]  是因為神直大自然傳出訊息
[00:09:30.000 --> 00:09:32.000]  這兩幅相
[00:09:32.000 --> 00:09:37.000]  是伊甸天倫一位弟兄拍攝的
[00:09:37.000 --> 00:09:39.000]  他在香港拍攝的
[00:09:39.000 --> 00:09:41.000]  難以相信
[00:09:41.000 --> 00:09:46.000]  當你看見原來香港的星空都這麼美
[00:09:46.000 --> 00:09:49.000]  原來香港的日出都這麼美的時候
[00:09:49.000 --> 00:09:52.000]  你就會接收到神的訊息
[00:09:52.000 --> 00:09:55.000]  神啊 你真是榮耀的神
[00:09:55.000 --> 00:09:57.000]  你真是偉大的神
[00:09:57.000 --> 00:10:00.000]  就好像詩篇第十九篇一至四節說
[00:10:00.000 --> 00:10:02.000]  「諸天述說神的榮耀
[00:10:02.000 --> 00:10:05.000]  窮倉傳揚他的作為
[00:10:05.000 --> 00:10:07.000]  這日到那日發出言語
[00:10:07.000 --> 00:10:09.000]  這夜到那夜傳出知識
[00:10:09.000 --> 00:10:13.000]  無言無語也無聲音可聽
[00:10:13.000 --> 00:10:16.000]  他們的聲浪傳遍天下
[00:10:16.000 --> 00:10:19.000]  他們的言語傳到地極」
[00:10:19.000 --> 00:10:22.000]  只要我們在大自然裏
[00:10:22.000 --> 00:10:25.000]  就會接收到神給我們的訊息
[00:10:25.000 --> 00:10:27.000]  還有
[00:10:27.000 --> 00:10:29.000]  聖經裏面很多人物
[00:10:29.000 --> 00:10:31.000]  最突出的當然是大衛
[00:10:31.000 --> 00:10:33.000]  還有我們的主耶穌基督
[00:10:33.000 --> 00:10:36.000]  他們都時時在曠野那裏
[00:10:36.000 --> 00:10:38.000]  去禱告
[00:10:38.000 --> 00:10:42.000]  去作詩彈琴去教訓人
[00:10:42.000 --> 00:10:44.000]  沒有怪責
[00:10:44.000 --> 00:10:46.000]  Gary Thomas
[00:10:46.000 --> 00:10:52.000]  在「與神相遇認識親近神的心靈路徑」裏這樣說
[00:10:52.000 --> 00:10:55.000]  他說「創造是神的大教堂」
[00:10:55.000 --> 00:10:56.000]  他的意思就是說
[00:10:56.000 --> 00:11:00.000]  大自然其實就是我們朝見神
[00:11:00.000 --> 00:11:03.000]  與神相遇的地方
[00:11:03.000 --> 00:11:05.000]  靈姐妹
[00:11:05.000 --> 00:11:09.000]  你有沒有在大自然裏面
[00:11:09.000 --> 00:11:13.000]  善用五感觀去與神相遇呢?
[00:11:13.000 --> 00:11:16.000]  基督徒當然不同意自然神論
[00:11:16.000 --> 00:11:19.000]  因為大自然不是神
[00:11:19.000 --> 00:11:22.000]  但是我們可以在大自然中
[00:11:22.000 --> 00:11:29.000]  用五觀感知去感應神創造萬物給我們的訊息
[00:11:29.000 --> 00:11:33.000]  就好像詩篇第十九篇
[00:11:33.000 --> 00:11:35.000]  詩人就是一樣
[00:11:35.000 --> 00:11:41.000]  他聽到神的聲浪是全遍天下的
[00:11:41.000 --> 00:11:46.000]  他看到太陽由日出到中午到日落
[00:11:46.000 --> 00:11:52.000]  由天的一邊去到天的另一邊
[00:11:52.000 --> 00:11:54.000]  即是東邊到西邊
[00:11:54.000 --> 00:11:58.000]  他就思想到太陽就像新郎出洞房
[00:11:58.000 --> 00:12:01.000]  又好像勇士歡言不露
[00:12:01.000 --> 00:12:10.000]  他亦感受到太陽出來的熱氣
[00:12:10.000 --> 00:12:15.000]  所以他就是這樣用五觀去經歷到神
[00:12:15.000 --> 00:12:17.000]  給他的訊息
[00:12:17.000 --> 00:12:20.000]  他就作詩寫了詩篇第十九篇出來
[00:12:20.000 --> 00:12:23.000]  我想和大家分享一下
[00:12:23.000 --> 00:12:27.000]  我在大自然藉著五觀感應神的一些經歷
[00:12:27.000 --> 00:12:29.000]  很可能你也有
[00:12:29.000 --> 00:12:33.000]  去郊外退休的時候
[00:12:33.000 --> 00:12:39.000]  我很喜歡剛日出或未日出的時候去散步
[00:12:39.000 --> 00:12:43.000]  我很喜歡聞草的香味
[00:12:43.000 --> 00:12:47.000]  清晨的草的香味很香
[00:12:47.000 --> 00:12:51.000]  我就感到我被主更新
[00:12:51.000 --> 00:12:53.000]  就好像詩篇第23篇所說
[00:12:53.000 --> 00:12:56.000]  他令我的靈魂蘇醒
[00:12:56.000 --> 00:13:01.000]  當我行小徑跟著砌石去行的時候
[00:13:01.000 --> 00:13:05.000]  我就感受到神會這樣引導我
[00:13:05.000 --> 00:13:08.000]  一生行走對的道路
[00:13:08.000 --> 00:13:12.000]  我不要走尾跟著這條路去行
[00:13:12.000 --> 00:13:15.000]  當我聽到小鳥唱歌
[00:13:15.000 --> 00:13:18.000]  看到路邊很多的花
[00:13:18.000 --> 00:13:20.000]  很多的樹木
[00:13:20.000 --> 00:13:22.000]  看到小動物的時候
[00:13:22.000 --> 00:13:27.000]  我就記起馬太福音第六章26至33節耶穌說
[00:13:27.000 --> 00:13:30.000]  天空的飛鳥和野花
[00:13:30.000 --> 00:13:32.000]  祂都是看顧的
[00:13:32.000 --> 00:13:35.000]  所以我的心情就是被帶動了
[00:13:35.000 --> 00:13:37.000]  被我的五觀帶動了
[00:13:37.000 --> 00:13:39.000]  我不再憂慮了
[00:13:39.000 --> 00:13:41.000]  而且信心是增強了
[00:13:41.000 --> 00:13:45.000]  更加在心靈上立志
[00:13:45.000 --> 00:13:49.000]  我真的要先求祂的國和祂的義
[00:13:49.000 --> 00:13:53.000]  我想大家看看這張相片
[00:13:53.000 --> 00:13:54.000]  我不知道你們去過沒有
[00:13:54.000 --> 00:13:57.000]  在土關環的海參公園
[00:13:57.000 --> 00:13:59.000]  在很多年前
[00:13:59.000 --> 00:14:03.000]  我圍著的石頭可以上去
[00:14:03.000 --> 00:14:06.000]  有一次我在這個魚尾石的下面
[00:14:06.000 --> 00:14:08.000]  去祈禱的時候
[00:14:08.000 --> 00:14:12.000]  我感受到涼的風
[00:14:12.000 --> 00:14:15.000]  當時很嘈雜的環境
[00:14:15.000 --> 00:14:17.000]  已經好像消失了
[00:14:17.000 --> 00:14:21.000]  我感受到聖靈好像風一樣在吹吹我
[00:14:21.000 --> 00:14:24.000]  令到我很多的煩惱
[00:14:24.000 --> 00:14:26.000]  很多的緊張都消除了
[00:14:26.000 --> 00:14:29.000]  感受到神的同在
[00:14:29.000 --> 00:14:33.000]  我想大家看看另外一張相片
[00:14:33.000 --> 00:14:36.000]  我自己很喜歡坐海邊
[00:14:36.000 --> 00:14:39.000]  每一次在海邊的裡面
[00:14:39.000 --> 00:14:41.000]  我感受到太陽
[00:14:41.000 --> 00:14:43.000]  曬在我的皮膚上
[00:14:43.000 --> 00:14:45.000]  給我溫暖
[00:14:45.000 --> 00:14:47.000]  我聽到海浪聲
[00:14:47.000 --> 00:14:59.000]  我聽到海浪聲
[00:14:59.000 --> 00:15:05.000]  我看到浪潮去和進
[00:15:05.000 --> 00:15:12.000]  我感恩到神用海浪洗滌我的心靈
[00:15:12.000 --> 00:15:14.000]  我就很安然地
[00:15:14.000 --> 00:15:17.000]  安歇和神同在
[00:15:17.000 --> 00:15:18.000]  享受和神同在
[00:15:18.000 --> 00:15:22.000]  我就可以坐在海邊兩個多小時
[00:15:22.000 --> 00:15:24.000]  很舒服
[00:15:24.000 --> 00:15:27.000]  還有我行山的時候
[00:15:27.000 --> 00:15:29.000]  我看到樹葉
[00:15:29.000 --> 00:15:32.000]  有不同的形狀、口薄、顏色
[00:15:32.000 --> 00:15:35.000]  有些好像毛毛
[00:15:35.000 --> 00:15:37.000]  有些很厚
[00:15:37.000 --> 00:15:41.000]  我就想到神的創造真的很細緻
[00:15:41.000 --> 00:15:43.000]  連樹葉都可以這麼多形狀
[00:15:43.000 --> 00:15:46.000]  所以神創造我都是很獨特的
[00:15:46.000 --> 00:15:50.000]  所以我就滿心感激和欣賞神的創造
[00:15:50.000 --> 00:15:56.000]  當我去看到伊瓜蘇瀑布
[00:15:56.000 --> 00:15:59.000]  看到陝西湖口瀑布
[00:15:59.000 --> 00:16:01.000]  看到冰島、挪威那些大瀑布
[00:16:01.000 --> 00:16:07.000]  我就記起詩篇第93篇
[00:16:07.000 --> 00:16:11.000]  大水揚起,大水發聲,大水澎湃
[00:16:11.000 --> 00:16:15.000]  耶和華在高處大有威力
[00:16:15.000 --> 00:16:18.000]  勝過諸水的聲響,海洋的大浪
[00:16:18.000 --> 00:16:21.000]  當我大聲說話
[00:16:21.000 --> 00:16:22.000]  我的家人都聽不到
[00:16:22.000 --> 00:16:25.000]  被瀑布的聲音蓋過
[00:16:25.000 --> 00:16:28.000]  當瀑布的水一直這樣滴下來
[00:16:28.000 --> 00:16:30.000]  沾著我的皮膚的時候
[00:16:30.000 --> 00:16:32.000]  我就真的感受到
[00:16:32.000 --> 00:16:34.000]  神真的很厲害
[00:16:34.000 --> 00:16:37.000]  神很有能力,很有威嚴
[00:16:37.000 --> 00:16:39.000]  所以我會謙卑下來
[00:16:39.000 --> 00:16:40.000]  我跟神說
[00:16:40.000 --> 00:16:43.000]  我一生都以祢做我的王
[00:16:43.000 --> 00:16:48.000]  當我去到大自然裡
[00:16:48.000 --> 00:16:49.000]  冰島
[00:16:49.000 --> 00:16:53.000]  看到冰塊一下子可以崩下來
[00:16:53.000 --> 00:16:57.000]  看到一些六角形的柱石
[00:16:57.000 --> 00:17:00.000]  本來應該一根根向上動
[00:17:00.000 --> 00:17:03.000]  但是因為地殼的變動
[00:17:03.000 --> 00:17:05.000]  令它變成一個螺旋形
[00:17:05.000 --> 00:17:07.000]  好像一塊牆一樣
[00:17:07.000 --> 00:17:10.000]  我又看到有火山口
[00:17:10.000 --> 00:17:15.000]  有一些天然的石橋
[00:17:15.000 --> 00:17:18.000]  我就想起詩篇第104篇
[00:17:18.000 --> 00:17:20.000]  他看地,地面震動
[00:17:20.000 --> 00:17:22.000]  他摸山,山就無煙
[00:17:22.000 --> 00:17:23.000]  看到火山湖
[00:17:23.000 --> 00:17:24.000]  我就看到
[00:17:24.000 --> 00:17:29.000]  原來神令地殼曾經有很大的變動
[00:17:29.000 --> 00:17:32.000]  我就對神產生敬畏
[00:17:32.000 --> 00:17:34.000]  不過我又不是害怕
[00:17:34.000 --> 00:17:38.000]  反而對神的信心大增
[00:17:38.000 --> 00:17:39.000]  為什麼呢?
[00:17:39.000 --> 00:17:44.000]  因為我又因感官令我記起
[00:17:44.000 --> 00:17:45.000]  思想起
[00:17:45.000 --> 00:17:47.000]  神是我的避難所
[00:17:47.000 --> 00:17:48.000]  是我的力量
[00:17:48.000 --> 00:17:50.000]  地雖然改變
[00:17:50.000 --> 00:17:52.000]  山雖然動搖
[00:17:52.000 --> 00:17:54.000]  水雖然澎湃
[00:17:54.000 --> 00:17:56.000]  但是我都不害怕
[00:17:56.000 --> 00:18:01.000]  當我看到一些奇石
[00:18:01.000 --> 00:18:05.000]  很特別形狀的奇石
[00:18:05.000 --> 00:18:09.000]  我就覺得這些是神的雕塑
[00:18:09.000 --> 00:18:17.000]  當我看到日出、日落、晚霞、極光、星空
[00:18:17.000 --> 00:18:21.000]  我就覺得天空其實是神的畫布
[00:18:21.000 --> 00:18:28.000]  還有當我看到河水或湖面
[00:18:28.000 --> 00:18:33.000]  它反映出天空的雲彩、天空的影像的時候
[00:18:33.000 --> 00:18:36.000]  我就覺得水就是天空之鏡
[00:18:36.000 --> 00:18:38.000]  是神創造天空的鏡
[00:18:38.000 --> 00:18:44.000]  其實每逢我看到很美麗神的創造的時候
[00:18:44.000 --> 00:18:46.000]  我的心靈都會被觸動
[00:18:46.000 --> 00:18:48.000]  我就會不期然地唱
[00:18:48.000 --> 00:18:49.000]  「你真偉大」
[00:18:49.000 --> 00:18:50.000]  唱「無盡讚嘆」
[00:18:50.000 --> 00:18:52.000]  唱「人算甚麼」
[00:18:52.000 --> 00:18:58.000]  「耶和華,我們的主,你的名,在全地何其美」
[00:18:58.000 --> 00:19:02.000]  當我觀看你使頭所造的天
[00:19:02.000 --> 00:19:05.000]  並你所陳設的月亮星宿
[00:19:05.000 --> 00:19:09.000]  我就會知道「人算甚麼」
[00:19:09.000 --> 00:19:11.000]  你竟然顧念我們
[00:19:11.000 --> 00:19:13.000]  「世人算甚麼」
[00:19:13.000 --> 00:19:15.000]  你竟然顧念我們
[00:19:15.000 --> 00:19:19.000]  「耶和華,我們的主,你的名,在全地何其美」
[00:19:19.000 --> 00:19:21.000]  「耶和華,我們的主,你的名,在全地何其美」
[00:19:21.000 --> 00:19:25.000]  各位朋友、電影姐妹
[00:19:25.000 --> 00:19:28.000]  我們雖然不能去外遊
[00:19:28.000 --> 00:19:30.000]  但是當你去戶外的時候
[00:19:30.000 --> 00:19:33.000]  你打卡、拍照是不錯的
[00:19:33.000 --> 00:19:37.000]  去戶外行山可以健身很好
[00:19:37.000 --> 00:19:41.000]  和家人在戶外談心更加好
[00:19:41.000 --> 00:19:45.000]  但是如果我們再加多一樣
[00:19:45.000 --> 00:19:48.000]  在大自然裡面去安靜
[00:19:48.000 --> 00:19:51.000]  善用我們的五感觀
[00:19:51.000 --> 00:19:55.000]  去經歷神、去感應神、去親近神、與神相遇
[00:19:55.000 --> 00:20:00.000]  提升我們對神的讚嘆、敬畏和信靠
[00:20:00.000 --> 00:20:02.000]  好像私人一樣
[00:20:02.000 --> 00:20:06.000]  這樣就真的最好了
[00:20:06.000 --> 00:20:09.000]  其實不單止在大自然
[00:20:09.000 --> 00:20:15.000]  我們也可以在聖禮裡面用五觀去經歷神的臨在
[00:20:15.000 --> 00:20:19.000]  基督教有兩個聖禮
[00:20:19.000 --> 00:20:24.000]  聖禮是神恩典之約的外在表記
[00:20:24.000 --> 00:20:27.000]  我們藉著聖禮是紀念神
[00:20:27.000 --> 00:20:32.000]  藉著主耶穌基督救贖給我們的大恩典
[00:20:32.000 --> 00:20:40.000]  聖餐就是主耶穌基督在雨節晚餐的時候親自設立的
[00:20:40.000 --> 00:20:45.000]  以色列人每逢雨節的時候
[00:20:45.000 --> 00:20:50.000]  藉著吃和嘗雨節晚餐每一道菜餚
[00:20:50.000 --> 00:20:56.000]  去紀念神怎樣拯救以色列人脫離圍爐的苦況
[00:20:56.000 --> 00:21:01.000]  還有怎樣救贖以色列人去到流奶與麥
[00:21:01.000 --> 00:21:04.000]  就是這個恩典之地
[00:21:04.000 --> 00:21:07.000]  在2020年的壽苦節
[00:21:07.000 --> 00:21:13.000]  因為疫情的緣故恩福堂沒有壽苦節的晚會
[00:21:13.000 --> 00:21:20.000]  我就做了一席雨節的菜餚
[00:21:20.000 --> 00:21:23.000]  和我的家人一起去品嘗
[00:21:23.000 --> 00:21:27.000]  當我們喝那些鹽水
[00:21:27.000 --> 00:21:28.000]  找到那些鹹味
[00:21:28.000 --> 00:21:30.000]  當我們嘗那些苦菜
[00:21:30.000 --> 00:21:34.000]  我們就想起以色列人圍爐之苦
[00:21:34.000 --> 00:21:40.000]  也想起自己在最終的時候的煩惱和苦況
[00:21:40.000 --> 00:21:46.000]  當我們吃那些甜的果蓉的時候
[00:21:46.000 --> 00:21:55.000]  我們就會感覺到神的拯救真是帶我們去一個甜蜜的人生境地裏
[00:21:55.000 --> 00:21:59.000]  主耶穌就是這樣在雨節晚餐裏面
[00:21:59.000 --> 00:22:05.000]  祂同樣叫祂的門徒包括我們自己
[00:22:05.000 --> 00:22:08.000]  都是去吃
[00:22:08.000 --> 00:22:11.000]  祂說這是我的身體
[00:22:11.000 --> 00:22:14.000]  接著祂拿一杯來祝謝
[00:22:14.000 --> 00:22:16.000]  祂說你們都喝這個
[00:22:16.000 --> 00:22:20.000]  這個是我立約的血
[00:22:20.000 --> 00:22:25.000]  所以主耶穌都叫我們吃喝和嘗
[00:22:25.000 --> 00:22:30.000]  所以弟兄姊妹你們領聖餐的時候
[00:22:30.000 --> 00:22:36.000]  你們有沒有用你的感官去投入去領聖餐呢?
[00:22:36.000 --> 00:22:40.000]  當你們用手抹餅的時候
[00:22:40.000 --> 00:22:44.000]  你們有沒有用手看著餅裏裏裂開呢?
[00:22:44.000 --> 00:22:49.000]  你們有沒有用耳去留心餅裏裂開的聲音呢?
[00:22:49.000 --> 00:22:52.000]  你們有沒有在做這個動作的時候
[00:22:52.000 --> 00:23:00.000]  你同時聯想到我們曾經因為罪而痛苦
[00:23:00.000 --> 00:23:02.000]  耶穌就是為我們贖罪
[00:23:02.000 --> 00:23:04.000]  身體就是抹開
[00:23:04.000 --> 00:23:07.000]  為我們的罪撕裂那個痛苦呢?
[00:23:07.000 --> 00:23:10.000]  當我們咬個餅
[00:23:10.000 --> 00:23:11.000]  咀嚼個餅
[00:23:11.000 --> 00:23:13.000]  吞個餅的時候
[00:23:13.000 --> 00:23:20.000]  你有沒有同時聯想到主耶穌已經進入了我們的生命裏面呢?
