
[00:00:00.000 --> 00:00:03.300]  鼎姐妹早晨 不如給點掌聲敬拜隊好嗎
[00:01:26.000 --> 00:01:29.000]  這句話的意思是
[00:01:29.000 --> 00:01:34.000]  一些長輩或前人曾經經歷過這個階段
[00:01:34.000 --> 00:01:37.000]  他語重心長地跟後輩說
[00:01:37.000 --> 00:01:43.000]  結婚後想生小朋友就要早點計劃 早點預備
[00:01:43.000 --> 00:01:46.000]  早日踏入這個階段
[00:01:46.000 --> 00:01:50.000]  年輕人照顧小朋友就不會那麼辛苦
[00:01:50.000 --> 00:01:53.000]  早日脫身後 也不會那麼辛苦
[00:01:53.000 --> 00:01:56.000]  這個提醒對於我來說
[00:01:56.000 --> 00:01:58.000]  當時我聽不進耳
[00:01:58.000 --> 00:02:00.000]  當時未到這個階段
[00:02:00.000 --> 00:02:03.000]  自己也不知道有沒有這個階段
[00:02:03.000 --> 00:02:06.000]  結婚後弟兄姊妹經常跟我說
[00:02:06.000 --> 00:02:08.000]  何時生小朋友
[00:02:08.000 --> 00:02:10.000]  我說不要催我
[00:02:10.000 --> 00:02:12.000]  生就會自然生
[00:02:12.000 --> 00:02:14.000]  不生的也生不了
[00:02:14.000 --> 00:02:17.000]  但到今天有兩個小朋友之後
[00:02:17.000 --> 00:02:20.000]  這句話對於我來說
[00:02:20.000 --> 00:02:23.000]  真的很深體會
[00:02:23.000 --> 00:02:28.000]  我終於親身體會到這句話當中的奧秘
[00:02:28.000 --> 00:02:30.000]  現在一把年紀
[00:02:30.000 --> 00:02:32.000]  照顧兩個小朋友
[00:02:32.000 --> 00:02:35.000]  我和太太還有一條漫長的路
[00:02:35.000 --> 00:02:38.000]  今天做了爸爸之後
[00:02:38.000 --> 00:02:41.000]  我們最擔心的一方面是子女的學習
[00:02:41.000 --> 00:02:43.000]  也很擔心子女的成長
[00:02:43.000 --> 00:02:45.000]  我相信我最擔心的是
[00:02:45.000 --> 00:02:47.000]  他們跟神怎樣建立關係
[00:02:47.000 --> 00:02:50.000]  我相信這是教會弟兄姊妹
[00:02:50.000 --> 00:02:54.000]  跟我一樣很關心小朋友的屬靈生命
[00:02:54.000 --> 00:02:56.000]  今天是兒童主日
[00:02:56.000 --> 00:02:58.000]  作為兒童部的童工
[00:02:58.000 --> 00:03:02.000]  我們教會差不多有一千名兒童聚會
[00:03:02.000 --> 00:03:04.000]  今天教會的小朋友
[00:03:04.000 --> 00:03:06.000]  我們有什麼可以留意的地方呢?
[00:03:06.000 --> 00:03:08.000]  我們一起看看《馬可福音》
[00:03:08.000 --> 00:03:10.000]  十章十三至十六節
[00:03:10.000 --> 00:03:12.000]  四節經文而已 很簡單
[00:03:12.000 --> 00:03:13.000]  我們一起讀 好不好?
[00:03:13.000 --> 00:03:15.000]  預備 一二三 起
[00:03:15.000 --> 00:03:18.000]  「帶著小孩子來見耶穌
[00:03:18.000 --> 00:03:20.000]  耶穌摸他們
[00:03:20.000 --> 00:03:22.000]  門徒便責備那些人
[00:03:22.000 --> 00:03:26.000]  耶穌看見就怒怒對他們說
[00:03:26.000 --> 00:03:28.000]  讓小孩子到我這裡來
[00:03:28.000 --> 00:03:30.000]  不要禁止他們
[00:03:30.000 --> 00:03:33.000]  因為在神國的正是這樣的人
[00:03:33.000 --> 00:03:35.000]  我實在告訴你們
[00:03:35.000 --> 00:03:37.000]  凡要承受神國的
[00:03:37.000 --> 00:03:39.000]  若不像小孩子
[00:03:39.000 --> 00:03:41.000]  斷不能進去
[00:03:41.000 --> 00:03:43.000]  於是抱著小孩子
[00:03:43.000 --> 00:03:45.000]  給他們按手
[00:03:45.000 --> 00:03:46.000]  為他們祝福」
[00:03:46.000 --> 00:03:48.000]  緊接著我們一起祈禱
[00:03:48.000 --> 00:03:54.000]  天父我們來到你面前去禱告
[00:03:54.000 --> 00:03:58.000]  天父我們很想聽到你的教導
[00:03:58.000 --> 00:04:00.000]  天父幫我們打開心
[00:04:00.000 --> 00:04:04.000]  讓我們謙卑去學習你的真理
[00:04:04.000 --> 00:04:06.000]  也讓我們有渴求的心
[00:04:06.000 --> 00:04:09.000]  天父求你向我們講話
[00:04:09.000 --> 00:04:11.000]  多謝你聽我們禱告
[00:04:11.000 --> 00:04:13.000]  教託奉主耶穌基督的名求
[00:04:13.000 --> 00:04:14.000]  阿們
[00:04:14.000 --> 00:04:16.000]  今天講到經文
[00:04:16.000 --> 00:04:20.000]  記載在馬可福音十章十三至十六節
[00:04:20.000 --> 00:04:22.000]  耶穌祝福小孩的故事
[00:04:22.000 --> 00:04:24.000]  這段經文同樣記載在
[00:04:24.000 --> 00:04:26.000]  馬太福音十九章
[00:04:26.000 --> 00:04:27.000]  路加福音十八章
[00:04:27.000 --> 00:04:29.000]  同樣都有記載這個故事
[00:04:29.000 --> 00:04:32.000]  比較詳盡是在馬可福音
[00:04:32.000 --> 00:04:34.000]  內容大致都講到
[00:04:34.000 --> 00:04:36.000]  有人帶小孩來見耶穌
[00:04:36.000 --> 00:04:38.000]  門徒便責備他們
[00:04:38.000 --> 00:04:42.000]  最後耶穌祝福這班小孩子
[00:04:42.000 --> 00:04:48.000]  門徒和耶穌的態度明顯有分別
[00:04:48.000 --> 00:04:50.000]  馬可福音有三次預言
[00:04:50.000 --> 00:04:52.000]  耶穌會遇害受死
[00:04:52.000 --> 00:04:54.000]  在第九章第十章
[00:04:54.000 --> 00:04:57.000]  是耶穌第二次預言裡
[00:04:57.000 --> 00:04:59.000]  有幾件事發生
[00:04:59.000 --> 00:05:01.000]  耶穌也教導門徒
[00:05:01.000 --> 00:05:04.000]  不要單單看那件事本身
[00:05:04.000 --> 00:05:06.000]  門徒要我們
[00:05:06.000 --> 00:05:10.000]  耶穌要我們能夠看到天國的眼光
[00:05:10.000 --> 00:05:12.000]  用一個屬靈的態度
[00:05:12.000 --> 00:05:14.000]  去看當時的事情
[00:05:14.000 --> 00:05:17.000]  第九章門徒爭論誰為大
[00:05:17.000 --> 00:05:20.000]  他說:凡為我的名
[00:05:20.000 --> 00:05:22.000]  接待一個像小孩子的
[00:05:22.000 --> 00:05:24.000]  就是接待我
[00:05:24.000 --> 00:05:25.000]  凡接待我的
[00:05:25.000 --> 00:05:26.000]  不是接待我
[00:05:26.000 --> 00:05:29.000]  乃是接待那差我來的
[00:05:29.000 --> 00:05:31.000]  耶穌指出給門徒知道
[00:05:31.000 --> 00:05:33.000]  大家都是自己人
[00:05:33.000 --> 00:05:36.000]  如果我們是為了他的名字的緣故
[00:05:36.000 --> 00:05:38.000]  就不要分大小
[00:05:38.000 --> 00:05:40.000]  我們在主面前
[00:05:40.000 --> 00:05:42.000]  我們全部都是小孩子
[00:05:42.000 --> 00:05:44.000]  我們去服侍小孩子的時候
[00:05:44.000 --> 00:05:46.000]  就等於服侍我
[00:05:46.000 --> 00:05:47.000]  意思是這樣
[00:05:47.000 --> 00:05:49.000]  其後有一個人
[00:05:49.000 --> 00:05:50.000]  奉耶穌的名趕鬼
[00:05:50.000 --> 00:05:52.000]  耶穌說不要禁止他
[00:05:52.000 --> 00:05:55.000]  不抵擋我們就是幫助我們
[00:05:55.000 --> 00:05:58.000]  耶穌指出給門徒知道
[00:05:58.000 --> 00:06:00.000]  對外面的人
[00:06:00.000 --> 00:06:02.000]  不要有排外的心態
[00:06:02.000 --> 00:06:04.000]  既然我們奉主的名緣故
[00:06:04.000 --> 00:06:06.000]  就不要分彼此
[00:06:06.000 --> 00:06:07.000]  不要分派別
[00:06:07.000 --> 00:06:10.000]  我們也可以同一陣線
[00:06:10.000 --> 00:06:12.000]  接著耶穌更提醒
[00:06:12.000 --> 00:06:14.000]  不要使人跌倒
[00:06:14.000 --> 00:06:17.000]  凡使者信我的一個小子跌倒
[00:06:17.000 --> 00:06:19.000]  倒不如把拜磨石
[00:06:19.000 --> 00:06:21.000]  山在者人的頸項上
[00:06:21.000 --> 00:06:23.000]  仍在海裡
[00:06:23.000 --> 00:06:25.000]  耶穌提醒我們
[00:06:25.000 --> 00:06:28.000]  使人跌倒是很嚴重的
[00:06:28.000 --> 00:06:30.000]  要徹底去清除
[00:06:30.000 --> 00:06:32.000]  免得阻礙我們進入神的國
[00:06:32.000 --> 00:06:34.000]  在這幾件事裡
[00:06:34.000 --> 00:06:36.000]  馬可整個段落
[00:06:36.000 --> 00:06:39.000]  耶穌也給我們另一個角度
[00:06:39.000 --> 00:06:40.000]  另一個價值觀
[00:06:40.000 --> 00:06:43.000]  另一個看法去看當時的事
[00:06:43.000 --> 00:06:46.000]  今天我們透過耶穌的祝福
[00:06:46.000 --> 00:06:48.000]  讓我們作為牧者
[00:06:48.000 --> 00:06:49.000]  導師
[00:06:49.000 --> 00:06:50.000]  父母
[00:06:50.000 --> 00:06:51.000]  弟兄姊妹
[00:06:51.000 --> 00:06:53.000]  讓我們學習一個
[00:06:53.000 --> 00:06:55.000]  有一個熟悉的眼光
[00:06:55.000 --> 00:06:57.000]  看今天的孩子
[00:06:57.000 --> 00:06:58.000]  我們一起進入經文裡
[00:06:58.000 --> 00:07:00.000]  來理解耶穌的教導
[00:07:00.000 --> 00:07:03.000]  第一個重點是好心做壞事
[00:07:03.000 --> 00:07:05.000]  經文第十三節
[00:07:05.000 --> 00:07:08.000]  提到有人帶著小孩子來見耶穌
[00:07:08.000 --> 00:07:09.000]  要耶穌摸他們
[00:07:09.000 --> 00:07:11.000]  門徒責備他們
[00:07:11.000 --> 00:07:12.000]  為什麼呢?
[00:07:12.000 --> 00:07:15.000]  今天的孩子很幸福
[00:07:15.000 --> 00:07:18.000]  每件事都以他們為先
[00:07:18.000 --> 00:07:20.000]  很多大人圍著他們
[00:07:20.000 --> 00:07:21.000]  阿公阿婆
[00:07:21.000 --> 00:07:22.000]  阿爺阿嬤
[00:07:22.000 --> 00:07:23.000]  阿爸阿媽
[00:07:23.000 --> 00:07:26.000]  還有工人在後面幫他們拿書包
[00:07:26.000 --> 00:07:28.000]  他們還沒出生的時候
[00:07:28.000 --> 00:07:30.000]  已經幫他們預備了很多
[00:07:30.000 --> 00:07:32.000]  出生之後
[00:07:32.000 --> 00:07:34.000]  還有很多陸陸續續的安排
[00:07:34.000 --> 00:07:36.000]  我相信我們這一代
[00:07:36.000 --> 00:07:38.000]  很關心我們的孩子
[00:07:38.000 --> 00:07:41.000]  但古時猶太不是這樣的
[00:07:41.000 --> 00:07:43.000]  當時物質不豐富
[00:07:43.000 --> 00:07:46.000]  社會位置不高
[00:07:46.000 --> 00:07:49.000]  當時的孩子沒有什麼人理會
[00:07:49.000 --> 00:07:50.000]  沒有什麼人留意
[00:07:50.000 --> 00:07:53.000]  孩子根本不顯眼
[00:07:53.000 --> 00:07:55.000]  所以當時的父母
[00:07:55.000 --> 00:08:00.000]  很需要依賴外邊的供應和幫助
[00:08:00.000 --> 00:08:03.000]  再加上當時耶穌到處去醫治
[00:08:03.000 --> 00:08:04.000]  趕鬼
[00:08:04.000 --> 00:08:07.000]  用手去摸麻瘋病人
[00:08:07.000 --> 00:08:09.000]  伸手一摸就好了
[00:08:09.000 --> 00:08:12.000]  摸這個字是祝我
[00:08:12.000 --> 00:08:13.000]  阿注
[00:08:13.000 --> 00:08:15.000]  表達有祝福的意思
[00:08:15.000 --> 00:08:17.000]  所以當時的民眾
[00:08:17.000 --> 00:08:19.000]  深信當耶穌一摸他們
[00:08:19.000 --> 00:08:22.000]  他們的孩子就得到很大的祝福
[00:08:22.000 --> 00:08:23.000]  祝福這個觀念
[00:08:23.000 --> 00:08:26.000]  在舊約裡的《創世紀》已經看到
[00:08:26.000 --> 00:08:28.000]  默基世德對阿伯拉罕的祝福
[00:08:28.000 --> 00:08:30.000]  以撒對雅各的祝福
[00:08:30.000 --> 00:08:32.000]  弟兄姊妹
[00:08:32.000 --> 00:08:34.000]  為什麼祝福這麼重要呢?
[00:08:34.000 --> 00:08:36.000]  在你心目中
[00:08:36.000 --> 00:08:38.000]  神的祝福是什麼呢?
[00:08:38.000 --> 00:08:41.000]  你覺得祝福重要嗎?
[00:08:41.000 --> 00:08:46.000]  祝福是我們認定一切都是從神而來的
[00:08:46.000 --> 00:08:50.000]  所有東西都是神賜給我們
[00:08:50.000 --> 00:08:53.000]  我們是有份神的恩典當中
[00:08:53.000 --> 00:08:56.000]  所以這群人很渴望這些祝福
[00:08:56.000 --> 00:08:59.000]  很渴望他們的孩子得到這些祝福
[00:08:59.000 --> 00:09:01.000]  在第十三節
[00:09:01.000 --> 00:09:03.000]  當時門徒責備他們
[00:09:03.000 --> 00:09:06.000]  為什麼門徒會阻止他們呢?
[00:09:06.000 --> 00:09:11.000]  責備有斥責、責備和警告的意思
[00:09:11.000 --> 00:09:14.000]  這群人很渴望親近耶穌
[00:09:14.000 --> 00:09:16.000]  很渴望得到耶穌的祝福
[00:09:16.000 --> 00:09:20.000]  但是竟然門徒阻止了這群人
[00:09:20.000 --> 00:09:24.000]  可能門徒也出自好意
[00:09:24.000 --> 00:09:26.000]  幫助耶穌擋一擋
[00:09:26.000 --> 00:09:27.000]  每個人都來找耶穌
[00:09:27.000 --> 00:09:29.000]  每個人都說很大需要
[00:09:29.000 --> 00:09:31.000]  那豈不是渾身沒空
[00:09:31.000 --> 00:09:34.000]  如果我們音福堂每個人都來找堂主任
[00:09:34.000 --> 00:09:38.000]  我想我們正常也會擋一擋
[00:09:38.000 --> 00:09:41.000]  所以門徒攔一攔是很自然的事
[00:09:41.000 --> 00:09:42.000]  除此之外
[00:09:42.000 --> 00:09:46.000]  門徒可能也帶著有色眼鏡
[00:09:46.000 --> 00:09:47.000]  剛才也說過
[00:09:47.000 --> 00:09:50.000]  這群人沒有人理會
[00:09:50.000 --> 00:09:51.000]  沒有人留意他們
[00:09:51.000 --> 00:09:53.000]  他們很需要人去幫助
[00:09:53.000 --> 00:09:57.000]  所以門徒帶著一些人的想法
[00:09:57.000 --> 00:09:58.000]  人的思想
[00:09:58.000 --> 00:10:00.000]  小看他們
[00:10:00.000 --> 00:10:01.000]  看不起他們
[00:10:01.000 --> 00:10:03.000]  覺得這群人去找耶穌麻煩
[00:10:03.000 --> 00:10:06.000]  所以門徒就阻攔這群人
[00:10:06.000 --> 00:10:07.000]  弟姐妹
[00:10:07.000 --> 00:10:09.000]  今天我們作為父母
[00:10:09.000 --> 00:10:10.000]  作為家長
[00:10:10.000 --> 00:10:12.000]  有沒有一些事情
[00:10:12.000 --> 00:10:16.000]  其實你也是在阻礙子女的親近主呢?
[00:10:16.000 --> 00:10:18.000]  可能我們出發點也是好的
[00:10:18.000 --> 00:10:19.000]  但可能相反
[00:10:19.000 --> 00:10:21.000]  我們好心做壞事
[00:10:21.000 --> 00:10:22.000]  大家都知道
[00:10:22.000 --> 00:10:25.000]  之前大部份都是用Zoom進行
[00:10:25.000 --> 00:10:26.000]  其實我的子女
[00:10:26.000 --> 00:10:28.000]  同樣也是面對這個情況
[00:10:28.000 --> 00:10:30.000]  上課的時候
[00:10:30.000 --> 00:10:32.000]  他們很不專心
[00:10:32.000 --> 00:10:35.000]  眼睛看著螢幕
[00:10:35.000 --> 00:10:37.000]  但其實手在做其他事
[00:10:37.000 --> 00:10:39.000]  我看到
[00:10:39.000 --> 00:10:40.000]  不行啊女兒
[00:10:40.000 --> 00:10:42.000]  你要專心點
[00:10:42.000 --> 00:10:45.000]  不要這樣那樣
[00:10:45.000 --> 00:10:46.000]  不斷提醒她
[00:10:46.000 --> 00:10:47.000]  一定要對著螢幕
[00:10:47.000 --> 00:10:49.000]  不然就不行
[00:10:49.000 --> 00:10:50.000]  不可以
[00:10:50.000 --> 00:10:51.000]  提醒得口水都乾了
[00:10:51.000 --> 00:10:53.000]  不如這樣吧
[00:10:53.000 --> 00:10:54.000]  爸爸陪你
[00:10:54.000 --> 00:10:56.000]  我陪你一起Zoom
[00:10:56.000 --> 00:10:58.000]  我相信你會好一點
[00:10:58.000 --> 00:10:59.000]  真的
[00:10:59.000 --> 00:11:02.000]  當我坐在他旁邊陪他一起Zoom的時候
[00:11:02.000 --> 00:11:03.000]  他有改善
[00:11:03.000 --> 00:11:05.000]  他專心了很多
[00:11:05.000 --> 00:11:07.000]  不過我在旁邊陪著他的時候
[00:11:07.000 --> 00:11:12.000]  我覺得我自己好像是在監察著他
[00:11:12.000 --> 00:11:13.000]  提醒他開鏡頭
[00:11:13.000 --> 00:11:15.000]  主動跟別人分享
[00:11:15.000 --> 00:11:17.000]  舉手回答問題
[00:11:17.000 --> 00:11:19.000]  有時候我也在想
[00:11:19.000 --> 00:11:21.000]  其實我在旁邊陪著他
[00:11:21.000 --> 00:11:24.000]  我的子女想不想呢
[00:11:24.000 --> 00:11:26.000]  還是我坐在旁邊
[00:11:26.000 --> 00:11:29.000]  整個大人或一個爸爸坐在旁邊
[00:11:29.000 --> 00:11:32.000]  其實也在阻礙他跟同學相處呢
[00:11:32.000 --> 00:11:34.000]  或者他也想跟老師建立關係
[00:11:34.000 --> 00:11:37.000]  但爸爸就坐在旁邊
[00:11:37.000 --> 00:11:39.000]  或者我提點也是好的
[00:11:39.000 --> 00:11:41.000]  舉手吧 開鏡頭吧
[00:11:41.000 --> 00:11:43.000]  但我可能坐在旁邊
[00:11:43.000 --> 00:11:46.000]  也是影響子女學習
[00:11:46.000 --> 00:11:49.000]  我覺得這就是好心做壞事
[00:11:49.000 --> 00:11:51.000]  另外我也想跟大家分享
[00:11:51.000 --> 00:11:54.000]  星期六我在BB君作隊
[00:11:54.000 --> 00:11:57.000]  現在也是用Zoom進行
[00:11:57.000 --> 00:12:00.000]  我們邀請了幾位資深隊員
[00:12:00.000 --> 00:12:03.000]  跟我們分享一些生命故事
[00:12:03.000 --> 00:12:06.000]  他們的分享給我們很大的鼓勵
[00:12:06.000 --> 00:12:07.000]  很大的激勵
[00:12:07.000 --> 00:12:08.000]  因為他們分享到
[00:12:08.000 --> 00:12:11.000]  他們在BB君中怎樣成長
[00:12:11.000 --> 00:12:13.000]  怎樣學習
[00:12:13.000 --> 00:12:15.000]  怎樣難忘
[00:12:15.000 --> 00:12:18.000]  我作為一個隊伍很為他們感恩
[00:12:18.000 --> 00:12:20.000]  不過我聽完他們分享的時候
[00:12:20.000 --> 00:12:21.000]  我也在想
[00:12:21.000 --> 00:12:23.000]  一班年青人 一班小朋友
[00:12:23.000 --> 00:12:25.000]  他們回到BB君
[00:12:25.000 --> 00:12:28.000]  除了步操 除了訓練之外
[00:12:28.000 --> 00:12:31.000]  他們最想經歷的是什麼呢
[00:12:31.000 --> 00:12:35.000]  他們最渴望的是什麼呢
[00:12:35.000 --> 00:12:37.000]  我作為隊伍
[00:12:37.000 --> 00:12:40.000]  我最想的是他們能夠認識神
[00:12:40.000 --> 00:12:43.000]  跟神建立一份好的關係
[00:12:43.000 --> 00:12:45.000]  有時候會不會一些規矩
[00:12:45.000 --> 00:12:47.000]  一些規則
[00:12:47.000 --> 00:12:50.000]  會影響到他們的親近主呢
[00:12:50.000 --> 00:12:52.000]  如果這些規矩規則影響到他們的話
[00:12:52.000 --> 00:12:54.000]  我覺得這就是我們一班成人
[00:12:54.000 --> 00:12:57.000]  又做了一些好心做壞事
[00:12:57.000 --> 00:12:58.000]  弟兄姊妹
[00:12:58.000 --> 00:13:01.000]  作為父母的我們
[00:13:01.000 --> 00:13:02.000]  我們在信仰上
[00:13:02.000 --> 00:13:04.000]  會不會有時候也好心做壞事呢
[00:13:04.000 --> 00:13:06.000]  我們有時候會不會
[00:13:06.000 --> 00:13:08.000]  要子女或子女
[00:13:08.000 --> 00:13:10.000]  要跟我們的信仰原則
[00:13:10.000 --> 00:13:12.000]  或者逼他們
[00:13:12.000 --> 00:13:14.000]  要跟我們一些標準
[00:13:14.000 --> 00:13:15.000]  一些規定
[00:13:15.000 --> 00:13:17.000]  一定要跟著我的
[00:13:17.000 --> 00:13:19.000]  不過我在想
[00:13:19.000 --> 00:13:21.000]  最重要的是
[00:13:21.000 --> 00:13:23.000]  我相信我們的子女
[00:13:23.000 --> 00:13:25.000]  能夠回到教會
[00:13:25.000 --> 00:13:26.000]  去認識神
[00:13:26.000 --> 00:13:28.000]  去經歷到神
[00:13:28.000 --> 00:13:30.000]  和與神建立一份關係
[00:13:30.000 --> 00:13:33.000]  當這班子女
[00:13:33.000 --> 00:13:35.000]  去分享他們的生命的時候
[00:13:35.000 --> 00:13:36.000]  他們能夠分享到
[00:13:36.000 --> 00:13:39.000]  在神裡面的每一點 每一滴
[00:13:39.000 --> 00:13:41.000]  神在他們生命裡面的工作
[00:13:41.000 --> 00:13:44.000]  我覺得這才是最重要的
[00:13:44.000 --> 00:13:46.000]  第二個重點
[00:13:46.000 --> 00:13:48.000]  是「老奴有理」
[00:13:48.000 --> 00:13:50.000]  耶穌看見就老奴對門徒說
[00:13:50.000 --> 00:13:53.000]  讓小孩子到我這裡來
[00:13:53.000 --> 00:13:54.000]  不要禁止他們
[00:13:54.000 --> 00:13:57.000]  因為在神國的正是這樣的人
[00:13:57.000 --> 00:13:58.000]  我實在告訴你們
[00:13:58.000 --> 00:14:00.000]  凡要承受神國的
[00:14:00.000 --> 00:14:01.000]  若不讓小孩子
[00:14:01.000 --> 00:14:03.000]  斷不能進去
[00:14:03.000 --> 00:14:04.000]  在第十四節
[00:14:04.000 --> 00:14:06.000]  耶穌看到門徒
[00:14:06.000 --> 00:14:07.000]  責備這些人
[00:14:07.000 --> 00:14:09.000]  耶穌很生氣
[00:14:09.000 --> 00:14:11.000]  特別是在馬可形容
[00:14:11.000 --> 00:14:13.000]  當時耶穌的情緒
[00:14:13.000 --> 00:14:19.000]  耶穌生氣門徒一次再一次
[00:14:19.000 --> 00:14:20.000]  去攔阻那些人
[00:14:20.000 --> 00:14:22.000]  去到耶穌面前
[00:14:22.000 --> 00:14:25.000]  之前就是奉耶穌的名趕鬼
[00:14:25.000 --> 00:14:27.000]  門徒禁止他們
[00:14:27.000 --> 00:14:30.000]  這次又禁止小孩子
[00:14:30.000 --> 00:14:32.000]  門徒和耶穌的關係
[00:14:32.000 --> 00:14:34.000]  應該是最密切的
[00:14:34.000 --> 00:14:36.000]  最靠近的
[00:14:36.000 --> 00:14:38.000]  我們應該最明白
[00:14:38.000 --> 00:14:41.000]  最了解耶穌的
[00:14:41.000 --> 00:14:42.000]  但相反
[00:14:42.000 --> 00:14:45.000]  門徒成為了一個阻隔
[00:14:45.000 --> 00:14:48.000]  成為阻攔人去親近耶穌
[00:14:48.000 --> 00:14:50.000]  耶穌在經文裡說
[00:14:50.000 --> 00:14:52.000]  讓小孩子到我這裡來
[00:14:52.000 --> 00:14:54.000]  不要禁止他們
[00:14:54.000 --> 00:14:57.000]  讓是你要容讓
[00:14:57.000 --> 00:14:59.000]  你們要放手的意思
[00:14:59.000 --> 00:15:00.000]  禁止
[00:15:00.000 --> 00:15:01.000]  不要阻止
[00:15:01.000 --> 00:15:03.000]  不要拒絕的意思
[00:15:03.000 --> 00:15:04.000]  讓和禁止
[00:15:04.000 --> 00:15:07.000]  在經文裡都是一個命令句
[00:15:07.000 --> 00:15:09.000]  命令句的意思就是
[00:15:09.000 --> 00:15:12.000]  他強調我們作為門徒
[00:15:12.000 --> 00:15:14.000]  我們要聽
[00:15:14.000 --> 00:15:16.000]  我們要遵行
[00:15:16.000 --> 00:15:19.000]  我們要跟著做
[00:15:19.000 --> 00:15:20.000]  耶穌告訴門徒
[00:15:20.000 --> 00:15:22.000]  不要阻止這群人
[00:15:22.000 --> 00:15:24.000]  因為神覺正是這樣的人
[00:15:24.000 --> 00:15:27.000]  這樣的人就按第十四節說
[00:15:27.000 --> 00:15:29.000]  這一群是一群小孩子
[00:15:29.000 --> 00:15:30.000]  剛才也說過
[00:15:30.000 --> 00:15:31.000]  這群小孩子是怎樣
[00:15:31.000 --> 00:15:32.000]  沒有人理會的
[00:15:32.000 --> 00:15:34.000]  沒有人重視的
[00:15:34.000 --> 00:15:36.000]  根本沒有人看到他們
[00:15:36.000 --> 00:15:39.000]  不過他們很需要人的幫助
[00:15:39.000 --> 00:15:42.000]  耶穌強調神覺正是這些人
[00:15:42.000 --> 00:15:45.000]  這些人他們很需要耶穌
[00:15:45.000 --> 00:15:48.000]  很需要耶穌的愛
[00:15:48.000 --> 00:15:50.000]  很需要耶穌的拯救
[00:15:50.000 --> 00:15:53.000]  同樣耶穌很想鼓勵我們每一個
[00:15:53.000 --> 00:15:55.000]  我們都需要去接納
[00:15:55.000 --> 00:15:57.000]  去愛這群人
[00:15:57.000 --> 00:16:00.000]  耶穌在第十五節再一次宣告
[00:16:00.000 --> 00:16:01.000]  他說:我實在告訴你們
[00:16:01.000 --> 00:16:03.000]  凡要承受神覺的
[00:16:03.000 --> 00:16:04.000]  若不像小孩子
[00:16:04.000 --> 00:16:06.000]  斷不能進去
[00:16:06.000 --> 00:16:08.000]  若不像小孩子
[00:16:08.000 --> 00:16:11.000]  斷不能進去
[00:16:11.000 --> 00:16:14.000]  怎樣像一個小孩子?
[00:16:14.000 --> 00:16:16.000]  如果我們不像小孩子
[00:16:16.000 --> 00:16:18.000]  我們就不能進入天國
[00:16:18.000 --> 00:16:19.000]  馬太福音是這樣說的
[00:16:19.000 --> 00:16:20.000]  十八章四節
[00:16:20.000 --> 00:16:22.000]  所以凡自己謙卑
[00:16:22.000 --> 00:16:24.000]  像這小孩子
[00:16:24.000 --> 00:16:26.000]  他在天國裡就是最大的
[00:16:26.000 --> 00:16:30.000]  要好像一個謙卑的小孩子
[00:16:30.000 --> 00:16:32.000]  弟兄姊妹
[00:16:32.000 --> 00:16:35.000]  我們像不像小孩子?
[00:16:35.000 --> 00:16:37.000]  我們不能變成小孩子
[00:16:37.000 --> 00:16:41.000]  不過耶穌很想我們有小孩子的特質
[00:16:41.000 --> 00:16:44.000]  這些特質是單純
[00:16:44.000 --> 00:16:46.000]  倚靠
