
[00:00:00.000 --> 00:00:05.000]  好, 電影節目早安, 早安, 夠不夠我的精神?
[00:15:17.000 --> 00:15:21.000]  很細心地拿著一杯咖啡分享家裡的事, 我很感動
[00:15:21.000 --> 00:15:25.000]  我很感謝上帝讓我們建立了這個咖啡閣
[00:15:25.000 --> 00:15:28.000]  以前是做不到的
[00:15:28.000 --> 00:15:31.000]  弟兄姊妹, 我們需要是一個好使憐憫的地方
[00:15:31.000 --> 00:15:36.000]  而最後帶著謙卑的心與神同行
[00:15:36.000 --> 00:15:39.000]  這句是一句來的
[00:15:39.000 --> 00:15:42.000]  帶著謙卑的心
[00:15:42.000 --> 00:15:47.000]  當我們每次見到上帝, 你也不會比上帝厲害
[00:15:47.000 --> 00:15:50.000]  弟兄姊妹
[00:15:50.000 --> 00:15:53.000]  你不會比上帝厲害
[00:15:53.000 --> 00:15:58.000]  我們在上帝的面前其實是差到不得了
[00:15:58.000 --> 00:16:03.000]  所以我覺得我們成功的秘訣是什麼?
[00:16:03.000 --> 00:16:06.000]  在神面前凝碎
[00:16:06.000 --> 00:16:11.000]  所以我覺得很感恩的圖畫是什麼?
[00:16:11.000 --> 00:16:14.000]  剛才我說過, 我們做的事有很多失誤
[00:16:14.000 --> 00:16:18.000]  我們做的事會很敏感
[00:16:18.000 --> 00:16:23.000]  但最厲害的地方是當我們將最好的呈現上了
[00:16:23.000 --> 00:16:26.000]  上帝去完成這件事
[00:16:26.000 --> 00:16:30.000]  所以我跟那班年青人一起祈禱和鼓勵和聊天
[00:16:30.000 --> 00:16:37.000]  我都說, 放心吧, 我們的上帝很厲害
[00:16:37.000 --> 00:16:41.000]  所以昨天趁Allen不在, 今早Allen去上班
[00:16:41.000 --> 00:16:47.000]  昨天我跟Allen說, 應該是去到大概八點半
[00:16:47.000 --> 00:16:50.000]  當時我們計算到已經超過三百人
[00:16:50.000 --> 00:16:53.000]  我第一時間當然是鼓勵那班年青人去找他們
[00:16:53.000 --> 00:16:56.000]  我跟Allen說, Allen, 你猜是多少人?
[00:16:56.000 --> 00:16:59.000]  他說, 三百人, 應該超過三百人
[00:16:59.000 --> 00:17:04.000]  他呆了一看, 看著我
[00:17:04.000 --> 00:17:10.000]  我想強調的眼神是對上帝的驚訝
[00:17:10.000 --> 00:17:13.000]  對上帝的肯定
[00:17:13.000 --> 00:17:16.000]  弟兄姐妹, 所以我只鼓勵弟兄姐妹
[00:17:16.000 --> 00:17:22.000]  我們每個人都需要站在上帝那邊
[00:17:22.000 --> 00:17:25.000]  選擇站在上帝那邊
[00:17:25.000 --> 00:17:30.000]  我們一定在前面, 上帝會無限的使用我們
[00:17:30.000 --> 00:17:33.000]  所以我很鼓勵, 好嗎?
[00:17:33.000 --> 00:17:36.000]  最後我還是這樣說
[00:17:36.000 --> 00:17:40.000]  最近我們跟很多NGO和一些人來聊天
[00:17:40.000 --> 00:17:44.000]  我跟他們說, 每個人來到, 未認識, 但參觀完之後
[00:17:44.000 --> 00:17:47.000]  我說這個地方你就當是迪士尼
[00:17:47.000 --> 00:17:51.000]  你有什麼夢想帶進來
[00:17:51.000 --> 00:17:55.000]  我們這裡是一個可以創造夢想
[00:17:55.000 --> 00:17:59.000]  可以去發生夢想的地方
[00:17:59.000 --> 00:18:02.000]  所以弟兄姐妹, 求神繼續使用我們
[00:18:02.000 --> 00:18:06.000]  秉行公義, 好施憐憫
[00:18:06.000 --> 00:18:09.000]  全謙卑的心與神同行
[00:18:09.000 --> 00:18:10.000]  一起同心祈禱
[00:18:10.000 --> 00:18:14.000]  最後我們要多謝上帝的恩典
[00:18:14.000 --> 00:18:17.000]  我求主, 您親自帶領我們
[00:18:17.000 --> 00:18:20.000]  我們真的很盼望, 我們不是要去到
[00:18:20.000 --> 00:18:25.000]  彌加仙之當時見到的一群子民的光景
[00:18:25.000 --> 00:18:29.000]  我們真的求祢親自保守帶領我們
[00:18:29.000 --> 00:18:31.000]  我們真的要知道
[00:18:31.000 --> 00:18:36.000]  我們不是要這些所有世界所看見的物質
[00:18:36.000 --> 00:18:38.000]  這些東西我們要為榮
[00:18:38.000 --> 00:18:41.000]  我們要知道我們走在上帝的道路上
[00:18:41.000 --> 00:18:43.000]  看上帝的工作
[00:18:43.000 --> 00:18:46.000]  我求主, 讓我們同樣的
[00:18:46.000 --> 00:18:49.000]  當今天我們去敬拜祢的時候
[00:18:49.000 --> 00:18:51.000]  我們帶著謙卑的心
[00:18:51.000 --> 00:18:53.000]  最後如果我們心裏面
[00:18:53.000 --> 00:18:56.000]  被一些惡念觸動的時候
[00:18:56.000 --> 00:18:59.000]  我求主, 祢的聖靈保護我們
[00:18:59.000 --> 00:19:02.000]  求祢去卸去我們心裏面的惡念
[00:19:02.000 --> 00:19:04.000]  我們求祢最重要
[00:19:04.000 --> 00:19:07.000]  賜給我們一個很平凡
[00:19:07.000 --> 00:19:08.000]  一個很單純
[00:19:08.000 --> 00:19:10.000]  我們可以跟隨祢的心
[00:19:10.000 --> 00:19:13.000]  就將一切我們交在祢面前
[00:19:13.000 --> 00:19:14.000]  將整個間流
[00:19:14.000 --> 00:19:15.000]  每一個弟兄姐妹
[00:19:15.000 --> 00:19:17.000]  我們都交在祢面前
[00:19:17.000 --> 00:19:19.000]  其利奉教主耶穌,得勝名至其球
[00:19:19.000 --> 00:19:21.000]  阿們

