
[00:00:00.000 --> 00:00:03.720]   Welcome to The Vine.
[00:02:32.760 --> 00:02:36.320]   And so he made one for every single one of his students.
[00:02:36.320 --> 00:02:39.940]   Well one of the students took this 3D model home and showed it to her dad because she
[00:02:39.940 --> 00:02:43.080]   knew that her dad would love it as well and be fascinated by it.
[00:02:43.080 --> 00:02:44.320]   And he was.
[00:02:44.320 --> 00:02:48.080]   Now this father owned a toy store in Budapest.
[00:02:48.080 --> 00:02:53.400]   And so he said to the professor, "Hey, could you make me a small batch of these 3D models
[00:02:53.400 --> 00:02:56.040]   because I would like to sell them in my toy store."
[00:02:56.040 --> 00:03:00.400]   And so the professor agreed, made a few more, and he sold them in his toy store.
[00:03:00.400 --> 00:03:05.840]   Now about exactly that same time, there was a British businessman who was on business
[00:03:05.840 --> 00:03:07.500]   in Budapest visiting.
[00:03:07.500 --> 00:03:10.940]   And one of the things that he always did when he was overseas visiting somewhere on business,
[00:03:10.940 --> 00:03:13.480]   he would buy something to take back to his daughter.
[00:03:13.480 --> 00:03:19.080]   And so he walks into this very toy store and he sees this very 3D model and he thinks his
[00:03:19.080 --> 00:03:20.320]   daughter will love it.
[00:03:20.320 --> 00:03:25.640]   So he buys it, he takes it back to the UK, and yes, his daughter absolutely loves this
[00:03:25.640 --> 00:03:26.640]   thing.
[00:03:26.640 --> 00:03:29.200]   She thinks it's the most amazing thing, all her friends love it.
[00:03:29.200 --> 00:03:36.040]   And this businessman comes up with a business idea, as businessmen often do.
[00:03:36.040 --> 00:03:41.080]   And he thinks to himself, "Well, if my daughter and all her friends love this thing, there
[00:03:41.080 --> 00:03:46.720]   could be hundreds and thousands of children all across the UK that would want to hold
[00:03:46.720 --> 00:03:48.160]   one of these things."
[00:03:48.160 --> 00:03:53.240]   So he manages to track down the original guy that created it in the University of Budapest.
[00:03:53.240 --> 00:03:54.760]   And he said to him, "Look, I want to go into business with you.
[00:03:54.760 --> 00:03:59.280]   I want to sell this 3D model around the world, but the first thing you need to do is patent
[00:03:59.280 --> 00:04:00.400]   it."
[00:04:00.400 --> 00:04:05.980]   And so the professor decides to patent his invention, and that decision ends up making
[00:04:05.980 --> 00:04:11.200]   him eventually one of the wealthiest people in Hungary.
[00:04:11.200 --> 00:04:15.080]   And when you patent something, you have to come up with a name for it.
[00:04:15.080 --> 00:04:21.320]   So he, in a moment of, I guess, just couldn't think of a better word, came up with the name
[00:04:21.320 --> 00:04:23.760]   for his invention and he named it after himself.
[00:04:23.760 --> 00:04:30.320]   He called it the "Erno Rubik Magic Cube."
[00:04:30.320 --> 00:04:38.100]   These, by the beginning of 1980, these started to get sold in toy stores in the UK.
[00:04:38.100 --> 00:04:45.920]   By July of 1980, it was estimated that 70% of families and households in the UK owned
[00:04:45.920 --> 00:04:47.880]   one of these.
[00:04:47.880 --> 00:04:52.780]   Pretty much every stay-at-home parent had one of these and were desperately trying to
[00:04:52.780 --> 00:04:56.780]   solve it in the free time when they're not doing nappies or putting the kids down or
[00:04:56.780 --> 00:04:57.780]   feeding them.
[00:04:57.780 --> 00:05:01.180]   And they were twiddling this thing trying to get it solved.
[00:05:01.180 --> 00:05:06.780]   Every stay-at-home parent, including my mother.
[00:05:06.780 --> 00:05:12.140]   Some of my earliest memories as a six-year-old is my mother desperately trying to solve the
[00:05:12.140 --> 00:05:13.400]   cube.
[00:05:13.400 --> 00:05:17.220]   She was in a competition with her best friend, and they were both frantically trying to beat
[00:05:17.220 --> 00:05:19.860]   the other person in solving the actual cube.
[00:05:19.860 --> 00:05:23.700]   I remember I would come home after school and she'd be busy trying to sort the thing
[00:05:23.700 --> 00:05:28.180]   out, but the thing never kind of looked like it's looking in my hand right now.
[00:05:28.180 --> 00:05:32.420]   I'm going to notice to my mom that she didn't realize this, but me and my friends who lived
[00:05:32.420 --> 00:05:35.380]   on the street were also in a competition.
[00:05:35.380 --> 00:05:41.140]   We were in a competition to see whose mother could solve the cube fastest.
[00:05:41.140 --> 00:05:44.460]   And so every day after school, we would meet on the street and we'd be like, "How's
[00:05:44.460 --> 00:05:45.940]   your mother doing with the cube?"
[00:05:45.940 --> 00:05:47.920]   And everybody would be like, "Oh, she's amazing.
[00:05:47.920 --> 00:05:49.280]   She's almost finished it."
[00:05:49.280 --> 00:05:55.540]   And inside we knew that she was a complete mess and couldn't work it out at all.
[00:05:55.540 --> 00:06:01.380]   Well about nine weeks after my mom had purchased the cube, I come home one day after school
[00:06:01.380 --> 00:06:06.620]   and she's sitting on the kitchen table with a smile on her face.
[00:06:06.620 --> 00:06:11.040]   And as I walk into the room, she's like, "Ahh!"
[00:06:11.040 --> 00:06:12.940]   And she shows me the completed cube.
[00:06:12.940 --> 00:06:16.300]   We had never seen the completed cube ever.
[00:06:16.300 --> 00:06:19.060]   We'd only ever seen it on TV.
[00:06:19.060 --> 00:06:24.260]   We'd seen it in magazines, but never actually had held one or seen it with our eyes.
[00:06:24.260 --> 00:06:28.460]   I could not believe that my mom had solved the cube.
[00:06:28.460 --> 00:06:33.900]   She was the greatest mother in the universe.
[00:06:33.900 --> 00:06:37.340]   And then my mom made a mistake.
[00:06:37.340 --> 00:06:44.980]   I asked her if I could borrow the cube so that I could show it off to my friends.
[00:06:44.980 --> 00:06:47.060]   I'm six years old.
[00:06:47.060 --> 00:06:52.140]   My mother must have had a lapse in concentration because she gave me the cube.
[00:06:52.140 --> 00:06:58.620]   And I had never felt more cool walking down my street holding the cube in my hand.
[00:06:58.620 --> 00:07:00.860]   All the kids ran up to me with eyes ablaze.
[00:07:00.860 --> 00:07:03.460]   "Oh my gosh, your mother solved the cube.
[00:07:03.460 --> 00:07:05.920]   Your mother's awesome!"
[00:07:05.920 --> 00:07:08.940]   Every kid except one.
[00:07:08.940 --> 00:07:11.420]   There's always one kid, isn't there?
[00:07:11.420 --> 00:07:17.860]   The one kid who's jealous and envious of your mother.
[00:07:17.860 --> 00:07:20.740]   This kid asked if he could hold the cube.
[00:07:20.740 --> 00:07:23.300]   I thought that's a great idea, so I give him the cube.
[00:07:23.300 --> 00:07:26.520]   And he goes, "Whoosh, whoosh, whoosh, whoosh, whoosh."
[00:07:26.520 --> 00:07:31.580]   He makes four moves and gives it back to me.
[00:07:31.580 --> 00:07:34.140]   Panic begins to rise up inside of me.
[00:07:34.140 --> 00:07:38.480]   It's taken my mother nine weeks to solve the cube.
[00:07:38.480 --> 00:07:42.940]   It took my friend nine seconds to ruin the cube.
[00:07:42.940 --> 00:07:44.740]   But I thought, "Well, he only just did like four moves.
[00:07:44.740 --> 00:07:47.420]   If I just reverse the four moves, we'll be fine."
[00:07:47.420 --> 00:07:50.940]   And so I tried to reverse the four moves, and obviously I made it even worse than what
[00:07:50.940 --> 00:07:51.940]   it was.
[00:07:51.940 --> 00:07:54.580]   I then said to my friends, "Does anybody know how to solve the cube?"
[00:07:54.580 --> 00:07:56.540]   And of course, all my friends were like, "Yes, I know."
[00:07:56.540 --> 00:08:00.220]   So I gave the cube to all my friends, and they all tried to solve it.
[00:08:00.220 --> 00:08:04.060]   And after just a few moments, let me show you actually what it ended up looking like.
[00:08:04.060 --> 00:08:07.420]   It ended up looking like this one right here.
[00:08:07.420 --> 00:08:12.500]   And I cannot tell you the amount of pain and panic that was going through my body.
[00:08:12.500 --> 00:08:17.140]   My mom has worked for nine weeks to make this thing look like that, and it had looked like
[00:08:17.140 --> 00:08:23.460]   that, but now it looked all messed up just like this one, and I was in absolute fear.
[00:08:23.460 --> 00:08:28.660]   I thought, "If I go home right now and show her this, she's going to be so angry.
[00:08:28.660 --> 00:08:29.900]   She's going to blow up.
[00:08:29.900 --> 00:08:30.900]   She's going to...
[00:08:30.900 --> 00:08:31.900]   I don't know what she's going to do.
[00:08:31.900 --> 00:08:34.260]   She's probably going to send me to my bedroom until I'm 21."
[00:08:34.260 --> 00:08:36.800]   That's what was going through my mind.
[00:08:36.800 --> 00:08:39.860]   So I said to my friends, "What's the way we can fix this?
[00:08:39.860 --> 00:08:40.860]   How can we fix this?"
[00:08:40.860 --> 00:08:43.540]   And I thought, "Well, maybe I can give it to one of their mothers, and one of their
[00:08:43.540 --> 00:08:44.540]   mothers can fix it."
[00:08:44.540 --> 00:08:47.900]   And we realized that none of the mothers had fixed it.
[00:08:47.900 --> 00:08:51.500]   Then I thought, "Okay, I just need to find a kettle, and if I get the kettle and boil
[00:08:51.500 --> 00:08:56.660]   water and I can steam off all the individual stickers of this cube, and then I can stick
[00:08:56.660 --> 00:09:00.380]   them back on in the right way and trick my mother, and maybe that's the way to do it."
[00:09:00.380 --> 00:09:04.900]   And then I realized that there are molded plastic squares on here, and they're not stickers
[00:09:04.900 --> 00:09:07.580]   at all, and you can't kind of do that.
[00:09:07.580 --> 00:09:15.940]   And so I realized that there was only one way, only one pathway that was in front of
[00:09:15.940 --> 00:09:16.940]   me.
[00:09:16.940 --> 00:09:21.440]   I had to go home and be honest about what I'd done, because I realized that the only
[00:09:21.440 --> 00:09:29.800]   person who could fix it was the one who had actually done it before.
[00:09:29.800 --> 00:09:33.540]   I remember walking into the house, and my heart's beating so fast.
[00:09:33.540 --> 00:09:36.020]   I mean, I'd screwed up.
[00:09:36.020 --> 00:09:38.620]   I had messed up.
[00:09:38.620 --> 00:09:44.420]   And I knew that she was going to be angry, and she had every right to be angry at me.
[00:09:44.420 --> 00:09:47.180]   And as I walked into the kitchen, I could see her sitting at the table, and I put the
[00:09:47.180 --> 00:09:54.200]   cube behind my back like this, and I was crying, six years old, just bawling my eyes out.
[00:09:54.200 --> 00:09:57.200]   And I walked into the kitchen, and my mom looked up at me, and I couldn't even look
[00:09:57.200 --> 00:10:07.160]   her in the eyes, and I just basically did this.
[00:10:07.160 --> 00:10:13.940]   I'm sure my mom was angry, but she looked at her son quivering before her, a complete
[00:10:13.940 --> 00:10:16.380]   wreck.
[00:10:16.380 --> 00:10:18.220]   And she says these words.
[00:10:18.220 --> 00:10:23.180]   She goes, "It's okay, son.
[00:10:23.180 --> 00:10:24.760]   I've done it before.
[00:10:24.760 --> 00:10:28.980]   I can do it again."
[00:10:28.980 --> 00:10:37.440]   Elijah, as we saw last week, is trembling and absolutely shattered inside.
[00:10:37.440 --> 00:10:42.760]   He had thought that he was going to be bringing revival to Israel, and he'd had this amazing
[00:10:42.760 --> 00:10:47.140]   moment on the mountaintop where everything seemed to be amazing and perfect, where God
[00:10:47.140 --> 00:10:52.820]   came through and did great stuff, and the 850 prophets of Baal were defeated.
[00:10:52.820 --> 00:10:56.600]   But immediately after that, he hears of a death threat against his life from Ahab and
[00:10:56.600 --> 00:11:02.100]   Jezebel, and he's so overwhelmed and so conflicted, having thought that he had brought revival
[00:11:02.100 --> 00:11:05.660]   and now realized that there was no revival, no revival in the leadership, and if there
[00:11:05.660 --> 00:11:09.940]   was going to be no revival in the leadership, then there was going to be no revival in Israel.
[00:11:09.940 --> 00:11:14.860]   And suddenly all the feelings, the emotional exhaustion, the feeling of being a failure
[00:11:14.860 --> 00:11:20.820]   hits Elijah so much, and Elijah's life suddenly spins out of control.
[00:11:20.820 --> 00:11:26.100]   It spins out of control so much that he can't face life anymore.
[00:11:26.100 --> 00:11:30.940]   And so he goes into the desert, and he walks in the desert, and he finds a solitary broom
[00:11:30.940 --> 00:11:35.020]   tree, and he lies down next to it, and he prays that God would take his life, because
[00:11:35.020 --> 00:11:39.700]   he feels like he's screwed up, and he feels like God is going to be angry at him, and
[00:11:39.700 --> 00:11:44.320]   he feels like he can't face it, and God deserves to punish him.
[00:11:44.320 --> 00:11:47.980]   And so he comes before God, and he's like, "Just take my life.
[00:11:47.980 --> 00:11:49.300]   It's not worth living.
[00:11:49.300 --> 00:11:50.780]   I've failed you.
[00:11:50.780 --> 00:11:52.980]   I've failed Israel.
[00:11:52.980 --> 00:11:56.300]   Everything has gone wrong."
[00:11:56.300 --> 00:12:00.180]   And we saw last week that God shows up as an angel, in the form of an angel, and touches
[00:12:00.180 --> 00:12:04.840]   him to say, "You're not alone," and then puts food and water in his body to strengthen him
[00:12:04.840 --> 00:12:09.180]   so that he can go on a journey of 40 days and 40 nights.
[00:12:09.180 --> 00:12:14.460]   And then God begins to say some words over him that begins to say something to the emotional
[00:12:14.460 --> 00:12:18.220]   state that he's actually in himself.
[00:12:18.220 --> 00:12:23.620]   And so he travels 40 days and 40 nights, and he comes to this mountain, Mount Horeb,
[00:12:23.620 --> 00:12:26.100]   the mountain of God.
[00:12:26.100 --> 00:12:29.900]   And he goes up into the mountain, and he finds a cave in the mountain, and he goes inside
[00:12:29.900 --> 00:12:35.300]   that cave, and he literally collapses on the floor, because he's so overwhelmed.
[00:12:35.300 --> 00:12:36.540]   He's so done.
[00:12:36.540 --> 00:12:37.920]   He's so worn out.
[00:12:37.920 --> 00:12:42.820]   He's so frustrated, and he needs rest.
[00:12:42.820 --> 00:12:45.700]   I want you to see what happens next.
[00:12:45.700 --> 00:12:48.820]   This is 1 Kings 19, starting in verse 9.
[00:12:48.820 --> 00:12:54.860]   "And the word of the Lord came to him, 'What are you doing here, Elijah?'
[00:12:54.860 --> 00:12:58.820]   Elijah replied, 'I've been very zealous for the Lord God Almighty.
[00:12:58.820 --> 00:13:02.780]   The Israelites have rejected your covenant, broken down your altars, and put your prophets
[00:13:02.780 --> 00:13:04.140]   to death with the sword.
[00:13:04.140 --> 00:13:09.500]   I'm the only one left, and now they're trying to kill me too.'
[00:13:09.500 --> 00:13:14.940]   The Lord God said to him, 'Go out and stand on the mountain in the presence of the Lord,
[00:13:14.940 --> 00:13:18.580]   for the Lord is about to pass by.'
[00:13:18.580 --> 00:13:25.480]   Then a great and powerful wind tore the mountains apart and shattered the rocks before the Lord,
[00:13:25.480 --> 00:13:28.040]   but the Lord was not in the wind.
[00:13:28.040 --> 00:13:33.220]   And after the wind there was an earthquake, but the Lord was not in the earthquake.
[00:13:33.220 --> 00:13:38.180]   And after the earthquake came a fire, but the Lord was not in the fire.
[00:13:38.180 --> 00:13:40.900]   And after the fire came a gentle whisper.
[00:13:40.900 --> 00:13:47.420]   And when Elijah heard it, he pulled his cloak over his face and went out and stood at the
[00:13:47.420 --> 00:13:49.100]   mouth of the cave."
[00:13:49.100 --> 00:13:51.980]   This is one of the most famous stories there is in the Old Testament.
[00:13:51.980 --> 00:13:55.360]   And I think sometimes when something is so famous, it can be easy for us to actually
[00:13:55.360 --> 00:14:00.180]   miss the depth of what's actually happening here and the true meaning of what's taking
[00:14:00.180 --> 00:14:01.400]   place.
[00:14:01.400 --> 00:14:04.380]   What we need to understand when we approach this story is that there are things happening
[00:14:04.380 --> 00:14:05.940]   in Israel and in Elijah.
[00:14:05.980 --> 00:14:10.820]   In other words, there's stuff that's happening on the national level and on the personal
[00:14:10.820 --> 00:14:12.260]   level.
[00:14:12.260 --> 00:14:15.860]   On the national level, Israel literally is in tatters.
[00:14:15.860 --> 00:14:22.200]   It has been worshipping the gods of Baal and Asherah for many years to this point.
[00:14:22.200 --> 00:14:27.860]   And that idol worship has ruined their culture, has ruined their thinking.
[00:14:27.860 --> 00:14:30.100]   And they were in a dark, dark place.
[00:14:30.100 --> 00:14:33.060]   Literally Israel was shattered.
[00:14:33.060 --> 00:14:37.120]   But not just that, Elijah himself was also shattered.
[00:14:37.120 --> 00:14:41.040]   There's something very personal going on here for Elijah.
[00:14:41.040 --> 00:14:44.380]   As I've just explained, he thought he was going to bring revival to Israel, but all
[00:14:44.380 --> 00:14:47.980]   he's felt, all he's thought he's seen is failure.
[00:14:47.980 --> 00:14:50.740]   He's seen the broken down of all of that stuff that's happened.
[00:14:50.740 --> 00:14:53.660]   He's seen the impact that the idol worship has had on his people.
[00:14:53.660 --> 00:15:00.060]   And now he feels like he's completely alone and all he wants to actually do is die.
[00:15:00.060 --> 00:15:07.820]   And God brings him to a very important place in the midst of this overwhelming mental health
[00:15:07.820 --> 00:15:11.260]   challenge that Elijah is going through.
[00:15:11.260 --> 00:15:16.060]   God brings him to Mount Horeb, the mountain of God.
[00:15:16.060 --> 00:15:19.980]   Now this is very important to understand the point of this whole story.
[00:15:19.980 --> 00:15:25.100]   See Mount Horeb is known by another name in the Old Testament, that's Mount Sinai.
[00:15:25.100 --> 00:15:28.500]   Mount Horeb and Mount Sinai is the same mountain.
[00:15:28.500 --> 00:15:32.140]   And so this is the place that Moses met God at.
[00:15:32.140 --> 00:15:36.300]   This is the place where Moses, who was running from his own mental health challenge, his
[00:15:36.300 --> 00:15:41.840]   own emotional exhaustion, having committed murder in Egypt, fled from there and tried
[00:15:41.840 --> 00:15:46.220]   to start a new life by covering up the brokenness that he had done in his past.
[00:15:46.220 --> 00:15:51.180]   God meets him in a burning bush at the foothills of Mount Sinai.
[00:15:51.180 --> 00:15:55.420]   And in this mountain and in God's presence, God shows up in the power of his presence
[00:15:55.420 --> 00:16:01.220]   and he says, "Moses, remove your sandals because the ground you're standing on is holy ground."
[00:16:01.220 --> 00:16:04.060]   And God begins to speak to Moses and says, "I want to raise you up to be a mouthpiece
[00:16:04.060 --> 00:16:05.660]   to go back to Egypt.
[00:16:05.660 --> 00:16:08.180]   And my people have been in slavery there for 430 years.
[00:16:08.180 --> 00:16:12.220]   I want you to release them from slavery and bring them to this mountain.
[00:16:12.220 --> 00:16:16.940]   And when you come to this mountain, I will reveal my power to you and you will worship
[00:16:16.940 --> 00:16:17.940]   me."
[00:16:17.940 --> 00:16:20.220]   Now, I'm going to cut a long story short.
[00:16:20.220 --> 00:16:24.100]   You can show up for the Exodus series and hear it in all its detail over 25 weeks.
[00:16:24.100 --> 00:16:25.740]   But that's exactly what Moses does.
[00:16:25.740 --> 00:16:27.740]   He goes back to Egypt.
[00:16:27.740 --> 00:16:32.780]   He through the leading and the miracles of God is able to bring Israel back to the foot
[00:16:32.780 --> 00:16:34.780]   of Mount Sinai.
[00:16:34.780 --> 00:16:39.780]   And as they gather around the feet of Mount Sinai, God shows up and reveals his power
[00:16:39.780 --> 00:16:40.780]   to them.
[00:16:40.780 --> 00:16:41.780]   How does that happen?
[00:16:41.780 --> 00:16:45.660]   Well, he invites Moses to walk up into the mountain whilst the whole of Israel stays
[00:16:45.660 --> 00:16:47.540]   at the foothills of the mountain.
[00:16:47.540 --> 00:16:51.380]   And as Moses goes up, God moves him into the cleft of a rock.
[00:16:51.380 --> 00:16:56.240]   And for 40 days and 40 nights, Moses is there and God reveals his power to the Israelites
[00:16:56.240 --> 00:16:57.560]   in that moment.
[00:16:57.560 --> 00:17:02.500]   And that power is revealed through this incredible wind that comes and shakes the mountain.
[00:17:02.500 --> 00:17:07.040]   It's revealed in an earthquake which literally shakes all of the rocks around the mountain
[00:17:07.040 --> 00:17:09.580]   so that Israel can see the power of God.
[00:17:09.580 --> 00:17:14.660]   It then comes in a pillar of fire on the top of Mount Sinai that burns all up and brings
[00:17:14.660 --> 00:17:15.660]   smoke.
[00:17:15.660 --> 00:17:21.900]   And Moses is then called to go up into the smoke, into the fire where he meets with God
[00:17:21.900 --> 00:17:23.020]   face to face.
[00:17:23.020 --> 00:17:29.980]   So Mount Horeb, Mount Sinai represents this incredible, dramatic encounter of the power
[00:17:29.980 --> 00:17:30.980]   of God.
[00:17:30.980 --> 00:17:33.920]   And Elijah has been called to go there.
[00:17:33.920 --> 00:17:40.100]   So Elijah is thinking God is going to show up in this place in those dramatic and powerful
[00:17:40.100 --> 00:17:41.100]   ways.
[00:17:41.100 --> 00:17:44.220]   We've got to be really clear that we see the parallels here.
[00:17:44.220 --> 00:17:48.220]   You see, Moses was on the mountain for 40 days and 40 nights.
[00:17:48.220 --> 00:17:52.580]   It takes Elijah 40 days and 40 nights to walk to the mountain.
[00:17:52.580 --> 00:17:55.620]   Moses is hidden by God in a cleft of the rock.
[00:17:55.620 --> 00:17:59.260]   So Elijah is now in a cave in the rock.
[00:17:59.260 --> 00:18:06.380]   And then God shows up and does exactly for Elijah what he had done for Moses except for
[00:18:06.380 --> 00:18:12.220]   one really, really, really important small detail that we need to notice.
[00:18:12.220 --> 00:18:14.980]   Let me read this to you again.
[00:18:14.980 --> 00:18:18.460]   There is a great and powerful wind that tore the mountains apart and shattered the rocks
[00:18:18.460 --> 00:18:22.780]   before the Lord, but the Lord was not in the wind.
[00:18:22.780 --> 00:18:27.500]   And after the wind there was an earthquake, but the Lord was not in the earthquake.
[00:18:27.500 --> 00:18:31.420]   And after the earthquake came a fire, but the Lord was not in the fire.
[00:18:31.420 --> 00:18:36.620]   This would have been a very interesting experience for Elijah experiencing this in real time.
[00:18:36.620 --> 00:18:39.540]   It's easy when we read the story to kind of think of it like a Hollywood movie.
[00:18:39.540 --> 00:18:43.820]   But Elijah is right there in the midst of this and he knows what Mount Horeb is all
[00:18:43.820 --> 00:18:44.820]   about.
[00:18:44.820 --> 00:18:46.020]   He was schooled in the Torah.
[00:18:46.020 --> 00:18:49.300]   He understood what would have happened and what normally happens on the mountain.
[00:18:49.300 --> 00:18:51.540]   He knew what had happened to Moses.
[00:18:51.540 --> 00:18:55.180]   So when this big wind started to whip up when he's in the cave, he's like, "Well, God's
[00:18:55.180 --> 00:18:56.900]   going to show up now."
[00:18:56.900 --> 00:18:59.100]   And God doesn't.
[00:18:59.100 --> 00:19:01.940]   And then when the mountain begins to shake, Elijah would have been like, "Okay, that's
[00:19:01.940 --> 00:19:02.940]   kind of weird.
[00:19:02.940 --> 00:19:04.980]   He didn't show up in the wind, but I guess he's going to show up now because the mountain
[00:19:04.980 --> 00:19:06.340]   is shaking."
[00:19:06.340 --> 00:19:07.340]   And God didn't show up.
[00:19:08.300 --> 00:19:11.340]   And then Elijah is thinking, "Well, the last thing that happened for Moses was there was
[00:19:11.340 --> 00:19:13.020]   a fire and suddenly a fire starts."
[00:19:13.020 --> 00:19:14.780]   And he's like, "Okay, this is it.
[00:19:14.780 --> 00:19:16.620]   God's going to show up now."
[00:19:16.620 --> 00:19:19.220]   And God doesn't show up.
[00:19:19.220 --> 00:19:23.900]   And the question that the text is wanting you to ask of it is a simple one.
[00:19:23.900 --> 00:19:25.140]   Why?
[00:19:25.140 --> 00:19:30.620]   Why does God do all the same things that he had done with Moses, with Elijah, but in particular
[00:19:30.620 --> 00:19:34.420]   and specifically does not reveal his presence in those things?
[00:19:35.260 --> 00:19:40.500]   Well, I think the answer to that is both national and personal.
[00:19:40.500 --> 00:19:45.860]   On the national level, I think what God's doing here is showing Elijah what is actually
[00:19:45.860 --> 00:19:49.900]   happening in the communal consciousness of Israel itself.
[00:19:49.900 --> 00:19:55.340]   I think this is God saying, "Elijah, you are 100% right.
[00:19:55.340 --> 00:19:57.940]   Israel is in ruins."
[00:19:57.940 --> 00:20:02.700]   You see, the wind and the earthquake and the fire are these dramatic moments, and they
[00:20:02.700 --> 00:20:08.380]   represent the kind of worship that was happening in Israel at this time.
[00:20:08.380 --> 00:20:14.580]   See, the worship of Baal and Esherah was a dramatic and loud kind of worship.
[00:20:14.580 --> 00:20:15.980]   There was lots of drumming.
[00:20:15.980 --> 00:20:17.540]   There was lots of noise.
[00:20:17.540 --> 00:20:18.540]   And if this was...
[00:20:18.540 --> 00:20:20.940]   Let's just pretend that this is an altar to Baal.
[00:20:20.940 --> 00:20:25.560]   One of the ways in which you were worshiping Baal is you would run around the altar as
[00:20:25.560 --> 00:20:31.220]   fast as you can, and you would be whipping yourself up into an emotional frenzy.
[00:20:31.220 --> 00:20:35.140]   You'd be shouting out, screaming out, running around, trying to worship Baal, and thinking
[00:20:35.140 --> 00:20:39.980]   that if you can get yourself into this ecstatic emotional state, then you will have a spiritual
[00:20:39.980 --> 00:20:41.340]   experience.
[00:20:41.340 --> 00:20:44.980]   And I think God shows up to Elijah, and he says, "Here's the wind.
[00:20:44.980 --> 00:20:45.980]   Here's the earthquake.
[00:20:45.980 --> 00:20:46.980]   Here's the fire.
[00:20:46.980 --> 00:20:48.100]   Here's all this great noise.
[00:20:48.100 --> 00:20:49.620]   I'm not in it."
[00:20:49.620 --> 00:20:54.000]   What he's saying is, "Here's Israel and all of their worship and all of their noise and
[00:20:54.000 --> 00:20:55.300]   all of their altars."
[00:20:55.300 --> 00:20:59.940]   And they think that some God is going to show up, but I'm not in it.
[00:20:59.940 --> 00:21:05.080]   In other words, Elijah, you're right.
[00:21:05.080 --> 00:21:12.500]   This is a complete waste of time, and Israel is indeed in shatters.
[00:21:12.500 --> 00:21:16.160]   And I think this was important for Elijah, but I think it's important for us.
[00:21:16.160 --> 00:21:20.780]   I think it's particularly important for us in a church like the Vine.
[00:21:20.780 --> 00:21:22.780]   We love worship here.
[00:21:22.780 --> 00:21:25.420]   One of the things that I think makes the Vine the Vine is that incredible worship time we've
[00:21:25.420 --> 00:21:27.060]   just had before I started speaking.
