
[00:00:00.000 --> 00:00:03.080]   (gentle piano music)
[00:02:31.020 --> 00:02:34.560]   And so in this beautiful lyrics
[00:02:34.560 --> 00:02:35.800]   that we've just been sitting with,
[00:02:35.800 --> 00:02:37.120]   and sometimes when we sing these songs,
[00:02:37.120 --> 00:02:39.600]   we don't actually kind of dig into the theology,
[00:02:39.600 --> 00:02:41.540]   the beautiful theology that sits behind them.
[00:02:41.540 --> 00:02:44.640]   But when we sit in the resonance of that idea,
[00:02:44.640 --> 00:02:47.140]   we can kind of pick up what Paul's been saying to us
[00:02:47.140 --> 00:02:50.040]   throughout this series about the now, but not yet,
[00:02:50.040 --> 00:02:52.680]   that we're in and the three things that remain,
[00:02:52.680 --> 00:02:55.840]   because the confidence that that writer is speaking about
[00:02:55.840 --> 00:02:58.480]   of standing in his righteousness alone,
[00:02:58.480 --> 00:03:01.400]   that's picking up one of the major themes for Paul
[00:03:01.400 --> 00:03:05.440]   that remains for us in this now, but not yet time.
[00:03:05.440 --> 00:03:07.440]   And that's the theme of hope.
[00:03:07.440 --> 00:03:10.440]   Ah, yes, hope.
[00:03:10.440 --> 00:03:13.880]   Paul says that three things do remain
[00:03:13.880 --> 00:03:16.520]   when we struggle in the now, but not yet season
[00:03:16.520 --> 00:03:19.200]   that we're in, faith, hope, and love.
[00:03:19.200 --> 00:03:21.840]   And he says the greatest of these is love.
[00:03:21.840 --> 00:03:23.640]   And next week, we're gonna look at that,
[00:03:23.640 --> 00:03:25.200]   and I'm gonna explain why he says
[00:03:25.200 --> 00:03:26.600]   the greatest of these is love.
[00:03:26.600 --> 00:03:29.320]   But although it's true that love
[00:03:29.320 --> 00:03:31.720]   is the greatest of what remains,
[00:03:31.720 --> 00:03:33.920]   I think the thing that remains the most
[00:03:33.920 --> 00:03:37.000]   that we need the most right now is hope.
[00:03:37.000 --> 00:03:41.080]   I don't know if you've kind of picked this up yourself
[00:03:41.080 --> 00:03:44.360]   or not, but I think we're living in what I would say
[00:03:44.360 --> 00:03:47.600]   is a time of hope crisis.
[00:03:47.600 --> 00:03:50.480]   If you just open your ears to the conversations
[00:03:50.480 --> 00:03:52.520]   that are happening here in our city,
[00:03:52.520 --> 00:03:54.800]   in the cafes and in the lunch spots
[00:03:54.800 --> 00:03:57.520]   and in the bars after work and in the restaurants,
[00:03:57.520 --> 00:04:01.280]   if you kind of listen in to how people are talking,
[00:04:01.280 --> 00:04:04.240]   you can get a sense that there's a deep sense
[00:04:04.240 --> 00:04:06.800]   of helplessness and hopelessness here
[00:04:06.800 --> 00:04:08.480]   in our city at the moment.
[00:04:08.480 --> 00:04:10.560]   I wonder if this resonates a little bit
[00:04:10.560 --> 00:04:12.920]   with perhaps how you feel as you think about
[00:04:12.920 --> 00:04:15.480]   the future of Hong Kong and think about what it means
[00:04:15.480 --> 00:04:17.160]   to be a person that's living here,
[00:04:17.160 --> 00:04:18.920]   perhaps there's a certain sense
[00:04:18.920 --> 00:04:21.000]   of that hopelessness in you too.
[00:04:21.000 --> 00:04:23.240]   It was really interesting, last week we had
[00:04:23.240 --> 00:04:25.960]   our Christmas market and one of the organizations
[00:04:25.960 --> 00:04:28.600]   that was a part of the Christmas market was Eden last week.
[00:04:28.600 --> 00:04:30.880]   And Eden are an anti-trafficking,
[00:04:30.880 --> 00:04:33.120]   anti-human trafficking organization.
[00:04:33.120 --> 00:04:35.800]   And they produce jewelry and they sell this jewelry
[00:04:35.800 --> 00:04:39.320]   to help fund the work they do, but they produce a card.
[00:04:39.320 --> 00:04:41.960]   And when they do markets all over Hong Kong
[00:04:41.960 --> 00:04:43.320]   and they're doing them all the time,
[00:04:43.320 --> 00:04:45.440]   young people will come to them to look at the stuff
[00:04:45.440 --> 00:04:47.800]   that they have, they will give the young people a card
[00:04:47.800 --> 00:04:49.760]   and on that card are some words.
[00:04:49.760 --> 00:04:51.360]   All those words are biblical words,
[00:04:51.360 --> 00:04:52.800]   although of course the people don't know that,
[00:04:52.800 --> 00:04:55.160]   but there are all these biblical words that are on this card
[00:04:55.160 --> 00:04:57.600]   and they say to the people, hey, why don't you choose
[00:04:57.600 --> 00:05:00.440]   the word that resonates most with you?
[00:05:00.440 --> 00:05:03.240]   The word that connects to where you're at right now
[00:05:03.240 --> 00:05:05.640]   or perhaps the word that you need the most
[00:05:05.640 --> 00:05:07.200]   and then we'll show you the jewelry
[00:05:07.200 --> 00:05:08.880]   that's associated with that word.
[00:05:08.880 --> 00:05:11.080]   And they told me last week and you can probably guess
[00:05:11.080 --> 00:05:13.480]   that the single most common word
[00:05:13.480 --> 00:05:15.680]   that the young people of our city say to them
[00:05:15.680 --> 00:05:17.240]   every time they look at that list
[00:05:17.240 --> 00:05:19.240]   is the word, you guessed it, hope.
[00:05:19.240 --> 00:05:22.320]   It's as if our young people are saying,
[00:05:22.320 --> 00:05:26.480]   we're not sure where our hope lies anymore.
[00:05:26.480 --> 00:05:27.920]   We're not sure if we have the hope
[00:05:27.920 --> 00:05:30.480]   that we used to think that we had.
[00:05:30.480 --> 00:05:33.400]   But if we're honest though, it's not just the young people
[00:05:33.400 --> 00:05:34.600]   that perhaps are feeling that way,
[00:05:34.600 --> 00:05:36.680]   I think it's all the generations.
[00:05:36.680 --> 00:05:39.320]   And in fact, it's not actually even just what's happening
[00:05:39.320 --> 00:05:40.480]   here in Hong Kong.
[00:05:40.480 --> 00:05:42.440]   I mean, if we lift our heads up a little bit
[00:05:42.440 --> 00:05:44.520]   from our own city and our own circumstances
[00:05:44.520 --> 00:05:46.280]   and we look at around the world around us,
[00:05:46.280 --> 00:05:48.080]   we can see that actually there's a hope crisis
[00:05:48.080 --> 00:05:49.680]   around the whole world.
[00:05:49.680 --> 00:05:53.480]   That actually the reality is that the conversations
[00:05:53.480 --> 00:05:55.360]   are doom and gloom and despair
[00:05:55.360 --> 00:05:57.240]   in many parts of the world right now.
[00:05:57.240 --> 00:05:59.720]   And when you peel back the layer and you look at that
[00:05:59.720 --> 00:06:02.400]   and you look at the evidence that's out there,
[00:06:02.400 --> 00:06:05.800]   you can kind of understand why we're in this hope crisis.
[00:06:05.800 --> 00:06:07.680]   I mean, it's not like there's nothing going on.
[00:06:07.680 --> 00:06:10.960]   There's some pretty sad, pretty heavy,
[00:06:10.960 --> 00:06:13.160]   pretty crazy stuff that's happening in our world right now.
[00:06:13.160 --> 00:06:17.880]   I mean, levels of exploitation are happening in this world
[00:06:17.880 --> 00:06:20.040]   at levels that they've never happened before.
[00:06:20.040 --> 00:06:21.720]   The poor and the vulnerable and marginalized
[00:06:21.720 --> 00:06:23.640]   are being exploited more than ever.
[00:06:23.640 --> 00:06:25.560]   There's economic disparity in our world
[00:06:25.560 --> 00:06:27.000]   at a higher level than ever before.
[00:06:27.000 --> 00:06:29.160]   That's tracked by the Gini coefficient.
[00:06:29.160 --> 00:06:31.240]   And the Gini coefficient is higher
[00:06:31.240 --> 00:06:32.960]   for the Western developed world than it's ever been.
[00:06:32.960 --> 00:06:36.200]   The rich are getting richer, the poor are getting poorer.
[00:06:36.200 --> 00:06:38.160]   And then you look at kind of what's happening
[00:06:38.160 --> 00:06:40.480]   within many of the cultures of this world,
[00:06:40.480 --> 00:06:43.520]   and you can see so much abuse that's taking place,
[00:06:43.520 --> 00:06:46.360]   so much of a rise in senseless violence,
[00:06:46.360 --> 00:06:48.720]   so much exploitation that's happening
[00:06:48.720 --> 00:06:52.760]   for those who are vulnerable, hate crimes on the rise,
[00:06:52.760 --> 00:06:55.520]   gender abuse and gender violence.
[00:06:55.520 --> 00:06:57.240]   The look at things that are taking place
[00:06:57.240 --> 00:06:59.480]   in the wars around the world right now.
[00:06:59.480 --> 00:07:01.840]   And whenever there's war, here's the thing,
[00:07:01.840 --> 00:07:04.200]   there's always a group of people that suffer the most,
[00:07:04.200 --> 00:07:05.280]   and that's the innocents,
[00:07:05.280 --> 00:07:07.520]   and mostly that is often children.
[00:07:07.520 --> 00:07:10.320]   And we're seeing that over the last couple of years.
[00:07:10.320 --> 00:07:12.000]   If you take a look at the things
[00:07:12.000 --> 00:07:13.600]   that are taking place in our world,
[00:07:13.600 --> 00:07:15.040]   it's understandable perhaps
[00:07:15.040 --> 00:07:17.480]   that there is a bit of a hope crisis.
[00:07:17.480 --> 00:07:19.320]   And here's what I realized
[00:07:19.320 --> 00:07:23.000]   that I'm even hearing this amongst us here at the Vine.
[00:07:23.000 --> 00:07:24.760]   In the conversations that I have with you,
[00:07:24.760 --> 00:07:27.280]   in the conversations our pastoral team, we know,
[00:07:27.280 --> 00:07:28.800]   there's a great sense of helplessness
[00:07:28.800 --> 00:07:30.680]   amongst us as a community.
[00:07:30.680 --> 00:07:33.440]   It almost feels like hope has been dragged away
[00:07:33.440 --> 00:07:35.320]   from many of us in this room.
[00:07:35.320 --> 00:07:37.480]   Maybe as you're coming to the end of 2024,
[00:07:37.480 --> 00:07:38.560]   a lot of you in this room are saying,
[00:07:38.560 --> 00:07:41.320]   "Thank goodness that year's over,
[00:07:41.320 --> 00:07:43.640]   because I've been dragged down, and I've been held back,
[00:07:43.640 --> 00:07:46.600]   and I lost my job, and I had that diagnosis,
[00:07:46.600 --> 00:07:47.720]   and there's all this stuff that's happening,
[00:07:47.720 --> 00:07:50.480]   and it hasn't been a great year for me."
[00:07:50.480 --> 00:07:53.160]   And the reality is that sense of doom,
[00:07:53.160 --> 00:07:56.480]   that sense of gloom, I think it's not just over the world,
[00:07:56.480 --> 00:07:57.840]   I think it's over the church.
[00:07:57.840 --> 00:08:00.520]   And here's what worries me about that.
[00:08:00.520 --> 00:08:03.320]   Because if there should ever be a group of people
[00:08:03.320 --> 00:08:06.520]   in the world right now who could actually stand up
[00:08:06.520 --> 00:08:09.080]   and speak about a different way,
[00:08:09.080 --> 00:08:10.960]   who could actually begin to communicate
[00:08:10.960 --> 00:08:13.920]   that there's another narrative than the doom and the gloom
[00:08:13.920 --> 00:08:14.920]   that we're seeing in the world,
[00:08:14.920 --> 00:08:17.800]   then surely it should be the church.
[00:08:17.800 --> 00:08:20.600]   But I have a sense that the church
[00:08:20.600 --> 00:08:24.120]   is as hopeless as everybody else.
[00:08:24.120 --> 00:08:27.240]   And what I wanna do over the next 30 minutes
[00:08:27.240 --> 00:08:29.800]   is I wanna light a little fire under us.
[00:08:29.800 --> 00:08:32.160]   And I wanna actually begin to change your thinking
[00:08:32.160 --> 00:08:34.320]   about hope, because I think one of the reasons
[00:08:34.320 --> 00:08:38.400]   why the church has become so hopeless in this time
[00:08:38.400 --> 00:08:41.680]   when there needs to be a voice of hope
[00:08:41.680 --> 00:08:43.800]   is because we've actually come to define hope
[00:08:43.800 --> 00:08:46.160]   just like everybody else does in the world.
[00:08:46.160 --> 00:08:51.520]   I think even the idea of me speaking about hope this morning,
[00:08:51.520 --> 00:08:52.960]   if you're anything like me,
[00:08:52.960 --> 00:08:56.080]   that raises some pretty uncomfortable emotions at times.
[00:08:56.080 --> 00:08:59.240]   That's a pretty complex thing that happens to us.
[00:08:59.240 --> 00:09:02.560]   Because perhaps some of you are sitting here right now,
[00:09:02.560 --> 00:09:05.760]   and you've been burnt by hope in the past.
[00:09:05.760 --> 00:09:07.720]   Maybe you had hope for a season,
[00:09:07.720 --> 00:09:10.320]   but hope didn't work out for you.
[00:09:10.320 --> 00:09:12.400]   Maybe you were hoping that that relationship
[00:09:12.400 --> 00:09:13.560]   that was going on in your life,
[00:09:13.560 --> 00:09:14.800]   you were hoping that that got better,
[00:09:14.800 --> 00:09:16.960]   but it didn't get better.
[00:09:16.960 --> 00:09:18.760]   Maybe you were hoping to get a job this year,
[00:09:18.760 --> 00:09:20.680]   a job that you've always wanted and always dreamt for,
[00:09:20.680 --> 00:09:23.840]   and you had endless interviews, but nobody hired you.
[00:09:23.840 --> 00:09:25.280]   Or maybe there was a debt
[00:09:25.280 --> 00:09:27.080]   that you were hoping to pay off this year,
[00:09:27.080 --> 00:09:28.680]   and you didn't manage to pay it off,
[00:09:28.680 --> 00:09:30.360]   and you're wondering why.
[00:09:30.360 --> 00:09:31.880]   Or maybe you were trying to lead some people
[00:09:31.880 --> 00:09:33.960]   to faith this year, and they didn't come to faith,
[00:09:33.960 --> 00:09:36.040]   and you're beginning to ask questions.
[00:09:36.040 --> 00:09:39.200]   Or maybe you're grappling in a relationship,
[00:09:39.200 --> 00:09:41.240]   and you thought that that relationship would sort it out.
[00:09:41.240 --> 00:09:42.960]   Maybe there's a dispute going on,
[00:09:42.960 --> 00:09:45.400]   and you had great hope that 2024 would be the year
[00:09:45.400 --> 00:09:47.480]   when you would finally sort out that relationship,
[00:09:47.480 --> 00:09:48.760]   and it hasn't been sorted out,
[00:09:48.760 --> 00:09:49.800]   and you're entering into the new year
[00:09:49.800 --> 00:09:52.080]   with as much gloom about that as anything else.
[00:09:52.080 --> 00:09:54.040]   And all these things that you had been hoping for,
[00:09:54.040 --> 00:09:55.640]   nothing seems to have changed,
[00:09:55.640 --> 00:09:57.080]   nothing seems to have happened,
[00:09:57.080 --> 00:09:58.240]   nothing has come through.
[00:09:58.240 --> 00:09:59.440]   And if you're feeling like that,
[00:09:59.440 --> 00:10:01.080]   well, I feel like that a lot too.
[00:10:02.040 --> 00:10:05.640]   'Cause we are burnt at times by hope.
[00:10:05.640 --> 00:10:07.480]   And when you're burnt by hope,
[00:10:07.480 --> 00:10:10.120]   it makes you not even wanna think about it.
[00:10:10.120 --> 00:10:12.520]   And then when somebody like me starts to talk about it,
[00:10:12.520 --> 00:10:13.760]   you immediately kind of go,
[00:10:13.760 --> 00:10:16.800]   ah, I don't wanna be set up for failure again.
[00:10:16.800 --> 00:10:20.200]   Like, I'm not sure about this hope thing.
[00:10:20.200 --> 00:10:22.560]   I tried it, I tried it out,
[00:10:22.560 --> 00:10:24.680]   but it didn't quite work out for me.
[00:10:24.680 --> 00:10:26.760]   And I think as Christians,
[00:10:26.760 --> 00:10:29.200]   we have a tension that sits within us.
[00:10:29.200 --> 00:10:31.160]   'Cause we have this thought, don't we?
[00:10:31.160 --> 00:10:32.720]   That hope is a good thing,
[00:10:32.720 --> 00:10:34.360]   that this should be a good thing.
[00:10:34.360 --> 00:10:35.920]   The idea of hope is good.
[00:10:35.920 --> 00:10:37.480]   And yet the reality of our lives
[00:10:37.480 --> 00:10:40.200]   sometimes doesn't seem to add up to that.
[00:10:40.200 --> 00:10:42.000]   And we kind of sit within this tension
[00:10:42.000 --> 00:10:43.520]   between a good idea of hope
[00:10:43.520 --> 00:10:47.000]   and the reality that hope hasn't often come through for us.
[00:10:47.000 --> 00:10:48.600]   And as Christians, we wrestle with that,
[00:10:48.600 --> 00:10:50.240]   and we're not quite sure what to do with it.
[00:10:50.240 --> 00:10:51.920]   So when the topic of hope comes up,
[00:10:51.920 --> 00:10:54.640]   we kind of silence our voices.
[00:10:54.640 --> 00:10:56.160]   And I think a lot of reasons for this
[00:10:56.160 --> 00:10:58.560]   is because we are beginning to define hope
[00:10:58.560 --> 00:11:01.200]   the same way that society sees hope.
[00:11:01.200 --> 00:11:02.040]   Let me explain.
[00:11:02.040 --> 00:11:05.640]   Society, I think, essentially defines hope this way,
[00:11:05.640 --> 00:11:08.280]   that hope is an expressed desire
[00:11:08.280 --> 00:11:11.120]   for a positive outcome that is uncertain.
[00:11:11.120 --> 00:11:13.200]   Let me give an example.
[00:11:13.200 --> 00:11:15.000]   My daughter Mia, who's 14 years old,
[00:11:15.000 --> 00:11:18.560]   she this year is hoping for an iPad for Christmas.
[00:11:18.560 --> 00:11:23.760]   Now, when my daughter hopes for an iPad for Christmas,
[00:11:23.760 --> 00:11:25.360]   here's what she really means.
[00:11:25.360 --> 00:11:28.760]   "I have no idea if mom and dad are gonna buy me an iPad,
[00:11:28.760 --> 00:11:30.440]   "but I hope that they do.
[00:11:30.440 --> 00:11:32.760]   "I'm putting all my trust and all my hope
[00:11:32.760 --> 00:11:35.320]   "in something that is kind of uncertain,
[00:11:35.320 --> 00:11:37.560]   "but I'm hoping they'll come through for me."
[00:11:37.560 --> 00:11:40.600]   She doesn't know whether we're buying her one or not.
[00:11:40.600 --> 00:11:41.960]   By the way, she's not in this service.
[00:11:41.960 --> 00:11:44.040]   Let me just tell you, that's a false hope.
[00:11:44.040 --> 00:11:48.200]   We are not buying her an iPad this Christmas.
[00:11:48.200 --> 00:11:50.720]   Have you seen how expensive iPads are?
[00:11:50.720 --> 00:11:52.800]   I know, give me money, I will buy one.
[00:11:54.200 --> 00:11:55.840]   We're not buying her an iPad.
[00:11:55.840 --> 00:11:58.200]   That's a false hope, it's not happening.
[00:11:58.200 --> 00:11:59.720]   Or maybe you're sitting there and you think,
[00:11:59.720 --> 00:12:03.600]   "I hope Pastor Andrew only preaches for 15 minutes today,
[00:12:03.600 --> 00:12:06.160]   "'cause I wanna get out there and eat my cookies."
[00:12:06.160 --> 00:12:07.440]   What you're really meaning by that is,
[00:12:07.440 --> 00:12:09.560]   "I have no idea how long Pastor Andrew's going
[00:12:09.560 --> 00:12:10.400]   "to be preaching for.
[00:12:10.400 --> 00:12:12.440]   "I desire that it would be short,
[00:12:12.440 --> 00:12:14.320]   "but the fact that I've been coming to the Vine for so long,
[00:12:14.320 --> 00:12:17.200]   "I'll know that he'll probably go on for hours."
[00:12:17.200 --> 00:12:19.080]   But I had this expressed desire for it.
[00:12:19.080 --> 00:12:20.360]   You see what I'm saying?
[00:12:20.360 --> 00:12:24.000]   So hope is so often defined by this positive thing
[00:12:24.000 --> 00:12:25.160]   that I wanna happen,
[00:12:25.160 --> 00:12:27.520]   but I have no certainty that it's gonna happen.
[00:12:27.520 --> 00:12:29.880]   So hope becomes so uncertain.
[00:12:29.880 --> 00:12:33.320]   And when hope is defined essentially by uncertainties,
[00:12:33.320 --> 00:12:35.800]   by kinda, "I'm gonna throw a dart at a dartboard
[00:12:35.800 --> 00:12:37.880]   "and kinda hope that I'll hit a good number or whatever,
[00:12:37.880 --> 00:12:39.400]   "but I just don't know."
[00:12:39.400 --> 00:12:40.360]   Well, then when somebody says,
[00:12:40.360 --> 00:12:42.440]   "Hey, put your life into hope," you're like,
[00:12:42.440 --> 00:12:45.240]   "Hmm, I don't know if I should trust something
[00:12:45.240 --> 00:12:46.880]   "that is so out there."
[00:12:46.880 --> 00:12:49.520]   It raises a very important question for us.
[00:12:49.520 --> 00:12:53.480]   Why would I put my faith in something as flimsy,
[00:12:53.480 --> 00:12:57.560]   as uncertain, as doubtful as a hope?
[00:12:57.560 --> 00:12:59.200]   Are you with me?
[00:12:59.200 --> 00:13:02.440]   So because this is the case, here's what I've discovered.
[00:13:02.440 --> 00:13:07.200]   Christians don't really talk about hope very much.
[00:13:07.200 --> 00:13:08.440]   I mean, this fascinated me.
[00:13:08.440 --> 00:13:11.400]   I went to Bible school, to seminary for four years.
[00:13:11.400 --> 00:13:14.080]   We never did a class on hope.
[00:13:14.080 --> 00:13:17.000]   Faith, we did a lot of classes on faith, okay?
[00:13:17.000 --> 00:13:18.400]   Love, we nailed love.
[00:13:18.400 --> 00:13:19.720]   We talked about love all the time.
[00:13:19.720 --> 00:13:22.120]   We never once talked about hope.
[00:13:22.120 --> 00:13:25.080]   The only time that hope was mentioned at my seminary
[00:13:25.080 --> 00:13:26.360]   was by the teachers,
[00:13:26.360 --> 00:13:29.400]   because one of my classmates' first name was Hope.
[00:13:29.400 --> 00:13:31.920]   That was the only time when they ever mentioned
[00:13:31.920 --> 00:13:33.080]   the word hope.
[00:13:33.080 --> 00:13:34.640]   Us Christians, we don't talk about it
[00:13:34.640 --> 00:13:37.080]   'cause I think we're uncomfortable with it, and here's why.
[00:13:37.080 --> 00:13:39.440]   Because we're defining it in the same way
[00:13:39.440 --> 00:13:41.080]   that society defines it,
[00:13:41.080 --> 00:13:44.200]   and if hope is a desired positive outcome
[00:13:44.200 --> 00:13:45.760]   that is kind of uncertain,
[00:13:45.760 --> 00:13:48.120]   we don't wanna set people up for failure,
[00:13:48.120 --> 00:13:51.240]   so we've quietened our voice at the very time
[00:13:51.240 --> 00:13:54.440]   where the world needs to hear about hope again.
[00:13:54.440 --> 00:13:56.760]   The very people that should have the best thing to say
[00:13:56.760 --> 00:14:00.920]   about it are just not speaking up.
[00:14:00.920 --> 00:14:05.880]   Here's the funny thing.
[00:14:05.880 --> 00:14:08.480]   The Bible has a lot to say about hope.
[00:14:08.480 --> 00:14:13.120]   In fact, hope is mentioned over 600 times in our scriptures.
[00:14:13.120 --> 00:14:14.600]   Pretty much every book of the Bible
[00:14:14.600 --> 00:14:17.160]   has some sort of teaching or thought on hope.
[00:14:17.160 --> 00:14:18.680]   When you get to the New Testament,
[00:14:18.680 --> 00:14:20.960]   every second or third page in the New Testament
[00:14:20.960 --> 00:14:23.120]   speaks about this idea of hope.
[00:14:23.120 --> 00:14:24.800]   The Bible is filled with it.
[00:14:24.800 --> 00:14:28.320]   We should be filled with it.
[00:14:28.320 --> 00:14:30.800]   Paul, riding into the church,
[00:14:30.800 --> 00:14:33.280]   trying to help them to wrestle with this Advent thing
[00:14:33.280 --> 00:14:34.120]   that we've been talking about,
[00:14:34.120 --> 00:14:36.520]   the now but not yet, that Christ has come,
[00:14:36.520 --> 00:14:39.560]   that He is coming back, we're living in the in-between.
[00:14:39.560 --> 00:14:41.120]   Paul rides into his church,
[00:14:41.120 --> 00:14:43.160]   and he desperately wants them to understand
[00:14:43.160 --> 00:14:46.160]   that hope is a good thing, that hope is alive,
[00:14:46.160 --> 00:14:48.640]   that hope can change everything.
[00:14:48.640 --> 00:14:50.720]   But his church, like us today,
[00:14:50.720 --> 00:14:52.920]   are wrestling with the flimsy,
[00:14:52.920 --> 00:14:55.240]   uncertain kind of weirdness to hope.
[00:14:55.240 --> 00:14:57.280]   And so he writes in and he says,
[00:14:57.280 --> 00:14:59.720]   look, over 36 times in his letters,
[00:14:59.720 --> 00:15:02.200]   he mentions hope, 36 times.
[00:15:02.200 --> 00:15:03.400]   And every time he mentions hope,
[00:15:03.400 --> 00:15:07.280]   it's always embedded in a very important part of the letter
[00:15:07.280 --> 00:15:09.800]   and what he's trying to teach his church.
[00:15:09.800 --> 00:15:12.240]   And what I wanna do today is show you one of those moments
[00:15:12.240 --> 00:15:14.800]   'cause out of it, I wanna draw for you
[00:15:14.800 --> 00:15:16.920]   a better way of thinking about hope.
[00:15:16.920 --> 00:15:19.840]   And if you've walked in here today,
[00:15:19.840 --> 00:15:22.080]   again, a little bit like how I often wrestle with it,
[00:15:22.080 --> 00:15:25.280]   thinking like, when has hope ever done anything good for me?
[00:15:25.280 --> 00:15:28.040]   My prayer is that as you leave today,
[00:15:28.040 --> 00:15:30.240]   you will leave refreshed and renewed
[00:15:30.240 --> 00:15:32.080]   to become the voice that I think God
[00:15:32.080 --> 00:15:33.800]   is actually calling you to be
[00:15:33.800 --> 00:15:36.400]   in a time of a crisis of hope.
[00:15:36.400 --> 00:15:40.560]   Paul writes to one of his prodigies, a guy called Titus.
[00:15:40.560 --> 00:15:43.120]   You may not have looked at the book of Titus
[00:15:43.120 --> 00:15:45.400]   in the New Testament much, it's a very short book.
[00:15:45.400 --> 00:15:47.040]   Paul is writing to a man
[00:15:47.040 --> 00:15:49.400]   that he had spent a lot of time raising up,
[00:15:49.400 --> 00:15:51.040]   one of his prodigies, if you will.
[00:15:51.040 --> 00:15:54.160]   He was a church planter and a pastor in Crete,
[00:15:54.160 --> 00:15:55.800]   which is a small little island
[00:15:55.800 --> 00:15:57.760]   in the middle of the Mediterranean Ocean.
[00:15:57.760 --> 00:15:59.400]   And Paul writes to him and speaks to him
[00:15:59.400 --> 00:16:01.440]   about this idea of hope.
[00:16:01.440 --> 00:16:03.600]   There's just three verses, chapter two,
[00:16:03.600 --> 00:16:06.080]   starting in verse 11, let me read this to you.
[00:16:06.080 --> 00:16:08.880]   For the grace of God has appeared
[00:16:08.880 --> 00:16:11.800]   that brings salvation to all people.
[00:16:11.800 --> 00:16:15.280]   It teaches us to say no to ungodliness and worldly passions
[00:16:15.280 --> 00:16:17.920]   and to live self-controlled and upright godly lives
[00:16:17.920 --> 00:16:19.720]   in this present age.
[00:16:19.720 --> 00:16:23.640]   While we wait, notice this, for the blessed hope,
[00:16:23.640 --> 00:16:26.640]   the glorious appearance or the appearance of glory
[00:16:26.640 --> 00:16:30.320]   of our great God and savior, Jesus Christ.
[00:16:30.320 --> 00:16:31.520]   In just these three verses,
[00:16:31.520 --> 00:16:32.840]   Paul does something that he does
