
[00:00:00.000 --> 00:00:01.920]   - Good morning, church.
[00:07:36.880 --> 00:07:38.440]   the Messiah, the Son of God,
[00:07:38.440 --> 00:07:40.840]   as it is written in Isaiah the prophet.
[00:07:40.840 --> 00:07:43.000]   I will send my messenger ahead of you
[00:07:43.000 --> 00:07:44.800]   who will prepare your way,
[00:07:44.800 --> 00:07:47.140]   a voice of one calling the wilderness.
[00:07:47.140 --> 00:07:51.040]   Prepare the way for the Lord, make straight paths for him.
[00:07:51.040 --> 00:07:53.240]   And so John the Baptist appeared in the wilderness
[00:07:53.240 --> 00:07:54.980]   preaching a baptism of repentance
[00:07:54.980 --> 00:07:56.700]   for the forgiveness of sins.
[00:07:56.700 --> 00:07:58.360]   The whole Judean countryside
[00:07:58.360 --> 00:08:01.360]   and all the people of Jerusalem went out to him,
[00:08:01.360 --> 00:08:02.500]   confessing their sins.
[00:08:02.500 --> 00:08:05.240]   They were baptized by him in the river Jordan.
[00:08:05.240 --> 00:08:07.480]   John wore clothing made of camel's hair
[00:08:07.480 --> 00:08:09.220]   with a leather belt around his waist
[00:08:09.220 --> 00:08:12.000]   and he ate locusts and wild honey.
[00:08:12.000 --> 00:08:13.480]   And this was his message.
[00:08:13.480 --> 00:08:17.600]   After me comes one more powerful than I,
[00:08:17.600 --> 00:08:20.280]   the straps of whose sandals I am not worthy
[00:08:20.280 --> 00:08:22.240]   to stoop down and untie.
[00:08:22.240 --> 00:08:24.040]   I baptize you with water,
[00:08:24.040 --> 00:08:27.580]   but he will baptize you with the Holy Spirit.
[00:08:27.580 --> 00:08:31.480]   This passage marks the beginning
[00:08:31.480 --> 00:08:33.800]   of how Jesus became the Messiah
[00:08:33.800 --> 00:08:35.160]   and how he was introduced.
[00:08:35.160 --> 00:08:38.560]   And it starts with the Old Testament prophecy from Isaiah
[00:08:38.560 --> 00:08:42.680]   and how John the Baptist was the fulfillment of that.
[00:08:42.680 --> 00:08:45.700]   And John's ministry really was to preach
[00:08:45.700 --> 00:08:47.320]   and to prepare God's people,
[00:08:47.320 --> 00:08:50.640]   prepare their heart to say that the Messiah will come.
[00:08:50.640 --> 00:08:53.820]   You just have to wait, you just have to be ready.
[00:08:53.820 --> 00:08:55.040]   And so in this passage,
[00:08:55.040 --> 00:08:59.120]   John's preaching represents God's calling,
[00:08:59.120 --> 00:09:01.840]   us out of the wilderness, out of our distractions,
[00:09:01.840 --> 00:09:05.360]   out of our busyness and hurrying and restlessness
[00:09:05.360 --> 00:09:08.040]   to receive the baptism of repentance
[00:09:08.040 --> 00:09:10.320]   for the forgiveness of sins
[00:09:10.320 --> 00:09:12.960]   and the baptism of the Holy Spirit.
[00:09:12.960 --> 00:09:14.680]   So this morning I want to spend time
[00:09:14.680 --> 00:09:17.760]   unpacking the significance of each baptism
[00:09:17.760 --> 00:09:20.720]   and why it is important for us as believers
[00:09:20.720 --> 00:09:24.240]   to receive or to know about these baptisms.
[00:09:24.240 --> 00:09:27.640]   In verse four, John the Baptist appears in the wilderness
[00:09:27.640 --> 00:09:30.520]   and begins preaching about the baptism of repentance
[00:09:30.520 --> 00:09:32.200]   for the forgiveness of sins.
[00:09:32.200 --> 00:09:34.440]   And so here are a few but brief thoughts
[00:09:34.440 --> 00:09:36.960]   on the significance of this water baptism.
[00:09:36.960 --> 00:09:39.600]   So let's start in the Old Testament.
[00:09:39.600 --> 00:09:41.600]   Wherever there is water imagery,
[00:09:41.600 --> 00:09:44.400]   it is typically alludes to the presence
[00:09:44.400 --> 00:09:45.920]   and the work of God's spirit.
[00:09:45.920 --> 00:09:47.480]   And of course in the New Testament,
[00:09:47.480 --> 00:09:51.240]   Jesus too uses water to describe the cleansing
[00:09:51.240 --> 00:09:53.840]   and renewing work of the Holy Spirit.
[00:09:53.840 --> 00:09:58.840]   And so to baptize is a verb that means to immerse.
[00:09:58.880 --> 00:10:01.240]   And so baptism as we understand it
[00:10:01.240 --> 00:10:02.680]   as from a church perspective
[00:10:02.680 --> 00:10:04.000]   and what we've been practicing
[00:10:04.000 --> 00:10:06.320]   all of these years and generations
[00:10:06.320 --> 00:10:10.160]   is baptism is the practice of immersing someone
[00:10:10.160 --> 00:10:11.600]   into the water.
[00:10:11.600 --> 00:10:14.440]   And by doing this, it represents a symbolic
[00:10:14.440 --> 00:10:16.760]   and a spiritual act of being born again,
[00:10:16.760 --> 00:10:18.800]   of being cleansed, being renewed,
[00:10:18.800 --> 00:10:22.480]   being resurrected with Christ in a new identity with him
[00:10:22.480 --> 00:10:26.360]   to have a new beginning in this life with God.
[00:10:26.360 --> 00:10:28.600]   And that's what we witness all the time.
[00:10:29.520 --> 00:10:32.720]   And so church, each of us will most likely
[00:10:32.720 --> 00:10:35.000]   just get baptized once in our lifetime
[00:10:35.000 --> 00:10:38.000]   as the physical, symbolic and spiritual declaration
[00:10:38.000 --> 00:10:40.240]   of our faith just as I've mentioned.
[00:10:40.240 --> 00:10:45.240]   And for majority of us, once is really enough.
[00:10:45.240 --> 00:10:49.560]   But within the heart and the idea behind baptism
[00:10:49.560 --> 00:10:52.480]   is the spiritual posturing of our own heart
[00:10:52.480 --> 00:10:58.160]   that has invaluable benefits in this life with Christ
[00:10:58.160 --> 00:11:00.240]   and the life to come.
[00:11:00.240 --> 00:11:05.240]   And so church, today I want us to ask God this,
[00:11:05.240 --> 00:11:08.720]   Lord, what does it mean to be baptized by you?
[00:11:08.720 --> 00:11:11.960]   What does it mean to be immersed by you
[00:11:11.960 --> 00:11:15.640]   and with you each day of our lives as your children?
[00:11:15.640 --> 00:11:17.560]   How does this look like?
[00:11:17.560 --> 00:11:20.240]   What must change in my heart for me to receive
[00:11:20.240 --> 00:11:23.440]   both these baptisms as a posturing of my heart,
[00:11:23.440 --> 00:11:25.880]   as my act of worship?
[00:11:25.880 --> 00:11:28.240]   Lord, I'm tired.
[00:11:28.240 --> 00:11:29.240]   This is for some of us.
[00:11:29.240 --> 00:11:30.960]   If we're tired, we're a bit cynical,
[00:11:30.960 --> 00:11:33.760]   we're a bit apathetic to this faith.
[00:11:33.760 --> 00:11:35.320]   We've been around for so long.
[00:11:35.320 --> 00:11:38.280]   How can I still receive the baptism
[00:11:38.280 --> 00:11:39.760]   that you have for me today?
[00:11:39.760 --> 00:11:44.000]   And so within the call to be baptized
[00:11:44.000 --> 00:11:48.040]   is a personal invitation to you to be transformed,
[00:11:48.040 --> 00:11:50.880]   to be renewed, to be immersed by God himself
[00:11:50.880 --> 00:11:54.980]   in his love as our way of life every single day.
[00:11:54.980 --> 00:11:57.080]   This is our spiritual journey.
[00:11:57.080 --> 00:11:59.560]   This is something we go on for the rest of our life.
[00:11:59.560 --> 00:12:03.080]   And that's our heart's cry when we want to be baptized.
[00:12:03.080 --> 00:12:05.340]   We're saying, Lord, I wanna be baptized by you.
[00:12:05.340 --> 00:12:08.240]   I want you to lead me out of my wilderness.
[00:12:08.240 --> 00:12:10.000]   I wanna follow you wherever you are.
[00:12:10.000 --> 00:12:12.880]   I want you to bring me into the second birth.
[00:12:12.880 --> 00:12:15.680]   I want you to show me how your kingdom works,
[00:12:15.680 --> 00:12:17.960]   what the culture is like, what you value,
[00:12:17.960 --> 00:12:20.560]   what you say, because all those things I want
[00:12:20.560 --> 00:12:23.080]   and I want to learn to follow you.
[00:12:24.760 --> 00:12:27.820]   In verses four to five, as John the Baptist
[00:12:27.820 --> 00:12:30.220]   preaches about the baptism of repentance,
[00:12:30.220 --> 00:12:31.500]   a lot of people listen, right?
[00:12:31.500 --> 00:12:33.660]   They went to him, they responded to his message,
[00:12:33.660 --> 00:12:36.300]   they confessed their sins and were baptized
[00:12:36.300 --> 00:12:38.140]   by him in the River Jordan.
[00:12:38.140 --> 00:12:40.200]   I want to take a more detailed look now
[00:12:40.200 --> 00:12:43.060]   at what it means to respond in forgiveness,
[00:12:43.060 --> 00:12:45.140]   repentance, and confession.
[00:12:45.140 --> 00:12:46.980]   I believe all these men and women
[00:12:46.980 --> 00:12:49.860]   that came from everywhere heard John the Baptist
[00:12:49.860 --> 00:12:52.100]   preach the good news to them.
[00:12:52.100 --> 00:12:53.920]   John gave them an opportunity,
[00:12:53.920 --> 00:12:56.260]   perhaps, to acknowledge that, you know what?
[00:12:56.260 --> 00:12:58.880]   Yeah, life is difficult, life is tragic,
[00:12:58.880 --> 00:13:00.020]   but you know what?
[00:13:00.020 --> 00:13:03.380]   Out of the wilderness, graciously, divine,
[00:13:03.380 --> 00:13:07.140]   God divinely calls us out of our wilderness.
[00:13:07.140 --> 00:13:08.940]   God shows us another way.
[00:13:08.940 --> 00:13:11.460]   God shows us that the Messiah will come
[00:13:11.460 --> 00:13:13.120]   and he's not just gonna change our lives,
[00:13:13.120 --> 00:13:15.220]   but he's gonna change the reality,
[00:13:15.220 --> 00:13:18.340]   our very understanding of reality
[00:13:18.340 --> 00:13:19.920]   and everything that's attached to it
[00:13:19.920 --> 00:13:22.820]   through his son and what's gonna happen on the cross
[00:13:22.820 --> 00:13:25.540]   and the days after the cross.
[00:13:25.540 --> 00:13:27.780]   I think John there would have alluded
[00:13:27.780 --> 00:13:31.060]   to God forgiving us as well as the gospel.
[00:13:31.060 --> 00:13:33.920]   When we're baptized, we can start again
[00:13:33.920 --> 00:13:37.260]   because we're forgiven, we know that we're forgiven.
[00:13:37.260 --> 00:13:41.060]   We are released from all the cages that hinders us,
[00:13:41.060 --> 00:13:43.260]   our hate, our self-hate, our anger,
[00:13:43.260 --> 00:13:46.700]   our sin, our guilt, our shame, whatever it is.
[00:13:46.700 --> 00:13:50.260]   We find out that forgiveness is not just a feeling,
[00:13:50.260 --> 00:13:51.960]   but it's a decision.
[00:13:51.960 --> 00:13:56.120]   The good news is that God made a decision to forgive us.
[00:13:56.120 --> 00:13:59.380]   He continues to extend his forgiveness
[00:13:59.380 --> 00:14:01.700]   and his grace to us each day
[00:14:01.700 --> 00:14:05.500]   and as we receive it, we are healed, we are liberated,
[00:14:05.500 --> 00:14:08.940]   we are reconciled with God as well as each other.
[00:14:08.940 --> 00:14:10.540]   And church, I wanna share the greatest news
[00:14:10.540 --> 00:14:11.700]   about forgiveness.
[00:14:11.700 --> 00:14:16.540]   Forgiveness removes any barriers between God and us,
[00:14:16.540 --> 00:14:20.700]   whether they're emotional, physical, mental, spiritual,
[00:14:20.700 --> 00:14:24.020]   and forgiveness also just opens up the possibility
[00:14:24.020 --> 00:14:26.600]   for a relationship to flourish.
[00:14:26.600 --> 00:14:30.000]   As Christians, then, we are commanded,
[00:14:30.000 --> 00:14:31.840]   not commanded, I wanna stress that word.
[00:14:31.840 --> 00:14:35.280]   We're commanded also to forgive one another
[00:14:35.280 --> 00:14:36.660]   because we are gonna hurt each other,
[00:14:36.660 --> 00:14:38.400]   we're gonna offend each other,
[00:14:38.400 --> 00:14:40.480]   in the same way God forgives us
[00:14:40.480 --> 00:14:44.760]   so that others may too release and experience
[00:14:44.760 --> 00:14:49.040]   God's love and God's grace and his forgiveness through us.
[00:14:49.040 --> 00:14:51.640]   Now, when we hear God calling us,
[00:14:51.640 --> 00:14:54.620]   we can really only respond by repentance.
[00:14:54.620 --> 00:14:56.980]   According to scripture, it is only through repentance
[00:14:56.980 --> 00:14:59.500]   that we can come into God's kingdom.
[00:14:59.500 --> 00:15:03.200]   Repentance is an action where we make a decision
[00:15:03.200 --> 00:15:05.500]   to change maybe our way of thinking
[00:15:05.500 --> 00:15:08.540]   and our current trajectory of where we are going
[00:15:08.540 --> 00:15:09.780]   and want to go.
[00:15:09.780 --> 00:15:13.240]   But to change requires humbleness,
[00:15:13.240 --> 00:15:17.400]   it requires a humility, it requires a willingness to listen.
[00:15:18.260 --> 00:15:21.500]   And these men and women listened and they heard,
[00:15:21.500 --> 00:15:23.460]   and what they heard, they yearned,
[00:15:23.460 --> 00:15:24.960]   they knew that they wanted it,
[00:15:24.960 --> 00:15:26.900]   so they gave up everything and they said,
[00:15:26.900 --> 00:15:28.860]   "Yes, we want this."
[00:15:28.860 --> 00:15:30.800]   I think repentance also means that
[00:15:30.800 --> 00:15:32.400]   there's nothing you can do for yourself
[00:15:32.400 --> 00:15:34.920]   and that you recognize that
[00:15:34.920 --> 00:15:37.640]   and you wanna change your thinking.
[00:15:37.640 --> 00:15:40.520]   One of my favorite spiritual teachers, Bruce Demiris,
[00:15:40.520 --> 00:15:42.100]   and I've been really thinking about his words
[00:15:42.100 --> 00:15:44.800]   in the last few months, and I wanna read you this quote.
[00:15:44.800 --> 00:15:47.460]   He says, "The truth is, we will never change
[00:15:47.460 --> 00:15:51.460]   "unless we're sufficiently challenged with new ideas."
[00:15:51.460 --> 00:15:54.800]   I think this baptism John the Baptist was preaching
[00:15:54.800 --> 00:15:56.940]   was this new radical idea.
[00:15:56.940 --> 00:16:00.160]   God calls us what to himself?
[00:16:00.160 --> 00:16:02.900]   They've never heard of something like this.
[00:16:02.900 --> 00:16:05.320]   As growing Christians, we must learn, too,
[00:16:05.320 --> 00:16:08.200]   to be receptive to change, to fresh insight,
[00:16:08.200 --> 00:16:13.000]   to new leadings into unexplored spiritual territory,
[00:16:13.000 --> 00:16:16.440]   or else we do miss out on finding true life
[00:16:16.440 --> 00:16:19.200]   and our true selves with Christ.
[00:16:19.200 --> 00:16:21.160]   And so our spiritual journey,
[00:16:21.160 --> 00:16:22.600]   wherever we are in this journey,
[00:16:22.600 --> 00:16:26.120]   requires always an openness to change,
[00:16:26.120 --> 00:16:27.800]   and that's called repentance.
[00:16:27.800 --> 00:16:32.140]   And so if we're willing to receive the forgiveness,
[00:16:32.140 --> 00:16:36.380]   we're willing to repent and be open-minded,
[00:16:36.380 --> 00:16:38.520]   we also respond by confession.
[00:16:38.520 --> 00:16:41.700]   Our confession is a way of declaring with our words,
[00:16:41.700 --> 00:16:46.540]   but also with action, and we're committing ourselves
[00:16:46.540 --> 00:16:49.660]   to live another way, and that is his way.
[00:16:49.660 --> 00:16:52.500]   And so when we confess, we say something like this.
[00:16:52.500 --> 00:16:56.100]   I confess and choose to turn away from the sin,
[00:16:56.100 --> 00:16:58.980]   the idolatry, the anxieties, the fears,
[00:16:58.980 --> 00:17:02.260]   all the things that cause us to be unfaithful
[00:17:02.260 --> 00:17:04.300]   to you and to each other.
[00:17:04.300 --> 00:17:06.940]   I no longer want to be a slave to these things.
[00:17:06.940 --> 00:17:10.860]   I want to be free, as you say that I can be free.
[00:17:10.860 --> 00:17:13.420]   Lord, in all of these areas that I've offended you,
[00:17:13.420 --> 00:17:15.140]   I've offended my brother and sister,
[00:17:15.140 --> 00:17:19.280]   would you forgive me and allow me to start again
[00:17:19.280 --> 00:17:24.200]   by removing this barrier between us and between us?
[00:17:24.200 --> 00:17:28.260]   And wherever you are, I confess that's where I want to be.
[00:17:28.260 --> 00:17:30.580]   Whatever you say, I want to learn to do,
[00:17:30.580 --> 00:17:32.540]   so bring me into your green pastures,
[00:17:32.540 --> 00:17:34.380]   into your still waters.
[00:17:34.380 --> 00:17:39.380]   And so by our confession, God redirects every aspect of us
[00:17:39.540 --> 00:17:41.420]   into a better way of thinking,
[00:17:41.420 --> 00:17:44.660]   in a better way of living with him.
[00:17:44.660 --> 00:17:46.500]   And so, so far, I want to summarize
[00:17:46.500 --> 00:17:49.980]   what I've been talking about in the last 15 minutes.
[00:17:49.980 --> 00:17:52.740]   The heart and intention behind baptism
[00:17:52.740 --> 00:17:56.600]   is a daily invitation into a lifelong journey
[00:17:56.600 --> 00:17:58.680]   out of the wilderness with our God.
[00:17:58.680 --> 00:18:03.180]   As we respond to our living God that calls us,
[00:18:03.180 --> 00:18:07.060]   we reestablish, we rebuild, we reconnect
[00:18:07.060 --> 00:18:09.420]   these connections, these relationships.
[00:18:09.420 --> 00:18:13.340]   And as we journey with God, he teaches us what to focus on,
[00:18:13.340 --> 00:18:16.660]   what to grow in, how to love, how to forgive,
[00:18:16.660 --> 00:18:19.700]   all of these things we might have missed in our first life.
[00:18:19.700 --> 00:18:24.300]   And in living, in following Christ,
[00:18:24.300 --> 00:18:28.060]   we find our meaning, our purpose, our satisfaction,
[00:18:28.060 --> 00:18:30.580]   and our way of life as Christians.
[00:18:30.580 --> 00:18:34.220]   So from here on, I want to now think about,
[00:18:34.220 --> 00:18:36.560]   for us to think about the baptism of the Holy Spirit
[00:18:36.560 --> 00:18:38.620]   and how this comes into the grand picture
[00:18:38.620 --> 00:18:40.900]   in the narrative of us journeying with God
[00:18:40.900 --> 00:18:42.580]   out of the wilderness.
[00:18:42.580 --> 00:18:44.620]   And I just want to make one more disclaimer, okay,
[00:18:44.620 --> 00:18:48.600]   last one for today, about the baptism of the Holy Spirit.
[00:18:48.600 --> 00:18:51.340]   For many of us, I think, if we grew up
[00:18:51.340 --> 00:18:54.380]   in the charismatic denomination or tradition,
