
[00:00:00.000 --> 00:00:02.000]  多謝你,June
[00:11:08.000 --> 00:11:09.800]  總共會歷時七日
[00:11:09.800 --> 00:11:12.400]  And every day there was a water drawing ceremony
[00:11:12.400 --> 00:11:14.600]  每一日都會有一個電水禮
[00:11:14.600 --> 00:11:17.800]  Where the priest went to the pool of Silom
[00:11:17.800 --> 00:11:19.400]  and they took out water
[00:11:19.400 --> 00:11:20.600]  and they brought it back up
[00:11:20.600 --> 00:11:23.600]  and they poured it as an offering on the altar
[00:11:23.600 --> 00:11:25.600]  祭司會去到西羅瓦池嗰度
[00:11:25.600 --> 00:11:27.000]  去取一攞一啲水
[00:11:27.000 --> 00:11:28.400]  然後返返去祭壇嗰度
[00:11:28.400 --> 00:11:30.600]  嚟到去囂電喺上面
[00:11:30.600 --> 00:11:34.200]  And this symbolic action
[00:11:34.200 --> 00:11:36.800]  looked back but also looked forward
[00:11:36.800 --> 00:11:40.600]  呢個帶住呢個咁有象徵性嘅行動
[00:11:40.600 --> 00:11:42.200]  唔單止係回望緊過去
[00:11:42.200 --> 00:11:44.000]  亦都係展望緊將來
[00:11:44.000 --> 00:11:46.000]  It looked backward to the time
[00:11:46.000 --> 00:11:48.000]  when Israel was wandering in the desert
[00:11:48.000 --> 00:11:49.200]  in the Exodus time
[00:11:49.200 --> 00:11:51.000]  佢哋回顧緊以色列嘅過去
[00:11:51.000 --> 00:11:53.400]  就係當佢哋作為一班
[00:11:53.400 --> 00:11:56.600]  一個子民佢哋喺曠野嘅時間裏面
[00:11:56.600 --> 00:11:59.000]  And they were dying of thirst
[00:11:59.000 --> 00:12:00.800]  佢哋當時非常之口渴
[00:12:00.800 --> 00:12:02.400]  渴到要死咁就係
[00:12:02.400 --> 00:12:04.400]  And they were complaining to Moses
[00:12:04.400 --> 00:12:06.400]  佢哋就喺度同摩西投訴
[00:12:06.400 --> 00:12:09.400]  So God told Moses to take the rod
[00:12:09.400 --> 00:12:10.800]  and to strike a rock
[00:12:10.800 --> 00:12:13.200]  所以神就吩咐摩西用杖
[00:12:13.200 --> 00:12:14.400]  嚟到去擊打石頭
[00:12:14.400 --> 00:12:15.800]  讓石頭流出水嚟
[00:12:15.800 --> 00:12:18.600]  And out came gushing living water
[00:12:18.600 --> 00:12:21.800]  喺嗰度就流出源源不絕嘅水活水
[00:12:21.800 --> 00:12:23.800]  And God's people were saved
[00:12:23.800 --> 00:12:25.200]  from dying of thirst
[00:12:25.200 --> 00:12:27.400]  神嘅子民就因為咁樣
[00:12:27.400 --> 00:12:30.000]  可以得到有水飲就唔使渴死
[00:12:30.000 --> 00:12:33.000]  But then this ritual also looked forward
[00:12:33.000 --> 00:12:36.000]  但係呢個儀式都係展望緊將來
[00:12:36.000 --> 00:12:37.600]  Because the Old Testament prophets
[00:12:37.600 --> 00:12:39.200]  he talked about a time
[00:12:39.200 --> 00:12:41.800]  when God would pour the spirit
[00:12:41.800 --> 00:12:44.200]  因為喺舊約嘅先知書裏面
[00:12:44.200 --> 00:12:45.600]  講到將來有一個日子
[00:12:45.600 --> 00:12:46.600]  神會嚟到去
[00:12:46.600 --> 00:12:48.800]  囂觀去傾倒佢嘅聖靈
[00:12:48.800 --> 00:12:50.200]  When the Messiah would come
[00:12:50.200 --> 00:12:53.200]  and would do a new redeeming work
[00:12:53.200 --> 00:12:55.200]  彌賽亞會嚟到做一個新嘅
[00:12:55.200 --> 00:12:57.000]  一個拯救嘅工作
[00:12:57.000 --> 00:12:59.800]  They used a lot of water imagery
[00:12:59.800 --> 00:13:01.600]  喺嗰度先知書裏面
[00:13:01.600 --> 00:13:03.600]  用咗好多水嘅異象
[00:13:03.600 --> 00:13:05.600]  Of rivers flowing from the temple
[00:13:05.600 --> 00:13:07.200]  Rivers flowing from Jerusalem
[00:13:07.200 --> 00:13:10.400]  And watering a thirsty parched land
[00:13:10.400 --> 00:13:12.000]  係水由聖殿
[00:13:12.000 --> 00:13:13.800]  由耶路撒冷嗰度流出嚟
[00:13:13.800 --> 00:13:16.200]  去到滋潤嗰個好乾旱嘅地
[00:13:16.200 --> 00:13:17.800]  And it spoke of the renewal
[00:13:17.800 --> 00:13:19.000]  that God wanted to do
[00:13:19.000 --> 00:13:22.600]  佢講到神將來要做一個更新嘅工作
[00:13:22.600 --> 00:13:23.600]  You can read about that
[00:13:23.600 --> 00:13:26.000]  Nisaiah, Ezekiel, Zechariah
[00:13:26.000 --> 00:13:27.400]  Joel and on and on
[00:13:27.400 --> 00:13:28.400]  我哋會見到
[00:13:28.400 --> 00:13:32.800]  彌賽亞書, 以西傑書, 撒加利亞書, 約爾書
[00:13:32.800 --> 00:13:34.400]  都係講緊呢一樣嘢
[00:13:34.400 --> 00:13:36.200]  But I just wanna look with you
[00:13:36.200 --> 00:13:38.400]  at Zechariah 14 verse 8
[00:13:38.400 --> 00:13:42.600]  但我想嚟睇下撒加利亞書第幾多
[00:13:42.600 --> 00:13:43.400]  14 verse 8
[00:13:43.400 --> 00:13:44.600]  44章第8節
[00:13:44.600 --> 00:13:48.200]  So it says this
[00:13:48.200 --> 00:13:48.800]  嗰度話
[00:13:48.800 --> 00:13:51.600]  在那日必有活水從耶路撒冷出來
[00:13:51.600 --> 00:13:53.200]  一半往東海流
[00:13:53.200 --> 00:13:54.600]  一半往西海流
[00:13:54.600 --> 00:13:56.400]  東夏都是如此
[00:13:56.400 --> 00:13:59.400]  So this section of scripture
[00:13:59.400 --> 00:14:01.400]  was actually even read during the festival
[00:14:01.400 --> 00:14:03.400]  呢節經文甚至喺節期嘅時候
[00:14:03.400 --> 00:14:04.800]  佢哋都會讀出嚟
[00:14:04.800 --> 00:14:09.000]  And it again spoke of this renewing work
[00:14:09.000 --> 00:14:10.600]  when God would come and would act
[00:14:10.600 --> 00:14:12.800]  in a new decisive way
[00:14:12.800 --> 00:14:14.600]  講到神將來有一個日子
[00:14:14.600 --> 00:14:17.200]  會嚟到好決斷咁做一件事
[00:14:17.200 --> 00:14:18.800]  去帶嚟更新
[00:14:18.800 --> 00:14:20.600]  And so this ceremony
[00:14:20.600 --> 00:14:23.200]  it expressed people's just longing
[00:14:23.200 --> 00:14:26.400]  and desires for greater work of God
[00:14:26.400 --> 00:14:28.600]  in their nation and in their own lives
[00:14:28.600 --> 00:14:30.800]  所以呢個儀式呢就代表住
[00:14:30.800 --> 00:14:32.200]  象徵住神嘅子民呢
[00:14:32.200 --> 00:14:33.200]  佢哋好渴望
[00:14:33.200 --> 00:14:34.800]  神嚟喺佢哋個人嘅生命
[00:14:34.800 --> 00:14:36.400]  以至於成個國家裏面
[00:14:36.400 --> 00:14:38.000]  去做一個更新嘅工作
[00:14:38.000 --> 00:14:41.200]  And now on the final and greatest day
[00:14:41.200 --> 00:14:42.400]  of this festival
[00:14:42.400 --> 00:14:45.000]  而就喺呢一個鑄棚節嘅最後
[00:14:45.000 --> 00:14:46.400]  最盛大嘅一日
[00:14:46.400 --> 00:14:49.800]  This ceremony was carried out seven times
[00:14:49.800 --> 00:14:50.800]  呢個嘅儀式呢
[00:14:50.800 --> 00:14:54.000]  係會連續嘅嚟到去進行七次
[00:14:54.000 --> 00:14:56.000]  And so just picture with me
[00:14:56.000 --> 00:14:58.000]  所以你同我一齊去想像下
[00:14:58.000 --> 00:15:00.400]  That the final water has been poured out
[00:15:00.400 --> 00:15:02.200]  最後嘅一次嘅水呢
[00:15:02.200 --> 00:15:03.400]  都被挑灌出嚟
[00:15:03.400 --> 00:15:06.000]  There are all these expectations and longings
[00:15:06.000 --> 00:15:08.400]  that people are expressing
[00:15:08.400 --> 00:15:10.200]  有好多人喺佢哋心裏面
