
[00:00:00.000 --> 00:00:01.700]   Have a seat.
[00:04:54.900 --> 00:04:56.540]   This was a very, very beautiful thing.
[00:04:56.540 --> 00:04:59.500]   It was a very precious, personal thing for me.
[00:04:59.500 --> 00:05:01.000]   And I was feeling like God was saying,
[00:05:01.000 --> 00:05:03.680]   "Give this to this man, this random man,
[00:05:03.680 --> 00:05:04.960]   "who I don't even think knows
[00:05:04.960 --> 00:05:07.620]   "or has accepted Jesus into his life."
[00:05:07.620 --> 00:05:09.940]   And I'm like, I don't know if I can give up
[00:05:09.940 --> 00:05:14.140]   something that is so sentimental and so precious to me
[00:05:14.140 --> 00:05:15.820]   to some random drug addict.
[00:05:15.820 --> 00:05:18.240]   I don't think that's what I'm gonna do.
[00:05:18.240 --> 00:05:19.080]   But as I'm praying,
[00:05:19.080 --> 00:05:22.220]   God is compressing this on my heart over and over again.
[00:05:22.220 --> 00:05:23.500]   And so eventually I'm kinda like,
[00:05:23.500 --> 00:05:24.960]   "Okay, well, I'm a new Christian.
[00:05:24.960 --> 00:05:26.780]   "I guess I better be obedient to God."
[00:05:26.780 --> 00:05:27.700]   And I said, "Okay, I'll do this."
[00:05:27.700 --> 00:05:30.420]   So now Dorgan's been speaking to this guy over this time
[00:05:30.420 --> 00:05:31.440]   for about five minutes.
[00:05:31.440 --> 00:05:34.020]   And after about five minutes, he turns to me and he says,
[00:05:34.020 --> 00:05:36.860]   "Have you been sensing anything in prayer?"
[00:05:36.860 --> 00:05:39.460]   And so I said to him, "Well, actually, funnily enough, yes.
[00:05:39.460 --> 00:05:43.060]   "I feel like God wants me to give this man my cross."
[00:05:43.060 --> 00:05:46.980]   Now, as soon as I said that, Dorgan's face goes white.
[00:05:46.980 --> 00:05:48.340]   And he's like, "Oh, dude," he goes,
[00:05:48.340 --> 00:05:49.580]   "you'll never guess what's happened.
[00:05:49.580 --> 00:05:51.000]   "I'm speaking to this guy in Cantonese.
[00:05:51.000 --> 00:05:52.000]   "I'm preaching the gospel.
[00:05:52.000 --> 00:05:53.140]   "I'm sharing Jesus with him.
[00:05:53.140 --> 00:05:55.180]   "But the whole time, God's been speaking to me
[00:05:55.180 --> 00:05:57.940]   "about giving my cross to him."
[00:05:57.940 --> 00:05:59.380]   And he said, "You don't understand, Andrew,
[00:05:59.380 --> 00:06:01.860]   "but my wife gave me this cross.
[00:06:01.860 --> 00:06:04.380]   "And this cross means a lot to me."
[00:06:04.380 --> 00:06:06.460]   And he's like, "I said to God,
[00:06:06.460 --> 00:06:08.820]   "no, I'm not gonna give him my cross.
[00:06:08.820 --> 00:06:09.780]   "And now you're telling me
[00:06:09.780 --> 00:06:11.200]   "that God told you to give your cross.
[00:06:11.200 --> 00:06:13.300]   "You should give your cross to this man."
[00:06:13.300 --> 00:06:15.340]   (audience laughing)
[00:06:15.340 --> 00:06:18.060]   I'm like, "That's so generous of you, Dorgan.
[00:06:18.060 --> 00:06:19.680]   "What a giver."
[00:06:19.680 --> 00:06:22.700]   So I figured I better be obedient.
[00:06:22.700 --> 00:06:25.300]   So I took off my cross, my precious cross
[00:06:25.300 --> 00:06:28.420]   that my wife had given me, or fiance.
[00:06:28.420 --> 00:06:30.180]   And as I held it out to this man,
[00:06:30.180 --> 00:06:31.780]   Dorgan's explaining what this is.
[00:06:31.780 --> 00:06:34.540]   The man unbuttons his shirt and he's wearing this,
[00:06:34.540 --> 00:06:37.180]   one of those kind of jade and gold Buddha,
[00:06:37.180 --> 00:06:39.780]   a big Buddha around his neck.
[00:06:39.780 --> 00:06:44.960]   And as the man decides to take off the Buddha from his neck,
[00:06:44.960 --> 00:06:47.140]   as he gets literally over his head like this,
[00:06:47.140 --> 00:06:48.340]   he starts to shake.
[00:06:48.340 --> 00:06:50.700]   And this was the first time
[00:06:50.700 --> 00:06:54.900]   that I'd ever seen anyone do a demonic manifestation.
[00:06:54.900 --> 00:06:57.700]   And he starts to shake and he starts to shout in Cantonese.
[00:06:57.700 --> 00:07:01.940]   And Dorgan begins to gently talk back with him.
[00:07:01.940 --> 00:07:05.300]   And then Dorgan takes my cross
[00:07:05.300 --> 00:07:06.700]   and puts it over this guy's neck.
[00:07:06.700 --> 00:07:08.780]   And honestly, as it went over his neck,
[00:07:08.780 --> 00:07:11.460]   almost at the same place that the medallion came off,
[00:07:11.460 --> 00:07:14.580]   as the cross went over, peace came over him.
[00:07:14.580 --> 00:07:17.020]   It was one of the most profoundly beautiful things
[00:07:17.020 --> 00:07:19.020]   I had ever witnessed.
[00:07:19.020 --> 00:07:20.780]   And Dorgan begins to pray for this man.
[00:07:20.780 --> 00:07:23.900]   And the man's in tears, I'm in tears, Dorgan's in tears.
[00:07:23.900 --> 00:07:25.180]   Dorgan's feeling slightly guilty
[00:07:25.180 --> 00:07:27.300]   'cause he didn't give up his cross,
[00:07:27.300 --> 00:07:31.340]   but I was the good Christian in that moment.
[00:07:31.340 --> 00:07:32.880]   So I was in tears.
[00:07:33.940 --> 00:07:36.820]   And I learned that day that there's a subversive act
[00:07:36.820 --> 00:07:39.140]   that happens when we're generous.
[00:07:39.140 --> 00:07:42.300]   That there's something that gets dislodged in us
[00:07:42.300 --> 00:07:43.740]   when we do it.
[00:07:43.740 --> 00:07:47.100]   And I think it's this tendency of moving against idolatry.
[00:07:47.100 --> 00:07:49.740]   It's this tendency of, I think we all have,
[00:07:49.740 --> 00:07:51.260]   with the things that we have in our lives,
[00:07:51.260 --> 00:07:53.340]   the resources we have, we wanna hold onto those things
[00:07:53.340 --> 00:07:55.900]   and we wanna grasp a hold of them really tightly.
[00:07:55.900 --> 00:07:57.140]   And when we release them,
[00:07:57.140 --> 00:08:00.300]   we release the grasp that those things have over us.
[00:08:00.300 --> 00:08:02.540]   Sometimes we don't realise that when we grasp a hold
[00:08:02.540 --> 00:08:04.460]   of our possessions really tightly,
[00:08:04.460 --> 00:08:06.500]   what's really grasping is not us with them,
[00:08:06.500 --> 00:08:08.100]   it's them with us.
[00:08:08.100 --> 00:08:11.500]   That's the idolatrous nature of these things on our lives.
[00:08:11.500 --> 00:08:14.860]   And our act of generosity is a way of doing two things.
[00:08:14.860 --> 00:08:17.740]   It releases that idolatry from us.
[00:08:17.740 --> 00:08:20.900]   It releases that grip that those things can have on us,
[00:08:20.900 --> 00:08:24.340]   but it also releases the gospel outwards into the world.
[00:08:24.340 --> 00:08:25.460]   Does that make sense?
[00:08:25.460 --> 00:08:28.540]   So I wanna talk to you about generosity a little bit today
[00:08:28.540 --> 00:08:31.860]   and link that a bit to our intimacy with God.
[00:08:31.860 --> 00:08:34.860]   And I wanna start by telling you that there's no surprise
[00:08:34.860 --> 00:08:38.180]   that I'm doing this after Chinese New Year last week.
[00:08:38.180 --> 00:08:41.380]   Chinese New Year, where Ellison so eloquently told us
[00:08:41.380 --> 00:08:43.580]   that the main thing that we say at Chinese New Year,
[00:08:43.580 --> 00:08:47.180]   Gong Hei Fa Chui, is actually hope you get rich.
[00:08:47.180 --> 00:08:48.780]   Are you with me, church?
[00:08:48.780 --> 00:08:50.620]   It's not a surprise, therefore, that God would say,
[00:08:50.620 --> 00:08:52.660]   "Let's talk about generosity the next Sunday.
[00:08:52.660 --> 00:08:56.340]   "I hope you get rich if it means you'll be more generous."
[00:08:56.340 --> 00:08:57.500]   Amen?
[00:08:57.500 --> 00:08:58.540]   Here's something I've noticed, though.
[00:08:58.540 --> 00:09:01.820]   Oftentimes when we get richer, we get less generous.
[00:09:01.820 --> 00:09:03.260]   And I wanna talk a little bit about that
[00:09:03.260 --> 00:09:05.700]   with you here today as well.
[00:09:05.700 --> 00:09:07.420]   Let me give you some thoughts, biblically,
[00:09:07.420 --> 00:09:09.940]   a theology of generosity to start with.
[00:09:09.940 --> 00:09:11.340]   The Bible's very, very clear
[00:09:11.340 --> 00:09:15.100]   that every single resource in this world
[00:09:15.100 --> 00:09:18.860]   comes and flows from the same source, and that is God.
[00:09:18.860 --> 00:09:21.420]   In other words, everything that we have ever received,
[00:09:21.420 --> 00:09:24.700]   creation itself, all the way down to every dollar
[00:09:24.700 --> 00:09:25.980]   that is in your bank account,
[00:09:25.980 --> 00:09:28.100]   every time that you have the emotions that you have,
[00:09:28.100 --> 00:09:29.740]   everything that you have in your life,
[00:09:29.740 --> 00:09:30.740]   the Bible's very clear,
[00:09:30.740 --> 00:09:32.500]   that all comes from the same source.
[00:09:32.500 --> 00:09:33.700]   It all comes from God.
[00:09:33.700 --> 00:09:36.340]   Now, I want you to think about that this way.
[00:09:36.340 --> 00:09:38.340]   If God, if everything that you have,
[00:09:38.340 --> 00:09:40.820]   all the resources in your life have come from God,
[00:09:40.820 --> 00:09:44.980]   then God is the most generous being there has ever been.
[00:09:44.980 --> 00:09:46.580]   If all of our resources are from God,
[00:09:46.580 --> 00:09:50.780]   then God, in his very nature, is generous, right?
[00:09:50.780 --> 00:09:53.060]   His heart is to give.
[00:09:53.060 --> 00:09:53.940]   This is a really important thing.
[00:09:53.940 --> 00:09:56.340]   His heart is not to consume and hoard.
[00:09:56.340 --> 00:09:59.260]   His heart is to release and give.
[00:09:59.260 --> 00:10:01.220]   That's the very nature of who God is.
[00:10:01.220 --> 00:10:04.100]   If everything comes from him and we have received,
[00:10:04.100 --> 00:10:06.540]   that means God has released and he has given.
[00:10:06.540 --> 00:10:10.460]   His generosity means that we have something
[00:10:10.460 --> 00:10:13.220]   that we can therefore be generous with.
[00:10:13.220 --> 00:10:16.220]   This is really important because a lot of Christians think
[00:10:16.220 --> 00:10:20.140]   that generosity is a moral imperative.
[00:10:20.140 --> 00:10:22.100]   What I mean by that is moral imperative means
[00:10:22.100 --> 00:10:23.700]   it's an ethically good thing to do.
[00:10:23.700 --> 00:10:26.300]   We think as Christians, we should be generous,
[00:10:26.300 --> 00:10:29.380]   whether that's to a charity, whether that's to our church,
[00:10:29.380 --> 00:10:30.860]   with our tithes and our giving.
[00:10:30.860 --> 00:10:32.460]   We think generosity is linked
[00:10:32.460 --> 00:10:35.060]   to some morally good thing to do.
[00:10:35.060 --> 00:10:38.660]   It's morally right or ethically right to give stuff
[00:10:38.660 --> 00:10:40.180]   to the people who are in need.
[00:10:40.180 --> 00:10:43.220]   The Bible never says that that is at the heart
[00:10:43.220 --> 00:10:44.060]   of what generosity is.
[00:10:44.060 --> 00:10:45.300]   The Bible talks about that,
[00:10:45.300 --> 00:10:46.860]   but it's not the heart of generosity.
[00:10:46.860 --> 00:10:49.100]   The heart of generosity doesn't flow
[00:10:49.100 --> 00:10:50.820]   from some moral imperative.
[00:10:50.820 --> 00:10:53.900]   It flows from the nature and the character of God.
[00:10:53.900 --> 00:10:58.900]   In other words, we are generous because God is generous,
[00:10:58.900 --> 00:11:02.140]   not because it's some ethically right thing to do.
[00:11:02.140 --> 00:11:05.020]   We are generous because as Christians,
[00:11:05.020 --> 00:11:08.460]   we want to be and live and reveal the nature
[00:11:08.460 --> 00:11:10.340]   and character of Jesus to the world.
[00:11:10.340 --> 00:11:13.740]   Our generosity is part of our revealing
[00:11:13.740 --> 00:11:16.740]   and understanding the character and the nature of God.
[00:11:16.740 --> 00:11:21.700]   Therefore, generosity is not an act, it is a response.
[00:11:21.700 --> 00:11:24.300]   Think of it this way, generosity is worship.
[00:11:24.300 --> 00:11:28.980]   'Cause worship is a response out of what God has done for us.
[00:11:28.980 --> 00:11:31.140]   So when we are generous,
[00:11:31.140 --> 00:11:33.620]   we're not just fulfilling some moral imperative
[00:11:33.620 --> 00:11:34.900]   in the world, although of course,
[00:11:34.900 --> 00:11:37.060]   it's good to give to those in need.
[00:11:37.060 --> 00:11:42.060]   We are actually worshiping in a response to who God is.
[00:11:42.060 --> 00:11:47.540]   In this way, generosity is never an act.
[00:11:47.540 --> 00:11:49.420]   It is always a response.
[00:11:49.420 --> 00:11:53.660]   Therefore, generosity is a lifestyle.
[00:11:53.660 --> 00:11:57.580]   It should be something that flows out of us all the time.
[00:11:57.580 --> 00:12:00.060]   But again, what happens so often for us Christians
[00:12:00.060 --> 00:12:02.900]   is that we think about generosity as an act,
[00:12:02.900 --> 00:12:04.260]   a one-off moment.
[00:12:04.260 --> 00:12:07.020]   We think that generosity is a mission,
[00:12:07.020 --> 00:12:08.220]   one thing we should do,
[00:12:08.220 --> 00:12:12.060]   rather than a mindset, something of who we are.
[00:12:12.060 --> 00:12:14.660]   And if you keep generosity as a mission,
[00:12:14.660 --> 00:12:16.560]   a one-off moment, an act,
[00:12:16.560 --> 00:12:18.500]   there's always gonna be a beginning and an end
[00:12:18.500 --> 00:12:19.660]   to your generosity.
[00:12:19.660 --> 00:12:22.940]   But if we flip that and think that generosity
[00:12:22.940 --> 00:12:26.500]   instead is a mindset out of the response of the character
[00:12:26.500 --> 00:12:27.900]   and the mindset of God,
[00:12:27.900 --> 00:12:29.780]   then generosity can begin to flow
[00:12:29.780 --> 00:12:31.420]   in every aspect of our lives.
[00:12:31.420 --> 00:12:35.300]   We're not thinking, oh, I haven't given my tithe this month.
[00:12:35.300 --> 00:12:38.100]   We're thinking, how do I give of everything that I have
[00:12:38.100 --> 00:12:40.140]   to flourish what God has given around me?
[00:12:40.140 --> 00:12:42.660]   Whether that's my time, my energy, my resources,
[00:12:42.660 --> 00:12:44.020]   my talent, my possessions,
[00:12:44.020 --> 00:12:45.820]   and yes, of course, my tithe to the church,
[00:12:45.820 --> 00:12:47.860]   whatever it is, I want to give
[00:12:47.860 --> 00:12:50.980]   out of an overflow of a mindset
[00:12:50.980 --> 00:12:52.900]   that is committed to revealing the nature
[00:12:52.900 --> 00:12:55.300]   and the character of God in this world.
[00:12:55.300 --> 00:13:00.300]   In this way, God calls us to be a generous people,
[00:13:00.300 --> 00:13:02.100]   not a people who are generous.
[00:13:02.100 --> 00:13:05.940]   There's a big difference between those two things.
[00:13:05.940 --> 00:13:08.780]   The call is to be a generous people,
[00:13:08.780 --> 00:13:13.500]   not a people who are occasionally, sometimes generous.
[00:13:13.500 --> 00:13:14.860]   There are too many Christians in this world
[00:13:14.860 --> 00:13:17.140]   who are occasionally generous.
[00:13:17.140 --> 00:13:19.940]   When the kind of church that I think Christ died for
[00:13:19.940 --> 00:13:23.420]   is a generous church, a generous people,
[00:13:23.420 --> 00:13:25.140]   a people who have made that part of their lifestyle
[00:13:25.140 --> 00:13:26.460]   and part of their mindset
[00:13:26.460 --> 00:13:29.380]   and are living out of the overflow of everything being,
[00:13:29.380 --> 00:13:33.020]   how can I be generous in this moment?
[00:13:33.020 --> 00:13:36.980]   Whatever that moment might be, are you tracking with this?
[00:13:36.980 --> 00:13:37.980]   Now, if this is all true,
[00:13:37.980 --> 00:13:41.100]   if that's a theology of generosity,
[00:13:41.100 --> 00:13:44.300]   what is the thing that enables us to do this?
[00:13:44.300 --> 00:13:45.820]   Or perhaps a better way of saying that is,
[00:13:45.820 --> 00:13:47.660]   what is the thing that stops us
[00:13:47.660 --> 00:13:50.380]   from actually being generous?
[00:13:50.380 --> 00:13:53.060]   Well, I think to understand
[00:13:53.060 --> 00:13:55.860]   how we live out a lifestyle of generosity
[00:13:55.860 --> 00:13:58.220]   rather than just moments of generosity,
[00:13:58.220 --> 00:13:59.980]   we have to understand the role that we have
[00:13:59.980 --> 00:14:02.100]   in the resources God has given us.
[00:14:02.100 --> 00:14:03.140]   I've already said, haven't I,
[00:14:03.140 --> 00:14:05.900]   that God has everything in His hands
[00:14:05.900 --> 00:14:07.500]   and God is the one who gives.
[00:14:07.500 --> 00:14:10.100]   Everything is flowing from the source of God.
[00:14:10.100 --> 00:14:13.500]   Therefore, God's role is ownership.
[00:14:13.500 --> 00:14:14.900]   That is not our role.
[00:14:14.900 --> 00:14:17.660]   But here's the number one mistake Christians make.
[00:14:17.660 --> 00:14:20.460]   We think we're owners of the things that God has given us.
[00:14:20.460 --> 00:14:22.140]   You are not an owner of it.
[00:14:22.140 --> 00:14:23.820]   I'm gonna say that one more time.
[00:14:23.820 --> 00:14:27.060]   You are not an owner of what God has given you.
[00:14:27.060 --> 00:14:28.340]   Your role is not ownership.
[00:14:28.340 --> 00:14:29.180]   That's God's role.
[00:14:29.180 --> 00:14:30.980]   And as soon as you take ownership
[00:14:30.980 --> 00:14:34.380]   of the things that God has given you, you're playing God.
[00:14:34.380 --> 00:14:36.420]   That's a very dangerous thing.
[00:14:36.420 --> 00:14:38.940]   What will happen is you will end up controlling
[00:14:38.940 --> 00:14:41.220]   what you have 'cause you think you're an owner of it.
[00:14:41.220 --> 00:14:42.100]   You're not an owner.
[00:14:42.100 --> 00:14:43.180]   God is very clear.
[00:14:43.180 --> 00:14:45.700]   The very first thing He says to humanity
[00:14:45.700 --> 00:14:47.820]   after He creates them, I talked about this two weeks ago
[00:14:47.820 --> 00:14:48.860]   when we talked about sex.
[00:14:48.860 --> 00:14:50.780]   In Genesis 1 and 2, He creates humanity
[00:14:50.780 --> 00:14:52.340]   and He gives them His creation.
[00:14:52.340 --> 00:14:53.620]   And He says, "Go and do what?
[00:14:53.620 --> 00:14:55.980]   "Go and steward what I have given you."
[00:14:55.980 --> 00:15:00.060]   So our role is not owner of all the things
[00:15:00.060 --> 00:15:02.180]   that God has created, all the resources at His disposal.
[00:15:02.180 --> 00:15:04.060]   Our role is steward.
[00:15:04.060 --> 00:15:08.420]   You are to be a steward of God's resources.
[00:15:08.420 --> 00:15:09.460]   That's your role.
[00:15:09.460 --> 00:15:11.460]   That's what you've been called to.
[00:15:11.460 --> 00:15:15.500]   And stewardship is really, really important.
[00:15:15.500 --> 00:15:18.300]   Stewardship, it's funny, we think ownership is important
[00:15:18.300 --> 00:15:20.740]   and stewardship is, stewardship is actually
[00:15:20.740 --> 00:15:22.300]   a huge responsibility.
[00:15:22.300 --> 00:15:23.620]   Think about this.
[00:15:23.620 --> 00:15:26.180]   If you are a steward of all of God's resources,
[00:15:26.180 --> 00:15:27.560]   here's the crazy thing.
[00:15:27.560 --> 00:15:31.860]   Your stewardship will either release more generosity
[00:15:31.860 --> 00:15:35.260]   into this world, the overabundant flow of God's resources,
[00:15:35.260 --> 00:15:38.300]   or it'll release more poverty in this world,
[00:15:38.300 --> 00:15:41.320]   the inequitable distribution of God's resources.
[00:15:42.240 --> 00:15:43.080]   - Yeah.
[00:15:43.080 --> 00:15:44.200]   - I'm gonna say that one more time
[00:15:44.200 --> 00:15:45.800]   'cause I don't think anybody's getting it in this room.
[00:15:45.800 --> 00:15:47.400]   It's really important.
[00:15:47.400 --> 00:15:51.160]   Your stewardship, how you think about yourself as a steward,
[00:15:51.160 --> 00:15:53.640]   will either release more generosity into this world,
[00:15:53.640 --> 00:15:55.200]   i.e. the flow of God's resources,
[00:15:55.200 --> 00:15:57.480]   or you will create more poverty in this world
[00:15:57.480 --> 00:15:59.840]   because there will be more inequitable distribution
[00:15:59.840 --> 00:16:01.440]   of God's resources.
[00:16:01.440 --> 00:16:04.880]   So that stewardship is an incredibly important thing.
[00:16:04.880 --> 00:16:08.240]   How we steward will release or withhold.
[00:16:08.240 --> 00:16:10.320]   How we steward will mean that people
[00:16:10.320 --> 00:16:12.160]   have an equitable distribution or not.
[00:16:12.160 --> 00:16:15.120]   How we steward will mean that things flourish around us
[00:16:15.120 --> 00:16:15.960]   or they won't.
[00:16:15.960 --> 00:16:17.080]   That's all around us,
[00:16:17.080 --> 00:16:20.460]   and so stewardship is the gateway to generosity.
