
[00:00:00.000 --> 00:00:07.720]   With the fullness of Him who fills everything in every way be upon us for the glory of Jesus
[00:05:38.960 --> 00:05:45.760]   And while Jerusalem over those 70 years has laid in ruins. It's not actually been empty
[00:05:45.760 --> 00:05:54.680]   Over the seven years that the Israelites the remnant have been in exile other nations have come and taken up positions within the city themselves
[00:05:54.680 --> 00:05:58.720]   Particularly four nations there was a nation of Samaria
[00:05:58.720 --> 00:06:03.800]   So you remember from week one when the Assyrians came down and attacked the ten tribes that had gone north
[00:06:03.800 --> 00:06:08.680]   Remember that their policy was to intermarry with the women there creating a new race
[00:06:08.760 --> 00:06:15.840]   That was half Jewish half Gentile that becomes known as the Samaritans and the Samaritans in the New Testament
[00:06:15.840 --> 00:06:20.640]   We know are hated by the Jewish people because they're a reminder of what happened with this
[00:06:20.640 --> 00:06:28.120]   Interbreeding between the Gentiles and the Jewish so they were north and Sambalat is the leader of those people
[00:06:28.120 --> 00:06:32.400]   There was also a nation to the right the Ammonites and their leader was Tobias
[00:06:32.560 --> 00:06:39.920]   There was a nation below who were the Arabians the people from Arabia in that area and then over on the west side
[00:06:39.920 --> 00:06:45.600]   There was a whole group of people called the people of Ashod now both Samaria the Ammonites the Arabians
[00:06:45.600 --> 00:06:51.160]   And the people from Ashod had moved in and taken up occupation of certain areas of Jerusalem
[00:06:51.160 --> 00:06:58.000]   Totally illegally, but in their minds they were thinking well the Jewish people have been desecrated. They're never coming back
[00:06:58.000 --> 00:07:01.240]   We may as well take some of this land for ourselves
[00:07:01.800 --> 00:07:03.480]   But now that Persia
[00:07:03.480 --> 00:07:11.440]   Oversaw the land and the king had given Nehemiah and Edith for him to have the permission from the king to rebuild the walls
[00:07:11.440 --> 00:07:18.080]   Those people who had been occupying that space begin to realize that their time now is very
[00:07:18.080 --> 00:07:26.360]   Limited and we see in the scripture here that Sambalat as he sees Israel beginning to rebuild the fortifications of their city
[00:07:26.360 --> 00:07:30.600]   He's angry and greatly incensed and this is understandable
[00:07:31.480 --> 00:07:37.120]   Because what's gonna happen here is that through him and a bunch of his cronies. They're gonna bring
[00:07:37.120 --> 00:07:41.720]   Opposition to the wall and the rebuilding process
[00:07:41.720 --> 00:07:47.480]   We also see this opposition that comes to the rebuilding of the temple and it's fascinating
[00:07:47.480 --> 00:07:54.920]   Because no matter what the Lord might be doing upon us no matter what transformation process that we are in
[00:07:54.920 --> 00:07:57.800]   Even if it has been God ordained
[00:07:58.320 --> 00:08:02.840]   God chosen the reality is the enemy is not going to like it
[00:08:02.840 --> 00:08:07.280]   The reality is is that the enemy is going to turn his face against it
[00:08:07.280 --> 00:08:14.000]   The reality is that there is going to be opposition and here's how often that opposition takes place
[00:08:14.000 --> 00:08:22.040]   Usually it comes from the people who are going to be stripped of their power if we are changed and transformed
[00:08:23.320 --> 00:08:31.320]   Opposition so often comes from the very voices of those who are likely to be threatened in their own authority or their
[00:08:31.320 --> 00:08:38.000]   own power by your transformation and here is Sambalat and his buddies and they're seeing that if Israel
[00:08:38.000 --> 00:08:45.600]   Refortified their walls their power is going to go and so he's angry. He's greatly incensed and he brings
[00:08:45.600 --> 00:08:48.960]   opposition to this process of rebuilding
[00:08:49.640 --> 00:08:55.440]   Now, I don't know about you, but this might seem somewhat kind of weird and kind of strange
[00:08:55.440 --> 00:09:01.560]   What's happening here because as Christians we can often think don't we that you look hey God's called me to this
[00:09:01.560 --> 00:09:07.880]   God's asked me to do this. This is actually God's project. It's not mine. He's the one who's giving me hope and faith
[00:09:07.880 --> 00:09:13.000]   He's the one who's asked me to focus on this transformation process that I'm in if God's in it
[00:09:13.000 --> 00:09:15.000]   Well, surely I'm gonna be blessed
[00:09:15.280 --> 00:09:22.880]   Well, surely if God's in it, everything's gonna be fine, right? Like if God has called me to it, then surely it's going to be smooth sailing
[00:09:22.880 --> 00:09:28.880]   You have to understand that perhaps one of the most damaging and yet attractive
[00:09:28.880 --> 00:09:36.320]   False Gospels that there is is the one that says that because you are in the will of God
[00:09:36.320 --> 00:09:38.920]   Everything's going to be easy
[00:09:38.920 --> 00:09:42.200]   Come on church. That is a false gospel
[00:09:42.560 --> 00:09:43.280]   in fact
[00:09:43.280 --> 00:09:49.360]   You can go through the pages of scripture and you can see some of the greatest heroes of the faith and they will tell you that
[00:09:49.360 --> 00:09:51.200]   Their story was something different
[00:09:51.200 --> 00:09:52.760]   But yeah, God had called them
[00:09:52.760 --> 00:09:53.160]   Yes
[00:09:53.160 --> 00:09:57.720]   God had equipped them God had a great plan and a purpose for their lives and they stepped out in faith
[00:09:57.720 --> 00:10:03.120]   But man, did they come up against opposition man? Was it challenging man? Was it difficult man?
[00:10:03.120 --> 00:10:07.400]   Was it hard man was there their time and where they wanted to give up where they wanted to go?
[00:10:07.680 --> 00:10:12.960]   They realized so often through the journey that they were weak that they didn't have it
[00:10:12.960 --> 00:10:19.680]   But every time they would say look God called me to this he's faithful, but that does not mean it's easy
[00:10:19.680 --> 00:10:27.240]   That doesn't mean that this is all gonna go smooth sailing. It doesn't mean that it's all gonna be rainbows and my little ponies
[00:10:27.240 --> 00:10:31.560]   Here's the true gospel
[00:10:31.760 --> 00:10:38.720]   The true gospel is that we have a God who doesn't miraculously just suddenly remove opposition from us
[00:10:38.720 --> 00:10:42.360]   We have a God who's decided to come down and stand in that opposition with us
[00:10:42.360 --> 00:10:51.320]   We have a God where the true gospel is a God who's willing to suffer who's willing to feel pain
[00:10:51.320 --> 00:10:56.240]   Who's willing to stand in the gap who's willing to walk the hard yards?
[00:10:56.240 --> 00:10:59.320]   Knowing that it is only through death and resurrection
[00:11:00.120 --> 00:11:02.120]   That true life can come
[00:11:02.120 --> 00:11:06.520]   You know Jesus himself was tempted by this false gospel
[00:11:06.520 --> 00:11:11.360]   Remember that moment where just after his baptism before he starts his ministry
[00:11:11.360 --> 00:11:17.480]   The Holy Spirit leads him into the wilderness to be tested by Satan for 40 days and nights
[00:11:17.480 --> 00:11:25.160]   and the second of those temptations is that Satan takes Jesus up to the top of this high mountain and he shows him all of the
[00:11:25.720 --> 00:11:32.200]   Nations of the world in their glory and their splendor and Satan says this to Jesus. He says Jesus if you just worship me
[00:11:32.200 --> 00:11:34.200]   I'll give everything to you
[00:11:34.200 --> 00:11:42.120]   See Jesus knew that his calling was to redeem the world and here's Satan saying you can take the world without the cross
[00:11:42.120 --> 00:11:47.880]   You can take the my little pony route if you just worship me
[00:11:47.880 --> 00:11:50.840]   And we know in the story that Jesus
[00:11:51.040 --> 00:11:58.560]   Resists that temptation quote scripture at Satan and makes the choice not just then but every step of the way
[00:11:58.560 --> 00:12:05.520]   To say even though it's gonna be super hard super difficult. It's gonna be painful. There's gonna be suffering involved
[00:12:05.520 --> 00:12:11.640]   I know that the way to true redemption is not to worship somebody who's gonna suddenly give it all to me
[00:12:11.640 --> 00:12:18.520]   It's to actually pay the price for the world's sin on my shoulders through the pain of the cross and the wonder of the resurrection
[00:12:19.040 --> 00:12:25.880]   And the gospel sits on this profound idea that our God was willing to suffer
[00:12:25.880 --> 00:12:28.760]   and in the beauty of the resurrection
[00:12:28.760 --> 00:12:34.720]   We have a God who has as we've just seen from that song and as we just read from the book of Ephesians
[00:12:34.720 --> 00:12:39.680]   That now he is seated at the right hand of the father and there's no other title
[00:12:39.680 --> 00:12:42.520]   No other name no other power that is higher than him
[00:12:42.520 --> 00:12:48.240]   Everything is under his feet and in the wonder of that power. He has poured out his love to the church
[00:12:48.760 --> 00:12:52.360]   See the wonder of the gospel that we stand for
[00:12:52.360 --> 00:12:58.640]   Is that we have a God who meets us in our place of death and resurrection
[00:12:58.640 --> 00:13:03.200]   This is why Jesus himself said if you want to follow me
[00:13:03.200 --> 00:13:08.200]   You're gonna need to have to deny yourself and pick up your cross
[00:13:08.200 --> 00:13:10.920]   Then you can follow me
[00:13:12.240 --> 00:13:14.240]   That's why in the New Testament the
[00:13:14.240 --> 00:13:20.200]   writers like Paul and Peter and others speak so often about our own journey of death and resurrection
[00:13:20.200 --> 00:13:29.320]   Paul saying these wonderful words in Corinthians saying I'm willing to take the dying side if that means you can have the rising side
[00:13:29.320 --> 00:13:35.800]   So our gospel is not if you're in the will of God everything's gonna be great
[00:13:35.800 --> 00:13:40.360]   Our gospel is sometimes the will of God means things are gonna feel like death
[00:13:41.120 --> 00:13:43.120]   and resurrection
[00:13:43.120 --> 00:13:51.960]   So the sober reality is if you're in a season of personal transformation in your life hear this you are going to be opposed
[00:13:51.960 --> 00:13:56.840]   It's gonna be hard. It's gonna be tough. It's gonna be some pain
[00:13:56.840 --> 00:14:05.680]   Involved and that opposition is gonna come from people around you who feel like their power is being stripped because you are getting better
[00:14:06.360 --> 00:14:11.960]   That opposition is gonna come from unjust systemic issues in society around us
[00:14:11.960 --> 00:14:21.080]   That opposition is gonna come directly from satanic influence in our lives and also hear this that opposition is gonna come from yourself
[00:14:21.080 --> 00:14:24.280]   The way you think about yourself
[00:14:24.280 --> 00:14:31.400]   The way you reflect on yourself what you believe about yourself how you see your identity
[00:14:31.840 --> 00:14:38.680]   Sometimes we're our worst enemy and sometimes the greatest opposition to the movement of the Lord in our lives is not everything else
[00:14:38.680 --> 00:14:45.200]   I just talked about it's merely the fact that we are preaching a false gospel to ourselves
[00:14:45.200 --> 00:14:54.600]   The beautiful thing we have is that in Nehemiah 4, 5, and 6 just these three chapters
[00:14:54.600 --> 00:14:59.760]   We see the story of the rebuilding of the walls of Jerusalem and in this we see
[00:15:00.640 --> 00:15:08.760]   specific moments of opposition to that rebuilding and as we study these chapters what you can learn are some great tips if you will
[00:15:08.760 --> 00:15:14.400]   some great understanding of what opposition is going to look like in your journey and
[00:15:14.400 --> 00:15:18.200]   So for Israel and theirs I think also for us
[00:15:18.200 --> 00:15:24.080]   What we're just about to look at in a moment is how opposition comes for Israel in the rebuilding of the wall in
[00:15:24.240 --> 00:15:29.440]   three times right at the start of the process of the building right in the middle of the process and just
[00:15:29.440 --> 00:15:32.040]   before completion at the end
[00:15:32.040 --> 00:15:36.880]   And in your own journey of personal transformation the same is going to happen to you
[00:15:36.880 --> 00:15:41.480]   These attacks could happen at any time, but you are gonna have profound opposition when you start
[00:15:41.480 --> 00:15:48.800]   You're gonna have some profound opposition in the middle and you're gonna be really oppressed right towards the end and these
[00:15:49.120 --> 00:15:56.680]   Oppositions are designed to make sure that you never complete the transformation that the Lord has on his heart for you
[00:15:56.680 --> 00:16:03.040]   And so I'm really excited because we're actually going to expose these enemy strategies here this morning
[00:16:03.040 --> 00:16:06.000]   And as we expose these and look at these three
[00:16:06.000 --> 00:16:12.040]   Oppositions that come my prayer is that this will equip you to be stronger in the journey that you in
[00:16:12.040 --> 00:16:15.200]   Remember this is not going to equip you to never be opposed
[00:16:15.200 --> 00:16:18.120]   to never feel these oppositions
[00:16:18.600 --> 00:16:25.280]   Instead I'm hoping it'll give in your mind and in your spirit an understanding of the way that the enemy works
[00:16:25.280 --> 00:16:27.360]   But also a way in which the Lord
[00:16:27.360 --> 00:16:31.960]   Renews and redeems even within it. So father
[00:16:31.960 --> 00:16:37.560]   I pray that as we open your word here this morning, this would be life for every single one of us
[00:16:37.560 --> 00:16:41.880]   Lord, we all recognize some of the opposition that is against us
[00:16:41.880 --> 00:16:46.920]   External to us and also internal in our own narrative
[00:16:47.480 --> 00:16:54.320]   Lord, we want to pray that as we move forward as a church in the months ahead to this journey of transformation
[00:16:54.320 --> 00:17:01.040]   That what we see in your word today would be the very rear guard that we need for all the things that are ahead
[00:17:01.040 --> 00:17:02.720]   We pray this in Jesus name
[00:17:02.720 --> 00:17:06.400]   So let's go back to Nehemiah 4 verse 1. So the very first
[00:17:06.400 --> 00:17:10.640]   Opposition that will always come in a season of personal transformation
[00:17:10.640 --> 00:17:15.880]   Often at the start of that season is the opposition of ridicule
[00:17:17.240 --> 00:17:20.280]   Let me read this to you from Nehemiah 4 first three verses
[00:17:20.280 --> 00:17:25.640]   When Sambalat heard that they were rebuilding the wall, he became angry and was greatly incensed
[00:17:25.640 --> 00:17:31.000]   He ridiculed the Jews and in the presence of his associates and the army of Samaria
[00:17:31.000 --> 00:17:37.880]   He said what are these feeble Jews doing? Will they restore their wall? Will they offer their sacrifices?
[00:17:37.880 --> 00:17:39.600]   Will they finish in a day?
[00:17:39.600 --> 00:17:45.600]   Can they bring the stones back to life from the heaps of rubble that they are burned as they are?
[00:17:46.440 --> 00:17:53.200]   Tobiah the Ammonite who was at his side said this what they are building if even a fox climbed up on it
[00:17:53.200 --> 00:17:55.480]   He would break down their walls of stone
[00:17:55.480 --> 00:17:59.560]   Can you hear it?
[00:17:59.560 --> 00:18:03.800]   These two guys are like, you know in the Muppets the grumpy old men on the balcony
[00:18:03.800 --> 00:18:08.720]   That's like what these two guys are and it's always like I love Tobiah
[00:18:08.720 --> 00:18:13.360]   It's like Sambalat is like saying all these things against Israel and Tobiah is like the small guy
[00:18:13.640 --> 00:18:18.960]   Standing next to him and at the end he's like throws in his two pieces and it's about some fox climbing on them
[00:18:18.960 --> 00:18:21.160]   And you can almost feel Sambalat going shut up
[00:18:21.160 --> 00:18:25.800]   Ridicule is
[00:18:25.800 --> 00:18:32.080]   the central opposition that will come to you at the beginning of a building process, the beginning of a rebuilding of something in your life
[00:18:32.080 --> 00:18:35.520]   At this point they have begun to rebuild the walls
[00:18:35.520 --> 00:18:43.240]   The first stones are being put into place and Sambalat begins to speak this ridicule over Israel because the plan
[00:18:43.400 --> 00:18:46.360]   Is to try to disrupt them right at the start
[00:18:46.360 --> 00:18:50.760]   And Sambalat begins by saying a couple of questions. Let me break these down quickly
[00:18:50.760 --> 00:18:58.160]   He says first of all, what are these feeble Jews doing? I love this Sambalat starts by saying you're feeble
[00:18:58.160 --> 00:19:01.680]   Do you really think that you can do this project?
[00:19:01.680 --> 00:19:09.760]   The word in the Hebrew that's Nehemiah uses for feeble here is a word that normally is associated with plants and the idea of a plant
[00:19:09.960 --> 00:19:16.400]   Withering like a plant dying and withering and he starts by saying will these withering
[00:19:16.400 --> 00:19:20.320]   Jewish people be able to have any strength whatsoever
[00:19:20.320 --> 00:19:23.960]   Now this is really important. I want you to see something here
[00:19:23.960 --> 00:19:31.560]   the reason why ridicule is so powerful particularly at the beginning of a transformation process is
[00:19:31.560 --> 00:19:34.960]   Because ridicule often comes with an element of truth
[00:19:35.920 --> 00:19:43.840]   The most powerful ridicule that will be impactful in your life are those ridicules that connect with something that might be actually true in you
[00:19:43.840 --> 00:19:46.400]   Because at this point in time
[00:19:46.400 --> 00:19:48.680]   Actually Israel is withered
[00:19:48.680 --> 00:19:54.440]   They are a very small reflection of the strength of the nation that they were 70 years ago
[00:19:54.440 --> 00:19:58.680]   Whilst they don't use the word withered about themselves. The word that is used is remnant
[00:19:58.680 --> 00:20:05.400]   They're a remnant of what they used to be. They don't have that powerful city. They used to have they don't have a powerful army anymore
[00:20:05.400 --> 00:20:11.640]   There's just a few feeble groups of Jewish people that are believing in a God who can do
[00:20:11.640 --> 00:20:16.040]   Everything greater than they would ever do but ridicule hurts
[00:20:16.040 --> 00:20:20.360]   Ridicule has power because there's an element of truth within it. Oh
[00:20:20.360 --> 00:20:24.920]   You want to be an entrepreneur
[00:20:24.920 --> 00:20:31.840]   You want to be an entrepreneur you can't even hold down a job let alone run your own business. Oh
[00:20:31.840 --> 00:20:34.840]   You want to get married?
[00:20:34.840 --> 00:20:36.840]   *laughs*
[00:20:36.840 --> 00:20:43.240]   Sorry, you want to get married? Have you looked in the mirror lately?
[00:20:43.240 --> 00:20:48.840]   I wasn't pointing at anyone by the way, I just want to like
[00:20:48.840 --> 00:20:52.120]   There's like a dead space over here. I'm
[00:20:52.120 --> 00:20:54.880]   pointing at the dead space
[00:20:54.880 --> 00:21:00.960]   But we know right ridicule actually really hurts because it picks up on a half-truth inside us
[00:21:00.960 --> 00:21:05.320]   Yeah, I actually have failed in my business before why would I think that this time I'm gonna do better?
[00:21:05.320 --> 00:21:05.860]   Yeah
[00:21:05.860 --> 00:21:10.280]   I guess I'm not in the physical shape that I thought I would always be in and I guess I'm not gonna be attractive to
[00:21:10.280 --> 00:21:14.220]   Anyone or whatever it is, but we wrestle don't we with these half-truths now
[00:21:14.220 --> 00:21:17.380]   I want you to see what the ridicule connected to truth is trying to do
[00:21:17.380 --> 00:21:22.940]   It's trying to highlight something that might be true in you, but that isn't important to God
[00:21:22.940 --> 00:21:28.080]   So it might be true in you. Yeah, I am feeling a bit weak. Yeah, I guess I've always failed
[00:21:28.080 --> 00:21:32.420]   Yes, I do. I feel bad about myself and God is saying that's actually not the important thing here
[00:21:32.420 --> 00:21:39.160]   But what ridicule does is it picks up on that and what it causes us to do is stop thinking about God and start thinking
[00:21:39.160 --> 00:21:40.840]   about ourselves
[00:21:40.840 --> 00:21:47.800]   It means that we begin to put our place ourself in the center place right at the beginning of the project
[00:21:47.800 --> 00:21:52.020]   When we should be going hey God's in this God's called me
[00:21:52.020 --> 00:21:54.200]   I don't think I have all the strength inside of me
[00:21:54.200 --> 00:21:59.180]   But you know what I'm gonna walk in faith believing that he can equip me. He can resource me
[00:21:59.180 --> 00:22:01.680]   He can do things that I never thought I could ever do
[00:22:01.680 --> 00:22:06.600]   I'm gonna put my trust in a God who is able to do immeasurably more than I ever I could ask or imagine
[00:22:06.600 --> 00:22:10.800]   According to the power that is a work in the church or whatever it might be
[00:22:10.800 --> 00:22:16.960]   But we begin to stand like rather than do that. We begin to think yeah, I guess the ridicule is right. I
[00:22:16.960 --> 00:22:23.040]   Guess I am feeble. I guess I don't have it and this feeble attack
[00:22:23.480 --> 00:22:25.480]   attacks physical identity
[00:22:25.480 --> 00:22:28.280]   How we see ourselves
[00:22:28.280 --> 00:22:33.400]   But notice his second question he then goes on he says will they restore their wall?
[00:22:33.400 --> 00:22:41.720]   The first one is attack on physical identity. The second one still ridicule is the attack on their actual mental strength
[00:22:41.720 --> 00:22:44.160]   Do you really think you can do it?
[00:22:44.160 --> 00:22:49.840]   Do you think you have the ability? Do you think you can restore the wall? Will they restore the project?
[00:22:49.840 --> 00:22:52.920]   Hey, you're right at the start. There's a long way to go
[00:22:52.920 --> 00:22:55.800]   Have you seen how much rubble is around right now?
[00:22:55.800 --> 00:23:02.720]   like do you really think because if you think that you got to go check out some mental health class or something because
[00:23:02.720 --> 00:23:08.080]   Ridicule picks up on attacking not just our physical identity and how we see ourselves
[00:23:08.080 --> 00:23:13.520]   But the way in which we think the way in which our mind is our mental strength
[00:23:13.520 --> 00:23:20.960]   Will they restore their wall? It's almost like sound like taking bets in front of them. You're never going to do this
[00:23:22.120 --> 00:23:25.960]   And the third thing he says which I think is really interesting. He says will they offer
[00:23:25.960 --> 00:23:30.480]   Sacrifices so he's attacked through ridicule their physical identity
[00:23:30.480 --> 00:23:36.480]   He's then attacked the mental identity the way they think he's now attacking their spiritual identity
[00:23:36.480 --> 00:23:38.880]   Will you offer sacrifices?
[00:23:38.880 --> 00:23:43.240]   You can almost hear the taunt that Sam Malat is saying here. Remember think about the history
[00:23:43.240 --> 00:23:49.680]   You can almost hear Sam Malat saying your forefathers. They offered sacrifices right here in this city
[00:23:49.680 --> 00:23:55.120]   Oh, you used to have a beautiful temple where you offered sacrifices all the time. Look how that turned out for them
[00:23:55.120 --> 00:24:01.400]   Like have you seen that your forefathers put their faith in this God who turned his back on you?
[00:24:01.400 --> 00:24:06.360]   You went into exile and now you've returned in this place is a rubble amongst you
[00:24:06.360 --> 00:24:12.000]   You're gonna trust the same God that your forefathers trusted. Okay, go ahead. Let's see how that's gonna turn out
[00:24:12.000 --> 00:24:15.480]   Are you really gonna offer sacrifices to that one?
[00:24:15.840 --> 00:24:20.760]   Let me tell you about another God that you can offer sacrifices to one who can really help you
[00:24:20.760 --> 00:24:27.800]   For all of us when ridicule hits us right at the start of the project right at the start of a season of transformation
[00:24:27.800 --> 00:24:32.840]   We're very tempted to begin to second-guess what God has been saying to us
[00:24:32.840 --> 00:24:39.280]   Second guess our trust in him second guess the things that he's spoken into us by his word or or prayer or
[00:24:39.280 --> 00:24:43.160]   Somebody said something to us and it's given us that impetus to begin
[00:24:43.160 --> 00:24:49.200]   But very quickly as ridicule comes it begins to attack the very basic foundation of our faith
[00:24:49.200 --> 00:24:56.200]   Yeah, I don't know. Did God really say that? Is God really gonna come through? Yeah, I've seen him come through for others
[00:24:56.200 --> 00:25:00.560]   But yeah, let me stop and think about it actually for the actually so many of my prayers are unanswered
[00:25:00.560 --> 00:25:05.160]   So many yeah, everybody else seems to have a testimony about how great God is
[00:25:05.160 --> 00:25:08.880]   But if I think about my life, I'm not sure if it's really true for me
[00:25:11.320 --> 00:25:17.760]   So here's Sam Blatt and he's using ridicule to attack the three essential things physical identity mental strength
[00:25:17.760 --> 00:25:23.600]   spiritual life spiritual identity and when we as people are under this
[00:25:23.600 --> 00:25:30.960]   Opposition we begin to believe what ridicule is saying to us. Here's the two things that are always going to happen
[00:25:30.960 --> 00:25:34.780]   He mentions is it he says will they finish in a day?
[00:25:34.780 --> 00:25:40.880]   When we allow right at the start and this is why ridicule comes at the beginning of a process when we allow the ridicule to
[00:25:40.880 --> 00:25:41.440]   Come right at the start
[00:25:41.440 --> 00:25:47.840]   Here's what we begin to think because of my physical identity because of that thinking because of the spiritual stuff because everything now is in
[00:25:47.840 --> 00:25:50.400]   Doubt I'm thinking there's no way this could ever happen
[00:25:50.400 --> 00:25:55.320]   There's no way this will this will happen. I can't finish this
[00:25:55.320 --> 00:26:00.600]   It's not gonna take place and we're tempted to put down the tools straight away
[00:26:00.600 --> 00:26:03.600]   Look at the second or the final one
[00:26:03.600 --> 00:26:07.240]   He says this can they bring the stones back to life from the heaps of rubble?
[00:26:07.320 --> 00:26:14.160]   Burned as they are not only do we second-guess whether we can do it. We then second-guess the resources God has given us to do it
