
[00:00:00.000 --> 00:00:06.000]  多謝Ivan,我有個問題想問的,為什麼你去完日本之後帶了一個韓國的髮型回來?
[00:03:29.000 --> 00:03:51.000]  回想一下我過去的經歷,我在這裡有時候去想,如果我去想一下我自己是怎樣去成長的話,有幾種不同的方式,第一有些時候神在我生命裡面的成長是透過我在我生命裡面有一些paradigm shift,就是我們的心思意念,我們的思想的模式有些東西改變了
[00:03:51.000 --> 00:04:06.000]  有時候保羅在羅馬書裡面我們講過很多次,我們心意更新而變化,他更新了我裡面想事情的方法,那個思維模式,當我們接受了一些全新的觀點,全新的看法的時候,那些轉變就會發生
[00:04:06.000 --> 00:04:34.000]  例如在路加福音第24章裡面,在第一個復活節的時候,復活的耶穌在二萬五師的路上遇見了兩個門徒,那兩個門徒本來是那口那面很不開心,耶穌在那個地方把他們從舊約,從創世紀一路開始講到舊約的完結的部分,由頭講一次給他們聽,給他們有一個全新的思維,給他們一個全新的看法去理解舊約的聖經
[00:04:34.000 --> 00:04:58.000]  然後就是一個思維的改變之後,突然間這樣,他們突然間就完全不同了,他們看耶穌,他們去看神的國度,他們去看他們自己的身份,立即改變了,一個思維的改變,一個全新的認知,本身可以為我們的生命帶來一些成長,因為那個思維的轉變裡面,他們遇到了真理他自己
[00:04:58.000 --> 00:05:10.000]  他們和耶穌去相遇的時候,當耶穌去講解真理給他們聽的時候,他們和真理有一個Truth Encounter,他們遇見了真理,他們進入了真理裡面
[00:05:10.000 --> 00:05:32.000]  很多時候這件事會在教會,會在我們的教導,會在我們的講道的時間,我們希望有這些事情是會發生得到,我們的思想我們坐在這裡的時候,當神的話語被宣講出來的時候,我們和真理都可以有一個相遇,以致我們裡面可以有一個改變,有一些成長
[00:05:32.000 --> 00:05:52.000]  有一些時候是在教會可能你查經,或者在講道,或者你在小組裡面的時候發生,也有一些時候這種思維的改變會發生在我們自己個人的生命裡面,是聖靈在你一個經歷裡面的時候,他特意走來和你細細聲講一句話,你聽到的時候,突然間裡面自己改變了
[00:05:52.000 --> 00:06:04.000]  在我人生裡面,我可以回望我人生裡面的時候,我想到有很多很多這樣的時刻,是聖靈親自來到和我講一些東西,去啟發我,令到我有一些成長改變
[00:06:04.000 --> 00:06:33.000]  不過去年,或者當2024年開始之前,我又在這裡祈禱,接下來今年要怎麼樣,或者我在這裡和神聊天的時候,我聽到在2024年開始之前,神和我說了一句話,我聽完之後,我聽到神和我說,是時候go back to the basics
[00:06:33.000 --> 00:06:53.000]  回去還原基本步,什麼還原基本步,就是要專注做那些最簡單,最平凡,最普通,最基本的東西,我原本以為如果我要成長,如果我要變得更加像耶穌,如果我的關係想和耶穌更加親密的話
[00:06:53.000 --> 00:07:07.000]  我應該去做一些我以前從來沒有做過的事,例如去一個很冒險很冒險的宣教旅程,去到那些我現在回來都不可以告訴你我去了什麼地方,那些地方
[00:07:07.000 --> 00:07:26.000]  那麼精彩那麼驚險的冒險旅程,一定就會有一些paradigm shift,我一定就會突然間恍然大悟,人生就成長了,或者可能是我應該要去找一些熟齡的偉人和他們見過面,和他們聊聊天,聽過一句話,突然間我就會,突然間那個人就成長了
[00:07:26.000 --> 00:07:48.000]  最後2024年我真的有遇到一些這樣的人,但是那一刻當我在追求,我想透過有思維模式的改變,而去到有成長的時候,神偏偏和我說2024年Chairman我想你經歷的是回到基本步,回到還原基本步,go back to the basics
[00:07:48.000 --> 00:08:09.000]  2024年,有一件事對我來說我都幾意想不到神會和我說這樣的東西,我重新去接觸一個在我潛意識裡面我抗拒了都一段時間的一個概念,那個概念叫做熟齡操練
[00:08:09.000 --> 00:08:29.000]  可能很多人聽到這個就說,有沒有搞錯,你是傳道人,你很抗拒熟齡操練,有沒有搞錯,冷靜一點聽我說,作為一個華人從小到大在香港成長,從小到大上教會,我小時候上的教會環境對熟齡操練是非常重視和強調
[00:08:29.000 --> 00:08:51.000]  我以前教會的傳道人,幸好和我一陣教會佔入去教K-4C,我小時候教會的傳道人是會每個禮拜見到你都問,你這個禮拜靈修了沒有,我靈了,靈了多少次,即是小時候每個禮拜回到教會就是被人這樣問,你有沒有靈修,我靈了,我靈了多少次
[00:08:51.000 --> 00:09:05.000]  在我小時候我所認知的就是我花時間和神一齊,對我來說好像要做功課,做功課我都是花五天學,加五天功課,靈修要加七天功課,還多過上學
[00:09:05.000 --> 00:09:19.000]  可能有很多人都會有這樣的經歷,就是我這個星期沒有讀經,沒有靈修,或者沒有做足七天,我真的很懶惰,我真的不應該,我真的不夠愛神,我真的很差
[00:09:19.000 --> 00:09:34.000]  或者有時候是相反,如果那個禮拜我真的做齊了七天,靈了七天修,看完七天聖經,跟完讀經,看完之後,我心裏面就會有一種非常自滿的感覺
[00:09:34.000 --> 00:09:51.000]  嘩,太棒了,屬靈超人,為什麼我可以這麼屬靈,為什麼我可以這麼愛主,你看我身邊的人,哇,你看每一個都六個tick,五個,哎呀,真可憐,有一種自滿的感覺
[00:09:51.000 --> 00:10:03.000]  所以在我的成長背景裏,這個可能是我自己的認知障礙,不過在我成長的認知裏,在我體驗到什麼叫做屬靈操練裏
[00:10:03.000 --> 00:10:11.000]  我覺得屬靈操練就好像我要努力去令到我自己覺得我自己好一點,或者令到別人覺得我好一點
[00:10:11.000 --> 00:10:23.000]  後來我明白到,當我一聽到這句說話,耶穌來他不是要建立一個宗教,耶穌來他是要和我們建立關係,他不是來建立religion,他是來和我們建立relationship的時候
[00:10:23.000 --> 00:10:38.000]  我就突然間開心大發現,原來我以前學的東西好像不是很對,好像是錯的,由那個時候開始,我就覺得我只是想和耶穌建立關係,我只是想成為他的愛人
[00:10:38.000 --> 00:10:56.000]  God Jesus, lover of my soul,中文也有一些,我也會唱,耶穌是我的資深友,有人有共鳴,你一笑就出賣年齡,anyway,真的有共鳴
[00:10:56.000 --> 00:11:07.000]  我只是想和耶穌建立關係,我想做耶穌的愛人,我想做他最好的朋友,我只是想享受和他的關係裏面,而關係應該是順其自然的
[00:11:07.000 --> 00:11:17.000]  關係應該是organic的,不是靠你做那麼多操練那些東西,這些你全部都是為了自己,只是建立自己,我和耶穌是要建立關係的
[00:11:17.000 --> 00:11:26.000]  所以這些那麼立法主義,那些那麼法理賽式的東西,我不要了,我扔掉它,總之耶穌是我最好的朋友就行了
[00:11:26.000 --> 00:11:45.000]  簡單一點來說,在我小的時候,屬靈操練和關係這兩樣東西,對我來說,在信仰的追求上是兩個極端,直到我做了人父親之後
[00:11:45.000 --> 00:11:56.000]  神透過我的兩個女兒,或者透過我和她們相處的時間,神重新教導了我什麼叫做屬靈操練的真理
[00:11:56.000 --> 00:12:05.000]  話說在疫情完了沒多久之後,我和Rothlin就加入了我們葡萄藤教會在元朗,開始在那裏服侍
[00:12:05.000 --> 00:12:14.000]  那段時間,本身因為疫情,大家不用外出,有什麼都在網上,我們頭兩年多兩三年時間都是留在家裏
[00:12:14.000 --> 00:12:24.000]  疫情之後來到元朗,開始要多點出夜街回來服侍,禮拜三有Alpha,禮拜四有年勁拜,有時候不知道又有什麼,又要開個會
[00:12:24.000 --> 00:12:36.000]  我記得有一次,當我們兩個準備出門的時候,我們的女兒突然就哭了,她說了一句話,她說,我不要爸爸媽媽回教會
[00:12:36.000 --> 00:12:47.000]  在那一晚之後,我們就開始非常留意我們晚上的自己的行程,我們盡量要確保我們有足夠的時間在家裏陪我們的小朋友
[00:12:47.000 --> 00:12:55.000]  或者我們至少決定,我不可以連續兩晚不在家裏吃飯,我不可以連續skip兩晚的晚餐
[00:12:55.000 --> 00:13:06.000]  當然,這個都是一個願景,有時候做到,有時候也會做不到,就算我做不到的時候,起碼我知道現在開始我很重視這件事
[00:13:06.000 --> 00:13:19.000]  當我安排我的行程的時候,我會考慮這件事,我發現原來要優先去考慮對我來說最重要的人,如果我想和他們建立關係,是要付出努力的
[00:13:19.000 --> 00:13:31.000]  當我想對那些我覺得最重要的人,我想對他們say yes的時候,原來我要對很多東西say no,而一次又一次又一次開始去say no
[00:13:31.000 --> 00:13:46.000]  一次又一次堅持晚上坐在我的飯桌上和我的家人吃飯,這件事變了在我生命裏面的一個熟齡操練,或者起碼是一個操練,或者是一個discipline,是一個紀律
[00:13:46.000 --> 00:13:58.000]  我學到的功課在那段時間,或者這段時間就是discipline或者紀律是要來營造時間和空間給我們的關係來增長
[00:13:58.000 --> 00:14:12.000]  我以前覺得discipline和關係是兩個牛頭不對馬嘴,是大欖也扯不上,但是神突然間讓我看到當我做了一個爸爸之後,原來discipline,spiritual discipline
[00:14:12.000 --> 00:14:20.000]  我們的紀律,我們的操練是為了營造一種空間和時間,讓我們的關係在裏面慢慢增長
[00:14:20.000 --> 00:14:28.000]  有很多人會聽我講過,這幾年裏面對我來說,我人生裏面最高的priority的熟齡操練是甚麼?
[00:14:28.000 --> 00:14:38.000]  我人生裏面這幾年最重要的,我最持之以恆的一個操練,就是講bad time story,就是講故事在我兩個女兒睡覺之前
[00:14:38.000 --> 00:14:50.000]  基本上只要我的人在家裏面,我一定不會miss這件事,不過我可以告訴你,雖然你見我很喜歡講故事,我由小學一年級開始就參加講故事比賽
[00:14:50.000 --> 00:15:00.000]  我是一個非常喜歡講故事,很有passion講故事的人,不過我可以告訴你,其實我不是經常都那麼喜歡講bad time story
[00:15:00.000 --> 00:15:13.000]  因為我的女兒可以連續二十天叫我講同一本書,三隻小豬,我試過講了一個月都是講三隻小豬
[00:15:13.000 --> 00:15:26.000]  有時我自己覺得,不知道你有沒有看過周星馳那套西遊記,伍萬達在那裏,老婆,升仙呀,又升仙呀,老婆,出來看耶穌
[00:15:26.000 --> 00:15:33.000]  就是那種感覺,說到我自己都沒有feel,但我要扮到很有feel,你明不明白,三隻小豬
[00:15:33.000 --> 00:15:40.000]  不過如果你問一下Megan她對爸爸的印象是甚麼,這段時間Megan經常都講一句笑話,她經常都在家裏說
[00:15:40.000 --> 00:15:46.000]  我不知道她在街上有沒有講,她說Daddy is so funny,my daddy is so funny
[00:15:46.000 --> 00:15:56.000]  老實講其實我陪著她的時候,很多時候我都不覺得我自己好funny,很多時候我都可能很擔心他們,會不會爬高爬低,有沒有吃東西,有沒有喝水
[00:15:56.000 --> 00:16:05.000]  我不是經常都跟他們將我好funny那一面去展現出來,我知道我是一個好funny的人,是我知道的,因為太多人講過
[00:16:05.000 --> 00:16:15.000]  但是Megan有甚麼時候可以知道我是一個好得意好風趣好funny的人呢,很多時候就是在bad time story的時間
[00:16:15.000 --> 00:16:28.000]  即是甚麼呢大英姐妹,即是我的女兒是透過一些我自己有時候都不是很enjoy,但是我堅持去做的事的時候
[00:16:28.000 --> 00:16:37.000]  我的女兒透過那個經驗裏面去認識到她的爸爸是一個怎樣的人,她明白我的個性,她了解我的性格
[00:16:37.000 --> 00:16:44.000]  是透過我的discipline或者我的spiritual discipline,我的女兒認知到我的為人是怎樣
[00:16:44.000 --> 00:16:55.000]  大英姐妹你有沒有想過或者你想不想像得到,如果2025年你可以透過你的spiritual discipline,你透過你的屬靈操練,你那份紀律
[00:16:55.000 --> 00:17:03.000]  你可以在那個時間裏面你更加去認識到神的屬性,認識到祂的character,認識到祂是一個怎樣的爸爸
[00:17:03.000 --> 00:17:16.000]  嘩,這樣會不會很正啊,有一樣很有趣的東西就是,即是2024年之前可能我問神的,我想要的是神啊,你給我有一個paradigm shift
[00:17:16.000 --> 00:17:26.000]  你給我有一個思維的改變,你給我有那些嘩,很正啊,很澎湃的經歷啊,遇到一些人來點醒我,你給我一些經歷,以致我可以改變,以致我可以去成長
[00:17:26.000 --> 00:17:40.000]  我以為成長應該是這樣的,但是神給我經歷的,神跟我說的,就是跟我說我要你進入spiritual discipline,我要你進入那些基本步,那些基本功裏面
[00:17:40.000 --> 00:17:56.000]  然後我慢慢才開始明白,是啊,李小龍也說過,我不怕練過一萬種踢法的人,我只是怕那個將一種踢法練過一萬次的人,這些就是spiritual discipline
[00:17:56.000 --> 00:18:11.000]  原來當我們進入spiritual discipline裏面的時候,我們的生命都會有成長,幽默的地方是我求一個paradigm shift,神叫我去,你不如放多點功夫在spiritual discipline裏面
[00:18:11.000 --> 00:18:22.000]  最後我得到的是一個關於spiritual discipline的paradigm shift,不知道你們明白我說什麼,好像說得很深,不明白不要緊,不是,不重要,我們說些重要的東西
[00:18:22.000 --> 00:18:32.000]  今天我們會看保羅他寫的第一封,在新約裏面他第一封寫的書信,是貼在羅尼加前書
[00:18:32.000 --> 00:18:38.000]  這間教會是保羅在第二次他宣教的旅程的時候,跟他的同宮西拉一起去建立
[00:18:38.000 --> 00:18:46.000]  但是當他們在那個地方裏面遭遇了很大的反對,很大的敵對的勢力,於是他不能不離開這個城市
[00:18:46.000 --> 00:18:56.000]  後來他派提摩泰再回去那裏去鼓勵和照顧這間教會,提摩泰回來就告訴他們,他們雖然受迫害,但是他們信心非常堅定
[00:18:56.000 --> 00:19:02.000]  於是保羅寫了這一封信給他們,去表達我真的很愛你們,真的很想快點見到你們
[00:19:02.000 --> 00:19:08.000]  而且鼓勵他們繼續在他們的信心,繼續在他們跟神的關係裏面去成長
[00:19:08.000 --> 00:19:17.000]  我們今天只會來看去到最後最後的一部分,只是讀三節的經文那麼多,在貼在羅尼加前書第五章十六至十八節
[00:19:17.000 --> 00:19:28.000]  保羅這樣說,你們要常常喜樂,不住這樣禱告,凡事謝恩,因為這個是神在基督耶穌裏面向你們所定的旨意
[00:19:28.000 --> 00:19:33.000]  我相信這些你收書籤,收過什麼卡,這些應該聽過無數次
[00:19:33.000 --> 00:19:44.000]  小時候,幸好我小時候是主一學老師,我小時候回主一學的時候,幾歲大的時候,都拿過那些經文卡要背
[00:19:44.000 --> 00:19:51.000]  背完之後,下個星期回來再背,常常喜樂,不住禱告,凡事謝恩,因為這個是神在基督耶穌裏面向你們所定的旨意
[00:19:51.000 --> 00:20:03.000]  我就會有貼紙,我小時候是這樣記得有一節這樣的經文,但是我小時候,從小到大,我就會不斷將這段經文當是一個命令,總之要開心,要喜樂
[00:20:03.000 --> 00:20:13.000]  我會拼命地要做,但是可能有時候我們都是這樣,當它是一個命令,命令就做,你就做了它,你就笑一下
[00:20:13.000 --> 00:20:20.000]  但是我們不是很理解保羅真正的意思是什麼,甚至去到一個位置,因為你又不明白,但是你又要做
[00:20:20.000 --> 00:20:31.000]  變成了一個負擔,或者只是一個很空洞的宗教口號,有時候我們只是隨便,隨便地教一下功課去做
[00:20:31.000 --> 00:20:39.000]  有時候,甚至當我們拿這節經文出來講的時候,都會斷章取義,可能我們講的根本就不是這節經文本來要講的意思
[00:20:39.000 --> 00:20:48.000]  所以今天,我想回到這幾節非常簡單,很依稀能詳的經文裏面,我們一起來看看保羅他想講些什麼
[00:20:48.000 --> 00:20:58.000]  他說,要常常喜樂,這句說話很多時候聽了就要cheer up,笑一下,聖神一點,看開一點,開心一點
[00:20:58.000 --> 00:21:13.000]  當日子過得好的時候,當所有東西風平浪靜,或者一帆風順的時候,我們就當這個聽完都很好,拿來做個磁石,放在雪櫃裏看看自己
[00:21:13.000 --> 00:21:22.000]  或者好像外國人那些叫fortune cookie,這塊cookie餅裏面有張紙出來,哇,常常喜樂,不自討苦,凡事謝恩
[00:21:22.000 --> 00:21:31.000]  我們有時候會用這種心態來對待,好像心靈雞湯那樣,但是如果你經歷一些很困難的日子的時候
[00:21:31.000 --> 00:21:38.000]  例如可能是你的事業出了一些問題,可能你的公司在裁員,就快裁到你那裏了
[00:21:38.000 --> 00:21:49.000]  可能是你身體和一些患者一些重病在搏鬥,或者可能是你在關係裏面經歷了一些很挫敗或者很不開心的事
[00:21:49.000 --> 00:21:57.000]  然後你聽這句說話,有人跟你講這句說話的時候,喂,常常喜樂,不要那麼不開心,看開一點
[00:21:57.000 --> 00:22:04.000]  香港人經常說有些事情是難聽過什麼,有時候就好像這樣,好像很苛刻,這句說話
[00:22:04.000 --> 00:22:10.000]  我生活都那麼艱難,你還要我喜樂,難道我真的要擠我自己笑嗎?
[00:22:10.000 --> 00:22:19.000]  但是寶萊在這裏說的喜樂,或者你要喜樂,他不是說你一定要感受到快樂那些東西
[00:22:19.000 --> 00:22:25.000]  他說的喜樂很多時候是說你要在主裏面喜樂,或者你要靠著主喜樂
[00:22:25.000 --> 00:22:33.000]  這個是在肥立比書裏面,他用過這樣的語言,他說你們要靠主常常喜樂
[00:22:33.000 --> 00:22:41.000]  已經重複了,但是他補充多一點,你們要靠著主,或者你們要在主裏面喜樂
[00:22:41.000 --> 00:22:49.000]  靠著主喜樂,或者在主裏面喜樂,這句說話其實不斷去呼應著,寶萊說這句話的時候
[00:22:49.000 --> 00:22:55.000]  不斷呼應著在舊約裏面,特別在詩篇裏面,當以色列人要去敬拜的時候
[00:22:55.000 --> 00:23:04.000]  他們經常會看得到,他們經常會讀得到的一句說話,例如在詩篇第100篇,我不知道Ivan有沒有讀出來
[00:23:04.000 --> 00:23:11.000]  應該是我們曾經有,例如詩篇95篇,詩篇100篇那裏說,來呀,我們要向耶和華去歌唱
[00:23:11.000 --> 00:23:18.000]  向拯救我們的盆石去歡呼,我們要rejoice在英文裏面,我們要在神裏面向祂去rejoice
[00:23:18.000 --> 00:23:25.000]  或者詩篇100篇,我們全地要向耶和華去歡呼,我們歡唱地來到祂的面前
[00:23:25.000 --> 00:23:32.000]  我們要向著耶和華去rejoice,我們要來開心,所以我想再說多一次在這裏
[00:23:32.000 --> 00:23:41.000]  當保羅說你們要常常喜樂的時候,這句說話不是要你強顏歡笑的一個命令
[00:23:41.000 --> 00:23:50.000]  這句說話是要讓你進入敬拜的一個邀請,當保羅說你們要常常喜樂的時候
[00:23:50.000 --> 00:23:55.000]  不是你強顏擠你自己,逼你自己笑,看些笑片,看多幾套周星馳,我笑得出
[00:23:55.000 --> 00:24:02.000]  保羅說,你知不知道在詩篇裏面,講喜樂就是當我們進入神的同座裏面
[00:24:02.000 --> 00:24:08.000]  當我們來敬拜神的時候,如果你想常常喜樂,如果你想靠著主或者在主裏面常常喜樂
[00:24:08.000 --> 00:24:16.000]  我們要進入敬拜裏面,敬拜總是帶著喜樂,不單止是因為神是創造我們的主宰
[00:24:16.000 --> 00:24:24.000]  而且是因為祂是我們的救主,祂是那個拯救我們的盆石,祂拯救我們,祂幫助我們
[00:24:24.000 --> 00:24:28.000]  上個月我講到瑪利亞她那首專注重的時候,瑪利亞其中一句都是說
[00:24:28.000 --> 00:24:37.000]  我的靈是以我的救主為樂,我rejoice in God my saviour,祂是我的救主
[00:24:37.000 --> 00:24:46.000]  耶穌祂釘在十字架上面,雖然我們要等到祂再回來的時候,才會經歷那個完完全全的救恩或者救贖
[00:24:46.000 --> 00:24:54.000]  但是耶穌的救恩由現在開始,或者由你順著那一刻已經不斷在改變著,模造著,塑造著你的生命
[00:24:54.000 --> 00:25:01.000]  我們在現在這一刻,我們已經可以感受到這份救恩是怎樣
[00:25:01.000 --> 00:25:05.000]  你應該感受到在你的生命裏面有些東西是不一樣,在改變著
[00:25:05.000 --> 00:25:10.000]  所以當保羅呼召我們,我們去敬拜和喜樂的時候
[00:25:10.000 --> 00:25:16.000]  祂說只有當我們真正去認識得到我們敬拜的是哪一個
[00:25:16.000 --> 00:25:22.000]  當你真的見到這個,這個是我的救主,當你承認這個是我的救主
[00:25:22.000 --> 00:25:27.000]  是的,我可能會遇到一些困難的情況,但是這個是我的救主
[00:25:27.000 --> 00:25:30.000]  這個是會將我拯救出來的那位主的時候
[00:25:30.000 --> 00:25:36.000]  我知道祂為我的生命預備了些什麼,我知道祂會怎樣來愛我,怎樣來照顧我的時候
[00:25:36.000 --> 00:25:42.000]  在那個地方裏面,你才會有真正的喜樂
[00:25:42.000 --> 00:25:47.000]  大衛在他其中一首寫的詩篇第十六篇裏面,他這樣說
[00:25:47.000 --> 00:25:56.000]  你必定會將生命的道路去指示我,在你面前有滿足的喜樂,在你的右手裏面有永遠的福樂
[00:25:56.000 --> 00:26:03.000]  大衛一生都是一個敬拜者,他將自己經歷到的喜樂和他在神的愛裏面
[00:26:03.000 --> 00:26:06.000]  敬拜神那種的經歷去連繫在一起
[00:26:06.000 --> 00:26:12.000]  他說我的喜樂就是在我敬拜他的經歷裏面去找得到
[00:26:12.000 --> 00:26:16.000]  我認識到在那個經歷裏面,神是我的保護者,神是我的供應者
[00:26:16.000 --> 00:26:20.000]  他說那個喜樂會充滿我們
[00:26:20.000 --> 00:26:28.000]  所以弟兄姊妹我們不需要逼我們自己開心,要常常喜樂不是叫你擠你自己,逼你自己開心
[00:26:28.000 --> 00:26:33.000]  不是要勉強去看每件事都有好的一面,不是這樣
[00:26:33.000 --> 00:26:37.000]  要常常喜樂是保羅給你一個邀請,我們一起來敬拜主
[00:26:37.000 --> 00:26:43.000]  你知道你敬拜的是哪一個,你知道他是救主,你知道他是宇宙的君王
[00:26:43.000 --> 00:26:52.000]  你知道他在說的時候,如果你睜開眼睛去敬拜的時候,你看著他,你看到他的榮美,你看到他的能力,你看到他的榮耀
[00:26:52.000 --> 00:26:57.000]  然後你看看你的問題,跟他比一比,稱一稱
[00:26:57.000 --> 00:27:01.000]  你的心裏面會開始有一份的喜樂去湧現出來
[00:27:01.000 --> 00:27:07.000]  當你願意這樣去進入敬拜,去進入一個靈性的宗教裏面的時候
[00:27:07.000 --> 00:27:12.000]  接著保羅說你們要不停地禱告,不要停地禱告
[00:27:12.000 --> 00:27:18.000]  這個不是我們要常常小聲地祈禱
[00:27:18.000 --> 00:27:23.000]  當然如果你想試一下的話,是沒有壞處的,絕對可以試一下
[00:27:23.000 --> 00:27:29.000]  但是如果祈禱是跟神聊天或者跟神對話,跟祂溝通的話
[00:27:29.000 --> 00:27:34.000]  我們能夠體會到不停地跟人溝通
[00:27:34.000 --> 00:27:39.000]  如果我問問我自己有沒有試過這種不停地跟人溝通的經歷的話
[00:27:39.000 --> 00:27:44.000]  那就一定是我跟羅斯林開始拍拖的時候
[00:27:44.000 --> 00:27:48.000]  現在還在不停地溝通,不過剛剛拍拖的時候
[00:27:48.000 --> 00:27:52.000]  他永遠都是我睡前最後一個跟他聊天的人
[00:27:52.000 --> 00:27:55.000]  他永遠都是我起床第一個跟他說話的人
[00:27:55.000 --> 00:28:01.000]  當時我在香港,他在新加坡,我們中間隔了幾千公里
[00:28:01.000 --> 00:28:04.000]  但是在任何的時刻,每天的任何一個時刻
[00:28:04.000 --> 00:28:10.000]  我們絕對會知道他現在的人在哪裡,正確的位置在哪裡
[00:28:10.000 --> 00:28:14.000]  我們是一種不停地聊天,不停地聊天,不停地聊天
[00:28:14.000 --> 00:28:19.000]  而且晚上我們會FaceTime,每晚一個定時定候就會FaceTime
[00:28:19.000 --> 00:28:22.000]  我懷疑我的Spiritual Discipline,我學什麼叫Discipline
[00:28:22.000 --> 00:28:28.000]  是由那時候開始,由那時候開始就戒掉了,不去夜街了
[00:28:28.000 --> 00:28:34.000]  定時定候晚上就會回家,放電話充電準備就FaceTime了
[00:28:34.000 --> 00:28:41.000]  除了老婆之外,其實我還有一群朋友是我神學院的同學
[00:28:41.000 --> 00:28:48.000]  我們認識了15年以上,我們每年會見兩次
[00:28:48.000 --> 00:28:53.000]  可能吃一次火鍋,有時候可能出來路過,打個招呼
[00:28:53.000 --> 00:28:58.000]  但是十幾年來我們每天都在聊天
[00:28:58.000 --> 00:29:01.000]  我們在Signal那裡,WhatsApp、Signal,我們有一個群組
[00:29:01.000 --> 00:29:05.000]  是每天都會說話,我有一群朋友,我一年只見他兩次
[00:29:05.000 --> 00:29:12.000]  但是他們現在在經歷什麼,他的工作上在經歷什麼
[00:29:12.000 --> 00:29:15.000]  其實還可以是什麼工作,神學院同學
[00:29:15.000 --> 00:29:18.000]  不過他在經歷什麼,其實我都很清楚
[00:29:18.000 --> 00:29:22.000]  或者在我的人生裡面,我面對什麼情況,經歷什麼
[00:29:22.000 --> 00:29:26.000]  他們都一清二楚,我們可能會聊任何話題
[00:29:26.000 --> 00:29:30.000]  有時候會說,最近日幣真的很便宜,什麼時候去旅行
[00:29:30.000 --> 00:29:33.000]  這些東西我會說,說工作上的東西我會說
[00:29:33.000 --> 00:29:38.000]  然後突然間搭電話,又會說,什麼都會說
[00:29:38.000 --> 00:29:46.000]  就是這樣,我們就是那種不停無間斷的聊天,無間斷的溝通
[00:29:46.000 --> 00:29:49.000]  然後我就開始明白一件事,弟兄姊妹
[00:29:49.000 --> 00:29:54.000]  溝通最重要很多時候不單止是我們說什麼
[00:29:54.000 --> 00:30:02.000]  或者我們怎樣說,溝通更加重要的其實是你跟誰說話
[00:30:02.000 --> 00:30:08.000]  就算你很熱愛你的工作,我相信你的老闆或者同事
[00:30:08.000 --> 00:30:12.000]  應該都不會是你臨睡前最後一個,或者起床第一個就跟他說的人
[00:30:12.000 --> 00:30:17.000]  我猜,我猜而已,可能你是,我不知道
[00:30:17.000 --> 00:30:21.000]  或者下班之後,你總會希望,對了,大家夠了,談完了
[00:30:21.000 --> 00:30:25.000]  如果那個是你的男女朋友,那個是你的另一半
[00:30:25.000 --> 00:30:28.000]  你一定可能會馬上回覆他
