
[00:00:00.000 --> 00:00:01.320]   Francesca, awesome.
[00:04:07.900 --> 00:04:10.520]   but the younger generation may embrace it.
[00:04:10.520 --> 00:04:15.520]   On the other hand, and this sometimes would become
[00:04:15.520 --> 00:04:20.400]   what sociologists call an institutional age segregation.
[00:04:20.400 --> 00:04:22.200]   So this would happen in a society
[00:04:22.200 --> 00:04:23.840]   when different age groups,
[00:04:23.840 --> 00:04:28.740]   they tend to, they're separated in different social spheres.
[00:04:28.740 --> 00:04:31.160]   Let's say it affects how we socialize.
[00:04:31.160 --> 00:04:34.740]   It affects how our identity is formed.
[00:04:34.740 --> 00:04:39.740]   It would affect the way we interact with our family members,
[00:04:39.740 --> 00:04:41.960]   our family dynamics are impacted.
[00:04:41.960 --> 00:04:46.720]   Sometimes it affects a workplace culture.
[00:04:46.720 --> 00:04:48.560]   If you know, I don't know,
[00:04:48.560 --> 00:04:50.240]   like we don't have this at church.
[00:04:50.240 --> 00:04:52.200]   We're all similar age here,
[00:04:52.200 --> 00:04:54.240]   so we don't experience this at church here,
[00:04:54.240 --> 00:04:55.320]   like among us.
[00:04:55.320 --> 00:04:57.480]   (laughing)
[00:04:57.480 --> 00:04:59.440]   So it affects your workplace culture
[00:04:59.440 --> 00:05:02.000]   and even societal cohesion.
[00:05:02.000 --> 00:05:04.920]   In the last decade, I guess,
[00:05:04.920 --> 00:05:07.240]   when social media really became a thing
[00:05:07.240 --> 00:05:09.700]   and we see these polarized views
[00:05:09.700 --> 00:05:12.680]   or these like institutional, social,
[00:05:12.680 --> 00:05:15.320]   or age segregation is happening online.
[00:05:15.320 --> 00:05:18.120]   And so whenever there's an issue,
[00:05:18.120 --> 00:05:19.800]   a social issue, political issue,
[00:05:19.800 --> 00:05:22.560]   or just food issue, whatever,
[00:05:22.560 --> 00:05:24.800]   and you would see polarized comments
[00:05:24.800 --> 00:05:28.480]   and people would really like get different,
[00:05:28.480 --> 00:05:30.120]   they get into different camps
[00:05:30.120 --> 00:05:33.680]   and you see that kind of barriers between different people.
[00:05:33.680 --> 00:05:36.080]   And we may or may not have experienced
[00:05:36.080 --> 00:05:38.000]   a little bit of that in the last decade
[00:05:38.000 --> 00:05:41.840]   or even in recent years.
[00:05:41.840 --> 00:05:43.040]   So at first I thought, yeah,
[00:05:43.040 --> 00:05:47.760]   if generational gap is a result of rapid social change
[00:05:47.760 --> 00:05:49.560]   and the technological advancement,
[00:05:49.560 --> 00:05:52.560]   I thought, oh, so this phenomenon must be new
[00:05:52.560 --> 00:05:54.240]   in the long human history.
[00:05:54.240 --> 00:05:56.920]   It must be something quite reason.
[00:05:56.920 --> 00:05:58.280]   And man, I was so wrong
[00:05:58.280 --> 00:06:00.400]   when I started researching on this topic.
[00:06:00.400 --> 00:06:05.400]   I found that the idea of this generational gap
[00:06:05.400 --> 00:06:10.100]   expressed in this concept that young people today
[00:06:10.100 --> 00:06:12.880]   are not as good as the previous generation.
[00:06:12.880 --> 00:06:15.400]   Now, if you grew up in a Chinese community like me,
[00:06:15.400 --> 00:06:17.360]   then we hear that all the time,
[00:06:17.360 --> 00:06:20.320]   but I don't know about a more westernized kind of culture,
[00:06:20.320 --> 00:06:24.160]   but this kind of thought and idea,
[00:06:24.160 --> 00:06:26.520]   if we try to dig it up in history,
[00:06:26.520 --> 00:06:29.040]   we can find this same idea
[00:06:29.040 --> 00:06:30.720]   that young people don't measure up
[00:06:30.720 --> 00:06:32.160]   to their previous generation.
[00:06:32.160 --> 00:06:35.760]   We found that in ancient Greek writings,
[00:06:35.760 --> 00:06:39.880]   I'm talking about the sixth or seventh century BC.
[00:06:39.880 --> 00:06:42.140]   That's how old this idea is.
[00:06:42.140 --> 00:06:44.380]   That's even way before Jesus was born.
[00:06:44.380 --> 00:06:47.160]   And so this generational gap
[00:06:47.160 --> 00:06:51.220]   or the older generation looking down on the next generation,
[00:06:51.220 --> 00:06:54.440]   it has always been a part of human history.
[00:06:54.440 --> 00:06:56.400]   So now I'm thinking about this.
[00:06:56.400 --> 00:06:57.680]   If I look deeper,
[00:06:57.680 --> 00:07:02.720]   although it may appear to be a social problem at first,
[00:07:02.720 --> 00:07:04.280]   but would it be,
[00:07:04.280 --> 00:07:07.720]   actually there's a spiritual problem at play here.
[00:07:07.720 --> 00:07:09.680]   And so if I look at the Bible,
[00:07:09.680 --> 00:07:11.720]   the earliest account of division
[00:07:11.720 --> 00:07:14.060]   among a large group of people
[00:07:14.060 --> 00:07:16.720]   is recorded in Genesis chapter 11
[00:07:16.720 --> 00:07:18.740]   in a place called the Babel.
[00:07:18.740 --> 00:07:20.000]   That was the place where people
[00:07:20.000 --> 00:07:21.700]   were trying to build a tower
[00:07:21.700 --> 00:07:23.900]   so that they could build a name for themselves,
[00:07:23.900 --> 00:07:26.080]   but God disrupted them
[00:07:26.080 --> 00:07:29.820]   and disrupted their plans by confusing their language.
[00:07:29.820 --> 00:07:32.540]   And so they could no longer understand one another.
[00:07:32.540 --> 00:07:36.340]   And they immediately, they break up,
[00:07:36.340 --> 00:07:38.960]   they got separated into different groups.
[00:07:38.960 --> 00:07:40.220]   Because of that,
[00:07:40.220 --> 00:07:44.440]   like humans started to experience division through language.
[00:07:44.440 --> 00:07:47.820]   And then it becomes cultures or ethnicity.
[00:07:47.820 --> 00:07:50.420]   And then we have different pockets of people
[00:07:50.420 --> 00:07:52.620]   in different ethnicity, in different languages,
[00:07:52.620 --> 00:07:53.900]   in different cultures.
[00:07:53.900 --> 00:07:58.900]   And that becomes how people get separated in the first place.
[00:07:58.900 --> 00:08:01.500]   Of course, in the fallen human nature,
[00:08:01.500 --> 00:08:04.300]   we see things just get worse and worse and worse.
[00:08:04.300 --> 00:08:06.320]   We see more and more conflict.
[00:08:06.320 --> 00:08:09.620]   We see more separation between different people,
[00:08:09.620 --> 00:08:12.820]   between different groups, between different nations.
[00:08:12.820 --> 00:08:13.860]   If we look at that,
[00:08:13.860 --> 00:08:16.040]   this kind of separation or division
[00:08:16.040 --> 00:08:17.700]   among cultures and language,
[00:08:17.700 --> 00:08:22.220]   we can call that a horizontal division, if you will.
[00:08:22.220 --> 00:08:27.220]   But humanity, we also experience a vertical kind of division
[00:08:27.220 --> 00:08:31.020]   and that's generational gap.
[00:08:31.020 --> 00:08:34.020]   And both of these divisions or separations,
[00:08:34.020 --> 00:08:37.120]   they remind us not only how broken relationship
[00:08:37.120 --> 00:08:39.480]   with one another would look like,
[00:08:39.480 --> 00:08:41.620]   but we also reminded that in the first place,
[00:08:41.620 --> 00:08:45.140]   our relationship with God was also broken.
[00:08:45.140 --> 00:08:47.860]   All of these kind of broken relationships or divisions,
[00:08:47.860 --> 00:08:51.060]   it disrupts the plan or intention of God
[00:08:51.060 --> 00:08:55.340]   to bring unity among people when he first created us.
[00:08:55.340 --> 00:08:57.280]   Of course, we have the good news, right?
[00:08:57.280 --> 00:08:59.480]   And if you've been following us,
[00:08:59.480 --> 00:09:01.280]   we talked about this good news a lot.
[00:09:01.280 --> 00:09:03.880]   Paul beautifully explained that in Ephesians 2.
[00:09:03.880 --> 00:09:06.960]   He says, Jesus broke down the walls,
[00:09:06.960 --> 00:09:10.140]   the wall of hostility between two people group,
[00:09:10.140 --> 00:09:11.600]   like the Jews and Gentiles.
[00:09:11.600 --> 00:09:15.080]   And basically he's reconciling both of them to God
[00:09:15.080 --> 00:09:17.920]   through the cross in one body.
[00:09:17.920 --> 00:09:21.600]   So Jesus, we see that he has the power to remove barriers.
[00:09:21.600 --> 00:09:24.400]   He first removed the spiritual barrier
[00:09:24.400 --> 00:09:26.920]   between us humans and God.
[00:09:26.920 --> 00:09:28.720]   And on the cross, he didn't just do that.
[00:09:28.720 --> 00:09:31.840]   He also removed the horizontal barrier
[00:09:31.840 --> 00:09:34.440]   between people groups, between cultures
[00:09:34.440 --> 00:09:37.040]   and languages and ethnicity.
[00:09:37.040 --> 00:09:40.380]   And we know that, although Paul didn't write about it,
[00:09:40.380 --> 00:09:44.120]   the power of the cross actually have power
[00:09:44.120 --> 00:09:49.120]   to remove the vertical, the generational barrier as well,
[00:09:49.120 --> 00:09:53.540]   particularly that inside the body of Christ.
[00:09:53.540 --> 00:09:56.040]   And you may ask, how did that happen?
[00:09:56.040 --> 00:10:00.240]   If you were around during Chinese New Year,
[00:10:00.240 --> 00:10:03.480]   I was talking about another passage in the Bible,
[00:10:03.480 --> 00:10:07.120]   Psalm 133, and I mentioned there's this guy,
[00:10:07.120 --> 00:10:09.600]   this German theologian, his name is Bonhoeffer.
[00:10:09.600 --> 00:10:12.440]   And he explained this beautifully.
[00:10:12.440 --> 00:10:15.440]   He said, this kind of unity,
[00:10:15.440 --> 00:10:18.540]   this both horizontal and vertical unity,
[00:10:18.540 --> 00:10:20.680]   it's not a human ideal.
[00:10:20.680 --> 00:10:22.800]   It's not something we made up.
[00:10:22.800 --> 00:10:25.280]   It's something that was made possible
[00:10:25.280 --> 00:10:27.080]   because of the cross of Jesus.
[00:10:27.080 --> 00:10:28.880]   And we have to know this.
[00:10:28.880 --> 00:10:32.640]   Today, I come to my friend, Derek, let's say, our new elder,
[00:10:32.640 --> 00:10:34.040]   I come to my friend, Derek,
[00:10:34.040 --> 00:10:37.160]   not just because we're both like good looking guys
[00:10:37.160 --> 00:10:40.540]   and we like each other and we have similar taste of food
[00:10:40.540 --> 00:10:44.480]   or music or whatever, but because we're both saved by Jesus.
[00:10:44.480 --> 00:10:46.600]   Jesus died for him, Jesus died for me,
[00:10:46.600 --> 00:10:49.880]   Jesus saved him, forgave him, Jesus saved me, forgave me.
[00:10:49.880 --> 00:10:52.980]   And so today, when I built my relationship with Jesus
[00:10:52.980 --> 00:10:55.480]   and he built his relationship with Jesus,
[00:10:55.480 --> 00:10:59.280]   through Jesus, we could reach each other.
[00:10:59.280 --> 00:11:01.960]   That's how we build our relationship.
[00:11:01.960 --> 00:11:06.240]   You know, that's why in the church, in the body of Christ,
[00:11:06.240 --> 00:11:08.240]   if we ever like said something
[00:11:08.240 --> 00:11:09.880]   that we don't like about each other,
[00:11:09.880 --> 00:11:13.720]   or we wrong each other,
[00:11:13.720 --> 00:11:16.600]   Jesus' blood has covered all that.
[00:11:16.600 --> 00:11:19.500]   His blood didn't just fix the relationship
[00:11:19.500 --> 00:11:21.160]   between us and God,
[00:11:21.160 --> 00:11:25.280]   Jesus' cross fixed the relationship between us
[00:11:25.280 --> 00:11:30.000]   inside his body, that or whatever separation
[00:11:30.000 --> 00:11:32.720]   that was caused by our differences in language,
[00:11:32.720 --> 00:11:36.360]   our differences in culture, our differences in ethnicity,
[00:11:36.360 --> 00:11:38.620]   Jesus has fixed all that.
[00:11:38.620 --> 00:11:41.080]   But Jesus also fixed that generational gap,
[00:11:41.080 --> 00:11:42.960]   that generational barrier.
[00:11:42.960 --> 00:11:46.480]   If we come to one another in Jesus,
[00:11:46.480 --> 00:11:49.720]   then we can experience true harmony,
[00:11:49.720 --> 00:11:51.840]   we can experience true relationship,
[00:11:51.840 --> 00:11:55.120]   relationship that would bless our soul,
[00:11:55.120 --> 00:11:58.840]   that's so deeply, and that's what it is all about.
[00:11:58.840 --> 00:12:00.240]   And we gotta know this,
[00:12:00.240 --> 00:12:03.560]   the way to show that we know the real forgiveness of Jesus,
[00:12:03.560 --> 00:12:06.200]   we know that we're forgiven by God,
[00:12:06.200 --> 00:12:09.080]   is simply to walk in that kind of forgiveness,
[00:12:09.080 --> 00:12:11.300]   starting to forgive one another around us.
[00:12:11.300 --> 00:12:15.520]   And how do we show that we truly understand what it means
[00:12:15.520 --> 00:12:20.360]   to have a God who fully understand us and accept us?
[00:12:20.360 --> 00:12:23.760]   It's simple, we just seek to understand
[00:12:23.760 --> 00:12:28.760]   and seek to understand and to accept those around us,
[00:12:28.760 --> 00:12:30.760]   despite our differences.
[00:12:30.760 --> 00:12:33.280]   And that's how we show I truly understand
[00:12:33.280 --> 00:12:37.560]   what God has done for me, what Jesus' cross means for me.
[00:12:37.560 --> 00:12:38.600]   In the last couple of years,
[00:12:38.600 --> 00:12:41.820]   we witnessed the brokenness in many relationships,
[00:12:41.820 --> 00:12:44.000]   in a city around the world,
[00:12:44.000 --> 00:12:47.500]   particularly some of the intergenerational relationships.
[00:12:47.500 --> 00:12:51.160]   I've heard stories, even from people in this room,
[00:12:51.160 --> 00:12:54.960]   I know how hard things have been between generations,
[00:12:54.960 --> 00:12:57.840]   between even inside families.
[00:12:57.840 --> 00:13:02.360]   And I know that the brokenness brings a lot of heartache,
[00:13:02.360 --> 00:13:05.800]   particularly if it's between those of us
[00:13:05.800 --> 00:13:09.400]   who should be closest to us in our family's neighborhood,
[00:13:09.400 --> 00:13:12.840]   we saw that in a city in the world as well.
[00:13:12.840 --> 00:13:14.680]   And I personally, no joke,
[00:13:14.680 --> 00:13:18.040]   I personally experienced some of those tensions as well,
[00:13:18.040 --> 00:13:21.320]   with people that are closest to me.
[00:13:21.320 --> 00:13:24.760]   But when I reflect on that, and if I'm honest,
[00:13:24.760 --> 00:13:26.840]   when I think about what happened
[00:13:26.840 --> 00:13:28.700]   in the last couple of years,
[00:13:28.700 --> 00:13:30.920]   I think sometimes my tendency
[00:13:30.920 --> 00:13:33.160]   is to only to accept those who accept
[00:13:33.160 --> 00:13:35.720]   or agree with my opinion.
[00:13:35.720 --> 00:13:38.760]   Let me say that again, I realize I have this tendency
[00:13:38.760 --> 00:13:40.840]   when I'm in different relationships,
[00:13:40.840 --> 00:13:43.000]   I tend to only accept those
[00:13:43.000 --> 00:13:46.080]   who would accept or agree with me,
[00:13:46.080 --> 00:13:47.680]   or accept my opinion.
[00:13:47.680 --> 00:13:53.520]   And there is a problem, if this is the case in the church,
[00:13:53.520 --> 00:13:55.560]   in the body of Christ,
[00:13:55.560 --> 00:13:58.080]   the problem would be this kind of mentality
[00:13:58.080 --> 00:14:01.520]   that we only accept those who accept our ideas, our opinion.
[00:14:01.520 --> 00:14:03.600]   If this is the case in the church,
[00:14:03.600 --> 00:14:07.040]   then the body of Christ or our unity
[00:14:07.040 --> 00:14:09.640]   can only be achieved, or will only be achieved
[00:14:09.640 --> 00:14:11.380]   by uniformity.
[00:14:11.380 --> 00:14:14.740]   Only when we all like to sing the same songs,
[00:14:14.740 --> 00:14:16.640]   when we all like to read the same book,
[00:14:16.640 --> 00:14:18.280]   when we all like to dress the same,
[00:14:18.280 --> 00:14:20.360]   like me and Ivan, we can't dress differently,
[00:14:20.360 --> 00:14:23.400]   we have to all have the same favorite color,
[00:14:23.400 --> 00:14:24.960]   same favorite outfit,
[00:14:24.960 --> 00:14:27.280]   we have to like the same instruments,
[00:14:27.280 --> 00:14:30.480]   we have to have everything the same,
[00:14:30.480 --> 00:14:32.720]   everybody will have to have this uniformity
[00:14:32.720 --> 00:14:34.520]   before we can achieve unity.
[00:14:34.520 --> 00:14:37.320]   If we only accept those who would accept what we like,
[00:14:37.320 --> 00:14:39.400]   who would accept our opinion.
[00:14:39.400 --> 00:14:43.600]   And apparently that cannot be the case in the church.
[00:14:43.600 --> 00:14:45.460]   We don't stand behind this kind of unity.
[00:14:45.460 --> 00:14:48.820]   If you've been here in the Vineyard long, long enough,
[00:14:48.820 --> 00:14:51.140]   you know that we champion another kind of unity
[00:14:51.140 --> 00:14:54.300]   and that's unity in diversity.
[00:14:54.300 --> 00:14:56.540]   We wanna see the coming together
[00:14:56.540 --> 00:14:58.300]   of people from different languages,
[00:14:58.300 --> 00:15:01.700]   from different cultures, from different ethnicities,
[00:15:01.700 --> 00:15:04.060]   and even from different generations.
[00:15:04.060 --> 00:15:07.020]   We wanna see true unity in our diversity
[00:15:07.020 --> 00:15:08.740]   because we know that Jesus
[00:15:08.740 --> 00:15:12.680]   destroyed this horizontal division between cultures
[00:15:12.680 --> 00:15:16.200]   just as he has destroyed this vertical division
[00:15:16.200 --> 00:15:18.020]   between generations.
[00:15:18.020 --> 00:15:20.780]   He reconciled different ethnicities and cultures
[00:15:20.780 --> 00:15:25.780]   and he also reconciled different generations into one body.
[00:15:25.780 --> 00:15:29.660]   So the body of Christ is not just multi-ethnic,
[00:15:29.660 --> 00:15:34.660]   not just multicultural, it's also multi-generational.
[00:15:34.660 --> 00:15:36.580]   When the early church,
[00:15:36.580 --> 00:15:38.660]   they was trying to express this truth,
[00:15:38.660 --> 00:15:42.660]   they use a term called communion of saints.
[00:15:42.660 --> 00:15:45.820]   It carries a meaning that we have a church
[00:15:45.820 --> 00:15:48.740]   that is across time, across the present,
[00:15:48.740 --> 00:15:50.680]   the past, present, and future.
[00:15:50.680 --> 00:15:55.680]   We belong to one timeless family in Christ.
[00:15:55.680 --> 00:15:58.060]   That's what communion of saints means.
[00:15:58.060 --> 00:16:00.700]   We're in the same church as with those
[00:16:00.700 --> 00:16:02.620]   who are in the earliest days,
[00:16:02.620 --> 00:16:04.820]   who have seen Jesus before,
[00:16:04.820 --> 00:16:06.820]   but we're also in the same church,
[00:16:06.820 --> 00:16:10.520]   in the same church family with those who are yet to come.
[00:16:11.820 --> 00:16:15.020]   And not only that, if we look at the Bible,
[00:16:15.020 --> 00:16:18.460]   we would see that God reveals himself
[00:16:18.460 --> 00:16:21.080]   as the God of the generations.
[00:16:21.080 --> 00:16:24.500]   You see, generations has always been part
[00:16:24.500 --> 00:16:27.060]   of God's original plan, has always been his plan A.
[00:16:27.060 --> 00:16:28.580]   I know we've read this verses here
[00:16:28.580 --> 00:16:30.060]   like maybe 10 million times,
[00:16:30.060 --> 00:16:31.580]   but I'm still going to read it again.
[00:16:31.580 --> 00:16:33.620]   Genesis 128 says this,
[00:16:33.620 --> 00:16:35.780]   "God blessed them, Adam and Eve,
[00:16:35.780 --> 00:16:37.220]   who were made in his image,
[00:16:37.220 --> 00:16:40.500]   and said to them, 'Be fruitful and increase in number.
[00:16:40.500 --> 00:16:42.300]   Fill the earth and subdue it.'"
[00:16:42.300 --> 00:16:44.900]   You see, when God created Adam and Eve,
[00:16:44.900 --> 00:16:48.420]   we heard about that, we know that God intended them,
[00:16:48.420 --> 00:16:50.860]   for them to be his co-rulers,
[00:16:50.860 --> 00:16:53.940]   his representative on this planet.
[00:16:53.940 --> 00:16:56.500]   But God never intended for just the two of them,
[00:16:56.500 --> 00:16:57.940]   just Adam and Eve to do it.
[00:16:57.940 --> 00:17:01.140]   He expected them to reproduce and multiply,
[00:17:01.140 --> 00:17:03.260]   make more babies in their image.
[00:17:03.260 --> 00:17:04.500]   And they were made in the image of God,
[00:17:04.500 --> 00:17:06.700]   and they make more babies who just look like them.
[00:17:06.700 --> 00:17:09.700]   And together, there'll be generations
[00:17:09.700 --> 00:17:13.580]   and generations of humanity walking alongside God
[00:17:13.580 --> 00:17:15.180]   to rule over this earth.
[00:17:15.180 --> 00:17:16.740]   That was the original plan.
[00:17:16.740 --> 00:17:21.140]   Generations has always been the original plan.
[00:17:21.140 --> 00:17:25.340]   Even when a human, like after the fall,
[00:17:25.340 --> 00:17:27.660]   we see that this original blessing,
[00:17:27.660 --> 00:17:29.380]   God never took it away.
[00:17:29.380 --> 00:17:32.620]   He's still blessing generations and generations.
[00:17:32.620 --> 00:17:36.180]   And then we see when he made a covenant with Abraham,
[00:17:36.180 --> 00:17:39.060]   he didn't just make a covenant with Abraham himself.
[00:17:39.060 --> 00:17:40.820]   He said, "I'm gonna make a covenant with you
[00:17:40.820 --> 00:17:42.140]   "and with your descendants,
[00:17:42.140 --> 00:17:44.740]   "the generations who will come from you."
[00:17:44.740 --> 00:17:46.980]   God made a covenant with Abraham,
[00:17:46.980 --> 00:17:48.220]   signed a contract with him,
[00:17:48.220 --> 00:17:50.100]   and that's a generational contract,
[00:17:50.100 --> 00:17:52.220]   it's a generational covenant.
[00:17:52.220 --> 00:17:58.420]   And so when God finally revealed himself to Moses,
[00:17:58.420 --> 00:18:00.620]   he said, "I am the God of Abraham,
[00:18:00.620 --> 00:18:02.980]   "I'm the God of Isaac, I'm the God of Jacob.
[00:18:02.980 --> 00:18:07.460]   "He is the God of generations."
[00:18:07.460 --> 00:18:11.340]   And this is how he choose to reveal himself
[00:18:11.340 --> 00:18:14.260]   to different people at different time.
[00:18:14.260 --> 00:18:16.740]   And we have to know that his promise,
[00:18:16.740 --> 00:18:19.060]   his covenant, his plan and his work
[00:18:19.060 --> 00:18:21.620]   doesn't just cover one generation,
[00:18:21.620 --> 00:18:26.340]   but it spans across many, many generations.
[00:18:26.340 --> 00:18:29.780]   But then we come across a verse in the book of Acts,
[00:18:29.780 --> 00:18:33.660]   which was actually a part of a sermon of Paul.
[00:18:33.660 --> 00:18:35.740]   He was talking about King David
[00:18:35.740 --> 00:18:38.980]   in Acts 13, verse 36, he says this,
[00:18:38.980 --> 00:18:42.740]   "Now, when David had served God's purpose
[00:18:42.740 --> 00:18:45.460]   "in his own generation, he fell asleep.
[00:18:45.460 --> 00:18:49.420]   "He was buried with his ancestors and his body decayed."
[00:18:49.420 --> 00:18:51.460]   You know, David was a wonderful man,
[00:18:51.460 --> 00:18:52.700]   he achieved a lot of things,
[00:18:52.700 --> 00:18:56.100]   he united the entire nation of Israel, the 12 tribes,
[00:18:56.100 --> 00:18:58.100]   and he brought the Ark of Covenant,
