
[00:00:00.000 --> 00:00:01.000]   and meeting you.
[00:01:42.000 --> 00:01:44.000]   And here's what I pray.
[00:01:44.000 --> 00:01:48.000]   "I keep asking that the God of our Lord Jesus Christ,
[00:01:48.000 --> 00:01:53.000]   the glorious Father, may give to you the Spirit,"
[00:01:53.000 --> 00:01:56.000]   or in other translations, "that the Spirit would give to you
[00:01:56.000 --> 00:02:01.000]   wisdom and revelation so that you may know him better."
[00:02:01.000 --> 00:02:04.000]   Father, our prayer this morning as we gather in this room
[00:02:04.000 --> 00:02:08.000]   and the overflow online is that that would happen in us.
[00:02:08.000 --> 00:02:12.000]   That as you open your scriptures to us, as you speak a fresh word to us,
[00:02:12.000 --> 00:02:16.000]   that we would come to know you deeper, better.
[00:02:16.000 --> 00:02:18.000]   And Lord, I believe that you have a personal thing
[00:02:18.000 --> 00:02:22.000]   that you want to say to every person in this room here this morning.
[00:02:22.000 --> 00:02:25.000]   And just as Emma has so beautifully prepared us,
[00:02:25.000 --> 00:02:28.000]   as we've brought that sacrifice of praise to you,
[00:02:28.000 --> 00:02:32.000]   as we've entered your gates with thanksgiving in our hearts,
[00:02:32.000 --> 00:02:38.000]   Lord, we pray now that you would reveal the innermost sort of passions
[00:02:38.000 --> 00:02:42.000]   and love that you have in your heart for each person in this room.
[00:02:42.000 --> 00:02:43.000]   We pray this in Jesus' name.
[00:02:43.000 --> 00:02:45.000]   Everyone says.
[00:02:45.000 --> 00:02:47.000]   So a number of years ago, my wife and I, Christine,
[00:02:47.000 --> 00:02:51.000]   we were in Bible school in Auckland in New Zealand.
[00:02:51.000 --> 00:02:54.000]   And my wife's from New Zealand, so when we decided to go to Bible school,
[00:02:54.000 --> 00:02:56.000]   we looked at lots of places we could have gone to.
[00:02:56.000 --> 00:02:58.000]   We decided New Zealand was the place.
[00:02:58.000 --> 00:03:01.000]   Auckland was the Bible school that we wanted to go to.
[00:03:01.000 --> 00:03:03.000]   And it was a great place. We loved it.
[00:03:03.000 --> 00:03:06.000]   But we always wanted to get out of Auckland and explore New Zealand.
[00:03:06.000 --> 00:03:09.000]   So on one particular long weekend, we decided we were going to take
[00:03:09.000 --> 00:03:12.000]   a four-hour drive up to the north of New Zealand.
[00:03:12.000 --> 00:03:16.000]   Now, the further you go north in New Zealand, the less people there are.
[00:03:16.000 --> 00:03:18.000]   There's not a lot of people in New Zealand in general.
[00:03:18.000 --> 00:03:21.000]   But the further north you go, the less people there are.
[00:03:21.000 --> 00:03:24.000]   And a friend of ours had a house in a place called Russell,
[00:03:24.000 --> 00:03:27.000]   which is kind of northeast on the North Island.
[00:03:27.000 --> 00:03:30.000]   And so from where we were in Auckland to get there, it's about four hours.
[00:03:30.000 --> 00:03:33.000]   We had lectures all day, so we had to stay.
[00:03:33.000 --> 00:03:36.000]   But we decided to leave at around about six o'clock at night.
[00:03:36.000 --> 00:03:39.000]   About three hours in, around about nine o'clock,
[00:03:39.000 --> 00:03:41.000]   we knew that we would enter into this village.
[00:03:41.000 --> 00:03:45.000]   And we had seen on the map that this village was the last,
[00:03:45.000 --> 00:03:50.000]   largest populated area before we would end up where we were going to go.
[00:03:50.000 --> 00:03:52.000]   And so if we needed to eat, if we were going to eat some food,
[00:03:52.000 --> 00:03:55.000]   we needed to stop in this particular village.
[00:03:55.000 --> 00:03:58.000]   On the map, it looked like a decent-sized village.
[00:03:58.000 --> 00:04:01.000]   And I've come to learn that New Zealand kind of exaggerates
[00:04:01.000 --> 00:04:06.000]   the size of their towns on maps to make themselves feel a bit better.
[00:04:06.000 --> 00:04:09.000]   And so we arrive at this town at like nine o'clock at night,
[00:04:09.000 --> 00:04:13.000]   and it literally was like way smaller than we were predicting.
[00:04:13.000 --> 00:04:16.000]   It only had like one little road where there were some restaurants.
[00:04:16.000 --> 00:04:18.000]   And we were there, like I say, about nine o'clock.
[00:04:18.000 --> 00:04:20.000]   And so most of the restaurants there were shut.
[00:04:20.000 --> 00:04:24.000]   In fact, there was only one restaurant that was open
[00:04:24.000 --> 00:04:27.000]   at that particular time on that particular night.
[00:04:27.000 --> 00:04:28.000]   Only one restaurant.
[00:04:28.000 --> 00:04:33.000]   I wonder if you could imagine with me what type of restaurant it was
[00:04:33.000 --> 00:04:36.000]   that was open at nine o'clock at night in the middle of nowhere in New Zealand.
[00:04:36.000 --> 00:04:37.000]   Anyone get it?
[00:04:37.000 --> 00:04:40.000]   It was a Chinese takeaway restaurant.
[00:04:40.000 --> 00:04:43.000]   Yes, it was.
[00:04:43.000 --> 00:04:45.000]   And not just a Chinese takeaway restaurant.
[00:04:45.000 --> 00:04:46.000]   No, no, no, no, no.
[00:04:46.000 --> 00:04:50.000]   It was a Hong Kong-style Chinese takeaway.
[00:04:50.000 --> 00:04:54.000]   I could tell right away this looked like a dai pai dong from Mongkok or something, right?
[00:04:54.000 --> 00:04:57.000]   Like it just reeked Hong Kong.
[00:04:57.000 --> 00:04:59.000]   And of course, we were homesick at the time,
[00:04:59.000 --> 00:05:01.000]   and I was like, "Oh, my gosh, this is so amazing.
[00:05:01.000 --> 00:05:03.000]   There's a Hong Kong Chinese restaurant. It's open."
[00:05:03.000 --> 00:05:05.000]   And it kind of, in the front of its door,
[00:05:05.000 --> 00:05:09.000]   it had like the beads that kind of go down to keep the flies out and stuff.
[00:05:09.000 --> 00:05:12.000]   And I said to Chris, I said, "I'm going to go in there,
[00:05:12.000 --> 00:05:15.000]   and I'm going to whip out my best Cantonese."
[00:05:15.000 --> 00:05:17.000]   You know, like I haven't spoken Cantonese for a while.
[00:05:17.000 --> 00:05:18.000]   This is going to be awesome.
[00:05:18.000 --> 00:05:20.000]   And so sure enough, I was like, "Wah, wah,"
[00:05:20.000 --> 00:05:21.000]   and I jumped into this restaurant.
[00:05:21.000 --> 00:05:24.000]   I'm like, "Wah, ay-ya.
[00:05:24.000 --> 00:05:28.000]   What would I like to eat today?
[00:05:28.000 --> 00:05:29.000]   Wah, wah, wah, please, please, please.
[00:05:29.000 --> 00:05:31.000]   I don't want to eat char siu fan.
[00:05:31.000 --> 00:05:34.000]   Please, quickly, quickly. It hurts so much."
[00:05:34.000 --> 00:05:36.000]   So, thank you, thank you, thank you.
[00:05:36.000 --> 00:05:44.000]   So I whip out my amazing, immaculate, perfectly pronounced Cantonese.
[00:05:44.000 --> 00:05:49.000]   The man behind the counter, he's like 80 years old.
[00:05:49.000 --> 00:05:52.000]   He's like the kind of guy when you go into a restaurant here,
[00:05:52.000 --> 00:05:54.000]   has like a cigarette hanging out of their mouth, you know,
[00:05:54.000 --> 00:05:58.000]   like with the ash that's like, you know, going to fall into the thing.
[00:05:58.000 --> 00:06:02.000]   Like he's 80 years old, the oldest Chinese guy I think I've seen in a while.
[00:06:02.000 --> 00:06:04.000]   He's like so wrinkled and stuff.
[00:06:04.000 --> 00:06:09.000]   But as he hears my Cantonese, his face, he starts to smile.
[00:06:09.000 --> 00:06:15.000]   Like this smile comes, literally years of youth enter his face.
[00:06:15.000 --> 00:06:18.000]   It's like he suddenly becomes a new man.
[00:06:18.000 --> 00:06:23.000]   He's so excited that there's somebody in his restaurant speaking Cantonese.
[00:06:23.000 --> 00:06:25.000]   It's almost like him and his wife must have decided
[00:06:25.000 --> 00:06:28.000]   they're going to plant a restaurant in the middle of this Chinese village
[00:06:28.000 --> 00:06:30.000]   or this village in New Zealand, and they get there,
[00:06:30.000 --> 00:06:32.000]   and they speak no Chinese for miles around, right?
[00:06:32.000 --> 00:06:34.000]   He's never heard Cantonese for years.
[00:06:34.000 --> 00:06:38.000]   Here's this white guy speaking Cantonese in his restaurant.
[00:06:38.000 --> 00:06:41.000]   He thinks this is the greatest thing that has ever happened to him.
[00:06:41.000 --> 00:06:43.000]   So he starts speaking Cantonese back at me.
[00:06:43.000 --> 00:06:48.000]   And I tell you, he was like...
[00:06:48.000 --> 00:06:55.000]   Little does he know that I've exhausted every piece of Cantonese I have ever spoken.
[00:06:55.000 --> 00:06:58.000]   But he doesn't know that. He's just going...
[00:06:58.000 --> 00:07:03.000]   I'm like, "Hi, hi, hi."
[00:07:03.000 --> 00:07:06.000]   Pretending like I know what's going on, right?
[00:07:06.000 --> 00:07:09.000]   At one point, he tells a joke. I'm assuming because he laughs.
[00:07:09.000 --> 00:07:12.000]   I'm like...
[00:07:12.000 --> 00:07:14.000]   At one point, I know he asked me a question
[00:07:14.000 --> 00:07:17.000]   because at the end of what he was saying, he's like, "Ah."
[00:07:17.000 --> 00:07:19.000]   It's like...
[00:07:19.000 --> 00:07:22.000]   And then he pauses and looks at me, and I'm like...
[00:07:22.000 --> 00:07:24.000]   And then he just keeps going.
[00:07:24.000 --> 00:07:27.000]   This guy, like years washed off him
[00:07:27.000 --> 00:07:30.000]   and somebody had entered in and spoken just a little bit,
[00:07:30.000 --> 00:07:36.000]   a little utterance of the native language that was in his heart.
[00:07:36.000 --> 00:07:40.000]   Every human being is made in the image of God.
[00:07:40.000 --> 00:07:45.000]   And every human being has the same singular heart language
[00:07:45.000 --> 00:07:48.000]   embedded in their soul.
[00:07:48.000 --> 00:07:51.000]   And it's the heart language of the Spirit of God.
[00:07:51.000 --> 00:07:54.000]   And whether they know it or not,
[00:07:54.000 --> 00:07:57.000]   whether they believe in God or not,
[00:07:57.000 --> 00:08:01.000]   every single human being has a longing,
[00:08:01.000 --> 00:08:05.000]   a crying, a desperation deep within their soul
[00:08:05.000 --> 00:08:08.000]   to connect with the living God.
[00:08:08.000 --> 00:08:12.000]   And the Spirit of God speaks.
[00:08:12.000 --> 00:08:15.000]   And when the Spirit of God speaks into the person
[00:08:15.000 --> 00:08:18.000]   whose heart has long not heard
[00:08:18.000 --> 00:08:21.000]   the very language that brings them alive,
[00:08:21.000 --> 00:08:24.000]   they can't help but be changed.
[00:08:24.000 --> 00:08:26.000]   I mean, that guy in that restaurant that night
[00:08:26.000 --> 00:08:28.000]   hearing Cantonese changed him.
[00:08:28.000 --> 00:08:30.000]   He kind of came alive.
[00:08:30.000 --> 00:08:33.000]   But I tell you what, when the Spirit of God speaks,
[00:08:33.000 --> 00:08:36.000]   when the Spirit of God speaks a word in season,
[00:08:36.000 --> 00:08:38.000]   when the Spirit of God says something
[00:08:38.000 --> 00:08:40.000]   or brings something in the Scriptures alive to us,
[00:08:40.000 --> 00:08:44.000]   it literally comes and changes and transforms us.
[00:08:44.000 --> 00:08:46.000]   The work of the Spirit of God,
[00:08:46.000 --> 00:08:48.000]   the voice of the Spirit in our lives
[00:08:48.000 --> 00:08:52.000]   is designed to change us, to heal our hearts,
[00:08:52.000 --> 00:08:54.000]   to make us anew.
[00:08:54.000 --> 00:08:55.000]   What I was teaching us in week one
[00:08:55.000 --> 00:08:58.000]   about going from disorder to order,
[00:08:58.000 --> 00:09:03.000]   that's the purpose of the reason why the Spirit speaks.
[00:09:03.000 --> 00:09:05.000]   I mean, think about that for a moment.
[00:09:05.000 --> 00:09:09.000]   The very reason that the Spirit speaks
[00:09:09.000 --> 00:09:11.000]   is so that He can move His people
[00:09:11.000 --> 00:09:16.000]   from a place of disorder into a place of order.
[00:09:16.000 --> 00:09:21.000]   The Spirit communicates in order to change us.
[00:09:21.000 --> 00:09:24.000]   He changes us by communicating to us.
[00:09:24.000 --> 00:09:25.000]   Does that make sense?
[00:09:25.000 --> 00:09:27.000]   And when that voice comes,
[00:09:27.000 --> 00:09:30.000]   when we hear it deep within ourselves,
[00:09:30.000 --> 00:09:34.000]   everything shifts, everything begins to change.
[00:09:34.000 --> 00:09:35.000]   And like I said in week one,
[00:09:35.000 --> 00:09:38.000]   it's because the Holy Spirit is a person.
[00:09:38.000 --> 00:09:39.000]   And because the Holy Spirit is a person,
[00:09:39.000 --> 00:09:41.000]   He longs to be in relationship with us,
[00:09:41.000 --> 00:09:44.000]   that connection that we can have with the Spirit.
[00:09:44.000 --> 00:09:46.000]   We saw in week one that there was this idea
[00:09:46.000 --> 00:09:48.000]   of the fellowship of the Spirit.
[00:09:48.000 --> 00:09:50.000]   So our connection point to the Spirit
[00:09:50.000 --> 00:09:53.000]   is found in this kind of reciprocal relationship
[00:09:53.000 --> 00:09:55.000]   we can have in communication.
[00:09:55.000 --> 00:09:59.000]   Him communicating to us so that we are changed
[00:09:59.000 --> 00:10:01.000]   and us communicating with Him
[00:10:01.000 --> 00:10:05.000]   and deepening our relationship with God.
[00:10:05.000 --> 00:10:09.000]   And the reason why this is all taking place
[00:10:09.000 --> 00:10:12.000]   is because God longs to bring into all of us
[00:10:12.000 --> 00:10:15.000]   clarity and focus.
[00:10:15.000 --> 00:10:17.000]   He loves to bring into all of us wholeness.
[00:10:17.000 --> 00:10:20.000]   It's that order that the Spirit of God
[00:10:20.000 --> 00:10:21.000]   is moving us towards.
[00:10:21.000 --> 00:10:22.000]   He wants you to be whole,
[00:10:22.000 --> 00:10:24.000]   to be clear about life,
[00:10:24.000 --> 00:10:26.000]   to move out of confusion.
[00:10:26.000 --> 00:10:27.000]   When the Spirit speaks,
[00:10:27.000 --> 00:10:28.000]   it's never to bring confusion.
[00:10:28.000 --> 00:10:31.000]   It's always to turn confusion on its head.
[00:10:31.000 --> 00:10:34.000]   The Spirit always wants to bring clarity
[00:10:34.000 --> 00:10:37.000]   and refreshment and newness and wholeness to you.
[00:10:37.000 --> 00:10:38.000]   That doesn't mean, though,
[00:10:38.000 --> 00:10:40.000]   that every time the Spirit speaks,
[00:10:40.000 --> 00:10:42.000]   it's gonna be something you're gonna wanna hear.
[00:10:42.000 --> 00:10:44.000]   So often when the Spirit speaks,
[00:10:44.000 --> 00:10:45.000]   the Spirit actually does the contrary.
[00:10:45.000 --> 00:10:47.000]   He actually says something that we don't want to hear,
[00:10:47.000 --> 00:10:49.000]   but we need to hear.
[00:10:49.000 --> 00:10:51.000]   Doesn't mean always that the Spirit
[00:10:51.000 --> 00:10:53.000]   has such nice things to say.
[00:10:53.000 --> 00:10:55.000]   Sometimes the Word comes from the Spirit
[00:10:55.000 --> 00:10:56.000]   that actually shapes and changes
[00:10:56.000 --> 00:10:58.000]   'cause He needs to disrupt the disorder
[00:10:58.000 --> 00:11:01.000]   in order to bring the order.
[00:11:01.000 --> 00:11:03.000]   But no matter how it happens,
[00:11:03.000 --> 00:11:07.000]   the Spirit's Word changes all.
[00:11:07.000 --> 00:11:08.000]   If I was to summarize it,
[00:11:08.000 --> 00:11:09.000]   I would put it like this.
[00:11:09.000 --> 00:11:12.000]   The Spirit's goal is to communicate to you
[00:11:12.000 --> 00:11:15.000]   so that you would receive clarity,
[00:11:15.000 --> 00:11:17.000]   wisdom, and understanding
[00:11:17.000 --> 00:11:19.000]   so that you would be strengthened,
[00:11:19.000 --> 00:11:21.000]   comforted, and changed.
[00:11:21.000 --> 00:11:23.000]   That's a good slide to take a photo of
[00:11:23.000 --> 00:11:26.000]   if you wanna take a slide photo.
[00:11:26.000 --> 00:11:28.000]   This idea that He wants to bring clarity
[00:11:28.000 --> 00:11:30.000]   and wisdom and understanding into us
[00:11:30.000 --> 00:11:32.000]   so that we would be strengthened,
[00:11:32.000 --> 00:11:33.000]   comforted, and changed
[00:11:33.000 --> 00:11:35.000]   is the work of the Spirit.
[00:11:35.000 --> 00:11:38.000]   It's that native language that sits within all of us
[00:11:38.000 --> 00:11:40.000]   and when we hear the Spirit,
[00:11:40.000 --> 00:11:43.000]   something within us begins to shift,
[00:11:43.000 --> 00:11:45.000]   something within us begins to change.
[00:11:45.000 --> 00:11:46.000]   And why do we change?
[00:11:46.000 --> 00:11:50.000]   Because the Spirit leads us to the person of Jesus.
[00:11:50.000 --> 00:11:54.000]   Remember, it's Jesus that changes everything.
[00:11:54.000 --> 00:11:58.000]   And the Spirit's role is to illuminate Jesus,
[00:11:58.000 --> 00:12:01.000]   to help us to see Jesus clearer and better
[00:12:01.000 --> 00:12:05.000]   so that in Jesus we can be transformed and renewed.
[00:12:05.000 --> 00:12:10.000]   In the same way that Jesus' role is to reveal the Father,
[00:12:10.000 --> 00:12:13.000]   the Spirit's role is to reveal Jesus.
[00:12:13.000 --> 00:12:15.000]   You following?
[00:12:15.000 --> 00:12:18.000]   So it's the Spirit speaks to us in that native language
[00:12:18.000 --> 00:12:20.000]   that all of our souls are crying out for
[00:12:20.000 --> 00:12:23.000]   so that we would see Jesus more clearly
[00:12:23.000 --> 00:12:27.000]   so that we would ultimately come to know the Father.
[00:12:27.000 --> 00:12:30.000]   The Spirit into Jesus, Jesus into the Father,
[00:12:30.000 --> 00:12:32.000]   the triune Godhead at work
[00:12:32.000 --> 00:12:35.000]   because God's voice is at work.
[00:12:35.000 --> 00:12:40.000]   This is why when Paul picks up this prayer for the church,
[00:12:40.000 --> 00:12:43.000]   he wants to help them to understand how the Spirit
[00:12:43.000 --> 00:12:47.000]   connects us to Jesus so that we can know the Father.
[00:12:47.000 --> 00:12:53.000]   And he mentions this next kind of and/or paradox
[00:12:53.000 --> 00:12:54.000]   that we're looking at,
[00:12:54.000 --> 00:12:57.000]   or the both/and paradox that we're looking at in this series.
[00:12:57.000 --> 00:13:00.000]   And it's the idea of teaching and revelation.
[00:13:00.000 --> 00:13:03.000]   Let me read this to you from Ephesians 1 verse 17 again.
[00:13:03.000 --> 00:13:06.000]   "I keep asking that the God of our Lord Jesus Christ,
[00:13:06.000 --> 00:13:09.000]   the glorious Father, may give you the spirit of wisdom
[00:13:09.000 --> 00:13:11.000]   and revelation," or in other translations,
[00:13:11.000 --> 00:13:15.000]   "the spirit that brings wisdom and revelation
[00:13:15.000 --> 00:13:18.000]   so that you may know Him better."
[00:13:18.000 --> 00:13:23.000]   Now, that's not the Spirit of God.
[00:13:23.000 --> 00:13:27.000]   Now, before I break this down into its individual parts,
[00:13:27.000 --> 00:13:29.000]   let me step you back for a moment
[00:13:29.000 --> 00:13:30.000]   and you need to see the whole.
[00:13:30.000 --> 00:13:32.000]   It's so beautiful what Paul is saying here.
[00:13:32.000 --> 00:13:34.000]   He's praying to the church.
[00:13:34.000 --> 00:13:37.000]   His desire for them is to know God more.
[00:13:37.000 --> 00:13:39.000]   He wants them to know God better,
[00:13:39.000 --> 00:13:41.000]   and he understands that the only way
[00:13:41.000 --> 00:13:42.000]   that they're gonna know God better
[00:13:42.000 --> 00:13:46.000]   is through the work of the Spirit in teaching and revelation.
[00:13:46.000 --> 00:13:49.000]   That teaching and revelation provides for us,
[00:13:49.000 --> 00:13:51.000]   as Paul writes it here, "wisdom and revelation."
[00:13:51.000 --> 00:13:53.000]   It provides for us the pathway
[00:13:53.000 --> 00:13:57.000]   to be able to get to know Jesus better.
[00:13:57.000 --> 00:13:59.000]   An analogy might be to think of this
[00:13:59.000 --> 00:14:02.000]   a little bit like Zacchaeus in Luke chapter 19.
[00:14:02.000 --> 00:14:05.000]   You'll be perhaps familiar with the story of Zacchaeus.
[00:14:05.000 --> 00:14:08.000]   Zacchaeus, we're told in the Scriptures, was a short person,
[00:14:08.000 --> 00:14:10.000]   and because he was short, he didn't have the stature
[00:14:10.000 --> 00:14:12.000]   to see over the crowd in order to capture
[00:14:12.000 --> 00:14:14.000]   a good glimpse of Jesus.
[00:14:14.000 --> 00:14:16.000]   And on this one particular day, Jesus is walking by,
[00:14:16.000 --> 00:14:20.000]   but Zacchaeus, being small, can't see him properly
[00:14:20.000 --> 00:14:22.000]   through the crowd, and so Zacchaeus does a smart thing.
[00:14:22.000 --> 00:14:24.000]   He runs ahead, finds a tree.
[00:14:24.000 --> 00:14:29.000]   He climbs up this tree so he can get a clear view of Jesus.
[00:14:29.000 --> 00:14:31.000]   And then Jesus and him lock eyes together,
[00:14:31.000 --> 00:14:34.000]   and Zacchaeus invites Jesus to his house,
[00:14:34.000 --> 00:14:37.000]   and Jesus transforms not just Zacchaeus' life,
[00:14:37.000 --> 00:14:39.000]   but his whole family life.
[00:14:39.000 --> 00:14:41.000]   It's a beautiful part of Scripture.
[00:14:41.000 --> 00:14:43.000]   I think that's analogous to what Paul
[00:14:43.000 --> 00:14:45.000]   is trying to communicate here.
[00:14:45.000 --> 00:14:48.000]   Every single one of us, if you will, we're short in stature
[00:14:48.000 --> 00:14:51.000]   when it comes to being able to see Jesus.
[00:14:51.000 --> 00:14:56.000]   Our sin, our brokenness, and our flesh does not work
[00:14:56.000 --> 00:14:59.000]   to help us to see Jesus more clearly.
[00:14:59.000 --> 00:15:03.000]   Our sin is a little bit like a crowd in front of us,
[00:15:03.000 --> 00:15:06.000]   a crowd that's taller than we are,
[00:15:06.000 --> 00:15:09.000]   so that we're not able to be able to connect and see Jesus,
[00:15:09.000 --> 00:15:13.000]   but God has provided for us a way that we can move up
[00:15:13.000 --> 00:15:15.000]   above that sin, above that brokenness,
[00:15:15.000 --> 00:15:17.000]   to deal with it, if you will.
[00:15:17.000 --> 00:15:22.000]   It's a tree of his teaching and revelation by the Spirit.
[00:15:22.000 --> 00:15:25.000]   And as we go up that tree, we actually get a clearer view
[00:15:25.000 --> 00:15:27.000]   of who Jesus is.
[00:15:27.000 --> 00:15:28.000]   That's what Paul says here.
[00:15:28.000 --> 00:15:31.000]   "I hope that the Spirit comes to bring you wisdom
[00:15:31.000 --> 00:15:33.000]   "and revelation so you will see him better,
[00:15:33.000 --> 00:15:36.000]   "know him better, engage with him better,
[00:15:36.000 --> 00:15:40.000]   "so that you can lift yourself out of the crowd
[00:15:40.000 --> 00:15:45.000]   "towards the vision of Jesus, who changes everything."
[00:15:46.000 --> 00:15:49.000]   I wonder whether here this morning we might have
[00:15:49.000 --> 00:15:52.000]   some time to climb that tree together.
[00:15:52.000 --> 00:15:56.000]   I want to unpack for you what this wisdom and revelation,
[00:15:56.000 --> 00:15:59.000]   teaching and revelation, this two sides of this
[00:15:59.000 --> 00:16:03.000]   both and paradox of the Spirit is all about for you.
[00:16:03.000 --> 00:16:05.000]   Paul begins with this idea of wisdom.
[00:16:05.000 --> 00:16:06.000]   He uses the word wisdom here.
[00:16:06.000 --> 00:16:09.000]   He's actually talking about this process
[00:16:09.000 --> 00:16:11.000]   of the Spirit teaching.
[00:16:11.000 --> 00:16:13.000]   I'll connect the two of them together in a moment.
[00:16:13.000 --> 00:16:15.000]   But he starts out by saying, look,
[00:16:15.000 --> 00:16:18.000]   he's gonna bring a spirit of wisdom
[00:16:18.000 --> 00:16:20.000]   so you can know him better.
[00:16:20.000 --> 00:16:23.000]   The Greek word that Paul chooses here for wisdom,
[00:16:23.000 --> 00:16:26.000]   somewhat unique in this part of the Scriptures,
[00:16:26.000 --> 00:16:28.000]   and it's a word that has a lot of different things
[00:16:28.000 --> 00:16:30.000]   that come together to help you understand it.
[00:16:30.000 --> 00:16:33.000]   But essentially it means to illuminate,
[00:16:33.000 --> 00:16:36.000]   to make clear, to bring understanding,
[00:16:36.000 --> 00:16:37.000]   to give clarity.
[00:16:37.000 --> 00:16:40.000]   So the idea of wisdom is to take something,
[00:16:40.000 --> 00:16:42.000]   now this is really important, listen to this,
[00:16:42.000 --> 00:16:45.000]   take something that is already known
[00:16:45.000 --> 00:16:48.000]   and help us to understand it, illuminate,
[00:16:48.000 --> 00:16:51.000]   shine a light on something that is already present,
[00:16:51.000 --> 00:16:54.000]   already known, and help us to understand it
[00:16:54.000 --> 00:16:56.000]   so we can then embrace it for our lives.
[00:16:56.000 --> 00:16:59.000]   This is the concept that Paul's trying to communicate
[00:16:59.000 --> 00:17:02.000]   about how the Spirit works in us.
[00:17:02.000 --> 00:17:06.000]   It brings us understanding, illumination,
[00:17:06.000 --> 00:17:11.000]   teaching of what has already been given to us.
[00:17:11.000 --> 00:17:13.000]   Now this is really important that you notice
[00:17:13.000 --> 00:17:15.000]   that what it's emphasizing is something
[00:17:15.000 --> 00:17:17.000]   that's already been given.
[00:17:17.000 --> 00:17:21.000]   The teaching side is like, hey, I've given you something,
[00:17:21.000 --> 00:17:23.000]   whether that's my presence in the world
[00:17:23.000 --> 00:17:26.000]   or particularly of course the Scriptures themselves,
[00:17:26.000 --> 00:17:29.000]   the Word of God contained for us in the Bible,
[00:17:29.000 --> 00:17:33.000]   and he's like, my Spirit will help you and teach you
[00:17:33.000 --> 00:17:36.000]   so that he will illuminate so that you will come
[00:17:36.000 --> 00:17:38.000]   to a better understanding, so that you will come
[00:17:38.000 --> 00:17:40.000]   to see Jesus more clearly.
[00:17:40.000 --> 00:17:43.000]   The reality is these are just words on a page
[00:17:43.000 --> 00:17:45.000]   without the work of the Spirit in our lives.
[00:17:45.000 --> 00:17:48.000]   And words on a page have never changed or transformed anyone.
[00:17:48.000 --> 00:17:50.000]   They might have given somebody some knowledge of something,
[00:17:50.000 --> 00:17:53.000]   some understanding of it, but it's not transformative.
[00:17:53.000 --> 00:17:56.000]   And what Paul's saying is my prayer is that the Spirit
[00:17:56.000 --> 00:17:59.000]   will come to teach you, to illuminate, to reveal,
[00:17:59.000 --> 00:18:01.000]   to strengthen, to help you to see more clearly
[00:18:01.000 --> 00:18:04.000]   the very thing that he's already given you.
[00:18:04.000 --> 00:18:06.000]   That make sense?
[00:18:06.000 --> 00:18:08.000]   Now Jesus himself actually taught this.
[00:18:08.000 --> 00:18:11.000]   Let me show you Jesus speaking to the disciples
[00:18:11.000 --> 00:18:13.000]   in chapter 14 of John.
[00:18:13.000 --> 00:18:14.000]   He puts it this way.
