
[00:00:00.000 --> 00:00:02.000]   Please have a seat.
[00:05:44.000 --> 00:05:49.000]   to obediently go and see if the Messiah had truly come.
[00:05:49.000 --> 00:05:55.000]   And I've often wondered, why did the angels ask the shepherds to do that?
[00:05:55.000 --> 00:06:04.000]   And I think it's for a simple reason. A reason that is also important for us in our Christmas Eve here in 2022.
[00:06:04.000 --> 00:06:10.000]   You see, what the angel was trying to describe and try to challenge the shepherds to do was to say this.
[00:06:10.000 --> 00:06:14.000]   "The Messiah has come. Now everything changes.
[00:06:14.000 --> 00:06:20.000]   The Messiah has come, and now your life has a new purpose and a new focus.
[00:06:20.000 --> 00:06:25.000]   Before the Messiah was here, your life was consumed with your livelihood.
[00:06:25.000 --> 00:06:30.000]   Your life was consumed with the good things of working hard and providing for yourself.
[00:06:30.000 --> 00:06:36.000]   All those are valuable things, but the Messiah has now come, and you've now been given a new mission.
[00:06:36.000 --> 00:06:43.000]   And in the future now," the angels are saying, "not only will you have a livelihood, but you'll also have a proclamation.
[00:06:43.000 --> 00:06:48.000]   Not only will you have something to look after, you'll also now have a story to tell.
[00:06:48.000 --> 00:06:57.000]   You're now going to be equipped to be the very first people who will take the light of the Messiah into the darkness of the world.
[00:06:57.000 --> 00:07:03.000]   The livelihood will remain, but there's now a new focus, a new mission."
[00:07:03.000 --> 00:07:10.000]   The Scriptures tell us that those shepherds go and see the light of Christ, and they return,
[00:07:10.000 --> 00:07:17.000]   and they share with everybody the amazement in their hearts that actually God had turned up.
[00:07:17.000 --> 00:07:22.000]   God had put on eyebrows, a saliva gland, and a spleen, and moved into their neighborhood.
[00:07:22.000 --> 00:07:26.000]   And that was a story worth telling.
[00:07:26.000 --> 00:07:35.000]   So the proclamation of Jesus, the light of Christ in the world, was not just a significant moment for the shepherds,
[00:07:35.000 --> 00:07:38.000]   but a significant moment for you and me too.
[00:07:38.000 --> 00:07:46.000]   Because it was also an invitation for us to not make our own livelihoods the sum total of everything that happens in our lives,
[00:07:46.000 --> 00:07:50.000]   but also to realize that we are people on a mission.
[00:07:50.000 --> 00:07:53.000]   To realize that we also have a light to shine in the world.
[00:07:53.000 --> 00:07:57.000]   To realize that we need to be in the marketplace, we need to be in our places of livelihood,
[00:07:57.000 --> 00:08:01.000]   but shining forth the hope of Jesus in those places.
[00:08:01.000 --> 00:08:08.000]   That now we've got a story to tell that desperately is needed to be heard in Hong Kong.
[00:08:08.000 --> 00:08:16.000]   That we might realize that in our long night, as we wait, not for the original birth of Jesus,
[00:08:16.000 --> 00:08:28.000]   but for the second coming of Christ to the world, we have a story that makes sense of the darkness that still seems to be around us.
[00:08:28.000 --> 00:08:35.000]   A story that brings hope and life to those that don't see it.
[00:08:35.000 --> 00:08:43.000]   Could you imagine what would happen to us if we would take the light of Christ into our city?
[00:08:43.000 --> 00:08:52.000]   For there is much need today for the light of Christ to be in the darkness of Hong Kong.
[00:08:52.000 --> 00:08:57.000]   This is all about for us, the arrival of Jesus for all people.
[00:08:57.000 --> 00:09:02.000]   A light on a hill that cannot anymore be hidden.
[00:09:02.000 --> 00:09:06.000]   And so we are now challenged to consider for ourselves,
[00:09:06.000 --> 00:09:16.000]   are we willing to hold that light out courageously and hopefully to those in our city?
[00:09:17.000 --> 00:09:22.000]   We are here in Hong Kong, our city, our home.
[00:09:22.000 --> 00:09:27.000]   We are the planting of the Lord for the display of his splendor.
[00:09:27.000 --> 00:09:31.000]   We refuse to be silent about the wonder of God's light.
[00:09:31.000 --> 00:09:36.000]   We are here in this city to shine his light.
[00:09:36.000 --> 00:09:40.000]   For the next generation of Hong Kong, the youth of our city,
[00:09:40.000 --> 00:09:48.000]   those who carry upon them the hopes of the future and the brilliance of new and fresh hopes and ideas.
[00:09:48.000 --> 00:09:52.000]   May they know the comfort of the light of Christ.
[00:09:52.000 --> 00:10:01.000]   For the elderly, the poor, the vulnerable, the homeless, the asylum seeker, the survivor of trafficker,
[00:10:01.000 --> 00:10:05.000]   the domestic helper away from her family.
[00:10:05.000 --> 00:10:09.000]   May they know the comfort of the light of Christ.
[00:10:09.000 --> 00:10:14.000]   For those in the marketplace, the innovators, the business leaders,
[00:10:14.000 --> 00:10:19.000]   those who work tirelessly, the educators and the creators.
[00:10:19.000 --> 00:10:22.000]   May they know the rest of the light of Christ.
[00:10:22.000 --> 00:10:28.000]   For those in their government, leaders of industry, politicians and decision makers,
[00:10:28.000 --> 00:10:33.000]   those in power and those with authority to rule and direct.
[00:10:33.000 --> 00:10:37.000]   May they know the wisdom of the light of Christ.
[00:10:37.000 --> 00:10:40.000]   And for those who are yet to hear the gospel of Jesus,
[00:10:40.000 --> 00:10:44.000]   those who have a hunger in their hearts for a different kind of life,
[00:10:44.000 --> 00:10:48.000]   those who are lost, who are soon to be found.
[00:10:48.000 --> 00:10:52.000]   May they know the salvation of the light of Christ.
[00:10:52.000 --> 00:10:56.000]   Lord Jesus, hear our prayer.
[00:10:56.000 --> 00:11:02.000]   For in the long of the nights we accept the gift of Christ Jesus for ourselves,
[00:11:02.000 --> 00:11:08.000]   a personal act of faith for us, receiving God's charge upon us.
[00:11:08.000 --> 00:11:14.000]   In the long of the night we are changed forever by our God and Saviour, Lord Jesus Christ,
[00:11:14.000 --> 00:11:17.000]   who is God with us now and forever.
[00:11:17.000 --> 00:11:23.000]   For there is great joy at the end of the long of the night before the birth of Jesus.
[00:11:23.000 --> 00:11:27.000]   With the praise of the angels and the joy of the shepherds,
[00:11:27.000 --> 00:11:33.000]   the darkness of the world is turned on the axis of God's good light.
[00:11:33.000 --> 00:11:38.000]   We have much to celebrate and much to be grateful for together.
[00:11:38.000 --> 00:11:42.000]   So may we stand now together and proclaim for a final time
[00:11:42.000 --> 00:11:48.000]   the glory that there is in a light that has come and in a light that is coming.
[00:11:48.000 --> 00:11:54.000]   And as we sing together, may we find that joy rising in our hearts
[00:11:54.000 --> 00:11:58.320]   as we celebrate the hopeful arrival of Christ Jesus.

