
[00:00:00.000 --> 00:00:02.760]   And good morning, everyone.
[00:09:57.120 --> 00:10:01.880]   that we're experiencing that has filled up our entire world.
[00:10:01.880 --> 00:10:05.200]   At a time of Jesus' birth, we know that there was violence,
[00:10:05.200 --> 00:10:08.440]   there was injustice, there was abuse of power,
[00:10:08.440 --> 00:10:11.300]   there was systematic greed, homelessness, oppression,
[00:10:11.300 --> 00:10:14.200]   displacement, broken families and grief and all that,
[00:10:14.200 --> 00:10:17.320]   which sounds exactly just like today.
[00:10:18.220 --> 00:10:23.220]   But biblical darkness also refers not just to this evil
[00:10:23.220 --> 00:10:26.060]   and all this suffering that people are going through.
[00:10:26.060 --> 00:10:28.300]   It also refers to the ignorance
[00:10:28.300 --> 00:10:31.260]   and the inability of human beings.
[00:10:31.260 --> 00:10:34.180]   You know, human beings, ever since the day
[00:10:34.180 --> 00:10:35.460]   they left the Garden of Eden,
[00:10:35.460 --> 00:10:37.300]   they have been trying to save themselves.
[00:10:37.300 --> 00:10:40.860]   They have been trying to fix things on their own.
[00:10:40.860 --> 00:10:43.340]   In the Old Testament, we've seen that,
[00:10:43.340 --> 00:10:45.140]   like people try all sorts of things.
[00:10:45.140 --> 00:10:47.740]   They try their own ways, they build towers,
[00:10:47.740 --> 00:10:50.300]   and then they try to worship different kind of idols.
[00:10:50.300 --> 00:10:53.200]   They try to do different kinds of like voodoo and all that.
[00:10:53.200 --> 00:10:57.820]   They are trying to manipulate things for themselves.
[00:10:57.820 --> 00:11:02.360]   And then we see that right now, even in our day and age,
[00:11:02.360 --> 00:11:05.700]   we're all still turning to our human resources,
[00:11:05.700 --> 00:11:07.960]   whatever we, you know, whenever we have a need,
[00:11:07.960 --> 00:11:10.160]   we're still looking toward the earth.
[00:11:10.160 --> 00:11:13.500]   We're looking towards what we could do as human beings.
[00:11:13.500 --> 00:11:16.140]   There are sayings like maybe if we come together,
[00:11:16.140 --> 00:11:18.360]   if we join hands and join hearts,
[00:11:18.360 --> 00:11:20.980]   maybe we can solve all the human problems ever
[00:11:20.980 --> 00:11:22.420]   on this planet.
[00:11:22.420 --> 00:11:25.340]   But we see, despite our best technology,
[00:11:25.340 --> 00:11:27.860]   despite our best experts and scholars,
[00:11:27.860 --> 00:11:30.300]   and the state, the market, the technology,
[00:11:30.300 --> 00:11:33.540]   when you put all these things together, yes,
[00:11:33.540 --> 00:11:37.500]   we see there's blessing to certain level,
[00:11:37.500 --> 00:11:39.620]   like human well-being, it's, you know,
[00:11:39.620 --> 00:11:40.620]   we're helping a little bit,
[00:11:40.620 --> 00:11:43.260]   but we have never really been able to solve
[00:11:43.260 --> 00:11:44.860]   fundamental problems.
[00:11:44.860 --> 00:11:47.340]   I don't see any form of technology solving the problem
[00:11:47.340 --> 00:11:51.580]   of greed, which was one of the primary factor
[00:11:51.580 --> 00:11:55.140]   of what we saw in the last couple of days.
[00:11:55.140 --> 00:11:58.460]   I don't see that if we have a better economist
[00:11:58.460 --> 00:12:00.140]   solving more problems than greed,
[00:12:00.140 --> 00:12:03.140]   we could, you know, completely eradicate greed.
[00:12:03.140 --> 00:12:08.780]   I don't see wars being solved by technology.
[00:12:08.780 --> 00:12:10.620]   I think wars, just as technology,
[00:12:10.620 --> 00:12:13.180]   just make them worse sometimes.
[00:12:13.180 --> 00:12:15.580]   I don't see human problems being eradicated
[00:12:15.580 --> 00:12:18.340]   by our own effort, by our own wisdom,
[00:12:18.340 --> 00:12:21.380]   by our own ability, but yet, human beings,
[00:12:21.380 --> 00:12:22.580]   we have been trying to do that,
[00:12:22.580 --> 00:12:24.800]   and we thought if we try harder,
[00:12:24.800 --> 00:12:26.780]   the narrative was if we try hard enough,
[00:12:26.780 --> 00:12:28.540]   maybe we will be able to solve all the problems
[00:12:28.540 --> 00:12:29.380]   on our own.
[00:12:29.380 --> 00:12:35.340]   Biblical darkness does not just describe evil
[00:12:35.340 --> 00:12:36.380]   and untold suffering.
[00:12:36.380 --> 00:12:39.820]   It also tells us about human ignorance
[00:12:39.820 --> 00:12:42.420]   and inability to solve our own problems.
[00:12:42.420 --> 00:12:46.020]   So in our darkness, we're trying to create
[00:12:46.020 --> 00:12:47.740]   light for ourselves.
[00:12:47.740 --> 00:12:50.100]   We have, you know, safety codes.
[00:12:50.100 --> 00:12:51.940]   I'm sure we had tons of that.
[00:12:51.940 --> 00:12:54.180]   We have different measures in place.
[00:12:54.180 --> 00:12:56.500]   We have experts and systems, and yet,
[00:12:56.500 --> 00:13:01.500]   nonetheless, none of those work for a city.
[00:13:01.500 --> 00:13:04.660]   In the last couple of days, if those things had worked,
[00:13:04.660 --> 00:13:06.540]   we wouldn't have seen what we saw.
[00:13:06.540 --> 00:13:11.420]   And so, I just wanna humbly suggest
[00:13:11.420 --> 00:13:14.200]   that perhaps we thought we were very capable,
[00:13:14.200 --> 00:13:16.940]   but in fact, we do not.
[00:13:16.940 --> 00:13:18.980]   Advent is the season in the year
[00:13:18.980 --> 00:13:22.380]   that put us right in this sport,
[00:13:22.380 --> 00:13:25.420]   to face the darkness.
[00:13:25.420 --> 00:13:27.840]   You think you wanna light a candle of hope,
[00:13:27.840 --> 00:13:29.940]   but maybe we're still just trying to rely
[00:13:29.940 --> 00:13:32.200]   on our own strength, our own talent,
[00:13:32.200 --> 00:13:33.900]   our own ability.
[00:13:33.900 --> 00:13:35.900]   Advent put us here and say, you know what?
[00:13:35.900 --> 00:13:38.860]   Yeah, there is a perfect world when Jesus comes back,
[00:13:38.860 --> 00:13:40.420]   but yeah, we're here right now.
[00:13:40.420 --> 00:13:43.500]   Yes, Jesus has come already, has established his kingdom,
[00:13:43.500 --> 00:13:47.500]   but that kingdom is not fully realized on this planet yet.
[00:13:47.500 --> 00:13:50.020]   That's why this planet, this city,
[00:13:50.020 --> 00:13:51.540]   is still filled with darkness,
[00:13:51.540 --> 00:13:54.600]   is still filled with greed and evil
[00:13:54.600 --> 00:13:56.620]   and all these problems that we're seeing.
[00:13:56.620 --> 00:13:59.100]   We are stuck in the middle.
[00:13:59.100 --> 00:14:01.980]   That's the real meaning of Advent.
[00:14:01.980 --> 00:14:05.340]   Yes, we have gratitude to us, Jesus,
[00:14:05.340 --> 00:14:07.080]   and say, yes, God, we thank you for coming
[00:14:07.080 --> 00:14:08.860]   to do what we have experienced,
[00:14:08.860 --> 00:14:10.340]   what this world has already experienced,
[00:14:10.340 --> 00:14:14.500]   but God, that is not enough.
[00:14:14.500 --> 00:14:18.260]   When I look at those news, when I look at those stories,
[00:14:18.260 --> 00:14:21.300]   when I see those families being broken,
[00:14:21.300 --> 00:14:23.140]   when I see those people struggling
[00:14:23.140 --> 00:14:26.380]   when they lost their home,
[00:14:26.380 --> 00:14:29.100]   I knew that simply wasn't enough.
[00:14:29.100 --> 00:14:31.580]   We're not there yet.
[00:14:32.380 --> 00:14:34.620]   And so if there's one thing that should happen
[00:14:34.620 --> 00:14:35.920]   in the season of Advent,
[00:14:35.920 --> 00:14:39.300]   that there should be a longing from the people of God,
[00:14:39.300 --> 00:14:41.980]   there should be a cry from the bottoms of our hearts
[00:14:41.980 --> 00:14:45.580]   and say, God, Maranatha, Lord Jesus, come.
[00:14:45.580 --> 00:14:46.580]   You need to come.
[00:14:46.580 --> 00:14:48.180]   We cannot fix this problem.
[00:14:48.180 --> 00:14:49.620]   I cannot do that alone.
[00:14:49.620 --> 00:14:50.860]   We cannot do that.
[00:14:50.860 --> 00:14:54.500]   We cannot make things any better
[00:14:54.500 --> 00:14:55.620]   or maybe a little bit better,
[00:14:55.620 --> 00:14:58.500]   but we cannot solve all the problems here.
[00:14:58.500 --> 00:15:01.460]   If you don't come, if your spirit does not come,
[00:15:01.460 --> 00:15:04.500]   if your presence is not with us,
[00:15:04.500 --> 00:15:06.860]   we don't have what it takes.
[00:15:06.860 --> 00:15:08.420]   We don't know how to do that.
[00:15:08.420 --> 00:15:11.260]   We tried and we failed.
[00:15:11.260 --> 00:15:13.980]   Advent is the season.
[00:15:13.980 --> 00:15:17.580]   Yes, I know we wanna celebrate Christmas,
[00:15:17.580 --> 00:15:21.180]   but Advent is the season that forces us
[00:15:21.180 --> 00:15:23.860]   to look and remind ourselves,
[00:15:23.860 --> 00:15:28.420]   yes, there is a tension created by our faith
[00:15:28.420 --> 00:15:31.760]   because I believe Jesus would come back.
[00:15:31.760 --> 00:15:34.500]   So whatever I'm seeing right now, that's not right.
[00:15:34.500 --> 00:15:36.100]   That doesn't sit well with my heart.
[00:15:36.100 --> 00:15:38.540]   I'm gonna continue to pray for that.
[00:15:38.540 --> 00:15:40.780]   I'm gonna continue to pray for this process
[00:15:40.780 --> 00:15:43.780]   when God's kingdom is expanding on this planet.
[00:15:43.780 --> 00:15:45.180]   I wanna be a part of that.
[00:15:45.180 --> 00:15:48.200]   Advent should move us to a place
[00:15:48.200 --> 00:15:50.020]   where we look at Jesus and say,
[00:15:50.020 --> 00:15:53.740]   Jesus, you are gonna come back as a judge, as a king,
[00:15:53.740 --> 00:15:55.060]   and please do that.
[00:15:55.060 --> 00:15:58.300]   Please come back or please fill us with your presence
[00:15:58.300 --> 00:15:59.860]   during this season here.
[00:15:59.860 --> 00:16:05.060]   Advent begins in the dark.
[00:16:05.060 --> 00:16:07.180]   We have to sit in the dark.
[00:16:07.180 --> 00:16:08.980]   We have to wrestle with it.
[00:16:08.980 --> 00:16:11.020]   We're not just gonna look away from it.
[00:16:11.020 --> 00:16:14.460]   We're not just gonna pretend these problems do not exist.
[00:16:14.460 --> 00:16:17.900]   We're in a Christian bubble and we're feeling quite okay.
[00:16:17.900 --> 00:16:20.240]   We're not gonna do that.
[00:16:20.240 --> 00:16:24.160]   When this city suffer, we say we're suffering with them.
[00:16:24.160 --> 00:16:25.620]   We're gonna cry with them.
[00:16:25.620 --> 00:16:26.980]   We're gonna be with them.
[00:16:27.980 --> 00:16:30.440]   Advent begins in the dark.
[00:16:30.440 --> 00:16:34.660]   Means we need a reality check.
[00:16:34.660 --> 00:16:37.900]   We need to admit that the world is currently held captive
[00:16:37.900 --> 00:16:42.400]   by sin and darkness and death and powers and principalities
[00:16:42.400 --> 00:16:45.140]   that are behind the systemic evil
[00:16:45.140 --> 00:16:47.420]   and the issues we see in our world.
[00:16:47.420 --> 00:16:50.780]   We do not and cannot pretend things are fine.
[00:16:50.780 --> 00:16:54.100]   We should start naming the pain.
[00:16:54.100 --> 00:16:59.100]   We should be prayerfully start to look into the darkness
[00:16:59.100 --> 00:17:02.500]   and take an infantry.
[00:17:02.500 --> 00:17:04.580]   What is wrong right now?
[00:17:04.580 --> 00:17:06.780]   We should start praying into those things.
[00:17:06.780 --> 00:17:09.620]   We should look darkness into the eye and say,
[00:17:09.620 --> 00:17:10.500]   you know what?
[00:17:10.500 --> 00:17:14.160]   We don't belong here.
[00:17:14.160 --> 00:17:17.140]   There's something better God has promised.
[00:17:17.140 --> 00:17:19.860]   And so we're gonna like pray and say,
[00:17:19.860 --> 00:17:23.860]   come God, we want heaven come on earth.
[00:17:23.860 --> 00:17:26.020]   That's what Advent is about.
[00:17:26.020 --> 00:17:27.900]   It's not just about these two coming,
[00:17:27.900 --> 00:17:30.980]   but it's also about the present coming right now.
[00:17:30.980 --> 00:17:33.540]   God, we're praying by your Holy Spirit,
[00:17:33.540 --> 00:17:37.220]   come into this place, bring healing, bring comfort,
[00:17:37.220 --> 00:17:38.700]   you know, bring restoration.
[00:17:38.700 --> 00:17:41.800]   God, come, we know this is what you wanna do.
[00:17:41.800 --> 00:17:46.660]   But Advent always begins in the dark.
[00:17:46.660 --> 00:17:50.020]   We need to identify the darkness we are,
[00:17:50.020 --> 00:17:52.180]   the darkness around us.
[00:17:52.180 --> 00:17:55.460]   We need to identify the same kind of darkness
[00:17:55.460 --> 00:17:57.800]   that's perhaps also inside of us.
[00:17:57.800 --> 00:18:00.300]   When we talk about greed,
[00:18:00.300 --> 00:18:03.260]   I'm not sure if I really do any better
[00:18:03.260 --> 00:18:06.580]   than whoever caused the fire.
[00:18:06.580 --> 00:18:08.340]   There are times like I also wanna,
[00:18:08.340 --> 00:18:09.540]   well, for my own benefit,
[00:18:09.540 --> 00:18:13.020]   I also wanna just exploit others.
[00:18:13.020 --> 00:18:16.300]   I also just wanna take advantage of other people.
[00:18:16.300 --> 00:18:18.100]   When the chance present itself,
[00:18:18.100 --> 00:18:19.740]   I know I'm equally sinful.
[00:18:19.740 --> 00:18:24.740]   I know I also contribute to that darkness I see around me.
[00:18:24.740 --> 00:18:30.100]   I gotta sit here and face my own darkness.
[00:18:30.100 --> 00:18:32.300]   We're not immune to the evil
[00:18:32.300 --> 00:18:35.100]   that has torn apart so many families
[00:18:35.100 --> 00:18:37.940]   and destroyed so many lives this week.
[00:18:37.940 --> 00:18:41.420]   And being caught in this tension
[00:18:41.420 --> 00:18:45.020]   between the evil in this world and the goodness of God,
[00:18:45.020 --> 00:18:47.660]   you know, between how things are right now
[00:18:47.660 --> 00:18:49.500]   and how things should be,
[00:18:49.500 --> 00:18:53.940]   that would bring us a lot of questions.
[00:18:53.940 --> 00:18:55.180]   Or it would bring us to a place
[00:18:55.180 --> 00:18:56.620]   where we will be wrestling
[00:18:56.620 --> 00:18:59.520]   with a lot of questions in our hearts.
[00:18:59.520 --> 00:19:03.300]   I'm sure a lot of people, you might have asked why.
[00:19:03.300 --> 00:19:06.220]   I remember I was reading on threats,
[00:19:06.220 --> 00:19:08.540]   if you know what's threats.
[00:19:08.540 --> 00:19:10.100]   I was reading there, somebody would say,
[00:19:10.100 --> 00:19:13.660]   oh, I wish, you know, God would send rain.
[00:19:13.660 --> 00:19:15.140]   And I'm like, me too.
[00:19:15.140 --> 00:19:16.060]   And the next question is,
[00:19:16.060 --> 00:19:17.700]   how come God didn't send rain?
[00:19:17.700 --> 00:19:18.820]   How come this just happened
[00:19:18.820 --> 00:19:21.120]   to be the driest week in the year?
[00:19:21.120 --> 00:19:23.500]   You know, God, you could have sent rain, right?
[00:19:23.500 --> 00:19:25.380]   You know, sometimes even during winters,
[00:19:25.380 --> 00:19:28.300]   it just rain out of no reason, it just rain.
[00:19:28.300 --> 00:19:31.200]   How come the rain is not sent right now?
[00:19:31.200 --> 00:19:33.640]   How come, God, you could do this, but you didn't do that?
[00:19:33.640 --> 00:19:35.540]   How come this or that or that or that?
[00:19:35.540 --> 00:19:37.420]   I have all these questions as well.
[00:19:37.420 --> 00:19:39.040]   And when I read on social media,
[00:19:39.040 --> 00:19:41.580]   that's the questions that people ask
[00:19:41.580 --> 00:19:44.940]   when they're suffering, when they're paying.
[00:19:44.940 --> 00:19:47.860]   The common question is, where is God?
[00:19:47.860 --> 00:19:50.500]   If God is good, if God is powerful,
[00:19:50.500 --> 00:19:51.940]   why isn't he doing something?
[00:19:51.940 --> 00:19:54.160]   Why does he allow all this suffering?
[00:19:54.160 --> 00:19:56.900]   If we're living in that tension,
[00:19:56.900 --> 00:19:59.940]   we're inevitably be brought to this place
[00:19:59.940 --> 00:20:01.660]   to ask all these questions.
[00:20:01.660 --> 00:20:05.580]   And standing here as a pastor,
[00:20:05.580 --> 00:20:08.580]   I just wanna give you my answer.
