
[00:00:00.000 --> 00:00:02.000]   Hello, everybody.
[00:18:06.360 --> 00:18:12.840]   And now, suddenly, it was Tamar's action, punishable by death.
[00:18:12.840 --> 00:18:20.000]   He should have said, "Oh, excuse me, burn me too."
[00:18:20.000 --> 00:18:26.240]   And like Judah, here we are often quick to condemn others.
[00:18:26.240 --> 00:18:33.320]   And while at the same time overlooking our own sin, we may be holding a standard for
[00:18:33.320 --> 00:18:39.400]   someone else while living a completely different way.
[00:18:39.400 --> 00:18:49.000]   We have a tendency to downplay or fail to recognize our own wrongdoing while being more
[00:18:49.000 --> 00:18:52.700]   critical to others.
[00:18:52.700 --> 00:19:01.920]   May God help us to open our eyes, to raise our awareness, promote greater empathy, and
[00:19:01.920 --> 00:19:10.560]   make a conscious effort to treat everyone fairly, regardless of their gender, background,
[00:19:10.560 --> 00:19:15.000]   or social status, et cetera.
[00:19:15.000 --> 00:19:18.040]   So let's move on.
[00:19:18.040 --> 00:19:27.040]   Verse 25, she was being brought out to send a message to her father-in-law, "I'm pregnant
[00:19:27.040 --> 00:19:30.440]   by the man who owns this," she said.
[00:19:30.440 --> 00:19:38.880]   And she added, "See if you recognize whose seal and cord and staff these are."
[00:19:38.880 --> 00:19:45.440]   Judah recognized them and said, "She is more righteous than I, since I wouldn't give her
[00:19:45.440 --> 00:19:53.320]   my son, Sheleh, and he did not sleep with her again."
[00:19:53.320 --> 00:20:00.200]   Before Tamar was burned, she delivered some shocking news.
[00:20:00.200 --> 00:20:07.200]   She's pregnant by the man who gave her this seal, cord, and staff.
[00:20:07.200 --> 00:20:13.400]   And of course, immediately Judah recognized his personal items.
[00:20:13.400 --> 00:20:20.920]   In God, he didn't say, "Oh, I'm lonely," or "Oh, my wife died," you know?
[00:20:20.920 --> 00:20:25.320]   Or Tamar, "Why did you trick me?"
[00:20:25.320 --> 00:20:33.920]   Instead of justifying his own actions or making excuses, at that moment, Judah had a clear
[00:20:33.920 --> 00:20:38.420]   realization of what had happened.
[00:20:38.420 --> 00:20:46.520]   And because of his sin in not fulfilling his promise to Tamar, and his sin in engaging
[00:20:46.520 --> 00:20:54.640]   a prostitute, he confessed that Tamar was more righteous than he was.
[00:20:54.640 --> 00:20:57.640]   Yes, she was.
[00:20:57.640 --> 00:21:05.920]   And you see, Tamar was the only one that was so cared about the family line of Judah, far
[00:21:05.920 --> 00:21:08.680]   more than anybody else.
[00:21:08.680 --> 00:21:13.120]   She risked her life.
[00:21:13.120 --> 00:21:17.580]   She risked her life in her own expenses.
[00:21:17.580 --> 00:21:24.280]   And she hold fast to the promise that were given to this family.
[00:21:24.280 --> 00:21:33.680]   Tamar displayed such an ordinary act of faith, determination, and courage.
[00:21:33.680 --> 00:21:43.200]   Like Tamar, are we willing to put our trust in God when we face challenge and stand up
[00:21:43.200 --> 00:21:57.080]   for what is right for others and for ourselves, and to seek justice?
[00:21:57.080 --> 00:22:03.200]   God allowed Tamar to achieve triumph over this situation.
[00:22:03.200 --> 00:22:07.120]   Not only God cared about her, God loved her.
[00:22:07.120 --> 00:22:10.320]   God knew her situation.
[00:22:10.320 --> 00:22:15.920]   God produced much good out of what has been a great evil.
[00:22:15.920 --> 00:22:21.560]   Church, we all have a role in God's story.
[00:22:21.560 --> 00:22:29.920]   Can we maintain our faith and resilience in God's plan and purpose when we do not understand
[00:22:29.920 --> 00:22:33.760]   our hardship?
[00:22:33.760 --> 00:22:40.160]   The Bible accurately records what people did.
[00:22:40.160 --> 00:22:48.880]   Certain behaviors appearing in the Bible does not mean God endorses these behaviors.
[00:22:48.880 --> 00:22:54.920]   Both Judah and Tamar engaged in a sinful activity.
[00:22:54.920 --> 00:23:00.520]   But sin is not really the heart of the story.
[00:23:00.520 --> 00:23:04.240]   Sin is not a surprise.
[00:23:04.240 --> 00:23:18.480]   When sin is exposed and thrown under the spotlight, what happened in the next instance is important.
[00:23:18.480 --> 00:23:30.120]   Acknowledging Tamar's righteousness and his wrongdoing was the first step in Judah's transformation.
[00:23:30.120 --> 00:23:41.160]   In this moment of realizing and in this moment of brokenness, Judah has repented and God
[00:23:41.160 --> 00:23:43.480]   redeemed him.
[00:23:43.480 --> 00:23:55.200]   Judah's life provides an example of how God can transform and use anybody, any of
[00:23:55.200 --> 00:23:58.680]   us for his purpose.
[00:23:58.680 --> 00:24:08.160]   In verses 26, the scripture here said, "And he did not sleep with her again," implying
[00:24:08.160 --> 00:24:15.480]   that Judah did not take advantage of her situation for his own gain.
[00:24:15.480 --> 00:24:23.480]   But instead, he respected Tamar and provided for her as a family.
[00:24:23.480 --> 00:24:28.280]   Repentance is not just acknowledging, "Oh, I did wrong.
[00:24:28.280 --> 00:24:30.200]   I was wrong."
[00:24:30.200 --> 00:24:40.320]   Not only that, it involves turning away from our wrongdoing and starting to live a brand
[00:24:40.320 --> 00:24:47.640]   new life, to live a different life.
[00:24:47.640 --> 00:24:57.200]   God transformed an act steeped in such immorality into an extraordinary blessing, demonstrating
[00:24:57.200 --> 00:25:03.800]   his amazing work of providence and redemption.
[00:25:03.800 --> 00:25:12.280]   Later, we will see in chapter 44, Judah was willing to give up his freedom, even his own
[00:25:12.280 --> 00:25:18.160]   life to rescue his brother Benjamin.
[00:25:18.160 --> 00:25:22.160]   And the tribe of Judah was the largest.
[00:25:22.160 --> 00:25:29.520]   And he, the tribe of Judah, was the leader of the other 11 tribes.
[00:25:29.520 --> 00:25:37.240]   And he was also privileged, being part of the lineage of the Messiah.
[00:25:37.240 --> 00:25:43.880]   Judah's name was written on the gates of the heavenly Jerusalem, according to the book
[00:25:43.880 --> 00:25:47.640]   of Revelation.
[00:25:47.640 --> 00:26:04.120]   Church, we live in the days when the behavior of Judah and Tamar are very, very common.
[00:26:04.120 --> 00:26:10.760]   But there's no restriction of God doing what he intends to do.
[00:26:10.760 --> 00:26:20.800]   We can look at Judah and Tamar and easily write them off as lost causes, worthless to
[00:26:20.800 --> 00:26:24.440]   be used by God.
[00:26:24.440 --> 00:26:33.780]   But God, with his mercy and grace, worked and transformed their lives and used such
[00:26:33.780 --> 00:26:42.400]   a black mark in their lives to become an agent of blessings for God, for their family, and
[00:26:42.400 --> 00:26:47.200]   for others in the future.
[00:26:47.200 --> 00:26:58.360]   So the book of Genesis, chapter 38, here it reminds us that there is a hope for all sinners.
[00:26:58.360 --> 00:27:06.960]   God's loving kindness often comes through confronting our ugliness and allowing us so
[00:27:06.960 --> 00:27:11.280]   honestly see our wrongdoing.
[00:27:11.280 --> 00:27:15.960]   And this humble us, this reveal our need.
[00:27:15.960 --> 00:27:21.320]   We are so much to need our Savior.
[00:27:21.320 --> 00:27:29.880]   We are so much need for his forgiveness, his mercy, for his grace, and for his redemption.
[00:27:29.880 --> 00:27:37.460]   And these are such beautiful gifts God always ready to offer to us.
[00:27:37.460 --> 00:27:43.640]   And God blesses us beyond what we deserve.
[00:27:43.640 --> 00:27:47.680]   And he is ready.
[00:27:47.680 --> 00:27:50.640]   Are you ready?
[00:27:50.640 --> 00:27:53.040]   pray.

