
[00:00:00.000 --> 00:00:02.400]   - Amen, amen, awesome.
[00:01:35.340 --> 00:01:38.220]   that the idea is that things need to happen quickly
[00:01:38.220 --> 00:01:40.320]   and fast and that actually as human beings
[00:01:40.320 --> 00:01:41.860]   in this modern world that we live in,
[00:01:41.860 --> 00:01:45.480]   we put a very high value on the things that happen quickly.
[00:01:45.480 --> 00:01:49.440]   If something takes time or doesn't come as quickly
[00:01:49.440 --> 00:01:51.880]   as we would want it, we generally see that
[00:01:51.880 --> 00:01:54.680]   as something that we see lesser value in.
[00:01:54.680 --> 00:01:56.820]   So we have this driving sense
[00:01:56.820 --> 00:01:59.440]   that the good things come quickly
[00:01:59.440 --> 00:02:01.760]   and bad things or weak things
[00:02:01.760 --> 00:02:04.040]   or things that are not as valuable
[00:02:04.040 --> 00:02:05.800]   are often the things that take time.
[00:02:05.800 --> 00:02:08.240]   And we as Christians, we talked about last week,
[00:02:08.240 --> 00:02:10.720]   we brought this into our faith, haven't we?
[00:02:10.720 --> 00:02:13.920]   And we have this mindset that God needs to act
[00:02:13.920 --> 00:02:15.600]   and he needs to act immediately.
[00:02:15.600 --> 00:02:17.800]   And if God doesn't act immediately,
[00:02:17.800 --> 00:02:20.320]   then there's a, often in us as Christians,
[00:02:20.320 --> 00:02:25.320]   we devalue him, that we ask questions about him,
[00:02:25.640 --> 00:02:28.040]   that we second guess his nature.
[00:02:28.040 --> 00:02:29.880]   This is what we do as Christians
[00:02:29.880 --> 00:02:32.280]   when it seems like there's a delay,
[00:02:32.280 --> 00:02:34.760]   where there's a promise that we thought was gonna happen
[00:02:34.760 --> 00:02:37.320]   that didn't happen, there was a prayer for healing
[00:02:37.320 --> 00:02:40.000]   that we were hoping for that didn't seem to take place,
[00:02:40.000 --> 00:02:42.400]   that there was an expected word from God
[00:02:42.400 --> 00:02:44.520]   that didn't seem to come in the timeframe
[00:02:44.520 --> 00:02:45.720]   that we were expecting.
[00:02:45.720 --> 00:02:47.160]   We either will do one of two things.
[00:02:47.160 --> 00:02:51.040]   We will either doubt God and judge his character
[00:02:51.040 --> 00:02:54.260]   or we will often doubt ourselves and judge our own.
[00:02:54.260 --> 00:02:56.000]   Oh, there's some sin in me, there's some brokenness in me,
[00:02:56.000 --> 00:02:57.400]   there's something wrong with me,
[00:02:57.400 --> 00:03:01.200]   which is why God is not doing what I'm expecting him to do.
[00:03:01.200 --> 00:03:03.920]   And we saw last week that there are over 200 passages
[00:03:03.920 --> 00:03:06.320]   of scripture on the idea of waiting.
[00:03:06.320 --> 00:03:09.680]   And if you do a survey of those scriptures,
[00:03:09.680 --> 00:03:12.400]   basically generally what the passages of scripture teach us
[00:03:12.400 --> 00:03:16.120]   is that waiting in God's eyes is a gift.
[00:03:16.120 --> 00:03:17.880]   So it's a very different experience
[00:03:17.880 --> 00:03:20.000]   to how we think about it in the modern context
[00:03:20.000 --> 00:03:21.400]   and how often we've thought about it
[00:03:21.400 --> 00:03:23.520]   within our modern religious context,
[00:03:23.520 --> 00:03:24.880]   that actually waiting is a gift,
[00:03:24.880 --> 00:03:28.400]   that it enables us to experience something of God's pleasure
[00:03:28.400 --> 00:03:30.200]   or something of God's character
[00:03:30.200 --> 00:03:32.560]   that we may not have experienced otherwise,
[00:03:32.560 --> 00:03:34.880]   causes us to slow down,
[00:03:34.880 --> 00:03:36.520]   to reevaluate some of the things
[00:03:36.520 --> 00:03:37.960]   that are going on in our lives,
[00:03:37.960 --> 00:03:40.760]   to better bring that to the Lord as well,
[00:03:40.760 --> 00:03:44.640]   to strip away our sense of being God.
[00:03:44.640 --> 00:03:49.040]   Often seasons of waiting are a way of reducing my thought
[00:03:49.040 --> 00:03:51.360]   that I can provide fully for myself
[00:03:51.360 --> 00:03:53.320]   and realigns us to the reality
[00:03:53.320 --> 00:03:55.240]   that we need something else,
[00:03:55.240 --> 00:03:57.040]   that we need to trust in God,
[00:03:57.040 --> 00:04:00.220]   that we need to wait and rely on Him
[00:04:00.220 --> 00:04:03.040]   to do what we cannot do.
[00:04:03.040 --> 00:04:04.280]   And we talked last week
[00:04:04.280 --> 00:04:05.880]   that we're gonna base this whole series,
[00:04:05.880 --> 00:04:07.240]   this next four or five weeks,
[00:04:07.240 --> 00:04:09.000]   in this idea of Psalm 27.
[00:04:09.000 --> 00:04:11.520]   Psalm 27, one of the most beautiful Psalms
[00:04:11.520 --> 00:04:13.640]   that we have in the book of Psalter,
[00:04:13.640 --> 00:04:15.160]   a Psalm of King David.
[00:04:15.160 --> 00:04:16.760]   And right at the end of that, he says,
[00:04:16.760 --> 00:04:17.960]   "Wait for the Lord."
[00:04:17.960 --> 00:04:19.600]   He encourages his people,
[00:04:19.600 --> 00:04:21.880]   "Wait for the Lord, be strong, take heart,
[00:04:21.880 --> 00:04:23.720]   "and wait for Him."
[00:04:23.720 --> 00:04:26.320]   And we saw last week that the word wait there
[00:04:26.320 --> 00:04:28.080]   is the Hebrew word kava.
[00:04:28.080 --> 00:04:30.160]   And kava means something very interesting.
[00:04:30.160 --> 00:04:33.280]   It means to bind together, to gather together,
[00:04:33.280 --> 00:04:36.320]   to look and to expect,
[00:04:36.320 --> 00:04:37.520]   which is a very different way
[00:04:37.520 --> 00:04:40.880]   that we think about waiting in our modern context.
[00:04:40.880 --> 00:04:42.520]   When we think about waiting,
[00:04:42.520 --> 00:04:46.200]   we predominantly think about it as inactivity.
[00:04:46.200 --> 00:04:47.680]   Like if I need to wait,
[00:04:47.680 --> 00:04:50.280]   it means that I'm not doing anything.
[00:04:50.280 --> 00:04:53.080]   I'm just kind of going, right?
[00:04:53.080 --> 00:04:54.880]   But in the Hebrew way of thinking,
[00:04:54.880 --> 00:04:57.840]   waiting is not inactivity or idleness.
[00:04:57.840 --> 00:05:02.200]   It is an active anticipation of change.
[00:05:02.200 --> 00:05:03.840]   Remember, we talked about this last week.
[00:05:03.840 --> 00:05:06.920]   It is an active anticipation of change.
[00:05:06.920 --> 00:05:09.160]   In other words, waiting is not this kind of like,
[00:05:09.160 --> 00:05:10.880]   "Oh gosh, I guess I'll just give up
[00:05:10.880 --> 00:05:12.320]   "and just kind of like do nothing."
[00:05:12.320 --> 00:05:14.600]   Waiting is like, I'm expecting.
[00:05:14.600 --> 00:05:16.520]   Oh, I don't know when it's coming.
[00:05:16.520 --> 00:05:18.880]   And sure, it can be hard and painful
[00:05:18.880 --> 00:05:21.240]   in the way I wish it was today,
[00:05:21.240 --> 00:05:22.200]   but it may not be,
[00:05:22.200 --> 00:05:25.360]   but I'm actively anticipating
[00:05:25.360 --> 00:05:27.280]   that there is going to be a change.
[00:05:27.280 --> 00:05:30.440]   That God, who is the same yesterday, today and forever,
[00:05:30.440 --> 00:05:34.440]   God whose character I can depend on is going to act.
[00:05:34.440 --> 00:05:37.360]   I hope it's now, but if it's not, and I need to wait,
[00:05:37.360 --> 00:05:41.160]   then I have an active anticipation that change is coming.
[00:05:41.160 --> 00:05:46.000]   Therefore, in the Hebrew thinking about waiting,
[00:05:46.000 --> 00:05:49.120]   waiting is like a prophetic act.
[00:05:49.120 --> 00:05:51.360]   It's not a,
[00:05:51.360 --> 00:05:56.520]   it is a, I'm going to live in such a way
[00:05:56.520 --> 00:06:01.000]   that I am gonna prophetically live into the future
[00:06:01.000 --> 00:06:03.560]   of what I'm expecting God to do
[00:06:03.560 --> 00:06:07.640]   rather than the reality of my circumstance today.
[00:06:07.640 --> 00:06:09.160]   I'm not gonna ignore the fact,
[00:06:09.160 --> 00:06:12.160]   I'm not gonna downplay the reality that waiting is hard,
[00:06:12.160 --> 00:06:14.400]   but I'm gonna have an active anticipation
[00:06:14.400 --> 00:06:18.840]   of change in my spirit and a prophetic hope
[00:06:18.840 --> 00:06:20.320]   in the way in which, I almost fell over there,
[00:06:20.320 --> 00:06:22.680]   and a prophetic hope in the way
[00:06:22.680 --> 00:06:24.920]   in which I'm going to live my life, amen?
[00:06:24.920 --> 00:06:28.880]   So that's what we were kind of digging into last week.
[00:06:28.880 --> 00:06:31.320]   And we talked about the fact that Psalm 27
[00:06:31.320 --> 00:06:34.040]   has these four stanzas in it.
[00:06:34.040 --> 00:06:36.320]   It's a poem of four blocks,
[00:06:36.320 --> 00:06:37.760]   and we're gonna take one of those blocks
[00:06:37.760 --> 00:06:38.960]   over the next four weeks.
[00:06:38.960 --> 00:06:42.480]   And in each of the blocks, David does this beautiful thing.
[00:06:42.480 --> 00:06:47.440]   He shows us one of the negative aspects of waiting,
[00:06:47.440 --> 00:06:50.440]   and then he gives us his antidote to that negative thing
[00:06:50.440 --> 00:06:52.320]   in all four of these things.
[00:06:52.320 --> 00:06:54.600]   So as we go through this series over this month,
[00:06:54.600 --> 00:06:56.600]   you're gonna get a lot of tips and tools
[00:06:56.600 --> 00:06:59.080]   for those waiting seasons in your life.
[00:06:59.080 --> 00:07:00.160]   And today we're gonna start
[00:07:00.160 --> 00:07:03.560]   in the first three verses of Psalm 27.
[00:07:03.560 --> 00:07:05.920]   So let me read this to us together
[00:07:05.920 --> 00:07:08.280]   as we take a look at this first negative thing
[00:07:08.280 --> 00:07:10.280]   and David's hope within it.
[00:07:11.240 --> 00:07:13.340]   Psalm 27 verses one to three says,
[00:07:13.340 --> 00:07:17.400]   the Lord is my light and my salvation.
[00:07:17.400 --> 00:07:18.540]   Whom should I fear?
[00:07:18.540 --> 00:07:21.520]   The Lord is the stronghold of my life.
[00:07:21.520 --> 00:07:23.940]   Of whom should I be afraid?
[00:07:23.940 --> 00:07:28.120]   When evil doers came upon me to devour my flesh,
[00:07:28.120 --> 00:07:30.320]   when my adversaries and my enemies did,
[00:07:30.320 --> 00:07:32.240]   they stumbled and they fell.
[00:07:32.240 --> 00:07:37.200]   If an army encamps against me, my heart will not fear.
[00:07:37.200 --> 00:07:40.800]   If war rises up against me in spite of this,
[00:07:40.800 --> 00:07:41.640]   I am confident.
[00:07:41.640 --> 00:07:46.560]   There's this phenomenon in scripture, in biblical studies,
[00:07:46.560 --> 00:07:48.200]   you may not have heard of it before.
[00:07:48.200 --> 00:07:50.680]   It's a phenomenon where sometimes the best way
[00:07:50.680 --> 00:07:55.240]   to interpret a passage is actually to approach it in reverse.
[00:07:55.240 --> 00:07:58.340]   So working from the end towards the beginning.
[00:07:58.340 --> 00:08:01.680]   This is often seen actually in Hebrew poetry.
[00:08:01.680 --> 00:08:04.520]   Hebrew poetry often has parallel isms to it
[00:08:04.520 --> 00:08:06.320]   and often the thought develops
[00:08:06.320 --> 00:08:08.440]   and sometimes what is said at the end
[00:08:08.440 --> 00:08:10.320]   is the interpretive framework
[00:08:10.320 --> 00:08:12.120]   for how you to understand the start.
[00:08:12.120 --> 00:08:13.500]   We even see this in the New Testament.
[00:08:13.500 --> 00:08:17.360]   Actually the apostle Paul is famous in writing this way
[00:08:17.360 --> 00:08:19.460]   and in some of his structures,
[00:08:19.460 --> 00:08:21.620]   what he says at the end is the key
[00:08:21.620 --> 00:08:23.120]   for understanding what he's been saying
[00:08:23.120 --> 00:08:24.400]   throughout the whole flow.
[00:08:24.400 --> 00:08:27.400]   And here we see a great example of this.
[00:08:27.400 --> 00:08:29.720]   So I'm gonna start in verse three
[00:08:29.720 --> 00:08:32.520]   and we're gonna work our way back to verse one
[00:08:32.520 --> 00:08:36.200]   as I unpack for you this negative thing
[00:08:36.200 --> 00:08:38.360]   that David mentions here,
[00:08:38.360 --> 00:08:41.040]   which is the idea of fear and anxiety.
[00:08:41.040 --> 00:08:42.480]   Verse three says this,
[00:08:42.480 --> 00:08:47.100]   if an army encamps against me, my heart will not fear.
[00:08:47.100 --> 00:08:51.900]   If war arises against me, in spite of this, I'm confident.
[00:08:51.900 --> 00:08:54.800]   David starts by saying something quite unique.
[00:08:54.800 --> 00:08:58.600]   He doesn't say what I would expect him to say.
[00:08:58.600 --> 00:09:00.960]   He's talking about armies, he's talking about wars,
[00:09:00.960 --> 00:09:02.120]   he's talking about battles
[00:09:02.120 --> 00:09:03.500]   and he's talking about the reality
[00:09:03.500 --> 00:09:05.920]   that so often in those things we fear,
[00:09:05.920 --> 00:09:07.520]   but he says this, he says,
[00:09:07.520 --> 00:09:11.200]   when a army encamps around me,
[00:09:11.200 --> 00:09:13.040]   or another way of interpreting Hebrew here,
[00:09:13.040 --> 00:09:17.240]   when rumors of war arise against me.
[00:09:17.240 --> 00:09:21.880]   So David is not speaking about the moment of the battle.
[00:09:21.880 --> 00:09:25.480]   He's not talking about war actually happening to him.
[00:09:25.480 --> 00:09:26.520]   He's not talking about like,
[00:09:26.520 --> 00:09:28.680]   hey, I'm in a battle right now
[00:09:28.680 --> 00:09:30.080]   and this battle is really hard
[00:09:30.080 --> 00:09:32.100]   and it's creating some fear in me.
[00:09:32.100 --> 00:09:33.960]   No, he's actually saying the opposite.
[00:09:33.960 --> 00:09:37.320]   He's saying, do you wanna know when I really fear?
[00:09:37.320 --> 00:09:40.600]   Do you wanna know when the enemy has the greatest door
[00:09:40.600 --> 00:09:43.080]   to get into my life and create fear within me?
[00:09:43.080 --> 00:09:45.560]   It's not when the battle is actually happening,
[00:09:45.560 --> 00:09:47.720]   it's the night before the battle.
[00:09:47.720 --> 00:09:52.840]   He's like, it's when the armies have encamped around me.
[00:09:52.840 --> 00:09:54.460]   They're camped around me.
[00:09:54.460 --> 00:09:58.000]   They haven't attacked yet, but they're threatening to.
[00:09:58.000 --> 00:09:59.200]   Are you with this?
[00:09:59.200 --> 00:10:02.320]   He's like, when the rumors of war arise against me,
[00:10:02.320 --> 00:10:06.000]   not the fight itself, but when I hear the rumors of it,
[00:10:06.000 --> 00:10:10.040]   that's when I can sense that fear begins to arise in me.
[00:10:10.040 --> 00:10:12.120]   And I think what David is doing here
[00:10:12.120 --> 00:10:14.520]   is helping us to understand something really important
[00:10:14.520 --> 00:10:16.180]   about seasons of waiting.
[00:10:16.180 --> 00:10:20.160]   That so often in seasons of waiting,
[00:10:20.160 --> 00:10:24.000]   the anticipation of what could happen
[00:10:24.000 --> 00:10:26.240]   creates more fear in us
[00:10:26.240 --> 00:10:30.040]   than the eventual reality of what does take place.
[00:10:30.040 --> 00:10:31.140]   Are you with me?
[00:10:31.140 --> 00:10:32.880]   This is anxiety.
[00:10:32.880 --> 00:10:35.040]   It's classic anxiety.
[00:10:35.040 --> 00:10:38.000]   And this is what happens when we wait.
[00:10:38.000 --> 00:10:41.400]   When we're waiting for the doctor to get back to us
[00:10:41.400 --> 00:10:42.920]   about what's going on in us,
[00:10:42.920 --> 00:10:44.560]   maybe we've got a blood test in there
[00:10:44.560 --> 00:10:45.600]   or whatever it might be.
[00:10:45.600 --> 00:10:47.680]   We're waiting for the doctor to get back to us.
[00:10:47.680 --> 00:10:50.760]   What happens is all this fear rises inside of us
[00:10:50.760 --> 00:10:53.720]   and we start to spirally think in our minds
[00:10:53.720 --> 00:10:56.160]   that the worst case scenario is gonna happen.
[00:10:56.160 --> 00:11:00.400]   And oftentimes, the longer the wait,
[00:11:00.400 --> 00:11:01.800]   the greater the anxiety.
[00:11:01.800 --> 00:11:03.720]   Have you noticed that in your life?
[00:11:03.720 --> 00:11:05.160]   So you're waiting.
[00:11:05.160 --> 00:11:06.960]   Maybe there's a hard conversation with someone
[00:11:06.960 --> 00:11:08.520]   that you need to have at work.
[00:11:08.520 --> 00:11:11.160]   And the longer it takes to have that conversation,
[00:11:11.160 --> 00:11:14.320]   the worse you think they're going to react.
[00:11:14.320 --> 00:11:16.380]   Or maybe you're waiting for a spouse
[00:11:16.380 --> 00:11:18.200]   or you've been praying for a long time
[00:11:18.200 --> 00:11:20.920]   for a new special relationship in your life,
[00:11:20.920 --> 00:11:22.760]   but the longer the wait goes,
[00:11:22.760 --> 00:11:23.880]   the more you begin to think
[00:11:23.880 --> 00:11:25.920]   it's never going to happen to you.
[00:11:25.920 --> 00:11:29.600]   David's saying, "It's when the armies are encamped around me
[00:11:29.600 --> 00:11:31.760]   "that I have anxiety
[00:11:31.760 --> 00:11:35.480]   "because I often fear the worst case scenario.
[00:11:35.480 --> 00:11:39.400]   "And so often, that is the thing that grips my heart."
[00:11:39.400 --> 00:11:42.440]   And the reality is, in seasons of waiting
[00:11:42.440 --> 00:11:43.640]   in all of our lives,
[00:11:43.640 --> 00:11:47.080]   this is the first thing that the enemy brings against us.
[00:11:47.080 --> 00:11:50.160]   I talked last week about the four emotional states
[00:11:50.160 --> 00:11:55.120]   of waiting, confusion, anxiety, hopelessness, self-pity.
[00:11:55.120 --> 00:11:57.280]   We're looking at this particular position
[00:11:57.280 --> 00:11:59.240]   of anxiety here this morning.
[00:11:59.240 --> 00:12:00.800]   This anxiety gets in us
[00:12:00.800 --> 00:12:03.320]   because we're beginning to extrapolate
[00:12:03.320 --> 00:12:05.400]   the worst case scenario
[00:12:05.400 --> 00:12:07.440]   because the waiting is going on.
[00:12:07.440 --> 00:12:11.200]   And that's what David is trying to describe here.
[00:12:11.200 --> 00:12:14.500]   And he's saying, "I know that kind of pain.
[00:12:14.500 --> 00:12:16.500]   "I know that kind of anxiety.
[00:12:16.500 --> 00:12:19.560]   "I've kind of felt this kind of anxiety."
[00:12:19.560 --> 00:12:21.200]   The reality of the wait.
[00:12:21.200 --> 00:12:22.920]   And what I think David is saying is this,
[00:12:22.920 --> 00:12:26.000]   "Before you fight a battle in the flesh,
[00:12:26.000 --> 00:12:29.000]   "you're going to need to first fight a battle in your mind."
[00:12:30.000 --> 00:12:31.320]   Come on, church.
[00:12:31.320 --> 00:12:33.160]   Like before you actually have to
[00:12:33.160 --> 00:12:35.000]   maybe do that hard conversation
[00:12:35.000 --> 00:12:37.560]   or before you actually do get the results from the doctor,
[00:12:37.560 --> 00:12:38.840]   whichever way it might go,
[00:12:38.840 --> 00:12:42.240]   the first battle is always the battle of the mind.
[00:12:42.240 --> 00:12:44.320]   And when you're in seasons of waiting,
[00:12:44.320 --> 00:12:47.720]   it is your mind that the enemy is going to grab ahold of.
[00:12:47.720 --> 00:12:51.760]   And David's like, "You got to understand this."
[00:12:51.760 --> 00:12:54.880]   But then he says, "There are two ways
[00:12:54.880 --> 00:12:56.720]   "that you beat the battle of the mind."
[00:12:56.720 --> 00:12:59.160]   So if this is connecting with you,
[00:12:59.160 --> 00:13:00.200]   and you're like, "I know what it is
[00:13:00.200 --> 00:13:02.840]   "to have this battle going on in here.
[00:13:02.840 --> 00:13:05.240]   "That so often I have the worst case scenario."
[00:13:05.240 --> 00:13:06.080]   And you know what?
[00:13:06.080 --> 00:13:06.920]   So often that doesn't happen,
[00:13:06.920 --> 00:13:10.160]   but man, the anxiety and the fear and the stress of it all
[00:13:10.160 --> 00:13:11.640]   because of what's been going around him.
[00:13:11.640 --> 00:13:14.040]   If you know what it is to have a battle of the mind,
[00:13:14.040 --> 00:13:16.400]   David says there are two primary ways
[00:13:16.400 --> 00:13:18.540]   to beat the battle of the mind.
[00:13:18.540 --> 00:13:20.800]   The first is found in verse two.
[00:13:20.800 --> 00:13:26.240]   He says, "When evil doers came upon me to devour my flesh,
[00:13:26.240 --> 00:13:28.240]   "my adversaries and my enemies,
[00:13:28.240 --> 00:13:29.840]   "they stumbled and they fell."
[00:13:29.840 --> 00:13:33.080]   In some modern translations,
[00:13:33.080 --> 00:13:35.040]   the NIV that I often read from,
[00:13:35.040 --> 00:13:36.360]   this is actually in the present tense,
[00:13:36.360 --> 00:13:38.360]   but if you read it in the Hebrew, it's in the past tense,
[00:13:38.360 --> 00:13:40.440]   and that's really important.
[00:13:40.440 --> 00:13:43.320]   Because what actually David is communicating here is,
[00:13:43.320 --> 00:13:45.400]   here's the first way that you begin to win
[00:13:45.400 --> 00:13:48.240]   the battle of mind when it comes to anxiety and fear.
[00:13:48.240 --> 00:13:50.400]   He's like, "Sometimes we can't avoid the reality
[00:13:50.400 --> 00:13:52.720]   "that anxiety and fear will come to us."
[00:13:52.720 --> 00:13:54.960]   'Cause so often they're the first emotion
[00:13:54.960 --> 00:13:56.900]   that arises in us, right?
[00:13:56.900 --> 00:13:59.240]   But he's saying, you wanna know how you beat that?
[00:13:59.240 --> 00:14:01.880]   You wanna know how you begin to process it in a healthy way?
[00:14:01.880 --> 00:14:04.760]   How you begin to get over that fear and that anxiety?
[00:14:04.760 --> 00:14:08.160]   He says, "There have been times before,
[00:14:08.160 --> 00:14:09.920]   "when the enemies have encircled me.
[00:14:09.920 --> 00:14:12.400]   "Oh, there have been times before
[00:14:12.400 --> 00:14:14.380]   "when my adversaries have attacked me,
[00:14:14.380 --> 00:14:17.240]   "but they stumbled and fell.
[00:14:17.240 --> 00:14:19.900]   "In the past, they were defeated.
[00:14:19.900 --> 00:14:22.520]   "In the past, they did not win."
[00:14:22.520 --> 00:14:24.280]   And I need, David is saying to himself,
[00:14:24.280 --> 00:14:26.880]   "I need to remember today."
[00:14:26.880 --> 00:14:28.400]   'Cause this is a battle of the mind.
[00:14:28.400 --> 00:14:31.840]   So I need to get my mind to think on something
[00:14:31.840 --> 00:14:34.600]   other than the fear of what I think is going to happen.
[00:14:34.600 --> 00:14:36.480]   And one of the ways that I overcome it is I go,
[00:14:36.480 --> 00:14:40.040]   "Hang on, I've been in this situation before.
[00:14:40.040 --> 00:14:44.000]   "And the Lord stood by me last time.
[00:14:44.000 --> 00:14:47.420]   "That the Lord equipped me and strengthened me and helped me.
[00:14:47.420 --> 00:14:50.320]   "And I saw before my enemies fall.
[00:14:50.320 --> 00:14:54.320]   "And what he's done before, I believe he can do it again."
[00:14:55.400 --> 00:14:57.040]   Didn't we just sing that song?
[00:14:57.040 --> 00:14:58.600]   Didn't we all go, "Woo-hoo, God's gonna do it again."
[00:14:58.600 --> 00:15:03.600]   But so often, we struggle with this and anxiety remains.
[00:15:03.600 --> 00:15:06.820]   And I love the fact that David is like,
[00:15:06.820 --> 00:15:09.380]   "The first thing we grab a hold of
[00:15:09.380 --> 00:15:11.500]   "is a reality that we must remember.
[00:15:11.500 --> 00:15:13.000]   "But I want you to know this.
[00:15:13.000 --> 00:15:16.960]   "One of the most destructive things about fear
[00:15:16.960 --> 00:15:19.160]   "is that it creates forgetfulness."
[00:15:19.160 --> 00:15:21.880]   I'm gonna say that again.
[00:15:21.880 --> 00:15:23.560]   Some of you need to write that down.
[00:15:23.560 --> 00:15:26.320]   That's a fridge magnet going on your fridge.
[00:15:26.320 --> 00:15:31.360]   Sometimes one of the most destructive things about fear
[00:15:31.360 --> 00:15:34.840]   is that it causes or creates forgetfulness.
[00:15:34.840 --> 00:15:38.080]   And because fear is present to us and right in front of us,
[00:15:38.080 --> 00:15:40.080]   and we're seeing all these things that are happening,
[00:15:40.080 --> 00:15:43.240]   we begin to forget what God has done before.
[00:15:43.240 --> 00:15:45.100]   We begin to forget that his promises
[00:15:45.100 --> 00:15:46.600]   have stood with us in the past.
[00:15:46.600 --> 00:15:49.160]   We begin to forget the battles that he fought for us
[00:15:49.160 --> 00:15:50.720]   and that he won before.
[00:15:50.720 --> 00:15:54.960]   And fear causes us to forget God's before
[00:15:54.960 --> 00:15:58.080]   so that we don't think we have him in the now.
[00:15:58.080 --> 00:16:01.480]   One of the enemy's greatest strategies
[00:16:01.480 --> 00:16:05.280]   against the church is spiritual amnesia.
[00:16:05.280 --> 00:16:06.200]   Come on, church.
[00:16:06.200 --> 00:16:08.560]   Spiritual amnesia.
[00:16:08.560 --> 00:16:13.200]   That we forget that God has been good.
[00:16:13.200 --> 00:16:16.920]   Which is why it was great a moment ago
[00:16:16.920 --> 00:16:20.320]   for us to hear from one another that God is still at work.
[00:16:20.920 --> 00:16:22.640]   That God is active.
[00:16:22.640 --> 00:16:25.600]   That he is doing something.
[00:16:25.600 --> 00:16:29.120]   This idea of causing and calling the church
[00:16:29.120 --> 00:16:31.360]   to remember the things that God has done
[00:16:31.360 --> 00:16:33.360]   is a consistent thread in scripture.
[00:16:33.360 --> 00:16:36.080]   I wanna just give you a quick New Testament example
[00:16:36.080 --> 00:16:39.200]   from Peter writing to his church.
[00:16:39.200 --> 00:16:42.120]   His church, in a season of great anxiety,
[00:16:42.120 --> 00:16:45.600]   they were believing that Jesus was gonna return soon.
[00:16:45.600 --> 00:16:47.480]   So Jesus has gone to the cross.
[00:16:47.480 --> 00:16:49.240]   He's raised from the dead.
[00:16:49.240 --> 00:16:50.400]   He's then met them.
[00:16:50.400 --> 00:16:51.360]   He's ascended.
[00:16:51.360 --> 00:16:54.040]   Before he met them, he said, "I will be returning to you."
[00:16:54.040 --> 00:16:55.640]   And so they have this idea
[00:16:55.640 --> 00:16:57.960]   that Jesus is gonna return soon,
[00:16:57.960 --> 00:16:59.920]   but he hasn't come back yet,
[00:16:59.920 --> 00:17:01.720]   and their lives are difficult and tough.
[00:17:01.720 --> 00:17:04.320]   And they realize if Jesus could come back,
[00:17:04.320 --> 00:17:05.960]   everything in my life is gonna be better.
[00:17:05.960 --> 00:17:08.280]   And the wait for Jesus to return
[00:17:08.280 --> 00:17:10.880]   is creating anxiety in the church.
[00:17:10.880 --> 00:17:13.480]   And Peter writes these words in 2 Peter 3.
[00:17:13.480 --> 00:17:16.000]   He says, "Dear friends,
[00:17:16.000 --> 00:17:18.420]   this is now my second letter to you.
[00:17:18.420 --> 00:17:21.840]   I have written both of them as reminders
