
[00:00:00.000 --> 00:00:05.000]  各位影視節目平安
[00:05:40.000 --> 00:05:44.000]  是因為這樣的緣故 他就先說了第十章
[00:05:44.000 --> 00:05:48.000]  就是當時本來是一樣的言語
[00:05:48.000 --> 00:05:52.000]  隨著他們去到不同的地方就建立自己的方言
[00:05:52.000 --> 00:05:57.000]  建立自己的地圖 建立自己的文化習俗等等
[00:05:57.000 --> 00:06:01.000]  然後來到十一章的時候 他就交代前因
[00:06:01.000 --> 00:06:06.000]  為何本來是一樣的 同在一個地方 他們會分開呢
[00:06:06.000 --> 00:06:12.000]  原來這個地方就告訴我們 是因為發生了一件事
[00:06:12.000 --> 00:06:17.000]  這件事就是巴別塔的事
[00:06:17.000 --> 00:06:22.000]  首先我們去看一看第二節
[00:06:22.000 --> 00:06:27.000]  他們往東邊遷移的時候
[00:06:27.000 --> 00:06:34.000]  到底對我們有甚麼特別的看法呢
[00:06:34.000 --> 00:06:40.000]  原來創世紀裡面每次說到往東遷移的時候
[00:06:40.000 --> 00:06:46.000]  都是一些離開神的看法
[00:06:46.000 --> 00:06:52.000]  到底在哪裡看到往東邊遷移
[00:06:52.000 --> 00:06:55.000]  就是離開神的一些看法呢
[00:06:55.000 --> 00:07:00.000]  我們首先看看創世紀四章十六節
[00:07:00.000 --> 00:07:04.000]  就是該人殺了阿伯之後
[00:07:04.000 --> 00:07:07.000]  他就離開耶和華的面
[00:07:07.000 --> 00:07:12.000]  去住在伊甸東邊羅德之地
[00:07:12.000 --> 00:07:17.000]  羅德就是由流浪蕩漂流的意思
[00:07:17.000 --> 00:07:20.000]  但大家要留意聖經裡面說到
[00:07:20.000 --> 00:07:25.000]  他是往伊甸東邊羅德之地
[00:07:25.000 --> 00:07:30.000]  而東邊是指著甚麼呢
[00:07:30.000 --> 00:07:33.000]  創世紀四章十六節
[00:07:33.000 --> 00:07:38.000]  是該人離開耶和華的面來講的
[00:07:38.000 --> 00:07:44.000]  然後我們再看創世紀十三章十一節
[00:07:44.000 --> 00:07:48.000]  當羅德的僕人和阿伯拉罕的僕人
[00:07:48.000 --> 00:07:54.000]  因為爭地去牧養他們的羊產生紛爭的時候
[00:07:54.000 --> 00:07:56.000]  阿伯拉罕對羅德說
[00:07:56.000 --> 00:07:59.000]  你和我本是骨肉
[00:07:59.000 --> 00:08:03.000]  你和我不應該來相爭
[00:08:03.000 --> 00:08:06.000]  是因為這樣的緣故我就讓你選擇
[00:08:06.000 --> 00:08:09.000]  你去東我就去西
[00:08:09.000 --> 00:08:13.000]  你去西我就去東
[00:08:13.000 --> 00:08:21.000]  我們看見羅德就揀選了約旦河的全平原
[00:08:21.000 --> 00:08:23.000]  黃東遷
[00:08:23.000 --> 00:08:27.000]  他們彼此因為這樣的緣故就分離了
[00:08:27.000 --> 00:08:33.000]  原來東邊是一個比較富庶的地方
[00:08:33.000 --> 00:08:35.000]  是肥沃的地方
[00:08:35.000 --> 00:08:39.000]  是養畜牧業最好的地方
[00:08:39.000 --> 00:08:41.000]  他就去那邊
[00:08:41.000 --> 00:08:46.000]  但羅德揀選了富庶的地方
[00:08:46.000 --> 00:08:52.000]  同時亦揀選了離開神的面的地方
[00:08:52.000 --> 00:08:54.000]  是罪惡的地方
[00:08:54.000 --> 00:08:58.000]  各位都知道索多瑪和俄摩拉在哪裏
[00:08:58.000 --> 00:09:00.000]  就是在伊甸園東
[00:09:00.000 --> 00:09:04.000]  亦是羅德揀選的地方
[00:09:04.000 --> 00:09:10.000]  然後我們再看創世紀二十五章第五節
[00:09:10.000 --> 00:09:12.000]  十五章第六節
[00:09:12.000 --> 00:09:17.000]  阿伯拉罕將財物分給庶出的眾子
[00:09:17.000 --> 00:09:21.000]  就是趁著以撒小時候
[00:09:21.000 --> 00:09:28.000]  而其他所生的兒子還未出世之前
[00:09:28.000 --> 00:09:33.000]  又趁著他自己仍然在生的時候
[00:09:33.000 --> 00:09:38.000]  就避免了日後因為爭家產
[00:09:38.000 --> 00:09:42.000]  而產生骨肉相殘的現象
[00:09:42.000 --> 00:09:44.000]  所以因為這個緣故
[00:09:44.000 --> 00:09:48.000]  阿伯拉罕就將財物分給庶出的眾子
[00:09:48.000 --> 00:09:50.000]  每個都有財物
[00:09:50.000 --> 00:09:52.000]  趁著他自己在世的時候
[00:09:52.000 --> 00:09:55.000]  就打發他們離開他的兒子以撒
[00:09:55.000 --> 00:09:57.000]  他們離開了去哪裏呢?
[00:09:57.000 --> 00:09:59.000]  是往東方去
[00:09:59.000 --> 00:10:01.000]  有人就這樣說
[00:10:01.000 --> 00:10:02.000]  當然是東啦
[00:10:02.000 --> 00:10:04.000]  因為西面是地中海
[00:10:04.000 --> 00:10:07.000]  是不可能去西的
[00:10:07.000 --> 00:10:09.000]  所以一定是去東的
[00:10:09.000 --> 00:10:11.000]  但另一方面來說
[00:10:11.000 --> 00:10:14.000]  東方亦是一個比較富庶的地方
[00:10:14.000 --> 00:10:18.000]  任何人都樂於去東方
[00:10:18.000 --> 00:10:24.000]  接著我們看到創世紀二十九章第一節
[00:10:24.000 --> 00:10:29.000]  雅各起行到了東方人之地
[00:10:29.000 --> 00:10:31.000]  這個都可以讓我們看見
[00:10:31.000 --> 00:10:36.000]  就是雅各因為兩兄弟的不和
[00:10:36.000 --> 00:10:39.000]  引致他的哥哥要殺他
[00:10:39.000 --> 00:10:43.000]  發洩他搶奪長子的名份
[00:10:43.000 --> 00:10:45.000]  奪去了父親的祝福
[00:10:45.000 --> 00:10:48.000]  這些的冤、這些的仇
[00:10:48.000 --> 00:10:50.000]  他非要報不和
[00:10:50.000 --> 00:10:52.000]  因為這樣的緣故
[00:10:52.000 --> 00:10:56.000]  雅各被迫要離開他的父母
[00:10:56.000 --> 00:10:59.000]  離開他的家
[00:10:59.000 --> 00:11:01.000]  他要去哪裏呢?
[00:11:01.000 --> 00:11:03.000]  又是去東方人之地
[00:11:03.000 --> 00:11:06.000]  這個地方你可以這樣說
[00:11:06.000 --> 00:11:09.000]  地是東方人之地
[00:11:09.000 --> 00:11:11.000]  是拜偶像之地
[00:11:11.000 --> 00:11:18.000]  但雅各當然仍然個人可以保持他個人的見證
[00:11:18.000 --> 00:11:20.000]  羅德就不同了
[00:11:20.000 --> 00:11:23.000]  去到東方人之地之後
[00:11:23.000 --> 00:11:25.000]  他自己就入鄉隨俗
[00:11:25.000 --> 00:11:29.000]  入境就問禁
[00:11:29.000 --> 00:11:36.000]  入鄉隨俗是除了拜偶像道德淫亂的問題
[00:11:36.000 --> 00:11:44.000]  是導致他和兩個女兒在索多瑪大火滅城之後
[00:11:44.000 --> 00:11:46.000]  離開的過程當中
[00:11:46.000 --> 00:11:49.000]  都發生了淫亂
[00:11:49.000 --> 00:11:56.000]  以致生出一些永遠不能夠住在神殿的人
[00:11:56.000 --> 00:12:00.000]  我們可以看見這是其中一個原因
[00:12:00.000 --> 00:12:05.000]  他去東方的時候就找到一塊平原
[00:12:05.000 --> 00:12:08.000]  找到原文是可以到處去找
[00:12:08.000 --> 00:12:10.000]  幾經辛苦才找得到
[00:12:10.000 --> 00:12:13.000]  第二個是無意中遇到
[00:12:13.000 --> 00:12:17.000]  看見很正啊
[00:12:17.000 --> 00:12:18.000]  可能是這樣
[00:12:18.000 --> 00:12:21.000]  但無論如何他都找到平原
[00:12:21.000 --> 00:12:25.000]  找到平原之後
[00:12:25.000 --> 00:12:28.000]  他們就想建城和塔
[00:12:28.000 --> 00:12:31.000]  塔頂要通天
[00:12:31.000 --> 00:12:33.000]  他們的目的是甚麼呢?
[00:12:33.000 --> 00:12:37.000]  我們留意去看一看第四節
[00:12:37.000 --> 00:12:39.000]  首先第三節他們說
[00:12:39.000 --> 00:12:40.000]  他們彼此商量說
[00:12:40.000 --> 00:12:44.000]  內伯我們要造磚
[00:12:44.000 --> 00:12:46.000]  其實在原文那裏也有一個
[00:12:46.000 --> 00:12:48.000]  我們要為我們造磚
[00:12:48.000 --> 00:12:50.000]  把磚燒透了
[00:12:50.000 --> 00:12:53.000]  他們就將這個磚當石頭
[00:12:53.000 --> 00:12:55.000]  把石漆當灰泥
[00:12:55.000 --> 00:12:57.000]  即是要建屋
[00:12:57.000 --> 00:12:58.000]  怎樣建呢?
[00:12:58.000 --> 00:13:02.000]  原來那時候他們已經熟悉了
[00:13:02.000 --> 00:13:10.000]  怎樣將那些本來是無法往上穩陣建房子的泥
[00:13:10.000 --> 00:13:14.000]  去造成一些比較堅硬的磚
[00:13:14.000 --> 00:13:16.000]  怎樣做呢?
[00:13:16.000 --> 00:13:20.000]  就是將這些泥的物質混合之後
[00:13:20.000 --> 00:13:24.000]  就用猛火燒
[00:13:24.000 --> 00:13:28.000]  燒到這些磚透的時候
[00:13:28.000 --> 00:13:31.000]  這些磚就會變成堅硬
[00:13:31.000 --> 00:13:33.000]  不容易滲水
[00:13:33.000 --> 00:13:37.000]  而且是可以有承托力的磚
[00:13:37.000 --> 00:13:42.000]  最重要就是和大家來看看第四節
[00:13:42.000 --> 00:13:47.000]  他們說內伯我們要建造一座城和一座塔
[00:13:47.000 --> 00:13:53.000]  原文的意思是加多了一些東西
[00:13:53.000 --> 00:13:55.000]  看起來來文
[00:13:55.000 --> 00:13:58.000]  原文我們要建造
[00:13:58.000 --> 00:14:02.000]  原來是少了幾個字中文沒有譯的
[00:14:02.000 --> 00:14:04.000]  是為我們建造
[00:14:04.000 --> 00:14:11.000]  我們要為我們建造一座城和一座塔
[00:14:11.000 --> 00:14:13.000]  塔頂通天
[00:14:13.000 --> 00:14:16.000]  為要傳揚我們的名
[00:14:16.000 --> 00:14:22.000]  傳揚就是為了我們的名得到傳揚
[00:14:22.000 --> 00:14:26.000]  免得我們分散在全地上
[00:14:26.000 --> 00:14:28.000]  大家看得很清楚
[00:14:28.000 --> 00:14:30.000]  在這段聖經當中
[00:14:30.000 --> 00:14:33.000]  他們建城、建塔
[00:14:33.000 --> 00:14:36.000]  最重要的就是要傳揚自己的名
[00:14:36.000 --> 00:14:39.000]  要告訴全世界的人聽
[00:14:39.000 --> 00:14:41.000]  我們是最厲害的
[00:14:41.000 --> 00:14:46.000]  他們也要令他們自己更加出名
[00:14:46.000 --> 00:14:54.000]  還有為的是要將所有的人全部集中在他們的地方
[00:14:54.000 --> 00:14:58.000]  免得我們分散在全地上
[00:14:58.000 --> 00:15:00.000]  有什麼問題呢?
[00:15:00.000 --> 00:15:05.000]  留意我們看一看這些聖經記載的時候
[00:15:05.000 --> 00:15:07.000]  你和我都會想一想
[00:15:07.000 --> 00:15:09.000]  這個多好啊
[00:15:09.000 --> 00:15:10.000]  同心不是好嗎?
[00:15:10.000 --> 00:15:15.000]  同一的言語、同一的種族、同一的人
[00:15:15.000 --> 00:15:19.000]  然後集中在同一個地方
[00:15:19.000 --> 00:15:21.000]  傳揚我們的名
[00:15:21.000 --> 00:15:23.000]  令我們更加出名
[00:15:23.000 --> 00:15:25.000]  有什麼不好呢?
[00:15:25.000 --> 00:15:29.000]  我們留意看一看聖經的時候
[00:15:29.000 --> 00:15:32.000]  聖經辯論他們的口音
[00:15:32.000 --> 00:15:35.000]  令他們建不成巴別塔
[00:15:35.000 --> 00:15:37.000]  是有其原因的
[00:15:37.000 --> 00:15:42.000]  這個原因最主要是什麼呢?
[00:15:42.000 --> 00:15:45.000]  就是神做人的時候
[00:15:45.000 --> 00:15:47.000]  洪水之後
[00:15:47.000 --> 00:15:53.000]  祂對人的心願一而再再而三
[00:15:53.000 --> 00:15:55.000]  都是講清楚
[00:15:55.000 --> 00:15:58.000]  這個講清楚是什麼呢?
[00:15:58.000 --> 00:16:00.000]  創世紀一章28節
[00:16:00.000 --> 00:16:02.000]  我們看到祂做人的時候
[00:16:02.000 --> 00:16:04.000]  神賜福給他們
[00:16:04.000 --> 00:16:08.000]  又對他們說要生養眾多
[00:16:08.000 --> 00:16:10.000]  下一句
[00:16:10.000 --> 00:16:12.000]  天滿地滅
[00:16:12.000 --> 00:16:14.000]  去治理這個地
[00:16:14.000 --> 00:16:16.000]  也要管理海裡的魚、空中的鳥
[00:16:16.000 --> 00:16:19.000]  和地上各樣行動的活物
[00:16:19.000 --> 00:16:23.000]  原來神的心願不是叫他們集中的
[00:16:23.000 --> 00:16:27.000]  是叫他們生養眾多之後
[00:16:27.000 --> 00:16:28.000]  要分散的
[00:16:28.000 --> 00:16:30.000]  要天滿地滅的
[00:16:30.000 --> 00:16:32.000]  要盡用這個世界的資源
[00:16:32.000 --> 00:16:38.000]  也要管理全球各地神賜給人的資源
[00:16:38.000 --> 00:16:43.000]  包括海裡的魚、空中的鳥
[00:16:43.000 --> 00:16:46.000]  和地上各種行動的活物
[00:16:46.000 --> 00:16:49.000]  然後洪水之後
[00:16:49.000 --> 00:16:53.000]  整個世界又重新來過
[00:16:53.000 --> 00:16:57.000]  而神對他們的吩咐沒有改變
[00:16:57.000 --> 00:16:59.000]  仍然都是一樣
[00:16:59.000 --> 00:17:01.000]  九章第一節
[00:17:01.000 --> 00:17:05.000]  神賜福給羅亞洪水之後的事
[00:17:05.000 --> 00:17:09.000]  神賜福給羅亞和他的兒子
[00:17:09.000 --> 00:17:13.000]  對他們說你們要生養眾多
[00:17:13.000 --> 00:17:15.000]  天滿鳥地
[00:17:15.000 --> 00:17:18.000]  全部一息一讓
[00:17:18.000 --> 00:17:20.000]  都是說一樣東西
[00:17:20.000 --> 00:17:21.000]  生養眾多
[00:17:21.000 --> 00:17:23.000]  天滿地滅
[00:17:23.000 --> 00:17:27.000]  這是非常重要的一樣東西
[00:17:27.000 --> 00:17:29.000]  因為這樣的緣故
[00:17:29.000 --> 00:17:33.000]  巴別塔的故事的發展
[00:17:33.000 --> 00:17:38.000]  我們看到第五節到第九節
[00:17:38.000 --> 00:17:39.000]  他這樣說
[00:17:39.000 --> 00:17:46.000]  耶和華江南要看西人所建造的城和塔
[00:17:46.000 --> 00:17:47.000]  耶和華說
[00:17:47.000 --> 00:17:48.000]  看啊
[00:17:48.000 --> 00:17:50.000]  他們成為一樣的人民
[00:17:50.000 --> 00:17:52.000]  都是一樣的言語
[00:17:52.000 --> 00:17:53.000]  這裡說是一樣
[00:17:53.000 --> 00:17:54.000]  一樣
[00:17:54.000 --> 00:17:55.000]  全部是一樣
[00:17:55.000 --> 00:17:58.000]  如今做起事來
[00:17:58.000 --> 00:18:02.000]  他們要做的事就沒有不成就的了
[00:18:02.000 --> 00:18:05.000]  所以神說
[00:18:05.000 --> 00:18:06.000]  我們要去
[00:18:06.000 --> 00:18:11.000]  這個「我們」很明顯說出三位一體的神
[00:18:11.000 --> 00:18:14.000]  聖父、聖子、聖靈
[00:18:14.000 --> 00:18:16.000]  我們也去
[00:18:16.000 --> 00:18:18.000]  在那裡瘪亂他們的口音
[00:18:18.000 --> 00:18:22.000]  使他們的言語彼此不通
[00:18:22.000 --> 00:18:24.000]  神為何會這樣呢?
[00:18:24.000 --> 00:18:26.000]  是不是太小器呢?
[00:18:26.000 --> 00:18:30.000]  為何要瘪亂人家的口音
[00:18:30.000 --> 00:18:33.000]  使人家做不成
[00:18:33.000 --> 00:18:35.000]  要搞砸人家的攤子呢?
[00:18:35.000 --> 00:18:42.000]  原來神要搞砸他們的攤子
[00:18:42.000 --> 00:18:44.000]  使他們建造巴別塔
[00:18:44.000 --> 00:18:46.000]  建造這個城
[00:18:46.000 --> 00:18:48.000]  建不成
[00:18:48.000 --> 00:18:50.000]  最主要的原因
[00:18:50.000 --> 00:18:53.000]  就是如果是這樣的時候
[00:18:53.000 --> 00:19:01.000]  他就完全違背了神造人和洪水之後對人的心願
[00:19:01.000 --> 00:19:03.000]  完全違背了
[00:19:03.000 --> 00:19:06.000]  與神的吩咐相悖而行
[00:19:06.000 --> 00:19:09.000]  這樣有什麼不好呢?
[00:19:09.000 --> 00:19:11.000]  不好的地方
[00:19:11.000 --> 00:19:12.000]  很簡單
[00:19:12.000 --> 00:19:15.000]  各位要留意
[00:19:15.000 --> 00:19:18.000]  如果全球的人集中在一個地方
[00:19:18.000 --> 00:19:22.000]  萬一有地震發生
[00:19:22.000 --> 00:19:25.000]  萬一有瘟疫發生
[00:19:25.000 --> 00:19:28.000]  我們叫做一鍋熟
[00:19:28.000 --> 00:19:33.000]  全部的影響都非常非常大
[00:19:33.000 --> 00:19:36.000]  無一不受影響
[00:19:36.000 --> 00:19:37.000]  第二
[00:19:37.000 --> 00:19:40.000]  如果人同心建造巴別塔
[00:19:40.000 --> 00:19:41.000]  凡事順利
[00:19:41.000 --> 00:19:42.000]  有什麼結果呢?
[00:19:42.000 --> 00:19:44.000]  他們就會有種感覺
[00:19:44.000 --> 00:19:46.000]  漸漸自喜
[00:19:46.000 --> 00:19:49.000]  我們不需要神
[00:19:49.000 --> 00:19:51.000]  是因為這樣的緣故
[00:19:51.000 --> 00:19:53.000]  如果一個人
[00:19:53.000 --> 00:19:55.000]  每一件事都一帆風順
[00:19:55.000 --> 00:19:57.000]  不需要神
[00:19:57.000 --> 00:19:59.000]  帶來的結果是什麼呢?
[00:19:59.000 --> 00:20:03.000]  就是他們能夠享受短暫的今天
[00:20:03.000 --> 00:20:08.000]  但他們會失去永恆的將來
[00:20:08.000 --> 00:20:10.000]  是因為這樣
[00:20:10.000 --> 00:20:12.000]  猶太拉比也指出
[00:20:12.000 --> 00:20:16.000]  每當人要貪圖安逸地住在那裡的時候
[00:20:16.000 --> 00:20:23.000]  帶來的結果往往就是和上帝的恩典脫軌
[00:20:23.000 --> 00:20:25.000]  分開
[00:20:25.000 --> 00:20:30.000]  沒辦法得到神最豐富的恩典
[00:20:30.000 --> 00:20:33.000]  而俄國大文豪托爾斯提
[00:20:33.000 --> 00:20:35.000]  在他有一個小說
[00:20:35.000 --> 00:20:39.000]  《小鬼試探農夫成功之道》
[00:20:39.000 --> 00:20:41.000]  在這個小說裡
[00:20:41.000 --> 00:20:43.000]  他講出
[00:20:43.000 --> 00:20:48.000]  小鬼被大鬼吩咐
[00:20:48.000 --> 00:20:51.000]  有一個農夫買了塊地
[00:20:51.000 --> 00:20:55.000]  這個農夫雄心壯志
[00:20:55.000 --> 00:20:57.000]  他要發達
[00:20:57.000 --> 00:20:59.000]  你就要整到他不發達
[00:20:59.000 --> 00:21:01.000]  最後因為這樣的緣故
[00:21:01.000 --> 00:21:03.000]  小鬼就下去
[00:21:03.000 --> 00:21:06.000]  然後就整到又旱災又密災又密災
[00:21:06.000 --> 00:21:08.000]  很多很多不同的難
[00:21:08.000 --> 00:21:10.000]  誰知道這個農夫
[00:21:10.000 --> 00:21:12.000]  每次災難來的時候
[00:21:12.000 --> 00:21:14.000]  他就更加努力去改善
[00:21:14.000 --> 00:21:17.000]  每一次的災難來又更加努力去改善
[00:21:17.000 --> 00:21:21.000]  來來去去就越整越好
[00:21:21.000 --> 00:21:23.000]  他沒有打低
[00:21:23.000 --> 00:21:25.000]  他反而更加勤奮
[00:21:25.000 --> 00:21:27.000]  做完一天又一天
[00:21:27.000 --> 00:21:29.000]  做完一天又一天
[00:21:29.000 --> 00:21:35.000]  令到他自己本身沒辦法受小鬼的試探影響
[00:21:35.000 --> 00:21:39.000]  這個小鬼就走回鬼王那裡
[00:21:39.000 --> 00:21:41.000]  跟他報告
[00:21:41.000 --> 00:21:42.000]  不行啊
[00:21:42.000 --> 00:21:45.000]  我給他很多苦難
[00:21:45.000 --> 00:21:49.000]  但他逐一逐一就搞定了
[00:21:49.000 --> 00:21:52.000]  更加有力更加厲害
[00:21:52.000 --> 00:21:55.000]  發展得越來越好
[00:21:55.000 --> 00:21:58.000]  最後大鬼就告訴他
[00:21:58.000 --> 00:22:01.000]  小鬼你用錯了策略
[00:22:01.000 --> 00:22:04.000]  小鬼說有什麼錯啊
[00:22:04.000 --> 00:22:06.000]  受苦不好嗎
[00:22:06.000 --> 00:22:08.000]  大鬼就告訴他
[00:22:08.000 --> 00:22:12.000]  受苦的時候人就更加懂得去靠神
[00:22:12.000 --> 00:22:14.000]  所以你不要給他受苦
[00:22:14.000 --> 00:22:16.000]  你要給他發達
[00:22:16.000 --> 00:22:19.000]  最後小鬼聽了之後
[00:22:19.000 --> 00:22:23.000]  就去到這個農夫的地方
[00:22:23.000 --> 00:22:26.000]  令到土地更加肥沃
[00:22:26.000 --> 00:22:29.000]  令到水更加豐富
[00:22:29.000 --> 00:22:32.000]  讓物產蒸蒸日上
[00:22:32.000 --> 00:22:35.000]  結果這個農夫因為這個緣故
[00:22:35.000 --> 00:22:37.000]  發了大達
[00:22:37.000 --> 00:22:40.000]  發了大達之後他就開始養酒
[00:22:40.000 --> 00:22:42.000]  開始做各種美食
[00:22:42.000 --> 00:22:46.000]  然後開始收留美女
[00:22:46.000 --> 00:22:48.000]  美女之後
[00:22:48.000 --> 00:22:52.000]  有些人為他跳舞贈慶
[00:22:52.000 --> 00:22:55.000]  來恭賀他各方面的成就等等
[00:22:55.000 --> 00:22:58.000]  最後他越做越發的時候
[00:22:58.000 --> 00:23:03.000]  後來他的家庭就改變了
[00:23:03.000 --> 00:23:07.000]  太太看見他淫亂放蕩
[00:23:07.000 --> 00:23:12.000]  最後將美女一個個趕走
[00:23:12.000 --> 00:23:15.000]  然後另一方面就將他的農田
[00:23:15.000 --> 00:23:17.000]  各方面的東西毀壞
[00:23:17.000 --> 00:23:19.000]  燒了他
[00:23:19.000 --> 00:23:22.000]  燒了之後拿了那些財就要走
[00:23:22.000 --> 00:23:24.000]  是因為這樣的緣故
[00:23:24.000 --> 00:23:28.000]  這個農夫在喝醉的時候
[00:23:28.000 --> 00:23:32.000]  不知不覺還以為發生了什麼事
[00:23:32.000 --> 00:23:35.000]  就像一隻豬一樣趴在地上
[00:23:35.000 --> 00:23:37.000]  但是沒有人去理他
[00:23:37.000 --> 00:23:40.000]  所有的美女已經離開了他
[00:23:40.000 --> 00:23:41.000]  他太太不理他
[00:23:41.000 --> 00:23:44.000]  他就趴在地上叫
[00:23:44.000 --> 00:23:46.000]  為什麼會這樣
[00:23:46.000 --> 00:23:48.000]  最後他醒來的時候
[00:23:48.000 --> 00:23:52.000]  發覺他已經一無所有
[00:23:52.000 --> 00:23:57.000]  整個農莊在火海裡出現了
[00:23:57.000 --> 00:24:00.000]  這件事也讓我們看見
[00:24:00.000 --> 00:24:06.000]  今天人世間所發生的事都是一樣
[00:24:06.000 --> 00:24:13.000]  人可以共同度過貧窮日子
[00:24:13.000 --> 00:24:17.000]  但是不可以共同享富貴
[00:24:17.000 --> 00:24:19.000]  一有富貴來到的時候
[00:24:19.000 --> 00:24:22.000]  人的私心就會出來
[00:24:22.000 --> 00:24:25.000]  人的爭就會出來
[00:24:25.000 --> 00:24:28.000]  這也讓我們看見
[00:24:28.000 --> 00:24:35.000]  為什麼這麼多人名剩利就之後
[00:24:35.000 --> 00:24:36.000]  目中無神
[00:24:36.000 --> 00:24:37.000]  目中無人
[00:24:37.000 --> 00:24:39.000]  心中無神
