
[00:00:00.000 --> 00:00:05.000]   Hello, brothers and sisters.
[00:02:56.000 --> 00:03:00.000]   Good people speak good words from the good he has spoken.
[00:03:00.000 --> 00:03:04.000]   Evil people speak evil words from the evil he has spoken.
[00:03:04.000 --> 00:03:08.000]   I tell you, all the idle talk that people speak
[00:03:08.000 --> 00:03:12.000]   must be brought to justice on the day of judgment.
[00:03:12.000 --> 00:03:16.000]   Because if it is up to you, you will be just.
[00:03:16.000 --> 00:03:19.000]   But if it is up to you, you will be guilty.
[00:03:19.000 --> 00:03:23.000]   At that time, there were several people from the city of Valley of the Word who said to Jesus,
[00:03:23.000 --> 00:03:28.000]   "Teacher, we want you to show us a miracle so that we can see it."
[00:03:28.000 --> 00:03:30.000]   Jesus answered them,
[00:03:30.000 --> 00:03:34.000]   "The evil generation of man seeks to see the miracle.
[00:03:34.000 --> 00:03:37.000]   Except for the miracle of the prophet Jonah,
[00:03:37.000 --> 00:03:40.000]   there is no miracle that they can see.
[00:03:40.000 --> 00:03:45.000]   Jonah was in the desert for three days and three nights.
[00:03:45.000 --> 00:03:50.000]   Similarly, the Son of Man will be in the earth for three days and three nights.
[00:03:50.000 --> 00:03:56.000]   At the time of judgment, you will be given the sin of the world.
[00:03:56.000 --> 00:04:00.000]   Because you have not heard the prophecy of Jonah,
[00:04:00.000 --> 00:04:02.000]   it will be changed.
[00:04:02.000 --> 00:04:05.000]   See, the greater is the law than Jonah.
[00:04:05.000 --> 00:04:10.000]   At the time of judgment, the queen of the south will rise and set the sin of the world.
[00:04:10.000 --> 00:04:13.000]   Because she came from the earth,
[00:04:13.000 --> 00:04:15.000]   she will hear Solomon's wise words.
[00:04:15.000 --> 00:04:20.000]   See, the greater is the law than Solomon.
[00:04:20.000 --> 00:04:24.000]   Today I want to share this scripture with you.
[00:04:24.000 --> 00:04:26.000]   The last time I talked about the scripture,
[00:04:26.000 --> 00:04:30.000]   I mentioned Jesus Christ's invitation at the end of Matthew.
[00:04:30.000 --> 00:04:33.000]   He said, "Those who bear heavy burdens, come to me.
[00:04:33.000 --> 00:04:35.000]   I will give you rest.
[00:04:35.000 --> 00:04:37.000]   I am gentle and humble in my heart.
[00:04:37.000 --> 00:04:40.000]   You should learn from me.
[00:04:40.000 --> 00:04:43.000]   So that your hearts may be comforted.
[00:04:43.000 --> 00:04:47.000]   For my burden is light, and my burden is light."
[00:04:47.000 --> 00:04:53.000]   In the last lecture, I divided the first one-third of Matthew 12
[00:04:53.000 --> 00:04:55.000]   into three parts.
[00:04:55.000 --> 00:05:00.000]   The main point is that Jesus' disciples were
[00:05:00.000 --> 00:05:05.000]   accused of breaking the Sabbath by the Pharisees.
[00:05:05.000 --> 00:05:09.000]   Jesus quoted David and Zizek to point out
[00:05:09.000 --> 00:05:12.000]   that he is the eternal King of Kings,
[00:05:12.000 --> 00:05:16.000]   and the eternal Great Zizek.
[00:05:16.000 --> 00:05:22.000]   I also explained the focus of the Sabbath.
[00:05:22.000 --> 00:05:28.000]   The first point is that it doesn't matter what we can do or not do.
[00:05:28.000 --> 00:05:32.000]   The most important thing about the Sabbath is that there are two main points.
[00:05:32.000 --> 00:05:39.000]   The first point is that the grace of God allows people to have a rest.
[00:05:39.000 --> 00:05:43.000]   The second point is that when we have a rest,
[00:05:43.000 --> 00:05:48.000]   we can get close to God, know God, worship God,
[00:05:48.000 --> 00:05:51.000]   and reconcile with God.
[00:05:51.000 --> 00:05:53.000]   This is the most important.
[00:05:53.000 --> 00:05:56.000]   The real rest is to reconcile with God.
[00:05:56.000 --> 00:05:59.000]   Because people are separated from God by sin.
[00:05:59.000 --> 00:06:02.000]   Sin makes us unable to go directly to God.
[00:06:02.000 --> 00:06:08.000]   To truly rest, Jesus Christ as a Great Zizek,
[00:06:08.000 --> 00:06:11.000]   and as a God who has no sin,
[00:06:11.000 --> 00:06:14.000]   to atone for sin and solve the problem of sin.
[00:06:14.000 --> 00:06:19.000]   So Jesus Christ used his own
[00:06:19.000 --> 00:06:23.000]   cross to shed blood for us,
[00:06:23.000 --> 00:06:26.000]   to bring us into the real rest,
[00:06:26.000 --> 00:06:29.000]   which is to reconcile with God.
[00:06:29.000 --> 00:06:34.000]   Also in the second chapter of the Bible,
[00:06:34.000 --> 00:06:40.000]   in chapters 9-14, Jesus healed a man whose hand was dried.
[00:06:40.000 --> 00:06:47.000]   The Pharisees did not doubt the ability of Jesus to perform miracles.
[00:06:47.000 --> 00:06:51.000]   But they knew that Jesus Christ could perform miracles,
[00:06:51.000 --> 00:06:53.000]   but they did not respect him.
[00:06:53.000 --> 00:06:59.000]   Instead, they hoped that Jesus would heal the man on the Sabbath,
[00:06:59.000 --> 00:07:02.000]   as a weapon to accuse him,
[00:07:02.000 --> 00:07:06.000]   and even to kill him.
[00:07:06.000 --> 00:07:10.000]   The author of Matthew 1, Sittu Matthew,
[00:07:10.000 --> 00:07:14.000]   quoted Isaiah 42,
[00:07:14.000 --> 00:07:19.000]   which says that Jesus Christ is the Lord chosen by God.
[00:07:19.000 --> 00:07:21.000]   He came to suffer,
[00:07:21.000 --> 00:07:26.000]   to heal and help many in need.
[00:07:26.000 --> 00:07:30.000]   At the same time, he also brought this good news to the outside world.
[00:07:30.000 --> 00:07:35.000]   This is what happened in the prophecy of Isaiah.
[00:07:35.000 --> 00:07:41.000]   Sittu Matthew pointed out that Jesus Christ is the Lord chosen by God.
[00:07:41.000 --> 00:07:44.000]   He is the Savior, Isaiah.
[00:07:44.000 --> 00:07:47.000]   Today we will continue this passage,
[00:07:47.000 --> 00:07:51.000]   Matthew 22.
[00:07:51.000 --> 00:07:55.000]   If you look at the three chapters in the middle,
[00:07:55.000 --> 00:07:58.000]   I will divide them into three parts to explain.
[00:07:58.000 --> 00:08:04.000]   The first part is about the Pharisees slandering Jesus
[00:08:04.000 --> 00:08:08.000]   by using the king and the disciples to drive out the devil.
[00:08:08.000 --> 00:08:12.000]   The second part is about the example of the tree and the fruit.
[00:08:12.000 --> 00:08:18.000]   The third part is about the Pharisees asking Jesus to perform a miracle again.
[00:08:18.000 --> 00:08:22.000]   I want to emphasize that the miracle I want to talk about today
[00:08:22.000 --> 00:08:25.000]   is a miracle that can be seen with the naked eye.
[00:08:25.000 --> 00:08:27.000]   For example, Jesus healed the man and drove the devil away.
[00:08:27.000 --> 00:08:29.000]   These are visible to the naked eye.
[00:08:29.000 --> 00:08:33.000]   All that God does can be regarded as a miracle.
[00:08:33.000 --> 00:08:36.000]   For example, the change of a man's mind and thoughts
[00:08:36.000 --> 00:08:39.000]   from sin to righteousness is also a miracle.
[00:08:39.000 --> 00:08:42.000]   But the change of the inner heart cannot be seen.
[00:08:42.000 --> 00:08:48.000]   So the miracle I want to emphasize today is a miracle that can be seen with the naked eye.
[00:08:48.000 --> 00:08:50.000]   For example, the miracle of turning water into wine,
[00:08:50.000 --> 00:08:55.000]   healing the sick and driving away the devil, etc.
[00:08:55.000 --> 00:08:58.000]   So I want everyone to understand.
[00:08:58.000 --> 00:09:00.000]   First, let's look at the first passage of the Bible.
[00:09:00.000 --> 00:09:02.000]   This passage is very special.
[00:09:02.000 --> 00:09:04.000]   It is a very concise passage.
[00:09:04.000 --> 00:09:13.000]   At that time, someone brought a blind and mute man to Jesus.
[00:09:13.000 --> 00:09:15.000]   Jesus healed him.
[00:09:15.000 --> 00:09:18.000]   The father could speak and see.
[00:09:18.000 --> 00:09:21.000]   There are three things in this passage.
[00:09:21.000 --> 00:09:25.000]   First, this man was blind and mute.
[00:09:25.000 --> 00:09:29.000]   Jesus healed him, that is, drove the devil away.
[00:09:29.000 --> 00:09:36.000]   This blind and mute man could speak and see.
[00:09:36.000 --> 00:09:45.000]   When this happened, no one doubted that Jesus could perform a miracle and heal the sick and drive away the devil.
[00:09:45.000 --> 00:09:51.000]   When everyone noticed, there were two reactions.
[00:09:51.000 --> 00:09:54.000]   The 23rd chapter says, "Everyone was surprised.
[00:09:54.000 --> 00:09:57.000]   "Isn't this David's son?"
[00:09:57.000 --> 00:10:04.000]   So the first group of people who saw this miracle pointed to this man.
[00:10:04.000 --> 00:10:08.000]   Could it be the Savior, Lezariah?
[00:10:08.000 --> 00:10:12.000]   Because in the Old Testament, when it comes to David's son,
[00:10:12.000 --> 00:10:17.000]   it often refers to the future Savior in the Old Testament.
[00:10:17.000 --> 00:10:20.000]   Lezariah means Savior.
[00:10:20.000 --> 00:10:22.000]   David's son.
[00:10:22.000 --> 00:10:28.000]   Because the Old Testament says that the Savior of Israel is David's son.
[00:10:28.000 --> 00:10:34.000]   So David's son represents the Savior of Israel in the future.
[00:10:34.000 --> 00:10:41.000]   At the same time, another group of people, the Pharisees, saw this.
[00:10:41.000 --> 00:10:43.000]   They said, "This man drove the devil away.
[00:10:43.000 --> 00:10:47.000]   "Is it the devil, the king, the shepherd?"
[00:10:47.000 --> 00:10:53.000]   So today we want to see what evidence there is in the two names David's son and the Pharisees.
[00:10:53.000 --> 00:10:58.000]   So that these people have two different ideas.
[00:10:58.000 --> 00:11:01.000]   So the same thing happened, this miracle happened.
[00:11:01.000 --> 00:11:07.000]   No one doubted that it would be meaningful to Jesus to perform a miracle.
[00:11:07.000 --> 00:11:11.000]   The difference is pointing to which two people.
[00:11:11.000 --> 00:11:14.000]   One is pointing to Lezariah, the Savior.
[00:11:14.000 --> 00:11:16.000]   The other is the king of the devil.
[00:11:16.000 --> 00:11:22.000]   First, we have to look at David's son.
[00:11:22.000 --> 00:11:28.000]   Because in the Old Testament, there are several obvious things that will happen.
[00:11:28.000 --> 00:11:32.000]   First, the deaf will hear the words of the book.
[00:11:32.000 --> 00:11:35.000]   The blind can see.
[00:11:35.000 --> 00:11:39.000]   The poor will rejoice because of the Lord's Word.
[00:11:39.000 --> 00:11:44.000]   And the poor will be happy because of the victory of Israel.
[00:11:44.000 --> 00:11:46.000]   I want you to pay attention to this.
[00:11:46.000 --> 00:11:49.000]   When Isaiah mentioned Lezariah,
[00:11:49.000 --> 00:11:51.000]   it was to cure the sick.
[00:11:51.000 --> 00:11:53.000]   But there is a purpose.
[00:11:53.000 --> 00:11:57.000]   Because the deaf can hear is a method.
[00:11:57.000 --> 00:11:59.000]   It's not over yet.
[00:11:59.000 --> 00:12:02.000]   The real purpose is that the Savior came
[00:12:02.000 --> 00:12:06.000]   to let the deaf hear the words of the book,
[00:12:06.000 --> 00:12:07.000]   which is the Word of God.
[00:12:07.000 --> 00:12:10.000]   The blind can see.
[00:12:10.000 --> 00:12:11.000]   Who can see?
[00:12:11.000 --> 00:12:12.000]   God.
[00:12:12.000 --> 00:12:15.000]   So when Lezariah came,
[00:12:15.000 --> 00:12:16.000]   the Savior came,
[00:12:16.000 --> 00:12:18.000]   he was a miracle worker.
[00:12:18.000 --> 00:12:21.000]   But this miracle worker is not the purpose.
[00:12:21.000 --> 00:12:26.000]   This miracle worker took away the deaf who knew God.
[00:12:26.000 --> 00:12:29.000]   He wanted them to have a chance to hear God's voice,
[00:12:29.000 --> 00:12:31.000]   to know God.
[00:12:31.000 --> 00:12:35.000]   So the miracle worker itself is not the purpose.
[00:12:35.000 --> 00:12:39.000]   It's a method, a means to make people who are disabled,
[00:12:39.000 --> 00:12:42.000]   who have broken bones,
[00:12:42.000 --> 00:12:44.000]   can hear God's voice,
[00:12:44.000 --> 00:12:46.000]   can know God.
[00:12:46.000 --> 00:12:49.000]   So Isaiah mentioned
[00:12:49.000 --> 00:12:53.000]   the blind, deaf, blind, deaf,
[00:12:53.000 --> 00:12:55.000]   and mute can be healed.
[00:12:55.000 --> 00:12:57.000]   So the Bible just mentioned
[00:12:57.000 --> 00:13:00.000]   the blind can see, the mute can speak.
[00:13:00.000 --> 00:13:05.000]   So it is very concentrated to put these points
[00:13:05.000 --> 00:13:08.000]   to the people at that time.
[00:13:08.000 --> 00:13:10.000]   When they think of the Old and New Testament,
[00:13:10.000 --> 00:13:12.000]   they see Jesus doing this miracle,
[00:13:12.000 --> 00:13:15.000]   healing a blind man, a deaf man.
[00:13:15.000 --> 00:13:19.000]   Even he saw in Isaiah,
[00:13:19.000 --> 00:13:21.000]   the old man was set free,
[00:13:21.000 --> 00:13:22.000]   the blind was set free,
[00:13:22.000 --> 00:13:28.000]   a man tied up by a curse was set free.
[00:13:28.000 --> 00:13:32.000]   So Jesus Christ was set free for him.
[00:13:32.000 --> 00:13:34.000]   So when these three things come to mind,
[00:13:34.000 --> 00:13:36.000]   they immediately think of the things
[00:13:36.000 --> 00:13:38.000]   mentioned in the Old Testament,
[00:13:38.000 --> 00:13:42.000]   the things that will happen in the language of Isaiah.
[00:13:42.000 --> 00:13:46.000]   So their inferences are consistent.
[00:13:46.000 --> 00:13:50.000]   So in addition to knowing this Savior,
[00:13:50.000 --> 00:13:52.000]   they use the word "David" to describe.
[00:13:52.000 --> 00:13:54.000]   Because the Bible also mentions
[00:13:54.000 --> 00:13:57.000]   the Savior is David's descendant.
[00:13:57.000 --> 00:14:00.000]   In Samuel 2,
[00:14:00.000 --> 00:14:03.000]   Samuel tells David,
[00:14:03.000 --> 00:14:07.000]   "When your harvest is satisfied,
[00:14:07.000 --> 00:14:09.000]   you will be born again."
[00:14:09.000 --> 00:14:11.000]   That is, after David dies,
[00:14:11.000 --> 00:14:15.000]   there will be a descendant behind you
[00:14:15.000 --> 00:14:17.000]   to contact you.
[00:14:17.000 --> 00:14:20.000]   "This man will build a temple for me,
[00:14:20.000 --> 00:14:23.000]   and I will firmly establish his kingdom
[00:14:23.000 --> 00:14:25.000]   until forever."
[00:14:25.000 --> 00:14:31.000]   It is obvious that David's descendant
[00:14:31.000 --> 00:14:34.000]   who built the temple for him
[00:14:34.000 --> 00:14:37.000]   is not Solomon.
[00:14:37.000 --> 00:14:39.000]   Although King Solomon
[00:14:39.000 --> 00:14:41.000]   took David as king
[00:14:41.000 --> 00:14:43.000]   to build the temple for him,
[00:14:43.000 --> 00:14:47.000]   Solomon's kingdom is not eternal.
[00:14:47.000 --> 00:14:50.000]   So the kingdom is eternal.
[00:14:50.000 --> 00:14:51.000]   So it is not Solomon,
[00:14:51.000 --> 00:14:54.000]   but the future Savior,
[00:14:54.000 --> 00:14:56.000]   David's descendant.
[00:14:56.000 --> 00:14:59.000]   In Exodus 11,
[00:14:59.000 --> 00:15:01.000]   it is mentioned that
[00:15:01.000 --> 00:15:09.000]   this descendant is Isaiah's descendant.
[00:15:09.000 --> 00:15:11.000]   Isaiah is David's father.
[00:15:11.000 --> 00:15:13.000]   It is especially emphasized that
[00:15:13.000 --> 00:15:15.000]   this Savior has the spirit of Jehovah
[00:15:15.000 --> 00:15:17.000]   bound on him.
[00:15:17.000 --> 00:15:19.000]   This spirit is intelligent,
[00:15:19.000 --> 00:15:21.000]   resourceful, and capable.
[00:15:21.000 --> 00:15:23.000]   It is the spirit of Jehovah.
[00:15:23.000 --> 00:15:25.000]   In Jeremiah,
[00:15:25.000 --> 00:15:27.000]   it is especially mentioned
[00:15:27.000 --> 00:15:29.000]   that this Savior
[00:15:29.000 --> 00:15:33.000]   will build a temple for David.
[00:15:33.000 --> 00:15:35.000]   He must have the power of king.
[00:15:35.000 --> 00:15:37.000]   He is intelligent,
[00:15:37.000 --> 00:15:39.000]   and does justice on earth.
[00:15:39.000 --> 00:15:41.000]   This is the truth.
[00:15:41.000 --> 00:15:43.000]   It is especially mentioned that
[00:15:43.000 --> 00:15:45.000]   this Savior's name
[00:15:45.000 --> 00:15:47.000]   will be called Jehovah,
[00:15:47.000 --> 00:15:49.000]   our second.
[00:15:49.000 --> 00:15:51.000]   If we look at the Old Testament,
[00:15:51.000 --> 00:15:53.000]   we may not be able to explain
[00:15:53.000 --> 00:15:56.000]   what "our second" means.
[00:15:56.000 --> 00:16:00.000]   But if we explain it from the New Testament,
[00:16:00.000 --> 00:16:02.000]   we will understand much more.
[00:16:02.000 --> 00:16:04.000]   Why do we need to look at Paul's explanation?
[00:16:04.000 --> 00:16:08.000]   Because before Paul saw the resurrection of Christ,
[00:16:08.000 --> 00:16:13.000]   he was a Christian who persecuted the Christians.
[00:16:13.000 --> 00:16:16.000]   So he understood the thoughts of the Pharisees.
[00:16:16.000 --> 00:16:18.000]   He understood the thoughts of the Pharisees
[00:16:18.000 --> 00:16:19.000]   when they were saving the world.
[00:16:19.000 --> 00:16:21.000]   But when God came to him,
[00:16:21.000 --> 00:16:24.000]   he explained the Bible of salvation for us.
[00:16:24.000 --> 00:16:26.000]   What does this "second" mean?
[00:16:26.000 --> 00:16:32.000]   If we look at the Roman book of Paul,
[00:16:32.000 --> 00:16:35.000]   when he compared Adam and Christ,
[00:16:35.000 --> 00:16:40.000]   he explained this in great detail.
[00:16:40.000 --> 00:16:42.000]   He said,
[00:16:42.000 --> 00:16:45.000]   "Just as sin comes from a man into the world,
[00:16:45.000 --> 00:16:47.000]   death comes from sin."
[00:16:47.000 --> 00:16:50.000]   This sin will lead to death.
[00:16:50.000 --> 00:16:52.000]   This man is Adam.
[00:16:52.000 --> 00:16:54.000]   Then he said,
[00:16:54.000 --> 00:16:59.000]   Adam is the image of the man who will come in the future.
[00:16:59.000 --> 00:17:02.000]   The man who will come in the future is Christ.
[00:17:02.000 --> 00:17:05.000]   The Bible says that he is the second Adam.
[00:17:05.000 --> 00:17:08.000]   The first Adam committed a crime once,
[00:17:08.000 --> 00:17:09.000]   and everyone was convicted.
[00:17:09.000 --> 00:17:13.000]   Just as Christ, the second Adam,
[00:17:13.000 --> 00:17:15.000]   committed a crime once,
[00:17:15.000 --> 00:17:19.000]   and everyone was cleared and was saved.
[00:17:19.000 --> 00:17:25.000]   The first Adam committed a crime once,
[00:17:25.000 --> 00:17:29.000]   and the whole world was convicted.
[00:17:29.000 --> 00:17:31.000]   The devil is the authority in the air.
[00:17:31.000 --> 00:17:33.000]   The world is controlled by the devil.
[00:17:33.000 --> 00:17:35.000]   But when Christ came,
[00:17:35.000 --> 00:17:40.000]   he called those who were willing to accept Christ
[00:17:40.000 --> 00:17:42.000]   to be cleared and be saved.
[00:17:42.000 --> 00:17:45.000]   So he mentioned in verse 21,
[00:17:45.000 --> 00:17:48.000]   "Just as sin comes from a man into the world,
[00:17:48.000 --> 00:17:49.000]   death comes from sin."
[00:17:49.000 --> 00:17:52.000]   Just as the second Adam is in charge of the second Adam,
[00:17:52.000 --> 00:17:54.000]   who is this second Adam?
[00:17:54.000 --> 00:17:56.000]   It is Jesus Christ.
[00:17:56.000 --> 00:17:59.000]   So this second Adam is mentioned in the Old Testament.
[00:17:59.000 --> 00:18:02.000]   The second Adam is the son of David,
[00:18:02.000 --> 00:18:03.000]   the son of David,
[00:18:03.000 --> 00:18:05.000]   the son of David,
[00:18:05.000 --> 00:18:07.000]   Jesus Christ.
[00:18:07.000 --> 00:18:13.000]   So we see that the people at that time
[00:18:13.000 --> 00:18:18.000]   saw Jesus speaking in a blind,
[00:18:18.000 --> 00:18:22.000]   open-eyed, and mute way,
[00:18:22.000 --> 00:18:25.000]   and thought that this is the son of David.
[00:18:25.000 --> 00:18:28.000]   It is very normal, there is a basis.
[00:18:28.000 --> 00:18:30.000]   But the second Adam,
[00:18:30.000 --> 00:18:31.000]   the Pharisees said that
[00:18:31.000 --> 00:18:34.000]   Jesus Christ relied on the ability of the disciples.
[00:18:34.000 --> 00:18:36.000]   Who are the disciples?
[00:18:36.000 --> 00:18:41.000]   The disciples are the Jews who laughed at the devil's name.
[00:18:41.000 --> 00:18:45.000]   The meaning of disciples is the people of the eagles.
[00:18:45.000 --> 00:18:48.000]   They thought that a large group of eagles
[00:18:48.000 --> 00:18:50.000]   would stick to the disciples.
[00:18:50.000 --> 00:18:52.000]   The disciples are the people of the eagles.
[00:18:52.000 --> 00:18:56.000]   It is a very defiant and insulting name.
[00:18:56.000 --> 00:18:59.000]   But I read the whole Old Testament,
[00:18:59.000 --> 00:19:00.000]   I tried to find it,
[00:19:00.000 --> 00:19:03.000]   there is no passage in the Bible that mentions
[00:19:03.000 --> 00:19:06.000]   that it can be driven by the power of the devil.
[00:19:06.000 --> 00:19:08.000]   The whole teaching of the Old Testament
[00:19:08.000 --> 00:19:11.000]   mentions that it can be driven by the power of God.
[00:19:11.000 --> 00:19:13.000]   And the teachers of Judaism
[00:19:13.000 --> 00:19:15.000]   also use the power of God to drive the devil.
[00:19:15.000 --> 00:19:17.000]   So there is no record that
[00:19:17.000 --> 00:19:19.000]   it can be driven by the power of the devil.
[00:19:19.000 --> 00:19:21.000]   So when I was translating this scripture,
[00:19:21.000 --> 00:19:22.000]   I only know this part,
[00:19:22.000 --> 00:19:24.000]   that is, the almost baseless accusation
[00:19:24.000 --> 00:19:26.000]   is to slander Jesus.
[00:19:26.000 --> 00:19:27.000]   So the Pharisees,
[00:19:27.000 --> 00:19:31.000]   although they knew that they could see Jesus
[00:19:31.000 --> 00:19:35.000]   was able to drive the devil and heal the sick,
[00:19:35.000 --> 00:19:39.000]   they slandered Jesus
[00:19:39.000 --> 00:19:44.000]   and said that he was driven by the devil to heal the sick.
[00:19:44.000 --> 00:19:51.000]   After hearing this, Jesus used two answers
[00:19:51.000 --> 00:19:55.000]   to prove that what they said was not reasonable.
[00:19:55.000 --> 00:19:58.000]   The first answer was that
[00:19:58.000 --> 00:20:01.000]   if each person disputes with each other,
[00:20:01.000 --> 00:20:04.000]   he cannot be satisfied.
[00:20:04.000 --> 00:20:06.000]   The second answer was that
[00:20:06.000 --> 00:20:09.000]   if Jesus Christ relied on the devil to drive the devil,
[00:20:09.000 --> 00:20:14.000]   then who did the teachers of Judaism rely on to drive the devil?
[00:20:14.000 --> 00:20:16.000]   Because in Judaism,
[00:20:16.000 --> 00:20:19.000]   they also use the power of God to drive the devil.
[00:20:19.000 --> 00:20:22.000]   So these people will judge the Pharisees
[00:20:22.000 --> 00:20:24.000]   to slander Jesus.
[00:20:24.000 --> 00:20:28.000]   These two answers are actually very clear.
[00:20:28.000 --> 00:20:32.000]   But I want everyone to pay attention to the first sentence.
[00:20:32.000 --> 00:20:36.000]   Jesus knows their thoughts.
[00:20:36.000 --> 00:20:38.000]   This sentence is actually very important to us.
[00:20:38.000 --> 00:20:42.000]   So I don't want to explain it in the following sentence.
[00:20:42.000 --> 00:20:44.000]   Because I want to explain this sentence first.
[00:20:44.000 --> 00:20:46.000]   Jesus knows their thoughts.
[00:20:46.000 --> 00:20:48.000]   It is mentioned many times in the Bible.
[00:20:48.000 --> 00:20:52.000]   For example, Jesus mentioned in John 2
[00:20:52.000 --> 00:20:54.000]   that Jesus did a lot of miracles at that time.
[00:20:54.000 --> 00:20:58.000]   Many people believed in his miracles.
[00:20:58.000 --> 00:21:03.000]   But the Bible says that Jesus did not give himself to them
[00:21:03.000 --> 00:21:05.000]   because Jesus knew their hearts.
[00:21:05.000 --> 00:21:09.000]   If Jesus knew their thoughts,
[00:21:09.000 --> 00:21:14.000]   today Jesus Christ also knows your and my thoughts.
[00:21:14.000 --> 00:21:16.000]   What is special about this?
[00:21:16.000 --> 00:21:19.000]   This sentence reminds us
[00:21:19.000 --> 00:21:24.000]   not to stupidly think that God does not know what we think.
[00:21:24.000 --> 00:21:28.000]   Many times we know that God is everywhere.
[00:21:28.000 --> 00:21:32.000]   God's light shines into our inner heart.
[00:21:32.000 --> 00:21:35.000]   God's words tell us
[00:21:35.000 --> 00:21:39.000]   what is right, what is wrong, what is good, what is evil.
[00:21:39.000 --> 00:21:43.000]   But if we spend a lot of time
[00:21:43.000 --> 00:21:46.000]   hiding in a dark corner,
[00:21:46.000 --> 00:21:49.000]   in the final abyss, thinking that God does not know,
[00:21:49.000 --> 00:21:51.000]   we are like a fool.
[00:21:51.000 --> 00:21:55.000]   This is a great crisis and a great stupidity.
[00:21:55.000 --> 00:21:58.000]   So this sentence reminds us
[00:21:58.000 --> 00:22:01.000]   that Jesus Christ sees our inner heart.
[00:22:01.000 --> 00:22:05.000]   God knows our inner heart at any time.
[00:22:05.000 --> 00:22:08.000]   So we should not deceive ourselves
[00:22:08.000 --> 00:22:12.000]   to pretend to be blind, to pretend to be deaf, to pretend to be mute,
[00:22:12.000 --> 00:22:15.000]   to hide in a dark world.
[00:22:15.000 --> 00:22:21.000]   If we do not want God to be with us,
[00:22:21.000 --> 00:22:25.000]   no matter what we see,
[00:22:25.000 --> 00:22:28.000]   no matter what we think,
[00:22:28.000 --> 00:22:30.000]   it is not good.
[00:22:30.000 --> 00:22:32.000]   We must leave it immediately.
[00:22:32.000 --> 00:22:36.000]   We must try to worship our God every moment,
[00:22:36.000 --> 00:22:38.000]   to do His good deeds.
[00:22:38.000 --> 00:22:42.000]   If we do not want God to be with us,
[00:22:42.000 --> 00:22:45.000]   we must avoid it immediately.
[00:22:45.000 --> 00:22:48.000]   So I hope you will pay attention to this sentence.
