
[00:00:00.000 --> 00:00:12.880]  好 從今天開始我們會大約用一年至一年半的時間去看路加福音
[00:05:44.640 --> 00:05:50.480]  不過讓我們先環顧一下今天教會的信徒的信仰狀態
[00:05:50.480 --> 00:05:58.080]  其實今天很多的信徒即使他稱之為基督徒也好 其實他的信是很兒戲的
[00:05:58.080 --> 00:06:09.360]  在現今直至到昨天為止 在這個世界號稱自稱或者被稱為基督徒的人大約有24億
[00:06:09.360 --> 00:06:17.760]  你說原來有這麼多人已經叫做基督徒 那不就很厲害了
[00:06:17.760 --> 00:06:26.800]  聖經所說的將福音傳遍大地 這個地上總共人口有多少?大家知不知道?
[00:06:26.800 --> 00:06:34.800]  大約有81億左右 如果我沒有記錯的話 我上兩個月看的時候經常看這個世界
[00:06:34.800 --> 00:06:39.440]  究竟死的人多些還是出生的人多些?
[00:06:39.440 --> 00:06:56.160]  如果按照這個數字來計算 其實已經接近四分一或者五分二左右的這個數量的人已經叫做基督徒了
[00:06:56.160 --> 00:07:09.680]  我相信在這個互聯網世界沒有什麼人沒有聽過基督教 或者不知道基督的教導是想說些什麼
[00:07:09.680 --> 00:07:18.960]  但是在24億的基督徒裡面 其實只要我們去留心看一下 甚至苦心自問
[00:07:18.960 --> 00:07:26.240]  有的時候我們的信其實都很兒戲的 有些什麼例子是很兒戲的呢?
[00:07:26.240 --> 00:07:32.800]  很多人信主有很多理由的 但這些理由都不是聖經裡面所說的基礎
[00:07:32.800 --> 00:07:39.280]  譬如我認識的一個朋友 我跟他說你為什麼突然間有一天他就說我信了主了
[00:07:39.280 --> 00:07:50.640]  我問他什麼時候信主?為什麼信主?他說我有一晚好像被鬼壓 所以我就信主了
[00:07:50.640 --> 00:07:56.560]  信了主就可以用耶穌的能力去命令這些壓我的鬼讓他走
[00:07:56.560 --> 00:08:04.480]  我心想被鬼壓其實是你自己心理作用的 是不是?你都沒有真正見過鬼 是不是?
[00:08:04.480 --> 00:08:09.760]  見過你才知道是什麼一回事 但是因為我見過嘛
[00:08:09.760 --> 00:08:24.320]  所以大家看到很多時候有些人為了心安理得 或者身體有些毛病就覺得我被鬼壓了
[00:08:24.320 --> 00:08:30.960]  我心想如果這樣說 我現在腳突然很痛 我是不是被鬼壓了?
[00:08:30.960 --> 00:08:40.960]  很多人很兒戲的 覺得信主好像有道護身符頂著先 不要有事
[00:08:40.960 --> 00:08:48.240]  耶穌這麼強這麼勁我就可以依靠他來趕鬼 聖經裡面有很多的
[00:08:48.240 --> 00:08:55.120]  所以很多人看福音書就很喜歡看趕鬼的例子或者趕鬼的見段
[00:08:55.120 --> 00:09:06.480]  有些人信主就叫林吉抱耶穌腳 有沒有聽過?林吉抱佛腳 我聽過林吉抱耶穌腳都有的
[00:09:06.480 --> 00:09:15.440]  有些人譬如我以前認識一些朋友 一到考試開會之前他就會和我說
[00:09:15.440 --> 00:09:23.440]  請你多多為我禱告 我都在禱告的了 黃牧師你有力一點 你幫我禱告我有什麼事
[00:09:23.440 --> 00:09:32.400]  因為我一會兒會去面試 見一份工作 你知道那份工作很高薪的 很尊貴的
[00:09:32.400 --> 00:09:39.920]  我怕有什麼閃失 我失去了 我心想這些是很自私的想法
[00:09:39.920 --> 00:09:49.840]  有些人就誠懇一點的 當我遇見有什麼危機的時候 譬如打風下雨的時候
[00:09:49.840 --> 00:09:59.040]  水浸 我的房子被沖毀的時候 我見到有個小朋友在房子裡快要被淹了
[00:09:59.040 --> 00:10:07.440]  我奮勇跳下去救他 祈禱啦 祈禱耶穌保護著我 那我就可以去拯救這個小朋友
[00:10:07.440 --> 00:10:16.320]  這種叫林吉抱耶穌腳的信徒 也有一些叫買保險信徒 有沒有聽過?
[00:10:16.320 --> 00:10:26.560]  信耶穌就是買多一份保險一樣 如果信佛的不行的 到時候也有多個耶穌頂著頂著
[00:10:26.560 --> 00:10:35.440]  所以有些信徒就覺得信耶穌就是買多一層保險 不過最壞的就是有些牧師都是這樣
[00:10:35.440 --> 00:10:44.560]  先信著啦 信了肯定你在天國裡面有入場券 其實這些思想源自於天主教
[00:10:44.560 --> 00:10:53.280]  很多牧師都喜歡用這些天主教中聽的說話來吸引人回教會
[00:10:53.280 --> 00:11:01.840]  但是種種很多不同類型的信主都好 其實都反映出很多人的信很兒戲
[00:11:01.840 --> 00:11:10.320]  甚至就是因為這麼兒戲 所以當事情還沒發生 或者還沒到那個地步的時候
[00:11:10.320 --> 00:11:17.760]  他們的所謂信其實都是很求求其奇的
[00:11:17.760 --> 00:11:27.120]  我曾經認識過一個朋友 他見到他父母進了醫院 危在旦夕的時候
[00:11:27.120 --> 00:11:34.160]  他就說 哎呀主啊我現在信你啦 快點救我的家人啦 或者他的太太 或者他的丈夫
[00:11:34.160 --> 00:11:44.160]  快死啦 我想你保守我和保守他啦 甚至將來天家裡面我有份一起見一下面啦
[00:11:44.160 --> 00:11:52.320]  這些種種的想法其實都反映出很多的信徒 其實是不是真的信主呢
[00:11:52.320 --> 00:12:02.480]  還是只是當信耶穌 或者當上帝只不過是一個可以利用的媒介呢
[00:12:02.480 --> 00:12:10.880]  但是當我們去看福音書裡面的作者 特別是我們開始看的路加福音
[00:12:10.880 --> 00:12:19.120]  原來信主卻不是好像我們今天很多剛剛我所說的信徒的理由
[00:12:19.120 --> 00:12:24.880]  而去相信主 相反在路加福音裡面給我們看見
[00:12:24.880 --> 00:12:37.200]  很多人信主其實是希望能夠去驚艷 認證這位神所說的話是真實
[00:12:37.200 --> 00:12:42.720]  而將那份信心擺上去在這位神的上面 所以簡單地來說
[00:12:42.720 --> 00:12:54.000]  他們的信是透過驗證上帝的說話的真實 來成為他們信主的基礎
[00:12:54.000 --> 00:13:03.760]  有時神跡對於他們來講根本不是他們信主的原因
[00:13:03.760 --> 00:13:10.880]  反而有時神跡只不過是讓他們看見上帝是指向一個
[00:13:10.880 --> 00:13:18.720]  上帝的屬性告訴我們知道 就是上帝的可賴性
[00:13:18.720 --> 00:13:22.880]  不是因為上帝做了一個神跡在我身上而信
[00:13:22.880 --> 00:13:27.360]  而是因為上帝做了一個神跡讓我們認識這位上帝
[00:13:27.360 --> 00:13:35.920]  又多一點他是一個可以信賴的神 因此你對他的信就與日俱增
[00:13:35.920 --> 00:13:42.720]  其實這種觀念不難理解的 當我們去認識一個人的時候
[00:13:42.720 --> 00:13:46.560]  其實我們對一個人的信任是一樣的
[00:13:46.560 --> 00:13:56.240]  譬如夫婦關係 生意拍檔的關係 或者甚至泛泛之交的一個朋友的關係
[00:13:56.240 --> 00:14:04.160]  你是隨著時日去不斷藉著事件 或者他的說話及他所做的行為
[00:14:04.160 --> 00:14:10.400]  來對這個人的可信程度的增減
[00:14:10.400 --> 00:14:19.280]  而盧家福音的作者其實寫盧家福音的時候就正是要表現出這個重點
[00:14:19.280 --> 00:14:30.240]  他的信是要經過多番在耶穌基督的真理的啟示以及驗證之後被鞏固起來
[00:14:30.240 --> 00:14:37.760]  而這個就是整卷盧家福音所寫的基礎
[00:14:37.760 --> 00:14:44.480]  換言之盧家福音裡面所寫的每一樣的內容
[00:14:44.480 --> 00:14:57.840]  其實就是要讓你和我去透過盧家這位作者的眼睛以及他的生命的經歷
[00:14:57.840 --> 00:15:05.760]  來去印證上帝是值得我越來越相信的
[00:15:05.760 --> 00:15:17.360]  所以這段聖經告訴我們 信主其實不是一個突然之間的改變
[00:15:17.360 --> 00:15:27.040]  信是一個循序漸進 用時日來浸淫出來的關係
[00:15:27.040 --> 00:15:34.400]  所以這段聖經今天所說的題目 雖然我叫信主不可以求求其奇
[00:15:34.400 --> 00:15:42.080]  但是英文的題目我給他叫做No Shortcut in Faith
[00:15:42.080 --> 00:15:51.280]  信主從來是沒有一條捷徑的 是用時間和上帝浸淫出來的
[00:15:51.280 --> 00:15:57.520]  那我們就一起去看看這段聖經的最開頭
[00:15:57.520 --> 00:16:03.120]  怎樣將作者寫盧家福音的目的告訴我們
[00:16:03.120 --> 00:16:09.840]  請大家一起打開盧家福音第一章 我們會一起讀一下第一至第四節
[00:16:09.840 --> 00:16:16.160]  你相信會很熟悉這段經文的 如果你已經在教會多年
[00:16:16.160 --> 00:16:24.880]  不過當我們再讀的時候 我就會告訴你一些你雖然認識了很多年的經文
[00:16:24.880 --> 00:16:31.280]  可能給一個很詫異的學習給你 你從來沒有想過
[00:16:31.280 --> 00:16:37.040]  我們一起讀一下 盧家福音第一章 第一至第四節
[00:16:37.040 --> 00:16:42.240]  等我拿一張大字聖經 我們一起讀
[00:16:42.240 --> 00:16:52.400]  提亞飛羅大人 有些人提筆作書 述說在我們中間所成就的事
[00:16:52.400 --> 00:16:59.920]  是照傳道的人從起初親眼看見 又傳給我們的
[00:16:59.920 --> 00:17:09.920]  這些事我既從起頭都詳細考察了 就定義按著次序寫給你
[00:17:09.920 --> 00:17:16.560]  使你知道所學之道都是確實的
[00:17:16.560 --> 00:17:25.120]  我再讀多一次英語聖經給大家聽 大家就留心看一下有什麼分別
[00:17:25.120 --> 00:17:32.640]  這段英文翻譯 現在很多人已經準備了一張筆記
[00:17:32.640 --> 00:17:37.440]  有些事是在我們中間所成就的
[00:17:37.440 --> 00:17:47.680]  就像筆記一樣 被我們看見 都是照著我們從起初親眼看見的事
[00:17:47.680 --> 00:17:57.520]  So it seemed good to me as well because I have followed all things carefully from the beginning
[00:17:57.520 --> 00:18:04.640]  to write an orderly account for you, most excellent Theophilus,
[00:18:04.640 --> 00:18:12.640]  so that you may know for certain the things you were taught
[00:18:12.640 --> 00:18:24.480]  當我們只是輕輕讀這段聖經的時候 比對一下英語和和合本的翻譯
[00:18:24.480 --> 00:18:36.080]  你會馬上留意到翻譯和合本的聖經的譯者有一個個人的前設
[00:18:36.080 --> 00:18:48.720]  是什麼前設 這個前設就是他很喜歡尊重一些人 大人物
[00:18:48.720 --> 00:18:54.320]  所以一開始就提議Theophilus大人
[00:18:54.320 --> 00:19:02.000]  雖然你們未必懂得希臘文的聖經 但至少你懂得英文聖經
[00:19:02.000 --> 00:19:10.080]  剛才我讀的時候 你會發現這個Theophilus大人的中文翻譯
[00:19:10.080 --> 00:19:21.680]  是沒有出現在第一節的開頭
[00:19:21.680 --> 00:19:30.480]  在希臘文的版本裏面 Theophilus這個希臘文字
[00:19:30.480 --> 00:19:38.800]  是在第三節才出現 你會說牧師你又咬文雀字了
[00:19:38.800 --> 00:19:45.840]  為什麼你又要這樣挑剔呢 不是挑剔
[00:19:45.840 --> 00:19:56.640]  既然在第一節裏面是沒有用過這個字 Theophilus
[00:19:56.640 --> 00:20:06.240]  那為什麼翻譯和合本的翻譯者會這樣翻譯呢
[00:20:06.240 --> 00:20:09.520]  無非在他自己的心理裏面有個前設
[00:20:09.520 --> 00:20:17.120]  這一封是一封很尊貴的人去看我這封的福音書
[00:20:17.120 --> 00:20:22.480]  所以這個人的名字一定要抬頭 中國人寫信
[00:20:22.480 --> 00:20:31.520]  用中國人的特色 不過請大家留意 我們讀聖經不是讀中文聖經來信主的
[00:20:31.520 --> 00:20:37.680]  我們讀聖經原本想講的內容來信主
[00:20:37.680 --> 00:20:45.520]  所以當如果讀中文聖經的版本的時候 我們就很容易誤導一個陷阱
[00:20:45.520 --> 00:20:53.280]  就是這封書信我們要看的原因是因為是寫給一個這麼尊貴的人物
[00:20:53.280 --> 00:21:02.160]  首先在這裏我提出不單止這個字眼 Theophilus 不是出現在第一節
[00:21:02.160 --> 00:21:06.480]  這個字甚至未必是一個人來的
[00:21:06.480 --> 00:21:10.080]  我一會兒詳細再解釋好不好
[00:21:10.080 --> 00:21:19.040]  既然如果不是一個人 又或者他不是在前頭的第一句
[00:21:19.040 --> 00:21:23.840]  這本書就不是讓我們去學
[00:21:23.840 --> 00:21:30.800]  說因為他是寫給一個尊貴的人 我們不看不可以了
[00:21:30.800 --> 00:21:34.720]  那我為什麼要讀這本福音書呢?
[00:21:34.720 --> 00:21:42.000]  這個就正正第一至第四節想帶大家去看原本的原意
[00:21:42.000 --> 00:21:48.480]  為什麼盧家要去寫這個福音書
[00:21:48.480 --> 00:21:53.680]  我們仔細去看一下這本書有什麼特色
[00:21:53.680 --> 00:22:04.640]  盧家福音除了第一至第四節 我剛剛講到這個這麼獨特的翻譯上的不同之外
[00:22:04.640 --> 00:22:14.880]  更重要的就是盧家這位作者所寫的不單止是盧家福音
[00:22:14.880 --> 00:22:22.880]  原來我們發現到在這個試圖行傳的開始
[00:22:22.880 --> 00:22:27.200]  也都同樣談論到這個作者的問題
[00:22:27.200 --> 00:22:34.640]  大家可以去輕輕有聖經 不用輕輕了 現在一定輕輕的了
[00:22:34.640 --> 00:22:44.560]  你就戳你的手機 然後就會去到那個聖經的版本試圖行傳
[00:22:44.560 --> 00:22:52.640]  我們讀一讀第一節 我們就會明白多一點的了
[00:22:52.640 --> 00:23:00.960]  第一節找到之後 我們讀第二節吧
[00:23:00.960 --> 00:23:06.400]  提阿飛羅 我已經作了前書
[00:23:06.400 --> 00:23:11.360]  論到耶穌開頭一切所行所教訓的
[00:23:11.360 --> 00:23:17.280]  直到他借著聖靈吩咐所揀選的試圖
[00:23:17.280 --> 00:23:23.360]  以後被接上聖的日子為止
[00:23:23.360 --> 00:23:29.120]  單從試圖行傳的第一節 很明顯也都很清楚
[00:23:29.120 --> 00:23:32.880]  無可辯駁的就是告訴他知道
[00:23:32.880 --> 00:23:41.760]  其實試圖行傳的作者是和盧家福音是同一個作者
[00:23:41.760 --> 00:23:48.320]  是寫給同一個的讀者群
[00:23:48.320 --> 00:23:56.720]  而寫的時候在試圖行傳清楚指到有本前書
[00:23:56.720 --> 00:24:03.760]  這本前書其實就是指到盧家福音
[00:24:03.760 --> 00:24:07.760]  所以盧家福音和試圖行傳
[00:24:07.760 --> 00:24:14.640]  本來其實就是屬於同一個作者叫盧家
[00:24:14.640 --> 00:24:19.360]  他分開上下冊而寫
[00:24:19.360 --> 00:24:25.920]  那你就會問 為什麼要分上下冊而寫呢?
[00:24:25.920 --> 00:24:33.440]  在這裡我們就要涉入一個讀聖經很重要的概念
[00:24:33.440 --> 00:24:43.280]  在聖經裡面你會看到舊約有歷代之上和歷代之下
[00:24:43.280 --> 00:24:47.680]  為什麼要有上有下呢?一會兒說
[00:24:47.680 --> 00:24:52.480]  但是新約的時候我們看到的新約聖經
[00:24:52.480 --> 00:25:01.520]  譬如哥林多有前書和後書
[00:25:01.520 --> 00:25:10.880]  為什麼不是叫哥林多上書而不是哥林多下書呢?
[00:25:10.880 --> 00:25:15.280]  我們不如問一下教會的執事
[00:25:15.280 --> 00:25:23.760]  Chairman Joe 你很喜歡哥林多這本書 是不是?
[00:25:23.760 --> 00:25:32.880]  為什麼不叫哥林多上書而哥林多下書呢?
[00:25:32.880 --> 00:25:40.480]  你想回答嗎?可以回答的
[00:25:40.480 --> 00:25:44.320]  據理解不止這兩卷
[00:25:44.320 --> 00:25:47.520]  那就出現一個問題了
[00:25:47.520 --> 00:25:52.880]  原來舊約讀聖經上書和下書是告訴我們
[00:25:52.880 --> 00:25:57.520]  這兩卷書其實原本是同一卷書
[00:25:57.520 --> 00:26:05.280]  只不過因為某種原因要把它變成上書和下書
[00:26:05.280 --> 00:26:08.160]  為什麼要把它變成兩卷呢?
[00:26:08.160 --> 00:26:12.800]  因為一個原因是收藏的問題
[00:26:12.800 --> 00:26:16.720]  按照猶太人的傳統裡面
[00:26:16.720 --> 00:26:22.160]  他們讀的聖經全部寫在書卷上面
[00:26:22.160 --> 00:26:26.000]  大家有沒有見過那些書卷是怎麼樣的?
[00:26:26.000 --> 00:26:27.280]  你可能沒有見過
[00:26:27.280 --> 00:26:30.160]  因為你沒有去過猶太人會堂
[00:26:30.160 --> 00:26:36.560]  將來有機會牧師我帶你們去踩一次場 好不好?
[00:26:36.560 --> 00:26:38.560]  很嚴重 是不是?
[00:26:38.560 --> 00:26:41.040]  不是踩場 是去觀摩一下
[00:26:41.040 --> 00:26:44.160]  那我當然要和他們的Rabbi聊聊天
[00:26:44.160 --> 00:26:49.520]  因為我們無端端弄了十個八個唐人進去做什麼
[00:26:49.520 --> 00:26:54.320]  保安很嚴密的 是不是?以色列人種地 是不是?
[00:26:54.320 --> 00:27:02.640]  原來猶太人的書卷每一卷有一個特定的長度
[00:27:02.640 --> 00:27:08.160]  總共是三十七英尺一長
[00:27:08.160 --> 00:27:10.160]  當年我去到以色列讀書的時候
[00:27:10.160 --> 00:27:18.960]  親眼看著Rabbi是怎麼從儲藏聖經書卷的櫃
[00:27:18.960 --> 00:27:20.960]  怎麼做一輪儀式不重要
[00:27:20.960 --> 00:27:25.120]  然後他抬那卷書卷揹在肩膀上
[00:27:25.120 --> 00:27:30.080]  然後去到synagogue中間的講台上面
[00:27:30.080 --> 00:27:32.880]  將書卷卷開
[00:27:32.880 --> 00:27:36.400]  那不是一卷就成卷聖經
[00:27:36.400 --> 00:27:41.600]  是一卷就只是一卷書的長度
[00:27:41.600 --> 00:27:49.280]  三十七英尺就剛剛好人能夠放在講台上面
[00:27:49.280 --> 00:27:53.920]  以及抬得到這個講台上面的重量的大小
[00:27:53.920 --> 00:28:03.360]  所以為什麼舊約聖經有這個貼薩羅尼加
[00:28:03.360 --> 00:28:11.600]  有這個薩姆耳機上有薩姆耳機下
[00:28:11.600 --> 00:28:13.600]  剛剛好將它分為兩卷
[00:28:13.600 --> 00:28:18.160]  方便會堂裡面的Rabbi
[00:28:18.160 --> 00:28:23.200]  他們抬出來讀給大家聽
[00:28:23.200 --> 00:28:26.800]  所以是同一卷
[00:28:26.800 --> 00:28:32.480]  下次讀到下書的那些在哪裡就用下書的卷出來
[00:28:32.480 --> 00:28:35.280]  都是同一卷書不夠寫
[00:28:35.280 --> 00:28:40.160]  這是一個很有趣的學問
[00:28:40.160 --> 00:28:42.480]  如果大家日後有興趣我可以多說一點
[00:28:42.480 --> 00:28:46.400]  關於這個困難書卷的製作過程
[00:28:46.400 --> 00:28:47.920]  你就會有興趣
[00:28:47.920 --> 00:28:50.720]  但新約不是這樣
[00:28:50.720 --> 00:28:56.160]  新約因為哥倫多前書和哥倫多後書
[00:28:56.160 --> 00:29:00.320]  不只是同一卷書
[00:29:00.320 --> 00:29:06.720]  它可能是集了很多卷書寫成的
[00:29:06.720 --> 00:29:10.400]  又或者是分開不同的書信
[00:29:10.400 --> 00:29:13.760]  中間可能有些是沒有在我們的正典裡面
[00:29:13.760 --> 00:29:20.800]  所以為什麼新約聖經不會叫哥倫多上書和哥倫多下書
[00:29:20.800 --> 00:29:24.320]  只是說它只剩下兩卷找得到出來
[00:29:24.320 --> 00:29:25.920]  或者兩個系列
[00:29:25.920 --> 00:29:29.120]  一個叫哥倫多前書
[00:29:29.120 --> 00:29:31.440]  之前一卷的
[00:29:31.440 --> 00:29:34.880]  但我找到另一卷叫哥倫多後書
[00:29:34.880 --> 00:29:39.760]  這卷可能是集合幾個書信集合在一起
[00:29:39.760 --> 00:29:40.960]  都有可能的
[00:29:40.960 --> 00:29:45.520]  不過我不是在說哥倫多前書或後書的結構特色
[00:29:45.520 --> 00:29:47.200]  不說了我留給阿Joe說
[00:29:47.200 --> 00:29:51.760]  所以為什麼我們去讀聖經的時候
[00:29:51.760 --> 00:29:57.440]  我們會發現到卷書的長度是有界定
[00:29:57.440 --> 00:30:04.720]  而為什麼路加寫福音書和詩圖行傳
[00:30:04.720 --> 00:30:08.320]  是會分前和後的原因
[00:30:08.320 --> 00:30:11.280]  所以我們首先要了解這一點
[00:30:11.280 --> 00:30:15.760]  因此我們就會納入另一個問題
[00:30:15.760 --> 00:30:20.720]  既然如此路加福音和後來的詩圖行傳
[00:30:20.720 --> 00:30:26.560]  它寫作的動機就有些不同
[00:30:26.560 --> 00:30:28.720]  前書所說的
[00:30:28.720 --> 00:30:30.160]  今天我們所看的
[00:30:30.160 --> 00:30:32.640]  就是告訴他知道
[00:30:32.640 --> 00:30:36.400]  路加是很想透過寫
[00:30:36.400 --> 00:30:40.480]  路加福音去介紹給人知道
[00:30:40.480 --> 00:30:42.960]  在耶穌未死之前
[00:30:42.960 --> 00:30:48.000]  一切耶穌所說的內容是什麼
[00:30:48.000 --> 00:30:50.960]  然後他在過程當中
[00:30:50.960 --> 00:30:58.640]  他如何去考核證實真真確確地發生了
[00:30:58.640 --> 00:31:03.760]  所以路加福音主要是陳述
[00:31:03.760 --> 00:31:06.880]  介紹耶穌的教導
[00:31:06.880 --> 00:31:11.920]  以及路加他如何在考證的過程
[00:31:11.920 --> 00:31:16.640]  為他自己以及所看路加福音的所有讀者
[00:31:16.640 --> 00:31:23.680]  來證實實際真正被實踐的事情的來龍去脈
[00:31:23.680 --> 00:31:26.240]  是一個客觀的考究
[00:31:26.240 --> 00:31:30.480]  不是一個個人的宗教宣示
[00:31:30.480 --> 00:31:32.720]  至於詩圖行傳
[00:31:32.720 --> 00:31:34.480]  我們也說過
[00:31:34.480 --> 00:31:37.600]  詩圖行傳其實最重要的就是
[00:31:37.600 --> 00:31:41.120]  信徒在實際生活上
[00:31:41.120 --> 00:31:47.360]  如何去印證到耶穌基督在前書所說的所有的教導
[00:31:47.360 --> 00:31:53.360]  然後落實到每一個生命的片段和環節當中
[00:31:53.360 --> 00:31:56.880]  而如何在過程裏面作出決定
[00:31:56.880 --> 00:31:59.040]  好像一個
[00:31:59.040 --> 00:32:03.120]  剛剛看完世界盃
[00:32:03.120 --> 00:32:08.320]  世界盃其實除了我們去看一場「波點踢」之外
[00:32:08.320 --> 00:32:16.240]  我們其實是在看教練在這麼久去領著這群球員訓練
[00:32:16.240 --> 00:32:18.640]  他們之間的種種教導之下
[00:32:18.640 --> 00:32:22.880]  下場看看他們教練的水平是怎麼樣
[00:32:22.880 --> 00:32:26.400]  所以世界盃你不要只是看某個球員踢得好不好
[00:32:26.400 --> 00:32:30.880]  其實是在看背後的領隊教練好不好
[00:32:30.880 --> 00:32:32.880]  所以最不好的那個就是誰呢
[00:32:32.880 --> 00:32:36.720]  我看的就是今屆最壞的就是英格蘭
[00:32:36.720 --> 00:32:39.600]  教練就是最差的
[00:32:39.600 --> 00:32:43.600]  怎會在贏球的時候縮在那裏守球
[00:32:43.600 --> 00:32:47.920]  守20分鐘根本就是傻的
[00:32:47.920 --> 00:32:52.400]  路加福音和仕途行傳就是這樣
[00:32:52.400 --> 00:32:54.720]  路加講了內容
[00:32:54.720 --> 00:32:57.520]  耶穌的教導是怎麼看整個部署
[00:32:57.520 --> 00:33:00.480]  教導內容應該怎麼做
[00:33:00.480 --> 00:33:02.320]  就告訴你在仕途行傳
[00:33:02.320 --> 00:33:04.400]  信徒如何實踐出來
[00:33:04.400 --> 00:33:06.720]  而你和我怎麼去參與
[00:33:06.720 --> 00:33:08.720]  應該就是這樣去做
[00:33:08.720 --> 00:33:13.600]  所以因此我們去看路加福音
[00:33:13.600 --> 00:33:15.600]  我們最重要的目的
[00:33:15.600 --> 00:33:17.600]  其實就是要看一下
[00:33:17.600 --> 00:33:22.560]  路加他怎樣為著所有讀者
