
[00:00:00.000 --> 00:00:07.000]  各位網友 早安 新年快樂
[00:04:28.000 --> 00:04:32.000]  進入對以色列的看顧
[00:04:32.000 --> 00:04:34.000]  然後是一個普世
[00:04:34.000 --> 00:04:40.000]  到最後又用個人來回應開始的個人讚頌
[00:04:40.000 --> 00:04:44.000]  所以一頭一尾都是個人對神的讚頌
[00:04:44.000 --> 00:04:52.000]  而帶到內涵裏面 是有對國家民族普世的讚頌
[00:04:52.000 --> 00:04:57.000]  首先我們看這首詩篇 開始時是個人讚頌
[00:04:57.000 --> 00:05:01.000]  剛才我們讀過 大衛的詩
[00:05:01.000 --> 00:05:03.000]  大衛寫了很多詩
[00:05:03.000 --> 00:05:06.000]  我相信大衛這首詩不單止為他自己
[00:05:06.000 --> 00:05:11.000]  也為了整個民族國家 為了他的家庭 為了他的家人
[00:05:11.000 --> 00:05:14.000]  為了他所見到的這個世界
[00:05:14.000 --> 00:05:18.000]  但開始時是從自己開始的
[00:05:18.000 --> 00:05:21.000]  我們做偉大的事都是從自己開始
[00:05:21.000 --> 00:05:23.000]  一開始他怎樣說呢?
[00:05:23.000 --> 00:05:27.000]  他說:我心那,你要稱頌耶和華
[00:05:27.000 --> 00:05:30.000]  凡在我裏面的都要稱頌他的聖名
[00:05:30.000 --> 00:05:32.000]  我心那,你要稱頌耶和華
[00:05:32.000 --> 00:05:34.000]  不要忘記他就是恩惠
[00:05:34.000 --> 00:05:35.000]  這兩節是很有意思的
[00:05:35.000 --> 00:05:37.000]  一開始他用我的心
[00:05:37.000 --> 00:05:39.000]  中文翻譯成心
[00:05:39.000 --> 00:05:43.000]  原來不是用心 heart
[00:05:43.000 --> 00:05:45.000]  原來是用靈魂
[00:05:45.000 --> 00:05:49.000]  如果在希伯來文裏面就是我的靈魂
[00:05:49.000 --> 00:05:53.000]  靈魂和我們中文所理解的靈魂是不同的
[00:05:53.000 --> 00:06:01.000]  靈魂指的是我們整個人裏面的心思意念
[00:06:01.000 --> 00:06:03.000]  因為猶太人看人是整個人
[00:06:03.000 --> 00:06:05.000]  即是一切的活動
[00:06:05.000 --> 00:06:07.000]  由裏到外的一切活動
[00:06:07.000 --> 00:06:12.000]  魂的活動是包括了你的心思意念和一切的活動
[00:06:12.000 --> 00:06:14.000]  都去讚美
[00:06:14.000 --> 00:06:17.000]  據說在一個大的節日裏面
[00:06:17.000 --> 00:06:19.000]  我們想想到的是甚麼呢?
[00:06:19.000 --> 00:06:22.000]  來到上帝面前只有一樣東西
[00:06:22.000 --> 00:06:24.000]  讚美
[00:06:24.000 --> 00:06:26.000]  全心全意的讚美
[00:06:26.000 --> 00:06:28.000]  剛才我們唱詩很好
[00:06:28.000 --> 00:06:31.000]  就是將我們的讚美
[00:06:31.000 --> 00:06:33.000]  當我唱的時候我一直默想
[00:06:33.000 --> 00:06:35.000]  有甚麼可以讚美?
[00:06:35.000 --> 00:06:37.000]  其實我們是一無所有
[00:06:37.000 --> 00:06:39.000]  都是神給我們的
[00:06:39.000 --> 00:06:41.000]  我們的生命
[00:06:41.000 --> 00:06:43.000]  我們的永恆
[00:06:43.000 --> 00:06:45.000]  我們的世上
[00:06:45.000 --> 00:06:47.000]  所以他們是將神給我們的
[00:06:47.000 --> 00:06:49.000]  我們全部的來讚美
[00:06:49.000 --> 00:06:54.000]  整個讚美的核心就是以耶和華的名
[00:06:54.000 --> 00:06:56.000]  稱頌耶和華的名
[00:06:56.000 --> 00:06:58.000]  耶和華的名是甚麼呢?
[00:06:58.000 --> 00:07:00.000]  是一個聖結
[00:07:00.000 --> 00:07:02.000]  Holy Name
[00:07:02.000 --> 00:07:05.000]  因此當我們一稱頌耶和華的名的時候
[00:07:05.000 --> 00:07:10.000]  這個聖結就很明顯和罪分開了
[00:07:10.000 --> 00:07:13.000]  所以當我們稱頌耶和華的名的時候
[00:07:13.000 --> 00:07:19.000]  我們就不要再去想和著重
[00:07:19.000 --> 00:07:21.000]  我們的軟弱失敗
[00:07:21.000 --> 00:07:23.000]  這些我們交給神
[00:07:23.000 --> 00:07:26.000]  我們回到上帝面前
[00:07:26.000 --> 00:07:28.000]  那些失敗那些不好的東西
[00:07:28.000 --> 00:07:31.000]  我們應該完全放下
[00:07:31.000 --> 00:07:33.000]  只有上帝的聖名
[00:07:33.000 --> 00:07:36.000]  Holy 聖結的
[00:07:36.000 --> 00:07:38.000]  來去重讚
[00:07:38.000 --> 00:07:40.000]  能夠放下那些不好的東西
[00:07:40.000 --> 00:07:42.000]  就是因為救贖
[00:07:42.000 --> 00:07:44.000]  基督救贖我們
[00:07:44.000 --> 00:07:46.000]  去補血塗抹我們
[00:07:46.000 --> 00:07:49.000]  所以當我們想到基督的補血塗抹我們的罪
[00:07:49.000 --> 00:07:53.000]  雖然我們軟弱在過去一年裏面有失敗
[00:07:53.000 --> 00:07:56.000]  但今天能夠來到神面前讚美
[00:07:56.000 --> 00:07:57.000]  不是因為我有甚麼本事
[00:07:57.000 --> 00:07:58.000]  不是因為我賺了多少錢
[00:07:58.000 --> 00:08:00.000]  不是因為我年年有餘
[00:08:00.000 --> 00:08:03.000]  不是因為基督的補血遮蓋
[00:08:03.000 --> 00:08:08.000]  而是我今天就可以去讚美神
[00:08:08.000 --> 00:08:10.000]  所以Holy Name
[00:08:10.000 --> 00:08:12.000]  神聖的名字
[00:08:12.000 --> 00:08:14.000]  就因著救贖塗抹我們
[00:08:14.000 --> 00:08:19.000]  我們可以重讚上帝的聖名
[00:08:19.000 --> 00:08:23.000]  和重讚相反的就是忘記
[00:08:23.000 --> 00:08:26.000]  忘記就不會去讚美人
[00:08:26.000 --> 00:08:29.000]  所以我們要記住提醒
[00:08:29.000 --> 00:08:30.000]  不要忘記他
[00:08:30.000 --> 00:08:33.000]  因為就是基督的救贖
[00:08:33.000 --> 00:08:36.000]  在這個因為下我們就可以讚美
[00:08:36.000 --> 00:08:40.000]  所以第二節就說不要忘記他的因為
[00:08:40.000 --> 00:08:43.000]  最大的因為就是我們今天成為神的兒女
[00:08:43.000 --> 00:08:45.000]  在這個地上的特殊身份
[00:08:45.000 --> 00:08:47.000]  是上帝所揀選的
[00:08:47.000 --> 00:08:50.000]  而大衛也都經歷了他的救贖
[00:08:50.000 --> 00:08:53.000]  忘記他的因為就有這個讚美
[00:08:53.000 --> 00:08:55.000]  這個是個人的
[00:08:55.000 --> 00:08:57.000]  所以回到上帝面前讚美
[00:08:57.000 --> 00:09:00.000]  就是回到上帝的拯救
[00:09:00.000 --> 00:09:04.000]  第二 由第三到第五節
[00:09:04.000 --> 00:09:05.000]  我們一起讀
[00:09:05.000 --> 00:09:06.000]  三到五節很有意思
[00:09:06.000 --> 00:09:07.000]  有六個字
[00:09:07.000 --> 00:09:10.000]  他赦免你的一切罪孽
[00:09:10.000 --> 00:09:12.000]  醫治你的一切疾病
[00:09:12.000 --> 00:09:15.000]  他救贖你的命脫離死亡
[00:09:15.000 --> 00:09:18.000]  以仁愛和慈悲為你的冠冕
[00:09:18.000 --> 00:09:22.000]  他用美物使你所願的得以知足
[00:09:22.000 --> 00:09:25.000]  以致你如英返老還雄
[00:09:25.000 --> 00:09:26.000]  六個字
[00:09:26.000 --> 00:09:29.000]  擺了六種神對我們的恩惠
[00:09:29.000 --> 00:09:33.000]  我已經將它刻了一個字
[00:09:33.000 --> 00:09:44.000]  赦免 醫治 救贖 加免 知足 和返老還雄
[00:09:44.000 --> 00:09:47.000]  青春 青春其實都是很重要的
[00:09:47.000 --> 00:09:52.000]  赦免一切的罪孽 醫治一切的疾病
[00:09:52.000 --> 00:09:56.000]  而今天令我們和上帝隔絕
[00:09:56.000 --> 00:09:59.000]  就是因為罪的緣故
[00:09:59.000 --> 00:10:02.000]  罪叫人畏縮抬不起頭
[00:10:02.000 --> 00:10:03.000]  赦免
[00:10:03.000 --> 00:10:05.000]  所以在新年的時候
[00:10:05.000 --> 00:10:08.000]  我們經常說過去的事不要想
[00:10:08.000 --> 00:10:11.000]  不要想不是說我們不面對現實
[00:10:11.000 --> 00:10:14.000]  而是面對神的恩典的時候
[00:10:14.000 --> 00:10:18.000]  過去的就放在神的裡面
[00:10:18.000 --> 00:10:22.000]  因為神是應許赦免我們的罪
[00:10:22.000 --> 00:10:24.000]  赦免我們的軟弱
[00:10:24.000 --> 00:10:26.000]  並且醫治我們的疾病
[00:10:26.000 --> 00:10:28.000]  這是應許的
[00:10:28.000 --> 00:10:32.000]  一切帶有末世的盼望
[00:10:32.000 --> 00:10:34.000]  因為這個所說
[00:10:34.000 --> 00:10:38.000]  不要忘記他赦免你一切的罪孽
[00:10:38.000 --> 00:10:40.000]  不單止是今生
[00:10:40.000 --> 00:10:43.000]  並且是來世
[00:10:43.000 --> 00:10:45.000]  因為神的救贖
[00:10:45.000 --> 00:10:47.000]  徒沒我們一切
[00:10:47.000 --> 00:10:50.000]  以致我們坦然無懼
[00:10:50.000 --> 00:10:52.000]  可以面見我們的上帝
[00:10:52.000 --> 00:10:54.000]  你說這是多大的福氣
[00:10:54.000 --> 00:10:57.000]  救贖命脫離死亡
[00:10:57.000 --> 00:11:00.000]  死亡這個字其實不是死亡
[00:11:00.000 --> 00:11:03.000]  是shill 就是陰間
[00:11:03.000 --> 00:11:07.000]  救贖命脫離陰間
[00:11:07.000 --> 00:11:10.000]  在猶太人裡面所理解的陰間
[00:11:10.000 --> 00:11:13.000]  是指沒有上帝
[00:11:13.000 --> 00:11:15.000]  沒有溫情 沒有愛
[00:11:15.000 --> 00:11:17.000]  是說一種情況
[00:11:17.000 --> 00:11:21.000]  就是說救贖你的命脫離一種情況
[00:11:21.000 --> 00:11:25.000]  這種情況可以是疾病的裡面
[00:11:25.000 --> 00:11:27.000]  可以是意外的裡面
[00:11:27.000 --> 00:11:29.000]  可以是你憂鬱的裡面
[00:11:29.000 --> 00:11:31.000]  可以是你很大壓力的裡面
[00:11:31.000 --> 00:11:34.000]  可以是你絕望的裡面
[00:11:34.000 --> 00:11:37.000]  所以這裡說救贖你的命脫離死亡
[00:11:37.000 --> 00:11:40.000]  不是將來的肉體死亡
[00:11:40.000 --> 00:11:42.000]  原來是用現在式
[00:11:42.000 --> 00:11:46.000]  救贖你的命脫離現在的情況
[00:11:46.000 --> 00:11:48.000]  好像在陰間裡
[00:11:48.000 --> 00:11:50.000]  沒有人關懷你
[00:11:50.000 --> 00:11:52.000]  沒有人明白你
[00:11:52.000 --> 00:11:54.000]  沒有人知道你的情況
[00:11:54.000 --> 00:11:57.000]  在這種憂鬱和壓力下
[00:11:57.000 --> 00:11:59.000]  神救贖你
[00:11:59.000 --> 00:12:04.000]  最近你知道我們可能要搬屋
[00:12:04.000 --> 00:12:06.000]  壓力很大
[00:12:06.000 --> 00:12:08.000]  去年我看醫生
[00:12:08.000 --> 00:12:10.000]  醫生說我的血壓很正常
[00:12:10.000 --> 00:12:12.000]  78.12 很fit
[00:12:12.000 --> 00:12:14.000]  我最近的血壓是150.60
[00:12:14.000 --> 00:12:16.000]  嚇死我了
[00:12:16.000 --> 00:12:17.000]  不知道為什麼
[00:12:17.000 --> 00:12:18.000]  是不是肥了
[00:12:18.000 --> 00:12:20.000]  原來是有些壓力
[00:12:20.000 --> 00:12:21.000]  不僅沒有很好
[00:12:21.000 --> 00:12:22.000]  很多支援
[00:12:22.000 --> 00:12:25.000]  神是透過很多的天使
[00:12:25.000 --> 00:12:29.000]  透過很多的人來幫助
[00:12:29.000 --> 00:12:31.000]  而神給我們應許罪
[00:12:31.000 --> 00:12:33.000]  在一個情況裡面
[00:12:33.000 --> 00:12:35.000]  沒有忘記
[00:12:35.000 --> 00:12:38.000]  將我們救拔出來
[00:12:38.000 --> 00:12:41.000]  當救你的命脫離這種情況
[00:12:41.000 --> 00:12:43.000]  在陰間的情況
[00:12:43.000 --> 00:12:45.000]  然後就是冠冕
[00:12:45.000 --> 00:12:47.000]  在下面那裡
[00:12:47.000 --> 00:12:52.000]  以仁愛和慈悲為你的冠冕
[00:12:52.000 --> 00:12:55.000]  這個冠冕是榮耀的
[00:12:55.000 --> 00:12:58.000]  不僅是叫你脫離那個情況
[00:12:58.000 --> 00:13:01.000]  是你自己很不想在那種憂鬱
[00:13:01.000 --> 00:13:03.000]  或者在那種壓力下
[00:13:03.000 --> 00:13:04.000]  或者絕望裡面
[00:13:04.000 --> 00:13:06.000]  而是將一個仁愛和慈愛
[00:13:06.000 --> 00:13:08.000]  來加給你
[00:13:08.000 --> 00:13:12.000]  這種只有上帝的愛
[00:13:12.000 --> 00:13:15.000]  才可以讓你得到這種冠冕
[00:13:15.000 --> 00:13:17.000]  當一個人有愛
[00:13:17.000 --> 00:13:20.000]  你會有被尊重
[00:13:20.000 --> 00:13:25.000]  其實一個很容易的例子
[00:13:25.000 --> 00:13:27.000]  就算寵物都一樣
[00:13:28.000 --> 00:13:30.000]  去亞洲
[00:13:30.000 --> 00:13:32.000]  你見到狗很餓很怕人
[00:13:32.000 --> 00:13:35.000]  因為那些狗是沒有人要
[00:13:35.000 --> 00:13:36.000]  被人打
[00:13:36.000 --> 00:13:38.000]  但是這裡的狗
[00:13:38.000 --> 00:13:41.000]  是很有尊榮的
[00:13:41.000 --> 00:13:42.000]  很良善
[00:13:42.000 --> 00:13:43.000]  因為人很疼愛牠
[00:13:43.000 --> 00:13:44.000]  動物都一樣
[00:13:44.000 --> 00:13:47.000]  當愛臨到一個生命
[00:13:47.000 --> 00:13:51.000]  那個生命就是很有尊嚴
[00:13:51.000 --> 00:13:53.000]  牠不會小看自己
[00:13:53.000 --> 00:13:55.000]  牠不會恐懼
[00:13:55.000 --> 00:13:57.000]  仁愛和慈悲
[00:13:57.000 --> 00:13:58.000]  成為我們的冠冕
[00:13:58.000 --> 00:14:02.000]  當我們知道神沒有離開我們
[00:14:02.000 --> 00:14:03.000]  愛我們
[00:14:03.000 --> 00:14:07.000]  神是將天使放在我們旁邊
[00:14:07.000 --> 00:14:10.000]  讓姐妹的愛圍繞我們的時候
[00:14:10.000 --> 00:14:12.000]  我們的生命就很有尊嚴
[00:14:12.000 --> 00:14:15.000]  我們不會失望
[00:14:15.000 --> 00:14:17.000]  所以仁愛和慈悲
[00:14:17.000 --> 00:14:18.000]  就成為我們的冠冕
[00:14:18.000 --> 00:14:20.000]  我們今天的生命
[00:14:20.000 --> 00:14:23.000]  原來活出來不是我們一個人
[00:14:23.000 --> 00:14:24.000]  神的同在
[00:14:24.000 --> 00:14:26.000]  這個很寶貴
[00:14:27.000 --> 00:14:29.000]  仁愛慈悲就是冠冕
[00:14:29.000 --> 00:14:30.000]  用美物
[00:14:30.000 --> 00:14:33.000]  使你所願的得以知足
[00:14:33.000 --> 00:14:35.000]  這個美物
[00:14:35.000 --> 00:14:39.000]  原來它的意思是很有意思的
[00:14:39.000 --> 00:14:41.000]  就是裝飾
[00:14:41.000 --> 00:14:43.000]  什麼意思呢?
[00:14:43.000 --> 00:14:44.000]  美物
[00:14:44.000 --> 00:14:45.000]  Good thing
[00:14:45.000 --> 00:14:46.000]  美物就是
[00:14:46.000 --> 00:14:50.000]  世外神是將我們所願的
[00:14:50.000 --> 00:14:52.000]  是人所看來的
[00:14:52.000 --> 00:14:55.000]  這個美物未必是
[00:14:55.000 --> 00:14:58.000]  很漂亮的衣服
[00:14:58.000 --> 00:15:00.000]  或者是等等的東西
[00:15:00.000 --> 00:15:02.000]  這個美物可以說是
[00:15:02.000 --> 00:15:05.000]  神給我們在生命上
[00:15:05.000 --> 00:15:10.000]  我們有一種尊嚴
[00:15:10.000 --> 00:15:13.000]  在我們所表現出來的
[00:15:13.000 --> 00:15:17.000]  是人們都覺得你是好的
[00:15:17.000 --> 00:15:19.000]  這個美物
[00:15:19.000 --> 00:15:21.000]  我也想了很久
[00:15:21.000 --> 00:15:23.000]  去翻查它的意思
[00:15:23.000 --> 00:15:25.000]  With good thing
[00:15:25.000 --> 00:15:27.000]  就是一個
[00:15:27.000 --> 00:15:29.000]  Satisfy your desire with good thing
[00:15:29.000 --> 00:15:32.000]  因為它前面的意思就是
[00:15:32.000 --> 00:15:36.000]  滿足你的要求
[00:15:36.000 --> 00:15:37.000]  滿足
[00:15:37.000 --> 00:15:39.000]  就是所願
[00:15:39.000 --> 00:15:42.000]  滿足你所盼望的東西
[00:15:42.000 --> 00:15:43.000]  用美物
[00:15:43.000 --> 00:15:46.000]  使你所願意的東西
[00:15:46.000 --> 00:15:47.000]  得以知足
[00:15:47.000 --> 00:15:49.000]  所以其實知足
[00:15:49.000 --> 00:15:52.000]  就是在說一種心態
[00:15:52.000 --> 00:15:55.000]  就是我們經常都覺得缺欠
[00:15:55.000 --> 00:15:58.000]  當一個人經常覺得自己缺欠的時候
[00:15:58.000 --> 00:16:01.000]  你這個人是不滿足的
[00:16:01.000 --> 00:16:02.000]  不開心的
[00:16:02.000 --> 00:16:04.000]  如果你覺得
[00:16:04.000 --> 00:16:07.000]  要有住很漂亮的房子
[00:16:07.000 --> 00:16:11.000]  才是一個很滿足
[00:16:11.000 --> 00:16:12.000]  你一直追求
[00:16:12.000 --> 00:16:14.000]  如果你住不到很漂亮的房子
[00:16:14.000 --> 00:16:15.000]  那你不開心的
[00:16:15.000 --> 00:16:18.000]  或者你要吃很好的東西
[00:16:18.000 --> 00:16:20.000]  但是上帝用什麼美物
[00:16:20.000 --> 00:16:23.000]  叫我們所願的得以知足呢?
[00:16:23.000 --> 00:16:27.000]  上帝未必一定要用物質的東西
[00:16:27.000 --> 00:16:31.000]  上帝是叫我們心靈得到安穩
[00:16:31.000 --> 00:16:32.000]  平安
[00:16:32.000 --> 00:16:34.000]  而我一個人最重要的
[00:16:34.000 --> 00:16:36.000]  就是我心裏面平安
[00:16:36.000 --> 00:16:38.000]  而我心裏面是得力
[00:16:38.000 --> 00:16:40.000]  在一種安穩的裏面
[00:16:40.000 --> 00:16:43.000]  而這個就成為了
[00:16:43.000 --> 00:16:45.000]  能夠知足的
[00:16:45.000 --> 00:16:47.000]  但是上帝有什麼美物呢?
[00:16:47.000 --> 00:16:49.000]  我就去思考
[00:16:49.000 --> 00:16:50.000]  Good thing
[00:16:50.000 --> 00:16:52.000]  有什麼呢?
[00:16:52.000 --> 00:16:55.000]  原來上帝去滿足人
[00:16:55.000 --> 00:16:59.000]  他是用我們想不到的
[00:16:59.000 --> 00:17:02.000]  你可以說是很意外的
[00:17:02.000 --> 00:17:04.000]  你想不到的
[00:17:04.000 --> 00:17:09.000]  神就賜給你一些好處
[00:17:09.000 --> 00:17:10.000]  在經歷
[00:17:10.000 --> 00:17:13.000]  很多時候我們都經歷到神一些
[00:17:13.000 --> 00:17:16.000]  你想不到的
[00:17:16.000 --> 00:17:18.000]  好像我曾經提過
[00:17:18.000 --> 00:17:20.000]  有一次師母身體不好
[00:17:20.000 --> 00:17:21.000]  坐飛機
[00:17:21.000 --> 00:17:24.000]  神突然間免費升級了
[00:17:24.000 --> 00:17:26.000]  一些很小的事
[00:17:26.000 --> 00:17:27.000]  又或者
[00:17:27.000 --> 00:17:30.000]  我們在平日生活上
[00:17:30.000 --> 00:17:31.000]  是想不到的
[00:17:31.000 --> 00:17:35.000]  透過一些頂姐妹的安慰
[00:17:35.000 --> 00:17:38.000]  有一次我們兩個不舒服
[00:17:38.000 --> 00:17:40.000]  有一個姐妹突然打電話來
[00:17:40.000 --> 00:17:43.000]  知道我們需要煮一些東西
[00:17:43.000 --> 00:17:45.000]  很小的東西
[00:17:45.000 --> 00:17:47.000]  但是你很滿足的
[00:17:47.000 --> 00:17:49.000]  在教會或者生命上
[00:17:49.000 --> 00:17:51.000]  吃了這些東西
[00:17:51.000 --> 00:17:53.000]  吃了很小的東西
[00:17:53.000 --> 00:17:56.000]  就叫我們心裏面有很多安慰
[00:17:56.000 --> 00:17:58.000]  原來我們沒有被忘記
[00:17:58.000 --> 00:18:00.000]  美物
[00:18:00.000 --> 00:18:02.000]  所以在人的一生裏面
[00:18:02.000 --> 00:18:04.000]  最重要就是知足
[00:18:04.000 --> 00:18:06.000]  在主裏面
[00:18:06.000 --> 00:18:07.000]  我們得到滿足
[00:18:07.000 --> 00:18:09.000]  Desire得到滿足
[00:18:09.000 --> 00:18:12.000]  以至如鷹找老鷹
[00:18:12.000 --> 00:18:15.000]  當一個人的生命
[00:18:15.000 --> 00:18:17.000]  在上帝面前很豐富的
[00:18:17.000 --> 00:18:20.000]  得到各樣的安慰的時候
[00:18:20.000 --> 00:18:24.000]  原來你都會年輕一點
[00:18:24.000 --> 00:18:27.000]  不知道大家有沒有這樣的感覺
[00:18:27.000 --> 00:18:30.000]  心境會叫你年輕一點
[00:18:30.000 --> 00:18:32.000]  這個年輕
[00:18:32.000 --> 00:18:34.000]  不單止是外表
[00:18:34.000 --> 00:18:37.000]  很多人都說我長得很老
[00:18:37.000 --> 00:18:40.000]  師母說我年輕
[00:18:40.000 --> 00:18:44.000]  其實生命的年輕
[00:18:44.000 --> 00:18:47.000]  不單止是肉體上
[00:18:47.000 --> 00:18:49.000]  最重要的
[00:18:49.000 --> 00:18:51.000]  不單止是外表
[00:18:51.000 --> 00:18:53.000]  是整個人
[00:18:53.000 --> 00:18:56.000]  這個反老還童
[00:18:56.000 --> 00:18:58.000]  其實就是說到
[00:18:58.000 --> 00:19:01.000]  不是外表
[00:19:01.000 --> 00:19:05.000]  是指到一種渴慕
[00:19:05.000 --> 00:19:08.000]  老人家最大問題是
[00:19:08.000 --> 00:19:10.000]  什麼都沒有興趣
[00:19:10.000 --> 00:19:14.000]  樣樣都好像都試過了
[00:19:14.000 --> 00:19:17.000]  而反老還童
[00:19:17.000 --> 00:19:19.000]  就是對這個世界
[00:19:19.000 --> 00:19:21.000]  突然有種新的看法
[00:19:21.000 --> 00:19:24.000]  不知道大家同不同意這件事
[00:19:24.000 --> 00:19:25.000]  一隻貓
[00:19:25.000 --> 00:19:26.000]  老貓
[00:19:26.000 --> 00:19:27.000]  沒興趣
[00:19:27.000 --> 00:19:29.000]  給東西都不玩
[00:19:29.000 --> 00:19:30.000]  貓仔呢
[00:19:30.000 --> 00:19:32.000]  一腳跳來跳去
[00:19:32.000 --> 00:19:34.000]  很有活力
[00:19:34.000 --> 00:19:38.000]  一個人活到這樣就沒興趣
[00:19:38.000 --> 00:19:39.000]  樣樣都沒興趣
[00:19:39.000 --> 00:19:41.000]  整天坐在那裡
[00:19:41.000 --> 00:19:44.000]  心境就是如英反老還童
[00:19:44.000 --> 00:19:46.000]  就是有活力
[00:19:46.000 --> 00:19:49.000]  對這個世界充滿了
[00:19:49.000 --> 00:19:52.000]  仍然充滿了好奇
[00:19:52.000 --> 00:19:53.000]  關心
[00:19:53.000 --> 00:19:55.000]  留意
[00:19:55.000 --> 00:19:57.000]  留意這個世界
[00:19:57.000 --> 00:19:58.000]  留意教會
[00:19:58.000 --> 00:20:00.000]  又關心教會
[00:20:00.000 --> 00:20:03.000]  弟兄姊妹仍然都有一種心願出來
[00:20:03.000 --> 00:20:06.000]  真正的那種活力
[00:20:06.000 --> 00:20:11.000]  不是用一些化妝品
[00:20:11.000 --> 00:20:12.000]  排毒美顏
[00:20:12.000 --> 00:20:13.000]  叫你看
[00:20:13.000 --> 00:20:14.000]  就算你外面看
[00:20:14.000 --> 00:20:15.000]  很年輕
[00:20:15.000 --> 00:20:17.000]  心態都沒興趣
