
[00:00:00.000 --> 00:00:04.000]  我多謝你拍手掌
[00:06:18.000 --> 00:06:46.000]  有好多人結婚五年 講福堂 即係我哋以前夫婦營呢 就分開十年以下十年以上 有好多人結婚好多年呢 仲係考慮一個好基本嘅問題就係 我值唔值得愛佢呢 咁耐仲諗佢值唔值喎 但有啲人呢就肯定咗佢值得我愛 由第一日開始到而家冇變 但係問題喺度啦
[00:06:46.000 --> 00:07:13.000]  我唔懂得愛佢 我真係唔識愛佢 我每一次向佢獻計對佢好嘅嘢 佢都打回頭 甚至彈到我一個仙都唔值 真係賣期都有多謝呀 我寧願不停咁出街係咁買期 逐蚊逐十蚊 咁多人多謝都心理安慰好多 返屋企買乜都畀人鬧 咁不如去買期好過
[00:07:13.000 --> 00:07:42.960]  你有時諗返下呢 我唔懂得愛佢 如果你有呢個問題呢 值得研究呀 你唔懂得 或者佢都唔懂得愛你 但兩個覺得好值得愛佢落去 因為你個心呢真係覺得真係好鍾意佢呀 所以你見到好多夫妻呢 因為唔懂得愛呢 係大家唔傾計呀 一講就幾吉吉 唔講就好地地呀 即係兩個好似影相咁日日都兩個咁唔出聲行啦 冇嘢但冇聲
[00:07:42.960 --> 00:08:05.960]  好啦 呢個第一個問題啦 所以如果你覺得冇呢個問題 我哋好好傾 仲覺得呢 值呀 因為同佢坐埋一齊呢 係令我生活多姿多彩嘅 同埋呢我懂得聽佢講嘅嘢呢 我聽得明㗎喎 佢又聽得明㗎喎 於是越明呢越享受 呢個世界呢係得我哋兩個聽得明㗎啫
[00:08:05.960 --> 00:08:32.960]  我向你一個挑戰啦 如果一陣間你分組 你講到五樣 五樣係其他嗰啲組員呢唔明你講咩㗎 譬如你叫佢老虎 原來唔係啦 即係話呢佢哋有個暗號 老虎即係咩呢 即係話呢 我知法文今晚打老虎即係愛你
[00:08:32.960 --> 00:08:57.960]  老虎咁樣即係暗號嚟㗎 即係話佢哋已經出產咗佢哋嘅語言 夫妻呢好有趣㗎 係不停咁樣出產咗啲呢係全世界人都唔知你講咩嘅語言㗎 呢唔係蝦話嚟㗎 越出產到語言 夫妻越恩愛㗎 如果偷聽全部聽明嗰啲呢 麻麻地㗎啫
[00:08:57.960 --> 00:09:22.960]  所以你就明白到呢 咁得意㗎 呢個好嘅訓練嚟㗎 第二個問題啦 講快少少就係 有啲人結了婚 仲懷疑緊 基督徒呢個係一個危機 究竟上帝係咪真係切合我哋呢 係咪真嘅呢 好似係又好似唔係50 50 甚至有偏向49 51
[00:09:22.960 --> 00:09:51.960]  點解呢 如果冇宗教信仰嘅人一定出事 佢話呢異性朋友 即係總之你係男人 異性係女人啦 有24億係可以娶嘅人嚟㗎 24億即係有潛質你可以追㗎 24億喎 咁我點知24億最好係佢呢 可能我鍾意咗佢之後 覺得我哋好夾 聽日就發覺有個啱過佢㗎啦 多過佢㗎啦 嘩咁點搞呀 後日有個仲啱過聽日㗎
[00:09:51.960 --> 00:10:08.960]  咁點搞呀咁樣 但係基督徒唔係㗎喎 基督徒覺得係佢㗎啦 係上帝配合嘅 咁日日都掙扎緊 當日係咪一個睇錯呢 聽錯呢 大家都搞錯呢 呢個係一個好精彩嘅問題
[00:10:08.960 --> 00:10:29.960]  所以如果你話你講得啱㗎咁樣 我都唔知到係咪佢最啱㗎咁樣 好多時候你用好呢個字呢 代替啱呢個字㗎 佢好好所以好夾佢 佢話佢好好 但好快就發覺佢唔係好好 佢覺得我哋唔係好夾
[00:10:29.960 --> 00:10:58.960]  呢個係個輔導出現嘅問題就係未必一定好好㗎 係好配合咋未必好好㗎 所以有好多夫妻都認呢係嗌交 即係鬧意見 我哋兩個前日去馬利縣見 你睇我日記 我哋見到阿科榮 同阿科榮又見到一個Roy Roy係二臟癌 九年 科榮就係移植 係咪骨髓移植呀
[00:10:58.960 --> 00:11:18.960]  骨髓移植呀 肝 肝 十三 十三年 十三年 呢兩個真係高人 佢哋兩夫婦都認呢 成日嗌交 入咗醫院仲嗌交 做手術仲嗌交 但係嗌交令到你哋感情永固 永固喎
[00:11:18.960 --> 00:11:35.960]  咁我覺得好奇妙 如果你用呢佢哋永遠都冇言語衝突就等於配合呢 咁唔一定 仲有好多可能性係講配合 呢個係第二個問題 第三個問題啦 情慾嘅問題啦
[00:11:35.960 --> 00:11:54.960]  人人都知道結婚相係你哋屋企最靚嘅幅嚟㗎 我成日覺得好老襯㗎 你擺屋企最靚嘅幅然後對一對你咁樣呢 周圍啲人睇到唔似你喎 其實都好慘嘅 每一次都好陰公猛證實係你呢
[00:11:54.960 --> 00:12:17.960]  我真係見到好多男人後來肥咗之後個老婆叫佢呢個係我前夫 即係個樣真係大變動 即係有陣時你會諗下真係越嚟越唔見得人嘅 係咪呀 唔見得老公老婆 唔見得人嘅真係
[00:12:17.960 --> 00:12:41.960]  但奇怪嘅嘢就係你開始睇到靈魂嘅美麗呢 係緊要個身體嘅美麗 即係結婚係學去睇到你嘅配偶佢心靈裏面嘅美麗 唔係被吸引於佢身體體型面孔嘅美麗 唔係
[00:12:41.960 --> 00:13:06.960]  呢個就係考起現代嘅年青人 現代年青人 我知道好多人結婚前係收身 即係個個都執到好fit 但危險就係你製造一個好大嘅比較將來 如果你唔預備定去搵佢心靈嘅美麗呢係危險嘅
[00:13:06.960 --> 00:13:29.960]  所以好快趣你會覺得佢冇咩興趣 所以有時你會好奇怪喺餐廳嗰啲燭光晚餐一睇就知道好後生望住對面 你好難見到兩個阿伯阿嬸望住對面 點解呢 有冇冇忙 忙咗幾十年
[00:13:29.960 --> 00:13:47.960]  但如果你仲見到一個結婚四十年嘅人就喺啲蠟燭前面望都可能白內障 但起碼就望住 眼定定好正 仲咁鍾意望佢 我喺港福堂宣佈我結婚喺其實好耐以前 半年前
[00:13:47.960 --> 00:14:07.960]  我話有兩個可能我會結婚 一個可能就係你哋發覺我越來越忙 即係我遇到個人佢刺激我再後生啲再為神工作咁就近啦 然後你發覺到我遇到個人個愛心大過我咁就係啦
[00:14:07.960 --> 00:14:31.960]  當時係大半年前 今年年頭我講呢個說話 我好多謝我未婚妻 最近我廿四號喺公理堂講報道佢都話大多啲人信 諗多得咁多 即係我好開心嘅嘢就係我想做嘅嘢有人覺得某樣嘢係好緊要
[00:14:31.960 --> 00:14:55.960]  呢個係個心靈嘅美麗 即係如果你見到一個咁樣心靈美麗呢 冇問題嘅你五十年六十年夫妻係好快樂 第四個問題呢 好多時係嗌交喺呢度 你發現到你計條數 我愛你多過你愛我
[00:14:55.960 --> 00:15:16.960]  你有辦法計 如果你重視你就會計 如果你重視我付出好多 但你唔使郁 唔抵 貨不對辦 不公平交易 不平等條約 搞到好慘 點解咁慘
[00:15:16.960 --> 00:15:42.960]  點解你唔諗下你為佢做嘅你都好快樂 你諗下你阿媽你爸爸以前對你 冬天佢為你揀件衫 買咗佢好高興買到 真係慘呀 七十九蚊仲係九五折真係陰公呀 買畀嗰個嘢咁樣 你唔會㗎 你阿媽買咗之後係趕住帶返屋企畀你試著㗎
[00:15:42.960 --> 00:15:59.960]  佢鍾意你著住件衫佢鍾意付出為你 呢個就係愛 如果你日日都諗緊冇呀 我畀咁多嘢你冇嘢畀返我 你覺得咁樣好唔抵 呢個真係婚姻嘅危機 好大危機 雖然你會話最好就對等
[00:15:59.960 --> 00:16:19.960]  即係佢買一樣嘢畀你 你要一樣嘢畀佢 但可能唔需要 我諗我同阿Praise 係咪叫拍拖呀 拍拖到而家呢兩年幾 好似我哋兩個都從來未送過禮物㗎 你呀慳我呀慳
[00:16:19.960 --> 00:16:43.960]  因為我哋兩個冇時間行公司嘅 冇時間生日禮物都冇 我覺得平時我哋兩個對對方好好 要好好 須要靠咁樣嚟度 我真係見到啲夫妻買嘢仲帶埋條單返去 睇下冇呃你啦 149蚊入數咩你 帶條單返去
[00:16:43.960 --> 00:17:04.960]  有時呢啲危險呢就係我開始覺得呢啲反映到啲事發生咗 你越計算緊嘅時候呢其實你已經有啲覺得自己好不幸嘅感覺 買錯貨嘅感覺 所以小心 呢個又係一個問題 仲有問題啦 呢個第五個問題啦
[00:17:04.960 --> 00:17:23.960]  我自己真係一個婚姻顧問好多年 不過而家我太太死咗之後我從來都唔掂做呢一瓣 就係我覺得人點解結婚呢 其實抵抗唔到一樣嘢呢 呢個就係創世紀講嘅 抵抗唔到孤單
[00:17:23.960 --> 00:17:46.960]  其實我哋一十幾歲呢 你話追女仔鍾意男仔乜都好呢 其實當時呢你唔係真係好投入嘅 其實你孤單解決到嘅 你去打波 有啲波友 你鍾意打機 你鍾意讀書 好多人陪你其實
[00:17:46.960 --> 00:18:05.960]  所以你大學生 我以前我教理工 我有五年啲大學生拍拖拍散拖 我發覺佢哋唔一定好傷 因為佢哋好容易彌補到 佢有好多嘢教學生會 就要做part time 有啲搞小生意 佢哋好多嘢係唔孤單嘅
[00:18:05.960 --> 00:18:29.960]  但偏偏呢真係了倦之還 出嚟做嘢做咗兩三年三四年之後發覺到睇書睇夠啦 進修都差唔多啦 唉 生活冇內容 不如真係嫁佢啦 開始走呢條路啦 所以我昨日同一個廣告嘅專家講 一個基督徒係上過星火飛騰
[00:18:29.960 --> 00:18:54.960]  佢嗰個意見畀我好好聽 佢話呢根本上係25歲呢個關口嘅上落呢係好多人迷失咗嘅 即係大約係18歲至33歲呢18年裏面呢 感情呀成為咗一個好多好多轉折嘅位嚟
[00:18:54.960 --> 00:19:16.960]  18年喎真係唔少 即係而家好多人辭婚嘅 你見到個後生仔27、28結婚 你覺得佢太早喇 香港已經係 下十年 18係啱啱 你好野好 清醒 十五年裏面呢18至33裏面呢 呢十五年呢係完全呀可能拍過幾次
[00:19:16.960 --> 00:19:37.960]  後來又分咗手 轉咗幾次工 甚至諗過去外國 咁多係同唔係 係同唔係 其實佢裏面好想等咩呢 等有一個客觀啲嘅意見畀佢 但係冇人理佢 因為佢嗰個年紀呢佢唔會聽父母講嘢㗎
[00:19:37.960 --> 00:19:58.960]  亦都有個危險就係聽父母講嘢就係證明呢佢未大過 更加想證明唔係 更加唔會問父母 佢啲朋友咁高咁大 可能失敗經驗唔同多過成功經驗 佢搵邊個 冇理由搵個再細個傾呀 咁見到所謂心理輔導專家話中語病人咁樣 咁點搞呀咁
[00:19:58.960 --> 00:20:16.960]  所以我諗教會出面最輕就係訓練課程工作坊 因為佢個身份唔係病人 我學其實佢幫佢自己 呢個問題啦 你有冇諗過你曾經抗拒孤單嘅過程係點樣呢
[00:20:16.960 --> 00:20:37.960]  好多人以為結咗婚就可以冇咗孤單 你問夫婦團啲專家你哋呢 你一定話no 結咗婚仲孤單 又唔係嘛 即係唔係稅單嗰度可以一齊報稅咁簡單 孤單就聽咗孤單 咩叫孤單呢
[00:20:37.960 --> 00:20:55.960]  唔係保險嗰啲孤兒單嗰啲 孤單講清楚 孤單即係你突然間兩個坐埋一齊唔代表互通嘅心靈唔代表 突然間你感覺到朝頭早食嗰啲早餐 甚至有時兩個都唔係好想一齊旅行
[00:20:55.960 --> 00:21:14.960]  兩個旅行仲慘 冇其他人傾計 嘩就係對住你 真係陰公 又要作定好多稿見你 真係好辛苦呀 好辛苦呀 所以好多人鍾意 撩埋邊個撩埋邊個 其實搞乜鬼呀 撩咁多人呢就唔使淨係單調老婆
[00:21:14.960 --> 00:21:31.960]  點解搞到咁樣呀 因為根本上你就唔可以單獨對佢嘅時候突然間覺得你好陌生 所以孤單反映到個問題生個仔生個女生多幾個 大家轉移咗去個仔
[00:21:31.960 --> 00:21:51.960]  到個仔大學宿舍去英國 死啦 我唔慣見你 好耐冇見到咁樣 即係兩公婆突然間覺得原來我哋唔識咗好多年 呢個係嚴重問題嚟㗎 你曉唔曉得對呢個孤單重新諗過你需唔需要佢呢
[00:21:51.960 --> 00:22:12.960]  講返個埋身 我未得你同意 但係講一個經驗對你有益嘅 所以我講啫 就我識佢嘅時候呢 我坦白大家聽 我諗你哋聽我youtube知道 我最後見我死嗰個太太呢 佢最後嗰面呢喺仰和入去急症室嘅時候呢 佢望住我笑嘅
[00:22:12.960 --> 00:22:29.960]  兩分鐘後佢就斷咗氣 我再認識佢嘅時候呢 我發覺佢又係笑嘅 嗰個笑呢令我覺得好熟口面 呢個都係仰和姑娘嚟㗎
[00:22:29.960 --> 00:22:50.960]  我覺得好熟口面 我對嗰個笑容成為我個人生一個好大嘅鼓勵 後來我太太離開世界之後 我每個月都係一次呢 每個月都有個禮拜六去博弗林墳場 一個人 我去咗九年
[00:22:50.960 --> 00:23:06.960]  我就係回憶嗰個笑容 嗰個笑容俾我好多希望 因為佢唔係好苦咁樣斷氣 亦都唔係喊咁樣呢 我就你死啦 佢望住我笑 所以對我嚟講好健康
[00:23:06.960 --> 00:23:26.960]  後來我再遇到一個又係望住我笑 佢最特別嘅地方就係 唔好意思又拋你 我太太以前去啲商場洗手間 通常女性係好耐嘅 男人通常係企喺度咁樣好似啲管理員行嚟行去
[00:23:26.960 --> 00:23:51.960]  佢好耐出嚟個樣同我太太一樣 望住我笑 原來孤單要解決嘅問題就係你搵到你個心裏面去同意認同你嘅感覺 你好期望佢望住你笑 而佢真係望住你笑
[00:23:51.960 --> 00:24:08.960]  我諗我哋呢個日子好值得珍惜 有好多夫妻係好開心喺初初 甚至未結婚嘅時候 係望住佢笑 有幾多夫妻可以30年都係笑呢
[00:24:08.960 --> 00:24:30.960]  你試下好好啊MC真係好好啊 望住你笑呢個笑呢係代表我好榮幸我哋今日仲可以喺埋一齊 好多享受嚟㗎係唔使你咩娛樂節目嘅 望到佢就笑 當然你話我笑唔出
[00:24:30.960 --> 00:24:46.960]  有個原因就係你冇了結一啲好瑣碎嘅嘢 其實佢唔係唔可愛 好多瑣碎係卡住你嘅 所以嗰個How即係如何面對困難係需要跟進嘅 但係你都可以解決嘅 因為你用包容
[00:24:46.960 --> 00:25:04.960]  嗰個嘢唔係咁大件事嚟嘅 好多時候我做婚姻輔導我成日同人講就係 唔好當得咁真 佢鬧我肥㗎喎 唔好當得咁真 即係唔好當得咁真 佢可能講畀你聽嘅意思就係你瘦返少少就好睇啦咁解
[00:25:04.960 --> 00:25:28.960]  即係唔好咁真 佢憎你肥 佢唔係憎你肥 而係覺得呢個不幸 你肥咗少少 即係你唔好當得咁真 佢唔係憎你呀 佢係憎你嗰啲脂肪 佢唔係憎你呀 你唔好當得咁真 好多人當得太真呀 所以你覺得我憎死佢咁講 你當得太真
[00:25:28.960 --> 00:25:48.960]  真係人世間 逢一感情嘅嘢呢 係加鹽加醋嘅 有情感講嘅 你唔好當得咁真 你會舒服好多嘅 所以我見到好多夫妻呢係好幽默嘅 好幽默嘅 佢又笑我肥 佢又笑我肥 梗係啦 佢食都唔肥咁樣 佢哋冇嘢嘅 冇嘢嘅
[00:25:48.960 --> 00:26:17.960]  但係你覺得有嘢就係佢覺得佢唔尊重你 佢唔係唔尊重你 佢唔識講得好啫 你再問佢我畀個十句你講好啲得唔得呀 佢都諗唔到嘅 因為佢弱智㗎嘛 佢真係諗唔到點講㗎 我講嘅弱智係講個感情上弱智 即係係弱智嘅 佢幾時讀過書呢啲書呢啲書冇人訓練佢 冇人教過佢㗎嘛 佢就靠自己作嘢㗎嘛 作極都係咁多㗎 你畀佢十句 所以我時覺得我同太太講話
[00:26:17.960 --> 00:26:38.960]  如果你憎你老公呢你叫佢你改十次係好過呢句 你講完之後都係咁渣 咁你要原諒佢 佢係咁多㗎嘛 佢係咁多嘅時候點解你要逼佢 佢做唔到呀 唔係佢唔想佢做唔到呀嘛 我覺得有時做唔到有利歸於做唔到嗰個 呢個係合理啦 第六個問題啦
[00:26:38.960 --> 00:27:04.960]  其實克服孤單點克服呢 我唔知道你講正我哋 我哋兩個真係有啲孤單 兩個喺埋一齊都孤單 其實個問題就係你忘記咗一樣嘢呢 其實兩夫婦最渴求嘅嘢就係被了解 被了解
[00:27:04.960 --> 00:27:29.960]  佢有冇能力了解我 第一就係被了解嗰個需要係有嘅 不過要講嗰個人呢係講得佢明為止嘅 呢個就係耐性嘅問題啦 譬如舉個例 我諗Armbrace睇到我都有樣嘢唔開胃嘅就係我好鍾意諗呀睇書呀諗
[00:27:29.960 --> 00:27:50.960]  我睇好多書呀 我真係多到睇完咗我就扔垃圾桶 因為我屋企冇地方擺呀 我諗佢認識我呢 佢見到我成日都講好多好新嘅嘢呢 我最近又睇過好多嘢咁樣呢 點解我咁鍾意睇呢 好多人都唔明點解我咁鍾意睇呢
[00:27:50.960 --> 00:28:11.960]  我睇嚟做咩呢 我個人係自細畀爸爸呢 因為我小學一年班我爸爸已經返屋企呢 扔份報紙埋嚟㗎啦咁我就拆開睇㗎 我細佬仲細 我睇到幼稚園睇報紙㗎 即係我哋好細個呢就係唔出聲呢就去睇㗎就去諗就去睇㗎
[00:28:11.960 --> 00:28:36.960]  對我講好多年好多年一個習慣嚟㗎 習慣嚟㗎 嗰日冇乜嘢諗通諗 嗰日唔係好舒服㗎 唔係好舒服㗎 所以有時呢阿Place會問我其實你係咪真係需要娶老婆呢 你已經25個鐘頭都唔夠㗎喎 你係咪真係已經其實白忙秋空嚟拍拖呢
[00:28:36.960 --> 00:28:54.960]  你係咪已經其實你已經係好豐富嘅生活 需唔需要結婚呢 你已經好豐富 豐富到不得了咁樣 每一次呢我發到呢我都唔係答得好好喎 我成日想證明就係呢我鍾意你同埋我鍾意睇你係兩件好唔同嘅事嚟㗎
[00:28:54.960 --> 00:29:17.960]  就係我想住早餐同埋食晚餐係兩種唔同嘅餐嚟㗎 食咗早餐唔代表唔食晚餐㗎 但問題就係呢 呢樣嘢呢係要被了解呢係唔容易㗎 係唔容易㗎 因為佢唔係呢種習慣㗎 我亦都唔係佢嗰種習慣 被了解最終都係三成至四成到差唔多啦
[00:29:17.960 --> 00:29:44.960]  都係生生地㗎 即係你食飯燒烤牛肉嗰啲你就明㗎 生生地㗎 生生地可以收貨㗎 因為你冇辦法完全了解佢㗎 因為仲有50%係其實佢都唔知自己講緊乜嘢 佢都唔係了解到佢自己嘅 所以佢企圖呢畀你認識佢 但佢講極窮盡呢佢都係畀到五成到咋 所以你能夠認到佢三成你已經好叻㗎啦 好叻㗎啦
[00:29:44.960 --> 00:30:08.960]  其實呢個就解佢孤單 你一覺得佢明呢 明少少呢嗰種開心呀係好開心㗎 我唔知你感覺到 其實夫妻嘅快樂呢就係呢樣嘢 就係有一個習慣你出之明白到點解咁鍾意啦 而佢又覺得係喎呢個係答案啦 兩個一齊個感覺係成功 好成功嘅感覺嚟㗎
[00:30:08.960 --> 00:30:35.960]  我哋兩個喺11月2號理工出事之前我哋搞咗一個畀香港300個癌症病人嘅大聚會 嗰個係我諗我哋兩個代表作嚟㗎 點解代表作呢 就係我好佩服佢做咗一件我做唔到嘅嘢 就係佢好叻呢逐個搵apps又好打電話又好 我係永遠都唔會 所以你打電話畀我冇意義 我唔會覆電話㗎
[00:30:35.960 --> 00:30:57.960]  我係好怕人哋講幾多唔完個感覺 但係佢好厲害呀佢有辦法講完又可以講300次冇問題 我覺得真係夾住你真係正呀 我做唔到啲嘢全部你做得好好 因為我真係做唔到呢啲嘢 我寧願你講課堂舉辦呀搵我嚟講talk得啦 你報名你解禁佢呀 唔該你咁樣
[00:30:57.960 --> 00:31:18.960]  但係呢佢做到呢樣嘢成功係咩成功就係竟然間11月2號星期六下晝紅磡隧道行唔到 佐敦要封 竟然間有280個cancer人哋理工聽呢個講座 280個喎唔係講笑喎 生cancer喎 嚟喎唔係講笑喎
[00:31:18.960 --> 00:31:40.960]  嗰個成功感覺係好快樂真係好快樂 唔係話服事到人 而係話我哋個夢呀係見到出現到呀 當時真係諗過改企改去邊度呀 你估唔估我可唔可以幫佢畀我租 好多問題解決唔到 但係有時你覺得大家了解對方就係我哋好想做到呢樣嘢 我哋好想做呢樣嘢
[00:31:40.960 --> 00:32:02.960]  如果你話克服孤單就係我哋好需要被了解 所以你不妨呢你今晚黑或者分組寫低我仲唔係好明佢嗰啲嘢呢你試下寫曬出嚟呢個就係你一生嘅功課 譬如話呢我就唔好明佢點解佢咁憎我阿媽咁樣一路寫寫寫寫
[00:32:02.960 --> 00:32:28.960]  我唔好明佢點解朝朝早一定要飲早茶 我就唔好明佢 你寫曬出嚟寫曬出嚟 然後呢請佢你教我你教我咁樣 嗱講明喎佢教你嗰啲你唔一定要同意㗎喎 明唔明呀 唔一定㗎喎可能你阿媽又似佢阿媽佢又憎佢阿媽佢又憎你阿媽 可能好多嘢呢唔明㗎喎你唔使接受㗎 但係你最要有機會畀佢足夠時間講
[00:32:28.960 --> 00:32:52.960]  我哋做癌症工作呢好強調就係就算你屋企分開兩邊嘅意見就係呢個話開刀救阿媽呢個就話阿媽年紀咁老啦開刀阿媽好辛苦㗎就咁去啦咁樣兩邊意見爭吵爭吵我出嚟我會講咩呢我答案就係足夠嘅討論
[00:32:52.960 --> 00:33:18.960]  明日再傾 傾呀 明日再傾 明晚再傾 禮拜六再傾 禮拜一再傾 我唔理你嘅結果係開刀定唔開刀都冇事嘅因為有足夠嘅討論 當你有足夠討論呢大家就算係開同唔開呢大家覺得我哋一家人已經經過咗十日十夜呢好詳細乜嘢好處唔好處講曬㗎啦
[00:33:18.960 --> 00:33:47.960]  投票好執照好乜都好冇問題嘅因為我哋好伏呢我哋講咗應該講嘅嘢啦大家都知道對方講曬係乜嘢啦人最激氣就係呢佢唔聽我講嗰陣時我本來講佢唔聽我忠告呢個就話呢我使唔使聽你講咁樣係衰咗咁嘅啫當你有足夠討論呢你發覺到出之呢兩個唔同嘅睇法呢變成一個睇法就係我哋有爭論
[00:33:47.960 --> 00:34:12.960]  我哋有睇到好同唔好不過始終要揀一個我哋揀咗呢個係用我們揀咗呢個係我哋揀嘅冇事嘅夫妻最慘就係好多決定買樓乜都好係你揀嘅唔係我揀嘅係我哋揀就冇事嘅個結果我哋一齊承受嘅係冇事嘅甚至到因為呢個爭論嘅過程呢我哋關係仲好咗嘅
