
[00:00:00.000 --> 00:00:04.280]  各位大型節目的人們 平安
[00:03:09.440 --> 00:03:10.640]  一殺完你
[00:03:10.640 --> 00:03:13.800]  一戒完你
[00:03:13.800 --> 00:03:14.360]  你都不知道
[00:03:14.360 --> 00:03:15.720]  然後又見到血
[00:03:15.720 --> 00:03:17.000]  可以很快的
[00:03:17.000 --> 00:03:18.840]  甚至魂與靈
[00:03:18.840 --> 00:03:19.960]  骨節與骨髓
[00:03:19.960 --> 00:03:22.000]  我們一直在講教會是身體
[00:03:22.000 --> 00:03:23.200]  身體裡面
[00:03:23.200 --> 00:03:24.800]  你的骨節骨髓
[00:03:24.800 --> 00:03:27.240]  你想想多鋒利
[00:03:27.240 --> 00:03:29.280]  都能刺入
[00:03:29.280 --> 00:03:30.640]  否開
[00:03:30.640 --> 00:03:31.520]  連心中
[00:03:31.520 --> 00:03:32.440]  這個很重要
[00:03:32.440 --> 00:03:37.520]  你心中的意念和主義都能夠辨明
[00:03:37.520 --> 00:03:39.680]  原來神的道應該是這樣的
[00:03:39.680 --> 00:03:41.200]  所以那次我看一篇文章
[00:03:41.200 --> 00:03:43.360]  是一位外國的牧者寫的
[00:03:43.360 --> 00:03:45.600]  他說如果我們做教會講道
[00:03:45.600 --> 00:03:46.520]  你記住
[00:03:46.520 --> 00:03:48.160]  你不是一個娛樂
[00:03:48.160 --> 00:03:50.840]  你不是娛樂人家
[00:03:50.840 --> 00:03:52.840]  更加不是按摩
[00:03:52.840 --> 00:03:54.640]  如果你的教友聽完
[00:03:54.640 --> 00:03:55.520]  每次聽完都會說
[00:03:55.520 --> 00:03:55.800]  哎呀
[00:03:55.800 --> 00:03:58.240]  真的很舒服
[00:03:58.240 --> 00:03:59.760]  你不要開心
[00:03:59.760 --> 00:04:01.000]  我們講道
[00:04:01.000 --> 00:04:02.360]  他用這句經文講
[00:04:02.360 --> 00:04:05.480]  是要令到人家的內心有反省的
[00:04:05.480 --> 00:04:06.640]  如果有一天
[00:04:06.640 --> 00:04:08.080]  你能夠聽到道
[00:04:08.080 --> 00:04:09.800]  你覺得我有反省
[00:04:09.800 --> 00:04:11.680]  有扎心
[00:04:11.680 --> 00:04:12.840]  你真的感謝主
[00:04:12.840 --> 00:04:13.920]  你不是不開心
[00:04:13.920 --> 00:04:17.960]  因為其他人瞭解不了你的心思
[00:04:17.960 --> 00:04:18.520]  意念
[00:04:18.520 --> 00:04:20.880]  不知道你不知道聖經是什麼
[00:04:20.880 --> 00:04:22.840]  但上帝知道你不知道什麼
[00:04:22.840 --> 00:04:24.480]  可能他透過不同的牧者
[00:04:24.480 --> 00:04:26.560]  不同的經文去提醒你
[00:04:26.560 --> 00:04:28.880]  所以你應該覺得很感恩
[00:04:28.880 --> 00:04:32.400]  上帝透過道來提醒你
[00:04:32.400 --> 00:04:34.240]  在《華本修訂版》
[00:04:34.240 --> 00:04:35.760]  他更加傳神
[00:04:35.760 --> 00:04:39.800]  他說比一切兩人的劍更鋒利
[00:04:39.800 --> 00:04:41.560]  這個是上帝的道
[00:04:41.560 --> 00:04:43.920]  上帝的道應該是活的
[00:04:43.920 --> 00:04:47.080]  應該是會激勵到人心的
[00:04:47.080 --> 00:04:49.040]  所以那次有一次聽道
[00:04:49.040 --> 00:04:51.000]  有個很出名的牧師
[00:04:51.000 --> 00:04:52.840]  他也寫了很多著作
[00:04:52.840 --> 00:04:55.200]  很多十年前已經寫了很多著作
[00:04:55.200 --> 00:04:56.720]  他回憶回來
[00:04:56.720 --> 00:04:59.560]  那次他講道
[00:04:59.560 --> 00:05:00.760]  他有一次講完道
[00:05:00.760 --> 00:05:03.320]  有個弟兄來找他
[00:05:03.320 --> 00:05:04.280]  投訴他
[00:05:04.280 --> 00:05:06.520]  他說你為什麼投訴我呢?
[00:05:06.520 --> 00:05:07.280]  牧師
[00:05:07.280 --> 00:05:09.720]  你為什麼講道的時候講我?
[00:05:09.720 --> 00:05:11.840]  牧師說我什麼時候講你?
[00:05:11.840 --> 00:05:13.280]  你剛才舉的例子
[00:05:13.280 --> 00:05:15.280]  和太太又怎麼樣
[00:05:15.280 --> 00:05:16.400]  那個就是我
[00:05:16.400 --> 00:05:18.160]  你為什麼講我?
[00:05:18.160 --> 00:05:21.160]  他說某某弟兄
[00:05:21.160 --> 00:05:22.520]  其實我真的不是講你
[00:05:22.520 --> 00:05:23.920]  你剛才講的東西
[00:05:23.920 --> 00:05:25.200]  我原本都不知道
[00:05:25.200 --> 00:05:26.560]  我剛剛才知道
[00:05:26.560 --> 00:05:27.880]  其實我講的例子
[00:05:27.880 --> 00:05:30.120]  我在哪本書的第幾頁
[00:05:30.120 --> 00:05:32.240]  其實早就寫了
[00:05:32.240 --> 00:05:33.560]  其實他說那個弟兄
[00:05:33.560 --> 00:05:35.880]  應該聽完之後是感恩
[00:05:35.880 --> 00:05:37.880]  因為原來是上帝
[00:05:37.880 --> 00:05:41.560]  透過他的道來提醒他
[00:05:41.560 --> 00:05:42.880]  去激勵他
[00:05:42.880 --> 00:05:44.080]  所以大家要記住
[00:05:44.080 --> 00:05:46.760]  神的道是活潑的
[00:05:46.760 --> 00:05:48.520]  是有功效的
[00:05:48.520 --> 00:05:51.760]  比一切兩刃的劍更鋒利
[00:05:51.760 --> 00:05:52.840]  甚至雲與零
[00:05:52.840 --> 00:05:53.800]  骨折與骨碎
[00:05:53.800 --> 00:05:55.440]  都能刺入口開
[00:05:55.440 --> 00:05:59.160]  連你心中的思念和主義
[00:05:59.160 --> 00:06:01.680]  他都知道
[00:06:01.680 --> 00:06:05.120]  今天講城市宣教
[00:06:05.120 --> 00:06:05.960]  記住
[00:06:05.960 --> 00:06:07.800]  我不是說城市宣教
[00:06:07.800 --> 00:06:10.040]  重要就等於其他不重要
[00:06:10.040 --> 00:06:11.320]  而只不過今天很想
[00:06:11.320 --> 00:06:14.480]  將重點放在城市宣教
[00:06:14.480 --> 00:06:17.320]  肯定是其中一個耶穌
[00:06:17.320 --> 00:06:19.280]  上門徒去做的事
[00:06:19.280 --> 00:06:21.800]  我們上次講學他的樣式
[00:06:21.800 --> 00:06:23.600]  我們今天學另一樣
[00:06:23.600 --> 00:06:26.920]  在路加福音第十章裡面
[00:06:26.920 --> 00:06:28.240]  曾經有一個標題
[00:06:28.240 --> 00:06:31.640]  主差遣七十二人
[00:06:31.640 --> 00:06:34.040]  有些經卷是寫七十個
[00:06:34.040 --> 00:06:35.000]  但是你記住
[00:06:35.000 --> 00:06:37.520]  總之耶穌曾經差遣了一群人
[00:06:37.520 --> 00:06:38.480]  去哪裡呢?
[00:06:38.480 --> 00:06:40.000]  在十章一節裡面說
[00:06:40.000 --> 00:06:41.960]  這些事以後
[00:06:41.960 --> 00:06:44.360]  主另外指定七十二人
[00:06:44.360 --> 00:06:46.320]  差遣他們兩個
[00:06:46.320 --> 00:06:48.720]  兩個地在他前面
[00:06:48.720 --> 00:06:53.160]  往自己所要到的各城各地去
[00:06:53.160 --> 00:06:55.360]  一會兒給你看
[00:06:55.360 --> 00:06:58.440]  耶穌很強調城市這個觀念
[00:06:58.440 --> 00:07:00.920]  大家今天去想的時候
[00:07:00.920 --> 00:07:02.240]  其中一個為什麼會覺得
[00:07:02.240 --> 00:07:03.760]  聖經好像在天上
[00:07:03.760 --> 00:07:07.320]  或者覺得很遙遠而應用不了
[00:07:07.320 --> 00:07:09.120]  比如說城市
[00:07:09.120 --> 00:07:10.400]  你會不會想過
[00:07:10.400 --> 00:07:11.840]  其實在聖經裡面
[00:07:11.840 --> 00:07:13.480]  都出現很多城市呢?
[00:07:13.480 --> 00:07:14.120]  你說不是
[00:07:14.120 --> 00:07:16.320]  我一想聖經是二千多年前
[00:07:16.320 --> 00:07:17.880]  至少耶穌的時代
[00:07:17.880 --> 00:07:19.640]  已經不要算舊約了
[00:07:19.640 --> 00:07:22.320]  二千多年前怎麼會城市
[00:07:22.320 --> 00:07:24.640]  怎麼會先進呢?
[00:07:24.640 --> 00:07:28.120]  我這裡很想和大家談談
[00:07:28.120 --> 00:07:29.600]  當時的城市
[00:07:29.600 --> 00:07:31.880]  你要用當時的城市去想
[00:07:31.880 --> 00:07:32.520]  就是什麼?
[00:07:32.520 --> 00:07:35.320]  因為當時是有城市
[00:07:35.320 --> 00:07:36.400]  有鄉村
[00:07:36.400 --> 00:07:37.480]  走到今天
[00:07:37.480 --> 00:07:38.640]  有城市
[00:07:38.640 --> 00:07:39.560]  有鄉村
[00:07:39.560 --> 00:07:41.640]  大家開始記住這一點
[00:07:41.640 --> 00:07:42.760]  你在這裡看的時候
[00:07:42.760 --> 00:07:43.680]  你一直在看聖經
[00:07:43.680 --> 00:07:45.520]  當聖經說到城市
[00:07:45.520 --> 00:07:46.720]  因為路加醫生是一個
[00:07:46.720 --> 00:07:49.040]  寫東西很準確的人
[00:07:49.040 --> 00:07:50.160]  他說是城市就是城市
[00:07:50.160 --> 00:07:52.960]  因為他有另外一些字是說鄉村的
[00:07:52.960 --> 00:07:54.560]  我慢慢會和你看你就會明白
[00:07:54.560 --> 00:07:57.160]  但是這一刻我想你調整一下
[00:07:57.160 --> 00:07:59.840]  當你想起聖經的城市
[00:07:59.840 --> 00:08:01.320]  你不要用現在這個角度
[00:08:01.320 --> 00:08:03.040]  我們有WiFi
[00:08:03.040 --> 00:08:03.560]  他沒有
[00:08:03.560 --> 00:08:04.920]  他落後
[00:08:04.920 --> 00:08:05.600]  我們有Zoom
[00:08:05.600 --> 00:08:06.200]  他沒有
[00:08:06.200 --> 00:08:06.800]  他落後
[00:08:06.800 --> 00:08:07.800]  不是這麼想
[00:08:07.800 --> 00:08:12.000]  而是想起當時他的城市是什麼呢?
[00:08:12.000 --> 00:08:14.000]  當時他的鄉村是什麼?
[00:08:14.000 --> 00:08:18.640]  而當時耶穌怎麼去在城市傳福音
[00:08:18.640 --> 00:08:20.640]  可能我們今天都要效法
[00:08:20.640 --> 00:08:23.480]  怎麼在我們的城市傳福音
[00:08:23.480 --> 00:08:25.280]  我們看看怎麼去形容
[00:08:25.280 --> 00:08:26.800]  怎麼落地
[00:08:26.800 --> 00:08:29.480]  首先我們和大家一起降落了
[00:08:29.480 --> 00:08:32.040]  在溫哥華這個地方
[00:08:32.040 --> 00:08:33.360]  其實我可以告訴你
[00:08:33.360 --> 00:08:35.840]  你可以套用在所有的城市
[00:08:35.840 --> 00:08:37.560]  你都相信是適合的
[00:08:37.560 --> 00:08:40.280]  如果我們首先去到溫哥華
[00:08:40.280 --> 00:08:41.480]  很漂亮吧
[00:08:41.480 --> 00:08:43.000]  很漂亮的溫哥華裡面
[00:08:43.000 --> 00:08:45.080]  如果我和你Zoom近一點
[00:08:45.080 --> 00:08:46.600]  而每一個城市
[00:08:46.600 --> 00:08:48.040]  你看它的夜景
[00:08:48.040 --> 00:08:49.120]  看它的明信片
[00:08:49.120 --> 00:08:50.680]  都可以是很漂亮的
[00:08:50.680 --> 00:08:53.120]  但是你如果再Zoom近一點的時候
[00:08:53.120 --> 00:08:54.640]  你會發現
[00:08:54.640 --> 00:08:57.680]  每一個特別先進的城市
[00:08:57.680 --> 00:09:00.120]  可能它都有不同的街道
[00:09:00.120 --> 00:09:05.640]  有些街道可能是比較多貧窮的人在聚集
[00:09:05.640 --> 00:09:07.120]  而當你再Zoom近一些
[00:09:07.120 --> 00:09:09.000]  某一個角落的時候
[00:09:09.000 --> 00:09:12.920]  你可能會看到有些在這裡吃飯
[00:09:12.920 --> 00:09:14.840]  或者你甚至看到
[00:09:14.840 --> 00:09:16.480]  有些可能帶著寵物
[00:09:16.480 --> 00:09:18.080]  可能是貓 可能是狗
[00:09:18.080 --> 00:09:20.040]  一起在這裡流浪
[00:09:20.040 --> 00:09:22.600]  在這裡露宿街頭
[00:09:22.600 --> 00:09:24.440]  城市有什麼特色
[00:09:24.440 --> 00:09:25.440]  為什麼我說
[00:09:25.440 --> 00:09:27.200]  其實剛才我說的那些情景
[00:09:27.200 --> 00:09:30.040]  可以幾乎套用在每一個城市
[00:09:30.040 --> 00:09:33.800]  因為這個是它們的特色
[00:09:33.800 --> 00:09:35.800]  或者就說城市的特色是什麼
[00:09:35.800 --> 00:09:37.280]  很擠逼
[00:09:37.280 --> 00:09:38.040]  當然了
[00:09:38.040 --> 00:09:40.120]  寸金尺土
[00:09:40.120 --> 00:09:40.960]  很擠逼的
[00:09:40.960 --> 00:09:43.560]  因為建的那些樓越建越高
[00:09:43.560 --> 00:09:45.880]  人們都說溫哥華二十多年前
[00:09:45.880 --> 00:09:48.040]  肯定沒有那麼多高樓大廈
[00:09:48.040 --> 00:09:49.600]  現在有樓就建了
[00:09:49.600 --> 00:09:53.760]  如果幾間以前的房子就拆了它
[00:09:53.760 --> 00:09:55.440]  然後就說建六個
[00:09:55.440 --> 00:09:58.640]  又不知道六個什麼townhouse
[00:09:58.640 --> 00:09:59.720]  那麼多少個townhouse
[00:09:59.720 --> 00:10:00.520]  又拆了它
[00:10:00.520 --> 00:10:03.440]  又建多少個high rise apartment
[00:10:03.440 --> 00:10:04.040]  是不是
[00:10:04.040 --> 00:10:05.480]  很擠逼的
[00:10:05.480 --> 00:10:07.160]  犯罪率很高的
[00:10:07.160 --> 00:10:08.360]  因為很多時候就是
[00:10:08.360 --> 00:10:08.880]  為什麼
[00:10:08.880 --> 00:10:10.240]  因為生活指數高
[00:10:10.240 --> 00:10:11.680]  因為貧富懸殊
[00:10:11.680 --> 00:10:13.120]  因為很多原因
[00:10:13.120 --> 00:10:16.000]  因為根本人們住不起樓
[00:10:16.000 --> 00:10:18.840]  然後有不同的國籍的人居住
[00:10:18.840 --> 00:10:19.320]  是哦
[00:10:19.320 --> 00:10:22.440]  就是你鄉村可能全部都是
[00:10:22.440 --> 00:10:23.880]  幾乎同一個姓
[00:10:23.880 --> 00:10:26.160]  久不久才有些所謂外省人
[00:10:26.160 --> 00:10:27.760]  你應該覺得很特別的
[00:10:27.760 --> 00:10:29.240]  來到我們這個村
[00:10:29.240 --> 00:10:30.520]  但是如果你在這裡
[00:10:30.520 --> 00:10:31.160]  是不是
[00:10:31.160 --> 00:10:31.720]  你一上
[00:10:31.720 --> 00:10:33.000]  這裡有一輛巴士
[00:10:33.000 --> 00:10:33.640]  是不是
[00:10:33.640 --> 00:10:34.400]  什麼國籍
[00:10:34.400 --> 00:10:35.080]  很多國籍
[00:10:35.080 --> 00:10:37.560]  可能一輛巴士裡面有十幾個國籍
[00:10:37.560 --> 00:10:40.000]  這個城市的一個特色
[00:10:40.000 --> 00:10:43.720]  有不同的宗教信仰
[00:10:43.720 --> 00:10:46.640]  在希臘文裡面有兩個字
[00:10:46.640 --> 00:10:49.120]  一個字就叫做kormi
[00:10:49.120 --> 00:10:49.960]  就好像英文的
[00:10:49.960 --> 00:10:50.760]  叫做kormi
[00:10:50.760 --> 00:10:53.280]  希臘文差不多讀法就是kormi
[00:10:53.280 --> 00:10:54.600]  kormi這個字
[00:10:54.600 --> 00:10:57.000]  在路加福音裡面
[00:10:57.000 --> 00:10:58.840]  它就用了kormi這個字
[00:10:58.840 --> 00:11:00.200]  它就在說村
[00:11:00.200 --> 00:11:02.240]  我等會給你看看實際的經文
[00:11:02.240 --> 00:11:03.480]  我們先記一下這兩個字
[00:11:03.480 --> 00:11:04.560]  因為很重要
[00:11:04.560 --> 00:11:05.760]  城市叫什麼呢
[00:11:05.760 --> 00:11:08.480]  城市希臘文叫polis
[00:11:08.480 --> 00:11:10.120]  polis你看一看
[00:11:10.120 --> 00:11:13.520]  左邊那裡叫做urban area
[00:11:13.520 --> 00:11:15.440]  一個城市
[00:11:15.440 --> 00:11:19.400]  然後右邊那裡紅色就是city
[00:11:19.400 --> 00:11:20.560]  就是城市
[00:11:20.560 --> 00:11:23.120]  原來路加醫生分得很清楚
[00:11:23.120 --> 00:11:24.480]  鄉村就是鄉村
[00:11:24.480 --> 00:11:26.920]  城市就是城市
[00:11:26.920 --> 00:11:28.720]  所以這本書的作者
[00:11:28.720 --> 00:11:30.280]  他說了這句話
[00:11:30.280 --> 00:11:32.200]  他說Bible聖經
[00:11:32.200 --> 00:11:34.680]  actually is an urban book
[00:11:34.680 --> 00:11:35.960]  你說是嗎
[00:11:35.960 --> 00:11:40.440]  就是他說聖經本身就是一本城市的書
[00:11:40.440 --> 00:11:42.760]  所以我為什麼一開始叫你tune一tune
[00:11:42.760 --> 00:11:44.960]  你不是想一個落後的角度
[00:11:44.960 --> 00:11:47.320]  二千多年前去想那本聖經
[00:11:47.320 --> 00:11:50.200]  我現在想你用今天城市的角度
[00:11:50.200 --> 00:11:55.080]  去想聖經原來是一本城市的書
[00:11:55.080 --> 00:11:57.480]  你說是嗎
[00:11:57.480 --> 00:11:59.960]  我們從《創世記》開始看
[00:11:59.960 --> 00:12:01.920]  《創世記》四章十七節
[00:12:01.920 --> 00:12:03.880]  他說:該人與妻子同房
[00:12:03.880 --> 00:12:06.080]  他妻子懷孕生了以諾
[00:12:06.080 --> 00:12:08.400]  該人建造了一座城
[00:12:08.400 --> 00:12:10.760]  原來在《創世記》裡面
[00:12:10.760 --> 00:12:13.280]  已經開始建立一座城
[00:12:13.280 --> 00:12:17.440]  按著他兒子的名稱那城叫做以諾
[00:12:17.440 --> 00:12:19.160]  以前舊約的觀念
[00:12:19.160 --> 00:12:20.840]  什麼叫做一個城
[00:12:20.840 --> 00:12:23.960]  最簡單的定義
[00:12:23.960 --> 00:12:25.920]  或者你一看就知道了
[00:12:25.920 --> 00:12:26.680]  是什麼呢
[00:12:26.680 --> 00:12:32.160]  就是有城牆和城門
[00:12:32.160 --> 00:12:36.040]  原來只要他們說那是一個城
[00:12:36.040 --> 00:12:38.400]  他們就需要有一個城牆和城門
[00:12:38.400 --> 00:12:39.560]  為什麼呢
[00:12:39.560 --> 00:12:40.760]  第一是保護
[00:12:40.760 --> 00:12:42.840]  第二就是去展示給人看
[00:12:42.840 --> 00:12:44.400]  這裡就是我的地方
[00:12:44.400 --> 00:12:45.480]  所以在不同的地方
[00:12:45.480 --> 00:12:47.560]  只要有城牆 有城門
[00:12:47.560 --> 00:12:49.520]  裡面就會有些人去管轄
[00:12:49.520 --> 00:12:51.280]  好了 從《創世記》看
[00:12:51.280 --> 00:12:53.520]  你去到《啓示錄》
[00:12:53.520 --> 00:12:54.680]  有些什麼呢
[00:12:54.680 --> 00:12:56.880]  《啓示錄》22章14節
[00:12:56.880 --> 00:12:59.280]  「那些洗淨自己衣服的有福了
[00:12:59.280 --> 00:13:02.120]  可得全並能到生命樹那裡
[00:13:02.120 --> 00:13:04.520]  也能從門進城」
[00:13:04.520 --> 00:13:06.560]  當去到最後那章
[00:13:06.560 --> 00:13:07.400]  你會看到
[00:13:07.400 --> 00:13:10.360]  原來我們進入新天新地
[00:13:10.360 --> 00:13:12.160]  聖經叫這個做什麼
[00:13:12.160 --> 00:13:14.480]  原來我們去到一個城裡面
[00:13:14.480 --> 00:13:16.160]  所以你可以說
[00:13:16.160 --> 00:13:18.000]  在聖經裡面
[00:13:18.000 --> 00:13:22.640]  幾乎是由城市去做一個開始
[00:13:22.640 --> 00:13:25.520]  而最後由一個城市
[00:13:25.520 --> 00:13:30.000]  來進入一個新天新地
[00:13:30.000 --> 00:13:30.880]  在聖經裡面
[00:13:30.880 --> 00:13:33.440]  如果你找到城市這個詞
[00:13:33.440 --> 00:13:37.000]  大約出現過1250次
[00:13:37.000 --> 00:13:40.120]  而聖經上出現多少個城市呢
[00:13:40.120 --> 00:13:42.680]  大概你可以找到140個
[00:13:42.680 --> 00:13:44.440]  而在聖經裡面只是舊約
[00:13:44.440 --> 00:13:48.080]  已經提及了25種城市的事供
[00:13:48.080 --> 00:13:50.120]  你說有這麼多嗎
[00:13:50.120 --> 00:13:52.760]  例如以塞亞的時候
[00:13:52.760 --> 00:13:55.200]  以塞亞和耶利米在耶路撒冷
[00:13:55.200 --> 00:13:56.840]  他們做先知
[00:13:56.840 --> 00:13:59.680]  先知在城裡面工作
[00:13:59.680 --> 00:14:00.960]  然後就說
[00:14:00.960 --> 00:14:02.960]  但爾利和巴比倫
[00:14:02.960 --> 00:14:06.640]  但爾利在巴比倫是身居要職的
[00:14:06.640 --> 00:14:08.480]  如果你等同那個位置
[00:14:08.480 --> 00:14:10.480]  就等於現在的市長
[00:14:10.480 --> 00:14:12.840]  所以因為是一個先進的地方
[00:14:12.840 --> 00:14:14.760]  才需要有這樣的
[00:14:14.760 --> 00:14:16.520]  我們叫做一些rank
[00:14:16.520 --> 00:14:18.880]  一些的職級
[00:14:18.880 --> 00:14:19.880]  利希米做什麼
[00:14:19.880 --> 00:14:21.000]  剛才跟大家說過
[00:14:21.000 --> 00:14:22.360]  利希米回去就是
[00:14:22.360 --> 00:14:24.320]  其實是做城市規劃
[00:14:24.320 --> 00:14:25.840]  做回城牆
[00:14:25.840 --> 00:14:27.160]  做回城門
[00:14:27.160 --> 00:14:31.440]  然後有不同的職位去做
[00:14:31.440 --> 00:14:35.360]  鄉村不需要這些事情
[00:14:35.360 --> 00:14:38.440]  在路加福音14章21節下說
[00:14:38.440 --> 00:14:41.000]  他說這家的主人就發怒
[00:14:41.000 --> 00:14:42.040]  對僕人說
[00:14:42.040 --> 00:14:43.080]  快出去
[00:14:43.080 --> 00:14:46.080]  到城裡大街小巷
[00:14:46.080 --> 00:14:47.960]  領納貧窮的
[00:14:47.960 --> 00:14:49.400]  殘疾的
[00:14:49.400 --> 00:14:50.920]  失明的
[00:14:50.920 --> 00:14:52.200]  瘸腿的
[00:14:52.200 --> 00:14:53.960]  這裡說的是之前
[00:14:53.960 --> 00:14:54.920]  有一個比喻就是
[00:14:54.920 --> 00:14:58.440]  有個主人之前請了很多人來吃飯
[00:14:58.440 --> 00:15:00.760]  誰知道那些人就用不同的藉口
[00:15:00.760 --> 00:15:02.200]  就不來了
[00:15:02.200 --> 00:15:04.120]  後來主人聽到就很生氣
[00:15:04.120 --> 00:15:05.040]  我請你吃飯
[00:15:05.040 --> 00:15:06.720]  叫你服一個這麼重要的業績
[00:15:06.720 --> 00:15:07.600]  你都不理
[00:15:07.600 --> 00:15:08.480]  然後他就和這些僕人說
[00:15:08.480 --> 00:15:09.400]  快點出去
[00:15:09.400 --> 00:15:10.800]  去到 大家看不看得到
[00:15:10.800 --> 00:15:12.560]  城裡第一
[00:15:12.560 --> 00:15:14.240]  路加醫生這裡用城
[00:15:14.240 --> 00:15:15.960]  用police那個字
[00:15:15.960 --> 00:15:18.960]  然後他還說到大街小巷
[00:15:18.960 --> 00:15:20.920]  鄉村沒有這麼劃分
[00:15:20.920 --> 00:15:22.320]  但是城裡有
[00:15:22.320 --> 00:15:24.040]  在溫哥華有沒有
[00:15:24.040 --> 00:15:26.120]  有沒有大街 有
[00:15:26.120 --> 00:15:28.520]  有沒有小巷 有
