
[00:00:00.000 --> 00:00:10.000]  今天和大家去看一篇詩篇 今晚沒有powerpoint
[00:12:04.000 --> 00:12:08.000]  他們譏笑人 憑惡意說話欺壓人
[00:12:08.000 --> 00:12:15.000]  有勢力 有地位 說話自高 看不起人
[00:12:15.000 --> 00:12:17.000]  他們的口舌毒上天
[00:12:17.000 --> 00:12:23.000]  不單對其他人不好 還對上帝不好
[00:12:23.000 --> 00:12:27.000]  這群惡人不單對其他人不好 欺壓其他人
[00:12:27.000 --> 00:12:32.000]  而且藐視上帝 他們的舌毀謗全地
[00:12:32.000 --> 00:12:34.000]  當然很誇張
[00:12:34.000 --> 00:12:38.000]  作者在這裡 阿薩在說一個圖畫
[00:12:38.000 --> 00:12:40.000]  這個圖畫很多人有共鳴
[00:12:40.000 --> 00:12:47.000]  共鳴就是為何在這個世界上會有不幸的事情
[00:12:47.000 --> 00:12:53.000]  出現這麼不公義的事情在這個世界上出現
[00:12:53.000 --> 00:12:58.000]  而上天容許它出現 並且容許它很長時間
[00:12:58.000 --> 00:13:02.000]  甚至在這生中看不到它的報應
[00:13:02.000 --> 00:13:05.000]  這樣他們就不明白了
[00:13:05.000 --> 00:13:10.000]  因為在猶太人裡面他們很相信
[00:13:10.000 --> 00:13:15.000]  種瓜得瓜 因果報應 很相信這件事
[00:13:15.000 --> 00:13:20.000]  因為他們相信背後掌管著因果律
[00:13:20.000 --> 00:13:23.000]  掌管著宇宙的運行
[00:13:23.000 --> 00:13:26.000]  有時候我們讀書 見到同學
[00:13:26.000 --> 00:13:33.000]  有些同學好像不太勤力 但又考得很好的成績
[00:13:33.000 --> 00:13:36.000]  可能他晚上讀書你不知道
[00:13:36.000 --> 00:13:38.000]  沙沙塵塵的 經常對我說
[00:13:38.000 --> 00:13:40.000]  不用讀的 我拿99分
[00:13:40.000 --> 00:13:42.000]  你讀到死 拿49分
[00:13:42.000 --> 00:13:45.000]  你說為何會這樣呢
[00:13:45.000 --> 00:13:47.000]  當然我們反省 可能我們不懂讀書
[00:13:47.000 --> 00:13:50.000]  總之有些人很沙塵 很驕傲
[00:13:50.000 --> 00:13:51.000]  你不看得起他
[00:13:51.000 --> 00:13:58.000]  不知道他怎樣得到這麼好的結果
[00:13:58.000 --> 00:14:00.000]  阿撒剛才我提過
[00:14:00.000 --> 00:14:04.000]  他的憤怒不單單是這班人
[00:14:04.000 --> 00:14:10.000]  他的憤怒是究竟背後有沒有天理
[00:14:10.000 --> 00:14:13.000]  究竟上帝有沒有掌管
[00:14:13.000 --> 00:14:18.000]  今天有很多人不肯信耶穌
[00:14:18.000 --> 00:14:22.000]  或者今天有很多人覺得如果真的有上帝
[00:14:22.000 --> 00:14:24.000]  這個世界就不會這麼亂
[00:14:24.000 --> 00:14:27.000]  所以有很多藉口不肯信上帝
[00:14:27.000 --> 00:14:31.000]  或者有很多藉口去拒絕聽福音
[00:14:31.000 --> 00:14:37.000]  甚至用這些藉口去攻擊基督教
[00:14:37.000 --> 00:14:42.000]  阿撒在他的詩篇前面
[00:14:42.000 --> 00:14:48.000]  正正就是有很難解的心結
[00:14:48.000 --> 00:14:51.000]  這是第二段
[00:14:51.000 --> 00:14:56.000]  接著第十節開始
[00:14:56.000 --> 00:15:01.000]  第十節到第十四節
[00:15:01.000 --> 00:15:09.000]  提到將不幸和心裏的憤怒
[00:15:09.000 --> 00:15:12.000]  更加深化下去
[00:15:12.000 --> 00:15:14.000]  怎樣深化下去呢
[00:15:14.000 --> 00:15:17.000]  好人做不幸
[00:15:17.000 --> 00:15:18.000]  剛才沒有說什麼好人
[00:15:18.000 --> 00:15:20.000]  只是說不好人
[00:15:20.000 --> 00:15:26.000]  不好人怎樣驕傲 怎樣自高自大
[00:15:26.000 --> 00:15:31.000]  去壓迫其他人
[00:15:31.000 --> 00:15:33.000]  還有他們不會受苦的
[00:15:33.000 --> 00:15:35.000]  很健康的
[00:15:35.000 --> 00:15:38.000]  現在到第十節
[00:15:38.000 --> 00:15:41.000]  第十到第十四節
[00:15:41.000 --> 00:15:43.000]  慢慢讀 一起讀
[00:15:43.000 --> 00:15:47.000]  所以他的百姓歸到這裡
[00:15:47.000 --> 00:15:49.000]  享受滿杯的水
[00:15:49.000 --> 00:15:53.000]  他們說上帝怎能曉得
[00:15:53.000 --> 00:15:56.000]  自高者哪會知道呢
[00:15:56.000 --> 00:15:58.000]  看那這就是惡人
[00:15:58.000 --> 00:16:03.000]  他們常享安逸 財寶增多
[00:16:03.000 --> 00:16:07.000]  我實在徒然潔淨了我的心
[00:16:07.000 --> 00:16:10.000]  徒然洗手表明我的無辜
[00:16:10.000 --> 00:16:13.000]  因為我終日遭災
[00:16:13.000 --> 00:16:17.000]  每日早晨受懲治
[00:16:17.000 --> 00:16:20.000]  第十節比較難理解
[00:16:20.000 --> 00:16:23.000]  我找了幾個譯本
[00:16:23.000 --> 00:16:25.000]  找回原來是什麼意思
[00:16:25.000 --> 00:16:26.000]  第十節說
[00:16:26.000 --> 00:16:29.000]  所以他的百姓歸到這裡
[00:16:29.000 --> 00:16:32.000]  享受滿杯的水
[00:16:32.000 --> 00:16:36.000]  你看這一頁的最後
[00:16:36.000 --> 00:16:39.000]  享受水有個新的翻譯
[00:16:39.000 --> 00:16:43.000]  也就是喝盡了滿杯的苦水
[00:16:43.000 --> 00:16:45.000]  怎樣說都好
[00:16:45.000 --> 00:16:48.000]  這節我們都很難解釋得明白
[00:16:48.000 --> 00:16:52.000]  所以他的百姓歸到這裡
[00:16:52.000 --> 00:16:55.000]  喝盡了滿杯的苦水
[00:16:55.000 --> 00:16:59.000]  這樣解釋就可以比較容易一點
[00:16:59.000 --> 00:17:01.000]  新的翻譯
[00:17:01.000 --> 00:17:06.000]  就是說當這班人這樣做的時候
[00:17:06.000 --> 00:17:09.000]  這麼不公義的時候
[00:17:09.000 --> 00:17:14.000]  這麼多的壞人在這個世界得逞的時候
[00:17:14.000 --> 00:17:21.000]  百姓在這裡喝盡了苦杯的水
[00:17:21.000 --> 00:17:25.000]  這個就是其中一個翻譯
[00:17:25.000 --> 00:17:30.000]  另外有一個翻譯沒有提到百姓
[00:17:30.000 --> 00:17:32.000]  英文是這樣
[00:17:32.000 --> 00:17:35.000]  For this reason they are full of bread
[00:17:35.000 --> 00:17:38.000]  and water is even floating for them
[00:17:38.000 --> 00:17:42.000]  就是說這班人其實得了很多的東西
[00:17:42.000 --> 00:17:44.000]  不是說他們是百姓
[00:17:44.000 --> 00:17:45.000]  不是說神的百姓
[00:17:45.000 --> 00:17:47.000]  就是說這班惡人
[00:17:47.000 --> 00:17:49.000]  雖然他們做惡事
[00:17:49.000 --> 00:17:54.000]  雖然他們在這個世界上不行公義
[00:17:54.000 --> 00:17:58.000]  但是他們是滿得糧食
[00:17:58.000 --> 00:18:00.000]  還有很多水
[00:18:00.000 --> 00:18:03.000]  在巴勒斯坦地方水很寶貴
[00:18:03.000 --> 00:18:04.000]  不同於我們這裡
[00:18:04.000 --> 00:18:05.000]  我們經常下雨
[00:18:05.000 --> 00:18:06.000]  下得很煩
[00:18:06.000 --> 00:18:07.000]  在那裡很少下雨
[00:18:07.000 --> 00:18:08.000]  水很寶貴
[00:18:08.000 --> 00:18:12.000]  這班人雖然在人體上是這麼不好的人
[00:18:12.000 --> 00:18:14.000]  但是他們有很多食物
[00:18:14.000 --> 00:18:16.000]  有很多水
[00:18:16.000 --> 00:18:19.000]  因此在第十一節他們說
[00:18:19.000 --> 00:18:22.000]  上帝怎能曉得至高者哪會知道
[00:18:22.000 --> 00:18:26.000]  你明不明白意思
[00:18:26.000 --> 00:18:29.000]  他做得這麼壞也好
[00:18:29.000 --> 00:18:33.000]  他也有很多財富
[00:18:33.000 --> 00:18:36.000]  他有很多好處
[00:18:36.000 --> 00:18:40.000]  他們說上帝怎知道
[00:18:40.000 --> 00:18:42.000]  我做什麼不好處
[00:18:42.000 --> 00:18:44.000]  上帝根本不知道
[00:18:44.000 --> 00:18:46.000]  至高者怎會知道
[00:18:46.000 --> 00:18:47.000]  因為沒有報應
[00:18:47.000 --> 00:18:49.000]  沒有因果律
[00:18:49.000 --> 00:18:55.000]  所以他們更加向其他人驕傲
[00:18:55.000 --> 00:18:58.000]  說出來了
[00:18:58.000 --> 00:19:01.000]  十二節阿薩說
[00:19:01.000 --> 00:19:06.000]  這些惡人常享安逸財寶增多
[00:19:06.000 --> 00:19:08.000]  回應第十節
[00:19:08.000 --> 00:19:12.000]  第十節他們有很多糧食
[00:19:12.000 --> 00:19:14.000]  有很多水
[00:19:14.000 --> 00:19:18.000]  這些惡人常享安逸財寶增多
[00:19:18.000 --> 00:19:20.000]  然後十三節
[00:19:20.000 --> 00:19:25.000]  十三節阿薩自己說
[00:19:25.000 --> 00:19:28.000]  我實在徒然潔淨了我的心
[00:19:28.000 --> 00:19:31.000]  徒然洗手表明我的無辜
[00:19:31.000 --> 00:19:33.000]  很灰心
[00:19:33.000 --> 00:19:35.000]  為什麼要做下去呢
[00:19:35.000 --> 00:19:38.000]  因為我終日遭災難
[00:19:38.000 --> 00:19:41.000]  每日早晨受懲治
[00:19:41.000 --> 00:19:42.000]  他回看自己
[00:19:42.000 --> 00:19:44.000]  覺得自己很委屈
[00:19:44.000 --> 00:19:46.000]  覺得自己好不好
[00:19:46.000 --> 00:19:48.000]  我不知道你有沒有經歷過這樣的情況
[00:19:48.000 --> 00:19:50.000]  我不知道你看這個世界
[00:19:50.000 --> 00:19:53.000]  或者你和別人相處
[00:19:53.000 --> 00:19:55.000]  在這個世界上有沒有見過這樣的事
[00:19:55.000 --> 00:19:58.000]  有些人在公司工作
[00:19:58.000 --> 00:20:00.000]  不是很誠實
[00:20:00.000 --> 00:20:02.000]  但又很得人信任
[00:20:02.000 --> 00:20:04.000]  有些人不應該升職
[00:20:04.000 --> 00:20:06.000]  但他又在你頭上
[00:20:06.000 --> 00:20:10.000]  有些人覺得應該有報應
[00:20:10.000 --> 00:20:11.000]  不單他沒有報應
[00:20:11.000 --> 00:20:13.000]  為什麼報應自己
[00:20:13.000 --> 00:20:15.000]  困難在這裡
[00:20:15.000 --> 00:20:17.000]  所以他說我做這麼多好事
[00:20:17.000 --> 00:20:18.000]  做什麼呢
[00:20:18.000 --> 00:20:20.000]  我表明我無辜是沒有意思
[00:20:20.000 --> 00:20:25.000]  因為好像上天不再理會
[00:20:25.000 --> 00:20:30.000]  所以由第一節一直到第十四節
[00:20:30.000 --> 00:20:35.000]  他其實都是在問上帝
[00:20:35.000 --> 00:20:37.000]  你在哪裡
[00:20:37.000 --> 00:20:41.000]  為什麼你沒有作為
[00:20:41.000 --> 00:20:42.000]  其實他都在問
[00:20:42.000 --> 00:20:44.000]  而這個問題歷代以來
[00:20:44.000 --> 00:20:45.000]  直到今天為止
[00:20:45.000 --> 00:20:47.000]  很多人都會問這個問題
[00:20:47.000 --> 00:20:50.000]  神為什麼你不來
[00:20:50.000 --> 00:20:55.000]  然後我們看第十五
[00:20:55.000 --> 00:20:56.000]  因為這篇比較長
[00:20:56.000 --> 00:20:58.000]  所以我們要看快一點
[00:20:58.000 --> 00:21:01.000]  第十五到第二十節
[00:21:01.000 --> 00:21:06.000]  這裡就進入核心
[00:21:06.000 --> 00:21:08.000]  核心就是他要問
[00:21:08.000 --> 00:21:09.000]  你一起倒
[00:21:09.000 --> 00:21:11.000]  十五到二十節
[00:21:11.000 --> 00:21:14.000]  不平的時候難以明白
[00:21:14.000 --> 00:21:16.000]  但在他最不明白的時候
[00:21:16.000 --> 00:21:21.000]  他突然間找到曙光
[00:21:21.000 --> 00:21:23.000]  我們一起讀十五節
[00:21:23.000 --> 00:21:26.000]  我若說我要這樣說
[00:21:26.000 --> 00:21:30.000]  就是愧對這世代的眾兒女了
[00:21:30.000 --> 00:21:33.000]  我思索要明白這事
[00:21:33.000 --> 00:21:36.000]  眼看實是為難
[00:21:36.000 --> 00:21:39.000]  直到我盡了上帝的聖所
[00:21:39.000 --> 00:21:41.000]  思想他們的結局
[00:21:41.000 --> 00:21:45.000]  你實在把他們安放在滑地
[00:21:45.000 --> 00:21:48.000]  使他們跌倒滅亡
[00:21:48.000 --> 00:21:52.000]  他們轉眼間成了何等荒涼
[00:21:52.000 --> 00:21:55.000]  他們被驚恐滅盡了
[00:21:55.000 --> 00:21:58.000]  人誰醒了怎樣看夢
[00:21:58.000 --> 00:22:00.000]  主啊你醒了
[00:22:00.000 --> 00:22:04.000]  也必照樣輕看他們的影像
[00:22:04.000 --> 00:22:08.000]  十五到二十節是一個轉捩點
[00:22:08.000 --> 00:22:10.000]  那個轉捩點是什麼呢
[00:22:10.000 --> 00:22:12.000]  首先第十五節他這樣說
[00:22:12.000 --> 00:22:15.000]  我若說我要這樣說
[00:22:15.000 --> 00:22:18.000]  就是愧對這世代的眾兒女了
[00:22:18.000 --> 00:22:21.000]  我要這樣說就是所有人都這樣說
[00:22:21.000 --> 00:22:23.000]  一些不公義的事情
[00:22:23.000 --> 00:22:24.000]  一些不好的事情
[00:22:24.000 --> 00:22:28.000]  其實要埋怨的不是埋怨那些惡人
[00:22:28.000 --> 00:22:29.000]  你記得
[00:22:29.000 --> 00:22:31.000]  他不是說為什麼有那麼多惡人
[00:22:31.000 --> 00:22:33.000]  他埋怨為什麼上帝不理
[00:22:33.000 --> 00:22:38.000]  所以其實那個針對不是抱不平
[00:22:38.000 --> 00:22:45.000]  他針對的是為什麼審判不現在出現
[00:22:45.000 --> 00:22:48.000]  如果他這樣說
[00:22:48.000 --> 00:22:50.000]  就是愧對這個世代的兒女
[00:22:50.000 --> 00:22:52.000]  因為他沒有說出真理
[00:22:52.000 --> 00:22:54.000]  十六節他說
[00:22:54.000 --> 00:22:56.000]  我思索要明白
[00:22:56.000 --> 00:22:57.000]  眼看實為難
[00:22:57.000 --> 00:22:59.000]  因為很難解釋
[00:22:59.000 --> 00:23:01.000]  如果相信上帝的人
[00:23:01.000 --> 00:23:03.000]  而看到這個世界上有不好的事情
[00:23:03.000 --> 00:23:05.000]  很難去解釋
[00:23:05.000 --> 00:23:08.000]  不幸的事情很難解釋
[00:23:08.000 --> 00:23:11.000]  十七節有個轉捩點
[00:23:11.000 --> 00:23:13.000]  不過十七節要明白
[00:23:13.000 --> 00:23:15.000]  你就要讀後面
[00:23:15.000 --> 00:23:16.000]  你想明白
[00:23:16.000 --> 00:23:17.000]  十七節他說
[00:23:17.000 --> 00:23:20.000]  直到我盡了上帝的聖所
[00:23:20.000 --> 00:23:22.000]  思想他們的結局
[00:23:22.000 --> 00:23:23.000]  然後他就說
[00:23:23.000 --> 00:23:26.000]  神實在將他們放在滑地
[00:23:26.000 --> 00:23:28.000]  使他們跌倒等等
[00:23:28.000 --> 00:23:30.000]  但是不要忘記
[00:23:30.000 --> 00:23:31.000]  開始的時候
[00:23:31.000 --> 00:23:33.000]  他已經說這幫人
[00:23:33.000 --> 00:23:35.000]  到死的時候都沒有報應
[00:23:35.000 --> 00:23:37.000]  你氣憤在這裡
[00:23:37.000 --> 00:23:42.000]  如果你看到他最後有報應的話
[00:23:42.000 --> 00:23:44.000]  上帝是施行報應在你身上
[00:23:44.000 --> 00:23:47.000]  這樣你就不會這麼氣憤
[00:23:47.000 --> 00:23:49.000]  但因為前面說
[00:23:49.000 --> 00:23:51.000]  他們第四節
[00:23:51.000 --> 00:23:53.000]  他們力氣強壯
[00:23:53.000 --> 00:23:55.000]  死的時候都沒有疼痛
[00:23:55.000 --> 00:23:57.000]  又不像別人受苦
[00:23:57.000 --> 00:23:58.000]  又不會遭災
[00:23:58.000 --> 00:23:59.000]  又很驕傲
[00:23:59.000 --> 00:24:01.000]  很厲害
[00:24:01.000 --> 00:24:06.000]  為什麼在第十七節
[00:24:06.000 --> 00:24:10.000]  他說我盡了上帝的聖所
[00:24:10.000 --> 00:24:13.000]  思想的結局有這麼不同的看法呢
[00:24:13.000 --> 00:24:18.000]  如果人的一生
[00:24:18.000 --> 00:24:21.000]  如果我們看這個世界
[00:24:21.000 --> 00:24:24.000]  只用這個世界來看事情
[00:24:24.000 --> 00:24:27.000]  你永遠不會得到答案
[00:24:27.000 --> 00:24:30.000]  這是一個封閉的
[00:24:30.000 --> 00:24:32.000]  這個世界是一個困局
[00:24:32.000 --> 00:24:34.000]  因為這個世界是一個困局
[00:24:34.000 --> 00:24:36.000]  所以你要在世界裡找到答案
[00:24:36.000 --> 00:24:39.000]  你是永遠找不到
[00:24:39.000 --> 00:24:42.000]  改變他的看法
[00:24:42.000 --> 00:24:45.000]  要從一個永恆的眼光
[00:24:45.000 --> 00:24:47.000]  從永恆的亮光
[00:24:47.000 --> 00:24:50.000]  他才可以看到
