
[00:00:00.000 --> 00:00:03.000]  《The Prince of Egypt》
[00:04:52.000 --> 00:04:55.000]  所望之事的確據
[00:04:55.000 --> 00:04:56.000]  但是呢
[00:04:56.000 --> 00:05:01.000]  如果我讀一個Eugene Peterson的譯本給你聽
[00:05:01.000 --> 00:05:05.000]  你會對這句說話有一個完全新的看法
[00:05:05.000 --> 00:05:05.000]  他說
[00:05:05.000 --> 00:05:26.000]  他說這個信心這件事是一個基礎
[00:05:26.000 --> 00:05:29.000]  一個基本的事實
[00:05:29.000 --> 00:05:32.000]  這個事實成為了一個基礎
[00:05:32.000 --> 00:05:36.000]  成為了我們生活裡面的一個基礎
[00:05:36.000 --> 00:05:40.000]  令到你每一樣所做的事
[00:05:40.000 --> 00:05:45.000]  令到你的人生突然之間變得是值得再生活下去的
[00:05:45.000 --> 00:05:48.000]  是一個堅定的基礎
[00:05:48.000 --> 00:05:52.000]  在所有事情下讓人活著值得活著
[00:05:52.000 --> 00:05:55.000]  還沒到
[00:05:55.000 --> 00:05:56.000]  他說
[00:05:56.000 --> 00:06:03.000]  在黑暗之中你摸著那個東西
[00:06:03.000 --> 00:06:07.000]  唯一一個你可以拿著的一個病
[00:06:07.000 --> 00:06:10.000]  是在黑暗中的一個手段
[00:06:10.000 --> 00:06:13.000]  當我們不能看到
[00:06:13.000 --> 00:06:18.000]  這個信心的行動
[00:06:18.000 --> 00:06:23.000]  是我們不知所措的東西
[00:06:23.000 --> 00:06:25.000]  這個信心的行動就是
[00:06:25.000 --> 00:06:29.000]  在我們之前的前輩先人
[00:06:29.000 --> 00:06:31.000]  他們怎樣的突出自己
[00:06:31.000 --> 00:06:34.000]  把他們放在群眾上面
[00:06:34.000 --> 00:06:37.000]  令到他們成為了今天的鬼人
[00:06:37.000 --> 00:06:40.000]  成為了值得我們紀念的東西
[00:06:40.000 --> 00:06:43.000]  這本書就講了很多很多的例子
[00:06:43.000 --> 00:06:48.000]  由第一個人類開始講起
[00:06:48.000 --> 00:06:54.000]  當下灣、亞伯、蓋人等等
[00:06:54.000 --> 00:06:59.000]  但是這句說話給我一個很大的感動
[00:06:59.000 --> 00:07:02.000]  他說如果你有信心
[00:07:02.000 --> 00:07:04.000]  你就可以令到你的人生
[00:07:04.000 --> 00:07:06.000]  所做的每一件事
[00:07:06.000 --> 00:07:09.000]  令到你的生命變得有意義
[00:07:09.000 --> 00:07:10.000]  反過來講
[00:07:10.000 --> 00:07:12.000]  如果你沒有信心
[00:07:12.000 --> 00:07:14.000]  你的生命就沒有意義
[00:07:14.000 --> 00:07:15.000]  你想想是不是
[00:07:15.000 --> 00:07:16.000]  其實是的
[00:07:16.000 --> 00:07:20.000]  如果你對於你的前路是沒有信心
[00:07:20.000 --> 00:07:22.000]  你覺得都是死的了
[00:07:22.000 --> 00:07:25.000]  再做下去都是沒有用的了
[00:07:25.000 --> 00:07:29.000]  再找多兩份工作都是買不到房子的了
[00:07:29.000 --> 00:07:32.000]  再你將所有的東西
[00:07:32.000 --> 00:07:36.000]  都是用一個這樣的眼光來看的話
[00:07:36.000 --> 00:07:38.000]  你人生沒有意義
[00:07:38.000 --> 00:07:42.000]  所以有信心才能夠成為你生活的意義
[00:07:42.000 --> 00:07:45.000]  真正的意義你的生命
[00:07:45.000 --> 00:07:48.000]  講兩個故事給大家聽
[00:07:48.000 --> 00:07:50.000]  大家可能在網上都看過這個故事的
[00:07:50.000 --> 00:07:52.000]  他說有一個病房
[00:07:52.000 --> 00:07:55.000]  我最喜歡聽一些有病房的故事
[00:07:55.000 --> 00:07:57.000]  他說在一個病房裡面
[00:07:57.000 --> 00:07:59.000]  就躺了兩個病人
[00:07:59.000 --> 00:08:04.000]  有一個你知道病房不是每個房都是單人房
[00:08:04.000 --> 00:08:06.000]  有兩個人躺在那裡
[00:08:06.000 --> 00:08:08.000]  一個就在窗口旁邊
[00:08:08.000 --> 00:08:12.000]  一個就不是在窗口旁邊
[00:08:12.000 --> 00:08:16.000]  那個放在窗口旁邊的就坐得起來
[00:08:16.000 --> 00:08:20.000]  因為他的病不影響他可以坐起來
[00:08:20.000 --> 00:08:24.000]  他就每天早上就坐起來看著窗口
[00:08:24.000 --> 00:08:28.000]  另外旁邊那個就弄傷了背部
[00:08:28.000 --> 00:08:31.000]  所以他就躺在床上
[00:08:31.000 --> 00:08:34.000]  幾個星期都不能動
[00:08:34.000 --> 00:08:35.000]  他就很悶
[00:08:35.000 --> 00:08:37.000]  又只能看著天花板
[00:08:37.000 --> 00:08:40.000]  旁邊的病人就看到他這樣
[00:08:40.000 --> 00:08:44.000]  他就每天看著窗口的時候
[00:08:44.000 --> 00:08:46.000]  他都跟旁邊那個說
[00:08:46.000 --> 00:08:49.000]  今天外面很漂亮
[00:08:49.000 --> 00:08:51.000]  開了很多花
[00:08:51.000 --> 00:08:54.000]  今天有些小孩在外面玩
[00:08:54.000 --> 00:08:55.000]  很開心
[00:08:55.000 --> 00:09:00.000]  今天我又看到外面有兩隻小鳥在爭食
[00:09:00.000 --> 00:09:04.000]  每一天都將外面很美麗的圖畫
[00:09:04.000 --> 00:09:08.000]  就介紹給旁邊那個人知道
[00:09:08.000 --> 00:09:11.000]  雖然他眼睛看不到
[00:09:11.000 --> 00:09:16.000]  但是他都想像到外面的世界是相當美麗
[00:09:16.000 --> 00:09:18.000]  當我有一天康復的時候
[00:09:18.000 --> 00:09:22.000]  我就可以出去看看這些花花了了
[00:09:22.000 --> 00:09:24.000]  過了不久之後
[00:09:24.000 --> 00:09:27.000]  其實躺在窗口旁邊的那個
[00:09:27.000 --> 00:09:30.000]  因為患癌症所以就死了
[00:09:30.000 --> 00:09:33.000]  反而這個背部有事的那個
[00:09:33.000 --> 00:09:37.000]  醫好了他就坐起來
[00:09:37.000 --> 00:09:40.000]  然後他就走出去窗口那裡看看
[00:09:40.000 --> 00:09:45.000]  原來窗口看出來是旁邊那棟樓的牆
[00:09:45.000 --> 00:09:47.000]  是沒有東西的
[00:09:47.000 --> 00:09:51.000]  原來這個人每天就作一個故事出來
[00:09:51.000 --> 00:09:57.000]  是給他對於外面對於將來對於這個世界
[00:09:57.000 --> 00:09:59.000]  有一個憧憬
[00:09:59.000 --> 00:10:04.000]  以至到他可以有勇氣繼續醫好那個病
[00:10:04.000 --> 00:10:10.000]  就是看不到外面看不到將來
[00:10:10.000 --> 00:10:13.000]  我們的生命就沒有意義了
[00:10:13.000 --> 00:10:17.000]  這個故事不是教導我們去說謊去騙病人
[00:10:17.000 --> 00:10:23.000]  不過就是你看到就是如果你不覺得這個世界是仍然有希望的話
[00:10:23.000 --> 00:10:26.000]  你的生命就沒有意義了
[00:10:26.000 --> 00:10:29.000]  第二個故事是這樣的
[00:10:29.000 --> 00:10:32.000]  在晚上的時候有一個人開車
[00:10:32.000 --> 00:10:34.000]  就很大霧
[00:10:34.000 --> 00:10:39.000]  他就撞到石壆那裡
[00:10:39.000 --> 00:10:43.000]  車就掉下山崖
[00:10:43.000 --> 00:10:47.000]  他還好運就捉住了一棵樹
[00:10:47.000 --> 00:10:49.000]  一枝樹枝
[00:10:49.000 --> 00:10:53.000]  下面就不知道懸崖萬丈
[00:10:53.000 --> 00:10:57.000]  但是就很大霧他看不到他只是拿著那枝樹枝
[00:10:57.000 --> 00:11:02.000]  在懸崖的一刻
[00:11:02.000 --> 00:11:06.000]  他就聽到上帝跟他說
[00:11:06.000 --> 00:11:08.000]  你放手吧
[00:11:08.000 --> 00:11:11.000]  不要緊的你鬆手吧
[00:11:11.000 --> 00:11:16.000]  你沒有力了你再插下去你這個人都沒有力了
[00:11:16.000 --> 00:11:19.000]  不如你放手吧
[00:11:19.000 --> 00:11:21.000]  上帝說不是吧
[00:11:21.000 --> 00:11:23.000]  我這麼好運
[00:11:23.000 --> 00:11:26.000]  掉下山還會有些東西有些渣
[00:11:26.000 --> 00:11:31.000]  你叫我放手我掉下去就粉身碎骨了
[00:11:31.000 --> 00:11:38.000]  不行不行我一定要拿著我唯一能夠有把握的東西
[00:11:38.000 --> 00:11:42.000]  但是那聲音就整晚都在跟他說
[00:11:42.000 --> 00:11:46.000]  算了你放手吧你交給我吧
[00:11:46.000 --> 00:11:49.000]  於是乎過了很久很久之後他真的沒有力了
[00:11:49.000 --> 00:11:54.000]  他最後一個的氣力都用盡了
[00:11:54.000 --> 00:11:57.000]  他就放手然後就掉下去了
[00:11:57.000 --> 00:12:01.000]  第二天天光原來他沒有死
[00:12:01.000 --> 00:12:05.000]  他醒了睜大眼睛看那棵樹枝
[00:12:05.000 --> 00:12:07.000]  原來就在他頭上頂三尺
[00:12:07.000 --> 00:12:11.000]  原來他根本就不是掉在一個懸崖
[00:12:11.000 --> 00:12:13.000]  他只是掉在石級那裡
[00:12:13.000 --> 00:12:19.000]  在那裡他放手他只是掉下去三尺以下的地方
[00:12:19.000 --> 00:12:24.000]  這個故事又告訴我們什麼事呢
[00:12:24.000 --> 00:12:27.000]  就是我們很多時候看不到發生什麼事的時候
[00:12:27.000 --> 00:12:29.000]  我們不放手
[00:12:29.000 --> 00:12:33.000]  我們是拿著我們唯一可以有把握的東西
[00:12:33.000 --> 00:12:35.000]  上帝說你放手吧交給我吧
[00:12:35.000 --> 00:12:40.000]  我們就會說搞錯我放手我還有命的
[00:12:40.000 --> 00:12:44.000]  但是事情過了之後
[00:12:44.000 --> 00:12:48.000]  你就知道原來根本不是這樣的一回事
[00:12:48.000 --> 00:12:52.000]  信是所望之事的實底
[00:12:52.000 --> 00:12:56.000]  是未見之事的確據
[00:12:56.000 --> 00:12:59.000]  我做了校長都五年了
[00:12:59.000 --> 00:13:03.000]  這次是我第六次應該
[00:13:03.000 --> 00:13:07.000]  因為伍牧師由我第一年做校長
[00:13:07.000 --> 00:13:09.000]  就給了我這個功課
[00:13:09.000 --> 00:13:11.000]  每一年在開學的那個月都要
[00:13:11.000 --> 00:13:14.000]  都被邀請來到崇基
[00:13:14.000 --> 00:13:18.000]  跟大家分享
[00:13:18.000 --> 00:13:22.000]  好像很快就過了五年了
[00:13:22.000 --> 00:13:26.000]  就過了我頭一個任期的時間
[00:13:26.000 --> 00:13:28.000]  其實回頭看
[00:13:28.000 --> 00:13:33.000]  我真的沒想過原來這五年是這麼動盪
[00:13:33.000 --> 00:13:35.000]  是有這麼多事情發生
[00:13:35.000 --> 00:13:42.000]  沒想過做校長是這麼有挑戰性的
[00:13:42.000 --> 00:13:47.000]  我以前做過醫學院的副院長
[00:13:47.000 --> 00:13:50.000]  做過書院的院長
[00:13:50.000 --> 00:13:53.000]  所以我以前有一個很傻的想法就是
[00:13:53.000 --> 00:13:55.000]  其實做校長忙得多少
[00:13:55.000 --> 00:14:00.000]  最多書院的加上醫院的工作乘四
[00:14:00.000 --> 00:14:03.000]  但是我一天都只有24小時
[00:14:03.000 --> 00:14:05.000]  你乘了四我都是只有24小時
[00:14:05.000 --> 00:14:08.000]  所以應該都應付得來的
[00:14:08.000 --> 00:14:10.000]  應該就不是很難
[00:14:10.000 --> 00:14:12.000]  不過接任之後才發覺
[00:14:12.000 --> 00:14:15.000]  原來不是事情的量
[00:14:15.000 --> 00:14:19.000]  不是很多東西讓你覺得很困難
[00:14:19.000 --> 00:14:22.000]  是事情的複雜性
[00:14:22.000 --> 00:14:26.000]  還有它的挑戰
[00:14:26.000 --> 00:14:31.000]  我從五年前開始越來越發覺
[00:14:31.000 --> 00:14:34.000]  我每說一句話都要很小心
[00:14:34.000 --> 00:14:40.000]  每寫一個blog我都要想清楚
[00:14:40.000 --> 00:14:44.000]  現在全大陸都知道我做過搶鏡
[00:14:44.000 --> 00:14:46.000]  全中國人都知道
[00:14:46.000 --> 00:14:47.000]  我不知道去到哪裏
[00:14:47.000 --> 00:14:48.000]  人們都說你沒事吧
[00:14:48.000 --> 00:14:50.000]  那條腸沒事吧
[00:14:50.000 --> 00:14:53.000]  因為那些消息傳得快
[00:14:53.000 --> 00:14:56.000]  我也不知道為甚麼會上大陸的網上
[00:14:56.000 --> 00:15:00.000]  我去到的每個校長都問候我的腸
[00:15:00.000 --> 00:15:05.000]  去年在這裏講了一個講道
[00:15:05.000 --> 00:15:09.000]  然後又是不知道為甚麼會瘋傳到
[00:15:09.000 --> 00:15:12.000]  在國內的人都看到
[00:15:12.000 --> 00:15:15.000]  然後在海外的校友都看到
[00:15:15.000 --> 00:15:18.000]  所以很小心會講一句話
[00:15:18.000 --> 00:15:22.000]  但是始終不免會碰到釘子
[00:15:22.000 --> 00:15:26.000]  始終不免會遇到很大的壓力
[00:15:26.000 --> 00:15:28.000]  和很大的挑戰
[00:15:28.000 --> 00:15:34.000]  但是當我快要完我的第一個任期的時候
[00:15:34.000 --> 00:15:38.000]  我在想我還要不要再做下去呢
[00:15:38.000 --> 00:15:41.000]  我的很自然的反應就是
[00:15:41.000 --> 00:15:43.000]  不要了不要了
[00:15:43.000 --> 00:15:45.000]  我還是回去做醫生
[00:15:45.000 --> 00:15:50.000]  因為那裏是我自己最感覺到有安全感的地方
[00:15:50.000 --> 00:15:54.000]  那裏除了我自己被人分為搶鏡之外
[00:15:54.000 --> 00:15:57.000]  其實我一直都覺得醫院是很安全的
[00:15:57.000 --> 00:16:02.000]  但是在這裏每一天都可以發生一些不同的事
[00:16:02.000 --> 00:16:06.000]  是我完全沒有辦法去準備的
[00:16:06.000 --> 00:16:09.000]  不過我們看看今天一個例子
[00:16:09.000 --> 00:16:13.000]  一個很正經的一個很出名
[00:16:13.000 --> 00:16:15.000]  很明顯的例子
[00:16:15.000 --> 00:16:18.000]  告訴我們信心是等於甚麼
[00:16:18.000 --> 00:16:20.000]  他剛才說沒有信心
[00:16:20.000 --> 00:16:22.000]  你的人生就沒有意義了
[00:16:22.000 --> 00:16:26.000]  你對你的將來的生活沒有盼望就沒有意義
[00:16:26.000 --> 00:16:29.000]  但是有信心就等於甚麼呢
[00:16:29.000 --> 00:16:33.000]  大家一定想起信心之父阿伯拉罕
[00:16:33.000 --> 00:16:36.000]  所以在這段經裡面說得最長的那個
[00:16:36.000 --> 00:16:38.000]  都是在說阿伯拉罕
[00:16:38.000 --> 00:16:40.000]  阿伯拉罕的信心呢
[00:16:40.000 --> 00:16:44.000]  我看回頭真的令我五體投地
[00:16:44.000 --> 00:16:46.000]  第一樣東西
[00:16:46.000 --> 00:16:48.000]  他告訴我們
[00:16:48.000 --> 00:16:51.000]  信心是要有個行動的
[00:16:51.000 --> 00:16:55.000]  Faith must have an act
[00:16:55.000 --> 00:16:57.000]  信心是要有行動的
[00:16:57.000 --> 00:16:58.000]  不要坐在這裏
[00:16:58.000 --> 00:17:01.000]  坐在家裏的房間裏說我有信心
[00:17:01.000 --> 00:17:03.000]  這是沒有意思的
[00:17:03.000 --> 00:17:09.000]  阿伯拉罕本來住在一個挺好的城市
[00:17:09.000 --> 00:17:14.000]  突然之間上帝說我要你搬去這個
[00:17:14.000 --> 00:17:17.000]  我要允許的地方
[00:17:17.000 --> 00:17:21.000]  那個地方其實說出來你都不相信
[00:17:21.000 --> 00:17:23.000]  是一個沙漠這樣
[00:17:23.000 --> 00:17:25.000]  沒有人住的
[00:17:25.000 --> 00:17:28.000]  而且那些人又不是自己的族類
[00:17:28.000 --> 00:17:30.000]  所以正經這樣說
[00:17:30.000 --> 00:17:32.000]  他說by an act of faith
[00:17:32.000 --> 00:17:36.000]  因為信心帶來的行動的緣故
[00:17:36.000 --> 00:17:40.000]  阿伯拉罕say yes to God's calling
[00:17:40.000 --> 00:17:43.000]  to travel to an unknown place that will become his home
[00:17:43.000 --> 00:17:45.000]  去一個完全不認識的地方
[00:17:45.000 --> 00:17:47.000]  你今天叫你去移民
[00:17:47.000 --> 00:17:49.000]  你都不會選擇去伊朗
[00:17:49.000 --> 00:17:53.000]  不會去沙漠
[00:17:53.000 --> 00:17:55.000]  你當然會想想Sidney
[00:17:55.000 --> 00:17:58.000]  溫哥華那些
[00:17:58.000 --> 00:18:02.000]  叫你去一個地方做將來你的家庭
[00:18:02.000 --> 00:18:06.000]  你去一個完全自己不知道的地方
[00:18:06.000 --> 00:18:10.000]  當他離開的時候
[00:18:10.000 --> 00:18:12.000]  聖經說他是沒有idea
[00:18:12.000 --> 00:18:14.000]  究竟他在去哪裏
[00:18:14.000 --> 00:18:17.000]  他只是知道這個是上帝的promise
[00:18:17.000 --> 00:18:19.000]  所以第一樣東西
[00:18:19.000 --> 00:18:23.000]  信心一定要有的是一個act
[00:18:23.000 --> 00:18:25.000]  是一個行動
[00:18:25.000 --> 00:18:27.000]  這個行動是甚麼呢
[00:18:27.000 --> 00:18:30.000]  這個行動就是離開你的comfort zone
[00:18:30.000 --> 00:18:33.000]  離開你自己覺得最舒服
[00:18:33.000 --> 00:18:35.000]  最有安全感
[00:18:35.000 --> 00:18:39.000]  最有把握的工作
[00:18:39.000 --> 00:18:42.000]  離開甚至是你自己的家
[00:18:42.000 --> 00:18:44.000]  你自己的城市
[00:18:44.000 --> 00:18:46.000]  你的國家
[00:18:46.000 --> 00:18:48.000]  你有沒有這種信心呢
[00:18:48.000 --> 00:18:51.000]  without risk taking
[00:18:51.000 --> 00:18:55.000]  we cannot go deeper relationship with God
[00:18:55.000 --> 00:18:57.000]  沒有一個冒險
[00:18:57.000 --> 00:19:00.000]  沒有一點的risk taking
[00:19:00.000 --> 00:19:03.000]  你是經歷不了信心的各位
[00:19:03.000 --> 00:19:08.000]  這句說話我是特別跟我們當中的年青人說的
[00:19:08.000 --> 00:19:12.000]  如果你說不要了我不去那麼遠
[00:19:12.000 --> 00:19:15.000]  我們那時候跟一些同學說
[00:19:15.000 --> 00:19:18.000]  大學安排你去做實習
[00:19:18.000 --> 00:19:19.000]  internship
[00:19:19.000 --> 00:19:20.000]  他說好啊好啊
[00:19:20.000 --> 00:19:21.000]  去哪啊
[00:19:21.000 --> 00:19:24.000]  我們說去江西
[00:19:24.000 --> 00:19:26.000]  江西是哪的
[00:19:26.000 --> 00:19:28.000]  江西都不是很遠
[00:19:28.000 --> 00:19:30.000]  坐飛機好像一個多小時
[00:19:30.000 --> 00:19:32.000]  不要啦可不可以近一點
[00:19:32.000 --> 00:19:33.000]  你說你想去哪裏呢
[00:19:33.000 --> 00:19:35.000]  去到深圳
[00:19:35.000 --> 00:19:38.000]  或者最多潘嶼
[00:19:38.000 --> 00:19:40.000]  為甚麼要那麼近呢
[00:19:40.000 --> 00:19:42.000]  因為晚上可以回家
[00:19:42.000 --> 00:19:45.000]  這個反映了甚麼呢
[00:19:45.000 --> 00:19:46.000]  就是我們的comfort zone
[00:19:46.000 --> 00:19:50.000]  我不想離開我家媽媽熬的湯
[00:19:50.000 --> 00:19:53.000]  我不想離開我很舒服的床
[00:19:53.000 --> 00:19:56.000]  我不想離開我的朋友
[00:19:56.000 --> 00:20:00.000]  我不想離開我的comfort zone
[00:20:00.000 --> 00:20:02.000]  各位年青人
[00:20:02.000 --> 00:20:05.000]  各位年青的基督徒
[00:20:05.000 --> 00:20:07.000]  如果今天上帝說
[00:20:07.000 --> 00:20:11.000]  你就去伊朗那裏需要全服刑
[00:20:11.000 --> 00:20:15.000]  你去伊朗那裏有很好的事業發展的機會
[00:20:15.000 --> 00:20:17.000]  一帶一路你會說笑
[00:20:17.000 --> 00:20:19.000]  是不是
[00:20:19.000 --> 00:20:23.000]  你說不要啦去那些地方
[00:20:23.000 --> 00:20:27.000]  這個是你的risk taking
[00:20:27.000 --> 00:20:33.000]  給你機會去嘗試上帝的真實
[00:20:33.000 --> 00:20:35.000]  他的能力
[00:20:35.000 --> 00:20:38.000]  事實上我做校長都是一個很大的risk taking
[00:20:38.000 --> 00:20:40.000]  如果我做教授在醫學院
[00:20:40.000 --> 00:20:42.000]  我也不知道多妥
[00:20:42.000 --> 00:20:44.000]  不知道多舒服
[00:20:44.000 --> 00:20:47.000]  我真的試過有一次我自己下班開車的時候
[00:20:47.000 --> 00:20:49.000]  不知為何在紅綠燈停了之後
[00:20:49.000 --> 00:20:51.000]  我想了30秒鐘
[00:20:51.000 --> 00:20:54.000]  我覺得我的生活真的沒有一定
[00:20:54.000 --> 00:20:55.000]  我真的很滿足
[00:20:55.000 --> 00:20:58.000]  雖然我只是住在一間小小的apartment
[00:20:58.000 --> 00:21:00.000]  我現在不再說多少呎
[00:21:00.000 --> 00:21:02.000]  一說多少呎人家就罵我
[00:21:02.000 --> 00:21:04.000]  這樣當然是舒服
[00:21:04.000 --> 00:21:06.000]  小小的apartment
[00:21:06.000 --> 00:21:09.000]  我當時開一輛普普通通的volvo
[00:21:09.000 --> 00:21:12.000]  我一想其實我的生活OK啦
[00:21:12.000 --> 00:21:15.000]  我早上到下午看了多少個症
[00:21:15.000 --> 00:21:17.000]  救了一兩條命
[00:21:17.000 --> 00:21:18.000]  然後放工
[00:21:18.000 --> 00:21:20.000]  我一會去吃飯
[00:21:20.000 --> 00:21:21.000]  又不用看銀行
[00:21:21.000 --> 00:21:24.000]  又不用看我的credit card有沒有輸爆了
[00:21:24.000 --> 00:21:27.000]  又不用看下個月能不能交租
[00:21:27.000 --> 00:21:30.000]  我喜歡買件衣服我又買到
[00:21:30.000 --> 00:21:34.000]  然後我回去我有我的家人在等我
[00:21:34.000 --> 00:21:36.000]  兩個女兒
[00:21:36.000 --> 00:21:39.000]  我大時都很可愛的
[00:21:39.000 --> 00:21:42.000]  在我的comfort zone裡面
[00:21:42.000 --> 00:21:44.000]  我覺得我是很滿足的
[00:21:44.000 --> 00:21:48.000]  我做什麼要這麼辛勤去做校長呢
[00:21:48.000 --> 00:21:52.000]  去做一件我完全不知道是做什麼的東西
[00:21:52.000 --> 00:21:53.000]  我真的告訴你
[00:21:53.000 --> 00:21:55.000]  我在第一年的時候一邊做一邊讀
[00:21:55.000 --> 00:21:59.000]  一邊看書究竟what is university education
[00:21:59.000 --> 00:22:01.000]  什麼是大學的教育
[00:22:01.000 --> 00:22:03.000]  究竟是什麼來的呢
[00:22:03.000 --> 00:22:08.000]  你有沒有信心離開你的comfort zone呢
[00:22:08.000 --> 00:22:11.000]  第二樣東西信心一定要有的
[00:22:11.000 --> 00:22:15.000]  信心一定帶來的是patience
[00:22:15.000 --> 00:22:16.000]  不是病人
[00:22:16.000 --> 00:22:18.000]  是忍耐
[00:22:18.000 --> 00:22:22.000]  信心一定要有patience
[00:22:22.000 --> 00:22:23.000]  為什麼呢
