
[00:00:00.000 --> 00:00:05.000]  我願意在2023年新的一年開始的時候
[00:07:31.000 --> 00:07:34.000]  不過有時你和我在實際的生活裏面
[00:07:34.000 --> 00:07:38.000]  很多時候我們是沒有留意到
[00:07:38.000 --> 00:07:40.000]  在某些場合我們就會感覺到
[00:07:40.000 --> 00:07:43.000]  或者是記得神是在
[00:07:43.000 --> 00:07:44.000]  神是完全知道的
[00:07:44.000 --> 00:07:47.000]  但有些場合我們就忘記了祂
[00:07:47.000 --> 00:07:48.000]  這個不是神的問題
[00:07:48.000 --> 00:07:50.000]  這個是我們人的問題
[00:07:50.000 --> 00:07:53.000]  原來我們有時是忘記了沒有留意祂
[00:07:53.000 --> 00:07:54.000]  我們在打電腦的時候
[00:07:54.000 --> 00:07:55.000]  做這個project
[00:07:55.000 --> 00:07:57.000]  我們就覺得我們需要神
[00:07:57.000 --> 00:07:58.000]  神在這裏就好了
[00:07:58.000 --> 00:08:00.000]  神真的在這裏幫我
[00:08:00.000 --> 00:08:04.000]  但當我去廚房開個雪櫃的時候
[00:08:04.000 --> 00:08:06.000]  我忘記了神在那裏
[00:08:06.000 --> 00:08:07.000]  是不是
[00:08:07.000 --> 00:08:11.000]  老實說有時夫妻吵架最多在廚房
[00:08:11.000 --> 00:08:14.000]  那時就忘記了神在那裏
[00:08:14.000 --> 00:08:15.000]  在我出門的時候
[00:08:15.000 --> 00:08:17.000]  如果我們要遠行前路茫茫
[00:08:17.000 --> 00:08:18.000]  我都不知道怎麼辦
[00:08:18.000 --> 00:08:21.000]  然後去到機場入閘的時候
[00:08:21.000 --> 00:08:23.000]  我就會突然想起神在這裏
[00:08:23.000 --> 00:08:25.000]  神和我同行
[00:08:25.000 --> 00:08:26.000]  哎呀我有信心
[00:08:26.000 --> 00:08:29.000]  神在那時就出現在他們的心裏面
[00:08:29.000 --> 00:08:31.000]  但是到了你宅度假
[00:08:31.000 --> 00:08:35.000]  你坐在那個酒店對著窗外
[00:08:35.000 --> 00:08:36.000]  嘩!看著美景
[00:08:36.000 --> 00:08:39.000]  想一想待會怎樣去喝哪一瓶咖啡的時候
[00:08:39.000 --> 00:08:40.000]  你又忘記了神在這裏
[00:08:40.000 --> 00:08:42.000]  人就是這樣
[00:08:42.000 --> 00:08:43.000]  神永遠都在這裏
[00:08:43.000 --> 00:08:45.000]  但是我們有時看到
[00:08:45.000 --> 00:08:46.000]  有時不覺得
[00:08:46.000 --> 00:08:49.000]  有時忘記了神在哪裏
[00:08:49.000 --> 00:08:52.000]  就好像方力申那個
[00:08:52.000 --> 00:08:54.000]  行山那個廣告那樣
[00:08:54.000 --> 00:08:56.000]  收到 收不到
[00:08:56.000 --> 00:08:58.000]  又收到 哎呀又收不到
[00:08:58.000 --> 00:09:00.000]  不是電台的問題
[00:09:00.000 --> 00:09:02.000]  電台一直都在這裏
[00:09:02.000 --> 00:09:05.000]  不過有時你收不到
[00:09:05.000 --> 00:09:07.000]  這個就是看到我們和神之間
[00:09:07.000 --> 00:09:08.000]  有時是很疏離
[00:09:08.000 --> 00:09:10.000]  不是神自己的問題
[00:09:10.000 --> 00:09:13.000]  是我們有時為何不記得了他
[00:09:13.000 --> 00:09:15.000]  為什麼有時最需要神的時候
[00:09:15.000 --> 00:09:17.000]  我就忘記了他在這裏
[00:09:17.000 --> 00:09:19.000]  難怪在十六世紀
[00:09:19.000 --> 00:09:22.000]  有一個很重要的靈修學的傳統
[00:09:22.000 --> 00:09:23.000]  提出了兩句話
[00:09:23.000 --> 00:09:25.000]  他說如果你要問究竟
[00:09:25.000 --> 00:09:27.000]  這個人他和神的關係
[00:09:27.000 --> 00:09:28.000]  是否親切
[00:09:28.000 --> 00:09:30.000]  他的屬靈生命是否成熟
[00:09:30.000 --> 00:09:31.000]  兩個指標
[00:09:31.000 --> 00:09:32.000]  第一
[00:09:32.000 --> 00:09:35.000]  看你是不是在心裏面
[00:09:35.000 --> 00:09:38.000]  時常與神保持通話
[00:09:38.000 --> 00:09:40.000]  時常聽到神和你講話
[00:09:40.000 --> 00:09:43.000]  Hear God in your heart
[00:09:43.000 --> 00:09:45.000]  第二
[00:09:45.000 --> 00:09:49.000]  就是在你每天碰見的人生的際遇
[00:09:49.000 --> 00:09:50.000]  所發生的事
[00:09:50.000 --> 00:09:53.000]  到處都看到神的手在這裏
[00:09:53.000 --> 00:09:56.000]  See God in all things
[00:09:56.000 --> 00:09:57.000]  能夠這樣的
[00:09:57.000 --> 00:10:00.000]  這個就是在屬靈上
[00:10:00.000 --> 00:10:01.000]  成熟的
[00:10:01.000 --> 00:10:03.000]  好的
[00:10:03.000 --> 00:10:04.000]  親近神的人
[00:10:04.000 --> 00:10:05.000]  如果不是的話
[00:10:05.000 --> 00:10:07.000]  你就和神很疏離
[00:10:07.000 --> 00:10:10.000]  才說原來神是這麼奇妙
[00:10:10.000 --> 00:10:11.000]  無所不在
[00:10:11.000 --> 00:10:13.000]  但我事實上都忘記了他
[00:10:13.000 --> 00:10:16.000]  你說是不是很該死呢
[00:10:16.000 --> 00:10:19.000]  或者我用嚴肅一點說一句話
[00:10:19.000 --> 00:10:22.000]  人最大的墮落
[00:10:22.000 --> 00:10:25.000]  就是當神無刀
[00:10:25.000 --> 00:10:26.000]  是不是
[00:10:26.000 --> 00:10:28.000]  當神無刀
[00:10:28.000 --> 00:10:30.000]  施人說真的
[00:10:30.000 --> 00:10:31.000]  真的這麼好
[00:10:31.000 --> 00:10:34.000]  為甚麼我這樣都忘記了他
[00:10:34.000 --> 00:10:37.000]  這個是施人那種驚訝
[00:10:37.000 --> 00:10:39.000]  背後那種覺得
[00:10:39.000 --> 00:10:41.000]  哎呀真的很熟
[00:10:41.000 --> 00:10:43.000]  接著我們進入第二段
[00:10:43.000 --> 00:10:46.000]  第七至第十二節
[00:10:46.000 --> 00:10:50.000]  我嘗試用和本和大家一起讀
[00:10:50.000 --> 00:10:52.000]  我讀出來
[00:10:52.000 --> 00:10:53.000]  施人繼續說
[00:10:53.000 --> 00:10:56.000]  我往哪裏去躲避你的靈
[00:10:56.000 --> 00:11:00.000]  我往哪裏逃躲避你的面呢
[00:11:00.000 --> 00:11:02.000]  我若升到天上
[00:11:02.000 --> 00:11:03.000]  你在哪裏
[00:11:03.000 --> 00:11:05.000]  我若在陰間下榻
[00:11:05.000 --> 00:11:07.000]  你也在哪裏
[00:11:07.000 --> 00:11:09.000]  我若展開清晨的翅膀
[00:11:09.000 --> 00:11:12.000]  飛到海極居住
[00:11:12.000 --> 00:11:13.000]  就是在哪裏
[00:11:13.000 --> 00:11:15.000]  你的手必引導我
[00:11:15.000 --> 00:11:19.000]  你的右手也必扶持我
[00:11:19.000 --> 00:11:23.000]  我若算黑暗必定遮蔽我
[00:11:23.000 --> 00:11:25.000]  我周圍的亮光必成為黑夜
[00:11:25.000 --> 00:11:27.000]  黑暗也不能遮蔽我
[00:11:27.000 --> 00:11:28.000]  使你不見
[00:11:28.000 --> 00:11:31.000]  黑暗卻如白晝發亮
[00:11:31.000 --> 00:11:33.000]  黑暗和光明
[00:11:33.000 --> 00:11:37.000]  在你看到時一樣
[00:11:37.000 --> 00:11:40.000]  當我們讀這段聖經的時候
[00:11:40.000 --> 00:11:42.000]  可能有些弟兄姊妹心裏說
[00:11:42.000 --> 00:11:44.000]  差不多和剛才
[00:11:44.000 --> 00:11:46.000]  剛才在家裏坐下
[00:11:46.000 --> 00:11:47.000]  起身走遠一點
[00:11:47.000 --> 00:11:49.000]  應該是遠處又近處
[00:11:49.000 --> 00:11:51.000]  現在第二段就說上天
[00:11:51.000 --> 00:11:53.000]  又落地又去到海極
[00:11:53.000 --> 00:11:54.000]  他也在那裏
[00:11:54.000 --> 00:11:55.000]  對不對
[00:11:55.000 --> 00:11:56.000]  好像一樣
[00:11:56.000 --> 00:11:58.000]  你心水清清看看
[00:11:58.000 --> 00:11:59.000]  是有不同的
[00:11:59.000 --> 00:12:01.000]  已經轉了
[00:12:01.000 --> 00:12:06.000]  第一段六節所說的不同的情況
[00:12:06.000 --> 00:12:07.000]  那些空間的地方
[00:12:07.000 --> 00:12:10.000]  是我們真實的現實上所發生的事
[00:12:10.000 --> 00:12:11.000]  對不對
[00:12:11.000 --> 00:12:13.000]  我們在家裏遠行
[00:12:13.000 --> 00:12:15.000]  我們也會經驗到
[00:12:15.000 --> 00:12:17.000]  但第二段
[00:12:17.000 --> 00:12:21.000]  如果剛才你讀的時候留心
[00:12:21.000 --> 00:12:25.000]  全部是那個詩人想像的地方
[00:12:25.000 --> 00:12:27.000]  想像他做的事
[00:12:27.000 --> 00:12:29.000]  他說我若升到天上
[00:12:29.000 --> 00:12:30.000]  我如果升到天上
[00:12:30.000 --> 00:12:31.000]  我真的升到天上
[00:12:31.000 --> 00:12:32.000]  怎會呢
[00:12:32.000 --> 00:12:34.000]  難道像人家的超人電影那樣
[00:12:34.000 --> 00:12:36.000]  衝上去
[00:12:36.000 --> 00:12:37.000]  衝那些雲層上去
[00:12:37.000 --> 00:12:40.000]  那裏才是天空
[00:12:40.000 --> 00:12:41.000]  沒有啊
[00:12:41.000 --> 00:12:43.000]  詩人沒有做過這件事
[00:12:43.000 --> 00:12:44.000]  升到天上
[00:12:44.000 --> 00:12:45.000]  也沒有做
[00:12:45.000 --> 00:12:47.000]  落落落落落到陰間
[00:12:47.000 --> 00:12:49.000]  最最最最最深的地
[00:12:49.000 --> 00:12:51.000]  深處在那裏
[00:12:51.000 --> 00:12:53.000]  他也沒有展開清晨的翅膀
[00:12:53.000 --> 00:12:54.000]  很美麗啊
[00:12:54.000 --> 00:12:56.000]  這個文學的作品
[00:12:56.000 --> 00:12:58.000]  很美麗展開清晨的翅膀
[00:12:58.000 --> 00:13:00.000]  在最有陽光
[00:13:00.000 --> 00:13:02.000]  最有活力的時候
[00:13:02.000 --> 00:13:03.000]  一路飛
[00:13:03.000 --> 00:13:04.000]  飛到最遠
[00:13:04.000 --> 00:13:06.000]  就是在那裏
[00:13:06.000 --> 00:13:08.000]  為甚麼他要這樣做
[00:13:08.000 --> 00:13:10.000]  他想像自己為甚麼要這樣做
[00:13:10.000 --> 00:13:12.000]  剛才我們讀的時候
[00:13:12.000 --> 00:13:14.000]  不知道你們有沒有留意
[00:13:14.000 --> 00:13:16.000]  詩人想逃跑啊
[00:13:16.000 --> 00:13:20.000]  我沒有誣陷他
[00:13:20.000 --> 00:13:22.000]  他自己說的
[00:13:22.000 --> 00:13:24.000]  我往那裏去躲避你的靈
[00:13:24.000 --> 00:13:26.000]  我在哪裏去哪裏
[00:13:26.000 --> 00:13:28.000]  去躲避你的靈
[00:13:28.000 --> 00:13:30.000]  元文是真的想逃跑
[00:13:30.000 --> 00:13:32.000]  現在我們問
[00:13:32.000 --> 00:13:34.000]  為甚麼詩人要逃跑
[00:13:34.000 --> 00:13:36.000]  為甚麼詩人想像
[00:13:36.000 --> 00:13:38.000]  他試試這樣上天上
[00:13:38.000 --> 00:13:40.000]  哎呀他又是那裏逃不掉
[00:13:40.000 --> 00:13:42.000]  落落落落到陰間下頭
[00:13:42.000 --> 00:13:44.000]  哎呀又是那裏逃不掉
[00:13:44.000 --> 00:13:46.000]  好我走去清晨
[00:13:46.000 --> 00:13:48.000]  翅膀一路飛到極處
[00:13:48.000 --> 00:13:50.000]  有一點像我們中國的
[00:13:50.000 --> 00:13:52.000]  西遊記的孫悟空
[00:13:52.000 --> 00:13:54.000]  十萬八千里打了個關頭
[00:13:54.000 --> 00:13:56.000]  誰知
[00:13:56.000 --> 00:13:58.000]  如來佛祖的五指山又在那裏
[00:13:58.000 --> 00:14:00.000]  逃不掉
[00:14:00.000 --> 00:14:02.000]  這個是詩人描述他那種想逃避
[00:14:02.000 --> 00:14:04.000]  想逃跑
[00:14:04.000 --> 00:14:06.000]  那個想像
[00:14:06.000 --> 00:14:08.000]  我想像
[00:14:08.000 --> 00:14:10.000]  為甚麼他要逃跑
[00:14:10.000 --> 00:14:12.000]  請問為甚麼他要逃避
[00:14:12.000 --> 00:14:16.000]  因為在他想像當中
[00:14:16.000 --> 00:14:18.000]  神是不愛他的
[00:14:18.000 --> 00:14:20.000]  在他想像當中
[00:14:20.000 --> 00:14:22.000]  或者他遭遇了的事
[00:14:22.000 --> 00:14:24.000]  或者甚至一些事發生在他身上
[00:14:24.000 --> 00:14:26.000]  或者他做了一些事
[00:14:26.000 --> 00:14:28.000]  他覺得神不會再愛他了
[00:14:28.000 --> 00:14:30.000]  神不要他
[00:14:30.000 --> 00:14:32.000]  神是追究他
[00:14:32.000 --> 00:14:34.000]  神是要捉他
[00:14:34.000 --> 00:14:36.000]  所以他怕
[00:14:36.000 --> 00:14:38.000]  他就走
[00:14:38.000 --> 00:14:40.000]  他想像走上去
[00:14:40.000 --> 00:14:42.000]  哎呀怎知又逃不掉
[00:14:42.000 --> 00:14:44.000]  去到最遠最遠地方
[00:14:44.000 --> 00:14:46.000]  都逃不掉都在那裏
[00:14:46.000 --> 00:14:48.000]  不過詩人在這裏突然間有一個
[00:14:48.000 --> 00:14:50.000]  很重要的新發現
[00:14:50.000 --> 00:14:52.000]  一個轉機
[00:14:52.000 --> 00:14:54.000]  如果我們說第一段
[00:14:54.000 --> 00:14:56.000]  那裏是一個震驚驚訝
[00:14:56.000 --> 00:14:58.000]  第二段又是另外一個驚訝
[00:14:58.000 --> 00:15:00.000]  原來在那裏
[00:15:00.000 --> 00:15:02.000]  他要走他要走
[00:15:02.000 --> 00:15:04.000]  他發覺去到哪裡都逃不掉
[00:15:04.000 --> 00:15:06.000]  然後去到海極那裏
[00:15:06.000 --> 00:15:08.000]  神都在那裏
[00:15:08.000 --> 00:15:10.000]  當他以為神要追究他
[00:15:10.000 --> 00:15:12.000]  原來在那裏
[00:15:12.000 --> 00:15:14.000]  就是在那裏
[00:15:14.000 --> 00:15:16.000]  去到天涯海角
[00:15:16.000 --> 00:15:18.000]  就在那裏
[00:15:18.000 --> 00:15:20.000]  他突然間發覺神不是要追究
[00:15:20.000 --> 00:15:22.000]  去規限他
[00:15:22.000 --> 00:15:24.000]  去捉他
[00:15:24.000 --> 00:15:26.000]  神是在那裏
[00:15:26.000 --> 00:15:28.000]  要去引導他
[00:15:28.000 --> 00:15:30.000]  引導他
[00:15:30.000 --> 00:15:32.000]  他的右手
[00:15:32.000 --> 00:15:34.000]  要扶持他
[00:15:34.000 --> 00:15:36.000]  原來神要追到天涯海角
[00:15:36.000 --> 00:15:38.000]  去愛你
[00:15:38.000 --> 00:15:40.000]  哎呀我們多傻
[00:15:40.000 --> 00:15:42.000]  詩人說原來
[00:15:42.000 --> 00:15:44.000]  他追到我
[00:15:44.000 --> 00:15:46.000]  原來他追究我
[00:15:46.000 --> 00:15:48.000]  原來他整治我
[00:15:48.000 --> 00:15:50.000]  原來他追著來
[00:15:50.000 --> 00:15:52.000]  引導去愛我
[00:15:52.000 --> 00:15:54.000]  他用他的右手
[00:15:54.000 --> 00:15:56.000]  在舊約聖經裏面
[00:15:56.000 --> 00:15:58.000]  象徵的說法
[00:15:58.000 --> 00:16:00.000]  神的左手是一個懲罰的手
[00:16:00.000 --> 00:16:02.000]  右手是一個保護
[00:16:02.000 --> 00:16:04.000]  看顧天能力的手
[00:16:04.000 --> 00:16:06.000]  神就用他的右手去扶持他
[00:16:06.000 --> 00:16:08.000]  詩人說我真是傻
[00:16:08.000 --> 00:16:10.000]  我對神有多大的誤解
[00:16:10.000 --> 00:16:12.000]  在我想像裏面
[00:16:12.000 --> 00:16:14.000]  神和我
[00:16:14.000 --> 00:16:16.000]  神是那麼愛我
[00:16:16.000 --> 00:16:18.000]  我還要走
[00:16:18.000 --> 00:16:20.000]  原來他追著來愛我
[00:16:20.000 --> 00:16:22.000]  頂姐妹剛才如果我說
[00:16:22.000 --> 00:16:26.000]  我們人最大的墮落
[00:16:26.000 --> 00:16:28.000]  是當神沒有到
[00:16:28.000 --> 00:16:30.000]  現在我又多說一句
[00:16:30.000 --> 00:16:34.000]  在這裏人最大的損失
[00:16:34.000 --> 00:16:38.000]  就是不知道神是那麼愛他
[00:16:38.000 --> 00:16:40.000]  當他碰見困難
[00:16:40.000 --> 00:16:42.000]  碰見事情的時候
[00:16:42.000 --> 00:16:46.000]  一路孤軍作戰
[00:16:46.000 --> 00:16:48.000]  你說多傻
[00:16:48.000 --> 00:16:50.000]  我在加拿大的時候
[00:16:50.000 --> 00:16:52.000]  發生一件小的事
[00:16:52.000 --> 00:16:54.000]  雖然很小的事
[00:16:54.000 --> 00:16:56.000]  但對於我印象很深刻
[00:16:56.000 --> 00:17:00.000]  那年是復活節
[00:17:00.000 --> 00:17:02.000]  我有兩個女兒
[00:17:02.000 --> 00:17:04.000]  大家都可能知道
[00:17:04.000 --> 00:17:06.000]  我的小女兒就有嚴重智障
[00:17:06.000 --> 00:17:08.000]  也是情緒失調
[00:17:08.000 --> 00:17:10.000]  那年的復活節
[00:17:10.000 --> 00:17:12.000]  我們就主日去崇拜
[00:17:12.000 --> 00:17:14.000]  教會很疼我們
[00:17:14.000 --> 00:17:18.000]  尤其是年紀大的老婆婆
[00:17:18.000 --> 00:17:22.000]  姐妹特別疼我兩個女兒
[00:17:22.000 --> 00:17:24.000]  那時候我小女兒大概十歲
[00:17:24.000 --> 00:17:26.000]  姐姐大幾歲
[00:17:26.000 --> 00:17:28.000]  兩個小朋友去到教會的時候
[00:17:28.000 --> 00:17:30.000]  復活節
[00:17:30.000 --> 00:17:36.000]  婆婆買了兩隻那麼大的復活節蛋
[00:17:36.000 --> 00:17:38.000]  送給我兩個女兒
[00:17:38.000 --> 00:17:40.000]  一人一個
[00:17:40.000 --> 00:17:42.000]  當然不是實心
[00:17:42.000 --> 00:17:44.000]  但胸心胸心都很厲害
[00:17:44.000 --> 00:17:46.000]  包得很漂亮
[00:17:46.000 --> 00:17:48.000]  兩個女兒開心到不得了
[00:17:48.000 --> 00:17:50.000]  一人就抱著一個
[00:17:50.000 --> 00:17:52.000]  於是崇拜完回到家
[00:17:52.000 --> 00:17:54.000]  第一件事你們猜到是做什麼
