
[00:00:00.000 --> 00:00:04.880]  鄭姐妹 新年快樂
[00:18:39.200 --> 00:18:45.200]  C.S. Lewis他寫了一本書叫A Grief Observed
[00:18:45.200 --> 00:18:52.200]  A Grief Observed 是一本誠實到殘酷的日記
[00:18:52.200 --> 00:18:59.200]  他記載C.S. Lewis的太太過世的時候
[00:18:59.200 --> 00:19:07.200]  他親身經歷信仰上 感情上 理智上巨大的崩潰
[00:19:07.200 --> 00:19:13.200]  然後整本書告訴他 最後他是怎樣重建
[00:19:13.200 --> 00:19:20.200]  A Grief Observed 他中文翻譯得很特別
[00:19:20.200 --> 00:19:28.200]  可能中文底子不太好都不知道要說什麼
[00:19:28.200 --> 00:19:38.200]  不過千萬不要為這個世界抱有不切實際的幻想
[00:19:38.200 --> 00:19:42.200]  我們要面對這個失序的世界
[00:19:42.200 --> 00:19:49.200]  很多的苦難 很多的迫害 很多的不公平
[00:19:49.200 --> 00:19:53.200]  我們在這個破碎的世界裏面怎樣自處呢?
[00:19:53.200 --> 00:20:01.200]  在破碎的世界裏面我們怎樣能夠堅守神的公義和最終的盼望呢?
[00:20:01.200 --> 00:20:05.200]  我和大家現在看一下一個轉折
[00:20:05.200 --> 00:20:10.200]  這個轉折其實就是當我們要看那兩塊麵包之前
[00:20:10.200 --> 00:20:18.200]  我們要看整條主題的線貫穿整本的《馬太福音》
[00:20:18.200 --> 00:20:22.200]  其實就是兩王之爭
[00:20:22.200 --> 00:20:26.200]  誰是真正的猶太人的王呢?
[00:20:26.200 --> 00:20:31.200]  大家如果看歷史就會發現
[00:20:31.200 --> 00:20:39.200]  其實希律王他都曾經被羅馬國會頒贈一個頭銜
[00:20:39.200 --> 00:20:42.200]  叫做猶太人的王
[00:20:42.200 --> 00:20:45.200]  所以為什麼他一聽到博士說
[00:20:45.200 --> 00:20:49.200]  那生下來作猶太人的王的在哪裡
[00:20:49.200 --> 00:20:54.200]  他這麼生氣 他這麼激憤
[00:20:54.200 --> 00:20:58.200]  就是我是猶太人的王 現在又有一個猶太人的王
[00:20:58.200 --> 00:21:04.200]  到底是誰呢?出來給我看一下
[00:21:04.200 --> 00:21:09.200]  那個生下來作猶太人的王他不出來
[00:21:09.200 --> 00:21:12.200]  那不出來怎麼辦呢?就追他
[00:21:12.200 --> 00:21:15.200]  追到他出來
[00:21:15.200 --> 00:21:19.200]  所以希律是當時的當權者
[00:21:19.200 --> 00:21:24.200]  但是耶穌基督是神頒贈的頭銜
[00:21:24.200 --> 00:21:26.200]  不是人頒贈的
[00:21:26.200 --> 00:21:30.200]  所以誰是真正的猶太人的王呢?
[00:21:30.200 --> 00:21:35.200]  你看一下 誰是真正的猶太人的王呢?
[00:21:35.200 --> 00:21:41.200]  我們先看一下 大家都聽過這個Hallelujah Chorus
[00:21:41.200 --> 00:21:47.200]  Hallelujah Chorus大家知道很多時候我們一聽就站起來
[00:21:47.200 --> 00:21:52.200]  在公眾場合 當然你家裡聽YouTube你不需要站起來
[00:21:52.200 --> 00:21:56.200]  公眾場合每個人都站起來
[00:21:56.200 --> 00:22:02.200]  為什麼呢?因為開始在英皇George II
[00:22:02.200 --> 00:22:06.200]  他聽了Hallelujah Chorus的時候
[00:22:06.200 --> 00:22:10.200]  到King of Kings and Lord of Lords
[00:22:10.200 --> 00:22:14.200]  他就不自主的站起來
[00:22:14.200 --> 00:22:18.200]  而他後來發表的言論
[00:22:18.200 --> 00:22:22.200]  他說英國國王不是至高無上的權位
[00:22:22.200 --> 00:22:29.200]  他是伏在權柄的底下 必須向至高無上的萬王之王
[00:22:29.200 --> 00:22:36.200]  萬主之主表示我們的崇敬和敬重
[00:22:36.200 --> 00:22:39.200]  這個是正確的心態
[00:22:39.200 --> 00:22:45.200]  我就問大家 如果耶穌基督是生下來作猶太人的王
[00:22:45.200 --> 00:22:49.200]  為什麼他不當場擊殺希律呢?
[00:22:49.200 --> 00:22:56.200]  顯赫神威 希律整個人就消失在地上
[00:22:56.200 --> 00:23:01.200]  為什麼呢?我們現在看政治的力量
[00:23:01.200 --> 00:23:06.200]  你看特朗普展示他政治的力量
[00:23:06.200 --> 00:23:12.200]  半個小時就抓了馬杜羅
[00:23:12.200 --> 00:23:18.200]  很厲害 當然他經過很多個月精準的觀察
[00:23:18.200 --> 00:23:21.200]  他知道什麼情況
[00:23:21.200 --> 00:23:24.200]  但是當你有政治實力的時候
[00:23:24.200 --> 00:23:27.200]  當你有實際的力量的時候
[00:23:27.200 --> 00:23:34.200]  其實什麼地上的王都不夠你天上我們大君王的能力
[00:23:34.200 --> 00:23:39.200]  為什麼耶穌不馬上擊殺希律呢?
[00:23:39.200 --> 00:23:48.200]  這個和馬太福音整卷很有關係
[00:23:48.200 --> 00:23:54.200]  其實馬太福音是一本王者的福音
[00:23:54.200 --> 00:23:58.200]  第一章記載王的家譜
[00:23:58.200 --> 00:24:05.200]  第二章講到博士來朝拜生下來作猶太人的王
[00:24:05.200 --> 00:24:11.200]  然後兩王之爭 最後希律死了
[00:24:11.200 --> 00:24:14.200]  第三章就講天國近了
[00:24:14.200 --> 00:24:16.200]  司祭約翰出來傳道
[00:24:16.200 --> 00:24:20.200]  第四章 耶穌出來傳道就是天國近了
[00:24:20.200 --> 00:24:24.200]  天國的福音
[00:24:24.200 --> 00:24:30.200]  第五到第七章其實是講天國子民的大憲章
[00:24:30.200 --> 00:24:32.200]  就是登山補墳
[00:24:32.200 --> 00:24:36.200]  第八第九章就看到耶穌基督在地上
[00:24:36.200 --> 00:24:39.200]  是利塞亞要來的王
[00:24:39.200 --> 00:24:42.200]  他施行很多的神蹟
[00:24:42.200 --> 00:24:45.200]  第十章他差遣七十個門徒出去
[00:24:45.200 --> 00:24:47.200]  又是傳天國的福音
[00:24:47.200 --> 00:24:56.200]  十一十二章又再來另外一輪主耶穌基督的神蹟
[00:24:56.200 --> 00:25:01.200]  然後第十三章就因為這班文士和快利塞人
[00:25:01.200 --> 00:25:04.200]  不接受耶穌基督的王權
[00:25:04.200 --> 00:25:09.200]  所以耶穌轉型去訓練自己的門徒
[00:25:09.200 --> 00:25:12.200]  十三章一直到後面
[00:25:12.200 --> 00:25:17.200]  直到耶穌基督被釘十字架
[00:25:17.200 --> 00:25:21.200]  在被釘十字架之前他受審
[00:25:21.200 --> 00:25:27.200]  為什麼耶穌基督不立顯神威
[00:25:27.200 --> 00:25:29.200]  當場擊殺希律呢
[00:25:29.200 --> 00:25:35.200]  因為耶穌基督的王權是透過什麼來建立的
[00:25:35.200 --> 00:25:37.200]  十字架
[00:25:37.200 --> 00:25:41.200]  耶穌基督的王權是透過十字架來建立
[00:25:41.200 --> 00:25:43.200]  為什麼我這樣說呢
[00:25:43.200 --> 00:25:46.200]  如果你看馬太夫看到27章
[00:25:46.200 --> 00:25:51.200]  第27章巡撫比拉多就問耶穌
[00:25:51.200 --> 00:25:53.200]  你是猶太人的王嗎
[00:25:53.200 --> 00:25:55.200]  耶穌說什麼
[00:25:55.200 --> 00:25:57.200]  你是的士
[00:25:57.200 --> 00:26:01.200]  如果耶穌是猶太人的王
[00:26:01.200 --> 00:26:04.200]  他應該當場顯神威
[00:26:04.200 --> 00:26:08.200]  比拉多問我話
[00:26:08.200 --> 00:26:11.200]  馬上叫我趴在地上
[00:26:11.200 --> 00:26:13.200]  沒有啊
[00:26:13.200 --> 00:26:15.200]  如果你再看
[00:26:15.200 --> 00:26:21.200]  冰釘都看不起耶穌
[00:26:21.200 --> 00:26:25.200]  冰釘聽到耶穌說是猶太人的王
[00:26:25.200 --> 00:26:28.200]  他們就拿荊棘編作冠冕
[00:26:28.200 --> 00:26:30.200]  然後戴在耶穌的頭上
[00:26:30.200 --> 00:26:33.200]  拿一根葦子放在他的右手
[00:26:33.200 --> 00:26:36.200]  跪在他面前戲弄他
[00:26:36.200 --> 00:26:39.200]  恭喜猶太人的王
[00:26:39.200 --> 00:26:42.200]  如果是你會怎樣
[00:26:42.200 --> 00:26:44.200]  豈有此理
[00:26:44.200 --> 00:26:50.200]  顯神威讓你個個都馬上消失
[00:26:50.200 --> 00:26:51.200]  沒有啊
[00:26:51.200 --> 00:26:53.200]  耶穌又沒有
[00:26:53.200 --> 00:26:56.200]  耶穌好像很軟弱
[00:26:56.200 --> 00:27:00.200]  好像沒有辦法
[00:27:00.200 --> 00:27:03.200]  有沒有注意到最後他被釘在十字架
[00:27:03.200 --> 00:27:07.200]  第27章有三次出現猶太人的王
[00:27:07.200 --> 00:27:10.200]  在他頭上安了一個牌子
[00:27:10.200 --> 00:27:13.200]  寫著他的罪狀是什麼呢
[00:27:13.200 --> 00:27:16.200]  這是猶太人的王耶穌
[00:27:16.200 --> 00:27:20.200]  其實他們想寫什麼呢
[00:27:20.200 --> 00:27:23.200]  他們想寫他說他是猶太人的王耶穌
[00:27:23.200 --> 00:27:27.200]  但是因為那塊木板太小
[00:27:27.200 --> 00:27:30.200]  所以他說的這個字就拿走了
[00:27:30.200 --> 00:27:33.200]  就說了謝是猶太人的王耶穌
[00:27:33.200 --> 00:27:39.200]  即是公開承認了耶穌基督是王
[00:27:39.200 --> 00:27:43.200]  謝是猶太人的王耶穌
[00:27:43.200 --> 00:27:51.200]  頂姐妹有沒有看到要透過十字架來建立王權
[00:27:51.200 --> 00:27:54.200]  所以這兩樣東西其實是很矛盾的
[00:27:54.200 --> 00:27:56.200]  頂姐妹有沒有覺得
[00:27:56.200 --> 00:27:59.200]  你會不會在這個地上覺得這個世界這麼亂
[00:27:59.200 --> 00:28:01.200]  為什麼耶穌基督不顯示神威
[00:28:01.200 --> 00:28:04.200]  調整一下這些人
[00:28:04.200 --> 00:28:06.200]  這些惡人當道
[00:28:06.200 --> 00:28:08.200]  為什麼會這麼亂呢
[00:28:08.200 --> 00:28:10.200]  頂姐妹要明白一件事
[00:28:10.200 --> 00:28:17.200]  其實很多時候神要我們在這個地上經歷十字架
[00:28:17.200 --> 00:28:21.200]  而經歷十字架對我們的生命是有幫助的
[00:28:21.200 --> 00:28:25.200]  經歷十字架對我們的靈命是有獎項的
[00:28:25.200 --> 00:28:31.200]  而我們不需要一個一下子來的
[00:28:31.200 --> 00:28:37.200]  好像免費的耶穌基督的王權就建立在這個地上
[00:28:37.200 --> 00:28:44.200]  當卡爾森歸納整本馬太福音的主題
[00:28:44.200 --> 00:28:49.200]  他說耶穌臨世講道和神蹟帶進天國
[00:28:49.200 --> 00:28:51.200]  天國的福音
[00:28:51.200 --> 00:28:55.200]  又直到祂的死復活和成就救贖
[00:28:55.200 --> 00:28:57.200]  祂的死是必然的
[00:28:57.200 --> 00:29:01.200]  最終的成就在末世
[00:29:01.200 --> 00:29:04.200]  所以神的國耶穌基督的王權
[00:29:04.200 --> 00:29:07.200]  最終的成就在末世
[00:29:07.200 --> 00:29:13.200]  耶穌基督的王權透過十字架建立
[00:29:13.200 --> 00:29:19.200]  今天你在教會裡的屬靈的權柄要建立
[00:29:19.200 --> 00:29:21.200]  也要經過十字架
[00:29:21.200 --> 00:29:23.200]  意思是什麼呢
[00:29:23.200 --> 00:29:25.200]  就是要做僕人領袖
[00:29:25.200 --> 00:29:29.200]  不可以一下子上來就作威作福
[00:29:29.200 --> 00:29:31.200]  呼風喚雨高高在上
[00:29:31.200 --> 00:29:37.200]  然後就把下面的百姓當作螻蟻
[00:29:37.200 --> 00:29:39.200]  然後踩起腳下
[00:29:39.200 --> 00:29:40.200]  不可以
[00:29:40.200 --> 00:29:43.200]  耶穌基督已經講得很明白
[00:29:43.200 --> 00:29:46.200]  世間的權柄是有君王
[00:29:46.200 --> 00:29:48.200]  有大臣一層一層下來
[00:29:48.200 --> 00:29:51.200]  指示你們不可以這樣
[00:29:51.200 --> 00:29:54.200]  誰要為大就要做眾人的僕人
[00:29:54.200 --> 00:30:00.200]  誰要為首就要做眾人的服事者
[00:30:00.200 --> 00:30:04.200]  馬丁路德曾經講過一句說話
[00:30:04.200 --> 00:30:09.200]  我覺得這句說話是非常之深刻和有意義
[00:30:09.200 --> 00:30:13.200]  神經上隱藏在十字架的背後
[00:30:13.200 --> 00:30:21.200]  這句說話其實就是腐爛神學
[00:30:21.200 --> 00:30:25.200]  腐爛神學的最基本的正義是什麼呢
[00:30:25.200 --> 00:30:29.200]  為什麼耶穌基督要釘十字架呢
[00:30:29.200 --> 00:30:31.200]  當耶穌基督釘十字架的時候
[00:30:31.200 --> 00:30:33.200]  如果在下面的時候
[00:30:33.200 --> 00:30:35.200]  有人告訴你這是神的兒子
[00:30:35.200 --> 00:30:38.200]  你信不信呢
[00:30:38.200 --> 00:30:40.200]  血淋淋的
[00:30:40.200 --> 00:30:44.200]  如果是神的兒子應該是高高在上
[00:30:44.200 --> 00:30:46.200]  如果是神的兒子不會這麼軟弱
[00:30:46.200 --> 00:30:48.200]  會被人釘的
[00:30:48.200 --> 00:30:50.200]  如果是神的兒子
[00:30:50.200 --> 00:30:54.200]  他不會受到這麼羞辱的結局
[00:30:54.200 --> 00:31:02.200]  所以如果你說釘十字架的耶穌就是神的兒子
[00:31:02.200 --> 00:31:07.200]  我想那一刻你和我都不會相信
[00:31:07.200 --> 00:31:11.200]  當然現在我們回頭我們知道
[00:31:11.200 --> 00:31:13.200]  但是當時那一刻
[00:31:13.200 --> 00:31:17.200]  如果你在十字架底下你不會相信
[00:31:17.200 --> 00:31:21.200]  但是神有沒有在十字架的背後呢
[00:31:21.200 --> 00:31:28.200]  天父是不是透過十字架去成就他的救恩呢
