
[00:00:00.000 --> 00:00:16.000]  從受苦節到復活節 通常我們對中間星期六是完全不會提的
[00:13:16.000 --> 00:13:21.000]  將陰間的靈魂釋放
[00:13:21.000 --> 00:13:24.000]  這個在東方教會的傳統中
[00:13:24.000 --> 00:13:27.000]  稱為Harrowing of Hades
[00:13:27.000 --> 00:13:30.000]  將陰間的門打開
[00:13:30.000 --> 00:13:36.000]  這是耶穌基督死了之後所做的一件事
[00:13:36.000 --> 00:13:40.000]  將在陰間囚禁的靈魂
[00:13:40.000 --> 00:13:44.000]  帶他們上到哪裡?
[00:13:44.000 --> 00:13:50.000]  今天下午我們記得耶穌七句在十字架上的一句
[00:13:50.000 --> 00:13:55.000]  今天你要和我在樂園裡了
[00:13:55.000 --> 00:13:56.000]  他約好了強度
[00:13:56.000 --> 00:13:59.000]  不是約他將來回來的時候
[00:13:59.000 --> 00:14:02.000]  強度說你德國降臨
[00:14:02.000 --> 00:14:05.000]  下午不在的人就不知道什麼叫德國了
[00:14:05.000 --> 00:14:07.000]  知道不是Germany
[00:14:07.000 --> 00:14:08.000]  約定了
[00:14:08.000 --> 00:14:11.000]  所以不是說耶穌回來的時候見到這個強度
[00:14:11.000 --> 00:14:14.000]  我們在十字架上做了朋友交換了卡片
[00:14:14.000 --> 00:14:15.000]  不是的
[00:14:15.000 --> 00:14:16.000]  今天
[00:14:16.000 --> 00:14:23.000]  但是東方教會相信耶穌基督去樂園和強度會面之前
[00:14:23.000 --> 00:14:25.000]  繞了一個圈
[00:14:25.000 --> 00:14:26.000]  Detour
[00:14:26.000 --> 00:14:29.000]  他經過陰間
[00:14:29.000 --> 00:14:32.000]  所以到他在樂園和強度見面的時候
[00:14:32.000 --> 00:14:38.000]  他帶了所有陰間被囚禁的靈魂
[00:14:38.000 --> 00:14:40.000]  所以在埃及
[00:14:40.000 --> 00:14:42.000]  在埃塞俄比亞
[00:14:42.000 --> 00:14:43.000]  不是今天
[00:14:43.000 --> 00:14:46.000]  是說最早的教會
[00:14:46.000 --> 00:14:49.000]  埃及的教會稱為Coptic Church
[00:14:49.000 --> 00:14:50.000]  認識這個字嗎?
[00:14:50.000 --> 00:14:53.000]  這是埃及古老的教會
[00:14:53.000 --> 00:14:59.000]  埃塞俄比亞記得在《士道行傳》叫埃提亞伯
[00:14:59.000 --> 00:15:00.000]  那個太監
[00:15:00.000 --> 00:15:01.000]  誰帶他去信耶穌?
[00:15:01.000 --> 00:15:02.000]  是說菲利
[00:15:02.000 --> 00:15:04.000]  執事當中
[00:15:04.000 --> 00:15:06.000]  史提反殉道之後
[00:15:06.000 --> 00:15:08.000]  菲利在聖靈感動之下
[00:15:08.000 --> 00:15:09.000]  下到曠野
[00:15:09.000 --> 00:15:11.000]  帶了這個太監信主
[00:15:11.000 --> 00:15:16.000]  所以教會很快就在非洲的北部
[00:15:16.000 --> 00:15:17.000]  你說是土人
[00:15:17.000 --> 00:15:18.000]  你錯了
[00:15:18.000 --> 00:15:20.000]  四大文明古國
[00:15:20.000 --> 00:15:21.000]  告訴我哪四個?
[00:15:21.000 --> 00:15:23.000]  中國
[00:15:23.000 --> 00:15:25.000]  埃及
[00:15:25.000 --> 00:15:27.000]  巴比倫
[00:15:27.000 --> 00:15:28.000]  還有呢?
[00:15:28.000 --> 00:15:29.000]  我們總是說到最後
[00:15:29.000 --> 00:15:30.000]  經常都看不起他們
[00:15:30.000 --> 00:15:31.000]  印度
[00:15:31.000 --> 00:15:34.000]  四個古文明
[00:15:34.000 --> 00:15:37.000]  都是在河流發展出來的
[00:15:37.000 --> 00:15:40.000]  中國是黃河不是珠江
[00:15:40.000 --> 00:15:43.000]  我們總是以為香港很老
[00:15:43.000 --> 00:15:44.000]  不是的
[00:15:44.000 --> 00:15:45.000]  黃河
[00:15:45.000 --> 00:15:46.000]  印度呢?
[00:15:46.000 --> 00:15:47.000]  恆河
[00:15:47.000 --> 00:15:48.000]  巴比倫呢?
[00:15:48.000 --> 00:15:50.000]  兩條河
[00:15:50.000 --> 00:15:51.000]  底格拉斯河
[00:15:51.000 --> 00:15:52.000]  又法拉底河
[00:15:52.000 --> 00:15:53.000]  埃及呢?
[00:15:53.000 --> 00:15:54.000]  利羅河
[00:15:54.000 --> 00:15:56.000]  不是坐熱氣球的
[00:15:56.000 --> 00:15:59.000]  是在利羅河每年水漲
[00:15:59.000 --> 00:16:03.000]  將很肥沃的泥土帶上兩岸
[00:16:03.000 --> 00:16:08.000]  就開始了四大文明古國的其中一個
[00:16:08.000 --> 00:16:12.000]  所以非洲的北部是古文明的地方
[00:16:12.000 --> 00:16:14.000]  不是部族
[00:16:14.000 --> 00:16:16.000]  不是吃人的那些
[00:16:16.000 --> 00:16:18.000]  窩窩窩的那些跳跳
[00:16:18.000 --> 00:16:19.000]  煮的生飯
[00:16:19.000 --> 00:16:20.000]  不是
[00:16:20.000 --> 00:16:22.000]  我們經常都以為搞錯了
[00:16:22.000 --> 00:16:26.000]  東方教會
[00:16:26.000 --> 00:16:30.000]  古老的埃及和埃塞俄比亞教會
[00:16:30.000 --> 00:16:35.000]  他們稱今日為Joyous Saturday
[00:16:35.000 --> 00:16:37.000]  從Black Saturday
[00:16:37.000 --> 00:16:38.000]  黑色
[00:16:38.000 --> 00:16:40.000]  蓋著很傷心
[00:16:40.000 --> 00:16:43.000]  紀念耶穌埋葬死了
[00:16:43.000 --> 00:16:44.000]  不是
[00:16:44.000 --> 00:16:46.000]  他們稱為快樂的星期六
[00:16:46.000 --> 00:16:47.000]  為什麼?
[00:16:47.000 --> 00:16:52.000]  因為基督勝過死亡
[00:16:52.000 --> 00:16:56.000]  是先向陰間宣佈
[00:16:56.000 --> 00:16:59.000]  比起復活節的清晨
[00:16:59.000 --> 00:17:00.000]  明天早上
[00:17:00.000 --> 00:17:04.000]  瑪利亞和婦女見到天使
[00:17:04.000 --> 00:17:06.000]  知道耶穌復活
[00:17:06.000 --> 00:17:08.000]  早了一天
[00:17:08.000 --> 00:17:09.000]  懂不懂?
[00:17:09.000 --> 00:17:12.000]  所以Joyous Saturday
[00:17:12.000 --> 00:17:13.000]  星期六
[00:17:13.000 --> 00:17:19.000]  是基督向陰間宣佈他的勝利
[00:17:19.000 --> 00:17:23.000]  然後才用陰間
[00:17:23.000 --> 00:17:25.000]  有陽間
[00:17:25.000 --> 00:17:27.000]  才向世人
[00:17:27.000 --> 00:17:30.000]  向他的門徒復活顯現
[00:17:30.000 --> 00:17:32.000]  這是星期六
[00:17:32.000 --> 00:17:34.000]  所以東方教會
[00:17:34.000 --> 00:17:36.000]  來到星期六晚
[00:17:36.000 --> 00:17:37.000]  現在八點上午
[00:17:37.000 --> 00:17:40.000]  他們是十一點半
[00:17:40.000 --> 00:17:45.000]  將整個禮堂聖堂的蠟燭
[00:17:45.000 --> 00:17:47.000]  沒有燈光
[00:17:47.000 --> 00:17:48.000]  古老
[00:17:48.000 --> 00:17:50.000]  將所有蠟燭熄滅
[00:17:50.000 --> 00:17:56.000]  然後在七黑和寂靜當中
[00:17:56.000 --> 00:17:58.000]  所有基督徒
[00:17:58.000 --> 00:18:01.000]  等候十二點
[00:18:01.000 --> 00:18:03.000]  晚上的時候
[00:18:03.000 --> 00:18:07.000]  宣佈基督已經復活
[00:18:07.000 --> 00:18:09.000]  很震撼
[00:18:09.000 --> 00:18:11.000]  不過我們今天不敢關燈
[00:18:11.000 --> 00:18:15.000]  這是星期六
[00:18:15.000 --> 00:18:18.000]  在東方
[00:18:18.000 --> 00:18:21.000]  西方的教會
[00:18:21.000 --> 00:18:23.000]  傳統
[00:18:23.000 --> 00:18:25.000]  所發生的事
[00:18:25.000 --> 00:18:29.000]  聖經有沒有說
[00:18:29.000 --> 00:18:32.000]  耶穌下到陰間呢?
[00:18:32.000 --> 00:18:37.000]  唯一的根據
[00:18:37.000 --> 00:18:40.000]  就是一節
[00:18:40.000 --> 00:18:42.000]  在新約
[00:18:42.000 --> 00:18:44.000]  彼得前書
[00:18:44.000 --> 00:18:46.000]  第三章
[00:18:46.000 --> 00:18:48.000]  十九二十節
[00:18:48.000 --> 00:18:49.000]  兩節
[00:18:49.000 --> 00:18:51.000]  其實主要是一節
[00:18:51.000 --> 00:18:54.000]  不過我們要讀完二十節
[00:18:54.000 --> 00:18:57.000]  就比較清楚
[00:18:57.000 --> 00:18:58.000]  我讀給你聽吧
[00:18:58.000 --> 00:19:00.000]  你不一定有聖經在手上
[00:19:00.000 --> 00:19:04.000]  彼得前書第三章第十九節
[00:19:04.000 --> 00:19:05.000]  二十節
[00:19:05.000 --> 00:19:07.000]  是這樣說的
[00:19:07.000 --> 00:19:08.000]  他
[00:19:08.000 --> 00:19:10.000]  藉這靈
[00:19:10.000 --> 00:19:12.000]  曾去傳道
[00:19:12.000 --> 00:19:18.000]  給那些在監獄裡的靈聽
[00:19:18.000 --> 00:19:19.000]  他
[00:19:19.000 --> 00:19:22.000]  是指上面第十八節所說的
[00:19:22.000 --> 00:19:27.000]  因基督也曾畏罪受死
[00:19:27.000 --> 00:19:29.000]  小字說不是受苦
[00:19:29.000 --> 00:19:30.000]  是受死
[00:19:30.000 --> 00:19:31.000]  基督
[00:19:31.000 --> 00:19:33.000]  藉著這靈
[00:19:33.000 --> 00:19:36.000]  十八節最後那兩句說
[00:19:36.000 --> 00:19:38.000]  安著肉體
[00:19:38.000 --> 00:19:39.000]  他被賜死
[00:19:39.000 --> 00:19:40.000]  但是安著
[00:19:40.000 --> 00:19:41.000]  和學本譯靈
[00:19:41.000 --> 00:19:42.000]  聖
[00:19:42.000 --> 00:19:44.000]  這是不正確的翻譯
[00:19:44.000 --> 00:19:46.000]  不是說人有靈性
[00:19:46.000 --> 00:19:48.000]  這裡說的是安著聖靈
[00:19:48.000 --> 00:19:50.000]  神的靈
[00:19:50.000 --> 00:19:52.000]  他復活了
[00:19:52.000 --> 00:19:54.000]  然後十九節說
[00:19:54.000 --> 00:19:56.000]  基督藉著聖靈
[00:19:56.000 --> 00:19:57.000]  神的靈
[00:19:57.000 --> 00:20:02.000]  去傳道給那些在監獄裡的靈聽
[00:20:02.000 --> 00:20:06.000]  這句應該成為監獄報道團契的團訓
[00:20:06.000 --> 00:20:08.000]  每一次去監獄報道
[00:20:08.000 --> 00:20:10.000]  都讀這一節團訓
[00:20:10.000 --> 00:20:11.000]  他藉這靈
[00:20:11.000 --> 00:20:12.000]  曾去傳道
[00:20:12.000 --> 00:20:14.000]  給那些在監獄裡的靈聽
[00:20:14.000 --> 00:20:16.000]  然後就走進去
[00:20:16.000 --> 00:20:17.000]  不是啊
[00:20:17.000 --> 00:20:18.000]  這個監獄是說什麼呢
[00:20:18.000 --> 00:20:19.000]  二十節
[00:20:19.000 --> 00:20:21.000]  所以我們要讀多一節
[00:20:21.000 --> 00:20:22.000]  二十節說
[00:20:22.000 --> 00:20:28.000]  就是那從前在羅亞預備方舟
[00:20:28.000 --> 00:20:33.000]  上帝容忍等待的時候
[00:20:33.000 --> 00:20:36.000]  不順從的人
[00:20:36.000 --> 00:20:40.000]  聽不明白吧
[00:20:40.000 --> 00:20:42.000]  這是我們平時從來不會說的經文
[00:20:42.000 --> 00:20:44.000]  看到都假裝看不到
[00:20:44.000 --> 00:20:46.000]  問出來都說這是骨頭
[00:20:46.000 --> 00:20:47.000]  簡文一遍
[00:20:47.000 --> 00:20:49.000]  查經讀一些懂得解釋的
[00:20:49.000 --> 00:20:50.000]  是很難解的
[00:20:50.000 --> 00:20:52.000]  的確是很難解的
[00:20:52.000 --> 00:20:53.000]  因為這裡說的是
[00:20:53.000 --> 00:20:56.000]  耶穌基督藉著神的靈
[00:20:56.000 --> 00:21:00.000]  傳道給那些在監獄裡的
[00:21:00.000 --> 00:21:01.000]  不是人
[00:21:01.000 --> 00:21:03.000]  是靈
[00:21:03.000 --> 00:21:05.000]  你說靈可以代表人
[00:21:05.000 --> 00:21:06.000]  不行
[00:21:06.000 --> 00:21:08.000]  因為接著二十節解釋
[00:21:08.000 --> 00:21:15.000]  這些靈就是從前羅亞預備方舟的時候
[00:21:15.000 --> 00:21:19.000]  那些不順從的人
[00:21:19.000 --> 00:21:22.000]  懂不懂
[00:21:22.000 --> 00:21:25.000]  這個監獄就不是芝麻灣
[00:21:25.000 --> 00:21:27.000]  不是石壁
[00:21:27.000 --> 00:21:30.000]  不是我們認識的監獄
[00:21:30.000 --> 00:21:32.000]  這個監獄裡的靈
[00:21:32.000 --> 00:21:34.000]  其實是一個比喻
[00:21:34.000 --> 00:21:36.000]  因為困住什麼人
[00:21:36.000 --> 00:21:41.000]  洪水時候那些不順的人
[00:21:41.000 --> 00:21:43.000]  大件事
[00:21:43.000 --> 00:21:45.000]  原來耶穌繞了個圈
[00:21:45.000 --> 00:21:47.000]  去了那麼遠
[00:21:47.000 --> 00:21:48.000]  去了哪裡
[00:21:48.000 --> 00:21:49.000]  這些人在哪裡
[00:21:49.000 --> 00:21:53.000]  所以為什麼東方教會會說
[00:21:53.000 --> 00:21:56.000]  耶穌藉著神的靈
[00:21:56.000 --> 00:22:00.000]  在這個Holy and Great
[00:22:00.000 --> 00:22:02.000]  不止是Joyous Saturday
[00:22:02.000 --> 00:22:04.000]  在星期六這個安息日
[00:22:04.000 --> 00:22:06.000]  其實他一點都不安息
[00:22:06.000 --> 00:22:07.000]  他沒有放假
[00:22:07.000 --> 00:22:09.000]  他沒有不聽電話
[00:22:09.000 --> 00:22:10.000]  還忙一些
[00:22:10.000 --> 00:22:11.000]  他出trip
[00:22:11.000 --> 00:22:13.000]  OK
[00:22:13.000 --> 00:22:15.000]  他去了一趟
[00:22:15.000 --> 00:22:16.000]  去到哪裡
[00:22:16.000 --> 00:22:18.000]  去到陰間
[00:22:18.000 --> 00:22:21.000]  根據就是這節聖經
[00:22:21.000 --> 00:22:23.000]  我看了那麼多
[00:22:23.000 --> 00:22:25.000]  最多就是希臘文怎麼說
[00:22:25.000 --> 00:22:27.000]  希臘文都是這麼說
[00:22:27.000 --> 00:22:29.000]  他藉著靈
[00:22:29.000 --> 00:22:30.000]  曾去傳道
[00:22:30.000 --> 00:22:34.000]  給那些在監獄裡的靈聽
[00:22:34.000 --> 00:22:39.000]  就是那些從前在羅亞預備方舟
[00:22:39.000 --> 00:22:42.000]  上帝容忍等待的時候
[00:22:42.000 --> 00:22:45.000]  那些不順從的人
[00:22:45.000 --> 00:22:48.000]  就這麼多
[00:22:48.000 --> 00:22:53.000]  所以如果你要根據一節這樣的經文
[00:22:53.000 --> 00:23:00.000]  來去建構一個很大的真理
[00:23:00.000 --> 00:23:02.000]  四個字
[00:23:02.000 --> 00:23:04.000]  文擇字符
[00:23:04.000 --> 00:23:06.000]  懂不懂
[00:23:06.000 --> 00:23:07.000]  不懂
[00:23:07.000 --> 00:23:09.000]  你自己負責
[00:23:09.000 --> 00:23:10.000]  聖經說了什麼
[00:23:10.000 --> 00:23:12.000]  聖經說了一個比喻
[00:23:12.000 --> 00:23:15.000]  說基督曾經去過監獄裡
[00:23:15.000 --> 00:23:20.000]  傳道給那些被困在監獄
[00:23:20.000 --> 00:23:21.000]  監獄當然是困住
[00:23:21.000 --> 00:23:23.000]  不是說那些監卒
[00:23:23.000 --> 00:23:25.000]  是說那些監等
[00:23:25.000 --> 00:23:28.000]  這班是從羅亞方舟的時候
