
[00:00:00.000 --> 00:00:06.560]  剛才Jean老師解釋了Marketplace Alumni Club MAC
[00:02:09.480 --> 00:02:10.840]  很清楚的
[00:02:10.840 --> 00:02:12.840]  但去到美國
[00:02:13.480 --> 00:02:15.480]  美國的大學教育
[00:02:15.480 --> 00:02:17.480]  是Liberal Arts Education
[00:02:17.480 --> 00:02:20.360]  我們今天翻譯做博雅
[00:02:20.360 --> 00:02:21.800]  很好聽的
[00:02:21.800 --> 00:02:23.800]  也很有中文典故
[00:02:23.800 --> 00:02:25.800]  沒有特別
[00:02:25.800 --> 00:02:28.520]  好像英國的大學那樣
[00:02:28.520 --> 00:02:32.200]  要你由中學就已經分文科理科
[00:02:32.200 --> 00:02:36.200]  所以有幾個專業的訓練
[00:02:36.200 --> 00:02:43.800]  譬如法律、醫學、商管、神學
[00:02:43.800 --> 00:02:48.760]  都是留待你大學畢業之後
[00:02:48.760 --> 00:02:55.160]  才有三年甚至更長的日子
[00:02:55.160 --> 00:02:59.240]  來接受一個專業的訓練
[00:02:59.240 --> 00:03:02.280]  視之為Graduate School
[00:03:02.280 --> 00:03:03.400]  研究院
[00:03:03.400 --> 00:03:07.240]  所以中國神學研究院
[00:03:07.240 --> 00:03:09.240]  不是研究什麼的
[00:03:09.240 --> 00:03:11.240]  那是研究所
[00:03:11.240 --> 00:03:13.240]  那是研究中心
[00:03:13.240 --> 00:03:19.880]  研究院就是專門為訓練大學畢業
[00:03:19.880 --> 00:03:25.480]  有專上的教育水平的同學
[00:03:25.480 --> 00:03:28.040]  神學研究院
[00:03:28.040 --> 00:03:30.040]  可以有很多叫法的
[00:03:30.040 --> 00:03:33.000]  今天通常叫Seminary
[00:03:33.000 --> 00:03:35.000]  或者叫Divinity School
[00:03:35.000 --> 00:03:37.880]  我們叫Graduate School
[00:03:37.880 --> 00:03:43.320]  因為反映了四位忠臣創辦的弟兄
[00:03:43.320 --> 00:03:46.360]  他們都在美國費城
[00:03:46.360 --> 00:03:48.360]  Westminster神學院
[00:03:48.360 --> 00:03:50.360]  那裡讀書的時候
[00:03:50.360 --> 00:03:56.920]  他們領受中國神學研究院的議長
[00:03:56.920 --> 00:04:00.120]  研究院最值錢的地方
[00:04:00.120 --> 00:04:02.120]  不是那班老師
[00:04:02.120 --> 00:04:04.120]  你知道的
[00:04:04.120 --> 00:04:06.760]  研究院最值錢的地方
[00:04:06.760 --> 00:04:08.760]  是那個Network
[00:04:08.760 --> 00:04:11.880]  是那個畢業的群體
[00:04:11.880 --> 00:04:13.880]  所以你去哪裏的
[00:04:13.880 --> 00:04:15.880]  Harvard Law School
[00:04:15.880 --> 00:04:17.880]  Harvard Business School
[00:04:17.880 --> 00:04:19.880]  那個Network
[00:04:19.880 --> 00:04:21.880]  就是研究院學費
[00:04:21.880 --> 00:04:25.320]  為什麼收得你那麼貴的原因
[00:04:25.320 --> 00:04:27.320]  所以你現在明白
[00:04:27.320 --> 00:04:29.320]  為什麼忠臣收那麼貴的學費
[00:04:29.320 --> 00:04:31.320]  因為那個Network
[00:04:31.320 --> 00:04:33.320]  會是你下半生
[00:04:33.320 --> 00:04:38.120]  最值錢的原因
[00:04:38.120 --> 00:04:41.720]  今天早上我想和你分享的經文
[00:04:41.720 --> 00:04:46.040]  都和研究院有關
[00:04:46.040 --> 00:04:50.600]  《春海及記》第四章
[00:04:50.600 --> 00:04:54.600]  我們讀和合本的經文
[00:04:54.600 --> 00:04:56.600]  大家不要帶聖經在身邊
[00:04:56.600 --> 00:04:58.600]  我們一起讀
[00:04:58.600 --> 00:05:00.600]  (文字)
[00:05:00.600 --> 00:05:03.720]  主啊!我數日不是能言的人
[00:05:03.720 --> 00:05:07.000]  就是從你對僕人說話以後
[00:05:07.000 --> 00:05:09.000]  是這樣
[00:05:09.000 --> 00:05:11.000]  我本是絕口不洩的
[00:05:11.000 --> 00:05:13.000]  耶和華對他說
[00:05:13.000 --> 00:05:15.000]  誰造人的口呢
[00:05:15.000 --> 00:05:17.000]  誰使人口牙耳聾
[00:05:17.000 --> 00:05:19.000]  目明眼瞎呢
[00:05:19.000 --> 00:05:21.000]  豈不是我
[00:05:21.000 --> 00:05:23.000]  耶和華嗎
[00:05:23.000 --> 00:05:25.000]  現在去吧
[00:05:25.000 --> 00:05:27.000]  我必賜你口才
[00:05:27.000 --> 00:05:29.000]  指教你所當說的話
[00:05:29.000 --> 00:05:31.000]  主啊!你願意打發誰
[00:05:31.000 --> 00:05:33.000]  就打發誰去吧
[00:05:33.000 --> 00:05:35.000]  耶和華向摩西發怒說
[00:05:35.000 --> 00:05:37.000]  不是有你的哥哥利美人阿倫嗎
[00:05:37.000 --> 00:05:39.000]  我知道他是能言的
[00:05:39.000 --> 00:05:41.000]  現在他出來迎接你
[00:05:41.000 --> 00:05:43.000]  他一見你
[00:05:43.000 --> 00:05:45.000]  心裡就歡喜
[00:05:45.000 --> 00:05:47.000]  你要將當說的話傳給他
[00:05:47.000 --> 00:05:49.000]  我也要賜你和他口才
[00:05:49.000 --> 00:05:51.000]  又要指教你們所當行的事
[00:05:51.000 --> 00:05:53.000]  他要他去吧
[00:05:53.000 --> 00:05:55.000]  我必賜你口才
[00:05:55.000 --> 00:05:57.000]  指教你們所當行的事
[00:05:57.000 --> 00:05:59.000]  他要替你對百姓說話
[00:05:59.000 --> 00:06:01.000]  你要以他當作口
[00:06:01.000 --> 00:06:03.000]  他要以你當作神
[00:06:03.000 --> 00:06:05.000]  這一段是摩西
[00:06:05.000 --> 00:06:07.000]  接受上帝的呼召
[00:06:07.000 --> 00:06:09.000]  焚燒的驚擊
[00:06:09.000 --> 00:06:11.000]  這一幕
[00:06:11.000 --> 00:06:13.000]  之後
[00:06:13.000 --> 00:06:15.000]  上帝
[00:06:15.000 --> 00:06:17.000]  差遣摩西
[00:06:17.000 --> 00:06:19.000]  八十歲了
[00:06:19.000 --> 00:06:21.000]  哇!你很老坐輪椅
[00:06:21.000 --> 00:06:23.000]  不是
[00:06:23.000 --> 00:06:25.000]  摩西是八十歲
[00:06:25.000 --> 00:06:27.000]  你很老坐輪椅
[00:06:27.000 --> 00:06:29.000]  不是
[00:06:29.000 --> 00:06:31.000]  摩西是一百二十歲
[00:06:31.000 --> 00:06:33.000]  這是他人生的三分二
[00:06:33.000 --> 00:06:35.000]  你當
[00:06:35.000 --> 00:06:37.000]  七十五年
[00:06:37.000 --> 00:06:39.000]  香港人均壽命
[00:06:39.000 --> 00:06:41.000]  五十歲
[00:06:41.000 --> 00:06:43.000]  摩西在曠野
[00:06:43.000 --> 00:06:45.000]  四十年
[00:06:45.000 --> 00:06:47.000]  牧羊
[00:06:47.000 --> 00:06:49.000]  他以為他一生
[00:06:49.000 --> 00:06:51.000]  就是這樣
[00:06:51.000 --> 00:06:53.000]  日出而作
[00:06:53.000 --> 00:06:55.000]  上帝在異象當中
[00:06:55.000 --> 00:06:57.000]  呼喚摩西
[00:06:57.000 --> 00:06:59.000]  大家很熟悉
[00:06:59.000 --> 00:07:01.000]  這段經文
[00:07:01.000 --> 00:07:03.000]  我相信你上來也有得說
[00:07:03.000 --> 00:07:05.000]  摩西
[00:07:05.000 --> 00:07:07.000]  領受
[00:07:07.000 --> 00:07:09.000]  上帝的呼召
[00:07:09.000 --> 00:07:11.000]  他有好幾個
[00:07:11.000 --> 00:07:13.000]  回應
[00:07:13.000 --> 00:07:15.000]  他有好幾個
[00:07:15.000 --> 00:07:17.000]  怎麼說呢
[00:07:17.000 --> 00:07:19.000]  推搪的理由
[00:07:19.000 --> 00:07:21.000]  和合本
[00:07:21.000 --> 00:07:23.000]  合本的翻譯
[00:07:23.000 --> 00:07:27.000]  其實也將主要的意思
[00:07:27.000 --> 00:07:29.000]  翻譯了出來
[00:07:29.000 --> 00:07:31.000]  不過
[00:07:31.000 --> 00:07:33.000]  就不是
[00:07:33.000 --> 00:07:35.000]  很
[00:07:35.000 --> 00:07:37.000]  自勉
[00:07:37.000 --> 00:07:39.000]  這樣全翻譯了出來
[00:07:39.000 --> 00:07:41.000]  這也是一般
[00:07:41.000 --> 00:07:43.000]  中文
[00:07:43.000 --> 00:07:45.000]  英文的聖經
[00:07:45.000 --> 00:07:47.000]  翻譯的時候
[00:07:47.000 --> 00:07:49.000]  他會將意思表達
[00:07:49.000 --> 00:07:51.000]  將裡面
[00:07:51.000 --> 00:07:53.000]  比較
[00:07:53.000 --> 00:07:55.000]  沉棄的地方
[00:07:55.000 --> 00:07:57.000]  省略了
[00:07:57.000 --> 00:07:59.000]  但其實
[00:07:59.000 --> 00:08:01.000]  那些不是沉棄
[00:08:01.000 --> 00:08:03.000]  譬如你看呂鎮忠
[00:08:03.000 --> 00:08:05.000]  的翻譯
[00:08:05.000 --> 00:08:07.000]  主啊
[00:08:07.000 --> 00:08:09.000]  我數日
[00:08:09.000 --> 00:08:11.000]  不是能言的人
[00:08:11.000 --> 00:08:13.000]  這是和合本一句說話
[00:08:13.000 --> 00:08:15.000]  或者今天我們的說法
[00:08:15.000 --> 00:08:17.000]  我數來都不是會說話的
[00:08:17.000 --> 00:08:19.000]  大家明白意思吧
[00:08:19.000 --> 00:08:21.000]  但其實原本
[00:08:21.000 --> 00:08:23.000]  摩西在說什麼呢
[00:08:23.000 --> 00:08:25.000]  摩西原本呂鎮忠的翻譯
[00:08:25.000 --> 00:08:27.000]  比較貼近希伯來文
[00:08:27.000 --> 00:08:29.000]  主啊,我不是善於說話的人
[00:08:29.000 --> 00:08:31.000]  昨天不是
[00:08:31.000 --> 00:08:33.000]  前天不是
[00:08:33.000 --> 00:08:35.000]  從你對僕人
[00:08:35.000 --> 00:08:37.000]  說話時以後
[00:08:37.000 --> 00:08:39.000]  也不是
[00:08:39.000 --> 00:08:41.000]  因為我本是
[00:08:41.000 --> 00:08:43.000]  口舌遲鈍的
[00:08:43.000 --> 00:08:45.000]  遲鈍的
[00:08:45.000 --> 00:08:49.000]  昨天不是
[00:08:49.000 --> 00:08:51.000]  前天不是
[00:08:51.000 --> 00:08:53.000]  即是數來都不是
[00:08:53.000 --> 00:08:55.000]  所以和合本沒有翻譯錯
[00:08:55.000 --> 00:08:57.000]  但漏了的是什麼呢
[00:08:57.000 --> 00:08:59.000]  漏了的就是
[00:08:59.000 --> 00:09:01.000]  重複
[00:09:01.000 --> 00:09:03.000]  強調
[00:09:03.000 --> 00:09:05.000]  的重點
[00:09:05.000 --> 00:09:07.000]  摩西原來
[00:09:07.000 --> 00:09:09.000]  中間這句說話
[00:09:09.000 --> 00:09:11.000]  是很有內容的
[00:09:11.000 --> 00:09:13.000]  他不是就這樣說
[00:09:13.000 --> 00:09:15.000]  我數來都不是會說話的
[00:09:15.000 --> 00:09:17.000]  其實他很會說話的
[00:09:17.000 --> 00:09:19.000]  他怎樣會說話呢
[00:09:19.000 --> 00:09:21.000]  他說我昨天不是
[00:09:21.000 --> 00:09:23.000]  我前天不是
[00:09:23.000 --> 00:09:25.000]  你跟我說完之後我都不是
[00:09:25.000 --> 00:09:27.000]  那個不是
[00:09:27.000 --> 00:09:29.000]  不是
[00:09:29.000 --> 00:09:31.000]  不是
[00:09:31.000 --> 00:09:33.000]  來到第三句
[00:09:33.000 --> 00:09:35.000]  就已經重複了第三次
[00:09:35.000 --> 00:09:37.000]  聽到嗎
[00:09:37.000 --> 00:09:39.000]  其實重點不是
[00:09:39.000 --> 00:09:41.000]  昨天不是前天
[00:09:41.000 --> 00:09:43.000]  不是一向都不會說話
[00:09:43.000 --> 00:09:45.000]  摩西一向都會說話
[00:09:45.000 --> 00:09:49.000]  四大文明古國
[00:09:49.000 --> 00:09:51.000]  埃及皇宮
[00:09:51.000 --> 00:09:53.000]  四十年
[00:09:53.000 --> 00:09:55.000]  哈佛法學學校
[00:09:55.000 --> 00:09:57.000]  畢業
[00:09:57.000 --> 00:09:59.000]  怎會不會說話呢
[00:09:59.000 --> 00:10:01.000]  怎會不會說話呢
[00:10:01.000 --> 00:10:03.000]  所以摩西會說話
[00:10:03.000 --> 00:10:05.000]  摩西這句說話
[00:10:05.000 --> 00:10:07.000]  其實重點
[00:10:07.000 --> 00:10:09.000]  你看到嗎
[00:10:09.000 --> 00:10:11.000]  其實是跟上帝說
[00:10:11.000 --> 00:10:13.000]  你跟我說完之後
[00:10:13.000 --> 00:10:15.000]  都沒有用的
[00:10:15.000 --> 00:10:17.000]  聽到嗎
[00:10:17.000 --> 00:10:19.000]  其實這才是重點
[00:10:19.000 --> 00:10:21.000]  你選擇我
[00:10:21.000 --> 00:10:23.000]  上帝
[00:10:23.000 --> 00:10:25.000]  我不夠條件的
[00:10:25.000 --> 00:10:27.000]  我改變不到的
[00:10:27.000 --> 00:10:29.000]  五十歲人
[00:10:29.000 --> 00:10:31.000]  已經是這樣的了
[00:10:31.000 --> 00:10:33.000]  我是怎樣
[00:10:33.000 --> 00:10:35.000]  你知道的
[00:10:35.000 --> 00:10:37.000]  是你做我的
[00:10:37.000 --> 00:10:39.000]  你保守我
[00:10:39.000 --> 00:10:41.000]  你帶領我
[00:10:41.000 --> 00:10:43.000]  你要我改變
[00:10:43.000 --> 00:10:45.000]  我一向都是這樣的
[00:10:45.000 --> 00:10:47.000]  如果用中文的成語
[00:10:47.000 --> 00:10:49.000]  應該怎樣說
[00:10:49.000 --> 00:10:51.000]  大丈夫行不改姓
[00:10:51.000 --> 00:10:53.000]  坐不改名
[00:10:53.000 --> 00:10:55.000]  江山易改
[00:10:55.000 --> 00:10:57.000]  品性不宜
[00:10:57.000 --> 00:10:59.000]  摩西最重要的那句
[00:10:59.000 --> 00:11:01.000]  其實是說
[00:11:01.000 --> 00:11:03.000]  你跟我說完之後
[00:11:03.000 --> 00:11:05.000]  都沒有用的
[00:11:05.000 --> 00:11:07.000]  讀完忠臣之後
[00:11:07.000 --> 00:11:09.000]  都不會改的
[00:11:09.000 --> 00:11:11.000]  聽得明白嗎
[00:11:11.000 --> 00:11:13.000]  你不要指望我會改變
[00:11:13.000 --> 00:11:15.000]  沒有用的
[00:11:15.000 --> 00:11:17.000]  懂得聽嗎
[00:11:17.000 --> 00:11:19.000]  所以如果你說我一直都是不懂說話的人
[00:11:19.000 --> 00:11:21.000]  你跟我說完之後
[00:11:21.000 --> 00:11:23.000]  都是一樣
[00:11:23.000 --> 00:11:25.000]  不是的 摩西的重點是
[00:11:25.000 --> 00:11:27.000]  上帝啊 你是跟我說了
[00:11:27.000 --> 00:11:29.000]  不過你改不了我這一生的
[00:11:29.000 --> 00:11:31.000]  我是怎樣的人
[00:11:31.000 --> 00:11:33.000]  就是怎樣的人
[00:11:33.000 --> 00:11:35.000]  這個翻譯出來
[00:11:35.000 --> 00:11:37.000]  真的很難的
[00:11:37.000 --> 00:11:39.000]  很難的
[00:11:39.000 --> 00:11:41.000]  所以有時候翻譯要加上注釋
[00:11:41.000 --> 00:11:43.000]  就是這個意思
[00:11:43.000 --> 00:11:45.000]  摩西最重要的那句
[00:11:45.000 --> 00:11:47.000]  其實是第三個
[00:11:47.000 --> 00:11:49.000]  的不是
[00:11:49.000 --> 00:11:53.000]  你說摩西其實都很謙虛的
[00:11:53.000 --> 00:11:57.000]  他說他自己是口舌遲鈍
[00:11:57.000 --> 00:11:59.000]  這個翻譯呢
[00:11:59.000 --> 00:12:01.000]  對了一半
[00:12:01.000 --> 00:12:03.000]  再加四分一
[00:12:03.000 --> 00:12:05.000]  為甚麼這樣說呢
[00:12:05.000 --> 00:12:07.000]  對了一半
[00:12:07.000 --> 00:12:09.000]  的確希伯來文是有說口
[00:12:09.000 --> 00:12:11.000]  和有說舌頭
[00:12:11.000 --> 00:12:13.000]  但是遲鈍
[00:12:13.000 --> 00:12:15.000]  這裡其實是重複著
[00:12:15.000 --> 00:12:17.000]  同一個形容詞
[00:12:17.000 --> 00:12:19.000]  我的口
[00:12:19.000 --> 00:12:21.000]  和我的舌
[00:12:21.000 --> 00:12:23.000]  都是重的
[00:12:23.000 --> 00:12:25.000]  重的
[00:12:25.000 --> 00:12:27.000]  沉重的
[00:12:27.000 --> 00:12:29.000]  那就遲鈍了
[00:12:29.000 --> 00:12:31.000]  沒有翻譯錯
[00:12:31.000 --> 00:12:35.000]  不過我是口重舌重的人
[00:12:35.000 --> 00:12:37.000]  中文就很古怪
[00:12:37.000 --> 00:12:39.000]  很不通順
[00:12:39.000 --> 00:12:41.000]  我是不會說話的
[00:12:41.000 --> 00:12:43.000]  不是
[00:12:43.000 --> 00:12:45.000]  重這個字
[00:12:45.000 --> 00:12:47.000]  其實在希伯來文
[00:12:47.000 --> 00:12:49.000]  也很難的
[00:12:49.000 --> 00:12:51.000]  因為這個字
[00:12:51.000 --> 00:12:53.000]  在希伯來文
[00:12:53.000 --> 00:12:57.000]  也可以解為有份量
[00:12:57.000 --> 00:13:01.000]  我是很重的人
[00:13:01.000 --> 00:13:03.000]  最近很多人說我瘦了
[00:13:03.000 --> 00:13:05.000]  不是啊
[00:13:05.000 --> 00:13:07.000]  我是說我身份
[00:13:07.000 --> 00:13:09.000]  聽懂了嗎
[00:13:09.000 --> 00:13:11.000]  所以我不輕易說話
[00:13:11.000 --> 00:13:13.000]  如果我說話太多
[00:13:13.000 --> 00:13:15.000]  反而不好
[00:13:15.000 --> 00:13:17.000]  一個有身份的人
[00:13:17.000 --> 00:13:19.000]  在他的說話上
[00:13:19.000 --> 00:13:21.000]  是謹慎的
[00:13:21.000 --> 00:13:23.000]  所以摩西這句
[00:13:23.000 --> 00:13:27.000]  是不是真的謙虛呢
[00:13:27.000 --> 00:13:29.000]  如果你這樣聽的時候
[00:13:29.000 --> 00:13:33.000]  就有四分一的可能
[00:13:33.000 --> 00:13:35.000]  摩西是說
[00:13:35.000 --> 00:13:37.000]  我不是隨便說話的
[00:13:37.000 --> 00:13:43.000]  就算我之前衝動殺人也好
[00:13:43.000 --> 00:13:45.000]  這四十年在曠野牧羊
[00:13:45.000 --> 00:13:47.000]  對著羊有什麼好說的
[00:13:47.000 --> 00:13:49.000]  所以我練習了
[00:13:49.000 --> 00:13:51.000]  很小心說話
[00:13:51.000 --> 00:13:53.000]  我是一個
[00:13:53.000 --> 00:13:55.000]  你可以懂得翻譯
[00:13:55.000 --> 00:13:57.000]  沉默寡言的人
[00:13:57.000 --> 00:14:01.000]  那就不一定是謙虛了
[00:14:01.000 --> 00:14:03.000]  我喜歡的翻譯
[00:14:03.000 --> 00:14:07.000]  我會用一個更古典的說法
[00:14:07.000 --> 00:14:09.000]  懂不懂
[00:14:09.000 --> 00:14:13.000]  我是一個江危牧律
[00:14:13.000 --> 00:14:15.000]  現在新的字典
[00:14:15.000 --> 00:14:17.000]  可以讀成牧立
[00:14:17.000 --> 00:14:19.000]  我中學的時候
[00:14:19.000 --> 00:14:21.000]  國文老師教我讀牧律
[00:14:21.000 --> 00:14:25.000]  江危牧律的人
[00:14:25.000 --> 00:14:27.000]  有沒有上過羊醫課
[00:14:27.000 --> 00:14:29.000]  羊醫是一個
[00:14:29.000 --> 00:14:33.000]  沉默寡言的人
[00:14:33.000 --> 00:14:37.000]  是一個江危牧律的人
[00:14:37.000 --> 00:14:41.000]  但羊醫過去三十年
[00:14:41.000 --> 00:14:43.000]  塑造了忠臣群體
[00:14:43.000 --> 00:14:47.000]  群體的氣候
[00:14:47.000 --> 00:14:49.000]  不是靠說話的
[00:14:49.000 --> 00:14:51.000]  是不是
[00:14:51.000 --> 00:14:53.000]  不是靠你會說話的
[00:14:53.000 --> 00:14:55.000]  摩西在這裏
[00:14:55.000 --> 00:14:57.000]  其實
[00:14:57.000 --> 00:14:59.000]  他是在稱讚自己
[00:14:59.000 --> 00:15:01.000]  還是在彈自己
[00:15:01.000 --> 00:15:05.000]  你開始對摩西
[00:15:05.000 --> 00:15:07.000]  另眼相看
[00:15:07.000 --> 00:15:09.000]  他不是這麼簡單的
[00:15:09.000 --> 00:15:11.000]  他會說話
[00:15:11.000 --> 00:15:15.000]  他和上帝的對答當中
[00:15:15.000 --> 00:15:17.000]  他這一段的說話
[00:15:17.000 --> 00:15:21.000]  其實有三個部分
[00:15:21.000 --> 00:15:24.000]  開頭結尾
[00:15:24.000 --> 00:15:26.000]  首尾呼應
[00:15:26.000 --> 00:15:31.000]  善於說話的人不是我
[00:15:31.000 --> 00:15:35.000]  江危牧律的才是我
[00:15:35.000 --> 00:15:37.000]  中間
[00:15:37.000 --> 00:15:39.000]  你說他是焦點也好
[00:15:39.000 --> 00:15:41.000]  你說他是根據也好
[00:15:41.000 --> 00:15:43.000]  昨天不是
[00:15:43.000 --> 00:15:45.000]  前天不是
[00:15:45.000 --> 00:15:51.000]  從你對僕人說話以後也不是
[00:15:51.000 --> 00:15:55.000]  重點就不是昨天前天
[00:15:55.000 --> 00:15:57.000]  重點就是
[00:15:57.000 --> 00:15:59.000]  你呼召我
[00:15:59.000 --> 00:16:01.000]  都改變不了我的
[00:16:01.000 --> 00:16:03.000]  嘩!多勤啊!
[00:16:03.000 --> 00:16:07.000]  不是頂天立地
[00:16:07.000 --> 00:16:11.000]  自我形象多好啊!
[00:16:11.000 --> 00:16:13.000]  自我感覺多好啊!
[00:16:13.000 --> 00:16:15.000]  不亢不卑
[00:16:15.000 --> 00:16:17.000]  面對上帝
[00:16:17.000 --> 00:16:19.000]  不用趴在那裏
[00:16:19.000 --> 00:16:21.000]  有時我們很看不起那些基督徒
[00:16:21.000 --> 00:16:23.000]  在職場上一定死的
[00:16:23.000 --> 00:16:27.000]  摩西不是一個loser
[00:16:27.000 --> 00:16:29.000]  你不要搞錯
[00:16:29.000 --> 00:16:31.000]  經濟不好
[00:16:31.000 --> 00:16:33.000]  多些人入神學院
[00:16:33.000 --> 00:16:35.000]  不是的
[00:16:35.000 --> 00:16:37.000]  上帝呼召摩西
[00:16:37.000 --> 00:16:39.000]  摩西這一段說話
[00:16:39.000 --> 00:16:43.000]  全部頂回去
[00:16:43.000 --> 00:16:45.000]  你是否這樣的人
[00:16:45.000 --> 00:16:47.000]  上帝跟你說話
[00:16:47.000 --> 00:16:51.000]  你全部逐句頂回去
[00:16:51.000 --> 00:16:55.000]  不過這個翻譯最難的地方
[00:16:55.000 --> 00:16:59.000]  就是我們中文和希伯來文
[00:16:59.000 --> 00:17:03.000]  在文法上最大的差異
[00:17:03.000 --> 00:17:05.000]  所以翻譯不了
[00:17:05.000 --> 00:17:07.000]  要解釋給你聽
[00:17:07.000 --> 00:17:09.000]  為何釋經講道
[00:17:09.000 --> 00:17:11.000]  還要加上原文
[00:17:11.000 --> 00:17:13.000]  釋經講道
[00:17:13.000 --> 00:17:15.000]  你現在就知道了
[00:17:15.000 --> 00:17:17.000]  我們中文是一個個字
[00:17:17.000 --> 00:17:19.000]  方塊字
[00:17:19.000 --> 00:17:21.000]  所以我們有名詞
[00:17:21.000 --> 00:17:23.000]  有動詞
[00:17:23.000 --> 00:17:25.000]  有形容詞
[00:17:25.000 --> 00:17:27.000]  我們有代名詞
[00:17:27.000 --> 00:17:29.000]  每一個字很清楚
[00:17:29.000 --> 00:17:31.000]  如果教中文班
[00:17:31.000 --> 00:17:33.000]  可以逐個去分析
[00:17:33.000 --> 00:17:35.000]  希伯來文都有
[00:17:35.000 --> 00:17:37.000]  都有名詞
[00:17:37.000 --> 00:17:39.000]  有代名詞
[00:17:39.000 --> 00:17:41.000]  有動詞
[00:17:41.000 --> 00:17:43.000]  有形容詞
[00:17:43.000 --> 00:17:45.000]  但希伯來文的動詞
[00:17:45.000 --> 00:17:49.000]  已經包括了
[00:17:49.000 --> 00:17:51.000]  它是第一身
[00:17:51.000 --> 00:17:53.000]  還是第二身
[00:17:53.000 --> 00:17:55.000]  還是第三身
[00:17:55.000 --> 00:17:57.000]  是複數
[00:17:57.000 --> 00:17:59.000]  還是單數
[00:17:59.000 --> 00:18:01.000]  還有
[00:18:01.000 --> 00:18:03.000]  所以它說
[00:18:03.000 --> 00:18:05.000]  就不用兩個字
[00:18:05.000 --> 00:18:07.000]  只有一個字
[00:18:07.000 --> 00:18:09.000]  Vioma
[00:18:09.000 --> 00:18:11.000]  這個字一看
[00:18:11.000 --> 00:18:13.000]  我們一年級的同學
[00:18:13.000 --> 00:18:15.000]  跟王嘉良老師讀希伯來文
[00:18:15.000 --> 00:18:17.000]  他就要懂得Parse
[00:18:17.000 --> 00:18:19.000]  P-A-R-S-E
[00:18:19.000 --> 00:18:21.000]  不是P-A-S-S
[00:18:21.000 --> 00:18:23.000]  他要分析這個動詞
[00:18:23.000 --> 00:18:25.000]  就是第三身
[00:18:25.000 --> 00:18:27.000]  單數
[00:18:27.000 --> 00:18:29.000]  完成之前
[00:18:29.000 --> 00:18:31.000]  還有一個Valve consecutive
[00:18:31.000 --> 00:18:33.000]  等等
[00:18:33.000 --> 00:18:35.000]  所以一個動詞
[00:18:35.000 --> 00:18:37.000]  其實就不用再加
[00:18:37.000 --> 00:18:39.000]  另一個獨立代名詞
[00:18:39.000 --> 00:18:41.000]  去說
[00:18:41.000 --> 00:18:43.000]  是誰說話就不用了
[00:18:43.000 --> 00:18:45.000]  聽得明白嗎?
[00:18:45.000 --> 00:18:47.000]  So far so good
[00:18:47.000 --> 00:18:49.000]  這裏出現了
[00:18:49.000 --> 00:18:51.000]  兩次獨立代名詞
[00:18:51.000 --> 00:18:53.000]  兩次獨立代名詞
[00:18:53.000 --> 00:18:55.000]  紅色
[00:18:55.000 --> 00:18:57.000]  善於說話的人
[00:18:57.000 --> 00:18:59.000]  不是我
[00:18:59.000 --> 00:19:01.000]  Anarchy
