
[00:00:00.000 --> 00:00:14.600]  大象牧師 時間很快 其實是頭尾兩個星期 但第三次來到這裡
[00:09:49.160 --> 00:09:53.640]  將真相和整個真相 而是單單只是真相
[00:09:53.640 --> 00:09:57.440]  就是不加不減表達出來
[00:09:57.440 --> 00:10:01.400]  這個通常是我們看美國電影的時候
[00:10:01.400 --> 00:10:05.560]  法庭上證人台之前就要宣誓
[00:10:05.560 --> 00:10:12.480]  就要說我只是在上面說整個真相 而是單單那個真相
[00:10:12.480 --> 00:10:14.840]  約翰也是這樣 不容許別人加
[00:10:14.840 --> 00:10:17.920]  我小時候的理解就比較特別
[00:10:17.920 --> 00:10:21.640]  因為啟示錄是聖經落在六卷書的最後
[00:10:21.640 --> 00:10:24.400]  所以就說將上帝的啟示
[00:10:24.400 --> 00:10:28.240]  如果你是加的話 裡面的奏作通通加給你
[00:10:28.240 --> 00:10:31.160]  如果是減的話 裡面的福氣就拿走
[00:10:31.160 --> 00:10:34.000]  我都忘記了是什麼原因
[00:10:34.000 --> 00:10:37.320]  就是將它應用在整本聖經上
[00:10:37.320 --> 00:10:38.760]  就是66卷書
[00:10:38.760 --> 00:10:42.720]  起碼就啟示錄22章來說
[00:10:42.720 --> 00:10:44.760]  這樣做是不合理的
[00:10:44.760 --> 00:10:49.920]  因為約翰很明顯只是指著他所寫的啟示錄的內容
[00:10:49.920 --> 00:10:53.760]  本身是不能增添 不能刪減
[00:10:53.760 --> 00:10:55.480]  是指著這件事
[00:10:55.480 --> 00:10:59.040]  而不是指著66卷書
[00:10:59.040 --> 00:11:00.760]  一頭一尾就OK了
[00:11:00.760 --> 00:11:03.960]  接著就是餡料
[00:11:03.960 --> 00:11:06.680]  餡料有兩個開始
[00:11:06.680 --> 00:11:08.120]  我自己讀的時候
[00:11:08.120 --> 00:11:09.320]  由於有兩個開始
[00:11:09.320 --> 00:11:12.520]  對應著也會有兩個結束
[00:11:12.520 --> 00:11:14.840]  第一個開始就是
[00:11:14.840 --> 00:11:20.000]  在意義上是約翰的差遣的意象
[00:11:20.000 --> 00:11:22.360]  是人子的意象
[00:11:22.360 --> 00:11:26.120]  其實是在一章第九節開始
[00:11:26.120 --> 00:11:27.920]  我約翰就是你們的弟兄
[00:11:27.920 --> 00:11:31.360]  說了他的設定在拔摩島上
[00:11:31.360 --> 00:11:33.560]  接著就說當主日
[00:11:33.560 --> 00:11:35.800]  第十節就說當主日我被靈感動
[00:11:35.800 --> 00:11:37.480]  聽見後面有個聲音對我說
[00:11:37.480 --> 00:11:39.960]  他轉頭就看到一位
[00:11:39.960 --> 00:11:43.720]  好像人子一樣的耿古祥有者
[00:11:43.720 --> 00:11:46.360]  也好像以西傑書或者是但爾利書
[00:11:46.360 --> 00:11:49.280]  第七章的耿古祥有者
[00:11:49.280 --> 00:11:51.080]  是這樣的樣子的那一位
[00:11:51.080 --> 00:11:53.040]  但他認得是人子
[00:11:53.040 --> 00:11:57.320]  第十三節一章十三節說一位好像人子
[00:11:57.320 --> 00:12:00.400]  他認得出他像他的主
[00:12:00.400 --> 00:12:01.600]  大家也過了
[00:12:01.600 --> 00:12:03.000]  這是復活的主
[00:12:03.000 --> 00:12:05.240]  復活的主形態也會有些不同
[00:12:05.240 --> 00:12:06.240]  剛剛復活的時候
[00:12:06.240 --> 00:12:07.880]  人們也不一定太認得他
[00:12:07.880 --> 00:12:09.120]  但後來也認得出來
[00:12:09.120 --> 00:12:12.720]  這個就簡直是樣子都變了
[00:12:12.720 --> 00:12:14.640]  頭髮白如羊毛
[00:12:14.640 --> 00:12:16.680]  眼如火焰
[00:12:16.680 --> 00:12:19.320]  腳好像光明瞳
[00:12:19.320 --> 00:12:20.840]  聲音好像中水聲
[00:12:20.840 --> 00:12:22.560]  就是說一句話的聲音
[00:12:22.560 --> 00:12:24.760]  都是那種的聲音
[00:12:24.760 --> 00:12:26.160]  White noise不是white noise
[00:12:26.160 --> 00:12:27.120]  你聽到他說什麼
[00:12:27.120 --> 00:12:28.360]  中水的聲音
[00:12:28.360 --> 00:12:32.880]  然後口裡有把劍出來
[00:12:32.880 --> 00:12:33.880]  還可怕
[00:12:33.880 --> 00:12:36.560]  而面貌如同烈日放光
[00:12:36.560 --> 00:12:38.120]  約翰是認得他
[00:12:38.120 --> 00:12:41.480]  但是又嚇得跌了下來
[00:12:41.480 --> 00:12:43.040]  好像死一樣
[00:12:43.040 --> 00:12:44.120]  主說你不要懼怕
[00:12:44.120 --> 00:12:45.920]  就是說他怕了
[00:12:45.920 --> 00:12:47.640]  怕到跌了下來
[00:12:47.640 --> 00:12:50.080]  然後就說我是首先的
[00:12:50.080 --> 00:12:52.040]  我是末後的
[00:12:52.040 --> 00:12:54.720]  這個也是約翰福音
[00:12:54.720 --> 00:12:56.680]  他自己說到太初有道
[00:12:56.680 --> 00:12:57.880]  道於上帝同在道
[00:12:57.880 --> 00:12:58.560]  就是上帝
[00:12:58.560 --> 00:13:01.040]  他是首先的那一位
[00:13:01.040 --> 00:13:04.440]  這個可以說是約翰的差遣
[00:13:04.440 --> 00:13:05.720]  就是要他
[00:13:05.720 --> 00:13:08.040]  差遣就是約翰本身是仕途
[00:13:08.040 --> 00:13:09.440]  他又不是
[00:13:09.440 --> 00:13:11.240]  在這個位置也可以做先知的
[00:13:11.240 --> 00:13:12.560]  約翰可以說
[00:13:12.560 --> 00:13:14.400]  你說約翰也有在這裡
[00:13:14.400 --> 00:13:15.560]  同樣有先知的身份
[00:13:15.560 --> 00:13:19.240]  因為那些意象本身內容有預言
[00:13:19.240 --> 00:13:21.000]  就好像舊約的先知
[00:13:21.000 --> 00:13:25.000]  這個就是他的commissioning的vision
[00:13:25.000 --> 00:13:26.480]  這個是像以西傑的
[00:13:26.480 --> 00:13:28.160]  以西傑也是這樣看到
[00:13:28.160 --> 00:13:31.840]  在秘魯的地方
[00:13:31.840 --> 00:13:33.640]  應該是右伐拉底河邊
[00:13:33.640 --> 00:13:34.720]  我忘記了哪條河邊
[00:13:34.720 --> 00:13:36.240]  要看回以西傑書
[00:13:36.240 --> 00:13:38.760]  就看到上帝給他的意象
[00:13:38.760 --> 00:13:41.040]  又或者好像以賽亞書第六章
[00:13:41.040 --> 00:13:42.840]  他看到上帝寶座的意象
[00:13:42.840 --> 00:13:45.400]  which啟示錄也有一個上帝寶座的意象
[00:13:45.400 --> 00:13:47.640]  那個就是第二個開始
[00:13:47.640 --> 00:13:49.200]  第一個開始之後
[00:13:49.200 --> 00:13:50.200]  commission了之後
[00:13:50.200 --> 00:13:51.920]  就立刻有工作要做
[00:13:51.920 --> 00:13:55.160]  主要是約翰寫下
[00:13:55.160 --> 00:13:57.440]  他給七教會的信息
[00:13:57.440 --> 00:13:58.760]  這個就是第二第三章
[00:13:58.760 --> 00:14:02.480]  七教會的信息完了之後
[00:14:02.480 --> 00:14:04.160]  就不是事情的結束
[00:14:04.160 --> 00:14:06.120]  接著就來第二個意象
[00:14:06.120 --> 00:14:08.560]  這個可以說是第二個開始
[00:14:08.560 --> 00:14:11.120]  第二個意象就不是一個commissioning
[00:14:11.120 --> 00:14:13.640]  就不是一個re-commissioning的意象
[00:14:13.640 --> 00:14:14.920]  已經commission了
[00:14:14.920 --> 00:14:16.440]  就不是再commissioning
[00:14:16.440 --> 00:14:19.000]  只不過是第一個意象
[00:14:19.000 --> 00:14:21.000]  約翰所聽見的說話
[00:14:21.000 --> 00:14:22.720]  他記下了之後
[00:14:22.720 --> 00:14:26.160]  接著就是他看見的東西
[00:14:26.160 --> 00:14:29.240]  七教會的意象
[00:14:29.240 --> 00:14:30.920]  主要是約翰聽到
[00:14:30.920 --> 00:14:31.920]  然後記下
[00:14:31.920 --> 00:14:34.440]  聖靈向宗教會所說的話
[00:14:34.440 --> 00:14:35.280]  有凡有矣的
[00:14:35.280 --> 00:14:35.760]  應當聽
[00:14:35.760 --> 00:14:37.080]  主要是聽
[00:14:37.080 --> 00:14:37.520]  記下
[00:14:37.520 --> 00:14:38.520]  沒有什麼特別圖畫的
[00:14:38.520 --> 00:14:41.560]  除了他在第一章看到人子的意象
[00:14:41.560 --> 00:14:43.280]  看到他在七個燈台
[00:14:43.280 --> 00:14:44.800]  中間行走之外
[00:14:44.800 --> 00:14:46.320]  其實看到的東西不多
[00:14:46.320 --> 00:14:47.520]  主要是聽的
[00:14:47.520 --> 00:14:50.400]  但是一進入第四第五章
[00:14:50.400 --> 00:14:52.200]  接著all the way去到尾
[00:14:52.200 --> 00:14:54.680]  就聽和看的都來了
[00:14:54.680 --> 00:14:57.720]  所以第四章我就說是第二個開始
[00:14:57.720 --> 00:15:00.000]  第二個開始就牽涉及
[00:15:00.000 --> 00:15:02.600]  是上帝和高揚的敬拜
[00:15:02.600 --> 00:15:04.320]  第一個開始就是人子的意象
[00:15:04.320 --> 00:15:06.320]  約翰的夢照和猜險
[00:15:06.320 --> 00:15:09.800]  就叫他將信息發出去
[00:15:09.800 --> 00:15:11.960]  第二個開始就是牽涉及
[00:15:11.960 --> 00:15:14.360]  對上帝對高揚的敬拜
[00:15:14.360 --> 00:15:16.800]  因為裡面的內容
[00:15:16.800 --> 00:15:19.160]  是敬拜不絕的
[00:15:19.160 --> 00:15:23.400]  其實一直到第五章的尾巴
[00:15:23.400 --> 00:15:25.960]  十一節到第十四節
[00:15:25.960 --> 00:15:27.760]  都一直在說
[00:15:27.760 --> 00:15:30.240]  保在意象周圍的二十四長老
[00:15:30.240 --> 00:15:32.240]  和四活物
[00:15:32.240 --> 00:15:34.840]  和周圍的天使
[00:15:34.840 --> 00:15:36.200]  在敬拜上帝
[00:15:36.200 --> 00:15:37.320]  十二節就說
[00:15:37.320 --> 00:15:40.000]  周圍各種角色大聲說
[00:15:40.000 --> 00:15:42.080]  陳備殺的高揚是配得權柄
[00:15:42.080 --> 00:15:45.080]  豐富智慧能力尊貴榮耀重讚
[00:15:45.080 --> 00:15:48.160]  然後又聽見天上地上地下滄海裡
[00:15:48.160 --> 00:15:51.080]  和天地間一切所比造之物都說
[00:15:51.080 --> 00:15:54.120]  但願重讚尊貴榮耀全世都歸給
[00:15:54.120 --> 00:15:57.000]  你保在上座保在上的那一位
[00:15:57.000 --> 00:15:58.840]  和高揚直到永遠
[00:15:58.840 --> 00:15:59.920]  四活物就說
[00:15:59.920 --> 00:16:01.600]  阿們眾長老亦都是
[00:16:01.600 --> 00:16:02.720]  服服敬拜
[00:16:02.720 --> 00:16:07.320]  這樣就開第一印了
[00:16:07.320 --> 00:16:09.920]  那一卷書在前面
[00:16:09.920 --> 00:16:12.280]  已經提過了
[00:16:12.280 --> 00:16:14.480]  在第五章的第六節已經提過
[00:16:14.480 --> 00:16:17.880]  然後就開書卷的第一印
[00:16:17.880 --> 00:16:22.360]  第二個開始分為兩部分
[00:16:22.360 --> 00:16:26.160]  第四章基本上是助寶助者的二章
[00:16:26.160 --> 00:16:32.040]  第五章亦都牽涉到高揚的二章
[00:16:32.040 --> 00:16:34.680]  因為已經進入書卷
[00:16:34.680 --> 00:16:38.640]  卷軸那裡要打開七印
[00:16:38.640 --> 00:16:40.240]  我有分題的
[00:16:40.240 --> 00:16:42.120]  助寶助者的二章
[00:16:42.120 --> 00:16:45.880]  牽涉到為什麼要建這個二章
[00:16:45.880 --> 00:16:48.200]  建這個二章的目的是什麼
[00:16:48.200 --> 00:16:51.240]  等我整個故事講完之後
[00:16:51.240 --> 00:16:53.440]  我這些分題就會開始更加合理
[00:16:53.440 --> 00:16:55.160]  有些分題是完結之後
[00:16:55.160 --> 00:16:58.280]  再加上去做一個標記
[00:16:58.280 --> 00:16:59.360]  就是說
[00:16:59.360 --> 00:17:01.400]  助寶助者的二章第四章
[00:17:01.400 --> 00:17:06.240]  是指出世界歷史和宇宙的大前提
[00:17:06.240 --> 00:17:10.000]  就是上帝是坐在寶座上的位置
[00:17:10.000 --> 00:17:14.920]  而高揚的二章是針對信徒的
[00:17:14.920 --> 00:17:18.480]  如果寶座的二章是針對全宇宙的話
[00:17:18.480 --> 00:17:20.440]  高揚的二章是針對信徒的
[00:17:20.440 --> 00:17:21.840]  信徒的歷史
[00:17:21.840 --> 00:17:24.640]  信徒的身份的大前提
[00:17:24.640 --> 00:17:30.000]  是和高揚為信徒所做的事情息息相關
[00:17:30.000 --> 00:17:33.440]  第二個開始之後
[00:17:33.440 --> 00:17:36.880]  完結之後就開始七印七號七碗
[00:17:36.880 --> 00:17:38.800]  七印七號七碗
[00:17:38.800 --> 00:17:40.040]  就是在這個位置
[00:17:40.040 --> 00:17:43.680]  我和大部分閱讀啟示錄的
[00:17:43.680 --> 00:17:47.240]  識經人的看法最不同的地方
[00:17:47.240 --> 00:17:49.920]  七印七號七碗
[00:17:49.920 --> 00:17:54.240]  其實往往都是啟示錄識經最專注的位置
[00:17:54.240 --> 00:17:55.720]  就是七印
[00:17:55.720 --> 00:17:56.760]  四個印
[00:17:56.760 --> 00:17:57.720]  然後第五個印
[00:17:57.720 --> 00:17:58.320]  第六個印
[00:17:58.320 --> 00:17:59.320]  中間隔一隔
[00:17:59.320 --> 00:18:00.720]  然後又第七個印
[00:18:00.720 --> 00:18:01.720]  這四個印
[00:18:01.720 --> 00:18:05.680]  那四匹馬是很出名的
[00:18:05.680 --> 00:18:11.960]  是白馬、紅馬、黑馬、灰馬
[00:18:11.960 --> 00:18:13.880]  The Four Horsemen
[00:18:13.880 --> 00:18:14.880]  很出名的
[00:18:14.880 --> 00:18:16.440]  這個就是
[00:18:16.440 --> 00:18:19.800]  應該是郭培里
[00:18:19.800 --> 00:18:23.960]  他寫的最後的一本
[00:18:23.960 --> 00:18:25.280]  其中的一本書
[00:18:25.280 --> 00:18:29.240]  叫做The Approaching Hoofbeats
[00:18:29.240 --> 00:18:32.320]  就是接下來的馬蹄聲
[00:18:32.320 --> 00:18:33.800]  我不知道中文翻譯做什麼
[00:18:33.800 --> 00:18:37.160]  就是講世界的終局
[00:18:37.160 --> 00:18:40.760]  就引用這四匹馬
[00:18:40.760 --> 00:18:44.120]  引進了後來的七印七號七碗
[00:18:44.120 --> 00:18:47.360]  所有的異象
[00:18:47.360 --> 00:18:50.640]  七印七號七碗
[00:18:50.640 --> 00:18:53.640]  到底彼此之間的關係是什麼呢?
[00:18:53.640 --> 00:18:57.080]  就是識經者在上面畫了很多筆墨
[00:18:57.080 --> 00:18:58.360]  我在第八頁
[00:18:58.360 --> 00:18:59.560]  Note 第八頁
[00:18:59.560 --> 00:19:01.200]  都寫了一點點東西
[00:19:01.200 --> 00:19:04.400]  其實在Footnote那裡
[00:19:04.400 --> 00:19:08.440]  這三個七彼此之間的關係是怎麼樣呢?
[00:19:08.440 --> 00:19:10.840]  講來講去
[00:19:10.840 --> 00:19:13.120]  即使筆墨廢了很多
[00:19:13.120 --> 00:19:17.400]  但大致上只有兩三個選擇
[00:19:17.400 --> 00:19:21.040]  第一個就是連續的敘述
[00:19:21.040 --> 00:19:22.640]  就是七印一二三四五六七
[00:19:22.640 --> 00:19:24.760]  印之後就是一二三四五六七個號
[00:19:24.760 --> 00:19:26.720]  一二三四五六七個碗
[00:19:26.720 --> 00:19:29.760]  裡面所旨記載的事情
[00:19:29.760 --> 00:19:31.320]  在歷史裡面
[00:19:31.320 --> 00:19:33.760]  第一就是指著歷史裡面會發生的事情
[00:19:33.760 --> 00:19:36.200]  第二就是連續的
[00:19:36.200 --> 00:19:37.960]  就是彼此之間的關係
[00:19:37.960 --> 00:19:39.560]  就一條線
[00:19:39.560 --> 00:19:41.400]  投第一個七的系列
[00:19:41.400 --> 00:19:42.280]  第二個七的系列
[00:19:42.280 --> 00:19:43.160]  第三個七的系列
[00:19:43.160 --> 00:19:46.360]  這個明顯是其中一種說法
[00:19:46.360 --> 00:19:48.320]  另外一個說法
[00:19:48.320 --> 00:19:52.520]  就是前面
[00:19:52.520 --> 00:19:54.440]  後面來的七步
[00:19:54.440 --> 00:20:00.560]  被視為前面的七重描述的
[00:20:00.560 --> 00:20:06.000]  第六至第七個之間發展出來的東西
[00:20:06.000 --> 00:20:07.080]  那是什麼意思呢?
[00:20:07.080 --> 00:20:08.320]  我在Footnote那裡就說是
[00:20:08.320 --> 00:20:10.240]  一二三四五六ABCDEF
[00:20:10.240 --> 00:20:12.000]  其實如果就這樣說
[00:20:12.000 --> 00:20:13.600]  就比如說說七印
[00:20:13.600 --> 00:20:16.880]  第一個印 第二 第三 第四 第五 第六個印
[00:20:16.880 --> 00:20:19.960]  事實上是第六個印之後
[00:20:19.960 --> 00:20:21.720]  隔了第七張
[00:20:21.720 --> 00:20:23.440]  才說天上直征
[00:20:23.440 --> 00:20:25.960]  然後才是第七個印
[00:20:25.960 --> 00:20:27.840]  所以有些學者就說
[00:20:27.840 --> 00:20:29.400]  一二三四五六個印
[00:20:29.400 --> 00:20:33.880]  其實就要將一二三四五六個號
[00:20:33.880 --> 00:20:38.840]  就放進去第六個和第七個印中間
[00:20:38.840 --> 00:20:40.920]  因為在三個的
[00:20:40.920 --> 00:20:42.920]  其實也不應該說三個
[00:20:42.920 --> 00:20:46.480]  起碼在七印和七號裡面
[00:20:46.480 --> 00:20:49.560]  第七個好像也是一個總結
[00:20:49.560 --> 00:20:52.040]  所以第六個印之後
[00:20:52.040 --> 00:20:54.960]  就將六個號放進去
[00:20:54.960 --> 00:20:57.160]  第六個號到第七個號中間
[00:20:57.160 --> 00:20:59.120]  也隔了一個段落在經文裡面
[00:20:59.120 --> 00:21:03.080]  所以就應該將第一個碗到第六個碗
[00:21:03.080 --> 00:21:09.320]  由放在第六個號和第七個號的中間
[00:21:09.320 --> 00:21:13.200]  然後第七個印 第七個號 第七個碗
[00:21:13.200 --> 00:21:16.200]  是同一樣東西就砰一聲就結束了
[00:21:16.200 --> 00:21:18.000]  所以就變成一二三四五六
[00:21:18.000 --> 00:21:20.240]  然後再來一二三四五六
[00:21:20.240 --> 00:21:22.960]  然後就一二三四五六第三個系列
[00:21:22.960 --> 00:21:25.160]  然後就七七七
[00:21:25.160 --> 00:21:28.600]  這個就是第二個的可能性
[00:21:28.600 --> 00:21:30.960]  還有第三個可能性就是
[00:21:30.960 --> 00:21:32.440]  這裡沒有提及
[00:21:32.440 --> 00:21:33.960]  這個可能性也不是太高
[00:21:33.960 --> 00:21:35.840]  一般在《釋經書》裡面
[00:21:35.840 --> 00:21:38.880]  就比較少人支持這個說法
[00:21:38.880 --> 00:21:41.720]  就是這三個七其實都是說同樣東西
[00:21:41.720 --> 00:21:43.640]  一二三四五六三是平衡的
[00:21:43.640 --> 00:21:47.800]  第一印就對照第一個號第一個碗
[00:21:47.800 --> 00:21:50.160]  第二個印就對照第二個號第二個碗
[00:21:50.160 --> 00:21:51.560]  一路對照
[00:21:51.560 --> 00:21:52.960]  所以其實只有七樣東西
[00:21:52.960 --> 00:21:55.480]  不過就重複了兩次
[00:21:55.480 --> 00:21:57.600]  這個說法就比較少人接受
[00:21:57.600 --> 00:22:00.960]  所以我根本就不放在主角那裡
[00:22:00.960 --> 00:22:04.800]  但是我也不同意這些說法
[00:22:04.800 --> 00:22:07.680]  原因就是我覺得那七印七號七碗
[00:22:07.680 --> 00:22:10.400]  這二十一項的東西
[00:22:10.400 --> 00:22:11.640]  其實是沒有什麼章法的
[00:22:11.640 --> 00:22:13.040]  你說《聖經》沒有什麼章法
[00:22:13.040 --> 00:22:15.400]  是不是有一點大逆不道
[00:22:15.400 --> 00:22:17.040]  事實上是沒有章法的
[00:22:17.040 --> 00:22:17.880]  沒有一個
[00:22:17.880 --> 00:22:20.240]  起碼我見不到任何一個學者
[00:22:20.240 --> 00:22:23.200]  是將這三個系列的七
[00:22:23.200 --> 00:22:25.840]  裡面彼此之間的關係說清楚
[00:22:25.840 --> 00:22:27.120]  就算他說
[00:22:27.120 --> 00:22:28.680]  這個是延續的
