
[00:00:00.000 --> 00:00:04.000]  早晨 新年快樂
[00:08:55.000 --> 00:08:58.000]  我想想耶穌講得很好一句話
[00:08:58.000 --> 00:09:01.000]  耶穌在路加福音12:54-57
[00:09:01.000 --> 00:09:02.000]  耶穌對著人說
[00:09:02.000 --> 00:09:04.000]  你們看見西邊起了雲彩
[00:09:04.000 --> 00:09:07.000]  就說要下雨 果然就有
[00:09:07.000 --> 00:09:11.000]  起了南風就說將要燥熱 也就有了
[00:09:11.000 --> 00:09:15.000]  假冒的為善 你們知道分辨天地的氣息
[00:09:15.000 --> 00:09:18.000]  怎麼不知道分辨這個時候呢
[00:09:18.000 --> 00:09:21.000]  你們為何不自己審量
[00:09:21.000 --> 00:09:25.000]  甚至思想一下
[00:09:25.000 --> 00:09:27.000]  是有理由還是沒有理由
[00:09:27.000 --> 00:09:29.000]  耶穌對著這群人說
[00:09:29.000 --> 00:09:31.000]  你們看天 你們看得很厲害
[00:09:31.000 --> 00:09:34.000]  啊 看見西風來了
[00:09:34.000 --> 00:09:36.000]  西邊就是地中海
[00:09:36.000 --> 00:09:38.000]  地中海的風一來的時候
[00:09:38.000 --> 00:09:39.000]  帶著雨水來了
[00:09:39.000 --> 00:09:41.000]  於是你就說 啊 明天下雨了
[00:09:41.000 --> 00:09:42.000]  後天下雨了
[00:09:42.000 --> 00:09:44.000]  下個星期整個星期都會下雨
[00:09:44.000 --> 00:09:46.000]  於是你就會醒悟
[00:09:46.000 --> 00:09:47.000]  如果是南邊來的
[00:09:47.000 --> 00:09:49.000]  南邊是沙漠地
[00:09:49.000 --> 00:09:50.000]  於是你就說 啊 燥熱了
[00:09:50.000 --> 00:09:52.000]  好熱啊 好熱啊
[00:09:52.000 --> 00:09:54.000]  你懂得去看天氣
[00:09:54.000 --> 00:09:57.000]  但是我們現在活在一個什麼的時間
[00:09:57.000 --> 00:09:59.000]  你完全懵然不知
[00:09:59.000 --> 00:10:01.000]  到那個時候來的時候
[00:10:01.000 --> 00:10:05.000]  你就慘了 你就慘了
[00:10:05.000 --> 00:10:07.000]  今天我們很重要
[00:10:07.000 --> 00:10:09.000]  耶穌基督是告訴我們一件事
[00:10:09.000 --> 00:10:12.000]  我們要明白我們在一個什麼世代裡生存
[00:10:12.000 --> 00:10:14.000]  我們活在一個什麼時代
[00:10:14.000 --> 00:10:17.000]  我相信只有兩種人生觀
[00:10:17.000 --> 00:10:19.000]  一種人生觀是會思考的人生觀
[00:10:19.000 --> 00:10:21.000]  我叫回顧的人生觀
[00:10:21.000 --> 00:10:24.000]  reflective attitude
[00:10:24.000 --> 00:10:25.000]  每一樣東西想一想
[00:10:25.000 --> 00:10:27.000]  會想為什麼我是這樣
[00:10:27.000 --> 00:10:31.000]  為什麼這些事情會發生
[00:10:31.000 --> 00:10:33.000]  為什麼會有這些跡象
[00:10:33.000 --> 00:10:34.000]  我想很重要的一件事
[00:10:34.000 --> 00:10:37.000]  每一樣事情發生都會有標記
[00:10:37.000 --> 00:10:38.000]  有些signs
[00:10:38.000 --> 00:10:39.000]  有些標記
[00:10:39.000 --> 00:10:41.000]  所謂時代的標記
[00:10:41.000 --> 00:10:42.000]  signs of the time
[00:10:42.000 --> 00:10:44.000]  如果你看到那些標記的時候
[00:10:44.000 --> 00:10:46.000]  你知道會是什麼
[00:10:46.000 --> 00:10:49.000]  在我退休之後就去讀書了
[00:10:49.000 --> 00:10:51.000]  研究一個人
[00:10:51.000 --> 00:10:54.000]  一個來中國傳教的
[00:10:54.000 --> 00:10:57.000]  一個中國內地會的傳教士
[00:10:57.000 --> 00:11:00.000]  這個叫Leslie Lyell
[00:11:00.000 --> 00:11:02.000]  我覺得這個人很厲害
[00:11:02.000 --> 00:11:05.000]  他在第二次世界大戰的時候
[00:11:05.000 --> 00:11:06.000]  在1937年
[00:11:06.000 --> 00:11:13.000]  在西北裡跟不少的中國軍隊並肩作戰
[00:11:13.000 --> 00:11:17.000]  當時中國內地會在醫院裡
[00:11:17.000 --> 00:11:21.000]  醫治那些游擊隊的傷兵
[00:11:21.000 --> 00:11:23.000]  接著他又去了西北的自由
[00:11:23.000 --> 00:11:27.000]  也見過國民黨軍隊
[00:11:27.000 --> 00:11:31.000]  他早在1945年
[00:11:31.000 --> 00:11:33.000]  那時候還沒有打完仗
[00:11:33.000 --> 00:11:34.000]  他已經做了一個
[00:11:34.000 --> 00:11:36.000]  他已經看到形勢
[00:11:36.000 --> 00:11:40.000]  將來國民黨一定會崩潰
[00:11:40.000 --> 00:11:44.000]  共產黨一定會統一中國
[00:11:44.000 --> 00:11:45.000]  當時他講出來的時候
[00:11:45.000 --> 00:11:48.000]  他跟英國的高官說的時候
[00:11:48.000 --> 00:11:49.000]  那些人笑他
[00:11:49.000 --> 00:11:51.000]  有沒有搞錯
[00:11:51.000 --> 00:11:54.000]  毛澤東去到延安的時候
[00:11:54.000 --> 00:11:55.000]  只剩下幾千人
[00:11:55.000 --> 00:11:57.000]  國民黨成功這麼大怎麼會贏
[00:11:57.000 --> 00:11:59.000]  他說不是
[00:11:59.000 --> 00:12:01.000]  他不只是看著時勢
[00:12:01.000 --> 00:12:03.000]  他還懂得預備
[00:12:03.000 --> 00:12:06.000]  一到打完仗1946年的時候
[00:12:06.000 --> 00:12:08.000]  他就看到最重要
[00:12:08.000 --> 00:12:09.000]  他知道一件事
[00:12:09.000 --> 00:12:12.000]  如果共產黨一拿到天地的時候
[00:12:12.000 --> 00:12:16.000]  不可能孫教士會留在中國
[00:12:16.000 --> 00:12:19.000]  他就趁著這個短短的時間
[00:12:19.000 --> 00:12:21.000]  1946年至1951年的時間
[00:12:21.000 --> 00:12:22.000]  就在北京裡
[00:12:22.000 --> 00:12:26.000]  他留在最戰略性的地方就是北京
[00:12:26.000 --> 00:12:27.000]  在北京做什麼
[00:12:27.000 --> 00:12:30.000]  專門做那些最著名大學的大學生的福音工作
[00:12:30.000 --> 00:12:32.000]  就在幾年之間
[00:12:32.000 --> 00:12:37.000]  做了一個很重要的學生的運動
[00:12:37.000 --> 00:12:39.000]  那個學生的運動
[00:12:39.000 --> 00:12:42.000]  大約千千萬萬的學生
[00:12:42.000 --> 00:12:44.000]  是最頂尖的學生
[00:12:44.000 --> 00:12:47.000]  北京大學、燕京大學
[00:12:47.000 --> 00:12:50.000]  這些班尖銳的學生
[00:12:50.000 --> 00:12:52.000]  成立了一個基督徒團體
[00:12:52.000 --> 00:12:55.000]  而這個團體叫學聯會
[00:12:55.000 --> 00:12:58.000]  是影響到直到今天
[00:12:58.000 --> 00:13:02.000]  有眼光和沒有眼光的分別就在這裡
[00:13:02.000 --> 00:13:04.000]  為什麼他有眼光
[00:13:04.000 --> 00:13:06.000]  他懂得去觀察
[00:13:06.000 --> 00:13:07.000]  懂得去想
[00:13:07.000 --> 00:13:08.000]  懂得去回顧
[00:13:08.000 --> 00:13:10.000]  懂得去反思
[00:13:10.000 --> 00:13:14.000]  看到那個時代的那個徵象是什麼
[00:13:14.000 --> 00:13:16.000]  但是有另外一種的心態
[00:13:16.000 --> 00:13:18.000]  我叫回應的心態
[00:13:18.000 --> 00:13:19.000]  Reactive attitude
[00:13:19.000 --> 00:13:20.000]  什麼叫回應的心態
[00:13:20.000 --> 00:13:24.000]  回應的心態就是風來水蕩
[00:13:24.000 --> 00:13:30.000]  完全是被操縱的
[00:13:30.000 --> 00:13:33.000]  我在三藩市住的時候
[00:13:33.000 --> 00:13:36.000]  我自己就很喜歡去海邊跑步
[00:13:36.000 --> 00:13:38.000]  在新西對面的海邊
[00:13:38.000 --> 00:13:39.000]  跑完步之後
[00:13:39.000 --> 00:13:42.000]  通常那條氣沒那麼順的時候
[00:13:42.000 --> 00:13:43.000]  就回氣
[00:13:43.000 --> 00:13:45.000]  我就看著太平洋
[00:13:45.000 --> 00:13:46.000]  心裡面想
[00:13:46.000 --> 00:13:48.000]  如果我扔一張紙
[00:13:48.000 --> 00:13:50.000]  可能會飄到香港
[00:13:50.000 --> 00:13:51.000]  看到一個太平洋
[00:13:51.000 --> 00:13:53.000]  我就站在太平洋那裡
[00:13:53.000 --> 00:13:55.000]  一個浪蓋過來
[00:13:55.000 --> 00:13:56.000]  一個浪蓋過來
[00:13:56.000 --> 00:13:57.000]  一個浪蓋過來
[00:13:57.000 --> 00:13:59.000]  很爽的
[00:13:59.000 --> 00:14:00.000]  但是沒多久發現
[00:14:00.000 --> 00:14:02.000]  沙足深陷
[00:14:02.000 --> 00:14:05.000]  整隻腳陷在沙裡面
[00:14:05.000 --> 00:14:06.000]  我就想到
[00:14:06.000 --> 00:14:08.000]  我的人生往往是這樣
[00:14:08.000 --> 00:14:09.000]  在人生裡面
[00:14:09.000 --> 00:14:10.000]  一個浪蓋過來
[00:14:10.000 --> 00:14:11.000]  一個浪蓋過來
[00:14:11.000 --> 00:14:12.000]  一個浪蓋過來
[00:14:12.000 --> 00:14:15.000]  漸漸我就泥足深陷
[00:14:15.000 --> 00:14:16.000]  失去了方向
[00:14:16.000 --> 00:14:19.000]  失去了意義
[00:14:19.000 --> 00:14:21.000]  這個叫做回應的心態
[00:14:21.000 --> 00:14:23.000]  有什麼來我就去回應
[00:14:23.000 --> 00:14:24.000]  有什麼來
[00:14:24.000 --> 00:14:26.000]  我從沒想到我去哪裡
[00:14:26.000 --> 00:14:27.000]  失去了自己的方向
[00:14:27.000 --> 00:14:29.000]  失去了自己的目的
[00:14:29.000 --> 00:14:31.000]  失去了自己的目標
[00:14:31.000 --> 00:14:32.000]  這個時候
[00:14:32.000 --> 00:14:34.000]  做人就走著走著
[00:14:34.000 --> 00:14:36.000]  吃了幾個東西就沒了
[00:14:36.000 --> 00:14:39.000]  人生是有兩種不同的心態
[00:14:39.000 --> 00:14:40.000]  回應的心態
[00:14:40.000 --> 00:14:41.000]  回顧的心態
[00:14:41.000 --> 00:14:43.000]  尤其是在年終的時候
[00:14:43.000 --> 00:14:46.000]  我想我們都會想一想
[00:14:46.000 --> 00:14:48.000]  究竟做人為了什麼
[00:14:49.000 --> 00:14:51.000]  我是不是人生裡面只顧著什麼
[00:14:51.000 --> 00:14:52.000]  很多時候我們
[00:14:52.000 --> 00:14:53.000]  在我們中間
[00:14:53.000 --> 00:14:54.000]  年紀大了
[00:14:54.000 --> 00:14:56.000]  有些還是做父母
[00:14:56.000 --> 00:14:57.000]  有些兒女
[00:14:57.000 --> 00:14:58.000]  我們忙什麼
[00:14:58.000 --> 00:14:59.000]  車去這裡
[00:14:59.000 --> 00:15:00.000]  車去那裡
[00:15:00.000 --> 00:15:01.000]  學這裡學那裡
[00:15:01.000 --> 00:15:02.000]  教他這裡教他那裡
[00:15:02.000 --> 00:15:04.000]  要顧著這裡顧著那裡
[00:15:04.000 --> 00:15:06.000]  不要停在那裡想一想
[00:15:06.000 --> 00:15:09.000]  究竟養育育女是想他們做什麼
[00:15:09.000 --> 00:15:11.000]  哦 就給飯她吃
[00:15:11.000 --> 00:15:13.000]  給飯她吃做什麼
[00:15:13.000 --> 00:15:16.000]  Michael Angelo
[00:15:16.000 --> 00:15:18.000]  有一次在他作社
[00:15:18.000 --> 00:15:20.000]  有人看到
[00:15:20.000 --> 00:15:21.000]  你很忙啊
[00:15:21.000 --> 00:15:22.000]  天天都這樣作
[00:15:22.000 --> 00:15:23.000]  我不是作社
[00:15:23.000 --> 00:15:24.000]  那你是什麼
[00:15:24.000 --> 00:15:26.000]  我是將天使
[00:15:26.000 --> 00:15:30.000]  將天使從石頭釋放出來
[00:15:30.000 --> 00:15:33.000]  他有一個很清楚的目標
[00:15:33.000 --> 00:15:35.000]  是從石頭釋放出來
[00:15:35.000 --> 00:15:38.000]  我去
[00:15:38.000 --> 00:15:40.000]  以前我回來三藩市
[00:15:40.000 --> 00:15:42.000]  那時候剛剛在建
[00:15:42.000 --> 00:15:44.000]  在建那個 Baseball Coliseum
[00:15:44.000 --> 00:15:51.000]  那個球場
[00:15:51.000 --> 00:15:53.000]  很有趣
[00:15:53.000 --> 00:15:54.000]  我看他怎麼建
[00:15:54.000 --> 00:15:55.000]  他建地盤
[00:15:55.000 --> 00:15:56.000]  第一件事
[00:15:56.000 --> 00:15:57.000]  他做什麼呢
[00:15:57.000 --> 00:16:00.000]  畫一幅很大的圖畫
[00:16:00.000 --> 00:16:02.000]  完成了那個棒球場
[00:16:02.000 --> 00:16:04.000]  每個工人進去的時候
[00:16:04.000 --> 00:16:06.000]  先看一幅圖畫
[00:16:06.000 --> 00:16:08.000]  然後收去做工
[00:16:08.000 --> 00:16:10.000]  今天也是
[00:16:10.000 --> 00:16:11.000]  我們做人
[00:16:11.000 --> 00:16:13.000]  你為什麼去做人
[00:16:13.000 --> 00:16:16.000]  你沒看到你那幅圖畫
[00:16:16.000 --> 00:16:18.000]  然後我跟著那幅圖畫去做人
[00:16:18.000 --> 00:16:20.000]  就抑或沒有啊
[00:16:20.000 --> 00:16:21.000]  做工啊
[00:16:21.000 --> 00:16:22.000]  搬這塊石頭
[00:16:22.000 --> 00:16:23.000]  放這塊石頭
[00:16:23.000 --> 00:16:24.000]  做這件事
[00:16:24.000 --> 00:16:25.000]  這個叫做回應的心態
[00:16:25.000 --> 00:16:27.000]  我們不是用一個回顧的心態
[00:16:27.000 --> 00:16:29.000]  很多年前
[00:16:29.000 --> 00:16:30.000]  Steven Spielberg
[00:16:30.000 --> 00:16:32.000]  拍了一套非常出色的電影
[00:16:32.000 --> 00:16:34.000]  叫做雷霆救兵
[00:16:34.000 --> 00:16:36.000]  有幾個人看過這齣戲
[00:16:36.000 --> 00:16:37.000]  雷霆救兵
[00:16:37.000 --> 00:16:39.000]  Saving Private Ryan
[00:16:39.000 --> 00:16:41.000]  這齣戲很精彩
[00:16:41.000 --> 00:16:43.000]  他不是講戰爭
[00:16:43.000 --> 00:16:45.000]  沒錯是戰爭
[00:16:45.000 --> 00:16:46.000]  但是他講人生
[00:16:46.000 --> 00:16:48.000]  他講到一個女人
[00:16:48.000 --> 00:16:50.000]  有四個兒子
[00:16:50.000 --> 00:16:51.000]  四個兒子
[00:16:51.000 --> 00:16:52.000]  在一個很短時間
[00:16:52.000 --> 00:16:53.000]  三個兒子
[00:16:53.000 --> 00:16:55.000]  四個都是從軍
[00:16:55.000 --> 00:16:56.000]  在第二次世界大戰的從軍
[00:16:56.000 --> 00:16:58.000]  三個兒子在一個很短時間就死了
[00:16:58.000 --> 00:17:00.000]  兩個在D-Day
[00:17:00.000 --> 00:17:01.000]  登陸浪漫帝的死
[00:17:01.000 --> 00:17:03.000]  一個就在太平洋戰爭死
[00:17:03.000 --> 00:17:04.000]  剩下一個兒子
[00:17:04.000 --> 00:17:07.000]  一個人詞的General Marshall就覺得
[00:17:07.000 --> 00:17:08.000]  一個寡婦
[00:17:08.000 --> 00:17:09.000]  有四個兒子
[00:17:09.000 --> 00:17:10.000]  犧牲為國
[00:17:10.000 --> 00:17:11.000]  犧牲了三個
[00:17:11.000 --> 00:17:12.000]  夠了夠了
[00:17:12.000 --> 00:17:14.000]  於是他就命令一個叫Captain Miller
[00:17:14.000 --> 00:17:15.000]  帶著七個人
[00:17:15.000 --> 00:17:17.000]  走進去這個德國的
[00:17:17.000 --> 00:17:21.000]  一個敵方的地震裏面
[00:17:21.000 --> 00:17:24.000]  救這個Ryan出來
[00:17:24.000 --> 00:17:26.000]  所以這個Miller就帶著七個人去
[00:17:26.000 --> 00:17:27.000]  中間預備埋伏
[00:17:27.000 --> 00:17:29.000]  死了兩個
[00:17:29.000 --> 00:17:30.000]  終於找到這個Ryan的時候
[00:17:30.000 --> 00:17:31.000]  叫他走
[00:17:31.000 --> 00:17:32.000]  Ryan說
[00:17:32.000 --> 00:17:34.000]  我不走
[00:17:34.000 --> 00:17:35.000]  你看看我們現在
[00:17:35.000 --> 00:17:37.000]  我們這個隊是要走進來
[00:17:37.000 --> 00:17:39.000]  是要炸這條橋
[00:17:39.000 --> 00:17:41.000]  防止德軍前進
[00:17:41.000 --> 00:17:43.000]  現在我們已經潰不成軍
[00:17:43.000 --> 00:17:45.000]  我的弟兄是需要我在這裏幫忙
[00:17:45.000 --> 00:17:47.000]  怎麽在一個最艱難的時候
[00:17:47.000 --> 00:17:49.000]  我把他們扔下走
[00:17:49.000 --> 00:17:50.000]  不行
[00:17:50.000 --> 00:17:51.000]  我不走
[00:17:51.000 --> 00:17:52.000]  當時Miller很生氣
[00:17:52.000 --> 00:17:53.000]  你知道我們來做什麽嗎
[00:17:53.000 --> 00:17:54.000]  我來就是叫你走
[00:17:54.000 --> 00:17:55.000]  我不是來打德軍的
[00:17:55.000 --> 00:17:57.000]  我來叫你走
[00:17:57.000 --> 00:17:59.000]  你知道我們浪費了這麽多人嗎
[00:17:59.000 --> 00:18:00.000]  為什麽我們冒著危險來
[00:18:00.000 --> 00:18:01.000]  就叫你走
[00:18:01.000 --> 00:18:02.000]  你説來到你不走
[00:18:02.000 --> 00:18:03.000]  你就是找我笨
[00:18:03.000 --> 00:18:04.000]  你耍我嗎
[00:18:04.000 --> 00:18:05.000]  當時在這裏爭論
[00:18:05.000 --> 00:18:06.000]  在這個時候
[00:18:06.000 --> 00:18:08.000]  坦克車已經來到
[00:18:08.000 --> 00:18:09.000]  他們沒有辦法
[00:18:09.000 --> 00:18:11.000]  但始終在打的期間
[00:18:11.000 --> 00:18:13.000]  Miller不讓他拿槍
[00:18:13.000 --> 00:18:14.000]  叫他跟著後面
[00:18:14.000 --> 00:18:16.000]  處處保護他
[00:18:16.000 --> 00:18:18.000]  這個Ryan真是認真不順
[00:18:18.000 --> 00:18:20.000]  但始終不夠敵
[00:18:20.000 --> 00:18:21.000]  德軍實在太強了
[00:18:21.000 --> 00:18:23.000]  一個一個倒下來
[00:18:23.000 --> 00:18:24.000]  在最危險的時候
[00:18:24.000 --> 00:18:25.000]  救兵來到了
[00:18:25.000 --> 00:18:26.000]  美軍來到了
[00:18:26.000 --> 00:18:28.000]  最後Miller
[00:18:28.000 --> 00:18:31.000]  還唱了身負重傷
[00:18:31.000 --> 00:18:34.000]  在Ryan的懷抱裏面
[00:18:34.000 --> 00:18:35.000]  他講最後一句話
[00:18:35.000 --> 00:18:41.000]  Ryan 你回家好好做人
[00:18:41.000 --> 00:18:44.000]  這樣就死了
[00:18:44.000 --> 00:18:47.000]  故事不是這樣結束
[00:18:47.000 --> 00:18:49.000]  故事結束的時候
[00:18:49.000 --> 00:18:53.000]  到Ryan已經八十多歲
