
[00:00:00.000 --> 00:00:05.000]  各位電視節目的各位朋友 你們好
[00:01:57.000 --> 00:02:01.100]  更加想為了要保持自己的身材
[00:02:01.100 --> 00:02:03.700]  一意灑手擰頭
[00:02:03.700 --> 00:02:05.900]  有時候自己問一下自己
[00:02:05.900 --> 00:02:08.600]  我是否很有人情味呢?
[00:02:08.600 --> 00:02:13.500]  什麼叫做人情味呢?難道去喝茶就有人情味?
[00:02:13.500 --> 00:02:16.100]  我記得初信主的時候
[00:02:16.100 --> 00:02:18.300]  我聽過一個令我震驚的故事
[00:02:18.300 --> 00:02:20.800]  教會有一個熟年長者 非常古怪
[00:02:20.800 --> 00:02:23.800]  過年過四季的時候 有朋友來拜年
[00:02:23.800 --> 00:02:26.200]  他一意門都不開 叫一聲
[00:02:26.200 --> 00:02:30.200]  拜年是中國人迷信的習俗 不要引誘我犯罪
[00:02:30.200 --> 00:02:32.200]  一意向耳閉門跟
[00:02:32.200 --> 00:02:35.900]  我心裏說 為什麼這個人這麼沒有人情味
[00:02:35.900 --> 00:02:38.200]  難道信了耶穌之後就會這樣?
[00:02:38.200 --> 00:02:40.200]  一點人情味都沒有?
[00:02:40.200 --> 00:02:42.600]  一點都不懂得人情世故?
[00:02:42.600 --> 00:02:45.000]  後來信了主久一點 發覺
[00:02:45.000 --> 00:02:47.100]  教會其實是一個很有人情味的地方
[00:02:47.100 --> 00:02:48.900]  問題不是在於教會
[00:02:48.900 --> 00:02:52.900]  而是很多所謂的熟年長者
[00:02:52.900 --> 00:02:56.900]  是誤解了什麼叫做熟齡
[00:02:56.900 --> 00:03:00.400]  我想人情這件事是不可理喻的
[00:03:00.400 --> 00:03:03.400]  但也不能夠現存
[00:03:03.400 --> 00:03:07.200]  但是他能夠領會 也能夠感受
[00:03:07.200 --> 00:03:09.600]  所以人情是很有味的
[00:03:09.600 --> 00:03:13.400]  你細心咀嚼 越嘟越有味
[00:03:13.400 --> 00:03:16.200]  難怪《冰心話》半塊花散說人情
[00:03:16.200 --> 00:03:19.100]  意思就是說 就算是小事 瑣事
[00:03:19.100 --> 00:03:21.900]  人情味也可以品嘗到
[00:03:21.900 --> 00:03:23.500]  我做了牧師這麼多年
[00:03:23.500 --> 00:03:27.100]  你問我最大的報酬是什麼呢?
[00:03:27.100 --> 00:03:28.700]  我的答案很多
[00:03:28.700 --> 00:03:31.400]  其中一樣就是飽嘗人情味
[00:03:31.400 --> 00:03:35.400]  我永遠沒有忘記我太太
[00:03:35.400 --> 00:03:39.100]  懷孕生我們的女兒的時候
[00:03:39.100 --> 00:03:41.600]  我不幸患上了德國疹
[00:03:41.600 --> 00:03:43.800]  宗廷卿子父就為我們一起祈禱
[00:03:43.800 --> 00:03:47.200]  每一句話 每一滴眼淚
[00:03:47.200 --> 00:03:50.600]  每一個禱告都是充滿了人情味
[00:03:50.600 --> 00:03:54.400]  我永遠沒有忘記我們夫婦30年來
[00:03:54.400 --> 00:03:58.400]  很多時候都想起這件事
[00:03:58.400 --> 00:04:00.400]  我們放棄了香港的職業
[00:04:00.400 --> 00:04:02.400]  來到美國讀神學
[00:04:02.400 --> 00:04:07.100]  其實想想不止30年 也想想不知道多少年了
[00:04:07.100 --> 00:04:10.900]  那個時候我們只有支出 少少收入
[00:04:10.900 --> 00:04:13.800]  每封信箱裡面收到來信
[00:04:13.800 --> 00:04:15.700]  裡面夾著一張支票
[00:04:15.700 --> 00:04:19.100]  是香港弟兄姐妹寄來的愛心奉獻
[00:04:19.100 --> 00:04:22.600]  寫上幾句鼓勵的話和問候
[00:04:22.600 --> 00:04:25.100]  心裡面有說不出的滋味
[00:04:25.100 --> 00:04:27.100]  這些就是人情味
[00:04:27.100 --> 00:04:30.100]  有時候我們收到一些冬菇、干瑤柱
[00:04:30.100 --> 00:04:32.500]  在我們平淡的神學院生活裡面
[00:04:32.500 --> 00:04:37.100]  增添不少的味道 我永遠不會忘記
[00:04:37.100 --> 00:04:45.500]  我也不忘記當我2000年離開三藩市的時候
[00:04:45.500 --> 00:04:49.200]  那些弟兄姐妹依依不捨之情
[00:04:49.200 --> 00:04:56.100]  真是的 說不出那種暖流
[00:04:56.100 --> 00:05:02.300]  尤其是我們有事 或者太太有病的時候
[00:05:02.300 --> 00:05:06.200]  弟兄姐妹的問候 他們的關懷
[00:05:06.200 --> 00:05:08.600]  令我們非常感動
[00:05:08.600 --> 00:05:12.900]  還有一些人情味是超越民族、國家、文化背景
[00:05:12.900 --> 00:05:15.100]  我嘗過非洲人的人情味
[00:05:15.100 --> 00:05:17.500]  在我們神學院的時候有一個非洲同學
[00:05:17.500 --> 00:05:20.100]  在我們有難的時候仗義幫忙
[00:05:20.100 --> 00:05:22.300]  我又嘗過美國人的人情味
[00:05:22.300 --> 00:05:23.700]  在我們最低落的時候
[00:05:23.700 --> 00:05:26.500]  他們好像天使在旁鼓勵
[00:05:26.500 --> 00:05:31.700]  之後原來教會是一個充滿人情味的地方
[00:05:31.700 --> 00:05:35.600]  在《撒姆爾記》第9章第一節有一個有趣的字
[00:05:35.600 --> 00:05:37.400]  中文叫做「因」字
[00:05:37.400 --> 00:05:40.900]  大衛就問了 蘇羅加還有剩下的人沒有?
[00:05:40.900 --> 00:05:45.100]  我要因若那丹的緣故向他施恩
[00:05:45.100 --> 00:05:50.100]  英文叫做Grace 正如中國人的人情
[00:05:50.100 --> 00:05:53.400]  英文的Grace這個字也是撲朔迷離的
[00:05:53.400 --> 00:05:58.300]  吃飯前祈禱我們叫做Say Grace 講恩
[00:05:58.300 --> 00:06:02.100]  吃飯的時候祈禱叫做Say Grace
[00:06:02.100 --> 00:06:05.600]  一個高貴的女士 我們說Graceful
[00:06:05.600 --> 00:06:07.800]  英女王參加慶典的時候
[00:06:07.800 --> 00:06:10.000]  我們說Bring Grace to Events
[00:06:10.000 --> 00:06:11.900]  究竟Grace是什麼意思呢?
[00:06:11.900 --> 00:06:16.900]  其實希伯來文Hazard這個字是沒有辦法翻出來的
[00:06:16.900 --> 00:06:22.900]  它可以有恩典Grace 仁慈Kindness 慈愛Love
[00:06:22.900 --> 00:06:27.200]  體諒Consideration 所有這些加起來
[00:06:27.200 --> 00:06:30.200]  都未必等於Hazard這個字
[00:06:30.200 --> 00:06:31.900]  所以我們可以這麼說
[00:06:31.900 --> 00:06:35.100]  這是基督徒版本的人情味
[00:06:35.100 --> 00:06:37.600]  也是基督徒的品格
[00:06:37.600 --> 00:06:41.000]  最能夠代表Hazard這個特點
[00:06:41.000 --> 00:06:44.600]  就是大衛在《撒姆爾記》第九章
[00:06:44.600 --> 00:06:48.000]  對米菲波切的對待
[00:06:48.000 --> 00:06:51.800]  正好表達了基督徒的人情味和品格
[00:06:51.800 --> 00:06:54.700]  所以今天我們就詳細看看聖經
[00:06:54.700 --> 00:07:00.400]  仔細去看一看 並且付諸於行動
[00:07:00.400 --> 00:07:03.500]  第一 人情味是什麼?
[00:07:03.500 --> 00:07:05.800]  是一個責任感 是一個委身
[00:07:05.800 --> 00:07:07.800]  英文Commitment
[00:07:07.800 --> 00:07:09.300]  我們看看第一節
[00:07:09.300 --> 00:07:11.800]  「訴羅家 還有剩下的人會有
[00:07:11.800 --> 00:07:15.600]  我要因若那丹的緣故享得私恩」
[00:07:15.600 --> 00:07:20.700]  這就是第一節大衛去問的一個問題
[00:07:20.700 --> 00:07:24.200]  我們要明白當時的背景和習俗
[00:07:24.200 --> 00:07:28.300]  我們才明白這句話的震撼性
[00:07:28.300 --> 00:07:31.200]  在舊時每逢轉朝接待
[00:07:31.200 --> 00:07:33.500]  新的王上場了
[00:07:33.500 --> 00:07:35.000]  第一件事就是什麼?
[00:07:35.000 --> 00:07:36.700]  大開殺戒
[00:07:36.700 --> 00:07:40.500]  「將昔日王朝的後人和一切效忠」
[00:07:40.500 --> 00:07:42.600]  昔日王朝的人
[00:07:42.600 --> 00:07:46.700]  「剷除他們 以免他們起義」
[00:07:46.700 --> 00:07:49.000]  正因為這樣的緣故
[00:07:49.000 --> 00:07:51.500]  那就大件事了
[00:07:51.500 --> 00:07:57.800]  昔日王朝就是訴羅的王朝
[00:07:57.800 --> 00:08:01.600]  所有訴羅王朝的人
[00:08:01.600 --> 00:08:03.600]  就有得震 沒得睡
[00:08:03.600 --> 00:08:05.100]  所以就是因為這樣的緣故
[00:08:05.100 --> 00:08:06.800]  若那丹在《撒姆爾記》上
[00:08:06.800 --> 00:08:10.700]  第20章16至17節就對大衛立約
[00:08:10.700 --> 00:08:14.400]  「於是若那丹與大衛加結文說
[00:08:14.400 --> 00:08:17.000]  願耶和華藉大衛的仇敵
[00:08:17.000 --> 00:08:19.200]  追討背約的罪」
[00:08:19.200 --> 00:08:22.800]  在這裡之前 若那丹對大衛說
[00:08:22.800 --> 00:08:26.800]  「你要照耶和華慈愛恩代我
[00:08:26.800 --> 00:08:29.500]  不但我活在的時候免得我死亡
[00:08:29.500 --> 00:08:33.700]  就算我死後耶和華從地上剪除你仇敵的時候
[00:08:33.700 --> 00:08:38.400]  你也永不可向我的家絕了恩惠」
[00:08:38.400 --> 00:08:41.600]  若那丹知道大衛有一天會做皇帝
[00:08:41.600 --> 00:08:43.900]  他就與大衛立約
[00:08:43.900 --> 00:08:46.200]  因為他真的做了皇的時候
[00:08:46.200 --> 00:08:48.200]  千萬不要殺他
[00:08:48.200 --> 00:08:49.100]  就算他死了
[00:08:49.100 --> 00:08:52.400]  你也千萬不要加害他的後裔和家人
[00:08:52.400 --> 00:08:54.400]  要用慈愛代他
[00:08:54.400 --> 00:08:58.000]  第17節 大衛起了誓承諾
[00:08:58.000 --> 00:09:01.700]  他們在神面前立了始約
[00:09:01.700 --> 00:09:06.300]  其後在《撒滿爾記》上第24章20至20節
[00:09:06.300 --> 00:09:10.600]  訴羅自己本身也是求大衛說
[00:09:10.600 --> 00:09:12.300]  「我也知道你必要作皇
[00:09:12.300 --> 00:09:14.900]  以死你的國必奠立在你手裏
[00:09:14.900 --> 00:09:17.900]  現在你要指著耶和華向我起誓
[00:09:17.900 --> 00:09:19.500]  不剪除我的後裔
[00:09:19.500 --> 00:09:22.400]  讓我父家不滅絕我的名」
[00:09:22.400 --> 00:09:26.200]  22節 於是大衛向訴羅起誓
[00:09:26.200 --> 00:09:28.200]  所以我們看到這個背景
[00:09:28.200 --> 00:09:30.500]  雖然從常理來說
[00:09:30.500 --> 00:09:32.600]  大衛為了要斬草除根
[00:09:32.600 --> 00:09:36.800]  將訴羅的後人滅絕 安枕無憂
[00:09:36.800 --> 00:09:39.900]  但是他不是這樣做的
[00:09:39.900 --> 00:09:44.200]  他想起他向若那丹和訴羅的起誓
[00:09:44.200 --> 00:09:46.600]  永不加害他們的後人
[00:09:46.600 --> 00:09:49.300]  並且以恩慈相待
[00:09:49.300 --> 00:09:52.200]  就因為這樣 沅古大衛就問
[00:09:52.200 --> 00:09:54.800]  「訴羅家還剩下的人沒有
[00:09:54.800 --> 00:09:58.800]  我要因若那丹的言故向他施恩」
[00:09:58.800 --> 00:10:01.100]  留意大衛在這裡所說的
[00:10:01.100 --> 00:10:06.600]  他不是說訴羅後人裏面有誰有資格領受我的恩典
[00:10:06.600 --> 00:10:09.300]  有誰可以領受我的恩典
[00:10:09.300 --> 00:10:11.700]  但又不會影響我的江山的
[00:10:11.700 --> 00:10:13.200]  他不是這樣問的
[00:10:13.200 --> 00:10:18.300]  他只是問「訴羅家還剩下的人沒有」
[00:10:18.300 --> 00:10:20.900]  「我要因若那丹的言故施恩及德」
[00:10:20.900 --> 00:10:22.500]  這就是hazard
[00:10:22.500 --> 00:10:26.700]  基督徒的人情味和基督徒的品格
[00:10:26.700 --> 00:10:28.600]  這是一個commitment
[00:10:28.600 --> 00:10:31.900]  他承諾過他不是孖孖呼呼
[00:10:31.900 --> 00:10:34.000]  不是看自己的利益
[00:10:34.000 --> 00:10:36.800]  而是他有一個責任
[00:10:36.800 --> 00:10:39.600]  有一個託付 有一個委身
[00:10:39.600 --> 00:10:42.300]  這個責任就是基督徒的品格
[00:10:42.300 --> 00:10:44.300]  也是基督徒的人情味
[00:10:44.300 --> 00:10:47.700]  很多時候我們為了討好人
[00:10:47.700 --> 00:10:50.600]  為了一時之便 順口開口做了承諾
[00:10:50.600 --> 00:10:53.200]  到時就忘記了一干二淨
[00:10:53.200 --> 00:10:56.300]  令人不便 令人跌倒
[00:10:56.300 --> 00:10:57.500]  我們都要想一下
[00:10:57.500 --> 00:11:00.400]  我們有沒有答應過人一些爽約的事情呢?
[00:11:00.400 --> 00:11:02.900]  報了名主要學又沒有出現呢?
[00:11:02.900 --> 00:11:06.600]  答應過探訪的人又沒有做好呢?
[00:11:06.600 --> 00:11:08.300]  借人的事情還沒有還呢?
[00:11:08.300 --> 00:11:10.700]  答應過神的事情還沒有履行呢?
[00:11:10.700 --> 00:11:13.800]  這些是培植我們品格和人情味
[00:11:13.800 --> 00:11:17.500]  學一下大衛 守諾言
[00:11:17.500 --> 00:11:19.700]  我們再來看第二個特色
[00:11:19.700 --> 00:11:22.600]  就是同情和憐憫
[00:11:22.600 --> 00:11:24.100]  我們看看第二節
[00:11:24.100 --> 00:11:27.700]  「訴羅家有一個僕人名叫洗吧」
[00:11:27.700 --> 00:11:29.900]  「有人叫他來見大衛」
[00:11:29.900 --> 00:11:32.300]  「王問他說:你是洗吧嗎?」
[00:11:32.300 --> 00:11:34.000]  「回答說:僕人是」
[00:11:34.000 --> 00:11:36.800]  「王說:訴羅家還有人沒有」
[00:11:36.800 --> 00:11:39.800]  「我要叫神的慈愛恩代他」
[00:11:39.800 --> 00:11:43.400]  「洗吧對王說:還有若拿丹的一個兒子」
[00:11:43.400 --> 00:11:44.800]  「知他對的」
[00:11:44.800 --> 00:11:46.700]  「王說:他在哪裡?」
[00:11:46.700 --> 00:11:50.700]  這一段對話是非常有趣的
[00:11:50.700 --> 00:11:52.400]  當大衛見到洗吧的時候
[00:11:52.400 --> 00:11:54.700]  他問訴羅家還有沒有人呢?
[00:11:54.700 --> 00:11:57.600]  「我要叫神的慈愛恩代他」
[00:11:57.600 --> 00:12:01.000]  大衛怕洗吧誤會他
[00:12:01.000 --> 00:12:02.600]  現在找到上門了
[00:12:02.600 --> 00:12:04.300]  是不是要追殺呢?
[00:12:04.300 --> 00:12:07.300]  找訴羅王后約來追殺呢?
[00:12:07.300 --> 00:12:14.600]  不是 他想到怎樣叫神的慈愛恩代他
[00:12:14.600 --> 00:12:18.400]  「洗吧對王說:還有若拿丹的一個兒子」
[00:12:18.400 --> 00:12:20.300]  「知他對的」
[00:12:20.300 --> 00:12:24.900]  在原文洗吧的意思似乎更加清楚
[00:12:24.900 --> 00:12:27.900]  「王說:還有一個」
[00:12:27.900 --> 00:12:31.500]  可惜他不是像你所想像的那一位
[00:12:31.500 --> 00:12:33.400]  他是殘障的
[00:12:33.400 --> 00:12:36.200]  恐怕他的出現和你的身份、你的尊貴
[00:12:36.200 --> 00:12:41.000]  和你的宮殿是不大相稱的
[00:12:41.000 --> 00:12:44.000]  但你看看大衛怎樣回答
[00:12:44.000 --> 00:12:46.300]  他不會問:那他傷成怎樣?
[00:12:46.300 --> 00:12:49.100]  他醜成怎樣?他惡成怎樣?
[00:12:49.100 --> 00:12:51.600]  他不是問這些
[00:12:51.600 --> 00:12:54.100]  他甚至沒有問為甚麼他弄成這樣
[00:12:54.100 --> 00:12:56.100]  他只問他在哪裡
[00:12:56.100 --> 00:12:57.900]  這不就是hazard?
[00:12:57.900 --> 00:12:59.500]  這不就是人情味?
[00:12:59.500 --> 00:13:01.500]  是連戳大衛關心他
[00:13:01.500 --> 00:13:04.800]  不理他的身材、他的狀況、他的智商
[00:13:04.800 --> 00:13:07.300]  只是因為他是訴羅的後人
[00:13:07.300 --> 00:13:09.300]  他是若拿丹的兒子
[00:13:09.300 --> 00:13:10.900]  他就要連戳他
[00:13:10.900 --> 00:13:13.300]  他就問他在哪裡?
[00:13:13.300 --> 00:13:16.400]  基督徒的品格、基督徒的人情味
[00:13:16.400 --> 00:13:18.600]  就有這一類連戳的心
[00:13:18.600 --> 00:13:20.600]  同情連戳
[00:13:20.600 --> 00:13:24.100]  是將別人的需要特別敏感
[00:13:24.100 --> 00:13:27.200]  將自己放在別人的處境
[00:13:27.200 --> 00:13:29.800]  設身此地去想一想
[00:13:29.800 --> 00:13:32.600]  我想路加福音第十章二十五至三十七節
[00:13:32.600 --> 00:13:34.600]  好 撒瑪利亞人的故事
[00:13:34.600 --> 00:13:36.300]  基督徒提到一個律法師
[00:13:36.300 --> 00:13:38.000]  找來耶穌問永生之路
[00:13:38.000 --> 00:13:41.600]  耶穌就問他 律法的精義
[00:13:41.600 --> 00:13:45.200]  他一針見血就將律法的精義講得清清楚楚
[00:13:45.200 --> 00:13:48.400]  你要盡心盡性、盡力盡意愛著神
[00:13:48.400 --> 00:13:50.900]  又要愛輪舍 又要愛自己?
[00:13:50.900 --> 00:13:52.400]  於是耶穌就回答
[00:13:52.400 --> 00:13:55.100]  那你照著去做吧 你就必得永生
[00:13:55.100 --> 00:13:57.000]  這個律法師不服氣
[00:13:57.000 --> 00:13:59.900]  就問耶穌 誰是我的輪舍?
[00:13:59.900 --> 00:14:02.100]  於是耶穌就講了一個著名的
[00:14:02.100 --> 00:14:04.200]  好撒瑪利亞人的故事
[00:14:04.200 --> 00:14:06.700]  有一個人從耶路撒冷下耶利江
[00:14:06.700 --> 00:14:09.800]  中途落在強盜的手中
[00:14:09.800 --> 00:14:12.000]  被打劫 打到半死
[00:14:12.000 --> 00:14:14.200]  在路旁伸淫 祭司經過
[00:14:14.200 --> 00:14:15.700]  利美人經過
[00:14:15.700 --> 00:14:18.800]  最後撒瑪利亞人也經過
[00:14:18.800 --> 00:14:21.400]  撒瑪利亞人就和猶太人沒有來往
[00:14:21.400 --> 00:14:24.200]  只有撒瑪利亞人動了慈心
[00:14:24.200 --> 00:14:27.100]  上前用油和酒倒在他傷處
[00:14:27.100 --> 00:14:30.600]  包裹好料 扶他騎上自己的身後
[00:14:30.600 --> 00:14:32.800]  帶他到旅店養傷
[00:14:32.800 --> 00:14:35.800]  並且為他付上一切的費用
[00:14:35.800 --> 00:14:39.000]  於是耶穌講完這個故事就問這個律法師
[00:14:39.000 --> 00:14:43.800]  在三人中哪一個落在強盜手中的輪舍呢?
[00:14:43.800 --> 00:14:45.800]  律法師說是憐憫他的
[00:14:45.800 --> 00:14:48.800]  耶穌說 你照著去做吧
[00:14:48.800 --> 00:14:52.800]  留意律法師所提出的問題和耶穌所提出的問題
[00:14:52.800 --> 00:14:54.200]  是有不同的
[00:14:54.200 --> 00:14:57.600]  律法師的問題是誰是我的輪舍?
[00:14:57.600 --> 00:15:00.400]  意思就是說 你叫我去愛我的輪舍
[00:15:00.400 --> 00:15:02.000]  誰是我的輪舍?
[00:15:02.000 --> 00:15:05.200]  就是說民眾不是每個人都是我的輪舍
[00:15:05.200 --> 00:15:07.800]  有些不是我的輪舍 我怎麼會愛他?
[00:15:07.800 --> 00:15:10.200]  這個就是從人的觀點來看
[00:15:10.200 --> 00:15:14.200]  你叫我去憐恤別人 我就要看看誰是誰
[00:15:14.200 --> 00:15:17.700]  我要看看他對我有沒有好處
[00:15:17.700 --> 00:15:19.800]  我是否喜歡他?
[00:15:19.800 --> 00:15:21.500]  誰是我的輪舍?
[00:15:21.500 --> 00:15:24.500]  這樣我才可以做一個決定
[00:15:24.500 --> 00:15:28.600]  這個就是問題所在
[00:15:28.600 --> 00:15:31.500]  耶穌的問題是
[00:15:31.500 --> 00:15:35.800]  在三人中哪一個是受害者的輪舍?
[00:15:35.800 --> 00:15:38.400]  答案就是憐恤他的
[00:15:38.400 --> 00:15:41.400]  換句話說 如果你不憐恤他
[00:15:41.400 --> 00:15:43.400]  他就不是你的輪舍
[00:15:43.400 --> 00:15:45.900]  問題不是在乎那個人的背景
[00:15:45.900 --> 00:15:48.500]  那個人的學問 那個人的樣子
[00:15:48.500 --> 00:15:52.900]  不是 而是在乎你有沒有憐恤的心
[00:15:52.900 --> 00:15:56.100]  耶穌不是說誰是你的輪舍
[00:15:56.100 --> 00:15:59.300]  而是說我是誰的輪舍
[00:15:59.300 --> 00:16:02.500]  但是憐恤不是在飛波前
[00:16:02.500 --> 00:16:06.500]  不是因為看他的外貌、看他的身形
[00:16:06.500 --> 00:16:10.100]  而是沒有條件 充滿了憐恤的心
[00:16:10.100 --> 00:16:14.200]  但是為什麼不要問誰來關心我?
[00:16:14.200 --> 00:16:17.200]  而是問我去關心誰?
[00:16:17.200 --> 00:16:19.100]  憐恤是主輪的
[00:16:19.100 --> 00:16:22.500]  我可以成為誰的輪舍
[00:16:22.500 --> 00:16:25.700]  而不是誰有資格做我的輪舍
[00:16:25.700 --> 00:16:28.100]  這個就是人情味
[00:16:28.100 --> 00:16:31.800]  第三 很重要的就是體諒
[00:16:31.800 --> 00:16:34.400]  我們再來看看第五節
[00:16:34.400 --> 00:16:36.800]  於是大衛王打發人去
[00:16:36.800 --> 00:16:40.500]  從羅底巴亞米利的兒子
[00:16:40.500 --> 00:16:43.600]  瑪吉加里召了他來
[00:16:43.600 --> 00:16:45.800]  訴羅的孫子約拿丹的兒子
[00:16:45.800 --> 00:16:48.000]  米菲波切來見大衛
[00:16:48.000 --> 00:16:49.700]  俘服叩拜
[00:16:49.700 --> 00:16:52.700]  大衛說 米菲波切說
[00:16:52.700 --> 00:16:54.500]  報人在此 大衛說
[00:16:54.500 --> 00:16:55.800]  你不要懼怕
[00:16:55.800 --> 00:16:58.000]  我必因你父親約拿丹的怨故
[00:16:58.000 --> 00:16:59.500]  私隱於你
[00:16:59.500 --> 00:17:02.300]  將你的祖父訴羅一切
[00:17:02.300 --> 00:17:03.900]  田地都歸於你
[00:17:03.900 --> 00:17:08.000]  你也可以常與我同夕吃飯
[00:17:08.000 --> 00:17:11.400]  米菲波切就在這跪下拜話
[00:17:11.400 --> 00:17:13.200]  報人算什麼?
[00:17:13.200 --> 00:17:15.300]  不過如死狗一般
[00:17:15.300 --> 00:17:18.100]  竟茫茫這樣見故?
[00:17:18.100 --> 00:17:20.200]  王就召了訴羅的報人
[00:17:20.200 --> 00:17:21.900]  洗巴萊對他說
[00:17:21.900 --> 00:17:24.800]  我已將屬訴羅和他一切家產
[00:17:24.800 --> 00:17:27.700]  都設給你主人的兒子了
[00:17:27.700 --> 00:17:29.600]  你和你的眾子僕人
[00:17:29.600 --> 00:17:32.800]  要為你主人的兒子米菲波切
[00:17:32.800 --> 00:17:34.900]  耕種田地
[00:17:34.900 --> 00:17:40.100]  把所產的拿來供他食用
[00:17:40.100 --> 00:17:43.000]  他卻常與我同夕吃飯
[00:17:43.000 --> 00:17:45.000]  洗巴有十五個兒子
[00:17:45.000 --> 00:17:46.700]  二十個僕人
[00:17:46.700 --> 00:17:47.900]  洗巴對王說
[00:17:47.900 --> 00:17:51.200]  凡我主可王所吩咐僕人的
[00:17:51.200 --> 00:17:53.800]  僕人都必遵行
[00:17:53.800 --> 00:17:54.900]  王又說
[00:17:54.900 --> 00:17:58.300]  米菲波切必與我同夕吃飯
[00:17:58.300 --> 00:18:00.900]  如王的兒子一樣
[00:18:00.900 --> 00:18:02.700]  米菲波切有一個兒子
[00:18:02.700 --> 00:18:04.200]  名叫米加
[00:18:04.200 --> 00:18:07.000]  凡住在洗巴家裡的人
[00:18:07.000 --> 00:18:09.800]  都作了米菲波切的僕人
[00:18:09.800 --> 00:18:11.600]  於是米菲波切
[00:18:11.600 --> 00:18:13.400]  要在耶路撒冷
[00:18:13.400 --> 00:18:16.100]  常與王同夕吃飯
[00:18:16.100 --> 00:18:19.500]  他兩條腿是強的
[00:18:19.500 --> 00:18:21.400]  第四節告訴你
[00:18:21.400 --> 00:18:24.700]  米菲波切住在羅底巴
[00:18:24.700 --> 00:18:28.500]  阿米尼兒子馬吉的家裡
[00:18:28.500 --> 00:18:32.400]  首先我們看看羅底巴是甚麼地方
[00:18:32.400 --> 00:18:33.900]  希伯來文的字叫
[00:18:33.900 --> 00:18:35.500]  Lodvar
[00:18:35.500 --> 00:18:37.900]  底巴這個字是解
[00:18:37.900 --> 00:18:39.900]  青草地
[00:18:39.900 --> 00:18:43.500]  但是Lod的字的意思是沒有
[00:18:43.500 --> 00:18:46.200]  原來這是山卡拉的地方
[00:18:46.200 --> 00:18:48.200]  不是一個青草地
[00:18:48.200 --> 00:18:51.000]  人煙都沒有過荒無枝地
[00:18:51.000 --> 00:18:52.200]  我們會問
[00:18:52.200 --> 00:18:55.200]  為甚麼會走到山卡拉的地方居住?
[00:18:55.200 --> 00:18:57.600]  為甚麼要記住在別人的家裡?
[00:18:57.600 --> 00:19:00.300]  很明顯是因為他怕大衛追殺
[00:19:00.300 --> 00:19:03.500]  然後上述昔日的新王登基
[00:19:03.500 --> 00:19:06.700]  就一定要剷除舊時王朝的後人
[00:19:06.700 --> 00:19:08.700]  這是常見的
[00:19:08.700 --> 00:19:11.800]  根據《撒姆爾記》第四章第四頁告訴你
[00:19:11.800 --> 00:19:16.800]  當蘇羅和納丹在戰場戰死的時候
[00:19:16.800 --> 00:19:21.400]  那個僕人就匆匆忙忙帶著米飛波撤走了
[00:19:21.400 --> 00:19:23.100]  在匆忙跌了一跤
[00:19:23.100 --> 00:19:26.600]  就把這個只有五歲大的新王頂閉了
