
[00:00:00.000 --> 00:00:07.200]  各位政協姐妹 平安 新年快樂
[00:10:51.880 --> 00:11:02.880]  但是專家告訴我們 曝光的所謂證據裏面 仍然是做了手腳
[00:11:02.880 --> 00:11:06.880]  可能是對他有利的 那個手腳
[00:11:06.880 --> 00:11:13.880]  我們見到特朗普上台之後 他的關注點都是錢
[00:11:13.880 --> 00:11:22.880]  那個大淫亂的大淫蟲Epstein 他關注的同樣都是錢和性
[00:11:22.880 --> 00:11:27.880]  我們接著去看一看 特朗普上台之後
[00:11:27.880 --> 00:11:41.880]  為什麼要在一個國家裏面 幾個小時內 將這個國家的總統擄走
[00:11:41.880 --> 00:11:47.880]  然後他們的生意就是委內瑞拉的生意
[00:11:47.880 --> 00:11:53.880]  所有的石油生意是由美國來接管
[00:11:53.880 --> 00:11:57.880]  所以不只是總統被擄到紐約要受審
[00:11:57.880 --> 00:12:01.880]  整個國家的石油生意是由美國接管
[00:12:01.880 --> 00:12:12.880]  甚至給回那些生意給他們也好 每年他要給最少5000萬桶的石油供應給美國
[00:12:12.880 --> 00:12:20.880]  接著哥倫比亞 巴拿馬 古巴 格陵蘭 加拿大 甚至巴西都受到威脅
[00:12:20.880 --> 00:12:23.880]  同樣的命運都可能會出現
[00:12:23.880 --> 00:12:28.880]  我們今天要問一個問題 這個是一個什麼樣的世界?
[00:12:28.880 --> 00:12:38.880]  兄弟姐妹 我就很想今天和大家進入到十屆裏面 最後的三屆
[00:12:38.880 --> 00:12:43.880]  春雞及記二十章十五到十七節
[00:12:43.880 --> 00:12:48.880]  不可偷渡 不可作假見證 陷害人
[00:12:48.880 --> 00:12:51.880]  不可貪戀人的房屋
[00:12:51.880 --> 00:12:59.880]  也不可以貪戀人的妻子 家庭 牛奴 其他一切所有的
[00:12:59.880 --> 00:13:07.880]  我們去看一看 這個界面其實主要是針對什麼呢?
[00:13:07.880 --> 00:13:14.880]  中國人說了一句話 萬惡淫為首
[00:13:14.880 --> 00:13:21.880]  新約提摩太前書六章十節 貪財是萬惡至極
[00:13:21.880 --> 00:13:28.880]  雅各書一章十三節 隱秘私貪不可以說我是被神私貪
[00:13:28.880 --> 00:13:32.880]  因為神不能被惡私貪 也不私貪人
[00:13:32.880 --> 00:13:37.880]  隱秘私貪乃是被自己的私欲牽引誘惑
[00:13:37.880 --> 00:13:43.880]  私欲既懷了胎就生出罪來 罪既長成就生出死來
[00:13:43.880 --> 00:13:52.880]  今天我們集中的無論是淫孽也好 貪財也好 什麼也好
[00:13:52.880 --> 00:13:58.880]  其實全部這些罪 聖經說得很清楚
[00:13:58.880 --> 00:14:03.880]  是由人的欲念開始的 是人的心開始的
[00:14:03.880 --> 00:14:10.880]  這個私欲如果懷了胎就會生出罪 罪既長成就會生出死
[00:14:10.880 --> 00:14:18.880]  我們今天就逐一來看一看十節裏面最後的三節
[00:14:18.880 --> 00:14:27.880]  第八節 你們不可以偷渡 到底什麼叫偷渡呢?
[00:14:27.880 --> 00:14:33.880]  偷渡就是不問自取屬於別人任何的東西
[00:14:33.880 --> 00:14:42.880]  這個不問自取包括搶別人的東西 劫別人的東西 爆竊別人的東西
[00:14:42.880 --> 00:14:48.880]  或者十惟不報 你侵犯版權 借而不還等等
[00:14:48.880 --> 00:14:57.880]  全部這些都是屬於偷渡 你們不可以偷渡
[00:14:57.880 --> 00:15:07.880]  如果我們去到超市 去商店買東西 給了一百元港幣
[00:15:07.880 --> 00:15:14.880]  誰知道他找回三百多元給你 你會不會拿到之後
[00:15:14.880 --> 00:15:20.880]  就說都不說 就放在袋裏 然後就走呢?
[00:15:20.880 --> 00:15:30.880]  有些人說不會急急腳走 而是施施嚴走
[00:15:30.880 --> 00:15:35.880]  其實這個行為本身也是屬於偷渡
[00:15:35.880 --> 00:15:46.880]  另外最近發現很多在內地出來想讀香港大學的人
[00:15:46.880 --> 00:15:58.880]  原來他們考的成績單是請別人代考的 是假的 假的學歷 是假的證書
[00:15:58.880 --> 00:16:11.880]  他們想去美國那邊升學 原來他們的英文考試的成績是請人代考的
[00:16:11.880 --> 00:16:18.880]  是他們自己考的 是請人代考的 另外他們報出來的學歷
[00:16:18.880 --> 00:16:28.880]  原來大學本身是完全不同的 換句話來說是偽造出來的大學的學歷
[00:16:28.880 --> 00:16:37.880]  這些全部都是叫偷渡 不屬於你的 你就是這樣 當是你自己的
[00:16:37.880 --> 00:16:42.880]  還有一樣東西 AI的流行之後
[00:16:42.880 --> 00:16:49.880]  很多人的論文不是自己寫的 而是用AI來寫的
[00:16:49.880 --> 00:16:56.880]  那怎麼知道的呢? 很簡單 你就幾個考官在問口試的時候
[00:16:56.880 --> 00:17:03.880]  你應該就非常清楚那篇東西是他寫的還是不是他寫的
[00:17:03.880 --> 00:17:11.880]  你應該很清楚的 但是今天有些大學教授竟然直接告訴別人
[00:17:11.880 --> 00:17:17.880]  如果你給多少錢 我就可以幫你搞定這個論文
[00:17:17.880 --> 00:17:26.880]  是教授和學生一起聯合行騙 這個都叫偷渡
[00:17:26.880 --> 00:17:33.880]  是因為這樣的緣故 兄弟姐妹 今天我們來到我們現在這個年代
[00:17:33.880 --> 00:17:38.880]  有可能無數的人都是為了找一份好的工作
[00:17:38.880 --> 00:17:47.880]  而那份工作的要求 你發覺你自己是沒有辦法達標的
[00:17:47.880 --> 00:17:50.880]  你用什麼方法去找這份工作回來呢?
[00:17:50.880 --> 00:17:58.880]  很多人就想到是用一些假的學歷 是假的一些轉介信
[00:17:58.880 --> 00:18:02.880]  假的曾經入職某公司的一些信件
[00:18:02.880 --> 00:18:07.880]  如果你公司的本身 你不是小心翼翼
[00:18:07.880 --> 00:18:13.880]  來審查每一個人的這些東西 你就隨便讓他進來的時候
[00:18:13.880 --> 00:18:21.880]  這個問題就不是很大 有一些他們進來的時候就謙謙卑卑
[00:18:21.880 --> 00:18:27.880]  但是那些東西是假的 但是因為那些工作的性質又不是那麼高級
[00:18:27.880 --> 00:18:33.880]  薪水又不是那麼高 所以就讓他進來 但是進來之後
[00:18:33.880 --> 00:18:41.880]  他就越來越好了 做了幾年 那些人根本就不需要審查他的學歷
[00:18:41.880 --> 00:18:48.880]  就讓他直升 這個都是帶來一些非常嚴重的問題
[00:18:48.880 --> 00:18:54.880]  很多人的學歷是在大學裡面教書教了很多年
[00:18:54.880 --> 00:18:59.880]  然後才被人發現是假的 是因為這樣的緣故
[00:18:59.880 --> 00:19:06.880]  當我們留意看到什麼叫偷渡 偷渡就是不問自取
[00:19:06.880 --> 00:19:13.880]  屬於人家任何的東西 這個都是叫偷渡
[00:19:13.880 --> 00:19:23.880]  你騙一間商店的老闆 公司的老闆 用假的東西來入職
[00:19:23.880 --> 00:19:29.880]  其實這個都叫偷渡 你騙一間大學 報讀他的時候
[00:19:29.880 --> 00:19:35.880]  是用了假的一些履歷 假的你自己所謂大學的一些成績
[00:19:35.880 --> 00:19:43.880]  這個都是叫偷渡 另一方面 在我過去的書裡面
[00:19:43.880 --> 00:19:51.880]  我進到裡面的時候 我才發覺到原來很多不同的版本
[00:19:51.880 --> 00:19:56.880]  都已經在市面上有人可以買得到
[00:19:56.880 --> 00:20:04.880]  我有一次去到一個地方來到廣島 傳達人就拿了兩三本我的書出來
[00:20:04.880 --> 00:20:11.880]  他說牧師不好意思 我有你的書 但未經過你的同意
[00:20:11.880 --> 00:20:16.880]  我看了之後 我就告訴他 其實有些書裡面都已經有得出
[00:20:16.880 --> 00:20:24.880]  你不需要自己去惹任這些書 煩這些煩
[00:20:24.880 --> 00:20:28.880]  你可以平平安安買那些書來用
[00:20:28.880 --> 00:20:35.880]  縱使有些沒有的 我都已經給了一些簡體版給政府 在裡面你們去買
[00:20:35.880 --> 00:20:40.880]  那些小冊子也有的 我就告訴他們
[00:20:40.880 --> 00:20:48.880]  我去到歐洲的時候 有一個同工 他就是為了想印我的書
[00:20:48.880 --> 00:20:54.880]  他就寫了一封信給我 問我可不可以給他去印
[00:20:54.880 --> 00:21:02.880]  他願意給那些版稅給我 我聽了之後 我很欣賞這個同工
[00:21:02.880 --> 00:21:07.880]  他的做法 所以我就告訴他 你去印吧
[00:21:07.880 --> 00:21:14.880]  你印多少個copy 印多少個本 然後你就按版稅來給他
[00:21:14.880 --> 00:21:19.880]  我覺得在今天 其實我們有很多的方法不需要犯罪
[00:21:19.880 --> 00:21:24.880]  不需要犯法 來做這些偷渡的行徑
[00:21:24.880 --> 00:21:33.880]  問題就是到底我們肯不肯緊緊守著神給我們的教育
[00:21:33.880 --> 00:21:38.880]  做一個合他心意的公民
[00:21:38.880 --> 00:21:43.880]  接著我們去到下一屆 第九屆
[00:21:43.880 --> 00:21:49.880]  聖經說 你們不可作假見證 陷害人
[00:21:49.880 --> 00:21:57.880]  各位 大家知道在今天裡面 人間的法律都有一個叫做
[00:21:57.880 --> 00:22:07.880]  當我們造假來陷害一些人的時候 都會被告
[00:22:07.880 --> 00:22:15.880]  這個是影響人的名聲 另一方面來說 是誹謗這個罪
[00:22:15.880 --> 00:22:21.880]  如果萬一被法官判為成立的時候
[00:22:21.880 --> 00:22:24.880]  你誹謗人成立的時候
[00:22:24.880 --> 00:22:31.880]  就是那個受害人要求你賠多少 你可能都要賠這麼多
[00:22:31.880 --> 00:22:37.880]  這個實際上是一個非常嚴重的問題
[00:22:37.880 --> 00:22:41.880]  你作假見證陷害人 帶來的結果對自己有沒有好處呢?
[00:22:41.880 --> 00:22:44.880]  對別人有沒有好處呢? 是完全沒有的
[00:22:44.880 --> 00:22:48.880]  有可能你去影響別人 可能那本書賣不成
[00:22:48.880 --> 00:22:53.880]  影響那個人 第二天出來的時候就常常被人笑 被人唱
[00:22:53.880 --> 00:22:56.880]  但另一方面來說 有沒有想到
[00:22:56.880 --> 00:23:00.880]  如果我們做的見證不是針對事 而是針對一個人
[00:23:00.880 --> 00:23:04.880]  來加上一些東西在他身上的時候
[00:23:04.880 --> 00:23:09.880]  大家要知道 這個代價可以非常沉重
[00:23:09.880 --> 00:23:15.880]  沉重到一個地步 你甚至可以隨時破產
[00:23:15.880 --> 00:23:19.880]  是因為這樣的緣故 我們需要非常小心
[00:23:19.880 --> 00:23:30.880]  好了 有些人就引用新約舊約的一些例子
[00:23:30.880 --> 00:23:36.880]  他就說聖經也有一些說謊的證件
[00:23:36.880 --> 00:23:43.880]  這些事件包括到《春艾及記》2:15-21 修生婆
[00:23:43.880 --> 00:23:48.880]  法老叫她如果要幫那些以色列人接生的時候
[00:23:48.880 --> 00:23:51.880]  那些小孩子一出來 你就弄死他
[00:23:51.880 --> 00:24:03.880]  殺男嬰 女的就留下 誰知道修生婆她不聽法老的命令
[00:24:03.880 --> 00:24:09.880]  是暗中保留了那些男嬰的生命
[00:24:09.880 --> 00:24:14.880]  是因為這樣 法老就追問 為什麼你們不聽皇命
[00:24:14.880 --> 00:24:18.880]  男嬰為什麼不殺 你要讓他們生存
[00:24:18.880 --> 00:24:22.880]  然後修生婆就說謊
[00:24:22.880 --> 00:24:31.880]  他說 皇帝啊 法老啊 以色列人身體很強
[00:24:31.880 --> 00:24:34.880]  我們都未到他們已經出世了
[00:24:34.880 --> 00:24:37.880]  我們基本上是沒有辦法下手
[00:24:37.880 --> 00:24:41.880]  因為那些小孩子已經出世了
[00:24:41.880 --> 00:24:48.880]  然後已經被那些大人 以色列人在保護著
[00:24:48.880 --> 00:24:54.880]  我們怎麼可以在那個時候捏死他們呢 是不可能的
[00:24:54.880 --> 00:25:00.880]  他們說謊 那為什麼修生婆說謊
[00:25:00.880 --> 00:25:06.880]  臣竟然說他們是對的 做得好的
[00:25:06.880 --> 00:25:13.880]  然後就祝福他們 甚至讓他們結婚生子 為什麼呢
[00:25:13.880 --> 00:25:20.880]  另外一個例子 約書亞帶領以色列人進入丹南地
[00:25:20.880 --> 00:25:23.880]  他們攻打耶利哥城的時候
[00:25:23.880 --> 00:25:31.880]  就面對這個高大的城 先派探子來窺探這個城
[00:25:31.880 --> 00:25:40.880]  這些探子差點被捉拿 然後被處死
[00:25:40.880 --> 00:25:48.880]  但幸好在這個耶利哥城裏面有一個妓女叫拉合
[00:25:48.880 --> 00:25:53.880]  她就暗暗去保護這些以色列的探子
[00:25:53.880 --> 00:26:03.880]  然後告訴他們我去了那邊 然後就叫這些探子有這麼快就走了
[00:26:03.880 --> 00:26:12.880]  瞞過了耶利哥城的軍人 以致捉不到這些探子之後
[00:26:12.880 --> 00:26:17.880]  這些探子回去就報
[00:26:17.880 --> 00:26:23.880]  一報的時間 耶利哥城就在很短的時間裏面
[00:26:23.880 --> 00:26:26.880]  是因為神自己顯出的神蹟
[00:26:26.880 --> 00:26:32.880]  一天走一圈 第二天又走一圈 第三天 去到第七天就走七個圈
[00:26:32.880 --> 00:26:35.880]  走完之後大聲的喊叫
[00:26:35.880 --> 00:26:42.880]  沒有廢過一兵一卒 沒有殺過一個人 但城牆就塌了
[00:26:42.880 --> 00:26:47.880]  是因為這樣的緣故 耶利哥城就是這樣被攻陷
[00:26:47.880 --> 00:26:53.880]  攻陷了之後 神是恩代妓女拉合
[00:26:53.880 --> 00:26:56.880]  讓她結婚 可以生孩子
[00:26:56.880 --> 00:27:02.880]  甚至結婚是嫁給一個以色列人的探子
[00:27:02.880 --> 00:27:11.880]  各位都知道 這個都是非常清晰地在聖經裏面記載的
[00:27:11.880 --> 00:27:14.880]  我們今天就問一個問題
[00:27:14.880 --> 00:27:21.880]  為什麼這兩個人 起碼兩個人說了謊認得到神的祝福呢?
[00:27:21.880 --> 00:27:28.880]  各位頂智妹 我們今天就要帶大家來看一看
[00:27:28.880 --> 00:27:38.880]  十誡的誡明 就說你們不可以作假見證 陷害人
[00:27:38.880 --> 00:27:43.880]  但我們知道剛才我說的兩個例子
[00:27:43.880 --> 00:27:47.880]  他們作假見證是為了救人
[00:27:47.880 --> 00:27:53.880]  修生婆救的是以色列的男嬰
[00:27:53.880 --> 00:27:58.880]  然後妓女拉合救的是以色列的探子
[00:27:58.880 --> 00:28:04.880]  我深信他心裏知道耶和華是真神
[00:28:04.880 --> 00:28:13.880]  所以他要幫耶和華保存以色列人的探子的生命
[00:28:13.880 --> 00:28:17.880]  因為他相信這個神是真的
[00:28:17.880 --> 00:28:21.880]  所以兩個例子非常清楚表達出來
[00:28:21.880 --> 00:28:25.880]  神是閱立這兩個人 是因為他們是救人
[00:28:25.880 --> 00:28:29.880]  甚至冒著生命的危險去救人 為什麼呢?
[00:28:29.880 --> 00:28:35.880]  因為法老如果知道修生婆是這樣的時候
[00:28:35.880 --> 00:28:39.880]  他們隨時會招致殺身之禍
[00:28:39.880 --> 00:28:45.880]  另外拉合如果讓城的王知道的時候
[00:28:45.880 --> 00:28:49.880]  拉合隨時會有殺身之禍
[00:28:49.880 --> 00:28:53.880]  甚至連他一家都會有殺身之禍
[00:28:53.880 --> 00:28:59.880]  但他們做了一個價值觀的計算代價
[00:28:59.880 --> 00:29:07.880]  我寧願我死 我都不寧願以色列的男嬰死亡
[00:29:07.880 --> 00:29:13.880]  我寧願我死都不想以色列的探子死亡
[00:29:13.880 --> 00:29:18.880]  這種價值觀在神眼中是好的
[00:29:18.880 --> 00:29:24.880]  各位兄弟姐妹 今天我們都是一樣
[00:29:24.880 --> 00:29:29.880]  《涉行傳》五章二十九節
[00:29:29.880 --> 00:29:36.880]  彼得是因為傳神的道被抓被監禁
[00:29:36.880 --> 00:29:41.880]  結果神後來就由詹事放他們出來
[00:29:41.880 --> 00:29:46.880]  但出來之後他沒有不做傳福音的工作
[00:29:46.880 --> 00:29:51.880]  他仍然堅持要報導要傳福音
[00:29:51.880 --> 00:29:55.880]  為什麼?他講得很清楚
[00:29:55.880 --> 00:29:59.880]  在一個沒有辦法選擇的情形下
[00:29:59.880 --> 00:30:05.880]  如果你傳福音你會被抓 你會被審
[00:30:05.880 --> 00:30:08.880]  你甚至可能會被處決
[00:30:08.880 --> 00:30:11.880]  彼得的選擇是什麼呢?
[00:30:11.880 --> 00:30:16.880]  服從神 不服從人 是現當的
[00:30:16.880 --> 00:30:20.880]  我們叫這個做等級的倫理
[00:30:20.880 --> 00:30:25.880]  等級的倫理就是說不一定是說
[00:30:25.880 --> 00:30:29.880]  一些政府要求你不可以做的事情
[00:30:29.880 --> 00:30:35.880]  你就一定是在神的眼中都是等於錯的
[00:30:35.880 --> 00:30:41.880]  沒錯 如果政府要求的事情 聖經同樣都是要求
[00:30:41.880 --> 00:30:47.880]  我們是絕對要順從在上掌權
[00:30:47.880 --> 00:30:54.880]  但是當在上掌權的人就好像李六王羅馬帝國
[00:30:54.880 --> 00:30:58.880]  又好像彼得納殺猶太人
[00:30:58.880 --> 00:31:00.880]  如果你對著這些人
[00:31:00.880 --> 00:31:04.880]  你明明知道他在違背神的命令
[00:31:04.880 --> 00:31:09.880]  你還聽他 你就變成了從犯
[00:31:09.880 --> 00:31:12.880]  你和他一樣都是犯罪
[00:31:12.880 --> 00:31:16.880]  所以善行傳就給了一個選擇給我們
[00:31:16.880 --> 00:31:19.880]  就是一個等級的倫理
[00:31:19.880 --> 00:31:25.880]  當去到今天那些官他們的做法
[00:31:25.880 --> 00:31:29.880]  州官放火 不可以百姓點燈
[00:31:29.880 --> 00:31:34.880]  在這些情形下你信從誰呢?
[00:31:34.880 --> 00:31:41.880]  神就說服從神 不服從這些人是應當的
[00:31:41.880 --> 00:31:45.880]  是因為這樣的緣故我們是信服神
[00:31:45.880 --> 00:31:49.880]  我們繼續敬拜 我們繼續侍奉
[00:31:49.880 --> 00:31:51.880]  他要抓就抓吧
[00:31:51.880 --> 00:31:56.880]  這個就是我們自己的一個倫理的選擇
[00:31:56.880 --> 00:32:02.880]  現在我們就跟大家來到第十誡
[00:32:02.880 --> 00:32:14.880]  你們不可以貪戀別人的妻子、財物、知識產權等等
[00:32:14.880 --> 00:32:19.880]  本來還有很多的牛奴那些東西
[00:32:19.880 --> 00:32:21.880]  全部都包括在裏面
[00:32:21.880 --> 00:32:23.880]  不只是這些東西
[00:32:23.880 --> 00:32:29.880]  財物、牛奴、牲畜、人家擁有的東西、地等等
[00:32:29.880 --> 00:32:31.880]  全部都包括在內
[00:32:31.880 --> 00:32:34.880]  甚至連知識產權都應該包括在內
[00:32:34.880 --> 00:32:36.880]  是任何不屬於你們的人
[00:32:36.880 --> 00:32:38.880]  你都不可以貪戀
[00:32:38.880 --> 00:32:43.880]  我們看看為什麼大衛會犯姦淫
[00:32:43.880 --> 00:32:46.880]  另外還借刀殺人
[00:32:46.880 --> 00:32:53.880]  兩條大罪同時在大衛晚年的時候他犯了
[00:32:53.880 --> 00:32:57.880]  我們要看這個罪是從何來
[00:32:57.880 --> 00:33:01.880]  三國語記下十二章二到十七節
[00:33:01.880 --> 00:33:07.880]  很清楚告訴我們大衛之所以犯罪
[00:33:07.880 --> 00:33:13.880]  首先第一 他沒有制止自己的眼睛
