
[00:00:00.000 --> 00:00:10.000]  大明寺廟早晨 我是黃牧師 很高興能夠再次在主日送拜的時間和大家分享主的道理
[00:10:10.000 --> 00:10:15.000]  從而我們可以去作一個對我們自身的反省
[00:10:15.000 --> 00:10:19.000]  不然的話 我們以為自己可以承擔上帝的工作
[00:10:19.000 --> 00:10:23.000]  原來實質上我們根本沒有這樣的承載能力的時候的話
[00:10:23.000 --> 00:10:26.000]  很容易我們就會變成自大
[00:10:26.000 --> 00:10:33.000]  自大的人甚至享受在自己自以為自己很成功的狀態
[00:10:33.000 --> 00:10:36.000]  其實最後他們也都敗亡
[00:10:36.000 --> 00:10:40.000]  就好像西方社會有一個經常提到的比喻
[00:10:40.000 --> 00:10:43.000]  就叫做溫水煮蛙的比喻
[00:10:43.000 --> 00:10:46.000]  青蛙覺得自己是一盤溫水
[00:10:46.000 --> 00:10:48.000]  最初在涼的水裡面去游泳很舒服
[00:10:48.000 --> 00:10:53.000]  但是誰不知原來那些水在一個火爐上面
[00:10:53.000 --> 00:10:57.000]  是當時的人慢慢地在下面加熱
[00:10:57.000 --> 00:11:00.000]  將水溫慢慢調高的時候
[00:11:00.000 --> 00:11:05.000]  青蛙在裡面還以為自己落得一個非常享受的局面
[00:11:05.000 --> 00:11:09.000]  溫暖的水使到他可以有很大的享受
[00:11:09.000 --> 00:11:13.000]  誰不知最後被煮熟也都不知道
[00:11:13.000 --> 00:11:16.000]  我不希望我們今天的信徒是這樣
[00:11:16.000 --> 00:11:19.000]  我相信上帝也都不希望我們掉入這樣的情況
[00:11:19.000 --> 00:11:23.000]  所以今天這段經文就成為一個最重要的反差
[00:11:23.000 --> 00:11:25.000]  不只是讓我們從一個正面看見
[00:11:25.000 --> 00:11:28.000]  波亞斯或者路德他們的靈性
[00:11:28.000 --> 00:11:30.000]  是怎樣能夠有能力承載
[00:11:30.000 --> 00:11:33.000]  而且從另一個角度反面過來
[00:11:33.000 --> 00:11:36.000]  去告訴你知道當一個沒有能力承載的人
[00:11:36.000 --> 00:11:37.000]  他們的生命的時候
[00:11:37.000 --> 00:11:39.000]  他們的表彰是怎樣
[00:11:39.000 --> 00:11:42.000]  然後結局是怎樣
[00:11:42.000 --> 00:11:48.000]  讓你和我作出一個準確的屬靈道路的把握
[00:11:48.000 --> 00:11:52.000]  抓緊著上帝能夠怎樣與上帝同行
[00:11:52.000 --> 00:11:54.000]  我們再次去看看這段聖經
[00:11:54.000 --> 00:11:57.000]  首先在這段聖經之前
[00:11:57.000 --> 00:12:01.000]  我想介紹一個陳述或者一個形容
[00:12:01.000 --> 00:12:04.000]  叫做有耳可聽
[00:12:04.000 --> 00:12:08.000]  有耳可聽這個詞彙在聖經裡面
[00:12:08.000 --> 00:12:13.000]  其實源自於以賽亞書第六章第九節
[00:12:13.000 --> 00:12:16.000]  以賽亞書第六章第九節曾經這樣說
[00:12:16.000 --> 00:12:18.000]  你去告訴這百姓說
[00:12:18.000 --> 00:12:21.000]  你們聽是要聽見卻不明白
[00:12:21.000 --> 00:12:24.000]  看是要看見卻不曉得
[00:12:24.000 --> 00:12:32.000]  其實當時以賽亞去承接了上帝給他的差事
[00:12:32.000 --> 00:12:34.000]  一個很重要的差事
[00:12:34.000 --> 00:12:38.000]  不過上帝在猜以賽亞先知的時候
[00:12:38.000 --> 00:12:40.000]  說明白給他聽
[00:12:40.000 --> 00:12:45.000]  有些人就算聽見了他都不會明白的
[00:12:45.000 --> 00:12:48.000]  看見了他都不曉得
[00:12:48.000 --> 00:12:51.000]  其實這個詞彙這個陳述
[00:12:51.000 --> 00:12:57.000]  有耳可聽後來在新約聖經耶穌基督是屢次使用
[00:12:57.000 --> 00:13:02.000]  譬如在馬太福音第十三章第九節和第十三節裡面
[00:13:02.000 --> 00:13:05.000]  在耶穌講完一些比喻之後
[00:13:05.000 --> 00:13:07.000]  耶穌加上這個註腳
[00:13:07.000 --> 00:13:11.000]  有耳可聽的就應當聽
[00:13:11.000 --> 00:13:15.000]  什麼叫有耳當聽或者有耳可聽
[00:13:15.000 --> 00:13:16.000]  就是指一些人
[00:13:16.000 --> 00:13:20.000]  他是有一份和上帝聯合的心志
[00:13:20.000 --> 00:13:24.000]  而這幫人當他聽了上帝的話之後
[00:13:24.000 --> 00:13:30.000]  他是願意百分百地去順從尊重上帝決定
[00:13:30.000 --> 00:13:33.000]  並且了解了上帝的話之後
[00:13:33.000 --> 00:13:36.000]  並且能夠與神同行
[00:13:36.000 --> 00:13:41.000]  希望上帝所講的他也能夠參與在其中
[00:13:41.000 --> 00:13:44.000]  毫無懷疑
[00:13:44.000 --> 00:13:46.000]  為什麼我要介紹這個詞彙呢?
[00:13:46.000 --> 00:13:50.000]  因為在今天我們所看的這段聖經的時候
[00:13:50.000 --> 00:13:54.000]  就讓我們看見有些人同樣聽到上帝的話
[00:13:54.000 --> 00:13:57.000]  其實上帝的話不是很吝嗇
[00:13:57.000 --> 00:13:59.000]  不讓人知道的
[00:13:59.000 --> 00:14:01.000]  只是給少部分信得主的人知道
[00:14:01.000 --> 00:14:04.000]  不是 上帝的話是給普世的人去明白的
[00:14:04.000 --> 00:14:09.000]  不過問題是普世的人聽了之後想不想去明白呢?
[00:14:09.000 --> 00:14:14.000]  聽了就算知道內容清楚掌握了是怎樣
[00:14:14.000 --> 00:14:16.000]  他又願不願意去跟從呢?
[00:14:16.000 --> 00:14:19.000]  這個就是今天我們所看的經文
[00:14:19.000 --> 00:14:22.000]  在今天我們所看的這段經文來到這裡
[00:14:22.000 --> 00:14:27.000]  第十三節可以說是從城門的場景
[00:14:27.000 --> 00:14:33.000]  我們先前所說的長老和波亞斯的老友記
[00:14:33.000 --> 00:14:37.000]  同鄉一起在城門門口商議的時候
[00:14:37.000 --> 00:14:40.000]  這個場景一調調到另一個場景
[00:14:40.000 --> 00:14:42.000]  這個是什麼場景呢?
[00:14:42.000 --> 00:14:47.000]  這個場景可以說是路德記最特別的時刻
[00:14:47.000 --> 00:14:48.000]  就是什麼呢?
[00:14:48.000 --> 00:14:51.000]  就是上帝真正第一次記載到
[00:14:51.000 --> 00:14:53.000]  他有直接的參與
[00:14:53.000 --> 00:14:58.000]  在整個路德記裡面我們聽了很多有關於
[00:14:58.000 --> 00:15:02.000]  耶和華什麼 耶和華什麼 耶和華怎樣
[00:15:02.000 --> 00:15:06.000]  我們都是一些二手資料
[00:15:06.000 --> 00:15:10.000]  我們從來沒有看過上帝怎樣直接動手
[00:15:10.000 --> 00:15:12.000]  但是來到這裡
[00:15:12.000 --> 00:15:14.000]  我們看到上帝直接動手
[00:15:14.000 --> 00:15:22.000]  去參與在整個路德和波亞斯的婚姻上
[00:15:22.000 --> 00:15:28.000]  而在這裡上帝所作的東西也不是大鑼大鼓
[00:15:28.000 --> 00:15:31.000]  其實仍然是按照前文所說
[00:15:31.000 --> 00:15:34.000]  按照一個他創造的設計的order
[00:15:34.000 --> 00:15:36.000]  那個系統而去發展
[00:15:36.000 --> 00:15:39.000]  但是上帝在這個系統裡面
[00:15:39.000 --> 00:15:41.000]  只是微微一按鍵
[00:15:41.000 --> 00:15:44.000]  整件事就會變得不同
[00:15:44.000 --> 00:15:49.000]  而這件事就是上帝使道路德懷孕
[00:15:49.000 --> 00:15:52.000]  我們再重新去看一看
[00:15:52.000 --> 00:15:54.000]  我們先看第十三節的經文
[00:15:54.000 --> 00:15:57.000]  在第十三節裡面我們去看一看
[00:15:57.000 --> 00:16:03.000]  神是很樂於和那些有耳可聽的人去同宮的
[00:16:03.000 --> 00:16:06.000]  其實這個題目我們之前已經說過很多次
[00:16:06.000 --> 00:16:09.000]  不過作者在這裡再次很強調
[00:16:09.000 --> 00:16:11.000]  把這件事說了出來
[00:16:11.000 --> 00:16:14.000]  並且在裡面還有一些很重要的原則告訴我們
[00:16:14.000 --> 00:16:16.000]  我們再看回這節經文
[00:16:16.000 --> 00:16:18.000]  第十三節
[00:16:18.000 --> 00:16:19.000]  十三節說
[00:16:19.000 --> 00:16:23.000]  於是波亞斯娶了路德為妻
[00:16:23.000 --> 00:16:25.000]  與他同房
[00:16:25.000 --> 00:16:30.000]  耶和華使他懷孕生了一個兒子
[00:16:30.000 --> 00:16:33.000]  全本路德裡面
[00:16:33.000 --> 00:16:35.000]  是這裡唯一這裡
[00:16:35.000 --> 00:16:38.000]  是直接有介紹給我們知道
[00:16:38.000 --> 00:16:41.000]  耶和華直接參與在其中
[00:16:41.000 --> 00:16:43.000]  上帝做的事
[00:16:43.000 --> 00:16:45.000]  不是很大
[00:16:45.000 --> 00:16:46.000]  在這裡所說
[00:16:46.000 --> 00:16:54.000]  上帝Enable使路德懷孕生了一個兒子
[00:16:54.000 --> 00:16:56.000]  我在前面一直看的人
[00:16:56.000 --> 00:16:58.000]  他經常都引用耶和華
[00:16:58.000 --> 00:17:00.000]  其實我們在教會有一樣東西
[00:17:00.000 --> 00:17:02.000]  我其實不是很喜歡
[00:17:02.000 --> 00:17:04.000]  很多信徒經常說耶和華怎樣
[00:17:04.000 --> 00:17:06.000]  聖經說什麼
[00:17:06.000 --> 00:17:08.000]  其實他們借用上帝的嘴巴
[00:17:08.000 --> 00:17:10.000]  借用耶穌的嘴巴
[00:17:10.000 --> 00:17:12.000]  去攻擊其他人
[00:17:12.000 --> 00:17:15.000]  希望讓這樣的情況
[00:17:15.000 --> 00:17:18.000]  去做到護駕撫威的手法
[00:17:18.000 --> 00:17:20.000]  很普遍在教會裡面
[00:17:20.000 --> 00:17:22.000]  不少的牧者
[00:17:22.000 --> 00:17:24.000]  長輩都是這樣
[00:17:24.000 --> 00:17:26.000]  甚至很多信徒也接受了這一套
[00:17:26.000 --> 00:17:29.000]  他們用這種手法去譴責這個世界
[00:17:29.000 --> 00:17:33.000]  或者用這種方法去達至自己的目的
[00:17:33.000 --> 00:17:35.000]  但是從詞文我們看
[00:17:35.000 --> 00:17:37.000]  很多他們的介紹
[00:17:37.000 --> 00:17:39.000]  甚至引用耶和華什麼
[00:17:39.000 --> 00:17:42.000]  其實都是一個很自私
[00:17:42.000 --> 00:17:45.000]  或者是一個從個人的看法
[00:17:45.000 --> 00:17:46.000]  第一陳述
[00:17:46.000 --> 00:17:48.000]  如果我們看回詞文
[00:17:48.000 --> 00:17:51.000]  我們其實不難去發現到這樣的情況
[00:17:51.000 --> 00:17:56.000]  譬如我們看回在第一章的第八節和第九節
[00:17:56.000 --> 00:17:59.000]  我們就看到
[00:17:59.000 --> 00:18:02.000]  拿訛米對兩個義父說
[00:18:02.000 --> 00:18:04.000]  你們各人回娘家去吧
[00:18:04.000 --> 00:18:06.000]  願耶和華恩代你們
[00:18:06.000 --> 00:18:10.000]  像你們恩代已死的人與我一樣
[00:18:10.000 --> 00:18:12.000]  又引用耶和華了
[00:18:12.000 --> 00:18:13.000]  一開始就引用耶和華
[00:18:13.000 --> 00:18:14.000]  其實我們已經說過
[00:18:14.000 --> 00:18:17.000]  拿訛米他根本就不想和兩個媳婦
[00:18:17.000 --> 00:18:19.000]  不過他就用什麼方法
[00:18:19.000 --> 00:18:20.000]  出上帝的名字
[00:18:20.000 --> 00:18:22.000]  上帝的名字夠力
[00:18:22.000 --> 00:18:25.000]  所以用上帝的名字去說
[00:18:25.000 --> 00:18:26.000]  你走吧
[00:18:26.000 --> 00:18:28.000]  希望耶和華祝福你
[00:18:28.000 --> 00:18:32.000]  這些其實是一些很容易的說話
[00:18:32.000 --> 00:18:35.000]  是一些很輕率的說話
[00:18:35.000 --> 00:18:36.000]  其實嚴格上來說
[00:18:36.000 --> 00:18:41.000]  是一種妄稱耶和華的名的一種做法
[00:18:41.000 --> 00:18:44.000]  不過當然很多人看路德記
[00:18:44.000 --> 00:18:45.000]  不看到這一點
[00:18:45.000 --> 00:18:47.000]  因為他覺得拿訛米非常好
[00:18:47.000 --> 00:18:49.000]  他覺得他很聰明
[00:18:49.000 --> 00:18:50.000]  不看到這一點
[00:18:50.000 --> 00:18:52.000]  因為他覺得拿訛米非常好
[00:18:52.000 --> 00:18:56.000]  所以不覺得拿訛米是妄稱耶和華神的名
[00:18:56.000 --> 00:18:58.000]  你看看他不是一次半次
[00:18:58.000 --> 00:19:00.000]  他其實經常都這樣
[00:19:00.000 --> 00:19:01.000]  我們看多一點
[00:19:01.000 --> 00:19:05.000]  拿訛米當他回到伯利恆的城的時候
[00:19:05.000 --> 00:19:15.000]  一群婦女在伯利恆城見到拿訛米
[00:19:15.000 --> 00:19:17.000]  見到他的時候
[00:19:17.000 --> 00:19:20.000]  他們說這是拿訛米嗎?
[00:19:20.000 --> 00:19:23.000]  拿訛米怎麼說話呢?
[00:19:23.000 --> 00:19:25.000]  我們看20節
[00:19:25.000 --> 00:19:26.000]  拿訛米對他們說
[00:19:26.000 --> 00:19:28.000]  不要叫我拿訛米
[00:19:28.000 --> 00:19:31.000]  要叫我馬拉
[00:19:31.000 --> 00:19:34.000]  因為全能者使我受了大苦
[00:19:34.000 --> 00:19:36.000]  我滿滿地出去
[00:19:36.000 --> 00:19:39.000]  耶和華使我空空地回來
[00:19:39.000 --> 00:19:42.000]  耶和華降禍於我
[00:19:42.000 --> 00:19:44.000]  全能者使我受苦
[00:19:44.000 --> 00:19:49.000]  既是長弱你們為何還叫我拿訛米呢?
[00:19:49.000 --> 00:19:51.000]  看到嗎?
[00:19:51.000 --> 00:19:58.000]  拿訛米從來都不是很欣賞耶和華
[00:19:58.000 --> 00:20:00.000]  是善待他
[00:20:00.000 --> 00:20:02.000]  他覺得耶和華虧負他
[00:20:02.000 --> 00:20:05.000]  我們在這裡已經有個疑問
[00:20:05.000 --> 00:20:07.000]  他的靈性究竟可以承載多少
[00:20:07.000 --> 00:20:10.000]  真是上帝所謂的祝福給他
[00:20:10.000 --> 00:20:13.000]  不要說遲民他們自己要走下去摸鴨
[00:20:13.000 --> 00:20:16.000]  他要利用耶和華的名
[00:20:16.000 --> 00:20:19.000]  去趕走兩個 送走兩個色狐
[00:20:19.000 --> 00:20:25.000]  美其名就是希望你將來有個好的夫家
[00:20:25.000 --> 00:20:27.000]  實質就是遣走他
[00:20:27.000 --> 00:20:30.000]  當他回到伯利恆的時候又怎樣呢?
[00:20:30.000 --> 00:20:33.000]  又說耶和華苦待他
[00:20:33.000 --> 00:20:38.000]  在整本路德記裡
[00:20:38.000 --> 00:20:44.000]  拿訛米作為一個以色列的文
[00:20:44.000 --> 00:20:47.000]  他流著以色列人的血
[00:20:47.000 --> 00:20:50.000]  他有希伯來人的文化
[00:20:50.000 --> 00:20:54.000]  他有神的道理在他當中
[00:20:54.000 --> 00:20:58.000]  但是他能夠明白上帝有多少呢?
[00:20:58.000 --> 00:21:04.000]  這個就是每個人的屬靈生命的承載能力不同
[00:21:04.000 --> 00:21:06.000]  每一個他們所看的東西
[00:21:06.000 --> 00:21:12.000]  只不過是從後果去演繹上帝怎樣想
[00:21:12.000 --> 00:21:14.000]  基督徒不是這樣想的
[00:21:14.000 --> 00:21:17.000]  基督徒是已經對上帝有了解
[00:21:17.000 --> 00:21:20.000]  然後明白上帝怎樣跟著下去帶他走
[00:21:20.000 --> 00:21:26.000]  所以是一個截然不同的相反方向的思維
[00:21:26.000 --> 00:21:29.000]  在第十三節我們確實看到
[00:21:29.000 --> 00:21:33.000]  波亞斯是真的履行了他的承諾
[00:21:33.000 --> 00:21:37.000]  在前文剛剛之前
[00:21:37.000 --> 00:21:40.000]  我們所看的從第九節到第十二節裡
[00:21:40.000 --> 00:21:43.000]  我們清楚看到波亞斯說
[00:21:43.000 --> 00:21:48.000]  他願意娶摩訶的女子路德為妻
[00:21:48.000 --> 00:21:52.000]  這個妻子還是以前馬倫的妻子
[00:21:52.000 --> 00:21:54.000]  並且怎樣呢?
[00:21:54.000 --> 00:21:57.000]  好在死人的名上留名
[00:21:57.000 --> 00:22:00.000]  他不只是說給人聽
[00:22:00.000 --> 00:22:03.000]  不是說給他的老友記聽
[00:22:03.000 --> 00:22:05.000]  老友記不做他自己做
[00:22:05.000 --> 00:22:07.000]  他不是說搬龍門就不做了
[00:22:07.000 --> 00:22:09.000]  不是他自己真的去做
[00:22:09.000 --> 00:22:14.000]  所以在聖經裡面特別在這個時候改用了一個字眼
[00:22:14.000 --> 00:22:16.000]  前文我們常常看到
[00:22:16.000 --> 00:22:20.000]  波亞斯和香港要娶買
[00:22:20.000 --> 00:22:23.000]  愚民叫做Kanak
[00:22:23.000 --> 00:22:26.000]  來到這裡娶妻子
[00:22:26.000 --> 00:22:32.000]  創作者在原文裡面馬上換一個常用的夫婦
[00:22:32.000 --> 00:22:34.000]  怎樣去結婚的用詞
[00:22:34.000 --> 00:22:36.000]  這個就叫做Lakak
[00:22:36.000 --> 00:22:38.000]  Lakak這個字是解釋為
[00:22:38.000 --> 00:22:42.000]  將他迎接進入自己的家裡
[00:22:42.000 --> 00:22:46.000]  波亞斯就迎娶了路德為妻
[00:22:46.000 --> 00:22:48.000]  然後怎樣呢?
[00:22:48.000 --> 00:22:53.000]  就和路德發生了夫妻之間的真實的同房關係
[00:22:53.000 --> 00:22:55.000]  在這樣的情況之下
[00:22:55.000 --> 00:22:57.000]  我們就看到
[00:22:57.000 --> 00:23:03.000]  波亞斯履行了他在城門口裡面所說的一個決定
[00:23:03.000 --> 00:23:05.000]  甚至他的承諾
[00:23:05.000 --> 00:23:08.000]  一定會做的事情
[00:23:08.000 --> 00:23:10.000]  波亞斯娶了妻子
[00:23:10.000 --> 00:23:12.000]  有報酬的
[00:23:12.000 --> 00:23:15.000]  你們看看他按報酬班的
[00:23:15.000 --> 00:23:17.000]  娶了妻子
[00:23:17.000 --> 00:23:22.000]  然後才和他有正式的夫妻性的關係
[00:23:22.000 --> 00:23:25.000]  不單是履行
[00:23:25.000 --> 00:23:29.000]  並且是對上帝的設計的一種尊重
[00:23:29.000 --> 00:23:32.000]  而這個後裔
[00:23:32.000 --> 00:23:37.000]  也都是在這個上帝的設計裡面的系統
[00:23:37.000 --> 00:23:39.000]  或者我們的次序
[00:23:39.000 --> 00:23:40.000]  而發生
[00:23:40.000 --> 00:23:45.000]  所以因而懷孕生了一個兒子
[00:23:45.000 --> 00:23:47.000]  而在這個過程當中
[00:23:47.000 --> 00:23:53.000]  上帝就按了這個啟動的按鈕
[00:23:53.000 --> 00:23:57.000]  上帝拍板將這件事成事
[00:23:57.000 --> 00:23:59.000]  整件事我們看到
[00:23:59.000 --> 00:24:01.000]  波亞斯自己能夠做的事情
[00:24:01.000 --> 00:24:02.000]  他做了
[00:24:02.000 --> 00:24:05.000]  上帝他要做的事情
[00:24:05.000 --> 00:24:06.000]  也都同時做了
[00:24:06.000 --> 00:24:09.000]  神的工作和人的工作
[00:24:09.000 --> 00:24:10.000]  同時並行
[00:24:10.000 --> 00:24:12.000]  合在一起
