
[00:00:00.000 --> 00:00:02.500]   (eerie music)
[00:02:46.320 --> 00:02:47.780]   "and then she was disrespectful,"
[00:02:47.780 --> 00:02:49.900]   and we kind of have this rule in our home.
[00:02:49.900 --> 00:02:52.740]   If you get in trouble with mommy multiple times,
[00:02:52.740 --> 00:02:54.540]   then you get in trouble with daddy
[00:02:54.540 --> 00:02:55.860]   when he gets home, and so I'm thinking,
[00:02:55.860 --> 00:02:57.540]   "Hey, after this long, rough day,
[00:02:57.540 --> 00:02:59.140]   "the first thing I'm gonna have to do
[00:02:59.140 --> 00:03:01.740]   "when I get home is discipline my daughter,"
[00:03:01.740 --> 00:03:04.100]   which is unfortunate, right?
[00:03:04.100 --> 00:03:07.700]   And so I keep going on the way home,
[00:03:07.700 --> 00:03:09.900]   and I get there, and I walk in,
[00:03:09.900 --> 00:03:12.960]   and I sit Presley down, and I just say,
[00:03:12.960 --> 00:03:15.540]   "Hey, you know, what's going on?
[00:03:15.540 --> 00:03:17.180]   "What did you do today?"
[00:03:17.180 --> 00:03:19.540]   And she said, "Daddy, I had a rough day."
[00:03:19.540 --> 00:03:23.960]   And I, two and a half, and I said,
[00:03:24.880 --> 00:03:27.480]   "Man, it's hard to be two and a half," you know?
[00:03:27.480 --> 00:03:28.800]   And I just said, "Well, what did you do?"
[00:03:28.800 --> 00:03:31.240]   She said, "I made some poor choices today."
[00:03:31.240 --> 00:03:34.160]   And I said, "Oh, I hate to hear that."
[00:03:34.160 --> 00:03:35.000]   I said, "Well, what did you do?"
[00:03:35.000 --> 00:03:37.840]   And she said, "You know, I was disrespectful to mommy,
[00:03:37.840 --> 00:03:40.320]   "and I talked back, and I was mean to Finley,
[00:03:40.320 --> 00:03:42.840]   "and I did," she begins to list out those things.
[00:03:42.840 --> 00:03:45.820]   I said, "Man, that's such a bummer, man," you know?
[00:03:45.820 --> 00:03:48.720]   And I said, "'Cause look, you know, I saw this today,"
[00:03:48.720 --> 00:03:50.600]   and I pulled that out, and her eyes got this big.
[00:03:50.600 --> 00:03:52.760]   (laughing)
[00:03:52.760 --> 00:03:55.720]   And she's like, "Daddy, Daddy, is that for me?"
[00:03:55.720 --> 00:03:57.240]   I was like, "Oh, I got it for you."
[00:03:57.240 --> 00:03:58.960]   She's like, "Daddy, can I have it?
[00:03:58.960 --> 00:04:00.680]   "Can I have it, can I have it?"
[00:04:00.680 --> 00:04:02.880]   I said, "No," I said, "You can't have it.
[00:04:02.880 --> 00:04:06.040]   "See, I got this for you, but I can't give it to you.
[00:04:06.040 --> 00:04:09.800]   "I can't come home and reward you for your behavior,
[00:04:09.800 --> 00:04:12.160]   "and so I'm afraid you're not gonna get that."
[00:04:12.160 --> 00:04:14.000]   And she looks at me and she goes,
[00:04:14.000 --> 00:04:16.240]   (growling)
[00:04:16.240 --> 00:04:20.760]   "I can do whatever I want!"
[00:04:20.760 --> 00:04:23.000]   (laughing)
[00:04:23.000 --> 00:04:36.520]   Really?
[00:04:36.520 --> 00:04:41.240]   And I'm thinking, you know,
[00:04:41.240 --> 00:04:42.880]   I never learned how to do an exorcism.
[00:04:42.880 --> 00:04:43.720]   I don't know.
[00:04:43.720 --> 00:04:45.920]   (laughing)
[00:04:45.920 --> 00:04:47.040]   What just happened?
[00:04:47.040 --> 00:04:49.580]   What just happened?
[00:04:50.580 --> 00:04:52.580]   And I said, "You can,"
[00:04:52.580 --> 00:04:54.500]   and so let me just pause,
[00:04:54.500 --> 00:04:57.140]   'cause I've got some options now as a dad.
[00:04:57.140 --> 00:04:59.180]   I've got some things, I've got like a quiver
[00:04:59.180 --> 00:05:01.380]   full of disciplinary actions I can take.
[00:05:01.380 --> 00:05:04.540]   I'm like, is it spanking, is it hand, or is it spoon,
[00:05:04.540 --> 00:05:06.540]   or maybe we go belt for this one,
[00:05:06.540 --> 00:05:10.780]   or maybe, you know, you can sit in that chair,
[00:05:10.780 --> 00:05:11.980]   you know, for the rest of your life,
[00:05:11.980 --> 00:05:15.860]   or it's corner, or quiet time, timeout,
[00:05:15.860 --> 00:05:17.620]   or maybe you're grounded from prom.
[00:05:17.620 --> 00:05:20.380]   I'm thinking, like, what am I gonna do?
[00:05:20.380 --> 00:05:23.140]   But let me, as I walk through the options,
[00:05:23.140 --> 00:05:24.340]   like, let me tell you what I didn't do.
[00:05:24.340 --> 00:05:25.660]   Like, imagine if I would've been like,
[00:05:25.660 --> 00:05:26.600]   hey, come with me.
[00:05:26.600 --> 00:05:29.020]   Let's go to the front door,
[00:05:29.020 --> 00:05:31.660]   and I open the door,
[00:05:31.660 --> 00:05:33.740]   and I put her on the other side of it,
[00:05:33.740 --> 00:05:36.340]   and I say, "Man, it's been really fun being your dad,
[00:05:36.340 --> 00:05:37.420]   "but this is the end."
[00:05:37.420 --> 00:05:38.820]   (laughing)
[00:05:38.820 --> 00:05:40.820]   Yeah, this is where it stops,
[00:05:40.820 --> 00:05:42.980]   and so you go that way, I'm gonna go this way,
[00:05:42.980 --> 00:05:45.580]   no hard feelings, and you know.
[00:05:45.580 --> 00:05:46.820]   Yeah, I wouldn't do that, right?
[00:05:46.820 --> 00:05:48.020]   'Cause like, some of you are like,
[00:05:48.020 --> 00:05:49.900]   how can you even say that, you know?
[00:05:49.900 --> 00:05:51.420]   And I was like, I would never do that.
[00:05:51.420 --> 00:05:53.340]   I would never be like, hey, you wanna do that,
[00:05:53.340 --> 00:05:56.460]   then we're done, no more communication forever,
[00:05:56.460 --> 00:05:58.740]   'cause that wouldn't be a loving dad.
[00:05:58.740 --> 00:06:01.740]   That wouldn't be, but isn't that what God does?
[00:06:01.740 --> 00:06:08.060]   Isn't that kind of the doctrine of hell?
[00:06:08.060 --> 00:06:13.160]   That because you've done something wrong here,
[00:06:14.660 --> 00:06:16.340]   that at some point when you die,
[00:06:16.340 --> 00:06:18.860]   he cuts you off forever, there's separation,
[00:06:18.860 --> 00:06:21.740]   no more communication, and not just that,
[00:06:21.740 --> 00:06:23.860]   but you probably heard some pretty horrific things,
[00:06:23.860 --> 00:06:26.660]   and lots of pain, and agony, and torment,
[00:06:26.660 --> 00:06:30.020]   and suffering, and fire, and all the things
[00:06:30.020 --> 00:06:32.420]   that we think of when we think of hell.
[00:06:32.420 --> 00:06:38.860]   And so I wanna be really honest with you tonight.
[00:06:38.860 --> 00:06:40.980]   We're moving into a series called The Afterlife,
[00:06:40.980 --> 00:06:43.180]   what happens to you when you die.
[00:06:43.180 --> 00:06:45.340]   And my concern for us is we don't really deal
[00:06:45.340 --> 00:06:46.780]   with the topic of death a lot.
[00:06:46.780 --> 00:06:49.400]   Like back in the day, someone would die
[00:06:49.400 --> 00:06:51.460]   right in the living room, they would die in the bedroom,
[00:06:51.460 --> 00:06:53.860]   they would die in the home, and you would handle the body,
[00:06:53.860 --> 00:06:55.740]   and you would dig a hole in the back pasture,
[00:06:55.740 --> 00:06:58.980]   and you would bury them, and you would see it.
[00:06:58.980 --> 00:07:00.740]   Most of us have never even been in the room
[00:07:00.740 --> 00:07:01.660]   when someone dies.
[00:07:01.660 --> 00:07:03.900]   It's very peripheral to our life today.
[00:07:03.900 --> 00:07:06.140]   It's very marginal from where we're at.
[00:07:06.140 --> 00:07:08.460]   We've outsourced that to the medical industry
[00:07:08.460 --> 00:07:11.500]   here in America, so we don't think about death a lot.
[00:07:11.500 --> 00:07:13.740]   Like a lot of you, maybe you're in your 20s,
[00:07:13.740 --> 00:07:17.300]   and hell or heaven feels like a really long ways off.
[00:07:17.300 --> 00:07:19.020]   But can I tell you something?
[00:07:19.020 --> 00:07:23.100]   I had a friend die this week.
[00:07:23.100 --> 00:07:27.120]   An untimely death, pneumonia.
[00:07:27.120 --> 00:07:29.540]   Took a turn for the worse.
[00:07:29.540 --> 00:07:31.780]   Nobody saw it coming.
[00:07:31.780 --> 00:07:34.980]   You have no idea when you're going to die,
[00:07:34.980 --> 00:07:37.580]   and because you exist now,
[00:07:37.580 --> 00:07:40.940]   you will exist somewhere forever.
[00:07:41.940 --> 00:07:44.180]   And we've got to deal with this doctrine,
[00:07:44.180 --> 00:07:45.420]   and I hate it, man, I hate it.
[00:07:45.420 --> 00:07:46.740]   I wish we didn't have to.
[00:07:46.740 --> 00:07:49.740]   I mean, we all know, I hate that some of you
[00:07:49.740 --> 00:07:52.460]   listening to this right now will be in hell one day.
[00:07:52.460 --> 00:07:55.740]   The weight of that is overwhelming to me.
[00:07:55.740 --> 00:07:57.460]   And you have friends that will be there,
[00:07:57.460 --> 00:07:59.660]   we have family that will be there,
[00:07:59.660 --> 00:08:02.940]   and the weight of that, if we really grasped it,
[00:08:02.940 --> 00:08:10.400]   would be completely overwhelming and terrifying to us.
[00:08:11.400 --> 00:08:13.240]   But we have to talk about it
[00:08:13.240 --> 00:08:14.600]   because the Bible talks about it.
[00:08:14.600 --> 00:08:15.860]   And so as we start this series,
[00:08:15.860 --> 00:08:19.640]   we're gonna start with option one, and that is hell.
[00:08:19.640 --> 00:08:21.360]   And I wanna teach you truth from the Scriptures.
[00:08:21.360 --> 00:08:22.920]   Jesus talked more about hell
[00:08:22.920 --> 00:08:25.160]   than everyone else in the Bible combined.
[00:08:25.160 --> 00:08:27.080]   More than half of his parables
[00:08:27.080 --> 00:08:29.640]   highlighted the doctrine of hell.
[00:08:29.640 --> 00:08:32.080]   He talked a lot about this.
[00:08:32.080 --> 00:08:36.160]   And so I do, as I said, I wish I could change this, right?
[00:08:36.160 --> 00:08:38.720]   And if you want to hear that it's not real
[00:08:38.720 --> 00:08:40.300]   and there's not a hell and you're not gonna go there,
[00:08:40.300 --> 00:08:42.560]   you don't have to go far.
[00:08:42.560 --> 00:08:45.160]   People are constantly trying to erase this doctrine.
[00:08:45.160 --> 00:08:49.000]   Rob Bell wrote a book called "Love Wins"
[00:08:49.000 --> 00:08:51.040]   that had a lot of traction and people listened to it
[00:08:51.040 --> 00:08:52.740]   because it was popular
[00:08:52.740 --> 00:08:56.420]   because there was some confusing ideas in it about hell.
[00:08:56.420 --> 00:08:58.160]   And then maybe you heard about the Pope's interview
[00:08:58.160 --> 00:09:00.840]   last week that made national news,
[00:09:00.840 --> 00:09:03.560]   that he said there is no hell.
[00:09:03.560 --> 00:09:04.700]   Now, I don't know if he said it or not.
[00:09:04.700 --> 00:09:07.400]   The Vatican issued a statement after the fact
[00:09:07.400 --> 00:09:08.700]   kind of recanting some of that.
[00:09:08.700 --> 00:09:10.400]   I don't know what happened there,
[00:09:10.400 --> 00:09:12.560]   but I will tell you, if you want to find somebody
[00:09:12.560 --> 00:09:15.180]   who says there is no hell, you will not have to go far,
[00:09:15.180 --> 00:09:17.320]   but you will not hear that from Jesus.
[00:09:17.320 --> 00:09:22.140]   When God was on the earth, he talked about hell a lot.
[00:09:22.140 --> 00:09:25.660]   He wanted you to know about it.
[00:09:25.660 --> 00:09:28.840]   And I think we have this obsession in some ways
[00:09:28.840 --> 00:09:30.800]   with the afterlife.
[00:09:30.800 --> 00:09:33.240]   Like whether somebody spends 23 minutes in hell
[00:09:33.240 --> 00:09:35.800]   or Colton Burpo's writing "Heaven is for Real,"
[00:09:35.800 --> 00:09:38.600]   I want you to know that hell is for real
[00:09:38.600 --> 00:09:39.460]   too.
[00:09:39.460 --> 00:09:40.800]   I think this is one of the reasons,
[00:09:40.800 --> 00:09:42.240]   you know, that the movie right now,
[00:09:42.240 --> 00:09:44.100]   I can only imagine, by mercy me,
[00:09:44.100 --> 00:09:47.120]   that song was so popular because it's talking about
[00:09:47.120 --> 00:09:48.500]   what happens in the afterlife.
[00:09:48.500 --> 00:09:50.820]   We have an obsession about it.
[00:09:50.820 --> 00:09:54.760]   And tonight I want you to know what is real.
[00:09:54.760 --> 00:09:57.620]   There's lots of different beliefs.
[00:09:57.620 --> 00:09:58.960]   I'll go through some of them real quick.
[00:09:58.960 --> 00:10:02.000]   There's the belief of naturalism,
[00:10:02.000 --> 00:10:03.360]   which is the atheist worldview.
[00:10:03.360 --> 00:10:05.540]   That is that you die, you go in the ground
[00:10:05.540 --> 00:10:08.180]   and worms eat you, you decay, and that's it.
[00:10:08.180 --> 00:10:09.420]   You cease to exist.
[00:10:09.420 --> 00:10:10.720]   There's annihilationism.
[00:10:10.720 --> 00:10:14.080]   This is kind of what they said, the Pope said.
[00:10:14.080 --> 00:10:16.040]   It's where you go to hell and then you essentially
[00:10:16.040 --> 00:10:18.620]   just burn off, you disappear.
[00:10:18.620 --> 00:10:22.060]   There's universalism, which it says that everyone
[00:10:22.060 --> 00:10:23.400]   will eventually go to heaven.
[00:10:23.400 --> 00:10:24.660]   Maybe you go to hell for a season,
[00:10:24.660 --> 00:10:26.120]   but you eventually go to heaven.
[00:10:26.120 --> 00:10:27.320]   There's reincarnation.
[00:10:27.320 --> 00:10:29.960]   If you're here and you are of the Hindu faith,
[00:10:29.960 --> 00:10:32.020]   you believe that you're going to die and then come back
[00:10:32.020 --> 00:10:34.240]   as either an animal, depending on how you lived,
[00:10:34.240 --> 00:10:37.240]   or as a person, or maybe even someone of nobility.
[00:10:37.240 --> 00:10:40.440]   There's the idea of the Catholic doctrine of purgatory,
[00:10:40.440 --> 00:10:42.780]   this middle ground, this place where you go
[00:10:42.780 --> 00:10:44.380]   until you are prayed out of it,
[00:10:44.380 --> 00:10:46.480]   this place between heaven and hell,
[00:10:46.480 --> 00:10:51.020]   or someone pays your way out of there, purgatory.
[00:10:51.020 --> 00:10:53.180]   And I can remember when young adults would say,
[00:10:53.180 --> 00:10:54.580]   "Hey, I don't want to worship God
[00:10:54.580 --> 00:10:55.860]   "because I don't want to worship anyone
[00:10:55.860 --> 00:10:57.360]   "who sends someone to hell."
[00:10:57.360 --> 00:11:00.860]   And I think the more common belief today is, who cares?
[00:11:00.860 --> 00:11:03.440]   It's apathy.
[00:11:03.440 --> 00:11:05.160]   Eminem said, "There's a place called heaven
[00:11:05.160 --> 00:11:07.240]   "and a place called hell, a place called prison
[00:11:07.240 --> 00:11:09.400]   "and a place called jail, and Daddy's on his way
[00:11:09.400 --> 00:11:11.480]   "to all three of them except one."
[00:11:11.480 --> 00:11:15.200]   And I think that's really our posturing
[00:11:15.200 --> 00:11:19.040]   as we talk about this place, hell.
[00:11:19.040 --> 00:11:22.040]   It's like, eh, maybe I'll go there, maybe I won't.
[00:11:22.040 --> 00:11:24.640]   That's because we don't know what it is.
[00:11:24.640 --> 00:11:25.920]   You would never have that posturing
[00:11:25.920 --> 00:11:30.080]   if you understood what it is.
[00:11:30.080 --> 00:11:34.480]   I'm gonna be in Luke chapter 16, if you turn there.
[00:11:34.480 --> 00:11:36.840]   I'm gonna start in verse 19 of Luke chapter 16,
[00:11:36.840 --> 00:11:41.160]   turn to the New Testament, Matthew, Mark, Luke.
[00:11:41.160 --> 00:11:43.040]   Three books in.
[00:11:43.040 --> 00:11:44.880]   We're gonna look at three questions about hell
[00:11:44.880 --> 00:11:47.560]   from this story that Jesus tells.
[00:11:47.560 --> 00:11:51.040]   We're gonna look at what it is, who should be there,
[00:11:51.040 --> 00:11:52.420]   and what we do about it.
[00:11:52.420 --> 00:11:57.240]   Jesus, he's teaching the Pharisees.
[00:11:57.240 --> 00:11:58.800]   These are the religious people of the time.
[00:11:58.800 --> 00:12:00.080]   He's like, "Hey, let me tell you about a story
[00:12:00.080 --> 00:12:01.200]   "about one of my favorite topics.
[00:12:01.200 --> 00:12:03.680]   "We're gonna talk about hell."
[00:12:03.680 --> 00:12:05.040]   And so they're leaning in,
[00:12:05.040 --> 00:12:07.640]   and this is what he says in verse 19.
[00:12:07.640 --> 00:12:11.600]   There was a rich man who was dressed in purple
[00:12:11.600 --> 00:12:14.520]   and fine linen and lived in luxury every day.
[00:12:14.520 --> 00:12:17.240]   What he just did is he put the Pharisees in the story.
[00:12:17.240 --> 00:12:19.680]   These were the first, they were the originators
[00:12:19.680 --> 00:12:21.000]   of the prosperity gospel.
[00:12:21.000 --> 00:12:22.240]   They believed that if you were rich,
[00:12:22.240 --> 00:12:24.220]   you had a unique relationship with God,
[00:12:24.220 --> 00:12:26.400]   that God must love you, that's why you're wealthy.
[00:12:26.400 --> 00:12:28.580]   So this wealthy man who's dressed in purple,
[00:12:28.580 --> 00:12:30.560]   which was expensive clothes, okay,
[00:12:30.560 --> 00:12:33.400]   it's kinda like Prada, Gucci of the time, would be purple,
[00:12:33.400 --> 00:12:36.040]   and so that's what he's draped in,
[00:12:36.040 --> 00:12:39.440]   and he says he lives in a life of luxury every day.
[00:12:39.440 --> 00:12:42.720]   At his gate now, there's another man, he's a beggar,
[00:12:42.720 --> 00:12:44.480]   his name is Lazarus.
[00:12:44.480 --> 00:12:46.960]   He's covered in sores, and he's longing to eat
[00:12:46.960 --> 00:12:49.160]   what fell from this rich man's table,
[00:12:49.160 --> 00:12:52.000]   and even the dogs came and licked his sores.
[00:12:52.000 --> 00:12:56.360]   Lazarus, the name is literally the one whom God helped,
[00:12:56.360 --> 00:12:59.120]   the one whom God helped, and he's poor,
[00:12:59.120 --> 00:13:01.480]   and he's covered in sores, and he's hungry,
[00:13:01.480 --> 00:13:03.680]   and dogs come and lick his sores.
[00:13:03.680 --> 00:13:08.680]   So two men, the time came when the beggar died,
[00:13:08.680 --> 00:13:10.680]   Lazarus dies, and the angels came
[00:13:10.680 --> 00:13:13.080]   and carried him to Abraham's side.
[00:13:13.080 --> 00:13:15.520]   Okay, so Jesus is talking to Jews,
[00:13:15.520 --> 00:13:17.560]   and he wants to talk to them about heaven,
[00:13:17.560 --> 00:13:19.360]   so he talks to them about where Abraham,
[00:13:19.360 --> 00:13:21.640]   Father Abraham, all the Jews would have known Abraham,
[00:13:21.640 --> 00:13:24.200]   and he's like, hey, so now this man Lazarus
[00:13:24.200 --> 00:13:26.880]   is there with Abraham, Abraham's side.
[00:13:26.880 --> 00:13:28.100]   If you've studied theology,
[00:13:28.100 --> 00:13:30.240]   maybe you've heard it as Abraham's bosom.
[00:13:30.240 --> 00:13:32.040]   It's the waiting place, it's heaven,
[00:13:32.040 --> 00:13:34.280]   it's a place with God, a place of contentment,
[00:13:34.280 --> 00:13:37.200]   a place of great joy, where we await for Jesus
[00:13:37.200 --> 00:13:40.800]   to come back here, to make the new heavens
[00:13:40.800 --> 00:13:42.040]   and the new earth here.
[00:13:42.040 --> 00:13:43.960]   More about that next week.
[00:13:43.960 --> 00:13:49.540]   The rich man also died and was buried.
[00:13:49.540 --> 00:13:52.040]   In Hades, that's where he's at.
[00:13:52.040 --> 00:13:54.840]   In Hades, where he was in torment,
[00:13:54.840 --> 00:13:56.000]   you can underline torment,
[00:13:56.000 --> 00:13:59.360]   he looked up and saw Abraham far away,
[00:13:59.360 --> 00:14:01.680]   and Lazarus by his side.
[00:14:01.680 --> 00:14:03.200]   So he called to him, Father Abraham,
[00:14:03.200 --> 00:14:04.820]   have pity on me and send Lazarus
[00:14:04.820 --> 00:14:07.120]   to dip the tip of his finger in water
[00:14:07.120 --> 00:14:09.600]   and cool my tongue, because I am in agony,
[00:14:09.600 --> 00:14:12.080]   underline that word, agony in this fire.
[00:14:12.080 --> 00:14:15.640]   But Abraham replied, son, remember that in your lifetime
[00:14:15.640 --> 00:14:17.400]   you received your good things,
[00:14:17.400 --> 00:14:19.120]   while Lazarus received bad things,
[00:14:19.120 --> 00:14:22.760]   but now he is comforted here, and you are in agony.
[00:14:22.760 --> 00:14:25.860]   And besides all this, between us and you,
[00:14:25.860 --> 00:14:28.320]   a great chasm has been set in place
[00:14:28.320 --> 00:14:31.560]   so that those who want to go from here to you cannot,
[00:14:31.560 --> 00:14:35.760]   nor can anyone cross over from there to us.
[00:14:35.760 --> 00:14:38.880]   The rich man answered, then I beg you, Father,
[00:14:38.880 --> 00:14:42.420]   send Lazarus to my family, for I have five brothers,
[00:14:42.420 --> 00:14:44.760]   let him warn them so that they will not come
[00:14:44.760 --> 00:14:46.960]   to this place of torment.
[00:14:46.960 --> 00:14:51.000]   Abraham replied, they have Moses and the prophets,
[00:14:51.000 --> 00:14:53.000]   let them listen to them.
[00:14:53.000 --> 00:14:55.480]   No, Father Abraham, he said, but if someone
[00:14:55.480 --> 00:14:59.520]   from the dead goes to them, they will repent.
[00:14:59.520 --> 00:15:02.800]   He said to them, Abraham says, if they do not listen
[00:15:02.800 --> 00:15:05.460]   to Moses and the prophets, they will not be convinced,
[00:15:05.460 --> 00:15:09.040]   even if someone rises from the dead.
[00:15:09.040 --> 00:15:12.360]   He says, hey, they have the Old Testament,
[00:15:12.360 --> 00:15:16.800]   they have the Torah, Genesis, Exodus, Leviticus,
[00:15:16.800 --> 00:15:21.800]   Numbers, Deuteronomy, let them read from the prophets.
[00:15:22.000 --> 00:15:27.000]   They tell of where salvation can be found,
[00:15:27.000 --> 00:15:29.680]   and if they're not gonna listen to the Bible,
[00:15:29.680 --> 00:15:32.360]   they're not gonna listen, even if someone raises
[00:15:32.360 --> 00:15:33.220]   from the dead.
[00:15:33.220 --> 00:15:36.360]   And so you have two men here,
[00:15:36.360 --> 00:15:42.720]   two deaths, two destinations, Abraham's side,
[00:15:42.720 --> 00:15:47.260]   Hades, hell, Gehenna, the Valley of Hinnom,
[00:15:47.260 --> 00:15:51.880]   and we're talking about the afterlife.
[00:15:51.880 --> 00:15:54.560]   You have a place of comfort and a place of torment,
[00:15:54.560 --> 00:16:00.420]   a place of punishment, and a place of peace and goodness.
[00:16:00.420 --> 00:16:03.800]   We're gonna focus on the one of punishment this evening.
[00:16:03.800 --> 00:16:05.800]   The first question I wanna ask from this text
[00:16:05.800 --> 00:16:07.240]   is what is hell?
[00:16:07.240 --> 00:16:08.120]   What is hell?
[00:16:08.120 --> 00:16:09.640]   Let's talk about it, what it is.
[00:16:09.640 --> 00:16:11.640]   Well, let me start by saying what it's not.
[00:16:11.640 --> 00:16:15.840]   It's very simply, it's not anything remotely good.
[00:16:15.840 --> 00:16:20.520]   It is void of anything good, joyful, blissful,
[00:16:20.520 --> 00:16:24.600]   pleasant, peaceful, nice, kind, good, gentle,
[00:16:24.600 --> 00:16:29.600]   faithful, loving, anything that would cross over
[00:16:29.600 --> 00:16:33.320]   the positive line, it's not there.
[00:16:33.320 --> 00:16:34.920]   But Abraham replied, verse 25,
[00:16:34.920 --> 00:16:37.340]   "Son, remember in your life you received your good things.
[00:16:37.340 --> 00:16:39.060]   "You got 'em here on this earth,
