
[00:00:00.000 --> 00:00:02.740]   (ethereal music)
[00:04:35.240 --> 00:04:38.400]   of the biggest decisions you will ever make
[00:04:38.400 --> 00:04:41.880]   that will actually impact the rest of your trajectory.
[00:04:41.880 --> 00:04:46.180]   And so you need to decide this biggest decision.
[00:04:46.180 --> 00:04:48.840]   What am I gonna do with the person of God?
[00:04:48.840 --> 00:04:51.440]   Because the truth of the matter is God doesn't want someone
[00:04:51.440 --> 00:04:54.240]   to live halfway in and halfway out with him,
[00:04:54.240 --> 00:04:56.040]   though many of us choose to live that way.
[00:04:56.040 --> 00:04:59.200]   He wants either all of you or he wants none of you.
[00:04:59.200 --> 00:05:01.280]   And the truth of the matter is God wants all of you
[00:05:01.280 --> 00:05:03.840]   if you will willingly offer it to him.
[00:05:03.840 --> 00:05:08.240]   He doesn't want a percentage, he wants the whole pot.
[00:05:08.240 --> 00:05:10.840]   He wants the entirety of who you are.
[00:05:10.840 --> 00:05:12.680]   And the reason you've gotta come honest with him
[00:05:12.680 --> 00:05:14.800]   is because he's got a lot of things that he wants
[00:05:14.800 --> 00:05:16.640]   to be true of your life.
[00:05:16.640 --> 00:05:18.880]   He has a lot to say about how you speak
[00:05:18.880 --> 00:05:20.940]   and where you spend your money
[00:05:20.940 --> 00:05:22.540]   and who you spend your time with
[00:05:22.540 --> 00:05:24.280]   and what you decide to do with your future
[00:05:24.280 --> 00:05:25.960]   and what you find entertaining.
[00:05:25.960 --> 00:05:29.560]   He wants to input so much truth into your experience.
[00:05:29.560 --> 00:05:33.240]   It's going to change the whole of who you are.
[00:05:33.240 --> 00:05:38.240]   And so you need to figure out, do I really trust you?
[00:05:38.240 --> 00:05:40.020]   Do I really trust you, God?
[00:05:40.020 --> 00:05:42.700]   And the only way you get the answer to that question
[00:05:42.700 --> 00:05:44.520]   is if you come honest to him.
[00:05:44.520 --> 00:05:46.360]   And the reason I know that is because as we look
[00:05:46.360 --> 00:05:49.220]   in Genesis chapter 15, we're going to meet a guy
[00:05:49.220 --> 00:05:52.200]   that decides to figure out, do I really trust you, God?
[00:05:52.200 --> 00:05:55.840]   And the process to identifying if he does
[00:05:55.840 --> 00:05:58.080]   is he has a really honest conversation with him.
[00:05:58.080 --> 00:05:59.120]   So if you have a Bible, you can grab,
[00:05:59.120 --> 00:06:01.440]   you can turn with me to Genesis chapter 15.
[00:06:01.440 --> 00:06:04.080]   If this is your first time here in the porch this year,
[00:06:04.080 --> 00:06:05.480]   then you need to know we've been journeying
[00:06:05.480 --> 00:06:07.000]   through the book of Genesis.
[00:06:07.000 --> 00:06:09.720]   And the reason why is because we want to know who God is.
[00:06:09.720 --> 00:06:11.440]   We believe if I know who God is,
[00:06:11.440 --> 00:06:12.840]   then I can know who I am
[00:06:12.840 --> 00:06:16.440]   because everything about him dictates everything about me.
[00:06:16.440 --> 00:06:17.740]   And as we've journeyed to this point,
[00:06:17.740 --> 00:06:20.000]   we've worked through chapters one through 11,
[00:06:20.000 --> 00:06:23.880]   which is really all the prime evil history of the world.
[00:06:23.880 --> 00:06:26.560]   It's the creation, and the fall, and the flood,
[00:06:26.560 --> 00:06:28.560]   and the Tower of Babel, all of those things
[00:06:28.560 --> 00:06:31.320]   that kind of hit humanity at large.
[00:06:31.320 --> 00:06:33.680]   And yet when you turn into chapter 12,
[00:06:33.680 --> 00:06:37.160]   which comes before 15 and yet impacts where we are tonight,
[00:06:37.160 --> 00:06:39.200]   you find yourself not looking at primeval history,
[00:06:39.200 --> 00:06:41.760]   you find yourself looking at patriarchal history.
[00:06:41.760 --> 00:06:43.200]   It's where God decides, you know what,
[00:06:43.200 --> 00:06:46.040]   I've got this redemptive plan to bless all of humanity,
[00:06:46.040 --> 00:06:48.840]   but I'm gonna do it by way of one specific family.
[00:06:48.840 --> 00:06:52.080]   And so he comes to this guy named Abram.
[00:06:52.080 --> 00:06:53.600]   And the reason he comes to Abram
[00:06:53.600 --> 00:06:55.240]   is because everyone in the world
[00:06:55.240 --> 00:06:56.360]   is going a different direction.
[00:06:56.360 --> 00:06:58.000]   And yet as he pulls Abram out,
[00:06:58.000 --> 00:06:58.840]   he looks at him and he tells him,
[00:06:58.840 --> 00:07:01.400]   hey, I've got bigger plans for all of this.
[00:07:01.400 --> 00:07:03.920]   I've got something better in store.
[00:07:03.920 --> 00:07:06.160]   And Abram, or Abraham, as many of you know him,
[00:07:06.160 --> 00:07:10.480]   he looks at God and he says, I get it, I'm on.
[00:07:10.480 --> 00:07:11.440]   Like, let me come with you.
[00:07:11.440 --> 00:07:13.440]   And so what they do is they partner together
[00:07:13.440 --> 00:07:15.200]   and it's through Abram
[00:07:15.200 --> 00:07:18.720]   that God is going to bring about a blessing.
[00:07:18.720 --> 00:07:20.720]   He looks at him and he promises in chapter 12,
[00:07:20.720 --> 00:07:23.040]   hey, I'm gonna give you kids, I'm gonna give you a land,
[00:07:23.040 --> 00:07:24.720]   and I'm gonna make of you a blessing
[00:07:24.720 --> 00:07:28.600]   that's going to change the landscape of humanity forever.
[00:07:28.600 --> 00:07:30.240]   And yet what you gotta know is,
[00:07:30.240 --> 00:07:33.920]   though Abraham was faithful, he was not perfect.
[00:07:33.920 --> 00:07:36.160]   He had moments that would've made his mama proud,
[00:07:36.160 --> 00:07:38.840]   but he had moments that certainly wouldn't have, you know?
[00:07:38.840 --> 00:07:41.220]   And yet despite the fact that his walk with God
[00:07:41.220 --> 00:07:44.720]   looked so much like ours, it's not perfect,
[00:07:44.720 --> 00:07:47.520]   we read this about him in Romans chapter four,
[00:07:47.520 --> 00:07:48.560]   verse 20 and 21.
[00:07:48.560 --> 00:07:51.960]   It says, no unbelief made him, talking about Abraham,
[00:07:51.960 --> 00:07:54.440]   waver concerning the promise of God,
[00:07:54.440 --> 00:07:58.240]   but he grew strong in his faith as he gave glory to God,
[00:07:58.240 --> 00:08:02.400]   fully convinced that God was able to do what he'd promised,
[00:08:02.400 --> 00:08:04.160]   which is just wild when you consider that.
[00:08:04.160 --> 00:08:07.840]   Like, nothing caused his faith to waver.
[00:08:07.840 --> 00:08:09.840]   He was fully convinced of the promises of God.
[00:08:09.840 --> 00:08:12.600]   Like, how the heck do you get to a place like that,
[00:08:12.600 --> 00:08:13.840]   you know?
[00:08:13.840 --> 00:08:15.560]   We're gonna find out.
[00:08:15.560 --> 00:08:18.960]   Because tonight, we're going to figure out
[00:08:18.960 --> 00:08:23.960]   what is the path to trusting in God completely.
[00:08:23.960 --> 00:08:27.360]   So Genesis 15, we're just gonna take it from the top,
[00:08:27.360 --> 00:08:28.960]   and we're gonna work our way through.
[00:08:28.960 --> 00:08:30.720]   It says this, after these things,
[00:08:30.720 --> 00:08:33.980]   the word of the Lord came to Abraham in a vision.
[00:08:33.980 --> 00:08:35.600]   Now, you gotta ask yourself,
[00:08:35.600 --> 00:08:38.420]   if it's prompting us to consider after these things,
[00:08:38.420 --> 00:08:40.680]   what things is it speaking about?
[00:08:40.680 --> 00:08:44.280]   It's talking about the things that took place in Genesis 14.
[00:08:44.280 --> 00:08:47.920]   In chapter 14, you see Abraham's nephew, Lot,
[00:08:47.920 --> 00:08:52.600]   is kidnapped by these four kings in the land of Canaan.
[00:08:52.600 --> 00:08:53.760]   And so he goes this whole, like,
[00:08:53.760 --> 00:08:56.400]   Liam Neeson taken addition, rescue-style mission,
[00:08:56.400 --> 00:08:59.800]   and he springs into action to bring his nephew, Lot,
[00:08:59.800 --> 00:09:01.360]   back into safety.
[00:09:01.360 --> 00:09:02.760]   And yet, as he comes out of that moment,
[00:09:02.760 --> 00:09:05.160]   what he realizes, he's kind of public enemy number one,
[00:09:05.160 --> 00:09:09.080]   and so chapter 15 turns, and he just has this adrenaline dump.
[00:09:09.080 --> 00:09:11.640]   Like, he's lived through this harrowing experience,
[00:09:11.640 --> 00:09:12.640]   and now he comes to God,
[00:09:12.640 --> 00:09:14.240]   and he's just kind of pouring stuff out.
[00:09:14.240 --> 00:09:16.220]   And so the Lord, knowing this is his experience,
[00:09:16.220 --> 00:09:17.440]   comes to him to comfort him.
[00:09:17.440 --> 00:09:20.960]   And so God says this, in verse one, he says, "Fear not,
[00:09:20.960 --> 00:09:22.560]   "Abraham, I'm your shield.
[00:09:22.560 --> 00:09:23.880]   "I'm your reward.
[00:09:23.880 --> 00:09:24.740]   "I'm your shield.
[00:09:24.740 --> 00:09:26.120]   "Your reward shall be very great."
[00:09:26.120 --> 00:09:29.440]   But Abraham said, "Oh, Lord God, what will you give me?
[00:09:29.440 --> 00:09:30.780]   "For I continue childless,
[00:09:30.780 --> 00:09:33.920]   "and the heir of my house is Eleazar of Damascus."
[00:09:33.920 --> 00:09:37.640]   You see, Abram does the very first thing you gotta do
[00:09:37.640 --> 00:09:39.920]   if you wanna trust God.
[00:09:39.920 --> 00:09:42.240]   He just comes honest to him.
[00:09:42.240 --> 00:09:43.080]   You gotta do the same.
[00:09:43.080 --> 00:09:44.720]   You gotta come honest to God.
[00:09:44.720 --> 00:09:45.840]   That's the first thing you do.
[00:09:45.840 --> 00:09:49.360]   If you wanna build a trusting relationship with God,
[00:09:49.360 --> 00:09:52.540]   then you need to come honest to him.
[00:09:52.540 --> 00:09:53.640]   By this point, it's important to know,
[00:09:53.640 --> 00:09:55.180]   like, Abram was probably a few years
[00:09:55.180 --> 00:09:56.240]   into his journey with God,
[00:09:56.240 --> 00:09:57.720]   and yet, despite having lived
[00:09:57.720 --> 00:09:59.920]   through some pretty wild circumstances,
[00:09:59.920 --> 00:10:02.000]   like, by this point, he has left his home,
[00:10:02.000 --> 00:10:03.360]   he has left his family,
[00:10:03.360 --> 00:10:05.740]   he has faced a famine in this foreign land,
[00:10:05.740 --> 00:10:08.020]   he has encountered foreign armies,
[00:10:08.020 --> 00:10:11.300]   he is currently in conflict with the king of Sodom.
[00:10:11.300 --> 00:10:13.900]   Despite all of this, and having done it
[00:10:13.900 --> 00:10:16.600]   for the sake of being faithful to God's promise,
[00:10:16.600 --> 00:10:21.920]   he looks up, and he still has no kid to show for it.
[00:10:21.920 --> 00:10:23.520]   Like, the very thing that God said would come,
[00:10:23.520 --> 00:10:26.600]   he doesn't have, and so he comes to God,
[00:10:26.600 --> 00:10:29.080]   and he doesn't do what many of us do
[00:10:29.080 --> 00:10:30.080]   whenever we find, you know what,
[00:10:30.080 --> 00:10:31.800]   my circumstances aren't what I expect.
[00:10:31.800 --> 00:10:33.440]   Like, when things go sideways,
[00:10:33.440 --> 00:10:35.560]   he doesn't do the Christian game,
[00:10:35.560 --> 00:10:37.100]   he doesn't put on a right face,
[00:10:37.100 --> 00:10:39.240]   or decide to say the right words,
[00:10:39.240 --> 00:10:40.080]   or do the right thing.
[00:10:40.080 --> 00:10:42.920]   Instead, what Abram does is he comes real.
[00:10:42.920 --> 00:10:45.040]   He gets really honest.
[00:10:45.040 --> 00:10:47.080]   Have you ever done that before?
[00:10:47.080 --> 00:10:48.520]   Just got real honest with God
[00:10:48.520 --> 00:10:51.260]   about the things in your life that are frustrating,
[00:10:51.260 --> 00:10:53.980]   that are irritating, that are aggravating,
[00:10:53.980 --> 00:10:55.320]   that you can't make any sense of?
[00:10:55.320 --> 00:10:56.240]   You ever done that?
[00:10:56.240 --> 00:11:00.200]   I know I just did that a couple of weeks ago,
[00:11:00.200 --> 00:11:02.200]   I got in prep for this message, and yet,
[00:11:02.200 --> 00:11:04.080]   it just ironically set this up,
[00:11:04.080 --> 00:11:06.640]   so that way the text applied to me personally,
[00:11:06.640 --> 00:11:08.280]   but a couple weeks ago, I was driving back
[00:11:08.280 --> 00:11:10.560]   from Ouachita Baptist University.
[00:11:10.560 --> 00:11:12.460]   You really gotta emphasize the Ouach.
[00:11:12.460 --> 00:11:16.800]   Because the people know, you know, the Tigers,
[00:11:16.800 --> 00:11:20.080]   they live four hours up in Arkadelphia, Arkansas,
[00:11:20.080 --> 00:11:22.720]   and so I made my way up there to speak at a chapel,
[00:11:22.720 --> 00:11:24.340]   and it was a joy, it was so great to be there,
[00:11:24.340 --> 00:11:26.400]   and yet on my drive home,
[00:11:26.400 --> 00:11:29.680]   I just felt this agitation in my spirit.
[00:11:29.680 --> 00:11:30.520]   There were some things
[00:11:30.520 --> 00:11:33.020]   that I needed to personally unpack with God,
[00:11:33.020 --> 00:11:34.400]   some frustrations that I had,
[00:11:34.400 --> 00:11:35.560]   and so what I decided was,
[00:11:35.560 --> 00:11:37.040]   I'm not gonna turn on the music,
[00:11:37.040 --> 00:11:38.880]   I'm not gonna download the pod,
[00:11:38.880 --> 00:11:41.440]   I'm just gonna spend time with God and unpack this,
[00:11:41.440 --> 00:11:43.720]   and then once that's done,
[00:11:43.720 --> 00:11:46.360]   I can go about my merry way and do whatever else I want,
[00:11:46.360 --> 00:11:48.540]   and yet what you realize is by the end of my trip,
[00:11:48.540 --> 00:11:50.620]   I had gone four hours in complete silence
[00:11:50.620 --> 00:11:55.440]   because I had just been word-vomiting everything to him.
[00:11:55.440 --> 00:11:57.640]   Now, I don't say that to you
[00:11:57.640 --> 00:11:59.300]   because I'm trying to make myself out
[00:11:59.300 --> 00:12:00.520]   to be some sort of example.
[00:12:00.520 --> 00:12:03.440]   I say that to you because I want you to learn
[00:12:03.440 --> 00:12:06.600]   from my experience that bottling all of that up for so long,
[00:12:06.600 --> 00:12:08.900]   it took me four hours to unwind
[00:12:08.900 --> 00:12:11.120]   when that never had to be the case,
[00:12:11.120 --> 00:12:13.400]   but I was unwilling to come honest.
[00:12:13.400 --> 00:12:15.320]   God doesn't want you to be that way.
[00:12:15.320 --> 00:12:18.000]   Like, whatever it is, he wants you to know
[00:12:18.000 --> 00:12:20.880]   you can come to him on it, and here's the thing.
[00:12:20.880 --> 00:12:24.680]   I think so often we fear if we do come real,
[00:12:24.680 --> 00:12:27.640]   God's gonna want to check the return policy on you and I,
[00:12:27.640 --> 00:12:28.720]   and yet that's just not the case.
[00:12:28.720 --> 00:12:30.400]   Like, you're not gonna come and tell him something
[00:12:30.400 --> 00:12:31.580]   that he hasn't already known about.
[00:12:31.580 --> 00:12:33.840]   He's omniscient, he knows everything,
[00:12:33.840 --> 00:12:35.280]   and so he's not gonna turn to the left and be like,
[00:12:35.280 --> 00:12:37.200]   "Gabriel, hold on, man, what did we bite off here?
[00:12:37.200 --> 00:12:38.840]   "It seems like it's a little bit more than we can chew."
[00:12:38.840 --> 00:12:41.640]   He's gonna look at you and be like, "I know!"
[00:12:41.640 --> 00:12:43.640]   And yet though God knows everything,
[00:12:43.640 --> 00:12:46.760]   he wants to hear about everything from you
[00:12:46.760 --> 00:12:50.600]   because that's what relationship looks like.
[00:12:50.600 --> 00:12:53.960]   So all that sadness you feel about your singleness
[00:12:53.960 --> 00:12:56.400]   because by this point you thought you'd be married,
[00:12:56.400 --> 00:12:58.120]   you'd have a family, you'd moved on with your life,
[00:12:58.120 --> 00:12:59.200]   he wants to hear about that.
[00:12:59.200 --> 00:13:01.600]   Like, all that frustration you feel with your parents
[00:13:01.600 --> 00:13:04.160]   because no matter how hard you try or how much you give,
[00:13:04.160 --> 00:13:05.600]   it's still never enough,
[00:13:05.600 --> 00:13:07.000]   they're perpetually disappointed in you,
[00:13:07.000 --> 00:13:08.200]   he wants to hear about that.
[00:13:08.200 --> 00:13:11.480]   All that shame that you feel for what you did,
[00:13:11.480 --> 00:13:15.760]   that habit or addiction that you constantly hide in secret
[00:13:15.760 --> 00:13:17.640]   and you can't seem to upend,
[00:13:17.640 --> 00:13:19.800]   he wants you to come and talk to him about it.
[00:13:19.800 --> 00:13:22.520]   Like, that weariness you feel from your depression
[00:13:22.520 --> 00:13:24.040]   that no matter how hard you pray,
[00:13:24.040 --> 00:13:25.520]   no matter how much you trust,
[00:13:25.520 --> 00:13:29.240]   no matter how much you surrender, still seems to never end.
[00:13:29.240 --> 00:13:31.640]   God's like, "Come talk to me about it.
[00:13:31.640 --> 00:13:34.860]   "Come be honest with me about it, I know already.
[00:13:34.860 --> 00:13:36.380]   "So just let me ask you then,
[00:13:36.380 --> 00:13:39.680]   "like what's keeping you from talking to him?
[00:13:39.680 --> 00:13:43.600]   "What's keeping you from being real with him?
[00:13:43.600 --> 00:13:45.600]   "What's keeping you from being honest?"
[00:13:45.600 --> 00:13:46.840]   I think for many of us,
[00:13:46.840 --> 00:13:49.800]   if I were just to kind of throw out a singular answer,
[00:13:49.800 --> 00:13:53.920]   though I know there's a variety of exceptions here,
[00:13:53.920 --> 00:13:55.840]   I know that generally speaking,
[00:13:55.840 --> 00:13:58.400]   the reason we don't talk to God honestly
[00:13:58.400 --> 00:14:00.640]   about the things that we struggle with,
[00:14:00.640 --> 00:14:05.120]   are frustrated by is because for fear of being wrong,
[00:14:05.120 --> 00:14:06.900]   we never come real.
[00:14:06.900 --> 00:14:08.800]   We don't wanna be wrong in the sight of God.
[00:14:08.800 --> 00:14:12.700]   And so what we do is we come completely fake.
[00:14:12.700 --> 00:14:15.040]   We look phony, we act false in front of him.
[00:14:15.040 --> 00:14:18.120]   And yet that's not the way that Abram does it.
[00:14:18.120 --> 00:14:20.880]   Abram comes completely honestly.
[00:14:20.880 --> 00:14:22.660]   And yet I love that as you read this,
[00:14:22.660 --> 00:14:25.120]   you see he doesn't come disrespectfully.
[00:14:25.120 --> 00:14:28.080]   He calls him Lord God, that word Lord God,
[00:14:28.080 --> 00:14:30.880]   it's the word Adonai Yahweh.
[00:14:30.880 --> 00:14:33.960]   It's similar to what we talked about earlier in the series.
[00:14:33.960 --> 00:14:35.720]   But the idea here is he looks at God and he says,
[00:14:35.720 --> 00:14:37.160]   "Hey, you're Adonai.
[00:14:37.160 --> 00:14:38.880]   "You're my master, you're my Lord,
[00:14:38.880 --> 00:14:41.400]   "you're the sovereign supreme over everything.
[00:14:41.400 --> 00:14:43.280]   "And then at the same time, you're Yahweh.
[00:14:43.280 --> 00:14:44.800]   "You have a personal relationship with me.
[00:14:44.800 --> 00:14:46.440]   "I know your name."
[00:14:46.440 --> 00:14:49.580]   And so he comes and he is respectful to him.
[00:14:49.580 --> 00:14:51.160]   He acknowledges who God is.
[00:14:51.160 --> 00:14:54.440]   And yet though he is respectful, he is simultaneously real
[00:14:54.440 --> 00:14:55.280]   with him.
[00:14:55.280 --> 00:14:59.960]   Which we agree is possible, don't we?
[00:14:59.960 --> 00:15:02.580]   Like, isn't this the idea of tough love?
[00:15:02.580 --> 00:15:07.400]   That someone would just deal straight with you,
[00:15:07.400 --> 00:15:09.940]   even if it's hard to receive for your own good.
[00:15:09.940 --> 00:15:13.280]   I know that this is what happens every morning
[00:15:13.280 --> 00:15:15.000]   when I come out of the bedroom and I look at Brooke
[00:15:15.000 --> 00:15:17.040]   and I say, "Hey, does this look okay?"
[00:15:17.040 --> 00:15:18.360]   And if she tells me no,
[00:15:18.360 --> 00:15:20.920]   I don't think it's because she hates me.
[00:15:20.920 --> 00:15:22.720]   Or is trying to sabotage my street cred.
