
[00:00:00.000 --> 00:00:02.760]   (waves crashing)
[00:01:26.000 --> 00:01:27.120]   patiently enduring evil,
[00:01:27.120 --> 00:01:29.200]   correcting his opponents with gentleness.
[00:01:29.200 --> 00:01:31.840]   God may perhaps grant them the repentance
[00:01:31.840 --> 00:01:34.120]   leading to a knowledge of truth,
[00:01:34.120 --> 00:01:35.880]   and then become to their senses
[00:01:35.880 --> 00:01:37.280]   and escape from the snare of the devil
[00:01:37.280 --> 00:01:40.000]   after being captured by him to do his will.
[00:01:40.000 --> 00:01:42.680]   Now our third message in this year is a second Timothy.
[00:01:42.680 --> 00:01:45.920]   - Okay, tonight.
[00:01:45.920 --> 00:01:48.840]   Hey, it's great to be with you.
[00:01:48.840 --> 00:01:51.560]   Thanks so much for making time to be here with us.
[00:01:51.560 --> 00:01:52.840]   Whether it's this Tuesday,
[00:01:52.840 --> 00:01:54.520]   it's another day that you're tuning in.
[00:01:54.520 --> 00:01:57.880]   It is such a joy to be a part of what God is doing.
[00:01:57.880 --> 00:01:59.160]   Yes, in Dallas, Texas,
[00:01:59.160 --> 00:02:02.440]   but really in the lives of young adults here in our city,
[00:02:02.440 --> 00:02:04.980]   but in cities like this all over,
[00:02:04.980 --> 00:02:07.240]   particularly those of our Portslide locations.
[00:02:07.240 --> 00:02:10.000]   We are so glad that God is working there
[00:02:10.000 --> 00:02:11.580]   as he is working here.
[00:02:11.580 --> 00:02:12.920]   I'm so eager for where we're going tonight,
[00:02:12.920 --> 00:02:15.500]   but I want to start things off with a story like normal.
[00:02:15.500 --> 00:02:17.640]   Before we moved to Dallas, my wife and I,
[00:02:17.640 --> 00:02:20.100]   we lived in Houston, Texas.
[00:02:20.100 --> 00:02:21.400]   I was working in a young adult ministry,
[00:02:21.400 --> 00:02:23.800]   very similar to this one, just in that city.
[00:02:23.800 --> 00:02:25.840]   And I'll never forget when we got there,
[00:02:25.840 --> 00:02:28.680]   what my welcome to the city moment was.
[00:02:28.680 --> 00:02:29.520]   You know what I'm talking about?
[00:02:29.520 --> 00:02:31.920]   Like where you realize, okay,
[00:02:31.920 --> 00:02:33.320]   this is what we're dealing with.
[00:02:33.320 --> 00:02:38.320]   It came on the very first night of our ministry that year.
[00:02:38.320 --> 00:02:40.480]   It was our kickoff event.
[00:02:40.480 --> 00:02:43.560]   And so one of my really dear friends, he had come in town
[00:02:43.560 --> 00:02:46.120]   and he wanted to be a part of the festivities
[00:02:46.120 --> 00:02:47.160]   and see me teach.
[00:02:47.160 --> 00:02:49.120]   And afterwards we decided, you know what?
[00:02:49.120 --> 00:02:50.240]   Like, let's go get some food.
[00:02:50.240 --> 00:02:51.080]   He hasn't had dinner.
[00:02:51.080 --> 00:02:51.900]   I haven't had dinner.
[00:02:51.900 --> 00:02:52.740]   Let's get out of here.
[00:02:52.740 --> 00:02:55.480]   And we do what you normally do.
[00:02:55.480 --> 00:02:57.520]   We were unfamiliar with the area.
[00:02:57.520 --> 00:02:59.100]   I was new to the territory again,
[00:02:59.100 --> 00:03:01.340]   and it was after 10 PM.
[00:03:01.340 --> 00:03:03.400]   So we pulled up Google and we just started looking like,
[00:03:03.400 --> 00:03:07.360]   what's open right now that is marginally edible?
[00:03:07.360 --> 00:03:09.960]   And so we found a wing joint that had pretty good reviews.
[00:03:09.960 --> 00:03:13.280]   And so we leave the church and we make our way over there.
[00:03:13.280 --> 00:03:17.560]   We show up and what we realize is
[00:03:17.560 --> 00:03:19.760]   the place is virtually empty.
[00:03:19.760 --> 00:03:22.940]   There are only six people in the entire restaurant
[00:03:22.940 --> 00:03:24.340]   upon arrival.
[00:03:24.340 --> 00:03:27.740]   There's three people, a group sitting together at the bar.
[00:03:27.740 --> 00:03:29.220]   There's one female bartender.
[00:03:29.220 --> 00:03:31.180]   She has a friend, a buddy of hers
[00:03:31.180 --> 00:03:32.340]   that is sitting at the bar as well.
[00:03:32.340 --> 00:03:35.220]   And then there's one bus boy that is doing everything
[00:03:35.220 --> 00:03:38.980]   in his power just to hold the entire experience together.
[00:03:38.980 --> 00:03:41.720]   And so we grab a seat and we start looking at the menu.
[00:03:41.720 --> 00:03:42.940]   We place our order.
[00:03:42.940 --> 00:03:45.420]   And right as our food arrives,
[00:03:45.420 --> 00:03:49.320]   we noticed that there was some tension at the bar.
[00:03:50.180 --> 00:03:52.780]   Now we weren't sure what the cause of the debate
[00:03:52.780 --> 00:03:55.340]   or argument was, but we began to suspect
[00:03:55.340 --> 00:03:56.700]   that it was pretty serious
[00:03:56.700 --> 00:04:00.080]   whenever that female bartender reached across the bar,
[00:04:00.080 --> 00:04:02.260]   grabbed one of those girls by her hair,
[00:04:02.260 --> 00:04:04.220]   drug her across the bar
[00:04:04.220 --> 00:04:07.020]   and began to lead her towards the door.
[00:04:07.020 --> 00:04:09.220]   Not only that, but then as that was happening,
[00:04:09.220 --> 00:04:10.700]   one of the guys in that girl's group,
[00:04:10.700 --> 00:04:11.940]   like he springs to his feet
[00:04:11.940 --> 00:04:14.060]   and he pushes her buddy out of his stool
[00:04:14.060 --> 00:04:15.980]   and he falls to the ground and he gets up
[00:04:15.980 --> 00:04:18.660]   and he starts swinging back at that guy.
[00:04:18.660 --> 00:04:20.960]   And meanwhile, the other girl in that group of three,
[00:04:20.960 --> 00:04:23.120]   she is now standing on a tabletop
[00:04:23.120 --> 00:04:24.200]   and she's found a pool cue.
[00:04:24.200 --> 00:04:26.080]   I didn't even know they had pool at this place.
[00:04:26.080 --> 00:04:29.200]   And she is swinging that thing at this poor bus boy
[00:04:29.200 --> 00:04:30.720]   who was just trying to calm her down.
[00:04:30.720 --> 00:04:32.340]   He didn't do anything wrong.
[00:04:32.340 --> 00:04:35.680]   In that moment, it occurred to me,
[00:04:35.680 --> 00:04:38.080]   I was in the middle of my first bar fight,
[00:04:38.080 --> 00:04:41.100]   which just felt really exciting,
[00:04:41.100 --> 00:04:42.920]   despite the fact that I never threw a punch more.
[00:04:42.920 --> 00:04:44.260]   And I sat 30 yards away.
[00:04:44.260 --> 00:04:46.400]   My food showed up right as it was all beginning.
[00:04:46.400 --> 00:04:48.900]   And so I just decided to finish my meal
[00:04:48.900 --> 00:04:51.060]   as we waited for the cops to show up.
[00:04:51.060 --> 00:04:52.920]   And yet while this was all happening,
[00:04:52.920 --> 00:04:54.920]   this thought occurred to me.
[00:04:54.920 --> 00:04:59.260]   I realized you can't control if someone wants to fight,
[00:04:59.260 --> 00:05:03.040]   but you can control if you pull them across the bar
[00:05:03.040 --> 00:05:05.080]   and you throw the first punch.
[00:05:05.080 --> 00:05:06.820]   Why do I tell you that?
[00:05:06.820 --> 00:05:09.000]   Because in this world,
[00:05:09.000 --> 00:05:10.760]   you may not find yourself in a bar fight,
[00:05:10.760 --> 00:05:13.000]   but you're gonna find yourself in some kind of fight.
[00:05:13.000 --> 00:05:16.360]   This life we live is crazy and it's chaotic
[00:05:16.360 --> 00:05:18.280]   and it's full of crisis.
[00:05:18.280 --> 00:05:21.700]   And yet though you cannot control when the crisis comes,
[00:05:21.700 --> 00:05:26.640]   you can control your composure when it does.
[00:05:26.640 --> 00:05:28.760]   Like just because someone's looking to pick a fight
[00:05:28.760 --> 00:05:31.040]   doesn't mean that you have to give them one.
[00:05:31.040 --> 00:05:34.600]   And yet what we know, if you pay attention to our society,
[00:05:34.600 --> 00:05:38.600]   is we're not that good at avoiding the fray.
[00:05:38.600 --> 00:05:40.320]   You don't believe me?
[00:05:40.320 --> 00:05:42.600]   Like all you gotta do is just read the reviews
[00:05:42.600 --> 00:05:44.800]   on whatever movie is currently in theaters
[00:05:44.800 --> 00:05:46.860]   and see people not only spill the spoilers,
[00:05:46.860 --> 00:05:49.880]   but also spill their hatred for whatever is going on.
[00:05:49.880 --> 00:05:52.160]   Pull up X and read live, like as a show is going
[00:05:52.160 --> 00:05:54.680]   or a game is playing, just read the comments
[00:05:54.680 --> 00:05:58.960]   or go and look at the comments that people will give
[00:05:58.960 --> 00:06:00.560]   on any kind of political post.
[00:06:00.560 --> 00:06:02.180]   And what you'll see is that people,
[00:06:02.180 --> 00:06:06.240]   they are so quick to stir the pot and to build up drama
[00:06:06.240 --> 00:06:07.880]   and to pick a fight.
[00:06:07.880 --> 00:06:08.840]   And yet here's the thing,
[00:06:08.840 --> 00:06:10.580]   you don't even need to look into the culture.
[00:06:10.580 --> 00:06:12.960]   You need only look at yourself and realize
[00:06:12.960 --> 00:06:17.800]   we are really bad at keeping our composure.
[00:06:17.800 --> 00:06:21.560]   And the reason why is it's hard to keep your composure
[00:06:21.560 --> 00:06:24.320]   when the world we live in does not seem to have any interest
[00:06:24.320 --> 00:06:26.920]   in this idea whatsoever.
[00:06:26.920 --> 00:06:28.280]   And yet here is the thing,
[00:06:28.280 --> 00:06:29.440]   if you're a Christian in the room,
[00:06:29.440 --> 00:06:31.720]   then you need to listen to me.
[00:06:31.720 --> 00:06:34.800]   We are called to do it nonetheless.
[00:06:34.800 --> 00:06:37.400]   You see, the way the Bible talks about this idea
[00:06:37.400 --> 00:06:41.940]   is we are to conduct our lives with honor.
[00:06:41.940 --> 00:06:45.460]   That's the word behind our entire message this evening.
[00:06:45.460 --> 00:06:50.460]   I want to visit with you about how we live honorable lives
[00:06:50.460 --> 00:06:52.540]   in the midst of a dishonoring day.
[00:06:52.540 --> 00:06:55.100]   How do you keep your composure when it feels like
[00:06:55.100 --> 00:06:58.940]   all there is around you is crisis instead?
[00:06:58.940 --> 00:07:01.980]   The apostle Paul, who wrote the letter of 2 Timothy,
[00:07:01.980 --> 00:07:03.700]   which we've been working through in this series,
[00:07:03.700 --> 00:07:06.220]   he's going to breach this subject here tonight
[00:07:06.220 --> 00:07:07.440]   because as you get to chapter two
[00:07:07.440 --> 00:07:09.240]   and you start reading at verse 14,
[00:07:09.240 --> 00:07:10.840]   which is everything Carlos just read for us,
[00:07:10.840 --> 00:07:12.680]   what you find is we've sort of turned the corner
[00:07:12.680 --> 00:07:15.040]   into a brand new section of this letter
[00:07:15.040 --> 00:07:17.480]   where Paul is writing to his young protege, Timothy,
[00:07:17.480 --> 00:07:18.560]   and he's telling him,
[00:07:18.560 --> 00:07:22.720]   "Hey, you have the right attitudes in light of chapter one
[00:07:22.720 --> 00:07:23.800]   "and in the beginning of chapter two,
[00:07:23.800 --> 00:07:25.780]   "like we've discussed these past few weeks,
[00:07:25.780 --> 00:07:28.700]   "and yet now you move from attitudes and into activity.
[00:07:28.700 --> 00:07:31.720]   "You begin to consider what then should be true
[00:07:31.720 --> 00:07:32.640]   "of your life."
[00:07:32.640 --> 00:07:34.840]   And for Timothy, within his specific context,
[00:07:34.840 --> 00:07:36.920]   Paul knows he's got some trouble on his hands.
[00:07:36.920 --> 00:07:39.080]   Like there are some issues at bay.
[00:07:39.080 --> 00:07:41.820]   Like he has got to figure out how to deal with these people
[00:07:41.820 --> 00:07:43.740]   that are stirring up drama.
[00:07:43.740 --> 00:07:45.280]   They've come into his church
[00:07:45.280 --> 00:07:48.080]   and they've begun to confront his ideas.
[00:07:48.080 --> 00:07:50.640]   And they've even begun to refute the gospel
[00:07:50.640 --> 00:07:51.880]   that he is preaching.
[00:07:51.880 --> 00:07:53.080]   They're known as false teachers.
[00:07:53.080 --> 00:07:55.880]   And so Paul is writing to Timothy and he tells him,
[00:07:55.880 --> 00:07:58.140]   "Hey, here's how you deal with people
[00:07:58.140 --> 00:08:00.080]   "that want to pick a fight.
[00:08:00.080 --> 00:08:02.400]   "Here's how you keep your composure
[00:08:02.400 --> 00:08:04.740]   "in the face of the crisis they're causing.
[00:08:04.740 --> 00:08:07.440]   "Here's how you live with honor
[00:08:07.440 --> 00:08:11.320]   "during a dishonoring day."
[00:08:11.320 --> 00:08:13.520]   And what he's gonna tell Timothy, as well as ourselves,
[00:08:13.520 --> 00:08:17.040]   are four principles for doing so in our own lives.
[00:08:17.040 --> 00:08:18.760]   So we're gonna pick it up, verse 14.
[00:08:18.760 --> 00:08:20.720]   We're gonna work our way through a little bit of scripture
[00:08:20.720 --> 00:08:22.880]   and then we're gonna talk about it as we always do.
[00:08:22.880 --> 00:08:25.280]   Verse 14, here's what it says.
[00:08:25.280 --> 00:08:28.780]   "Remind them of these things and charge them before God
[00:08:28.780 --> 00:08:31.020]   "not to quarrel about words.
[00:08:31.020 --> 00:08:32.220]   "It does no good.
[00:08:32.220 --> 00:08:33.960]   "It only ruins the hearers.
[00:08:33.960 --> 00:08:37.320]   "Do your best to present yourself to God as one approved,
[00:08:37.320 --> 00:08:39.720]   "a worker who has no need to be ashamed,
[00:08:39.720 --> 00:08:42.200]   "rightly handling the word of truth."
[00:08:42.200 --> 00:08:43.440]   So the first thing that Paul tells us
[00:08:43.440 --> 00:08:45.680]   if you wanna live a life of honor
[00:08:45.680 --> 00:08:49.200]   is you've gotta avoid unproductive disagreements.
[00:08:49.200 --> 00:08:50.920]   That's your first point.
[00:08:50.920 --> 00:08:53.180]   You gotta avoid unproductive disagreements.
[00:08:53.180 --> 00:08:56.040]   He charges Timothy before God.
[00:08:56.040 --> 00:08:58.040]   Some of your translation says that he charges Timothy
[00:08:58.040 --> 00:08:59.560]   in the presence of God,
[00:08:59.560 --> 00:09:01.900]   which is the strongest commissioning
[00:09:01.900 --> 00:09:05.520]   that Paul gives in any pastoral epistle.
[00:09:05.520 --> 00:09:07.800]   It would be the ancient Near Eastern equivalent
[00:09:07.800 --> 00:09:09.680]   of your mom calling you by your first, middle,
[00:09:09.680 --> 00:09:10.520]   and last name.
[00:09:10.520 --> 00:09:11.360]   What does that do?
[00:09:11.360 --> 00:09:12.200]   It makes you stand up straight
[00:09:12.200 --> 00:09:13.560]   and listen to whatever she's gonna say.
[00:09:13.560 --> 00:09:15.200]   It calls you to attention
[00:09:15.200 --> 00:09:18.840]   because whatever she's about to say is serious.
[00:09:18.840 --> 00:09:20.760]   Paul is saying the exact same thing.
[00:09:20.760 --> 00:09:23.960]   He's demanding the same sort of response from Timothy.
[00:09:23.960 --> 00:09:27.280]   He tells him, "Hey, before God, I charge you."
[00:09:27.280 --> 00:09:28.120]   What?
[00:09:28.120 --> 00:09:29.520]   What's he charging?
[00:09:29.580 --> 00:09:34.580]   To not quarrel about words.
[00:09:34.580 --> 00:09:35.960]   In the Greek, that idea,
[00:09:35.960 --> 00:09:40.400]   it literally means to not engage in word wars.
[00:09:40.400 --> 00:09:42.380]   Like don't pick a fight with other people
[00:09:42.380 --> 00:09:45.540]   just to prove that you're intellectually superior,
[00:09:45.540 --> 00:09:46.860]   which Christians, we never do that, do we?
[00:09:46.860 --> 00:09:48.100]   We don't do that with one another.
[00:09:48.100 --> 00:09:49.540]   We don't do that with the world.
[00:09:49.540 --> 00:09:50.860]   And yet the reality is,
[00:09:50.860 --> 00:09:52.820]   it doesn't mean we shouldn't disagree with people.
[00:09:52.820 --> 00:09:54.460]   It doesn't mean that we can't be corrective
[00:09:54.460 --> 00:09:55.300]   in conversations.
[00:09:55.300 --> 00:09:56.780]   But what it does tell us
[00:09:56.780 --> 00:10:00.220]   is that we should be aware
[00:10:00.220 --> 00:10:02.860]   if ever we're lobbing verbal bombs
[00:10:02.860 --> 00:10:05.140]   and it feels like the conversation has caught fire
[00:10:05.140 --> 00:10:08.180]   and nothing is going productively.
[00:10:08.180 --> 00:10:11.860]   That tells us we're in the midst of a word war.
[00:10:11.860 --> 00:10:14.860]   So as just an example,
[00:10:14.860 --> 00:10:17.700]   in marriage, often, not always,
[00:10:17.700 --> 00:10:20.180]   but often, your biggest disagreements
[00:10:20.180 --> 00:10:23.600]   always come from the smallest of issues.
[00:10:23.600 --> 00:10:24.780]   I remember for Brooke and I,
[00:10:24.780 --> 00:10:26.720]   it was early in our marriage
[00:10:26.720 --> 00:10:29.340]   and the week was long, it was difficult.
[00:10:29.340 --> 00:10:30.860]   We were finally at the weekend.
[00:10:30.860 --> 00:10:31.860]   And so we were like, you know what?
[00:10:31.860 --> 00:10:33.220]   Let's bring it in the right way.
[00:10:33.220 --> 00:10:35.820]   Let's prep dinner and let's grill some steaks
[00:10:35.820 --> 00:10:37.900]   and start the weekend on a high note.
[00:10:37.900 --> 00:10:40.700]   Now, unashamedly, steak is my favorite food.
[00:10:40.700 --> 00:10:44.740]   I mean, it is by and large, Kylen Perry's favorite meal.
[00:10:44.740 --> 00:10:47.500]   It is my preference if ever I get to pick.
[00:10:47.500 --> 00:10:49.260]   And so we were doing this this night.
[00:10:49.260 --> 00:10:52.420]   And now as any self-respecting person knows,
[00:10:52.420 --> 00:10:56.300]   steak is always served with potatoes, always.
[00:10:56.300 --> 00:10:58.140]   Like that's a non-negotiable.
[00:10:58.140 --> 00:11:00.300]   It is assumed at the very least.
[00:11:00.300 --> 00:11:01.860]   And yet for whatever reason,
[00:11:01.860 --> 00:11:04.780]   my wife did not seem to know this.
[00:11:04.780 --> 00:11:06.900]   She had not purchased any potatoes to speak of.
[00:11:06.900 --> 00:11:09.860]   Instead, she had decided that we would eat corn and salad
[00:11:09.860 --> 00:11:12.500]   alongside that steak in the evening.
[00:11:12.500 --> 00:11:15.580]   And what ensued from that moment
[00:11:15.580 --> 00:11:17.820]   was the equivalent of a word war
[00:11:17.820 --> 00:11:22.540]   because I unpinned a verbal grenade and I lobbed it at her.
[00:11:22.540 --> 00:11:24.040]   And I was like, are you crazy?
[00:11:24.940 --> 00:11:28.860]   Like steak without potatoes, we might as well not even eat.
[00:11:28.860 --> 00:11:32.300]   Marriage is so very sanctifying.
[00:11:32.300 --> 00:11:33.660]   This is case in point number one.
[00:11:33.660 --> 00:11:36.180]   I have since grown so very much.
[00:11:36.180 --> 00:11:40.620]   And you would never, never engage in something
[00:11:40.620 --> 00:11:42.500]   so seemingly silly as that.
[00:11:42.500 --> 00:11:47.260]   And yet often we do engage,
[00:11:47.260 --> 00:11:49.420]   we fight over something so seemingly serious
[00:11:49.420 --> 00:11:52.280]   as whether or not true believers can be tempted
[00:11:52.280 --> 00:11:54.180]   with same-sex attraction or not.
[00:11:55.180 --> 00:11:59.460]   Whether you're allowed or not allowed
[00:11:59.460 --> 00:12:02.260]   to vote Democrat and love Jesus at the same time,
[00:12:02.260 --> 00:12:06.260]   whether Charlie Kirk is or isn't actually a Christian martyr,
[00:12:06.260 --> 00:12:08.180]   whether you should or you shouldn't.
[00:12:08.180 --> 00:12:11.540]   Listen to Chapel Rome if you are a Christian.
[00:12:11.540 --> 00:12:14.300]   Here's the thing.
[00:12:14.300 --> 00:12:17.540]   I haven't even stated to you my position
[00:12:17.540 --> 00:12:18.960]   on some of these issues,
[00:12:18.960 --> 00:12:21.860]   but the mere mention of them
[00:12:21.860 --> 00:12:24.460]   has some of you boiling inside,
[00:12:24.460 --> 00:12:28.700]   ready to spring into action and present your case.
[00:12:28.700 --> 00:12:33.360]   And that is evidence of a quarrelsome heart.
[00:12:33.360 --> 00:12:37.260]   Now, am I saying that these things
[00:12:37.260 --> 00:12:38.560]   are not worthy of talking about?
[00:12:38.560 --> 00:12:39.400]   Of course not.
[00:12:39.400 --> 00:12:41.000]   That's not what I'm saying in the slightest,
[00:12:41.000 --> 00:12:44.180]   but I am saying the way we talk about them
[00:12:44.180 --> 00:12:47.500]   matters quite possibly even more.
[00:12:48.660 --> 00:12:49.700]   Verse Peter 3:15 says,
[00:12:49.700 --> 00:12:53.580]   "But in your hearts honor Christ the Lord as holy,
[00:12:53.580 --> 00:12:55.820]   always being prepared to make a defense.
[00:12:55.820 --> 00:12:58.900]   Do it for anyone who asks you for a reason
[00:12:58.900 --> 00:12:59.740]   for the hope that's in you,
[00:12:59.740 --> 00:13:03.780]   and yet do it with gentleness and respect."
[00:13:03.780 --> 00:13:05.020]   Do you see it?
[00:13:05.020 --> 00:13:08.100]   We should always be prepared to make a defense.
[00:13:08.100 --> 00:13:10.520]   That's the what, and yet Peter doesn't stop there.
[00:13:10.520 --> 00:13:11.360]   He gives you the how.
[00:13:11.360 --> 00:13:13.700]   He says, "You should be prepared to make a defense,
[00:13:13.700 --> 00:13:17.440]   but not a destructive one.
[00:13:17.440 --> 00:13:21.100]   You should prepare instead to make a constructive defense."
[00:13:21.100 --> 00:13:24.260]   It's interesting, in the passage we're looking at,
[00:13:24.260 --> 00:13:26.580]   when he says, "Rightly handling the word of truth,"
[00:13:26.580 --> 00:13:30.620]   the idea there is that you would cut a straight line
[00:13:30.620 --> 00:13:32.240]   in the original language.
[00:13:32.240 --> 00:13:34.980]   It would be used as characteristic of a carpenter
[00:13:34.980 --> 00:13:38.060]   or a seamstress or a master craftsman.
[00:13:38.060 --> 00:13:40.860]   It would tell you that they are an expert
[00:13:40.860 --> 00:13:42.580]   in their particular trade.
[00:13:42.580 --> 00:13:45.500]   They can constructively contribute
[00:13:45.500 --> 00:13:48.300]   to whatever their field of expertise is.
[00:13:48.300 --> 00:13:51.220]   For the Christian, what is our field of expertise?
[00:13:51.220 --> 00:13:54.060]   It's God's word.
[00:13:54.060 --> 00:13:56.260]   It's not the stock market.
[00:13:56.260 --> 00:13:58.860]   It's not how to make the best sourdough.
[00:13:58.860 --> 00:14:01.140]   It's not who are the studs and duds
[00:14:01.140 --> 00:14:03.220]   of week four fantasy football.
[00:14:03.220 --> 00:14:05.660]   It's not whether or not you're actually gonna be able
[00:14:05.660 --> 00:14:06.820]   to shoot a shot at Robert Irwin
[00:14:06.820 --> 00:14:08.820]   because you think he's so cute on "Dancing with the Stars."
[00:14:08.820 --> 00:14:12.340]   None of that is actually your field of expertise.
[00:14:12.340 --> 00:14:13.600]   No, our field of expertise
[00:14:13.600 --> 00:14:18.420]   is what does the word of God say?
[00:14:18.420 --> 00:14:19.940]   And yet here's the thing,
[00:14:19.940 --> 00:14:21.840]   rather than being an expert in God's word,
[00:14:21.840 --> 00:14:25.640]   too often we are an expert in someone else's words.
[00:14:25.640 --> 00:14:29.900]   Culturally, we know better what our favorite teachers think
[00:14:29.900 --> 00:14:31.540]   or our podcaster's position is
[00:14:31.540 --> 00:14:33.740]   or that influencer has to say.
[00:14:33.740 --> 00:14:36.020]   We have mastered the opinions of man
[00:14:36.020 --> 00:14:38.400]   and not the truth of God.
[00:14:38.400 --> 00:14:40.780]   For Christians, we're not exempt.
[00:14:40.780 --> 00:14:42.420]   In fact, we are more guilty
[00:14:42.420 --> 00:14:45.540]   of having been raised under generational voices
[00:14:45.540 --> 00:14:49.720]   of adopting what our favorite pastors think about Jesus
[00:14:49.720 --> 00:14:52.300]   rather than what we think of Jesus himself.
[00:14:52.300 --> 00:14:54.760]   You see, we are willing to live vicariously
[00:14:54.760 --> 00:14:57.520]   through the relationship someone else has with Christ
[00:14:57.520 --> 00:15:00.920]   when we forego the ability to have that own relationship
[00:15:00.920 --> 00:15:03.180]   within our own lives.
[00:15:03.180 --> 00:15:05.880]   And yet the truth of the matter is
[00:15:05.880 --> 00:15:08.380]   you're not called to be an expert in anybody else's words
[00:15:08.380 --> 00:15:09.220]   nor their opinions.
[00:15:09.220 --> 00:15:12.040]   You're meant to be an expert in God's word.
[00:15:12.040 --> 00:15:15.740]   That's why we go deep in this book.
[00:15:15.740 --> 00:15:18.140]   All the questions facing humanity,
[00:15:18.140 --> 00:15:20.940]   the answers are right here.
[00:15:20.940 --> 00:15:24.460]   That's why we show up and we attend a Bible study
[00:15:24.460 --> 00:15:26.420]   and we surround ourselves with men and women
[00:15:26.420 --> 00:15:28.420]   that are older and wiser than we are.
[00:15:28.420 --> 00:15:30.620]   It's why we choose to every single day
[00:15:30.620 --> 00:15:32.900]   invest in reading this
[00:15:32.900 --> 00:15:36.100]   because we know in it is all the truth we need
[00:15:36.100 --> 00:15:37.620]   for the life we live.
[00:15:37.620 --> 00:15:40.620]   It's why we don't just fake it till we make it
[00:15:40.620 --> 00:15:42.760]   or we act like we have all the answers.
[00:15:42.760 --> 00:15:44.600]   We're willing to look dumb and ask questions,
[00:15:44.600 --> 00:15:45.800]   go to great questions,
[00:15:45.800 --> 00:15:48.080]   impose some of the things that we're really wondering
[00:15:48.080 --> 00:15:50.280]   and even worried about because we wanna know,
[00:15:50.280 --> 00:15:51.520]   man, what does God have to say
[00:15:51.520 --> 00:15:53.760]   about these specific issues in our life?
[00:15:53.760 --> 00:15:55.480]   It's why we're willing to go to a church
[00:15:55.480 --> 00:15:56.840]   that teaches the Bible.
[00:15:56.840 --> 00:15:58.840]   And listen to me, some of you need to be willing
[00:15:58.840 --> 00:16:02.760]   to leave a church that does not teach the Bible.
[00:16:02.760 --> 00:16:04.760]   I'm not telling you to come here,
[00:16:04.760 --> 00:16:06.520]   but I'm telling you to go somewhere
[00:16:06.520 --> 00:16:09.440]   that rightly reveres the word of God
[00:16:09.440 --> 00:16:12.920]   as the ultimate authority in all matters.
[00:16:12.920 --> 00:16:15.420]   I remember for myself in college,
[00:16:15.420 --> 00:16:18.740]   every night I would sit for a season
[00:16:18.740 --> 00:16:21.920]   and I would read small sections of scripture.
[00:16:21.920 --> 00:16:25.460]   And in order to understand them,
[00:16:25.460 --> 00:16:28.820]   I would write them back in my own words.
[00:16:28.820 --> 00:16:30.540]   I have journals filled with the KLP,
[00:16:30.540 --> 00:16:32.660]   the Kyle and Levi Perry translation.
