
[00:00:00.000 --> 00:00:03.120]   (audio cuts out)
[00:01:14.780 --> 00:01:16.780]   and we kind of resonate with them,
[00:01:16.780 --> 00:01:18.220]   and we remembered them.
[00:01:18.220 --> 00:01:19.780]   And now we're like, "Oh, mustard seed.
[00:01:19.780 --> 00:01:21.420]   "It's about that."
[00:01:21.420 --> 00:01:24.020]   And then so Jesus uses stories,
[00:01:24.020 --> 00:01:25.920]   and He also uses it in them to help those
[00:01:25.920 --> 00:01:29.860]   who are really genuinely hungry for Him to get something.
[00:01:29.860 --> 00:01:32.060]   Because we all know what it's like to be spoon-fed
[00:01:32.060 --> 00:01:36.500]   and forced just morals and teachings and Bible verses,
[00:01:36.500 --> 00:01:37.940]   and you remember them just for that second,
[00:01:37.940 --> 00:01:39.340]   and then you don't live them out anymore
[00:01:39.340 --> 00:01:40.220]   because you've forgotten about them
[00:01:40.220 --> 00:01:42.260]   because you didn't go and get it yourself.
[00:01:42.260 --> 00:01:43.580]   So Jesus tells stories
[00:01:43.580 --> 00:01:45.100]   so that the people who really want to,
[00:01:45.100 --> 00:01:46.940]   the people who have a soft and open heart,
[00:01:46.940 --> 00:01:49.460]   will then go, "Okay, Jesus, what is that about?"
[00:01:49.460 --> 00:01:50.500]   And of course, with stories,
[00:01:50.500 --> 00:01:52.300]   there's always a moral to the story, right?
[00:01:52.300 --> 00:01:54.660]   That you think, "Okay, so that's what it's about."
[00:01:54.660 --> 00:01:55.860]   And so that's why He tells stories,
[00:01:55.860 --> 00:01:57.080]   and I love this story here.
[00:01:57.080 --> 00:01:57.920]   It's only a short one.
[00:01:57.920 --> 00:01:58.740]   I was gonna read it,
[00:01:58.740 --> 00:02:01.760]   but it looks like the video already read it for me.
[00:02:01.760 --> 00:02:04.680]   This is an interesting one because Jesus starts the story,
[00:02:04.680 --> 00:02:06.920]   and actually, the one just before,
[00:02:06.920 --> 00:02:09.720]   the parable just before was talking about prayer.
[00:02:09.720 --> 00:02:11.560]   He's saying, "You need to be persistent in your prayer.
[00:02:11.560 --> 00:02:12.960]   "You can't just give up after one trial.
[00:02:12.960 --> 00:02:14.260]   "You've gotta be persistent.
[00:02:14.260 --> 00:02:16.080]   "It's gotta be a continual relationship."
[00:02:16.080 --> 00:02:18.400]   And then He does, He jumps into another parable,
[00:02:18.400 --> 00:02:21.000]   another story, and He starts with saying,
[00:02:21.000 --> 00:02:22.480]   "Two men walk into a bar."
[00:02:22.480 --> 00:02:23.960]   Well, this is not two men walk into a bar.
[00:02:23.980 --> 00:02:26.540]   He says, "Two men walk into a temple."
[00:02:26.540 --> 00:02:29.260]   And He basically contrasts two men,
[00:02:29.260 --> 00:02:32.420]   the Pharisee and the tax collector.
[00:02:32.420 --> 00:02:35.660]   Now, you and I know these two men fairly well,
[00:02:35.660 --> 00:02:37.220]   or at least what they represent.
[00:02:37.220 --> 00:02:40.260]   And today, we're gonna go through this passage,
[00:02:40.260 --> 00:02:41.420]   and we're gonna see, actually,
[00:02:41.420 --> 00:02:43.460]   Jesus, what were you actually talking about here?
[00:02:43.460 --> 00:02:44.280]   And what I'm gonna do,
[00:02:44.280 --> 00:02:45.500]   because there's only really six verses,
[00:02:45.500 --> 00:02:46.740]   what I propose that we do is actually,
[00:02:46.740 --> 00:02:48.580]   we go through these six verses one by one.
[00:02:48.580 --> 00:02:50.860]   As we go through them, we'll glean what we can
[00:02:50.860 --> 00:02:53.060]   from actually what is the bigger picture at play here?
[00:02:53.060 --> 00:02:54.880]   What is Jesus talking about?
[00:02:54.880 --> 00:02:58.000]   What's the context in which He's talking from and to?
[00:02:58.000 --> 00:03:00.520]   And after that, we'll draw out some practical applications
[00:03:00.520 --> 00:03:01.440]   just before we go and eat,
[00:03:01.440 --> 00:03:02.960]   so hopefully that we can remember them,
[00:03:02.960 --> 00:03:05.560]   and actually really be able to apply them to our lives.
[00:03:05.560 --> 00:03:06.600]   Is that good?
[00:03:06.600 --> 00:03:07.560]   So let's go.
[00:03:07.560 --> 00:03:08.920]   Verse nine, He says this.
[00:03:08.920 --> 00:03:09.840]   This is the word of the Lord.
[00:03:09.840 --> 00:03:13.760]   "He also told this parable to some who trusted in themselves
[00:03:13.760 --> 00:03:15.320]   "that they were righteous,
[00:03:15.320 --> 00:03:17.400]   "and treated others with contempt."
[00:03:17.400 --> 00:03:18.240]   Thank you for putting that up.
[00:03:18.240 --> 00:03:19.320]   I totally forgot to do this.
[00:03:19.320 --> 00:03:20.240]   I need to remember.
[00:03:20.240 --> 00:03:21.600]   Okay.
[00:03:21.600 --> 00:03:25.100]   So, I love this, because in other passages,
[00:03:25.100 --> 00:03:27.620]   we have to first figure out what the context is.
[00:03:27.620 --> 00:03:29.700]   When Paul writes a passage, we've got to figure out,
[00:03:29.700 --> 00:03:30.820]   oh, what is the context?
[00:03:30.820 --> 00:03:31.700]   Who's he writing to?
[00:03:31.700 --> 00:03:33.400]   Why is he talking to them about this?
[00:03:33.400 --> 00:03:35.380]   But here, Luke goes out of his way
[00:03:35.380 --> 00:03:37.740]   to tell us who he's writing to.
[00:03:37.740 --> 00:03:38.620]   He makes it very clear.
[00:03:38.620 --> 00:03:40.240]   He's saying, "He told this parable
[00:03:40.240 --> 00:03:42.180]   "to those who trusted in themselves
[00:03:42.180 --> 00:03:45.180]   "that they were righteous, and treated others with contempt."
[00:03:45.180 --> 00:03:46.140]   We're told the audience.
[00:03:46.140 --> 00:03:47.880]   We're told the context.
[00:03:47.880 --> 00:03:48.740]   What's the context?
[00:03:48.740 --> 00:03:51.300]   He's talking to people who are proud.
[00:03:51.300 --> 00:03:53.520]   We're talking to people who are prideful here,
[00:03:53.520 --> 00:03:54.360]   and you're looking at yourself,
[00:03:54.360 --> 00:03:55.680]   okay, well, this is a good context,
[00:03:55.680 --> 00:03:56.720]   and of course, at the very end,
[00:03:56.720 --> 00:03:58.100]   if we just fast forward to the end,
[00:03:58.100 --> 00:03:59.820]   for everyone who exalts himself will be humbled,
[00:03:59.820 --> 00:04:01.500]   and the one who humbles himself will be exalted.
[00:04:01.500 --> 00:04:03.560]   So, we know this is about pride,
[00:04:03.560 --> 00:04:05.000]   but then, why don't we just say,
[00:04:05.000 --> 00:04:07.620]   hey, guys, stop being prideful.
[00:04:07.620 --> 00:04:08.460]   That's it.
[00:04:08.460 --> 00:04:09.280]   End of sermon.
[00:04:09.280 --> 00:04:10.120]   Let's pray.
[00:04:10.120 --> 00:04:10.960]   Let's go.
[00:04:10.960 --> 00:04:11.780]   There's more to it.
[00:04:11.780 --> 00:04:13.020]   And so, as we look at this, we look at, okay,
[00:04:13.020 --> 00:04:15.800]   people who trusted in themselves,
[00:04:15.800 --> 00:04:19.340]   people who actually are, hmm, I think I can do it.
[00:04:19.340 --> 00:04:21.000]   I think I'm a good person.
[00:04:21.000 --> 00:04:23.600]   If you keep pulling that all the way back to the end,
[00:04:23.600 --> 00:04:25.080]   this is Adam and Eve.
[00:04:25.080 --> 00:04:27.320]   Adam and Eve didn't trust God.
[00:04:27.320 --> 00:04:28.640]   That's the original sin, right?
[00:04:28.640 --> 00:04:29.840]   What is the original sin
[00:04:29.840 --> 00:04:31.240]   that has led to all these other sins?
[00:04:31.240 --> 00:04:32.440]   The original sin was,
[00:04:32.440 --> 00:04:35.100]   God, I'm not sure I can really trust you.
[00:04:35.100 --> 00:04:38.500]   I think I'm gonna trust myself.
[00:04:38.500 --> 00:04:40.120]   I think I'm gonna eat the apple.
[00:04:40.120 --> 00:04:41.440]   I think I wanna know the difference
[00:04:41.440 --> 00:04:44.120]   between right and wrong myself.
[00:04:44.120 --> 00:04:46.560]   I'm gonna trust in myself,
[00:04:46.560 --> 00:04:48.360]   and that they were righteous.
[00:04:48.360 --> 00:04:50.680]   We don't use that word that much anymore, right?
[00:04:50.680 --> 00:04:52.680]   What context do we use the word?
[00:04:52.680 --> 00:04:54.400]   When was the last time you heard the word righteous,
[00:04:54.400 --> 00:04:55.980]   apart from the pulpit?
[00:04:55.980 --> 00:05:00.560]   The word righteous is often used in a negative tone.
[00:05:00.560 --> 00:05:05.560]   That person is so self-righteous, so stuck up,
[00:05:05.560 --> 00:05:08.120]   so full of themselves.
[00:05:08.120 --> 00:05:10.080]   But of course, that's not what the word righteous
[00:05:10.080 --> 00:05:12.000]   wants to bring out, the original meaning.
[00:05:12.000 --> 00:05:13.680]   If you were to search it in the dictionary,
[00:05:13.680 --> 00:05:18.200]   it would be to be morally right, or just, to be good.
[00:05:19.200 --> 00:05:22.040]   And so then you think, oh, well, actually, I'm good.
[00:05:22.040 --> 00:05:24.200]   I'm a pretty good person.
[00:05:24.200 --> 00:05:26.040]   But that's actually just half of it.
[00:05:26.040 --> 00:05:28.480]   The problem here is, these guys that he's telling the story
[00:05:28.480 --> 00:05:30.320]   to trusted in themselves and thought they were righteous,
[00:05:30.320 --> 00:05:31.740]   so they were self-righteous,
[00:05:31.740 --> 00:05:33.460]   because they didn't really understand the true,
[00:05:33.460 --> 00:05:35.840]   the deeper spiritual meaning of the word righteous,
[00:05:35.840 --> 00:05:38.600]   which is, if you are to be righteous, as the Bible says it,
[00:05:38.600 --> 00:05:41.020]   it is to be right in the eyes of God.
[00:05:41.020 --> 00:05:43.440]   It is to be right in the eyes of God.
[00:05:43.440 --> 00:05:45.540]   How does the Bible describe righteousness?
[00:05:45.540 --> 00:05:46.640]   It is an attribute of God.
[00:05:46.640 --> 00:05:48.520]   It is perfection.
[00:05:48.520 --> 00:05:49.960]   It is the holiness of God,
[00:05:49.960 --> 00:05:52.480]   and you cannot attain it yourself.
[00:05:52.480 --> 00:05:54.880]   The problem is, these people he's talking to
[00:05:54.880 --> 00:05:57.320]   have decided they can trust in themselves,
[00:05:57.320 --> 00:06:00.140]   that they can declare themselves good and perfect.
[00:06:00.140 --> 00:06:01.020]   What does that mean?
[00:06:01.020 --> 00:06:04.680]   They have severed their own connection between them and God.
[00:06:04.680 --> 00:06:06.720]   They're like, God, we know you're up there,
[00:06:06.720 --> 00:06:08.680]   but actually, I think we're gonna not trust you.
[00:06:08.680 --> 00:06:12.040]   I think we're gonna trust in ourselves, thank you very much.
[00:06:12.040 --> 00:06:14.920]   And so they've completely severed that connection there.
[00:06:14.920 --> 00:06:16.880]   And then it carries on.
[00:06:16.880 --> 00:06:18.920]   And then it says that they were righteous
[00:06:18.920 --> 00:06:21.120]   and treated others with contempt.
[00:06:21.120 --> 00:06:23.760]   Pride, here's the danger of pride.
[00:06:23.760 --> 00:06:26.520]   And we're gonna be talking about pride this whole evening.
[00:06:26.520 --> 00:06:29.200]   Not only does it sever your connection with God,
[00:06:29.200 --> 00:06:32.160]   it severs your connection with others.
[00:06:32.160 --> 00:06:34.040]   You're treating others with contempt now.
[00:06:34.040 --> 00:06:36.000]   They're looking down on other people.
[00:06:36.000 --> 00:06:37.520]   So that's what he's talking about here.
[00:06:37.520 --> 00:06:38.640]   And here's the problem.
[00:06:38.640 --> 00:06:41.840]   The whole Christian faith is about
[00:06:41.840 --> 00:06:44.040]   how do we love God and love our neighbor?
[00:06:44.960 --> 00:06:46.920]   The whole nature of grace is one of,
[00:06:46.920 --> 00:06:48.440]   it's almost, it's paradoxical.
[00:06:48.440 --> 00:06:50.640]   How do you receive grace?
[00:06:50.640 --> 00:06:52.680]   You must be willing to give it.
[00:06:52.680 --> 00:06:54.840]   Jesus, in his sermon, Matthew 5, said,
[00:06:54.840 --> 00:06:56.520]   "Blessed are those who are merciful,
[00:06:56.520 --> 00:06:59.480]   "for they shall receive mercy."
[00:06:59.480 --> 00:07:02.880]   So if you're not merciful, then you may not receive mercy.
[00:07:02.880 --> 00:07:04.080]   When he teaches them how to pray,
[00:07:04.080 --> 00:07:06.400]   later in that sermon, he says, this is how you pray.
[00:07:06.400 --> 00:07:08.000]   Our Father in heaven, hallowed be your name.
[00:07:08.000 --> 00:07:10.320]   At the very end, he finishes, and we all ignore it
[00:07:10.320 --> 00:07:11.960]   because it's not as catchy as,
[00:07:11.960 --> 00:07:13.800]   yours is the kingdom forever and ever, amen.
[00:07:13.800 --> 00:07:16.520]   It's forgive others as you have been given.
[00:07:16.520 --> 00:07:18.960]   'Cause if you don't forgive others, what will happen?
[00:07:18.960 --> 00:07:21.400]   Your Father in heaven won't forgive you.
[00:07:21.400 --> 00:07:23.720]   Grace is paradoxical in its nature.
[00:07:23.720 --> 00:07:25.640]   In order for us to receive it,
[00:07:25.640 --> 00:07:27.840]   we must be willing to give it.
[00:07:27.840 --> 00:07:29.040]   So pride is dangerous.
[00:07:29.040 --> 00:07:29.880]   That's what he's talking about.
[00:07:29.880 --> 00:07:30.840]   That's the context.
[00:07:30.840 --> 00:07:33.760]   Verse 10, he goes, this is his version of two men.
[00:07:33.760 --> 00:07:35.320]   Now we hear this, right?
[00:07:35.320 --> 00:07:38.600]   We hear the two men walk into a bar joke.
[00:07:38.600 --> 00:07:40.760]   Two men walk into a bar, an Englishman, an Irishman,
[00:07:40.760 --> 00:07:43.160]   and then goes the joke that really ridicules the Irishman
[00:07:43.160 --> 00:07:44.840]   because they're perceived as being not as smart,
[00:07:44.840 --> 00:07:45.720]   whatever it might be.
[00:07:45.720 --> 00:07:48.840]   Or the two kinds of people memes that you see online.
[00:07:48.840 --> 00:07:50.720]   There are two kinds of people in this world,
[00:07:50.720 --> 00:07:53.480]   those who are married and those who are happy.
[00:07:53.480 --> 00:07:54.320]   Those kind of...
[00:07:54.320 --> 00:07:56.840]   (audience laughing)
[00:07:56.840 --> 00:07:58.240]   Happily married, by the way, okay?
[00:07:58.240 --> 00:07:59.360]   It's just, that's a joke, okay?
[00:07:59.360 --> 00:08:00.240]   It's a joke.
[00:08:00.240 --> 00:08:01.560]   Christina, it's a joke.
[00:08:01.560 --> 00:08:02.400]   Okay.
[00:08:02.400 --> 00:08:04.520]   There are two kinds of people in the world,
[00:08:04.520 --> 00:08:06.640]   those who love to talk and those who hate to listen.
[00:08:06.640 --> 00:08:09.600]   Okay, so Jesus is kind of, but we remember those things
[00:08:09.600 --> 00:08:12.280]   because they bring about a contrast between two people,
[00:08:12.280 --> 00:08:13.120]   right?
[00:08:13.120 --> 00:08:15.480]   And so he goes, "Hey, let me tell you something.
[00:08:15.480 --> 00:08:16.640]   "Let me tell you a story."
[00:08:16.640 --> 00:08:18.680]   Two men walk into a temple to pray.
[00:08:18.680 --> 00:08:22.600]   There's the Pharisee and there's the tax collector.
[00:08:22.600 --> 00:08:24.840]   We are familiar with these two people
[00:08:24.840 --> 00:08:26.000]   because we've heard about them.
[00:08:26.000 --> 00:08:28.720]   If you've been in church for a certain amount of time,
[00:08:28.720 --> 00:08:30.400]   you will know that these two people,
[00:08:30.400 --> 00:08:31.600]   they represent certain things.
[00:08:31.600 --> 00:08:32.920]   The tax collector is a sinner.
[00:08:32.920 --> 00:08:36.080]   He betrayed his people to get more money.
[00:08:36.080 --> 00:08:38.320]   He worked for the enemy to collect money
[00:08:38.320 --> 00:08:39.720]   and to take a lot for himself.
[00:08:39.720 --> 00:08:41.920]   So we know the tax collector is not a good man.
[00:08:41.920 --> 00:08:43.680]   The Pharisee, we also know is not a good man.
[00:08:43.680 --> 00:08:45.360]   There's songs about not being a Pharisee
[00:08:45.360 --> 00:08:46.720]   and not being a Sadducee.
[00:08:46.720 --> 00:08:51.720]   So we know that the Pharisees are a bunch of stuck up people
[00:08:51.720 --> 00:08:53.720]   in the church that actually Jesus
[00:08:53.720 --> 00:08:55.520]   was very much pushing against.
[00:08:55.520 --> 00:08:56.400]   But here's the thing.
[00:08:56.400 --> 00:08:58.960]   When Jesus was telling this parable,
[00:08:58.960 --> 00:09:02.080]   the listener at the time, the readers at the time,
[00:09:02.080 --> 00:09:03.920]   may not have thought that
[00:09:03.920 --> 00:09:05.880]   because they don't have the benefit of us
[00:09:05.880 --> 00:09:08.400]   having studied the gospels for all these years.
[00:09:08.400 --> 00:09:11.520]   So in some ways, we need to understand
[00:09:11.520 --> 00:09:14.320]   what they were thinking when Jesus was telling the story,
[00:09:14.320 --> 00:09:15.720]   'cause then we can understand
[00:09:15.720 --> 00:09:17.720]   why Jesus was telling the story to them like this.
[00:09:17.720 --> 00:09:19.000]   Does that make sense?
[00:09:19.000 --> 00:09:22.120]   So he says, "Two men walk into a temple to pray,
[00:09:22.120 --> 00:09:23.600]   "a Pharisee and a tax collector."
[00:09:23.600 --> 00:09:25.320]   We know both are bad guys.
[00:09:25.320 --> 00:09:27.800]   We know both are fall short.
[00:09:27.800 --> 00:09:28.800]   But for the people listening,
[00:09:28.800 --> 00:09:30.560]   they would have been like, "Ah, the tax collector.
[00:09:30.560 --> 00:09:33.320]   "Oh, bad guy, we hate tax collectors.
[00:09:33.320 --> 00:09:37.400]   "A Pharisee, oh, influential guy,
[00:09:37.400 --> 00:09:42.280]   "rich guy, disciplined guy, knows his scripture well,
[00:09:42.280 --> 00:09:46.280]   "keeps the law, has a lot of power, looking up to him."
[00:09:46.280 --> 00:09:47.840]   That's what a Pharisee would have been perceived.
[00:09:47.840 --> 00:09:49.800]   I don't know, what's the modern day?
[00:09:49.800 --> 00:09:52.600]   Two men walk in, if I start telling you a joke of some sort,
[00:09:52.600 --> 00:09:54.080]   and it's two men walk into a church,
[00:09:54.080 --> 00:09:56.840]   it's a pastor and a, what's an occupation
[00:09:56.840 --> 00:09:58.720]   that doesn't offend people if I say it?
[00:09:58.720 --> 00:10:01.440]   Oh, that's... (audience laughing)
[00:10:01.440 --> 00:10:03.280]   Two men walk into a church,
[00:10:03.280 --> 00:10:05.600]   a pastor and a used car salesman.
[00:10:05.600 --> 00:10:10.600]   Like, sorry, or insurance salesman or banker.
[00:10:10.600 --> 00:10:13.320]   I'm only saying that 'cause John used to be one.
[00:10:13.320 --> 00:10:14.320]   You get what I mean?
[00:10:14.320 --> 00:10:15.680]   So straight away, if you're sat there,
[00:10:15.680 --> 00:10:17.320]   you're like, "Okay, two men walk into a church,
[00:10:17.320 --> 00:10:19.920]   "a pastor and a used car salesman."
[00:10:19.920 --> 00:10:21.760]   You go, "Oh, please don't be offended, used car salesman.
[00:10:21.760 --> 00:10:24.880]   "I love you, though I do not trust you, absolutely."
[00:10:24.880 --> 00:10:27.600]   You straight away think,
[00:10:27.600 --> 00:10:30.680]   "Okay, I think I know where he's going with this, right?"
[00:10:30.680 --> 00:10:31.880]   And so that's what these people are thinking.
[00:10:31.880 --> 00:10:33.280]   "Okay, he's trying to show us something
[00:10:33.280 --> 00:10:35.640]   "about the tax collector that we need to learn,
[00:10:35.640 --> 00:10:39.320]   "because surely a Pharisee is a very good person."
[00:10:39.320 --> 00:10:41.680]   And he says, "These two people go in and they pray."
[00:10:41.680 --> 00:10:42.960]   And then it carries on.
[00:10:42.960 --> 00:10:44.940]   I am terrible, terrible with the slides.
[00:10:44.940 --> 00:10:45.780]   Sorry, by the way.
[00:10:45.780 --> 00:10:47.680]   Thank you very much for paying attention more than I am.
[00:10:47.680 --> 00:10:48.520]   I'm just gonna give up now.
[00:10:48.520 --> 00:10:49.640]   I'm gonna leave it there.
[00:10:49.640 --> 00:10:52.120]   Verse 11 to 12.
[00:10:52.120 --> 00:10:56.980]   The Pharisee, standing by himself, prayed thus,
[00:10:56.980 --> 00:10:59.880]   "God, I thank you that I am not like other men,
[00:10:59.880 --> 00:11:02.420]   "extortioners, unjust, adulterers,
[00:11:02.420 --> 00:11:04.180]   "or even like this tax collector.
[00:11:04.180 --> 00:11:08.120]   "I fast twice a week, I give tithes of all that I get."
[00:11:08.120 --> 00:11:09.860]   And so this guy is basically saying,
[00:11:09.860 --> 00:11:11.520]   "Hey, thank you."
[00:11:11.520 --> 00:11:13.600]   Now, first of all, he separates himself.
[00:11:13.600 --> 00:11:14.760]   He stands by himself.
[00:11:14.760 --> 00:11:15.880]   And you saw in the video,
[00:11:15.880 --> 00:11:17.680]   he stands in a prominent place in the temple,
[00:11:17.680 --> 00:11:20.600]   then he says, "God, thank you."
[00:11:20.600 --> 00:11:23.020]   By the way, that's the only time he talks to God.
[00:11:23.020 --> 00:11:25.700]   "God," he starts, and then he says,
[00:11:25.700 --> 00:11:29.560]   "Thank you for how amazing I am.
[00:11:30.820 --> 00:11:34.080]   "Thank you, God, that you made me so good."
[00:11:34.080 --> 00:11:36.560]   And he separates himself completely from everyone else.
[00:11:36.560 --> 00:11:38.460]   Now, separates himself just enough
[00:11:38.460 --> 00:11:41.540]   so that other people can still hear him talking.
[00:11:41.540 --> 00:11:43.440]   And so he's like, "I am so glad, God.
[00:11:43.440 --> 00:11:46.560]   "I am so glad that you didn't make me like that.
[00:11:46.560 --> 00:11:50.780]   "I am just so proud that you made me the way I am."
[00:11:50.780 --> 00:11:55.540]   Now, just before I continue to stamp on the Pharisee,
[00:11:55.540 --> 00:11:56.380]   let me tell you something.
[00:11:56.380 --> 00:11:59.120]   There is something that's actually good about them.
[00:11:59.120 --> 00:12:02.200]   The origins of where the Pharisees even came about
[00:12:02.200 --> 00:12:04.560]   is a group of people who looked at society,
[00:12:04.560 --> 00:12:05.400]   looked at culture, and were like,
[00:12:05.400 --> 00:12:08.960]   "We cannot keep following all this.
[00:12:08.960 --> 00:12:11.880]   "Paganism is overtaking our culture.
[00:12:11.880 --> 00:12:14.100]   "Hellenistic beliefs are taking over our culture.
[00:12:14.100 --> 00:12:16.380]   "Gnosticism is taking over our culture.
[00:12:16.380 --> 00:12:17.380]   "We must stand firm.
[00:12:17.380 --> 00:12:18.560]   "We must know the truth.
[00:12:18.560 --> 00:12:19.740]   "We must live the truth.
[00:12:19.740 --> 00:12:21.060]   "We must memorize the truth.
[00:12:21.060 --> 00:12:22.700]   "We must live this way.
[00:12:22.700 --> 00:12:24.260]   "We must be holy.
[00:12:24.260 --> 00:12:26.300]   "We must be set apart."
[00:12:27.200 --> 00:12:29.340]   Those are good things, right?
[00:12:29.340 --> 00:12:31.100]   And so they're saying, "We must be different."
[00:12:31.100 --> 00:12:32.060]   You know what we must be?
[00:12:32.060 --> 00:12:33.840]   We must be in this world,
[00:12:33.840 --> 00:12:35.900]   but we must not be of this world.
[00:12:35.900 --> 00:12:38.720]   Pharisees, fellow Pharisees, gather together.
[00:12:38.720 --> 00:12:41.180]   Let's keep to ourselves because we know the truth,
[00:12:41.180 --> 00:12:43.520]   and we need to live by it to the highest standard
[00:12:43.520 --> 00:12:45.680]   we possibly, possibly can.
[00:12:45.680 --> 00:12:47.340]   That's pretty good, right?
[00:12:47.340 --> 00:12:48.580]   So they are good intentions.
[00:12:48.580 --> 00:12:50.560]   But then somewhere along the line,
[00:12:50.560 --> 00:12:52.580]   and this happens with all of humanity, all of us do this.
[00:12:52.580 --> 00:12:53.860]   We start off with good intentions,
[00:12:53.860 --> 00:12:55.860]   and then it slowly, slowly just starts to go down.
[00:12:55.860 --> 00:12:57.420]   We start off here, and then suddenly
[00:12:57.420 --> 00:12:58.660]   our hearts start to get hard.
[00:12:58.660 --> 00:13:00.500]   And before you know it, what was good intentions
[00:13:00.500 --> 00:13:03.500]   in the first place now have become,
[00:13:03.500 --> 00:13:04.700]   their hearts have become hardened,
[00:13:04.700 --> 00:13:07.020]   and they've become obnoxious.
[00:13:07.020 --> 00:13:08.860]   They were supposed to be set apart,
[00:13:08.860 --> 00:13:12.260]   but now they've set themselves above.
[00:13:12.260 --> 00:13:15.220]   That's the problem.
[00:13:15.220 --> 00:13:16.580]   And that's what pride does.
[00:13:16.580 --> 00:13:18.140]   Pride looks at other people,
[00:13:18.140 --> 00:13:19.500]   and then he starts talking to himself,
[00:13:19.500 --> 00:13:21.900]   and he starts saying, "Hey, I have so many things
[00:13:21.900 --> 00:13:24.220]   "I'm thankful for, God, because of the way you've made me."
[00:13:24.220 --> 00:13:25.940]   He's not talking to God at all.
[00:13:25.940 --> 00:13:28.140]   He's saying, he may have started off saying God,
[00:13:28.140 --> 00:13:29.820]   but then he's really talking to himself.
[00:13:29.820 --> 00:13:32.820]   He's talking for himself, by himself, to himself.
[00:13:32.820 --> 00:13:34.340]   This is all about him.
[00:13:34.340 --> 00:13:37.100]   Now, the good thing is, this is where I do remember,
[00:13:37.100 --> 00:13:38.700]   the good thing is, I'm glad he did that,
[00:13:38.700 --> 00:13:42.140]   because I'm not sure God really had that much to say to him.
[00:13:42.140 --> 00:13:44.780]   D.L. Moody has this thing that says,
[00:13:44.780 --> 00:13:47.140]   "God has nothing to say to the self-righteous."
[00:13:47.140 --> 00:13:49.740]   And so actually, it's very well
[00:13:49.740 --> 00:13:51.020]   that the Pharisee isn't talking to God,
[00:13:51.020 --> 00:13:52.340]   because I don't think God is talking to him,
[00:13:52.340 --> 00:13:53.780]   because God only talks to the people
[00:13:53.780 --> 00:13:54.700]   who are willing to listen,
[00:13:54.700 --> 00:13:58.980]   who humble themselves to be wanting to hear his voice.
[00:13:58.980 --> 00:14:02.100]   But the Pharisees here, they are completely going one way.
[00:14:02.100 --> 00:14:03.940]   He's saying, "I am so disciplined.
[00:14:03.940 --> 00:14:06.020]   "I am so disciplined.
[00:14:06.020 --> 00:14:07.620]   "I fast twice a week."
[00:14:07.620 --> 00:14:10.460]   Do you know how often they actually needed to fast?
[00:14:10.460 --> 00:14:13.220]   Once a year, once a year.
