
[00:00:00.000 --> 00:00:04.760]   - Thanks, Pastor John.
[00:05:47.640 --> 00:05:49.960]   in their drinking parties.
[00:05:49.960 --> 00:05:52.040]   It could be the same temptations to sex,
[00:05:52.040 --> 00:05:54.760]   sensuality, passions, orgies,
[00:05:54.760 --> 00:05:58.400]   or maybe you're pressured to worship idols from your family
[00:05:58.400 --> 00:06:02.320]   or to pray to ancestors in lawless idolatry.
[00:06:02.320 --> 00:06:06.080]   We may be facing similar situations today.
[00:06:07.320 --> 00:06:09.920]   Peter's encouraging the church to remain strong
[00:06:09.920 --> 00:06:11.960]   in fighting sin despite persecution,
[00:06:11.960 --> 00:06:14.320]   despite what suffering might come.
[00:06:14.320 --> 00:06:16.120]   Verses one and two,
[00:06:16.120 --> 00:06:19.480]   for whoever has suffered in the flesh has ceased from sin
[00:06:19.480 --> 00:06:22.200]   so as to live for the rest of the time in the flesh,
[00:06:22.200 --> 00:06:25.360]   no longer for human passions, before the will of God.
[00:06:25.360 --> 00:06:28.720]   Here, whoever has suffered in the flesh
[00:06:28.720 --> 00:06:30.880]   refers to the suffering Christian,
[00:06:30.880 --> 00:06:33.120]   to Christians who suffer as a result
[00:06:33.120 --> 00:06:34.600]   of avoiding sin in this way.
[00:06:34.600 --> 00:06:36.720]   Peter is saying that when we suffer
[00:06:36.720 --> 00:06:38.000]   in a fight against sin,
[00:06:38.000 --> 00:06:40.360]   we demonstrate that we have ceased from sin.
[00:06:40.360 --> 00:06:42.640]   He's not saying that Christians no longer sin,
[00:06:42.640 --> 00:06:44.440]   but we have ceased from sin in the sense
[00:06:44.440 --> 00:06:47.240]   that we are no longer slaves to sin.
[00:06:47.240 --> 00:06:49.400]   We have truly decided to follow the will of God
[00:06:49.400 --> 00:06:53.160]   from the heart rather than to follow human passions.
[00:06:53.160 --> 00:06:55.040]   In that way, we have ceased from sin.
[00:06:55.040 --> 00:06:58.320]   And though we may fail at times in our pursuit for holiness,
[00:06:58.320 --> 00:07:01.000]   when we suffer in a fight against sin,
[00:07:01.000 --> 00:07:02.720]   we've proved that we have been born again.
[00:07:02.720 --> 00:07:04.400]   We proved our faith is genuine
[00:07:04.400 --> 00:07:06.000]   and that we are God's people.
[00:07:06.920 --> 00:07:08.800]   And Peter calls us to fight sin,
[00:07:08.800 --> 00:07:11.640]   pointing to Christ as our example.
[00:07:11.640 --> 00:07:15.200]   Verse one, "Since therefore Christ suffered in the flesh,
[00:07:15.200 --> 00:07:18.040]   arm yourselves the same way of thinking."
[00:07:18.040 --> 00:07:20.720]   And NIV translates this as arm yourselves
[00:07:20.720 --> 00:07:23.560]   with the same attitude, the same attitude as Christ.
[00:07:23.560 --> 00:07:25.400]   This is the grounds for what Peter
[00:07:25.400 --> 00:07:27.080]   is encouraging us to do here.
[00:07:27.080 --> 00:07:30.480]   Peter is calling us to suffer with the same attitude
[00:07:30.480 --> 00:07:33.320]   that Christ had when he suffered.
[00:07:33.320 --> 00:07:35.040]   Now, what's this attitude?
[00:07:35.040 --> 00:07:36.280]   There's much we could talk about,
[00:07:36.280 --> 00:07:39.640]   but one thing to note here is that Jesus endured suffering
[00:07:39.640 --> 00:07:42.240]   by trusting in God and specifically trusting
[00:07:42.240 --> 00:07:44.080]   in God's justice.
[00:07:44.080 --> 00:07:47.560]   Earlier in chapter two, verse 23, it says,
[00:07:47.560 --> 00:07:49.800]   "Jesus committed no sin,
[00:07:49.800 --> 00:07:52.320]   neither was deceit found in his mouth.
[00:07:52.320 --> 00:07:54.720]   When he was reviled, he did not revile in return.
[00:07:54.720 --> 00:07:56.880]   When he suffered, he did not threaten,
[00:07:56.880 --> 00:08:01.040]   but continued entrusting himself to him who judges justly."
[00:08:01.040 --> 00:08:03.880]   Now in this letter, Peter has been hammering home the point
[00:08:03.880 --> 00:08:06.560]   that we have hope because of Christ's suffering.
[00:08:06.560 --> 00:08:07.880]   Through his death and resurrection,
[00:08:07.880 --> 00:08:10.080]   we have been born again to this living hope.
[00:08:10.080 --> 00:08:13.520]   And he calls us to persevere in the face of unjust suffering
[00:08:13.520 --> 00:08:15.800]   through the same attitude that Christ had
[00:08:15.800 --> 00:08:20.360]   when he was also slandered and unjustly treated for our sake.
[00:08:20.360 --> 00:08:21.680]   See, Jesus never sinned,
[00:08:21.680 --> 00:08:24.160]   but Jesus was falsely accused of blasphemy
[00:08:24.160 --> 00:08:25.760]   and treated as a criminal.
[00:08:25.760 --> 00:08:28.600]   He was beaten and mocked because of his obedience to God.
[00:08:28.600 --> 00:08:31.240]   He suffered unjustly because of that.
[00:08:31.240 --> 00:08:33.720]   And in the same way, we also might face suffering
[00:08:33.720 --> 00:08:35.880]   because of our obedience to God.
[00:08:35.880 --> 00:08:38.560]   Jesus was tempted to disobey God's will,
[00:08:38.560 --> 00:08:40.680]   God's plan for our salvation.
[00:08:40.680 --> 00:08:43.920]   He could have called angels to rescue him from the cross,
[00:08:43.920 --> 00:08:47.000]   but instead he chose to obey God perfectly.
[00:08:47.000 --> 00:08:50.120]   He himself bore our sins in his body on the tree
[00:08:50.120 --> 00:08:53.560]   that we might die to sin and live to righteousness.
[00:08:53.560 --> 00:08:56.520]   And in his suffering, Jesus trusted God.
[00:08:56.520 --> 00:08:58.600]   He trusted that God would judge justly
[00:08:58.600 --> 00:09:00.920]   and raise him from the dead, vindicate him.
[00:09:00.920 --> 00:09:02.840]   And he also trusted that his death
[00:09:02.840 --> 00:09:04.440]   would be sufficient to save us,
[00:09:04.440 --> 00:09:06.280]   that God would judge us justly
[00:09:06.280 --> 00:09:08.480]   according to his righteousness.
[00:09:08.480 --> 00:09:12.200]   And that is the hope that drove him to obey God.
[00:09:12.200 --> 00:09:13.520]   Jesus trusted in him.
[00:09:13.520 --> 00:09:17.600]   And here we're called to trust God in the same way,
[00:09:17.600 --> 00:09:19.600]   verses four and five.
[00:09:19.600 --> 00:09:22.640]   They malign you, but they will give an account to him
[00:09:22.640 --> 00:09:25.840]   who is ready to judge the living and the dead.
[00:09:25.840 --> 00:09:27.840]   Here, Peter points us to God's justice
[00:09:27.840 --> 00:09:31.720]   as encouragement to persevere in suffering.
[00:09:31.720 --> 00:09:33.360]   Peter says, "God will bring justice.
[00:09:33.360 --> 00:09:35.480]   He will judge the living and the dead.
[00:09:35.480 --> 00:09:38.020]   We may see evil go unpunished in this life.
[00:09:38.020 --> 00:09:40.120]   Bad people may prosper and live without justice
[00:09:40.120 --> 00:09:41.760]   ever being served to them,
[00:09:41.760 --> 00:09:44.160]   but God will judge the living and dead.
[00:09:44.160 --> 00:09:47.560]   You cannot escape God's judgment, even in death,
[00:09:47.560 --> 00:09:51.120]   or rather I might say more accurately, especially in death.
[00:09:51.120 --> 00:09:52.900]   Those who do not obey God,
[00:09:52.900 --> 00:09:55.360]   those who have not been raised to new life in Christ
[00:09:55.360 --> 00:09:57.080]   will face condemnation.
[00:09:57.080 --> 00:09:59.320]   But we have hope from verse six.
[00:09:59.320 --> 00:10:00.960]   For this is why the gospel is preached
[00:10:00.960 --> 00:10:02.600]   even to those who are dead,
[00:10:02.600 --> 00:10:05.120]   that though judged in the flesh the way people are,
[00:10:05.120 --> 00:10:08.320]   they might live in the spirit the way God does.
[00:10:08.320 --> 00:10:11.040]   You see, Christ died that we might have new life
[00:10:11.040 --> 00:10:14.560]   and the gospel is preached so that we could have this life.
[00:10:14.560 --> 00:10:15.940]   It is through the preaching of the gospel
[00:10:15.940 --> 00:10:18.560]   that we can know Christ and have faith in Christ.
[00:10:18.560 --> 00:10:21.400]   And all who believe in him will be judged as righteous
[00:10:21.400 --> 00:10:23.380]   by the one who judges justly.
[00:10:23.380 --> 00:10:25.340]   That's the good news of the gospel.
[00:10:25.340 --> 00:10:28.520]   And so like Christ, then we can trust God in suffering
[00:10:28.520 --> 00:10:30.620]   and in our fight against sin.
[00:10:30.620 --> 00:10:34.180]   We can trust that God hates sin and that sin leads to death.
[00:10:34.180 --> 00:10:36.120]   And then we can run from the flood of debauchery
[00:10:36.120 --> 00:10:37.600]   that the world tempts us to,
[00:10:37.600 --> 00:10:39.920]   knowing that it is a straight line to death.
[00:10:39.920 --> 00:10:42.100]   And we can also flee from sin with hope,
[00:10:42.100 --> 00:10:45.120]   knowing that God is just and through faith in Christ,
[00:10:45.120 --> 00:10:47.240]   he will count us as righteous.
[00:10:47.240 --> 00:10:49.080]   And though we may be mocked for it,
[00:10:49.080 --> 00:10:50.920]   people might say, why does God care
[00:10:50.920 --> 00:10:52.920]   what two adults do with each other?
[00:10:52.920 --> 00:10:54.440]   And though we may be mocked,
[00:10:54.440 --> 00:10:56.360]   we can fight for holiness with faith,
[00:10:56.360 --> 00:10:58.160]   knowing that we are bound for eternal glory
[00:10:58.160 --> 00:10:59.920]   because of Christ.
[00:10:59.920 --> 00:11:03.640]   So people with hope fights sin by following Christ.
[00:11:03.640 --> 00:11:06.040]   We fight sin by following Christ.
[00:11:06.040 --> 00:11:11.480]   Question for all of you guys, you can type in the chat.
[00:11:11.480 --> 00:11:16.340]   What would you do if today were your last day to live?
[00:11:16.340 --> 00:11:17.640]   Or it's actually kind of late in the evening.
[00:11:17.640 --> 00:11:19.660]   So what would you do if maybe you had one more day to live?
[00:11:19.660 --> 00:11:23.200]   If tomorrow were your last day to live, what would you do?
[00:11:23.200 --> 00:11:25.960]   (pages rustling)
[00:11:25.960 --> 00:11:35.360]   What would you do if it were your last day to live?
[00:11:35.360 --> 00:11:42.640]   Anthony says, have a feast with friends and family.
[00:11:42.640 --> 00:11:45.720]   Also John, gather family, spend it with family.
[00:11:45.720 --> 00:11:46.560]   That's good.
[00:11:46.560 --> 00:11:49.960]   Vincent makes good steak, I heard.
[00:11:49.960 --> 00:11:52.720]   (pages rustling)
[00:11:52.720 --> 00:11:56.560]   Yeah, so those are all good things.
[00:11:56.560 --> 00:12:00.040]   Lots of spending time with family.
[00:12:00.040 --> 00:12:05.460]   Good, yeah.
[00:12:05.460 --> 00:12:09.480]   So Peter also has something to say
[00:12:09.480 --> 00:12:12.440]   about what we should do in light of this.
[00:12:12.440 --> 00:12:15.720]   Here, Peter reminds us that the end is near.
[00:12:15.720 --> 00:12:18.960]   And in light of this, he tells us to stay alert
[00:12:18.960 --> 00:12:20.860]   and to love and serve one another.
[00:12:20.860 --> 00:12:22.320]   This is what Peter calls us to do
[00:12:22.320 --> 00:12:24.480]   in light of the fact that the end is near.
[00:12:24.480 --> 00:12:28.560]   You see in verse seven, the end of all things is at hand.
[00:12:28.560 --> 00:12:30.840]   Therefore be self-controlled and sober minded
[00:12:30.840 --> 00:12:32.400]   for the sake of your prayers.
[00:12:32.400 --> 00:12:35.040]   Above all, keep loving one another earnestly
[00:12:35.040 --> 00:12:37.960]   since love covers a multitude of sins.
[00:12:37.960 --> 00:12:41.960]   Show hospitality with one another without grumbling.
[00:12:41.960 --> 00:12:45.440]   As each has received a gift, use it to serve one another
[00:12:45.440 --> 00:12:48.940]   as good stewards of God's various grace.
[00:12:48.940 --> 00:12:52.360]   So here, Peter says the end of all things is at hand.
[00:12:52.360 --> 00:12:55.520]   And sometimes the end times in our minds
[00:12:55.520 --> 00:12:58.200]   are associated with crazy apocalyptic events
[00:12:58.200 --> 00:13:00.000]   like you might hear in Revelation.
[00:13:00.000 --> 00:13:04.040]   War, famine, pestilence, crazy stuff, things blowing up.
[00:13:04.040 --> 00:13:06.760]   The end times are not just restricted to that.
[00:13:06.760 --> 00:13:09.800]   The New Testament authors, the Bible refers to us right now
[00:13:09.800 --> 00:13:11.600]   as living in the end times.
[00:13:11.600 --> 00:13:13.720]   Jesus brought about the last days
[00:13:13.720 --> 00:13:16.440]   through his life, death, and resurrection.
[00:13:16.440 --> 00:13:17.480]   And this doesn't mean the world
[00:13:17.480 --> 00:13:19.180]   will necessarily end tomorrow.
[00:13:19.180 --> 00:13:21.540]   But Jesus did say that he will return soon
[00:13:21.540 --> 00:13:23.500]   and he will come like a thief in the night,
[00:13:23.500 --> 00:13:27.340]   suddenly a time that we can't predict or expect.
[00:13:27.340 --> 00:13:28.820]   And so naturally we should say
[00:13:28.820 --> 00:13:31.060]   sober minded and self-controlled,
[00:13:31.060 --> 00:13:33.020]   which you might note is the opposite
[00:13:33.020 --> 00:13:34.940]   of the world's flood of debauchery
[00:13:34.940 --> 00:13:36.380]   that they would have us join.
[00:13:36.380 --> 00:13:39.380]   And it's a bit remarkable to me
[00:13:39.380 --> 00:13:42.780]   how really unremarkable Peter's commands are
[00:13:42.780 --> 00:13:44.620]   despite the end being near.
[00:13:44.620 --> 00:13:46.900]   He doesn't say go live your best life now,
[00:13:46.900 --> 00:13:48.840]   have fun, let's go out with a bang,
[00:13:48.840 --> 00:13:50.320]   we're going to Vegas.
[00:13:50.320 --> 00:13:52.120]   No, what does he say?
[00:13:52.120 --> 00:13:55.280]   He says, people of hope, the end is near.
[00:13:55.280 --> 00:13:59.740]   Stay focused, stay alert so that you can pray.
[00:13:59.740 --> 00:14:02.980]   The end is near, therefore love one another.
[00:14:02.980 --> 00:14:05.500]   The end is near, therefore show hospitality
[00:14:05.500 --> 00:14:06.500]   without grumbling.
[00:14:06.500 --> 00:14:09.020]   The end is near, serve one another.
[00:14:09.020 --> 00:14:11.540]   It's interesting to me how commonplace these commands are
[00:14:11.540 --> 00:14:13.280]   that he's saying in light of this.
[00:14:13.280 --> 00:14:15.440]   You might ask, why does he even like bring up the fact
[00:14:15.440 --> 00:14:16.880]   that the end is near here?
[00:14:16.880 --> 00:14:18.900]   He's commanding us to do these everyday things
[00:14:18.900 --> 00:14:20.660]   that we're supposed to do all the time.
[00:14:20.660 --> 00:14:22.360]   We're called to love each other all the time,
[00:14:22.360 --> 00:14:24.920]   we're called to serve each other all the time.
[00:14:24.920 --> 00:14:29.040]   And I think that's really kind of the point here.
[00:14:29.040 --> 00:14:32.560]   The end of all things is to be expected.
[00:14:32.560 --> 00:14:35.480]   The fact that the end of all things is at hand
[00:14:35.480 --> 00:14:39.200]   shouldn't catch us off guard or surprise us.
[00:14:39.200 --> 00:14:42.280]   As people of hope, we should be living at all time,
[00:14:42.280 --> 00:14:45.000]   looking forward to the hope of Christ's return.
[00:14:46.000 --> 00:14:50.840]   Moving on to verse 10, as each has received a gift,
[00:14:50.840 --> 00:14:53.700]   use it to serve one another as good stewards
[00:14:53.700 --> 00:14:55.420]   of God's very grace.
[00:14:55.420 --> 00:14:58.860]   Whoever speaks as one who speaks oracles of God,
[00:14:58.860 --> 00:15:00.740]   whoever serves as one who serves
[00:15:00.740 --> 00:15:02.440]   by the strength that God supplies.
[00:15:02.440 --> 00:15:05.520]   Peter reminds us here of the grace
[00:15:05.520 --> 00:15:08.740]   that God has graciously given us.
[00:15:08.740 --> 00:15:12.860]   He has firstly saved all of us Christians by his grace,
[00:15:12.860 --> 00:15:15.940]   but also God has given us various gifts.
[00:15:15.940 --> 00:15:18.580]   We are one body in Christ with many members
[00:15:18.580 --> 00:15:21.320]   and the members don't all have the same function.
[00:15:21.320 --> 00:15:24.700]   Think for a bit, what gifts has God given you?
[00:15:24.700 --> 00:15:28.700]   Maybe you're good at connecting with others, welcoming them,
[00:15:28.700 --> 00:15:31.060]   or you're good at teaching or at leadership,
[00:15:31.060 --> 00:15:32.700]   encouraging others.
[00:15:32.700 --> 00:15:34.100]   Some are generous givers.
[00:15:34.100 --> 00:15:36.560]   How has God gifted you?
[00:15:36.560 --> 00:15:40.420]   Whatever the way, whatever his very grace is,
[00:15:40.420 --> 00:15:43.500]   he has given you grace for a reason.
[00:15:43.500 --> 00:15:46.520]   That is that we may love and serve one another
[00:15:46.520 --> 00:15:48.300]   and be good stewards of his grace
[00:15:48.300 --> 00:15:51.260]   in light of the fact that the end of all things is at hand.
[00:15:51.260 --> 00:15:53.900]   And also in everything we do,
[00:15:53.900 --> 00:15:56.740]   we should be relying on God's grace.
[00:15:56.740 --> 00:16:01.380]   Verse 11 says, whoever speaks as one who speaks oracles
[00:16:01.380 --> 00:16:05.140]   of God, whoever serves as one who serves
[00:16:05.140 --> 00:16:07.140]   by the strength that God supplies.
[00:16:07.140 --> 00:16:10.340]   We should love and serve one another
[00:16:10.340 --> 00:16:13.260]   and we should do this, we should do everything
[00:16:13.260 --> 00:16:15.700]   by relying on God's strength, on his grace.
[00:16:15.700 --> 00:16:18.740]   And what's the reason that's given for that?
[00:16:18.740 --> 00:16:21.980]   In verse 11, in order that in everything,
[00:16:21.980 --> 00:16:24.860]   God may be glorified through Jesus Christ.
[00:16:24.860 --> 00:16:26.780]   God deserves the glory, right?
[00:16:26.780 --> 00:16:31.780]   To him belong glory and dominion forever and ever, amen.
[00:16:31.780 --> 00:16:33.900]   So we should love and serve by the strength
[00:16:33.900 --> 00:16:37.320]   that God supplies, by his grace, so that God gets the glory.
[00:16:38.860 --> 00:16:40.860]   By glory here, I mean the display
[00:16:40.860 --> 00:16:43.540]   and recognition of God's worth.
[00:16:43.540 --> 00:16:46.180]   He deserves to be regarded as holy.
[00:16:46.180 --> 00:16:50.300]   As we saw earlier, it is God who gave us every good thing.
[00:16:50.300 --> 00:16:52.980]   He created us, he's the only eternal one
[00:16:52.980 --> 00:16:54.540]   and he saved us through Christ.
[00:16:54.540 --> 00:16:57.460]   He brought us out of darkness and into his marvelous light.
[00:16:57.460 --> 00:17:00.860]   And he equipped us by his grace to do the good works
[00:17:00.860 --> 00:17:02.940]   that he prepared for us to do.
[00:17:02.940 --> 00:17:05.980]   And so it's only fitting, it's only right
[00:17:05.980 --> 00:17:08.620]   that we see reality as it truly is
[00:17:08.620 --> 00:17:11.060]   and acknowledge him as our creator and sustainer
[00:17:11.060 --> 00:17:14.180]   because he is the one who has given us this grace.
[00:17:14.180 --> 00:17:17.140]   How do we glorify God?
[00:17:17.140 --> 00:17:19.020]   How does what we do as humans
[00:17:19.020 --> 00:17:21.620]   result in God glorified through Christ?
[00:17:21.620 --> 00:17:26.100]   One way is we glorify him by relying on him.
[00:17:26.100 --> 00:17:28.380]   God is not served by human hands as though
[00:17:28.380 --> 00:17:32.220]   he needed anything, since he himself gives to all mankind
[00:17:32.220 --> 00:17:35.180]   life and breath and everything as it says in Acts.
[00:17:35.180 --> 00:17:37.020]   But rather Isaiah says,
[00:17:37.020 --> 00:17:39.100]   the Lord waits to be gracious to you
