
[00:00:00.000 --> 00:00:07.000]   Alright, how's everybody tonight?
[00:02:16.720 --> 00:02:21.820]   He searched for how to fill his heart with wine, right?
[00:02:21.820 --> 00:02:26.240]   And how, you know, he even tried foolishness, right?
[00:02:26.240 --> 00:02:27.240]   All these things.
[00:02:27.240 --> 00:02:29.880]   He tried experiences.
[00:02:29.880 --> 00:02:32.960]   He wanted to experience things in life.
[00:02:32.960 --> 00:02:35.460]   I work with a lot of young people, right?
[00:02:35.460 --> 00:02:39.460]   And these young people, they grow up and they want to experience life, right?
[00:02:39.460 --> 00:02:41.060]   They want to do the fun things.
[00:02:41.060 --> 00:02:45.240]   They want to do the maybe not so good things.
[00:02:45.240 --> 00:02:46.920]   They've all been there.
[00:02:46.920 --> 00:02:50.680]   They want to experience life.
[00:02:50.680 --> 00:02:55.760]   They want to experience pleasure, laughter, wine.
[00:02:55.760 --> 00:02:58.240]   This preacher talks about wine, maybe drunkenness.
[00:02:58.240 --> 00:02:59.680]   He wants to experience it.
[00:02:59.680 --> 00:03:00.680]   And then foolishness.
[00:03:00.680 --> 00:03:04.320]   He even tries foolishness.
[00:03:04.320 --> 00:03:11.040]   And I also really like experiences, especially sporting experiences.
[00:03:11.040 --> 00:03:18.320]   And this next picture, some of you might be in this picture, next picture after that.
[00:03:18.320 --> 00:03:23.340]   I was visiting UK before all this COVID stuff was happening.
[00:03:23.340 --> 00:03:27.480]   And I went to a Manchester United game.
[00:03:27.480 --> 00:03:32.280]   And then after that, I met up with Pastor John and we went to another game.
[00:03:32.280 --> 00:03:35.980]   And I was like, wow, this is such a great experiences.
[00:03:35.980 --> 00:03:37.720]   And on the way, we did some work.
[00:03:37.720 --> 00:03:39.620]   You know, we met up with some students.
[00:03:39.620 --> 00:03:41.160]   We had some tea.
[00:03:41.160 --> 00:03:44.800]   Yeah, yeah, yeah.
[00:03:44.800 --> 00:03:47.760]   We had such a great experience.
[00:03:47.760 --> 00:03:49.840]   You know, Pastor John took me to this game.
[00:03:49.840 --> 00:03:51.520]   It was a great experience.
[00:03:51.520 --> 00:03:54.080]   But what do I have at the end of it?
[00:03:54.080 --> 00:03:55.920]   What do I have at the end of it?
[00:03:55.920 --> 00:03:58.400]   My team lost Manchester United.
[00:03:58.400 --> 00:03:59.400]   They lost.
[00:03:59.400 --> 00:04:02.240]   I spent all this money to sit front row.
[00:04:02.240 --> 00:04:05.200]   Why are you cheering?
[00:04:05.200 --> 00:04:11.860]   We should be in the Chinese congregation.
[00:04:11.860 --> 00:04:19.140]   My team, I spent all this money to sit behind, not beside, behind the goalie, you know, front
[00:04:19.140 --> 00:04:20.540]   row.
[00:04:20.540 --> 00:04:22.140]   And my team lost.
[00:04:22.140 --> 00:04:26.860]   And there was, you know, the opposing team and they, you know, sort of fence off the
[00:04:26.860 --> 00:04:29.080]   opposing team and the home team.
[00:04:29.080 --> 00:04:33.220]   And the opposing team was like rattling the gate and everything and things were going
[00:04:33.220 --> 00:04:34.220]   crazy.
[00:04:34.220 --> 00:04:38.720]   You know, you know, Jesus was going to come soon, you know, like at that game, like it
[00:04:38.720 --> 00:04:41.500]   was, it was going to go bananas.
[00:04:41.500 --> 00:04:43.380]   My team lost.
[00:04:43.380 --> 00:04:45.820]   And then me and Pastor John went to this game.
[00:04:45.820 --> 00:04:46.820]   Fantastic time.
[00:04:46.820 --> 00:04:48.060]   What do we have to show for it?
[00:04:48.060 --> 00:04:51.700]   Maybe a photo of our great experience.
[00:04:51.700 --> 00:04:53.180]   Vanity.
[00:04:53.180 --> 00:04:54.900]   Pointless.
[00:04:54.900 --> 00:04:57.580]   That's what this preacher is saying.
[00:04:57.580 --> 00:05:02.120]   Experiences, they only last for a moment.
[00:05:02.120 --> 00:05:10.180]   He continues this preacher and says that he's done great works, great, great, amazing houses,
[00:05:10.180 --> 00:05:14.460]   gardens, fruit trees, pools, forests.
[00:05:14.460 --> 00:05:15.460]   Wow.
[00:05:15.460 --> 00:05:16.460]   Amazing.
[00:05:16.460 --> 00:05:18.900]   Can you imagine all these things?
[00:05:18.900 --> 00:05:20.620]   This is like Sim City, right?
[00:05:20.620 --> 00:05:24.180]   Just like maybe he was playing Sim City.
[00:05:24.180 --> 00:05:29.140]   You guys remember that game Sim City where you create a city, roller coasters, and maybe
[00:05:29.140 --> 00:05:32.500]   he was doing this game.
[00:05:32.500 --> 00:05:36.620]   But he also says that this is vanity.
[00:05:36.620 --> 00:05:40.740]   Accomplishments don't satisfy.
[00:05:40.740 --> 00:05:44.140]   Accomplishments don't satisfy.
[00:05:44.140 --> 00:05:49.780]   Back in Toronto, I competed for many years in this race.
[00:05:49.780 --> 00:05:52.440]   Have you guys heard of Amazing Race before?
[00:05:52.440 --> 00:05:57.140]   This is sort of called like a, within the city, it's called City Chase.
[00:05:57.140 --> 00:05:58.860]   And for many years, we competed.
[00:05:58.860 --> 00:06:04.580]   And for like the first couple years, we competed and we only came like third or fourth.
[00:06:04.580 --> 00:06:09.460]   And then we started finding the strategy of how to win.
[00:06:09.460 --> 00:06:13.860]   And we came in first like many years.
[00:06:13.860 --> 00:06:18.180]   And when I achieved that, I still remember, you know, my friend posted.
[00:06:18.180 --> 00:06:25.020]   He was like, "At last, all this hard work is worthwhile."
[00:06:25.020 --> 00:06:28.300]   And I remember texting my mom, "Hey, I came first."
[00:06:28.300 --> 00:06:30.540]   And she's like, "Love you.
[00:06:30.540 --> 00:06:31.880]   Proud of you."
[00:06:31.880 --> 00:06:33.620]   And I'm like, "Yeah, great.
[00:06:33.620 --> 00:06:34.780]   I'm first.
[00:06:34.780 --> 00:06:36.260]   Now what?
[00:06:36.260 --> 00:06:37.260]   Now what?"
[00:06:37.260 --> 00:06:43.580]   And you get first again and get first again.
[00:06:43.580 --> 00:06:45.180]   And now what?
[00:06:45.180 --> 00:06:49.380]   And then your bones and joints are, you know, tired and broken.
[00:06:49.380 --> 00:06:52.460]   Your body's broken.
[00:06:52.460 --> 00:06:54.940]   What next?
[00:06:54.940 --> 00:07:01.620]   Andre Agassi, eight-time Grand Slam tennis winner.
[00:07:01.620 --> 00:07:03.540]   He won the Wimbledon here.
[00:07:03.540 --> 00:07:06.340]   He still had long hair.
[00:07:06.340 --> 00:07:11.900]   And he says this, "Now that I've won a slam, I know something very few people on earth
[00:07:11.900 --> 00:07:13.460]   are permitted to know.
[00:07:13.460 --> 00:07:17.900]   A win doesn't feel as good as a loss feels bad.
[00:07:17.900 --> 00:07:24.180]   And the good feeling doesn't last long, as long as the bad, not even close.
[00:07:24.180 --> 00:07:33.180]   The goal line moved to achieving the number one ranking and lastly, the 1996 gold medal."
[00:07:33.180 --> 00:07:35.980]   Yet he never felt like it was enough.
[00:07:35.980 --> 00:07:41.620]   He says this, "I find it surreal, then perfectly normal.
[00:07:41.620 --> 00:07:46.820]   I'm struck by how fast the surreal becomes the norm.
[00:07:46.820 --> 00:07:53.820]   I marvel at how unexciting it is to be famous, how mundane famous people are.
[00:07:53.820 --> 00:07:59.260]   They're confused, uncertain, insecure, and often hate what they do.
[00:07:59.260 --> 00:08:06.020]   It's something we always hear, like the old adage that money can't buy happiness, but
[00:08:06.020 --> 00:08:12.820]   we never believe it until we see it ourselves."
[00:08:12.820 --> 00:08:21.980]   Andre Agassi won millions of dollars, won eight Grand Slams, but he says, "The good
[00:08:21.980 --> 00:08:29.180]   feeling doesn't last as long as the bad feeling."
[00:08:29.180 --> 00:08:36.900]   The surreal becomes norm, becomes the norm so quickly.
[00:08:36.900 --> 00:08:39.220]   And this is what our preacher is saying.
[00:08:39.220 --> 00:08:41.900]   He's tried experience, he's tried pleasure.
[00:08:41.900 --> 00:08:47.540]   The next thing he tries, well, he buys a lot of male and female slaves.
[00:08:47.540 --> 00:08:50.260]   He has a lot of possessions, right?
[00:08:50.260 --> 00:08:51.260]   And then what does he do?
[00:08:51.260 --> 00:08:56.540]   He gathers a lot of concubines, right?
[00:08:56.540 --> 00:09:03.180]   He's gathered silver, gold, male servants, possessions, and he's gathered concubines.
[00:09:03.180 --> 00:09:04.260]   He tries what?
[00:09:04.260 --> 00:09:10.900]   The next thing he tries to find meaning in life is possessions.
[00:09:10.900 --> 00:09:13.760]   Possessions.
[00:09:13.760 --> 00:09:17.300]   What do you guys like to possess?
[00:09:17.300 --> 00:09:19.140]   What do you guys like to hold?
[00:09:19.140 --> 00:09:21.420]   Is it football jerseys?
[00:09:21.420 --> 00:09:25.020]   Is it, you know, shoes, Kobe shoes?
[00:09:25.020 --> 00:09:26.620]   Is it guitars?
[00:09:26.620 --> 00:09:29.340]   Is it medical equipment?
[00:09:29.340 --> 00:09:30.340]   I don't know.
[00:09:30.340 --> 00:09:31.340]   I'm just looking at Mel.
[00:09:31.340 --> 00:09:36.420]   I'm just thinking what she collects.
[00:09:36.420 --> 00:09:43.060]   Medical equipment.
[00:09:43.060 --> 00:09:45.900]   Possessions don't satisfy.
[00:09:45.900 --> 00:09:50.740]   Lushly desires don't satisfy.
[00:09:50.740 --> 00:09:54.620]   We get disappointed in relationships.
[00:09:54.620 --> 00:09:57.820]   Relationships sometimes don't last.
[00:09:57.820 --> 00:10:01.980]   Sometimes it's not a happy ever after.
[00:10:01.980 --> 00:10:05.980]   King Solomon is a great example of this.
[00:10:05.980 --> 00:10:11.220]   Now the reason why a lot of people think King Solomon wrote this book is because a lot of
[00:10:11.220 --> 00:10:13.380]   this chapter too, right?
[00:10:13.380 --> 00:10:14.700]   He's possessed everything.
[00:10:14.700 --> 00:10:18.900]   He's tried everything, right?
[00:10:18.900 --> 00:10:23.000]   King Solomon, known for his wisdom.
[00:10:23.000 --> 00:10:24.740]   He prayed, "God, I'm so young.
[00:10:24.740 --> 00:10:25.940]   I can't do this job.
[00:10:25.940 --> 00:10:27.420]   I can't be king.
[00:10:27.420 --> 00:10:29.660]   God, can you help me?"
[00:10:29.660 --> 00:10:31.660]   And what does God do?
[00:10:31.660 --> 00:10:39.060]   God grants him the wisdom to do the thing that he's called him to do.
[00:10:39.060 --> 00:10:43.340]   And yet Solomon was also blessed with money.
[00:10:43.340 --> 00:10:45.620]   Do you know how much money he actually had?
[00:10:45.620 --> 00:10:47.140]   Let's look at it.
[00:10:47.140 --> 00:10:55.180]   Every year, King Solomon received over 25 tons of gold in addition to taxes paid by
[00:10:55.180 --> 00:10:56.180]   merchants.
[00:10:56.180 --> 00:11:01.340]   That's around 666 talents of gold.
[00:11:01.340 --> 00:11:03.020]   How much gold is that?
[00:11:03.020 --> 00:11:06.620]   Is anybody wearing 66 talents of gold?
[00:11:06.620 --> 00:11:07.620]   No?
[00:11:07.620 --> 00:11:08.620]   Nobody?
[00:11:08.620 --> 00:11:09.620]   Okay.
[00:11:09.620 --> 00:11:12.620]   Even the queen, I think, is wearing it right now.
[00:11:12.620 --> 00:11:14.020]   Okay.
[00:11:14.020 --> 00:11:19.260]   One talent of gold is worth, next slide, 75 pounds.
[00:11:19.260 --> 00:11:21.260]   And 75 pounds, okay?
[00:11:21.260 --> 00:11:27.940]   So one talent of gold in today's worth is around $1.6 million.
[00:11:27.940 --> 00:11:31.040]   $1.6 million.
[00:11:31.040 --> 00:11:36.620]   So how many talents of gold did he receive yearly?
[00:11:36.620 --> 00:11:40.340]   666 talents of gold.
[00:11:40.340 --> 00:11:43.300]   So how much money did he usually make?
[00:11:43.300 --> 00:11:47.780]   Around 1.1 billion a year.
[00:11:47.780 --> 00:11:51.020]   Does anybody make $1.1 billion here?
[00:11:51.020 --> 00:11:52.020]   Is Hank here?
[00:11:52.020 --> 00:11:53.020]   Is Hank here?
[00:11:53.020 --> 00:11:54.020]   No?
[00:11:54.020 --> 00:11:55.020]   Hank's not here?
[00:11:55.020 --> 00:11:56.020]   He skipped this talk.
[00:11:56.020 --> 00:11:57.020]   Yeah, he didn't want to raise his hand.
[00:11:57.020 --> 00:11:58.020]   I'm joking.
[00:11:58.020 --> 00:11:59.020]   His wife is here.
[00:11:59.020 --> 00:12:00.020]   Okay.
[00:12:00.020 --> 00:12:07.020]   I think it's USD.
[00:12:07.020 --> 00:12:10.020]   USD.
[00:12:10.020 --> 00:12:13.580]   1.1 billion.
[00:12:13.580 --> 00:12:15.140]   And he reigned for how many years?
[00:12:15.140 --> 00:12:17.580]   Around 40 years.
[00:12:17.580 --> 00:12:20.500]   Can you imagine how rich that was?
[00:12:20.500 --> 00:12:21.580]   That's crazy rich.
[00:12:21.580 --> 00:12:23.080]   What do you do with so much gold?
[00:12:23.080 --> 00:12:24.860]   You just like sleep in it.
[00:12:24.860 --> 00:12:29.540]   I think Mayweather has a toilet, you know, that's golden.
[00:12:29.540 --> 00:12:30.540]   Right?
[00:12:30.540 --> 00:12:36.220]   Maybe that's what Solomon did, had like golden toilet bowls, right?
[00:12:36.220 --> 00:12:37.980]   So he had all the money in the world.
[00:12:37.980 --> 00:12:39.940]   He had all the wisdom in the world.
[00:12:39.940 --> 00:12:43.460]   And because of that, he was so famous, people came to visit him.
[00:12:43.460 --> 00:12:46.180]   "Oh, I want to see Solomon, you know, perform."
[00:12:46.180 --> 00:12:48.220]   You know, like it was like a wisdom show.
[00:12:48.220 --> 00:12:49.340]   It was not a magic show.
[00:12:49.340 --> 00:12:50.700]   It was a wisdom show.
[00:12:50.700 --> 00:12:51.700]   Right?
[00:12:51.700 --> 00:12:53.660]   In addition to that, what did he try?
[00:12:53.660 --> 00:12:55.180]   He tried relationships.
[00:12:55.180 --> 00:12:58.540]   Oh, did he try relationships.
[00:12:58.540 --> 00:13:05.100]   Anybody have 700 wives and 300 concubines here?
[00:13:05.100 --> 00:13:10.020]   No, once enough, Pastor John says.
[00:13:10.020 --> 00:13:15.540]   700 wives and 300 concubines.
[00:13:15.540 --> 00:13:18.660]   Man, those were busy nights, huh?
[00:13:18.660 --> 00:13:19.660]   Very busy nights.
[00:13:19.660 --> 00:13:21.540]   How do you set up a schedule, you know?
[00:13:21.540 --> 00:13:26.140]   We have enough problems with our preaching schedule.
[00:13:26.140 --> 00:13:28.740]   How do you set a schedule like this?
[00:13:28.740 --> 00:13:32.300]   Anyways, all right.
[00:13:32.300 --> 00:13:35.060]   Solomon O'Solomon.
[00:13:35.060 --> 00:13:37.740]   And so, let's see what the preacher says here.
[00:13:37.740 --> 00:13:41.060]   So he sort of concludes here, this first part of his talk.
[00:13:41.060 --> 00:13:45.620]   "So I became great and surpassed all who were before me in Jerusalem.
[00:13:45.620 --> 00:13:52.960]   Also my wisdom remained with me and whatever my eyes desired, I did not keep from them.
[00:13:52.960 --> 00:13:56.220]   I kept from my heart no pleasure.
[00:13:56.220 --> 00:14:03.020]   My heart found pleasure in all my toil and this was my reward for all my toil.
[00:14:03.020 --> 00:14:09.820]   Then I considered all that my hands had done and the toil or the work that I had expended
[00:14:09.820 --> 00:14:13.180]   on doing it and behold, all was vanity.
[00:14:13.180 --> 00:14:15.820]   A striving after the wind.
[00:14:15.820 --> 00:14:18.860]   There was nothing to be gained under the sun."
[00:14:18.860 --> 00:14:31.660]   Man, he tried so hard to find meaning in life, in experiences, in pleasure, in possessions,
[00:14:31.660 --> 00:14:36.420]   in relationships, in fame, in all those fleshly desires.
[00:14:36.420 --> 00:14:43.700]   And at the end of it, he considered, imagine himself sitting at the beach, looking at the
[00:14:43.700 --> 00:14:45.460]   horizon.
[00:14:45.460 --> 00:14:47.300]   What have I done?
[00:14:47.300 --> 00:14:50.820]   And he's like, "I've done nothing.
[00:14:50.820 --> 00:14:52.300]   Nothing."
[00:14:52.300 --> 00:14:59.780]   Jim Carrey, one of my favorite actors, he says this, "I think everybody should get rich
[00:14:59.780 --> 00:15:09.260]   and famous and do everything they ever dreamed of so they can see that it's not the answer.
[00:15:09.260 --> 00:15:12.420]   That it's not the answer."
[00:15:12.420 --> 00:15:14.620]   So he tried pleasure.
[00:15:14.620 --> 00:15:18.460]   He tried pleasure.
[00:15:18.460 --> 00:15:23.860]   What have you tried to find the meaning of life in?
[00:15:23.860 --> 00:15:25.940]   What kind of pleasure?
[00:15:25.940 --> 00:15:27.140]   Is it experiences?
[00:15:27.140 --> 00:15:29.100]   Is it accomplishments?
[00:15:29.100 --> 00:15:30.220]   Is it possessions?
[00:15:30.220 --> 00:15:33.260]   Is it fleshly desires?
[00:15:33.260 --> 00:15:36.920]   Where has it led you?
[00:15:36.920 --> 00:15:44.400]   After an endless chasing, like endless chasing for the next iPhone.
[00:15:44.400 --> 00:15:45.640]   You get it.
[00:15:45.640 --> 00:15:47.600]   And then it's like, "Oh, it's nice."
[00:15:47.600 --> 00:15:49.440]   For a week.
[00:15:49.440 --> 00:15:52.480]   And then it's like, "When's the next one coming out?"
[00:15:52.480 --> 00:15:55.120]   And then you spend another, how much is it now?
[00:15:55.120 --> 00:15:56.120]   9,000?
[00:15:56.120 --> 00:15:57.120]   10,000?
[00:15:57.120 --> 00:15:58.680]   If you get pro or something?
[00:15:58.680 --> 00:16:04.040]   Yeah, have fun.
[00:16:04.040 --> 00:16:10.960]   The second reason why he's disgusted with life, he says wisdom is meaningless.
[00:16:10.960 --> 00:16:13.080]   Wisdom is meaningless.
[00:16:13.080 --> 00:16:15.240]   Let's continue to read.
[00:16:15.240 --> 00:16:20.120]   So I turned to consider wisdom and madness and fully or foolishness.
[00:16:20.120 --> 00:16:24.480]   For what can a man do who comes after the king?
[00:16:24.480 --> 00:16:26.860]   Only what has already been done.
[00:16:26.860 --> 00:16:32.480]   Then I saw that there is more gain in wisdom than in fully.
[00:16:32.480 --> 00:16:36.360]   As there is more gain in light than in darkness.
[00:16:36.360 --> 00:16:39.840]   The wise person has his eyes in his head.
[00:16:39.840 --> 00:16:43.080]   But a fool walks in darkness.
[00:16:43.080 --> 00:16:47.240]   Yet I perceived that the same event happens to all of them.
[00:16:47.240 --> 00:16:53.840]   Then I said in my heart, "What happens to the fool will also happen to me also."
[00:16:53.840 --> 00:16:57.840]   Why then have I been so very wise?
[00:16:57.840 --> 00:17:01.940]   So I said in my heart that all this is also vanity.
[00:17:01.940 --> 00:17:09.200]   For of the wise, as of the fool, there is no enduring remembrance.
[00:17:09.200 --> 00:17:18.200]   Seeing that in the days to come, all will have been long forgotten.
[00:17:18.200 --> 00:17:22.160]   So the preacher continues and says, he tries wisdom.
[00:17:22.160 --> 00:17:24.680]   And he's thinking about, yeah, wisdom, it's good.
[00:17:24.680 --> 00:17:27.760]   I live a wise life.
[00:17:27.760 --> 00:17:32.500]   And he says, oh, it's good, because the wise, they have their eyes and their heads.
[00:17:32.500 --> 00:17:35.220]   The fools, they're sort of blind.
[00:17:35.220 --> 00:17:37.740]   They don't know where they're walking.
[00:17:37.740 --> 00:17:41.340]   Have you guys been hiking before or been on vacation?
[00:17:41.340 --> 00:17:48.480]   And somebody has led this trip or this hike, and they have no idea where they're going.
[00:17:48.480 --> 00:17:49.920]   Who enjoys it?
[00:17:49.920 --> 00:17:52.580]   Who enjoys that sense of adventure?
[00:17:52.580 --> 00:17:54.620]   Anybody enjoy it?
[00:17:54.620 --> 00:17:57.140]   No, you feel like you have no idea.
[00:17:57.140 --> 00:17:59.940]   You feel like you've lost your sense of purpose.
[00:17:59.940 --> 00:18:03.100]   You feel like you're lost.
[00:18:03.100 --> 00:18:05.460]   This is what Solomon is saying.
[00:18:05.460 --> 00:18:06.940]   The wise, they could see.
[00:18:06.940 --> 00:18:10.500]   They can know exactly where they're going.
[00:18:10.500 --> 00:18:13.700]   The fools, they're just blindly bumping into things.
[00:18:13.700 --> 00:18:16.780]   They don't know where they're going.
[00:18:16.780 --> 00:18:22.100]   But at the end of it all, what happens to both of them?
[00:18:22.100 --> 00:18:27.580]   Both of them have the same result.
[00:18:27.580 --> 00:18:33.100]   Death makes life meaningless.
[00:18:33.100 --> 00:18:35.540]   Both have the same fate.
[00:18:35.540 --> 00:18:40.900]   Both will not be remembered long.
[00:18:40.900 --> 00:18:44.380]   And so he's like, wisdom.
[00:18:44.380 --> 00:18:47.460]   I think I prefer wisdom over foolishness.
[00:18:47.460 --> 00:18:54.300]   But at the end of the day, we have the same fate.
[00:18:54.300 --> 00:18:59.500]   And that's what he says makes it meaningless.
[00:18:59.500 --> 00:19:02.980]   Who are some people you remember in history?
[00:19:02.980 --> 00:19:03.980]   Name some out.
[00:19:03.980 --> 00:19:08.540]   Some people you remember in history.
[00:19:08.540 --> 00:19:10.140]   Alexander the Great.
[00:19:10.140 --> 00:19:12.180]   Colby Bryan.
[00:19:12.180 --> 00:19:14.460]   Who else?
[00:19:14.460 --> 00:19:16.220]   Abraham Lincoln.
[00:19:16.220 --> 00:19:18.620]   Winston Churchill.
[00:19:18.620 --> 00:19:21.180]   All these people are great.
[00:19:21.180 --> 00:19:26.660]   They're remembered for their basketball playing, their conquering, their leadership.
[00:19:26.660 --> 00:19:34.060]   But yet there's all these other people that were fools or very evil, and yet we still
[00:19:34.060 --> 00:19:37.580]   remember their names as well.
[00:19:37.580 --> 00:19:45.420]   And so this is why the preacher says wisdom is meaningless.
[00:19:45.420 --> 00:19:51.460]   The great people, the good people, they die.
[00:19:51.460 --> 00:19:55.460]   The evil, the dumb people, they also die.
[00:19:55.460 --> 00:19:59.580]   How long we remember their name, who knows?
[00:19:59.580 --> 00:20:02.260]   Who knows?
[00:20:02.260 --> 00:20:04.300]   Pleasure is meaningless.
[00:20:04.300 --> 00:20:05.540]   Wisdom is meaningless.
[00:20:05.540 --> 00:20:08.660]   The third thing he talks about is work.
[00:20:08.660 --> 00:20:10.300]   Who loves their work?
[00:20:10.300 --> 00:20:13.460]   I know Joseph loves their work, his work.
[00:20:13.460 --> 00:20:14.580]   Joseph loves his work.
[00:20:14.580 --> 00:20:15.700]   Michelle loves his work.
[00:20:15.700 --> 00:20:16.700]   What do you do, sir?
[00:20:16.700 --> 00:20:19.300]   I'm a jewelry designer.
[00:20:19.300 --> 00:20:21.180]   Jewelry designer, very good.
[00:20:21.180 --> 00:20:24.220]   He loves his work.
[00:20:24.220 --> 00:20:29.020]   Let's see what the preacher says about work.
[00:20:29.020 --> 00:20:35.420]   I hated all my toil in which I toil under the sun, seeing that I must leave it to the
[00:20:35.420 --> 00:20:38.100]   man who will come after me.
[00:20:38.100 --> 00:20:44.300]   And who knows whether he will be wise or a fool, yet he will be the master of all of
[00:20:44.300 --> 00:20:48.300]   which I toiled and used my wisdom under the sun.
[00:20:48.300 --> 00:20:53.860]   This also is vanity.
[00:20:53.860 --> 00:21:00.860]   What's the point when I work so hard, I design all that jewelry, I design all those interior
[00:21:00.860 --> 00:21:07.700]   buildings, when I build into all these people at church, what's the point?
[00:21:07.700 --> 00:21:15.060]   All this work, all this money that I've saved, when it just goes to the person after me.
[00:21:15.060 --> 00:21:23.620]   And who knows whether the person after me will be a fool or a wise person.
[00:21:23.620 --> 00:21:26.640]   You don't know what they're going to do with their money.
[00:21:26.640 --> 00:21:31.740]   What is the best biblical example of this?
[00:21:31.740 --> 00:21:33.940]   What's the best biblical example of this?
[00:21:33.940 --> 00:21:37.860]   The prodigal son.
[00:21:37.860 --> 00:21:43.260]   The prodigal son, very disrespectfully, when his dad was still alive, was like, "Give me
[00:21:43.260 --> 00:21:44.500]   my inheritance.
[00:21:44.500 --> 00:21:45.620]   Give me my inheritance.
[00:21:45.620 --> 00:21:48.700]   Give me a third of all you own."
[00:21:48.700 --> 00:21:53.420]   Because he was the younger son, the elder son got two thirds, double portion, if you
[00:21:53.420 --> 00:21:55.800]   know the Old Testament.
[00:21:55.800 --> 00:21:56.800]   And what does he do?
[00:21:57.200 --> 00:22:01.840]   He's like, "Yeah, I'm going to invest it in Bitcoin."
[00:22:01.840 --> 00:22:04.160]   And then it just plummets.
[00:22:04.160 --> 00:22:07.360]   And then he wastes it on wild living.
[00:22:07.360 --> 00:22:11.400]   Woo, you know?
[00:22:11.400 --> 00:22:13.600]   And then what happens?
[00:22:13.600 --> 00:22:14.600]   He's broke.
[00:22:14.600 --> 00:22:15.600]   Right?
[00:22:15.600 --> 00:22:23.160]   Bitcoin fell down and all his money he spent doing woo, just took all his money.
[00:22:23.160 --> 00:22:25.320]   And he was left with the pigs.
[00:22:25.320 --> 00:22:26.320]   Right?
[00:22:26.320 --> 00:22:30.120]   He was just like, "Hey, pal, how you doing?"
[00:22:30.120 --> 00:22:31.760]   He had some pets.
[00:22:31.760 --> 00:22:38.720]   And that's when he realized, "I got to go back to my father.
[00:22:38.720 --> 00:22:40.720]   He still can hire me to be his servant."
[00:22:40.720 --> 00:22:43.960]   Right?
[00:22:43.960 --> 00:22:47.240]   And that's what the preacher is saying.
[00:22:47.240 --> 00:22:54.960]   What's the point of storing up all this money when you don't know who it's going to go to?
[00:22:54.960 --> 00:23:01.720]   And whether this person could be your children would be wise or fools.
[00:23:01.720 --> 00:23:03.720]   Right?
[00:23:03.720 --> 00:23:09.000]   And so he also says this, "Work is grief and pain.
[00:23:09.000 --> 00:23:15.080]   Even at night, our minds do not rest."
[00:23:15.080 --> 00:23:17.840]   Work is vanity.
[00:23:17.840 --> 00:23:21.000]   Because even when we're asleep, we can't even sleep.
[00:23:21.000 --> 00:23:22.360]   We're just constantly working.
