
[00:00:00.000 --> 00:00:20.000]  臨近封面的「臨近封面」詩詞
[00:13:16.000 --> 00:13:19.000]  這個見證上帝的可畏
[00:13:19.000 --> 00:13:21.000]  《利未記》第八章都說了
[00:13:21.000 --> 00:13:25.000]  這一班祭司他們受聖職的時候
[00:13:25.000 --> 00:13:29.000]  他們已經很清楚這些規矩
[00:13:29.000 --> 00:13:32.000]  很可惜這兩個阿倫的兒子
[00:13:32.000 --> 00:13:35.000]  就是沒有聽到神的話
[00:13:35.000 --> 00:13:40.000]  所以他們自己遭到很大的懲罰
[00:13:40.000 --> 00:13:43.000]  第二點我們看到在第二段落
[00:13:43.000 --> 00:13:44.000]  5到13節
[00:13:44.000 --> 00:13:47.000]  是神揀選替代這班投生的
[00:13:47.000 --> 00:13:49.000]  神吩咐摩西說
[00:13:49.000 --> 00:13:51.000]  你叫利未支派近前來
[00:13:51.000 --> 00:13:55.000]  站在阿倫祭司面前侍候他
[00:13:55.000 --> 00:13:59.000]  他們要替他代替阿倫祭司
[00:13:59.000 --> 00:14:01.000]  和代替傳會眾
[00:14:01.000 --> 00:14:03.000]  即是以色列人
[00:14:03.000 --> 00:14:05.000]  在會幕前去執行任務
[00:14:05.000 --> 00:14:07.000]  辦理帳幕所有的一切的事
[00:14:07.000 --> 00:14:09.000]  包括那些器具
[00:14:09.000 --> 00:14:11.000]  為以色列人執行任務
[00:14:11.000 --> 00:14:13.000]  辦理帳幕的事
[00:14:13.000 --> 00:14:15.000]  第九節他跟著說
[00:14:15.000 --> 00:14:18.000]  你要擺利未人給阿倫和他的兒子
[00:14:18.000 --> 00:14:20.000]  他們是從以色列人中選出來的
[00:14:20.000 --> 00:14:22.000]  完全給他的
[00:14:22.000 --> 00:14:25.000]  你要指派阿倫和他的兒子
[00:14:25.000 --> 00:14:27.000]  謹守祭司的職份
[00:14:27.000 --> 00:14:30.000]  近前來的愛人必被處死
[00:14:30.000 --> 00:14:33.000]  等一下我會有一個平面圖給大家
[00:14:33.000 --> 00:14:35.000]  再一次提醒大家
[00:14:35.000 --> 00:14:38.000]  會幕就是他們紮營的中心的地方
[00:14:38.000 --> 00:14:40.000]  所有十二個支派
[00:14:40.000 --> 00:14:42.000]  都圍繞著這個會幕
[00:14:42.000 --> 00:14:44.000]  他們來到去生活
[00:14:44.000 --> 00:14:48.000]  而他們就不能夠
[00:14:48.000 --> 00:14:50.000]  你是神的子民
[00:14:50.000 --> 00:14:52.000]  我要進去聖所
[00:14:52.000 --> 00:14:53.000]  都不可以的
[00:14:53.000 --> 00:14:54.000]  他們是由祭司
[00:14:54.000 --> 00:14:56.000]  由利未人
[00:14:56.000 --> 00:14:57.000]  他們進入聖所
[00:14:57.000 --> 00:14:59.000]  將祭物獻上
[00:14:59.000 --> 00:15:03.000]  而大祭司只能一年一次進入至聖所
[00:15:03.000 --> 00:15:05.000]  全部有規條的
[00:15:05.000 --> 00:15:07.000]  這為了要讓人明白
[00:15:07.000 --> 00:15:09.000]  我們有罪的人
[00:15:09.000 --> 00:15:11.000]  不能直接去到神的面前
[00:15:11.000 --> 00:15:13.000]  但今天我們新約的教會不同
[00:15:13.000 --> 00:15:16.000]  因為主耶穌成為這個被殺的羔羊
[00:15:16.000 --> 00:15:18.000]  我們今天可以每天
[00:15:18.000 --> 00:15:21.000]  不單止只是星期六
[00:15:21.000 --> 00:15:23.000]  星期日你回來聖殿敬拜
[00:15:23.000 --> 00:15:25.000]  我們每天的靈修
[00:15:25.000 --> 00:15:26.000]  我們的祈禱
[00:15:26.000 --> 00:15:29.000]  你已經是直接去到上帝的私人座前
[00:15:29.000 --> 00:15:31.000]  是因為主耶穌的緣故
[00:15:31.000 --> 00:15:33.000]  所以讓我們明白
[00:15:33.000 --> 00:15:36.000]  今天我們都是要按規矩
[00:15:36.000 --> 00:15:37.000]  好好
[00:15:37.000 --> 00:15:40.000]  我們在我們的侍奉的背後
[00:15:40.000 --> 00:15:43.000]  必須有這種敬虔的操練
[00:15:43.000 --> 00:15:46.000]  如果我們今天是在教會
[00:15:46.000 --> 00:15:47.000]  很忙碌去侍奉
[00:15:47.000 --> 00:15:50.000]  但你完全是沒有祈禱的
[00:15:50.000 --> 00:15:51.000]  你每天沒有去讀聖經
[00:15:51.000 --> 00:15:53.000]  去親近主的時候
[00:15:53.000 --> 00:15:54.000]  我告訴你
[00:15:54.000 --> 00:15:56.000]  你很快會耗盡
[00:15:56.000 --> 00:15:58.000]  你那種旅途
[00:15:58.000 --> 00:16:00.000]  你沒有力量
[00:16:00.000 --> 00:16:04.000]  你很快就會耗盡自己
[00:16:04.000 --> 00:16:07.000]  然後你可能怨聲載道
[00:16:07.000 --> 00:16:09.000]  你很多時候就會看不順眼
[00:16:09.000 --> 00:16:11.000]  你覺得我做得比他好
[00:16:11.000 --> 00:16:13.000]  為什麼他還可以繼續做呢
[00:16:13.000 --> 00:16:15.000]  你就在這裡
[00:16:15.000 --> 00:16:18.000]  來去引致很多不應該有的
[00:16:18.000 --> 00:16:21.000]  這些的真淨 疾度
[00:16:21.000 --> 00:16:23.000]  這些所有的事情發生
[00:16:23.000 --> 00:16:24.000]  我們要感謝神
[00:16:24.000 --> 00:16:26.000]  神是揀選利未人
[00:16:26.000 --> 00:16:29.000]  去代替這些投生是有意思的
[00:16:29.000 --> 00:16:30.000]  我們一起讀一下
[00:16:30.000 --> 00:16:32.000]  11到13節
[00:16:32.000 --> 00:17:01.000]  (念句)
[00:17:01.000 --> 00:17:06.000]  在這段經文裡面
[00:17:06.000 --> 00:17:08.000]  我們可以看到
[00:17:08.000 --> 00:17:36.000]  (念句)
[00:17:36.000 --> 00:17:38.000]  神說今夜我們要將你們
[00:17:38.000 --> 00:17:41.000]  帶出埃及地
[00:17:41.000 --> 00:17:43.000]  為奴之家
[00:17:43.000 --> 00:17:45.000]  你們將你們所預備的
[00:17:45.000 --> 00:17:46.000]  這個如月節
[00:17:46.000 --> 00:17:49.000]  那個羔羊宰殺之後的血
[00:17:49.000 --> 00:17:53.000]  就塗在你們的門口
[00:17:53.000 --> 00:17:55.000]  門徽上面
[00:17:55.000 --> 00:17:57.000]  滅命的天使走過你家
[00:17:57.000 --> 00:17:59.000]  就不會進去了
[00:17:59.000 --> 00:18:01.000]  但是所有埃及人
[00:18:01.000 --> 00:18:03.000]  就不知道這件事
[00:18:03.000 --> 00:18:04.000]  他們所有埃及家
[00:18:04.000 --> 00:18:06.000]  包括法老王的家
[00:18:06.000 --> 00:18:08.000]  所有的長子
[00:18:08.000 --> 00:18:10.000]  連同那些生畜
[00:18:10.000 --> 00:18:11.000]  所有投生的
[00:18:11.000 --> 00:18:13.000]  全部當夜死了
[00:18:13.000 --> 00:18:14.000]  死了
[00:18:14.000 --> 00:18:17.000]  這個是上帝在十災裡頭
[00:18:17.000 --> 00:18:18.000]  最後一災
[00:18:18.000 --> 00:18:21.000]  這個災是要他們認識到
[00:18:21.000 --> 00:18:25.000]  神是要救贖他的子民
[00:18:25.000 --> 00:18:28.000]  而這些以色列人的長子
[00:18:28.000 --> 00:18:30.000]  被買贖之後
[00:18:30.000 --> 00:18:33.000]  他們是要歸耶和圍聖的
[00:18:33.000 --> 00:18:35.000]  但是出了埃及之後
[00:18:35.000 --> 00:18:38.000]  神在這裡吩咐摩西
[00:18:38.000 --> 00:18:41.000]  現在由利美人去代替
[00:18:41.000 --> 00:18:44.000]  這些所有以色列人的長子
[00:18:44.000 --> 00:18:45.000]  是有原因的
[00:18:45.000 --> 00:18:49.000]  當我再去研究這段經文的時候
[00:18:49.000 --> 00:18:52.000]  我看到是有一個背景
[00:18:52.000 --> 00:18:54.000]  這個背景就是
[00:18:54.000 --> 00:18:56.000]  在當時他們近東的地方
[00:18:56.000 --> 00:19:00.000]  他們是有一種所謂文化
[00:19:00.000 --> 00:19:02.000]  這個文化和我們中國人
[00:19:02.000 --> 00:19:06.000]  那種祭祖觀念是極為相似
[00:19:06.000 --> 00:19:10.000]  他們就是所有那些家庭的長子
[00:19:10.000 --> 00:19:14.000]  要去為死去的先人去奠酒
[00:19:14.000 --> 00:19:23.000]  然後他們就來對那些去世的祖宗亡魂
[00:19:23.000 --> 00:19:25.000]  他們就去膜拜
[00:19:25.000 --> 00:19:30.000]  就求他們來所謂保佑他們家宅安寧
[00:19:30.000 --> 00:19:33.000]  是不是和我們祭祖的觀念很相似
[00:19:33.000 --> 00:19:36.000]  其實這一種就不合神的心意
[00:19:36.000 --> 00:19:39.000]  神說你們不可以在祂的之外
[00:19:39.000 --> 00:19:41.000]  設立偶像
[00:19:41.000 --> 00:19:43.000]  包括祭祖這件事
[00:19:43.000 --> 00:19:47.000]  所以長子是要負起每個家庭
[00:19:47.000 --> 00:19:49.000]  祭祖的責任
[00:19:49.000 --> 00:19:52.000]  將他們變成家臣這件事
[00:19:52.000 --> 00:19:57.000]  是上帝完全是要責備和要廢除的
[00:19:57.000 --> 00:20:00.000]  祭祖這件事我們今天我們基督徒
[00:20:00.000 --> 00:20:03.000]  我們說我們是神宗追遠
[00:20:03.000 --> 00:20:08.000]  我們可以就算擺爺爺奶奶過身
[00:20:08.000 --> 00:20:10.000]  祂的照片在家裡行不行呢
[00:20:10.000 --> 00:20:13.000]  可以 但你不是當祂是神明這樣拜
[00:20:13.000 --> 00:20:16.000]  我們可以擺一束鮮花在這裡
[00:20:16.000 --> 00:20:18.000]  我們會悼念祂
[00:20:18.000 --> 00:20:22.000]  我們將祂過去在世的一些佳言美行
[00:20:22.000 --> 00:20:25.000]  成為我們後世的子孫一個榜樣
[00:20:25.000 --> 00:20:30.000]  但是我們絕不能當祂是神明這樣來膜拜
[00:20:30.000 --> 00:20:31.000]  這個就不能了
[00:20:31.000 --> 00:20:37.000]  而利美人現在授權獲得長子的名分
[00:20:37.000 --> 00:20:42.000]  就是要預表著他們要帶領整個以色列的民族
[00:20:42.000 --> 00:20:45.000]  他們的宗教生活是全國性
[00:20:45.000 --> 00:20:50.000]  都是以耶和華為一神來敬拜
[00:20:50.000 --> 00:20:52.000]  不能夠去拜別的神
[00:20:52.000 --> 00:20:55.000]  所以當我們明白這件事
[00:20:55.000 --> 00:20:59.000]  你就看到上帝的心意是一個設立這一種的
[00:20:59.000 --> 00:21:06.000]  是回望祭司和利美人的不同的職責帶出來的
[00:21:06.000 --> 00:21:08.000]  好 我們再看
[00:21:08.000 --> 00:21:13.000]  在這個第三點
[00:21:13.000 --> 00:21:15.000]  利美的三個兒子
[00:21:15.000 --> 00:21:18.000]  他們各盡其職
[00:21:18.000 --> 00:21:20.000]  在這個回望的東邊
[00:21:20.000 --> 00:21:23.000]  在這個slide的右手邊
[00:21:23.000 --> 00:21:27.000]  這個就是說摩西亞倫和祭司他們紮營的地方
[00:21:27.000 --> 00:21:29.000]  南邊那個就是哥核族
[00:21:29.000 --> 00:21:31.000]  利美的兒子
[00:21:31.000 --> 00:21:33.000]  西邊就是格遜族
[00:21:33.000 --> 00:21:36.000]  而北邊那個就是米拉利族
[00:21:36.000 --> 00:21:40.000]  利美的三個兒子的宗族
[00:21:40.000 --> 00:21:45.000]  就分別在回望的南邊 西邊和北邊
[00:21:45.000 --> 00:21:50.000]  下一張slide你就可以更加清楚
[00:21:50.000 --> 00:21:54.000]  這裡我幫助大家省下了很多時間
[00:21:54.000 --> 00:21:58.000]  因為如果你由14節讀到39節
[00:21:58.000 --> 00:22:01.000]  實在是很繁複
[00:22:01.000 --> 00:22:06.000]  但是這張圖表是很能夠幫助我們看得很清楚
[00:22:06.000 --> 00:22:08.000]  同樣是說回望
[00:22:08.000 --> 00:22:12.000]  北邊就是那個方向上面
[00:22:12.000 --> 00:22:17.000]  東邊就是摩西亞倫他們紮營的地方
[00:22:17.000 --> 00:22:19.000]  在這個回望外邊
[00:22:19.000 --> 00:22:26.000]  南邊就是利美的哥核族
[00:22:26.000 --> 00:22:30.000]  他們負責的就是聖所裡頭
[00:22:30.000 --> 00:22:31.000]  所有這些聖物
[00:22:31.000 --> 00:22:36.000]  包括至聖所的這個藥櫃
[00:22:36.000 --> 00:22:39.000]  所有這些東西他們要管理的
[00:22:39.000 --> 00:22:42.000]  他們要負責的
[00:22:42.000 --> 00:22:44.000]  那些陳設餅怎樣擺設
[00:22:44.000 --> 00:22:45.000]  由他們去負責的
[00:22:45.000 --> 00:22:48.000]  祭壇他們要獻這些祭物
[00:22:48.000 --> 00:22:50.000]  由他們去負責的
[00:22:50.000 --> 00:22:52.000]  他們按這些班次
[00:22:52.000 --> 00:22:59.000]  另外這個米拉利族他們負責什麼呢
[00:22:59.000 --> 00:23:02.000]  米拉利族在北邊的
[00:23:02.000 --> 00:23:06.000]  他們就負責這些如果會幕要起行的時候
[00:23:06.000 --> 00:23:11.000]  這些板這些的山柱那些座
[00:23:11.000 --> 00:23:13.000]  他們就要負責拔起來
[00:23:13.000 --> 00:23:17.000]  要負責抬要搬運
[00:23:17.000 --> 00:23:18.000]  絕對不簡單
[00:23:18.000 --> 00:23:20.000]  大家要知道
[00:23:20.000 --> 00:23:22.000]  上帝說起行了
[00:23:22.000 --> 00:23:24.000]  在這裡住了多久
[00:23:24.000 --> 00:23:26.000]  上帝說由雲柱火柱
[00:23:26.000 --> 00:23:27.000]  我就是一個山
[00:23:27.000 --> 00:23:29.000]  要吩咐你們動了
[00:23:29.000 --> 00:23:32.000]  你動的時候他們要很迅速的
[00:23:32.000 --> 00:23:33.000]  他們不動的時候
[00:23:33.000 --> 00:23:36.000]  其他十二支派那些人沒人敢動
[00:23:36.000 --> 00:23:37.000]  大家明白嗎
[00:23:37.000 --> 00:23:41.000]  因為主導權在神那裡
[00:23:41.000 --> 00:23:45.000]  而格遜族就在西邊
[00:23:45.000 --> 00:23:49.000]  在西邊他們紮營的地方在這邊
[00:23:49.000 --> 00:23:52.000]  但他們負責的管理的地方
[00:23:52.000 --> 00:23:59.000]  就是會幕的外院和內院
[00:23:59.000 --> 00:24:04.000]  包括這個萬寺和會幕裡面的門簾
[00:24:04.000 --> 00:24:06.000]  原子的門簾
[00:24:06.000 --> 00:24:07.000]  所以這些
[00:24:07.000 --> 00:24:11.000]  他是將這個圖跡
[00:24:11.000 --> 00:24:13.000]  這個圖跡平面圖
[00:24:13.000 --> 00:24:15.000]  給大家看到很清楚
[00:24:15.000 --> 00:24:17.000]  這些細節的每一部分
[00:24:17.000 --> 00:24:20.000]  就是整個段落的經文
[00:24:20.000 --> 00:24:21.000]  去解釋給我們知道
