
[00:00:00.000 --> 00:00:02.000]   (Cantonese) Good morning, everyone.
[00:03:00.000 --> 00:03:01.000]   no matter the trials,
[00:03:01.000 --> 00:03:02.000]   no matter the temptations,
[00:03:02.000 --> 00:03:03.000]   you can be assured that
[00:03:03.000 --> 00:03:04.000]   Jesus will come back one day.
[00:03:04.000 --> 00:03:07.000]   This is a proof that Paul wants to give
[00:03:07.000 --> 00:03:09.000]   to the "Tipsa Loriga" church.
[00:03:09.000 --> 00:03:11.000]   So you all have to hold on.
[00:03:11.000 --> 00:03:12.000]   You have to be obedient.
[00:03:12.000 --> 00:03:15.000]   Today we will focus on the fourth chapter,
[00:03:15.000 --> 00:03:20.000]   the coming of the temptations.
[00:03:20.000 --> 00:03:25.000]   I will read the "Tipsa Loriga" preface
[00:03:25.000 --> 00:03:27.000]   from the first to the second chapter.
[00:03:27.000 --> 00:03:28.000]   It says,
[00:03:28.000 --> 00:03:30.000]   "We have come to you,
[00:03:30.000 --> 00:03:31.000]   "by Jesus Christ,
[00:03:31.000 --> 00:03:32.000]   "to ask you,
[00:03:32.000 --> 00:03:33.000]   "to urge you,
[00:03:33.000 --> 00:03:35.000]   "since you have received our teaching,
[00:03:35.000 --> 00:03:37.000]   "knowing how to act as men,
[00:03:37.000 --> 00:03:39.000]   "to receive the joy of God.
[00:03:39.000 --> 00:03:41.000]   "You have done just that.
[00:03:41.000 --> 00:03:43.000]   "I urge you to work harder.
[00:03:43.000 --> 00:03:46.000]   "You know what commandment we have given you
[00:03:46.000 --> 00:03:50.000]   "by Jesus Christ."
[00:03:50.000 --> 00:03:54.000]   Paul tells the "Tipsa Loriga" church,
[00:03:54.000 --> 00:03:56.000]   "I am going to lay out some things
[00:03:56.000 --> 00:04:00.000]   "to tell you how you can please God."
[00:04:00.000 --> 00:04:01.000]   In English, it is,
[00:04:01.000 --> 00:04:03.000]   "How to live in order to please God."
[00:04:03.000 --> 00:04:06.000]   As a witness,
[00:04:06.000 --> 00:04:09.000]   there is a very common question
[00:04:09.000 --> 00:04:13.000]   I am often asked.
[00:04:13.000 --> 00:04:20.000]   How can I discern the will of God?
[00:04:20.000 --> 00:04:23.000]   Pastor, please pray with me.
[00:04:23.000 --> 00:04:26.000]   Please find the will of God with me.
[00:04:26.000 --> 00:04:29.000]   I want to walk in God's will.
[00:04:29.000 --> 00:04:31.000]   How many of you
[00:04:31.000 --> 00:04:34.000]   would like to walk in God's will?
[00:04:34.000 --> 00:04:37.000]   Most of you.
[00:04:37.000 --> 00:04:39.000]   I don't think I am raising my hand.
[00:04:39.000 --> 00:04:40.000]   Most of you.
[00:04:40.000 --> 00:04:41.000]   You are all sitting here.
[00:04:41.000 --> 00:04:44.000]   You are all hoping to walk in God's will.
[00:04:44.000 --> 00:04:46.000]   Whether you can do it is another matter.
[00:04:46.000 --> 00:04:48.000]   But I think the real question
[00:04:48.000 --> 00:04:50.000]   that should be asked is,
[00:04:50.000 --> 00:04:54.000]   "How much do you really want to live in the will of God?"
[00:04:54.000 --> 00:04:59.000]   How willing are you to follow God's commandment,
[00:04:59.000 --> 00:05:03.000]   even if this is not the most convenient
[00:05:03.000 --> 00:05:07.000]   or the most comfortable?
[00:05:07.000 --> 00:05:10.000]   Why do I need to talk about this?
[00:05:10.000 --> 00:05:13.000]   Because Jesus,
[00:05:13.000 --> 00:05:17.000]   from the third chapter,
[00:05:17.000 --> 00:05:20.000]   says,
[00:05:20.000 --> 00:05:22.000]   "It is God's will that you should be sanctified,
[00:05:22.000 --> 00:05:24.000]   that you should avoid sexual immorality,
[00:05:24.000 --> 00:05:27.000]   that each of you should learn to control your own body
[00:05:27.000 --> 00:05:31.000]   in a way that is holy and honorable,
[00:05:31.000 --> 00:05:34.000]   not in passionate lusts like the pagans
[00:05:34.000 --> 00:05:35.000]   who do not know God."
[00:05:35.000 --> 00:05:36.000]   Let me talk about this first.
[00:05:36.000 --> 00:05:39.000]   This is God's commandment.
[00:05:39.000 --> 00:05:40.000]   Just now, everyone said
[00:05:40.000 --> 00:05:43.000]   that they are willing to follow God's commandment.
[00:05:43.000 --> 00:05:45.000]   This is very clear.
[00:05:45.000 --> 00:05:46.000]   God's commandment is,
[00:05:46.000 --> 00:05:48.000]   "You should be sanctified,
[00:05:48.000 --> 00:05:49.000]   that you should avoid sexual immorality,
[00:05:49.000 --> 00:05:51.000]   that each of you should learn to control your own body
[00:05:51.000 --> 00:05:52.000]   in a way that is holy and honorable,
[00:05:52.000 --> 00:05:53.000]   that each of you should learn to control your own body
[00:05:53.000 --> 00:05:54.000]   and avoid sexual immorality."
[00:05:54.000 --> 00:05:57.000]   In the Bible,
[00:05:57.000 --> 00:06:00.000]   not many places,
[00:06:00.000 --> 00:06:01.000]   or in the Old Testament,
[00:06:01.000 --> 00:06:04.000]   not many places directly say
[00:06:04.000 --> 00:06:08.000]   that this is God's commandment.
[00:06:08.000 --> 00:06:11.000]   In the five chapters of the Old Testament,
[00:06:11.000 --> 00:06:14.000]   only four places say this.
[00:06:14.000 --> 00:06:17.000]   This is the first place.
[00:06:17.000 --> 00:06:21.000]   The other three places
[00:06:21.000 --> 00:06:22.000]   are in the fifth chapter,
[00:06:22.000 --> 00:06:24.000]   the 16th to the 18th chapter.
[00:06:24.000 --> 00:06:27.000]   In fact, it is all in one paragraph.
[00:06:27.000 --> 00:06:29.000]   "You should be sanctified,
[00:06:29.000 --> 00:06:30.000]   that you should not commit adultery,
[00:06:30.000 --> 00:06:32.000]   that you should be grateful for everything."
[00:06:32.000 --> 00:06:34.000]   Because this is God's commandment
[00:06:34.000 --> 00:06:36.000]   to you in Christ Jesus.
[00:06:36.000 --> 00:06:38.000]   In fact, there are only four things.
[00:06:38.000 --> 00:06:40.000]   God clearly says,
[00:06:40.000 --> 00:06:41.000]   "This is my commandment."
[00:06:41.000 --> 00:06:45.000]   First, avoid sexual immorality.
[00:06:45.000 --> 00:06:47.000]   Second, be sanctified.
[00:06:47.000 --> 00:06:50.000]   Third, not to commit adultery.
[00:06:50.000 --> 00:06:52.000]   Fourth, be grateful for everything.
[00:06:52.000 --> 00:06:54.000]   It is very clear.
[00:06:54.000 --> 00:06:57.000]   In many places in the Bible,
[00:06:57.000 --> 00:06:59.000]   some teachings
[00:06:59.000 --> 00:07:03.000]   do not 100% list out
[00:07:03.000 --> 00:07:05.000]   what you should do.
[00:07:05.000 --> 00:07:07.000]   We often need to continue to pray
[00:07:07.000 --> 00:07:09.000]   to get the principles in the Bible
[00:07:09.000 --> 00:07:10.000]   to let us know
[00:07:10.000 --> 00:07:13.000]   how to apply God's commandment on earth.
[00:07:13.000 --> 00:07:15.000]   But this is very clear.
[00:07:15.000 --> 00:07:19.000]   Paul says, "Avoid sexual immorality."
[00:07:19.000 --> 00:07:23.000]   It is a direct commandment.
[00:07:23.000 --> 00:07:26.000]   If this is the case,
[00:07:26.000 --> 00:07:28.000]   the first question is,
[00:07:28.000 --> 00:07:33.000]   what is sexual immorality?
[00:07:33.000 --> 00:07:37.000]   I don't know what you think.
[00:07:37.000 --> 00:07:43.000]   If we ask what sexual immorality is,
[00:07:43.000 --> 00:07:45.000]   maybe you are thinking of
[00:07:45.000 --> 00:07:46.000]   some answers,
[00:07:46.000 --> 00:07:47.000]   like what you should not do,
[00:07:47.000 --> 00:07:48.000]   what you should not do,
[00:07:48.000 --> 00:07:51.000]   then it is already sexual immorality.
[00:07:51.000 --> 00:07:54.000]   If I look at it from another perspective,
[00:07:54.000 --> 00:07:58.000]   if I want to know what sexual immorality is,
[00:07:58.000 --> 00:08:00.000]   then we need to understand
[00:08:00.000 --> 00:08:03.000]   how God defines sexual purity.
[00:08:03.000 --> 00:08:09.000]   What is the essence of sex in God?
[00:08:09.000 --> 00:08:13.000]   God's idea of sexual purity.
[00:08:13.000 --> 00:08:15.000]   Faithfulness in marriage.
[00:08:15.000 --> 00:08:17.000]   Loyalty in marriage.
[00:08:17.000 --> 00:08:20.000]   Abstinence in singleness.
[00:08:20.000 --> 00:08:22.000]   In single life,
[00:08:22.000 --> 00:08:25.000]   you need to abstain.
[00:08:25.000 --> 00:08:27.000]   So, it means that
[00:08:27.000 --> 00:08:29.000]   sexual relations
[00:08:29.000 --> 00:08:31.000]   need to happen in marriage.
[00:08:31.000 --> 00:08:34.000]   Sorry, I have to talk about sensitive topics today.
[00:08:34.000 --> 00:08:36.000]   I will use some words that I have used before.
[00:08:36.000 --> 00:08:38.000]   You are all grown up.
[00:08:38.000 --> 00:08:41.000]   I am not afraid to say it.
[00:08:41.000 --> 00:08:43.000]   So,
[00:08:43.000 --> 00:08:47.000]   sexual relations need to happen in marriage.
[00:08:47.000 --> 00:08:48.000]   You must be wondering
[00:08:48.000 --> 00:08:52.000]   why it needs to happen in marriage.
[00:08:52.000 --> 00:08:56.000]   In Chinese,
[00:08:56.000 --> 00:08:59.000]   sexual relations,
[00:08:59.000 --> 00:09:02.000]   the original Chinese word for it is
[00:09:02.000 --> 00:09:04.000]   "shakav",
[00:09:04.000 --> 00:09:09.000]   which means "lie down".
[00:09:09.000 --> 00:09:11.000]   "Lie down" means
[00:09:11.000 --> 00:09:15.000]   two people trust each other to a certain extent.
[00:09:15.000 --> 00:09:19.000]   You lie down next to the other person
[00:09:19.000 --> 00:09:22.000]   and put down all your prejudices.
[00:09:22.000 --> 00:09:24.000]   In this case,
[00:09:24.000 --> 00:09:26.000]   you are putting your most vulnerable side
[00:09:26.000 --> 00:09:29.000]   in front of the other person.
[00:09:29.000 --> 00:09:32.000]   This is a very intimate moment.
[00:09:32.000 --> 00:09:35.000]   It needs protection.
[00:09:35.000 --> 00:09:37.000]   Unless you know
[00:09:37.000 --> 00:09:40.000]   you are under a protected environment,
[00:09:40.000 --> 00:09:43.000]   you cannot relax
[00:09:43.000 --> 00:09:45.000]   and release your vigilance.
[00:09:45.000 --> 00:09:50.000]   Marriage is a protection.
[00:09:50.000 --> 00:09:52.000]   In a marriage,
[00:09:52.000 --> 00:09:54.000]   you will tell the other person
[00:09:54.000 --> 00:09:56.000]   "I give myself to you,
[00:09:56.000 --> 00:09:58.000]   and for the rest of our lives,
[00:09:58.000 --> 00:10:00.000]   we will serve and protect each other."
[00:10:00.000 --> 00:10:02.000]   In a marriage like this,
[00:10:02.000 --> 00:10:05.000]   in a relationship like this,
[00:10:05.000 --> 00:10:08.000]   it is not possible to have a relationship
[00:10:08.000 --> 00:10:10.000]   without a marriage.
[00:10:10.000 --> 00:10:12.000]   This is the original purpose
[00:10:12.000 --> 00:10:14.000]   of the Bible,
[00:10:14.000 --> 00:10:16.000]   the original purpose of the Bible
[00:10:16.000 --> 00:10:20.000]   for the Hebrews.
[00:10:20.000 --> 00:10:22.000]   The next question you will ask is
[00:10:22.000 --> 00:10:24.000]   "In a marriage,
[00:10:24.000 --> 00:10:26.000]   you say that this kind of relationship
[00:10:26.000 --> 00:10:28.000]   can only exist."
[00:10:28.000 --> 00:10:30.000]   "If I am not married yet,
[00:10:30.000 --> 00:10:32.000]   and I am not married yet,
[00:10:32.000 --> 00:10:34.000]   and I am not married yet,
[00:10:34.000 --> 00:10:36.000]   and I am not married yet,
[00:10:36.000 --> 00:10:38.000]   and I am not married yet,
[00:10:38.000 --> 00:10:40.000]   will I be okay?"
[00:10:40.000 --> 00:10:42.000]   In the Bible,
[00:10:42.000 --> 00:10:44.000]   this word is rarely used.
[00:10:44.000 --> 00:10:46.000]   It is rarely used,
[00:10:46.000 --> 00:10:48.000]   "sexual intercourse."
[00:10:48.000 --> 00:10:50.000]   But it is used,
[00:10:50.000 --> 00:10:52.000]   "sexual intimacy."
[00:10:52.000 --> 00:10:54.000]   In the third chapter of the book,
[00:10:54.000 --> 00:10:56.000]   we read Paul's words
[00:10:56.000 --> 00:10:58.000]   about sexual intimacy.
[00:10:58.000 --> 00:11:00.000]   In the third chapter of the book,
[00:11:00.000 --> 00:11:02.000]   we read Paul's words about sexual intimacy.
[00:11:02.000 --> 00:11:04.000]   In the third chapter of the book,
[00:11:04.000 --> 00:11:06.000]   we read Paul's words about sexual intimacy.
[00:11:06.000 --> 00:11:08.000]   In fact, the Hebrew word "pornia"
[00:11:08.000 --> 00:11:10.000]   In fact, the Hebrew word "pornia"
[00:11:10.000 --> 00:11:12.000]   may sound like the English word
[00:11:12.000 --> 00:11:14.000]   "pornography."
[00:11:14.000 --> 00:11:16.000]   may sound like the English word
[00:11:16.000 --> 00:11:18.000]   "pornography."
[00:11:18.000 --> 00:11:20.000]   This is a very broad term
[00:11:20.000 --> 00:11:22.000]   for the Hebrew word.
[00:11:22.000 --> 00:11:24.000]   It is not just about one thing.
[00:11:24.000 --> 00:11:26.000]   This very broad term,
[00:11:26.000 --> 00:11:28.000]   "sexual intimacy,"
[00:11:28.000 --> 00:11:30.000]   covers many aspects
[00:11:30.000 --> 00:11:32.000]   of sexual sins.
[00:11:32.000 --> 00:11:34.000]   of sexual sins.
[00:11:34.000 --> 00:11:36.000]   Therefore,
[00:11:36.000 --> 00:11:38.000]   the correct question is,
[00:11:38.000 --> 00:11:40.000]   if what you are doing
[00:11:40.000 --> 00:11:42.000]   is considered
[00:11:42.000 --> 00:11:44.000]   sexual intimacy,
[00:11:44.000 --> 00:11:46.000]   sexual intimacy,
[00:11:46.000 --> 00:11:48.000]   if so,
[00:11:48.000 --> 00:11:50.000]   I won't count everything,
[00:11:50.000 --> 00:11:52.000]   it should be kept
[00:11:52.000 --> 00:11:54.000]   within the boundaries of marriage.
[00:11:54.000 --> 00:11:56.000]   it should be kept within the boundaries of marriage.
[00:11:56.000 --> 00:11:58.000]   Many times,
[00:11:58.000 --> 00:12:00.000]   we see God's
[00:12:00.000 --> 00:12:02.000]   teaching on this
[00:12:02.000 --> 00:12:04.000]   as a set of rules.
[00:12:04.000 --> 00:12:06.000]   Therefore,
[00:12:06.000 --> 00:12:08.000]   we try to ask
[00:12:08.000 --> 00:12:10.000]   what the limit is.
[00:12:10.000 --> 00:12:12.000]   We try to push the limit.
[00:12:12.000 --> 00:12:14.000]   If you know the rules,
[00:12:14.000 --> 00:12:16.000]   the teacher may have set some rules
[00:12:16.000 --> 00:12:18.000]   in the classroom,
[00:12:18.000 --> 00:12:20.000]   so don't make a fuss.
[00:12:20.000 --> 00:12:22.000]   So don't make a fuss.
[00:12:22.000 --> 00:12:24.000]   Or, we like
[00:12:24.000 --> 00:12:26.000]   to keep the rules
[00:12:26.000 --> 00:12:28.000]   to the extreme
[00:12:28.000 --> 00:12:30.000]   to the extreme
[00:12:30.000 --> 00:12:32.000]   within the boundaries
[00:12:32.000 --> 00:12:34.000]   and not to be punished.
[00:12:34.000 --> 00:12:36.000]   It is like
[00:12:36.000 --> 00:12:38.000]   when I was driving in the US,
[00:12:38.000 --> 00:12:40.000]   the speed limit
[00:12:40.000 --> 00:12:42.000]   was 70 miles per hour,
[00:12:42.000 --> 00:12:44.000]   was 70 miles per hour,
[00:12:44.000 --> 00:12:46.000]   per hour.
[00:12:46.000 --> 00:12:48.000]   But if you don't exceed
[00:12:48.000 --> 00:12:50.000]   15,
[00:12:50.000 --> 00:12:52.000]   you won't be arrested.
[00:12:52.000 --> 00:12:54.000]   So most people,
[00:12:54.000 --> 00:12:56.000]   even though they know the speed limit is 70,
[00:12:56.000 --> 00:12:58.000]   they still drive at 80 miles per hour
[00:12:58.000 --> 00:13:00.000]   and don't exceed 85 miles per hour,
[00:13:00.000 --> 00:13:02.000]   and they won't be arrested.
[00:13:02.000 --> 00:13:04.000]   If you know the rules,
[00:13:04.000 --> 00:13:06.000]   you will usually
[00:13:06.000 --> 00:13:08.000]   try to push
[00:13:08.000 --> 00:13:10.000]   the limit.
[00:13:10.000 --> 00:13:12.000]   So when you ask
[00:13:12.000 --> 00:13:14.000]   if this is okay,
[00:13:14.000 --> 00:13:16.000]   you are thinking
[00:13:16.000 --> 00:13:18.000]   how to push the limit
[00:13:18.000 --> 00:13:20.000]   to the extreme
[00:13:20.000 --> 00:13:22.000]   so that God won't punish me
[00:13:22.000 --> 00:13:24.000]   or if he thinks
[00:13:24.000 --> 00:13:26.000]   it is okay.
[00:13:26.000 --> 00:13:28.000]   But if
[00:13:28.000 --> 00:13:30.000]   we look at God's laws
[00:13:30.000 --> 00:13:32.000]   as
[00:13:32.000 --> 00:13:34.000]   our advantage,
[00:13:34.000 --> 00:13:36.000]   would we have
[00:13:36.000 --> 00:13:38.000]   a second thought?
[00:13:38.000 --> 00:13:40.000]   In the past,
[00:13:40.000 --> 00:13:42.000]   we might ask
[00:13:42.000 --> 00:13:44.000]   what I can do to the best of my ability
[00:13:44.000 --> 00:13:46.000]   to not violate God's laws.
[00:13:46.000 --> 00:13:48.000]   But actually,
[00:13:48.000 --> 00:13:50.000]   as a Christian,
[00:13:50.000 --> 00:13:52.000]   should we ask
[00:13:52.000 --> 00:13:54.000]   how we can
[00:13:54.000 --> 00:13:56.000]   get closer to Jesus
[00:13:56.000 --> 00:13:58.000]   and make him happy?
[00:13:58.000 --> 00:14:00.000]   I will give you an example.
[00:14:00.000 --> 00:14:02.000]   Let's say I am a pastor
[00:14:02.000 --> 00:14:04.000]   for 9 months.
[00:14:04.000 --> 00:14:06.000]   When I was
[00:14:06.000 --> 00:14:08.000]   studying at the church,
[00:14:08.000 --> 00:14:10.000]   I would read
[00:14:10.000 --> 00:14:12.000]   a lot of different books
[00:14:12.000 --> 00:14:14.000]   and learn how to be a pastor.
[00:14:14.000 --> 00:14:16.000]   If I am
[00:14:16.000 --> 00:14:18.000]   a wise person,
[00:14:18.000 --> 00:14:20.000]   I would not ask
[00:14:20.000 --> 00:14:22.000]   how I can be a pastor
[00:14:22.000 --> 00:14:24.000]   at the minimum.
[00:14:24.000 --> 00:14:26.000]   Is it okay to be a pastor
[00:14:26.000 --> 00:14:28.000]   if I am a good student?
[00:14:28.000 --> 00:14:30.000]   Or should I learn
[00:14:30.000 --> 00:14:32.000]   how to be a good pastor?
[00:14:32.000 --> 00:14:34.000]   How do they behave?
[00:14:34.000 --> 00:14:36.000]   How do they talk to their sisters?
[00:14:36.000 --> 00:14:38.000]   How do they do their best
[00:14:38.000 --> 00:14:40.000]   to learn the Bible
[00:14:40.000 --> 00:14:42.000]   so that I can be
[00:14:42.000 --> 00:14:44.000]   a better pastor?
[00:14:44.000 --> 00:14:46.000]   Or should I
[00:14:46.000 --> 00:14:48.000]   barely
[00:14:48.000 --> 00:14:50.000]   get a job
[00:14:50.000 --> 00:14:52.000]   at the church?
[00:14:52.000 --> 00:14:54.000]   If you are
[00:14:54.000 --> 00:14:56.000]   a pastor
[00:14:56.000 --> 00:14:58.000]   and you want me to
[00:14:58.000 --> 00:15:00.000]   do my best
[00:15:00.000 --> 00:15:02.000]   to make myself
[00:15:02.000 --> 00:15:04.000]   a better pastor,
[00:15:04.000 --> 00:15:06.000]   then
[00:15:06.000 --> 00:15:08.000]   the same goes for God.
[00:15:08.000 --> 00:15:10.000]   The Bible
[00:15:10.000 --> 00:15:12.000]   has a lot of rules
[00:15:12.000 --> 00:15:14.000]   and a minimum
[00:15:14.000 --> 00:15:16.000]   requirement.
[00:15:16.000 --> 00:15:18.000]   How far do we need to go?
[00:15:18.000 --> 00:15:20.000]   God does not want us
[00:15:20.000 --> 00:15:22.000]   to meet the minimum.
[00:15:22.000 --> 00:15:24.000]   He wants us to use our lives
[00:15:24.000 --> 00:15:26.000]   to glorify God
[00:15:26.000 --> 00:15:28.000]   and to ask for His joy.
[00:15:28.000 --> 00:15:30.000]   How can we live out more of
[00:15:30.000 --> 00:15:32.000]   God's ways
[00:15:32.000 --> 00:15:34.000]   instead of meeting the minimum?
[00:15:34.000 --> 00:15:38.000]   If that is the case,
[00:15:38.000 --> 00:15:40.000]   then why
[00:15:40.000 --> 00:15:42.000]   do we need to
[00:15:42.000 --> 00:15:44.000]   avoid sexual sins?
[00:15:44.000 --> 00:15:46.000]   How do we see this
[00:15:46.000 --> 00:15:48.000]   in God?
[00:15:48.000 --> 00:15:52.000]   Let's read
[00:15:52.000 --> 00:15:54.000]   from verse 6 to 8.
[00:15:54.000 --> 00:15:56.000]   Let's read
[00:15:56.000 --> 00:15:58.000]   in Chinese.
[00:15:58.000 --> 00:16:00.000]   1, 2, 3
[00:16:00.000 --> 00:16:02.000]   "No man
[00:16:02.000 --> 00:16:04.000]   should be in this world
[00:16:04.000 --> 00:16:06.000]   taking advantage of his brother.
[00:16:06.000 --> 00:16:08.000]   For this kind of good
[00:16:08.000 --> 00:16:10.000]   is a reward.
[00:16:10.000 --> 00:16:12.000]   As I have warned you
[00:16:12.000 --> 00:16:14.000]   before,
[00:16:14.000 --> 00:16:16.000]   God does not want
[00:16:16.000 --> 00:16:18.000]   us to be
[00:16:18.000 --> 00:16:20.000]   in the way of sin,
[00:16:20.000 --> 00:16:22.000]   but to make us
[00:16:22.000 --> 00:16:24.000]   holy. Therefore,
[00:16:24.000 --> 00:16:26.000]   he who abhors the teaching of this
[00:16:26.000 --> 00:16:28.000]   is not an abhorrent man,
[00:16:28.000 --> 00:16:30.000]   but an abhorrent one who
[00:16:30.000 --> 00:16:32.000]   has his own spirit
[00:16:32.000 --> 00:16:34.000]   in your hearts."
[00:16:34.000 --> 00:16:36.000]   I think this is
[00:16:36.000 --> 00:16:38.000]   one thing.
[00:16:38.000 --> 00:16:40.000]   God
[00:16:40.000 --> 00:16:42.000]   wants us to be holy.
[00:16:42.000 --> 00:16:44.000]   He
[00:16:44.000 --> 00:16:46.000]   bought us
[00:16:46.000 --> 00:16:48.000]   with a heavy price.
[00:16:48.000 --> 00:16:50.000]   He wants us to
[00:16:50.000 --> 00:16:52.000]   live out holiness.
[00:16:52.000 --> 00:16:54.000]   In verse 4 and 5,
[00:16:54.000 --> 00:16:56.000]   we read
[00:16:56.000 --> 00:16:58.000]   that Paul
[00:16:58.000 --> 00:17:00.000]   specifically distinguished
[00:17:00.000 --> 00:17:02.000]   the believers
[00:17:02.000 --> 00:17:04.000]   from the unbelievers.
[00:17:04.000 --> 00:17:06.000]   The unbelievers
[00:17:06.000 --> 00:17:08.000]   would not know
[00:17:08.000 --> 00:17:10.000]   God's
[00:17:10.000 --> 00:17:12.000]   law and standards.
[00:17:12.000 --> 00:17:14.000]   But the believers
[00:17:14.000 --> 00:17:16.000]   clearly know that God
[00:17:16.000 --> 00:17:18.000]   has told us how
[00:17:18.000 --> 00:17:20.000]   we should live
[00:17:20.000 --> 00:17:22.000]   lives of moral
[00:17:22.000 --> 00:17:24.000]   sexual purity,
[00:17:24.000 --> 00:17:26.000]   how to control our bodies,
[00:17:26.000 --> 00:17:28.000]   how to be holy
[00:17:28.000 --> 00:17:30.000]   and live honorably.
[00:17:30.000 --> 00:17:32.000]   This is God's instruction
[00:17:32.000 --> 00:17:34.000]   and calling.
[00:17:34.000 --> 00:17:36.000]   He wants us to be holy.
[00:17:36.000 --> 00:17:38.000]   His heart
[00:17:38.000 --> 00:17:40.000]   is doing this
[00:17:40.000 --> 00:17:42.000]   for our own good.
