
[00:00:00.000 --> 00:00:02.000]  今個weekend係easter weekend
[00:01:30.000 --> 00:01:32.000]  同啲
[00:01:32.000 --> 00:01:34.000]  仔一齊走去
[00:01:34.000 --> 00:01:36.000]  去block人哋
[00:01:36.000 --> 00:01:38.000]  So it was very exciting
[00:01:38.000 --> 00:01:40.000]  We weren't that many people
[00:01:40.000 --> 00:01:42.000]  But our community was strong
[00:01:42.000 --> 00:01:44.000]  And it was a great time of spending
[00:01:44.000 --> 00:01:46.000]  With one another
[00:01:46.000 --> 00:01:48.000]  And so
[00:01:48.000 --> 00:01:50.000]  Friday, good Friday and yesterday
[00:01:50.000 --> 00:01:52.000]  We learned about the crucified lord
[00:01:52.000 --> 00:01:54.000]  And today we are going to learn
[00:01:54.000 --> 00:01:56.000]  About the resurrected lord
[00:01:56.000 --> 00:01:58.000]  The crucified lord
[00:01:58.000 --> 00:02:00.000]  And the resurrected lord
[00:02:00.000 --> 00:02:02.000]  我哋呢個series
[00:02:02.000 --> 00:02:04.000]  Jesus is lord嗰時
[00:02:04.000 --> 00:02:06.000]  我哋講咗兩個人
[00:02:06.000 --> 00:02:08.000]  係resurrected
[00:02:08.000 --> 00:02:10.000]  記唔記得
[00:02:10.000 --> 00:02:12.000]  有兩個人係resurrected
[00:02:12.000 --> 00:02:14.000]  記唔記得
[00:02:14.000 --> 00:02:16.000]  係,邊個個女
[00:02:16.000 --> 00:02:18.000]  Jeris個女
[00:02:18.000 --> 00:02:20.000]  Jeris個女
[00:02:20.000 --> 00:02:22.000]  Jeris個女,記唔記得
[00:02:22.000 --> 00:02:24.000]  一個
[00:02:24.000 --> 00:02:26.000]  Roman official
[00:02:26.000 --> 00:02:28.000]  係,有個Roman official
[00:02:28.000 --> 00:02:30.000]  個女死咗
[00:02:30.000 --> 00:02:32.000]  咁耶穌話
[00:02:32.000 --> 00:02:34.000]  佢係咩
[00:02:34.000 --> 00:02:36.000]  佢係瞓緊覺
[00:02:36.000 --> 00:02:38.000]  She will rise again
[00:02:38.000 --> 00:02:40.000]  仲有我哋睇到
[00:02:40.000 --> 00:02:42.000]  有一個widow個男仔
[00:02:42.000 --> 00:02:44.000]  Widow個仔,sorry
[00:02:44.000 --> 00:02:46.000]  佢係死咗,我哋聽到佢個funeral
[00:02:46.000 --> 00:02:48.000]  係咪,但係呢
[00:02:48.000 --> 00:02:50.000]  個funeral
[00:02:50.000 --> 00:02:52.000]  Of the son
[00:02:52.000 --> 00:02:54.000]  And
[00:02:54.000 --> 00:02:56.000]  Jeris's daughter
[00:02:56.000 --> 00:02:58.000]  Was risen from the dead
[00:02:58.000 --> 00:03:00.000]  Risen from the dead
[00:03:00.000 --> 00:03:02.000]  Ok,聖經嗰度
[00:03:02.000 --> 00:03:04.000]  仲有好出名一個story
[00:03:04.000 --> 00:03:06.000]  係resurrection,記唔記得係邊個
[00:03:06.000 --> 00:03:08.000]  係Lazarus
[00:03:08.000 --> 00:03:10.000]  Lazarus係死咗幾多日
[00:03:10.000 --> 00:03:14.000]  四日,邊個話四日
[00:03:14.000 --> 00:03:16.000]  做咗咩
[00:03:16.000 --> 00:03:18.000]  仲有做咗咩
[00:03:18.000 --> 00:03:20.000]  係三日,係咪
[00:03:20.000 --> 00:03:22.000]  三日
[00:03:22.000 --> 00:03:24.000]  跟住呢,耶穌就call him out
[00:03:24.000 --> 00:03:26.000]  from the tomb
[00:03:26.000 --> 00:03:28.000]  仲係wrap係Lenin嗰度
[00:03:28.000 --> 00:03:30.000]  Ok,你諗下
[00:03:30.000 --> 00:03:32.000]  仲有咩故事
[00:03:32.000 --> 00:03:34.000]  係唔係
[00:03:34.000 --> 00:03:36.000]  Fictional
[00:03:36.000 --> 00:03:38.000]  係有resurrection story
[00:03:38.000 --> 00:03:40.000]  有冇,考下你哋
[00:03:40.000 --> 00:03:42.000]  呢個係邊個嚟㗎
[00:03:42.000 --> 00:03:44.000]  Gandalf the
[00:03:44.000 --> 00:03:46.000]  The grey,跟住呢
[00:03:46.000 --> 00:03:48.000]  點解轉咗Gandalf the white
[00:03:48.000 --> 00:03:50.000]  Uncle Vincent, why did he change
[00:03:50.000 --> 00:03:52.000]  Resurrection
[00:03:52.000 --> 00:03:54.000]  記唔記得呢
[00:03:54.000 --> 00:03:56.000]  佢係嗰個cave嗰度
[00:03:56.000 --> 00:03:58.000]  嗰個cave嗰度呢
[00:03:58.000 --> 00:04:00.000]  佢就有一個
[00:04:00.000 --> 00:04:02.000]  Narrow strip of road嘅,係咪
[00:04:02.000 --> 00:04:04.000]  記唔記得,跟住有一個好大個叫咩
[00:04:04.000 --> 00:04:06.000]  唔知,好大個
[00:04:06.000 --> 00:04:08.000]  即係好似monster咁
[00:04:08.000 --> 00:04:10.000]  跟住呢,佢用佢個staff
[00:04:10.000 --> 00:04:12.000]  佢就點呀,Boom
[00:04:12.000 --> 00:04:14.000]  You shall not pass,記唔記得
[00:04:14.000 --> 00:04:16.000]  You shall not pass
[00:04:16.000 --> 00:04:18.000]  跟住呢,We don't know what happened to him
[00:04:18.000 --> 00:04:20.000]  Afterwards, ok
[00:04:20.000 --> 00:04:22.000]  And then later he appears
[00:04:22.000 --> 00:04:24.000]  As Gandalf the white
[00:04:24.000 --> 00:04:26.000]  And he comes
[00:04:26.000 --> 00:04:28.000]  To bring victory
[00:04:28.000 --> 00:04:30.000]  仲有一個story係
[00:04:30.000 --> 00:04:32.000]  都好出名嘅
[00:04:32.000 --> 00:04:34.000]  有冇人知
[00:04:34.000 --> 00:04:36.000]  又係關於
[00:04:36.000 --> 00:04:38.000]  Resurrection嘅,有冇人知
[00:04:38.000 --> 00:04:40.000]  有個獅子嘅
[00:04:40.000 --> 00:04:42.000]  叫咩呀
[00:04:42.000 --> 00:04:44.000]  Narnia,個獅子叫咩名
[00:04:44.000 --> 00:04:46.000]  A字頭嘅
[00:04:46.000 --> 00:04:48.000]  A
[00:04:48.000 --> 00:04:50.000]  Azlan
[00:04:50.000 --> 00:04:52.000]  Azlan係要
[00:04:52.000 --> 00:04:54.000]  為一個細路死
[00:04:54.000 --> 00:04:56.000]  一個細路係做錯咗
[00:04:56.000 --> 00:04:58.000]  And then he deserve punishment
[00:04:58.000 --> 00:05:00.000]  但係佢為咗
[00:05:00.000 --> 00:05:02.000]  呢個細路死,跟住佢
[00:05:02.000 --> 00:05:04.000]  Lay on the rock
[00:05:04.000 --> 00:05:06.000]  Next morning就睇到Azlan was raised
[00:05:06.000 --> 00:05:08.000]  From the dead
[00:05:08.000 --> 00:05:10.000]  Raised from the dead
[00:05:10.000 --> 00:05:12.000]  Ok,咁我哋會睇
[00:05:12.000 --> 00:05:14.000]  今日有幾個account
[00:05:14.000 --> 00:05:16.000]  About Jesus
[00:05:16.000 --> 00:05:18.000]  幾個account about people
[00:05:18.000 --> 00:05:20.000]  Seeing Jesus raised from the dead
[00:05:20.000 --> 00:05:22.000]  Ok, let's read together, 1, 2, 3
[00:05:22.000 --> 00:05:24.000]  Early
[00:05:24.000 --> 00:05:36.000]  So she came running to Simon Peter
[00:05:36.000 --> 00:05:38.000]  And the other disciple
[00:05:38.000 --> 00:05:40.000]  And the one Jesus loved
[00:05:40.000 --> 00:05:42.000]  And said, they have taken
[00:05:42.000 --> 00:05:44.000]  The Lord out of the tomb
[00:05:44.000 --> 00:05:46.000]  And we do not know where they put him
[00:05:46.000 --> 00:05:48.000]  So Peter and the other disciple
[00:05:48.000 --> 00:05:50.000]  Started for the tomb
[00:05:50.000 --> 00:05:52.000]  Both were running
[00:05:52.000 --> 00:05:54.000]  But both
[00:05:54.000 --> 00:05:56.000]  Outran Peter and reached the tomb first
[00:05:56.000 --> 00:05:58.000]  He bent over and looked in
[00:05:58.000 --> 00:06:00.000]  At the strips of linen lying there
[00:06:00.000 --> 00:06:02.000]  But did not go in
[00:06:02.000 --> 00:06:04.000]  Then Simon Peter
[00:06:04.000 --> 00:06:06.000]  Ran along behind him
[00:06:06.000 --> 00:06:08.000]  And went straight into the tomb
[00:06:08.000 --> 00:06:10.000]  He saw the strips of linen lying there
[00:06:10.000 --> 00:06:12.000]  And Azlan's cloth
[00:06:12.000 --> 00:06:14.000]  Wrapped around Jesus' head
[00:06:14.000 --> 00:06:16.000]  The cloth was still
[00:06:16.000 --> 00:06:18.000]  Laying in its place
[00:06:18.000 --> 00:06:20.000]  Separate from the linen
[00:06:20.000 --> 00:06:22.000]  Finally the other disciple
[00:06:22.000 --> 00:06:24.000]  Who had reached the tomb first
[00:06:24.000 --> 00:06:26.000]  Went inside also
[00:06:26.000 --> 00:06:28.000]  He saw and believed
[00:06:28.000 --> 00:06:30.000]  They did not understand
[00:06:30.000 --> 00:06:32.000]  From Scripture that Jesus
[00:06:32.000 --> 00:06:34.000]  Had risen from the dead
[00:06:34.000 --> 00:06:36.000]  The other disciple went back
[00:06:36.000 --> 00:06:38.000]  Where they were staying
[00:06:38.000 --> 00:06:40.000]  When you're in a court
[00:06:40.000 --> 00:06:42.000]  You have a jury
[00:06:42.000 --> 00:06:44.000]  The jury needs to do what?
[00:06:44.000 --> 00:06:46.000]  The jury needs to do what?
[00:06:46.000 --> 00:06:48.000]  Have a verdict
[00:06:48.000 --> 00:06:50.000]  Of innocent or guilty
[00:06:50.000 --> 00:06:52.000]  No?
[00:06:52.000 --> 00:06:54.000]  What is it?
[00:06:54.000 --> 00:06:56.000]  What does the jury need?
[00:06:56.000 --> 00:06:58.000]  Guilty or not guilty
[00:06:58.000 --> 00:07:00.000]  Guilty or not guilty
[00:07:00.000 --> 00:07:02.000]  Sorry
[00:07:02.000 --> 00:07:04.000]  Guilty or innocent
[00:07:04.000 --> 00:07:06.000]  Guilty or not guilty
[00:07:06.000 --> 00:07:08.000]  Sorry, this lawyer needs to correct my language
[00:07:08.000 --> 00:07:10.000]  Language is very important
[00:07:10.000 --> 00:07:12.000]  Ok, so today
[00:07:12.000 --> 00:07:14.000]  We will look at four people
[00:07:14.000 --> 00:07:16.000]  They are like a jury
[00:07:16.000 --> 00:07:18.000]  The jury will look at
[00:07:18.000 --> 00:07:20.000]  The resurrection of Jesus
[00:07:20.000 --> 00:07:22.000]  The evidence for the resurrection of Jesus
[00:07:22.000 --> 00:07:24.000]  We will look at four people today
[00:07:24.000 --> 00:07:26.000]  First is Simon Peter, Mary Magdalene
[00:07:26.000 --> 00:07:28.000]  Thomas, and the Pharisees
[00:07:28.000 --> 00:07:30.000]  We will look at their reaction
[00:07:30.000 --> 00:07:32.000]  As they encountered the resurrection of Jesus
[00:07:32.000 --> 00:07:34.000]  As they encountered the resurrection of Jesus
[00:07:34.000 --> 00:07:36.000]  We will look at Simon Peter's reaction
[00:07:36.000 --> 00:07:38.000]  We will look at Simon Peter's reaction
[00:07:38.000 --> 00:07:40.000]  What is his reaction?
[00:07:40.000 --> 00:07:42.000]  He heard Mary Magdalene say
[00:07:42.000 --> 00:07:44.000]  He heard Mary Magdalene say
[00:07:44.000 --> 00:07:46.000]  The tomb is rolled away
[00:07:46.000 --> 00:07:48.000]  The tomb is rolled away
[00:07:48.000 --> 00:07:50.000]  He is a man of action
[00:07:50.000 --> 00:07:52.000]  He is not a good runner
[00:07:52.000 --> 00:07:54.000]  The other disciple is better than him
[00:07:54.000 --> 00:07:56.000]  The other disciple is better than him
[00:07:56.000 --> 00:07:58.000]  He arrived first
[00:07:58.000 --> 00:08:00.000]  Simon Peter is a man of action
[00:08:00.000 --> 00:08:02.000]  Simon Peter is a man of action
[00:08:02.000 --> 00:08:04.000]  Jesus told him
[00:08:04.000 --> 00:08:06.000]  Jesus told him
[00:08:06.000 --> 00:08:08.000]  Go to the other side
[00:08:08.000 --> 00:08:10.000]  Go to the other side
[00:08:10.000 --> 00:08:12.000]  Put down your net
[00:08:12.000 --> 00:08:14.000]  He fell on his knees
[00:08:14.000 --> 00:08:16.000]  He fell on his knees
[00:08:16.000 --> 00:08:18.000]  My Lord, my God
[00:08:18.000 --> 00:08:20.000]  I am not worthy to be in your presence
[00:08:20.000 --> 00:08:22.000]  I am not worthy to be in your presence
[00:08:22.000 --> 00:08:24.000]  I am a sinful man
[00:08:24.000 --> 00:08:26.000]  Jesus was arrested
[00:08:26.000 --> 00:08:28.000]  Jesus was arrested
[00:08:28.000 --> 00:08:30.000]  He took out a knife
[00:08:30.000 --> 00:08:32.000]  He took out a knife
[00:08:32.000 --> 00:08:34.000]  And cut off the ear
[00:08:34.000 --> 00:08:36.000]  He is a man of action
[00:08:36.000 --> 00:08:38.000]  He is a man of action
[00:08:38.000 --> 00:08:40.000]  Jesus was taken before Herod
[00:08:40.000 --> 00:08:42.000]  Jesus was taken before Herod
[00:08:42.000 --> 00:08:44.000]  Jesus was taken before Herod
[00:08:44.000 --> 00:08:46.000]  Jesus was taken before Herod
[00:08:46.000 --> 00:08:48.000]  Jesus was taken before Herod
[00:08:48.000 --> 00:08:50.000]  Jesus was taken before Herod
[00:08:50.000 --> 00:08:52.000]  He is a man of action
[00:08:52.000 --> 00:08:54.000]  He is a man of action
[00:08:54.000 --> 00:08:56.000]  He ran to the tomb
[00:08:56.000 --> 00:08:58.000]  He ran to the tomb
[00:08:58.000 --> 00:09:00.000]  We see what?
[00:09:00.000 --> 00:09:02.000]  We see what?
[00:09:02.000 --> 00:09:04.000]  He saw the linen and said
[00:09:04.000 --> 00:09:06.000]  Jesus, where are you?
[00:09:06.000 --> 00:09:08.000]  Jesus, where are you?
[00:09:08.000 --> 00:09:10.000]  Jesus' body
[00:09:10.000 --> 00:09:12.000]  What was his reaction?
[00:09:12.000 --> 00:09:14.000]  Silence, he didn't say anything
[00:09:14.000 --> 00:09:16.000]  Silence, he didn't say anything
[00:09:16.000 --> 00:09:18.000]  We read
[00:09:20.000 --> 00:09:22.000]  Peter reached the tomb first
[00:09:22.000 --> 00:09:24.000]  He bent over and looked in the strips of linen
[00:09:24.000 --> 00:09:26.000]  He bent over and looked in the strips of linen
[00:09:26.000 --> 00:09:28.000]  Laying there and did not go in
[00:09:28.000 --> 00:09:30.000]  Laying there and did not go in
[00:09:30.000 --> 00:09:32.000]  Why was he silent?
[00:09:32.000 --> 00:09:34.000]  Why was he silent?
[00:09:34.000 --> 00:09:36.000]  Why was he silent?
[00:09:36.000 --> 00:09:38.000]  Possibly because
[00:09:38.000 --> 00:09:40.000]  Possibly because
[00:09:40.000 --> 00:09:42.000]  He was
[00:09:42.000 --> 00:09:44.000]  He was
[00:09:44.000 --> 00:09:46.000]  He was
[00:09:46.000 --> 00:09:48.000]  He was
[00:09:48.000 --> 00:10:17.200]  人家就說他 你不是那個門徒嗎? 跟隨耶穌的門徒嗎? 他的回應是怎樣? 不是我 你認錯人了 那個人很帥 我不是 你認錯人了 他拒絕了耶穌多少次? 三次 然後那個烏斯托克路德 爸爸!爸爸!
[00:10:17.200 --> 00:10:27.000]  那個烏斯托克路德 他就知道了 耶穌之前跟他說過 之前的烏斯托克路德 你會拒絕我三次
[00:10:27.000 --> 00:10:40.200]  那這個呢 是令到彼得很傷心的 因為他跟隨了耶穌多少年? 多少年? 他做了他的門徒 三年
[00:10:40.200 --> 00:10:55.200]  然後呢 in the moment of temptation 他就很快的拒絕了耶穌 很快的拒絕了耶穌 所以他的回應是從遺憾 他剛剛拒絕了耶穌三次
[00:10:55.200 --> 00:11:11.200]  to restoration to restoration 他看到耶穌是復活 他的words是真的 the things that he said are real he has resurrected Simon Peter的felt need是什麼?
[00:11:11.200 --> 00:11:35.200]  他的felt need is forgiveness he needs the forgiveness of the Lord 耶穌復活了之後 他們很害怕 然後他回去做什麼? 去釣魚 他釣魚的時候 誰在等他? 耶穌在做早餐給他們
[00:11:35.200 --> 00:12:02.200]  因為他們釣魚是晚上的嘛 耶穌在做早餐給他們 他們吃早餐的時候 他就跟Simon Peter說 Do you love me? Feed yes you know Lord 我是很愛你的 Feed my sheep Simon Peter 你愛不愛我? You know I love you Feed my sheep
[00:12:02.200 --> 00:12:18.200]  The third time Simon Peter Do you love me? 耶穌為什麼你問我這麼多次 你知道我愛你 Feed my lambs Be my pastor Be my disciple
[00:12:18.200 --> 00:12:41.200]  在這一刻 Simon Peter experienced the forgiveness of Christ from remorse to restoration 所以我們看到Simon Peter的第一反應是從 remorse to restoration
[00:12:41.200 --> 00:12:53.200]  我們繼續讀第二個角色 Let's read verse 11 一起讀 123 Now Mary stood
[00:12:53.200 --> 00:13:17.200]  婦人 為什麼你哭了? 他們把我的主人帶走了 她說 我不知道他們把他帶去哪裡了
[00:13:17.200 --> 00:13:25.200]  在這一刻 她轉過身看到耶穌站在那裡 但她沒有意識到那是耶穌
[00:13:25.200 --> 00:13:34.200]  他對她說 婦人 為什麼你哭了? 你在找誰? 她以為他是主人
[00:13:34.200 --> 00:13:47.200]  他說 主人 如果你們把他帶走了 告訴我你們把他帶去哪裡 我會找到他
[00:13:47.200 --> 00:14:05.200]  在這一刻 婦人 為什麼你哭了? 他們把我的主人帶走了 她沒有意識到那是耶穌
[00:14:05.200 --> 00:14:16.200]  在這一刻 婦人 為什麼你哭了? 你們把他帶走 我會找到他
[00:14:16.200 --> 00:14:27.200]  是誰先到寺廟的? 是否Peter? 不是Peter 是Mary Magdalene
[00:14:27.200 --> 00:14:38.200]  她和另一個主人帶了香料 因為身體開始發臭的時候會有臭味
[00:14:38.200 --> 00:14:43.200]  所以她帶了香料 以避免身體的臭味
[00:14:43.200 --> 00:14:53.200]  但她去到寺廟的時候 發現寺廟是空的
[00:14:53.200 --> 00:15:03.200]  所以Mary是第一個回應 她一看到寺廟是空的 她馬上去找Peter
[00:15:03.200 --> 00:15:14.200]  跟他的徒弟們說 我看到寺廟是空的 Mary就覺得發生了什麼?
[00:15:14.200 --> 00:15:24.200]  她的回應是 發生了什麼? 是啦 耶穌被人帶走了 他的身體被人帶走了
[00:15:24.200 --> 00:15:34.200]  她以為那個徒弟是把耶穌的身體帶走了 耶穌的身體被人偷走了
[00:15:34.200 --> 00:15:41.200]  然後耶穌就跟她說了什麼? 她的名字是Mary
[00:15:41.200 --> 00:15:48.200]  她一說Mary Mary Magdalene就知道是誰 是Jesus
[00:15:48.200 --> 00:15:55.200]  她回應是Rabbi 意思是老師
[00:15:55.200 --> 00:16:05.200]  Mary Magdalene的心態 她去到寺廟是去懷念愛人的死亡
[00:16:05.200 --> 00:16:09.200]  Jesus whom she loved
[00:16:09.200 --> 00:16:16.200]  但她一去到寺廟 她就很失望
[00:16:16.200 --> 00:16:22.200]  因為她的身體被人帶走了 她以為別人偷走了她的身體
[00:16:22.200 --> 00:16:25.200]  她是失望 是不是?
[00:16:25.200 --> 00:16:33.200]  從悲哀到失望 從失望到遇見耶穌
[00:16:33.200 --> 00:16:37.200]  回應的祈禱 情緒的認同
[00:16:37.200 --> 00:16:43.200]  Mary的需要是什麼? 她是要聽到耶穌的回應
[00:16:43.200 --> 00:16:48.200]  回應的祈禱 情緒的認同
[00:16:48.200 --> 00:16:51.200]  一種與耶穌的連結
[00:16:51.200 --> 00:16:54.200]  我們看了兩個人物
[00:16:54.200 --> 00:16:57.200]  Simon Peter 他是怎樣?
[00:16:57.200 --> 00:17:01.200]  他看到寺廟是沉默的 沒有說話的
[00:17:01.200 --> 00:17:09.200]  因為他還在處理 三次拒絕耶穌 令耶穌失望
[00:17:09.200 --> 00:17:15.200]  Mary Magdalene 去到寺廟就哭了
[00:17:15.200 --> 00:17:23.200]  她在懷念耶穌的死亡
[00:17:23.200 --> 00:17:30.200]  然後她個人遇見了耶穌 稱呼祂為Mary
[00:17:30.200 --> 00:17:33.200]  我們現在有一個討論時間
[00:17:33.200 --> 00:17:40.200]  第一個問題 如果你在空的寺廟 你會怎樣回應?
[00:17:40.200 --> 00:17:43.200]  我會立即叫祂帶我上天堂
[00:17:43.200 --> 00:17:47.200]  因為我知道祂是神
[00:17:47.200 --> 00:17:56.200]  不用死 原來祂可以帶我上天堂
[00:17:56.200 --> 00:18:03.200]  只有兩個人沒有死 誰是在聖經裡面?
[00:18:03.200 --> 00:18:07.200]  不是Moses 但Moses已經死了
[00:18:07.200 --> 00:18:11.200]  Elijah 去了火牆
[00:18:11.200 --> 00:18:14.200]  還有Enoch
[00:18:14.200 --> 00:18:17.200]  如果你在空的寺廟 你會怎樣回應?
[00:18:17.200 --> 00:18:21.200]  我會很害怕
[00:18:21.200 --> 00:18:29.200]  還是在處理 發生了什麼事
[00:18:29.200 --> 00:18:35.200]  第二個問題 你相信耶穌的復活嗎?
[00:18:35.200 --> 00:18:41.200]  因為那些門徒 他們可能是漁人或稅收員
[00:18:41.200 --> 00:18:45.200]  其實耶穌死的時候 他們都離開了
[00:18:45.200 --> 00:18:50.200]  都很害怕 可能那些諸侯或羅馬士兵會抓他們
[00:18:50.200 --> 00:18:55.200]  我覺得如果耶穌沒有復活
[00:18:55.200 --> 00:18:59.200]  他們是不會用他們的生命去傳福音
[00:18:59.200 --> 00:19:07.200]  因為這件事是真的 他們都會為了耶穌而死
[00:19:07.200 --> 00:19:11.200]  非常好 給點掌聲
[00:19:11.200 --> 00:19:14.200]  還有其他人嗎?
[00:19:14.200 --> 00:19:17.200]  因為我們一開始就相信這個神
[00:19:17.200 --> 00:19:24.200]  自然會接受其他的神蹟或神蹟歧視
[00:19:24.200 --> 00:19:26.200]  還有我們剛剛有討論到
[00:19:26.200 --> 00:19:29.200]  如果他不復活 就證明不了他的神
[00:19:29.200 --> 00:19:32.200]  他只是和我們人一樣 是不能復活
[00:19:32.200 --> 00:19:36.200]  但是他藉著這個復活 向世人證明他是神
[00:19:36.200 --> 00:19:39.200]  他是勝過死亡的神 是救贖他們的
[00:19:39.200 --> 00:19:42.200]  所以這個就是他的復活
[00:19:42.200 --> 00:19:44.200]  非常好
[00:19:44.200 --> 00:19:47.200]  Auntie Rita
[00:19:47.200 --> 00:19:52.200]  如果我說我九歲在哈佛畢業
[00:19:52.200 --> 00:19:56.200]  是沒有人會相信的 除非是真的
[00:19:56.200 --> 00:19:59.200]  所以一些很不可能發生的事
[00:19:59.200 --> 00:20:02.200]  如果不是真的 是不會傳到這麼久
[00:20:02.200 --> 00:20:04.200]  也有這麼多人相信
[00:20:04.200 --> 00:20:06.200]  我們看了Simon Peter
[00:20:06.200 --> 00:20:08.200]  他的反應是什麼?
[00:20:08.200 --> 00:20:19.200]  Remorse to Restoration
[00:20:19.200 --> 00:20:22.200]  Mary Magdalene的反應是什麼?
[00:20:22.200 --> 00:20:28.200]  Mourning to Messenger
[00:20:28.200 --> 00:20:31.200]  因為耶穌叫他去告訴弟子們
[00:20:31.200 --> 00:20:33.200]  你們所見所聞
[00:20:33.200 --> 00:20:37.200]  我們來看下一個人物
[00:20:37.200 --> 00:20:39.200]  1, 2, 3
[00:20:39.200 --> 00:20:42.200]  Thomas 也叫 Didymus
[00:20:42.200 --> 00:20:44.200]  其中一個十二人
[00:20:44.200 --> 00:20:47.200]  當耶穌降臨時 並沒有和弟子們一起
[00:20:47.200 --> 00:20:49.200]  所以其他弟子們告訴他
[00:20:49.200 --> 00:21:05.200]  一週後 他的弟子們再次進入房間
[00:21:05.200 --> 00:21:07.200]  Thomas和他們在一起
[00:21:07.200 --> 00:21:09.200]  雖然門被鎖住
[00:21:09.200 --> 00:21:11.200]  但耶穌站在他們之間說
[00:21:11.200 --> 00:21:13.200]  「和平與你同在」
[00:21:36.200 --> 00:21:40.200]  Thomas的反應是什麼?
[00:21:40.200 --> 00:21:44.200]  He is a skeptic
[00:21:44.200 --> 00:21:48.200]  Skeptic 即是甚麼都不相信
[00:21:48.200 --> 00:21:51.200]  他要看到證據才會相信
[00:21:51.200 --> 00:21:53.200]  你認識這些人嗎?
[00:21:53.200 --> 00:21:55.200]  很Skeptical
[00:21:55.200 --> 00:21:58.200]  你是不是真的吃了漢堡包?
[00:21:58.200 --> 00:22:01.200]  給你一個肚子看
[00:22:04.200 --> 00:22:06.200]  他就說
[00:22:06.200 --> 00:22:10.200]  Unless I see the nails in your hands
[00:22:10.200 --> 00:22:13.200]  and put my hand by your side
[00:22:13.200 --> 00:22:15.200]  I will not believe
[00:22:15.200 --> 00:22:17.200]  Thomas是這樣說的
[00:22:17.200 --> 00:22:19.200]  他想要看到Physical Proof
[00:22:19.200 --> 00:22:21.200]  Feel到Physical Proof
[00:22:21.200 --> 00:22:26.200]  Thomas的反應是什麼?
[00:22:26.200 --> 00:22:31.200]  From doubt to faith
[00:22:31.200 --> 00:22:34.200]  耶穌在房間
[00:22:34.200 --> 00:22:39.200]  Thomas不知為何不在房間
[00:22:39.200 --> 00:22:41.200]  和弟子們一起
[00:22:41.200 --> 00:22:45.200]  耶穌第一次公開自己的時候
[00:22:45.200 --> 00:22:49.200]  Thomas看到耶穌
[00:22:49.200 --> 00:22:51.200]  He put his finger on his side
[00:22:51.200 --> 00:22:53.200]  他的反應是什麼?
[00:22:53.200 --> 00:22:56.200]  My Lord and my God
[00:22:56.200 --> 00:22:58.200]  My Lord and my God
[00:22:58.200 --> 00:23:01.200]  他是敬拜耶穌
[00:23:01.200 --> 00:23:03.200]  Worship the Lord
