
[00:00:00.000 --> 00:00:04.800]  我今天給的題目是spiritual talking
[00:05:52.160 --> 00:05:54.160]  我讀出吧
[00:05:54.160 --> 00:05:59.160]  哥羅西書三章一至二節
[00:05:59.160 --> 00:06:04.160]  所以既然你們已經與基督一同復活
[00:06:04.160 --> 00:06:06.160]  就當求上面的事
[00:06:06.160 --> 00:06:09.160]  哪裡有基督 坐在神的右邊
[00:06:09.160 --> 00:06:11.160]  你們要思考上面的事
[00:06:11.160 --> 00:06:13.160]  不要思考地上的事
[00:06:13.160 --> 00:06:15.160]  說了兩次
[00:06:15.160 --> 00:06:17.160]  當求上面的事
[00:06:17.160 --> 00:06:19.160]  和你們要思考上面的事
[00:06:19.160 --> 00:06:21.160]  就是保羅說
[00:06:21.160 --> 00:06:26.160]  你看上面 不要看下面
[00:06:26.160 --> 00:06:29.160]  Don't do spiritual talking
[00:06:29.160 --> 00:06:34.160]  其實哥羅西書是保羅在監獄裡面寫的
[00:06:34.160 --> 00:06:39.160]  那時候羅馬帝國很殘酷
[00:06:39.160 --> 00:06:42.160]  還有尼羅王也是很瘋狂
[00:06:42.160 --> 00:06:44.160]  那時候他在統治
[00:06:44.160 --> 00:06:47.160]  他們就將保羅收監
[00:06:47.160 --> 00:06:48.160]  所以可想而知
[00:06:48.160 --> 00:06:52.160]  其實其他基督徒都同樣受到逼迫
[00:06:52.160 --> 00:06:54.160]  同時在哥羅西教會裡面
[00:06:54.160 --> 00:06:58.160]  有很多假師傅都在迷惑信徒
[00:06:58.160 --> 00:07:00.160]  異端也出現了
[00:07:00.160 --> 00:07:03.160]  其中一個異端就是諾斯底主義
[00:07:03.160 --> 00:07:09.160]  他們說肉體和靈界的事是分開的
[00:07:09.160 --> 00:07:11.160]  肉體是很卑賤的
[00:07:11.160 --> 00:07:13.160]  不值得一提
[00:07:13.160 --> 00:07:15.160]  所以我們是肉體的
[00:07:15.160 --> 00:07:19.160]  我們可以怎樣都行
[00:07:19.160 --> 00:07:21.160]  而同時他們覺得
[00:07:21.160 --> 00:07:24.160]  相信耶穌基督就算他們是基督徒
[00:07:24.160 --> 00:07:26.160]  相信耶穌基督是不夠的
[00:07:26.160 --> 00:07:32.160]  諾斯底主義是指知識
[00:07:32.160 --> 00:07:34.160]  除了信耶穌之外
[00:07:34.160 --> 00:07:36.160]  你還要有一種特別的知識
[00:07:36.160 --> 00:07:40.160]  不知你怎樣修煉或得到這種知識
[00:07:40.160 --> 00:07:42.160]  你才可以得救
[00:07:42.160 --> 00:07:46.160]  所以只是信耶穌是不足夠的
[00:07:46.160 --> 00:07:50.160]  那時候那些人是有這種異端進入了教會
[00:07:50.160 --> 00:07:52.160]  第三個問題是
[00:07:52.160 --> 00:07:56.160]  在那時候信主前是猶太人
[00:07:56.160 --> 00:08:01.160]  也有一些猶太人很崇尚律法
[00:08:01.160 --> 00:08:04.160]  他們是極端地注意
[00:08:04.160 --> 00:08:06.160]  其實你信了基督之後
[00:08:06.160 --> 00:08:08.160]  你仍然要嚴守著摩西律法的規條
[00:08:08.160 --> 00:08:13.160]  例如安息日、割禮、守節日
[00:08:13.160 --> 00:08:15.160]  甚至去敬拜天使
[00:08:15.160 --> 00:08:18.160]  或者是苦行、禁慾
[00:08:18.160 --> 00:08:19.160]  你才可以得救
[00:08:19.160 --> 00:08:21.160]  那時候在哥羅西教會裡
[00:08:21.160 --> 00:08:24.160]  是存在著一切這樣的問題
[00:08:24.160 --> 00:08:26.160]  其實我只可以簡單來說
[00:08:26.160 --> 00:08:30.160]  哥羅西教會是一個struggling church
[00:08:30.160 --> 00:08:31.160]  他們是struggling
[00:08:31.160 --> 00:08:33.160]  而很容易
[00:08:33.160 --> 00:08:35.160]  為什麼保羅要說
[00:08:35.160 --> 00:08:37.160]  Seek the things above
[00:08:37.160 --> 00:08:40.160]  還有就是
[00:08:40.160 --> 00:08:42.160]  你要去看上面
[00:08:42.160 --> 00:08:46.160]  當你面對著很多問題的時候
[00:08:46.160 --> 00:08:49.160]  你是很容易要捉緊自己
[00:08:49.160 --> 00:08:53.160]  要去嘗試找我的solution
[00:08:53.160 --> 00:08:55.160]  但保羅說不是
[00:08:55.160 --> 00:08:59.160]  在一切的問題、一切的掙扎當中
[00:08:59.160 --> 00:09:00.160]  你要求上面的事
[00:09:00.160 --> 00:09:03.160]  因為基督在那裡
[00:09:03.160 --> 00:09:05.160]  紅色的字真的highlight了
[00:09:05.160 --> 00:09:09.160]  就是乃女有基督坐在神的右邊
[00:09:09.160 --> 00:09:12.160]  其實復活的耶穌
[00:09:12.160 --> 00:09:15.160]  現在就是坐在神的右邊
[00:09:15.160 --> 00:09:16.160]  什麼叫做坐在神的右邊
[00:09:16.160 --> 00:09:20.160]  是一個有權柄、有威榮和有影響力的位置
[00:09:20.160 --> 00:09:23.160]  Precision of power, prestige and influence
[00:09:23.160 --> 00:09:25.160]  為什麼你不去看上面
[00:09:25.160 --> 00:09:28.160]  其實你一看上去就看到這個基督
[00:09:28.160 --> 00:09:29.160]  這個神
[00:09:29.160 --> 00:09:32.160]  其實He is for you
[00:09:32.160 --> 00:09:36.160]  And He has got a handle to all your problems
[00:09:36.160 --> 00:09:38.160]  為什麼你不就這樣去看上面
[00:09:38.160 --> 00:09:43.160]  而去用自己的方法去處理你的問題呢
[00:09:43.160 --> 00:09:46.160]  我想你們現在都在面對讀書的問題
[00:09:46.160 --> 00:09:50.160]  可能要面對考大學的問題
[00:09:50.160 --> 00:09:52.160]  人際關係的問題
[00:09:52.160 --> 00:09:57.160]  這個比賽可能某個比賽輸完又輸
[00:09:57.160 --> 00:09:59.160]  我還有沒有機會呢?
[00:09:59.160 --> 00:10:02.160]  可能你現在都在遇很多的問題
[00:10:02.160 --> 00:10:03.160]  不過我只可以說
[00:10:03.160 --> 00:10:05.160]  你們還小
[00:10:05.160 --> 00:10:08.160]  以後你們大過要遇的問題
[00:10:08.160 --> 00:10:10.160]  可能是更大
[00:10:10.160 --> 00:10:12.160]  所以我想勉勵你
[00:10:12.160 --> 00:10:14.160]  不只是面對你現在的問題
[00:10:14.160 --> 00:10:16.160]  而是在你人生的路上
[00:10:16.160 --> 00:10:20.160]  你會慢慢遇到更多複雜的人和事
[00:10:20.160 --> 00:10:23.160]  可能你要大過一點
[00:10:23.160 --> 00:10:25.160]  你要處理很多的失誤
[00:10:25.160 --> 00:10:30.160]  不只是可能這次的考試考不到
[00:10:30.160 --> 00:10:35.160]  可能你會有失去一個愛人
[00:10:35.160 --> 00:10:38.160]  可能你會失去工作
[00:10:38.160 --> 00:10:41.160]  可能你會失去一些東西你是不能承擔的
[00:10:41.160 --> 00:10:43.160]  或者可能你現在是struggle
[00:10:43.160 --> 00:10:47.160]  以後你會經過很多的transition in life
[00:10:47.160 --> 00:10:49.160]  而其實都有很多的decision
[00:10:49.160 --> 00:10:53.160]  或者很多的掙扎在裏面
[00:10:53.160 --> 00:10:56.160]  保羅和我給你的訓練就是
[00:10:56.160 --> 00:10:59.160]  Look up, God has got it
[00:10:59.160 --> 00:11:01.160]  如果神愛你
[00:11:01.160 --> 00:11:07.160]  和耶穌願意將他的生命交給你的時候
[00:11:07.160 --> 00:11:11.160]  其實他有什麼不願意給你呢?
[00:11:11.160 --> 00:11:13.160]  耶穌是有能力的
[00:11:13.160 --> 00:11:16.160]  而且他願意幫助你
[00:11:16.160 --> 00:11:21.160]  所以我們為何要去求上面的事
[00:11:21.160 --> 00:11:22.160]  當你看到耶穌
[00:11:22.160 --> 00:11:25.160]  你心裏就會有一種穩定
[00:11:25.160 --> 00:11:29.160]  你知道他會幫助你
[00:11:29.160 --> 00:11:33.160]  他會help you get through all your problems
[00:11:33.160 --> 00:11:36.160]  我記得有一次
[00:11:36.160 --> 00:11:40.160]  我小時候和家人去歐洲旅行
[00:11:40.160 --> 00:11:42.160]  爸爸要去開車
[00:11:42.160 --> 00:11:43.160]  有兩個家庭
[00:11:43.160 --> 00:11:47.160]  我一個家庭和另一個家庭
[00:11:47.160 --> 00:11:49.160]  其實一去的時候
[00:11:49.160 --> 00:11:51.160]  我每一天都會問
[00:11:51.160 --> 00:11:52.160]  我們去哪裏?
[00:11:52.160 --> 00:11:54.160]  爸爸你開車去哪裏?
[00:11:54.160 --> 00:11:56.160]  去哪裏?
[00:11:56.160 --> 00:11:59.160]  現在回想起來都覺得自己很煩
[00:11:59.160 --> 00:12:01.160]  但是到有一刻
[00:12:01.160 --> 00:12:04.160]  我想可能問到第三、四天
[00:12:04.160 --> 00:12:06.160]  我開始不問了
[00:12:06.160 --> 00:12:08.160]  為什麼呢?
[00:12:08.160 --> 00:12:09.160]  因為其實算了
[00:12:09.160 --> 00:12:11.160]  他講了英文的地名
[00:12:11.160 --> 00:12:13.160]  其實我都不知道在哪裏
[00:12:13.160 --> 00:12:15.160]  不過我想有一樣東西我知道
[00:12:15.160 --> 00:12:18.160]  就是我爸爸開車
[00:12:18.160 --> 00:12:23.160]  所以我知道無論去哪裏都會好玩
[00:12:23.160 --> 00:12:27.160]  而且我不會被傷害
[00:12:27.160 --> 00:12:31.160]  所以我知道爸爸開車就行了
[00:12:31.160 --> 00:12:35.160]  我有一個掌握我的未來和問題
[00:12:35.160 --> 00:12:37.160]  另一個例子
[00:12:37.160 --> 00:12:39.160]  我當時預備的時候就想到
[00:12:39.160 --> 00:12:41.160]  都是和去旅行有關
[00:12:41.160 --> 00:12:46.160]  其實我爸爸是一個二科醫生
[00:12:46.160 --> 00:12:50.160]  其實我從小到大都懂得自己執藥
[00:12:50.160 --> 00:12:52.160]  大概我什麼病
[00:12:52.160 --> 00:12:54.160]  我家裏有很大一批藥
[00:12:54.160 --> 00:12:56.160]  我懂得自己吃
[00:12:56.160 --> 00:12:57.160]  有一次去旅行
[00:12:57.160 --> 00:12:59.160]  去旅行都會生病
[00:12:59.160 --> 00:13:01.160]  去旅行生病我就會想
[00:13:01.160 --> 00:13:03.160]  我自己執什麼藥給自己呢?
[00:13:03.160 --> 00:13:04.160]  我心想
[00:13:04.160 --> 00:13:05.160]  執一下
[00:13:05.160 --> 00:13:07.160]  好像是否要執胃藥、頭痛藥
[00:13:07.160 --> 00:13:09.160]  還是會頭暈藥那些
[00:13:09.160 --> 00:13:11.160]  但是我想一想
[00:13:11.160 --> 00:13:13.160]  不是的,我爸爸和我一起去
[00:13:13.160 --> 00:13:15.160]  其實我用不著執藥
[00:13:15.160 --> 00:13:17.160]  我執我自己
[00:13:17.160 --> 00:13:19.160]  我自己去就行了
[00:13:19.160 --> 00:13:20.160]  我知道去旅行
[00:13:20.160 --> 00:13:21.160]  就算我去旅行生病了
[00:13:21.160 --> 00:13:23.160]  我爸爸在我身旁
[00:13:23.160 --> 00:13:26.160]  其實我不用去計劃那麼多
[00:13:26.160 --> 00:13:28.160]  如果當我看起來
[00:13:28.160 --> 00:13:29.160]  我看到
[00:13:29.160 --> 00:13:32.160]  是呀,現實是我爸爸開車
[00:13:32.160 --> 00:13:34.160]  現實是我爸爸和我一起去旅行
[00:13:34.160 --> 00:13:35.160]  我生病了
[00:13:35.160 --> 00:13:37.160]  他有解決我的問題
[00:13:37.160 --> 00:13:39.160]  不是我自己看著
[00:13:39.160 --> 00:13:41.160]  執著一批藥
[00:13:41.160 --> 00:13:44.160]  我就可以應付得了
[00:13:44.160 --> 00:13:45.160]  所以
[00:13:45.160 --> 00:13:47.160]  第一個就是當頭上面的事
[00:13:47.160 --> 00:13:48.160]  因為我們基督在上面
[00:13:48.160 --> 00:13:53.160]  他在影響力和尊重的位置
[00:13:53.160 --> 00:13:55.160]  第二就是保羅勸勉
[00:13:55.160 --> 00:13:57.160]  保羅勸勉西教會的人
[00:13:57.160 --> 00:13:58.160]  他說當頭上面的事
[00:13:58.160 --> 00:14:01.160]  因為你在基督裡有新的生命
[00:14:01.160 --> 00:14:02.160]  他第一句已經說了
[00:14:02.160 --> 00:14:08.160]  所以,既然你們已經與基督一同復活
[00:14:08.160 --> 00:14:10.160]  其實那個基礎
[00:14:10.160 --> 00:14:11.160]  你看起來
[00:14:11.160 --> 00:14:15.160]  是因為你已經和基督一起復活
[00:14:15.160 --> 00:14:17.160]  你有沒有忘記了
[00:14:17.160 --> 00:14:20.160]  今天其實你是有新的生命在基督
[00:14:20.160 --> 00:14:22.160]  你不再是那個救我
[00:14:22.160 --> 00:14:24.160]  你已經是被神呼召了出來
[00:14:24.160 --> 00:14:26.160]  是一個新造的人
[00:14:26.160 --> 00:14:27.160]  應該是有新的樣式
[00:14:27.160 --> 00:14:30.160]  以前的哥羅西教會的人
[00:14:30.160 --> 00:14:33.160]  他們不是覺得有基督是不對的
[00:14:33.160 --> 00:14:36.160]  對,不過好像不夠
[00:14:36.160 --> 00:14:38.160]  我是不是要回去守律法
[00:14:38.160 --> 00:14:40.160]  我是不是又要去割禮
[00:14:40.160 --> 00:14:42.160]  我是不是又要守那些節旗
[00:14:42.160 --> 00:14:44.160]  又或者是否基督不夠
[00:14:44.160 --> 00:14:46.160]  所以我要一些特別的知識
[00:14:46.160 --> 00:14:48.160]  以致我才可以真正得救呢
[00:14:48.160 --> 00:14:49.160]  保羅說不是
[00:14:49.160 --> 00:14:50.160]  其實你記不記得
[00:14:50.160 --> 00:14:53.160]  你已經是和基督一起復活了
[00:14:53.160 --> 00:14:54.160]  And that's it
[00:14:54.160 --> 00:14:56.160]  這個已經是足夠了
[00:14:56.160 --> 00:14:58.160]  但是哥羅西教會的人
[00:14:58.160 --> 00:15:00.160]  仍然有一種spiritual talking
[00:15:00.160 --> 00:15:01.160]  就是不夠
[00:15:01.160 --> 00:15:03.160]  我要回去我的old way of life
[00:15:03.160 --> 00:15:04.160]  我只是看到自己
[00:15:04.160 --> 00:15:07.160]  而不是完全去看上面的事
[00:15:07.160 --> 00:15:10.160]  我記得以前在教會
[00:15:10.160 --> 00:15:14.160]  有一個導師說到一個
[00:15:14.160 --> 00:15:16.160]  有一個比喻
[00:15:16.160 --> 00:15:17.160]  就是說
[00:15:17.160 --> 00:15:19.160]  曾經有一個婆婆
[00:15:19.160 --> 00:15:21.160]  她就背著一個
[00:15:21.160 --> 00:15:24.160]  很大塊、很重的東西
[00:15:24.160 --> 00:15:26.160]  在街上走
[00:15:26.160 --> 00:15:28.160]  有一個很深的司機
[00:15:28.160 --> 00:15:30.160]  開車經過的時候
[00:15:30.160 --> 00:15:31.160]  就很深
[00:15:31.160 --> 00:15:32.160]  看到她說
[00:15:32.160 --> 00:15:34.160]  婆婆,你去哪裏啊
[00:15:34.160 --> 00:15:36.160]  我載你一起
[00:15:36.160 --> 00:15:38.160]  婆婆,哎呀,你真是好人啊
[00:15:38.160 --> 00:15:40.160]  好啊,你載我一起
[00:15:40.160 --> 00:15:42.160]  那婆婆就上了車
[00:15:42.160 --> 00:15:45.160]  她在車的後面
[00:15:45.160 --> 00:15:47.160]  司機又上車,繼續開車
[00:15:47.160 --> 00:15:50.160]  但是當下車的時候
[00:15:50.160 --> 00:15:52.160]  司機去到車的後面
[00:15:52.160 --> 00:15:57.160]  看到婆婆站在車的後面
[00:15:57.160 --> 00:16:00.160]  繼續背著她的重擔
[00:16:00.160 --> 00:16:02.160]  我想說些什麼呢
[00:16:02.160 --> 00:16:04.160]  我想說的就是
[00:16:04.160 --> 00:16:07.160]  那個司機過來是想幫婆婆
[00:16:07.160 --> 00:16:09.160]  其實他已經被拯救了
[00:16:09.160 --> 00:16:10.160]  但是他不知道
[00:16:10.160 --> 00:16:12.160]  他不知道,所以他仍然
[00:16:12.160 --> 00:16:14.160]  很辛苦地站著
[00:16:14.160 --> 00:16:15.160]  他只有一半的相信
[00:16:15.160 --> 00:16:17.160]  只是站在車的後面
[00:16:17.160 --> 00:16:18.160]  起碼他不用走路
[00:16:18.160 --> 00:16:22.160]  但是他仍然背著他的重擔
[00:16:22.160 --> 00:16:24.160]  我想我們很多時候
[00:16:24.160 --> 00:16:25.160]  忘記了
[00:16:25.160 --> 00:16:29.160]  當我們已經信了耶穌
[00:16:29.160 --> 00:16:32.160]  在祂裏面已經有新的生命
[00:16:32.160 --> 00:16:35.160]  已經和基督一同復活了
[00:16:35.160 --> 00:16:37.160]  我們不要忘記了
[00:16:37.160 --> 00:16:38.160]  天上這位主
[00:16:38.160 --> 00:16:41.160]  預備了一切的豐盛給我們
[00:16:41.160 --> 00:16:42.160]  我們不需要
[00:16:42.160 --> 00:16:45.160]  享受祂一半給我們的豐盛
[00:16:45.160 --> 00:16:47.160]  一半要背著自己的重擔
[00:16:47.160 --> 00:16:49.160]  或者用自己的方法
[00:16:49.160 --> 00:16:53.160]  去幫助我們自己的得救
[00:16:53.160 --> 00:16:56.160]  或者去處理我們自己的問題
[00:16:56.160 --> 00:17:00.160]  他已經預備了一切的豐盛給我們
[00:17:00.160 --> 00:17:03.160]  我們只需要轉一轉我們的眼光
[00:17:03.160 --> 00:17:06.160]  就能夠享受了
[00:17:06.160 --> 00:17:09.160]  在美國讀書的時候
[00:17:09.160 --> 00:17:11.160]  有一個教授很短的
[00:17:11.160 --> 00:17:14.160]  有一次他跟我說了一個故事
[00:17:14.160 --> 00:17:19.160]  他說他收養了一個黑人的小朋友
[00:17:19.160 --> 00:17:22.160]  你知道美國也有黑人
[00:17:22.160 --> 00:17:24.160]  他收養了一個黑人小朋友
[00:17:24.160 --> 00:17:26.160]  第一次他接他回家的時候
[00:17:26.160 --> 00:17:28.160]  這個孤兒
[00:17:28.160 --> 00:17:31.160]  前面真的放了很多食物
[00:17:31.160 --> 00:17:35.160]  他只吃了一點點
[00:17:35.160 --> 00:17:38.160]  本來我的教授以為他害羞
[00:17:38.160 --> 00:17:40.160]  誰知道連續一個星期
[00:17:40.160 --> 00:17:43.160]  他只吃了桌上的食物
[00:17:43.160 --> 00:17:46.160]  他每一次都只吃了一點點
[00:17:46.160 --> 00:17:48.160]  有一次他問這個小朋友
[00:17:48.160 --> 00:17:52.160]  他說:為什麼我們預備了這麼多食物給你吃
[00:17:52.160 --> 00:17:55.160]  但是你只吃了一點點呢?
[00:17:55.160 --> 00:18:01.160]  小朋友說:其實我怕我吃完之後不會再有下一餐
[00:18:01.160 --> 00:18:05.160]  我想這是他的心態
[00:18:05.160 --> 00:18:08.160]  吃完之後不會再有下一餐
[00:18:08.160 --> 00:18:11.160]  我覺得是他的舊概念
[00:18:11.160 --> 00:18:14.160]  是不會再有下一餐
[00:18:14.160 --> 00:18:16.160]  但是現在他是一個孤兒
[00:18:16.160 --> 00:18:18.160]  被接受了回到神的家
[00:18:18.160 --> 00:18:21.160]  你當一個教授有很多物質
[00:18:21.160 --> 00:18:23.160]  可以提供給他的家
[00:18:23.160 --> 00:18:28.160]  其實他不再需要去生活在他的舊餓
[00:18:28.160 --> 00:18:30.160]  或者他舊的習慣
[00:18:30.160 --> 00:18:32.160]  就是吃一點點
[00:18:32.160 --> 00:18:34.160]  怕之後不會有得吃
[00:18:34.160 --> 00:18:38.160]  不過有很多時候我們作為基督徒
[00:18:38.160 --> 00:18:42.160]  都是神這次給了我一點點之後會不會沒有了
[00:18:42.160 --> 00:18:46.160]  我們不明白在神的國裏面
[00:18:46.160 --> 00:18:48.160]  那個的豐盛
[00:18:48.160 --> 00:18:50.160]  那個的多
[00:18:50.160 --> 00:18:51.160]  他那個的好
[00:18:51.160 --> 00:18:53.160]  他願意有多大的賜予
[00:18:53.160 --> 00:18:57.160]  而我們仍然去嘗試用我們的方法
[00:18:57.160 --> 00:19:00.160]  去保留我們一點點的食物
[00:19:00.160 --> 00:19:02.160]  以致我們以後去足夠
[00:19:02.160 --> 00:19:07.160]  仍然用我們舊餓的方法去過我們的生活
[00:19:07.160 --> 00:19:09.160]  但是保羅說
[00:19:09.160 --> 00:19:10.160]  不是的
[00:19:10.160 --> 00:19:12.160]  你看到嗎
[00:19:12.160 --> 00:19:16.160]  你已經在基督裏面有新的生命
[00:19:16.160 --> 00:19:20.160]  所以要尋找上面的東西
[00:19:20.160 --> 00:19:28.160]  第三個保羅給加羅西教會的人和我們的勸勉
[00:19:28.160 --> 00:19:35.160]  就是你怎樣可以set your mind on the things above
[00:19:35.160 --> 00:19:43.160]  就是你不去set your mind on the things on earth
[00:19:43.160 --> 00:19:47.160]  中文就說到不要思考地上的事
[00:19:47.160 --> 00:19:50.160]  我想你第一個想法就會是
[00:19:50.160 --> 00:19:55.160]  難道我每天都去教會就可以嗎
[00:19:55.160 --> 00:19:57.160]  我不思考地上的事
[00:19:57.160 --> 00:20:00.160]  其實我都照樣要生活
[00:20:00.160 --> 00:20:03.160]  我可以不去顧念地上的事嗎
