
[00:00:00.000 --> 00:00:22.000]  《新教育法例》第十三章 第十一至十六節 舊約聖經596頁
[00:20:39.000 --> 00:20:41.000]  我看明神沒有差遣他
[00:20:41.000 --> 00:20:44.000]  是他自己說話攻擊我
[00:20:44.000 --> 00:20:48.000]  是多比亞和森巴拉賄賣了他
[00:20:48.000 --> 00:20:52.000]  賄賣他的緣故是要我懼怕
[00:20:52.000 --> 00:20:53.000]  依從他犯罪
[00:20:53.000 --> 00:20:57.000]  他們很全然惡言,誹謗我
[00:20:57.000 --> 00:21:03.000]  我的神啊!多比亞、森巴拉、呂仙之、羅亞底
[00:21:03.000 --> 00:21:06.000]  和其餘的先知要我懼怕
[00:21:06.000 --> 00:21:11.000]  求祢紀念他們所行的這些事
[00:21:11.000 --> 00:21:15.000]  兩次的招數
[00:21:15.000 --> 00:21:19.000]  叫李希米離開耶路撒冷
[00:21:19.000 --> 00:21:22.000]  去阿羅平縣跟他們談
[00:21:22.000 --> 00:21:25.000]  這一招用不著
[00:21:25.000 --> 00:21:28.000]  於是他們設計了一招
[00:21:28.000 --> 00:21:33.000]  不如在耶路撒冷裡面見面吧
[00:21:33.000 --> 00:21:38.000]  這次這一招厲害了
[00:21:38.000 --> 00:21:44.000]  不只是城外、耶路撒冷以外那幾個國家的人
[00:21:44.000 --> 00:21:47.000]  去攻擊李希米
[00:21:47.000 --> 00:21:50.000]  這次是賄賂他們當中
[00:21:50.000 --> 00:21:52.000]  自己猶太人裡面的人
[00:21:52.000 --> 00:21:54.000]  這個人是誰?
[00:21:54.000 --> 00:21:56.000]  這個人是施瑪雅
[00:21:57.000 --> 00:22:00.000]  從這段經文裡知道
[00:22:00.000 --> 00:22:02.000]  他是一個講預言的先知
[00:22:02.000 --> 00:22:05.000]  他是一個可以入聖殿的祭司
[00:22:05.000 --> 00:22:08.000]  他是一個人所共知的宗教領袖
[00:22:08.000 --> 00:22:12.000]  但是他竟然被賄賣
[00:22:12.000 --> 00:22:15.000]  李希米來見他
[00:22:15.000 --> 00:22:19.000]  他彷彿講了一個神諭
[00:22:19.000 --> 00:22:21.000]  講了一個預言
[00:22:21.000 --> 00:22:26.000]  告訴他:仇敵要來殺你
[00:22:26.000 --> 00:22:30.000]  經文直譯就是今晚就要來殺你
[00:22:30.000 --> 00:22:33.000]  他還很好
[00:22:33.000 --> 00:22:36.000]  他彷彿提供了一個出路給他
[00:22:36.000 --> 00:22:38.000]  那個出路是什麼?
[00:22:38.000 --> 00:22:40.000]  你跟我在聖殿裡面會面吧
[00:22:40.000 --> 00:22:42.000]  我們將電門關鎖
[00:22:42.000 --> 00:22:45.000]  敵人就進不來了
[00:22:45.000 --> 00:22:49.000]  你就在一個安全的處境
[00:22:49.000 --> 00:22:55.000]  同樣,李希米也是沒有中計
[00:22:55.000 --> 00:23:04.000]  他知道上帝沒有猜這個所謂先知、祭司、宗教領袖
[00:23:04.000 --> 00:23:06.000]  去講上帝的話
[00:23:06.000 --> 00:23:09.000]  他反而知道他講這番話
[00:23:09.000 --> 00:23:13.000]  是多比亞牽頭的這班人去指使、設的局
[00:23:13.000 --> 00:23:15.000]  目的是什麼?
[00:23:15.000 --> 00:23:18.000]  目的是使李希米懼怕
[00:23:18.000 --> 00:23:22.000]  是要他自己擔心自己的安危
[00:23:23.000 --> 00:23:26.000]  還引誘他、迫使他做出一些
[00:23:26.000 --> 00:23:30.000]  得罪上帝、得罪人的舉動
[00:23:30.000 --> 00:23:32.000]  為什麼這樣說?
[00:23:32.000 --> 00:23:35.000]  他是一省之長
[00:23:35.000 --> 00:23:37.000]  如果他逃跑
[00:23:37.000 --> 00:23:43.000]  就是一個恐懼、懦弱和自我保護的表現
[00:23:43.000 --> 00:23:45.000]  他只顧著自己的安危
[00:23:45.000 --> 00:23:49.000]  他怎樣成為省內居民的榜樣?
[00:23:49.000 --> 00:23:53.000]  他必定在他的百姓面前無地自容
[00:23:53.000 --> 00:23:58.000]  第二,其實一般的信徒是不可以入聖殿
[00:23:58.000 --> 00:24:02.000]  即使他是位高權重的省長
[00:24:02.000 --> 00:24:05.000]  他都沒有資格入聖殿
[00:24:05.000 --> 00:24:11.000]  因為這不是上帝賦予他的權利
[00:24:11.000 --> 00:24:14.000]  這是犯上宗教的罪行
[00:24:14.000 --> 00:24:16.000]  是得罪上帝
[00:24:17.000 --> 00:24:21.000]  所以敵人這次的計謀更加厲害
[00:24:21.000 --> 00:24:24.000]  第一、第二次,如果他中計的話
[00:24:24.000 --> 00:24:28.000]  以色列人還懂得分清敵、我
[00:24:28.000 --> 00:24:31.000]  但如果這次他中計
[00:24:31.000 --> 00:24:36.000]  李希米就會在以色列民面前大失威信
[00:24:36.000 --> 00:24:40.000]  身敗名裂,成為眾矢之的
[00:24:40.000 --> 00:24:44.000]  整場興建的計劃就會遭受破壞
[00:24:46.000 --> 00:24:48.000]  我們很快看完這個故事
[00:24:48.000 --> 00:24:50.000]  是否已經說完了?當然不是
[00:24:50.000 --> 00:24:53.000]  我們看到的是,仇敵會用盡方法
[00:24:53.000 --> 00:24:57.000]  使基督徒的生命失去焦點
[00:24:57.000 --> 00:25:03.000]  會令我們害怕,膽怯,變得軟弱
[00:25:03.000 --> 00:25:07.000]  將焦點放在自己身上
[00:25:07.000 --> 00:25:09.000]  甚至會犯下嚴重的錯
[00:25:09.000 --> 00:25:14.000]  最終不能完成上帝給我們的使命和託付
[00:25:15.000 --> 00:25:18.000]  但我們感恩,我們看到的是
[00:25:18.000 --> 00:25:22.000]  李希米沒有中過任何奸計
[00:25:22.000 --> 00:25:25.000]  為何他會有生命上的質素?
[00:25:25.000 --> 00:25:27.000]  我們一起去看看
[00:25:27.000 --> 00:25:30.000]  他如何成為我們這群信徒的榜樣
[00:25:30.000 --> 00:25:33.000]  他可以最終戰勝恐懼
[00:25:33.000 --> 00:25:37.000]  我覺得最重要的是
[00:25:37.000 --> 00:25:43.000]  他清楚知道,仇敵要使他懼怕、軟弱
[00:25:43.000 --> 00:25:48.000]  但上帝使我們剛強、堅固
[00:25:48.000 --> 00:25:55.000]  李希米如何告訴我們
[00:25:55.000 --> 00:25:57.000]  或他的生命如何展現
[00:25:57.000 --> 00:26:00.000]  他相信上帝使我們剛強、堅固
[00:26:00.000 --> 00:26:04.000]  第一,我看到的是
[00:26:04.000 --> 00:26:09.000]  他很清楚和專注地回應上帝的召命
[00:26:09.000 --> 00:26:13.000]  首先,我們知道
[00:26:13.000 --> 00:26:18.000]  神感動李希米回到耶路撒冷建造城牆
[00:26:18.000 --> 00:26:24.000]  當初他是亞達薩西王身邊的重要官員
[00:26:24.000 --> 00:26:26.000]  身居要職
[00:26:26.000 --> 00:26:30.000]  但當他聽到他的同胞
[00:26:30.000 --> 00:26:32.000]  在耶路撒冷遇到阻撓
[00:26:32.000 --> 00:26:34.000]  遇到靈性的威脅
[00:26:34.000 --> 00:26:38.000]  城牆被拆毀,城門被焚燒
[00:26:38.000 --> 00:26:40.000]  他極其心痛
[00:26:40.000 --> 00:26:44.000]  他向上帝禁食、祈禱
[00:26:44.000 --> 00:26:46.000]  等候了足足四個月
[00:26:46.000 --> 00:26:50.000]  他很清晰這是上帝的呼召
[00:26:50.000 --> 00:26:53.000]  於是他大膽向王提出
[00:26:53.000 --> 00:26:57.000]  回到耶路撒冷重建城牆
[00:26:57.000 --> 00:26:59.000]  他也很清楚
[00:26:59.000 --> 00:27:03.000]  回到耶路撒冷重建城牆
[00:27:03.000 --> 00:27:06.000]  他放下自己的安殊環境
[00:27:06.000 --> 00:27:09.000]  放下自己的高薪厚職
[00:27:09.000 --> 00:27:14.000]  很切實地回應上帝的呼召
[00:27:14.000 --> 00:27:17.000]  在他整個建造城牆裡
[00:27:17.000 --> 00:27:19.000]  沒有一天安寧
[00:27:19.000 --> 00:27:23.000]  但他接受一次又一次的挑戰
[00:27:23.000 --> 00:27:26.000]  我們卻在他身上看到的是
[00:27:26.000 --> 00:27:31.000]  他高度地尊重上帝
[00:27:31.000 --> 00:27:36.000]  對他作出呼召的使命進發
[00:27:36.000 --> 00:27:45.000]  我們看到當敵人找他的時候
[00:27:45.000 --> 00:27:48.000]  他很清楚地告訴他
[00:27:48.000 --> 00:27:51.000]  「如果你現在叫我離開」
[00:27:51.000 --> 00:27:55.000]  「我現在做的大事」
[00:27:55.000 --> 00:27:58.000]  「我人生裡第一要做的事」
[00:27:58.000 --> 00:28:00.000]  「我就要放下」
[00:28:00.000 --> 00:28:02.000]  「我不會放下去做一些」
[00:28:02.000 --> 00:28:05.000]  「我人生最重要的事情」
[00:28:05.000 --> 00:28:08.000]  「而去照顧其他東西」
[00:28:08.000 --> 00:28:13.000]  當仇敵恐嚇他要保命的時候
[00:28:13.000 --> 00:28:14.000]  第十一節他說
[00:28:14.000 --> 00:28:17.000]  「像我這樣的人豈要逃跑呢?」
[00:28:17.000 --> 00:28:21.000]  他很清楚地記得
[00:28:21.000 --> 00:28:30.000]  他是耶路撒冷城的省長
[00:28:30.000 --> 00:28:32.000]  他很清楚自己的崗位
[00:28:32.000 --> 00:28:35.000]  他很清楚自己的任務
[00:28:35.000 --> 00:28:39.000]  當他很清楚自己的目標
[00:28:39.000 --> 00:28:42.000]  自己的方向的時候
[00:28:42.000 --> 00:28:46.000]  他不會因為其他旁支而失去分寸
[00:28:46.000 --> 00:28:48.000]  而不知道自己在哪裡
[00:28:48.000 --> 00:28:50.000]  會有很多擔心
[00:28:50.000 --> 00:28:51.000]  專注在自己
[00:28:51.000 --> 00:28:54.000]  而不專注在上帝的事
[00:28:54.000 --> 00:28:57.000]  弟兄姊妹
[00:28:57.000 --> 00:29:01.000]  其實我們呢
[00:29:01.000 --> 00:29:04.000]  有時候我們很容易很害怕
[00:29:04.000 --> 00:29:08.000]  我們會很容易失去方寸
[00:29:08.000 --> 00:29:11.000]  但我很想問大家
[00:29:11.000 --> 00:29:15.000]  我們知不知道自己的目標是什麼?
