
[00:00:00.000 --> 00:00:00.840]   - The phone?
[00:01:28.900 --> 00:01:30.420]   Help us worry about today.
[00:01:30.420 --> 00:01:32.060]   And today is your day, Father.
[00:01:32.060 --> 00:01:34.220]   Help us focus, Lord.
[00:01:34.220 --> 00:01:37.100]   Holy Spirit, may you come into us.
[00:01:37.100 --> 00:01:38.900]   Help us not worry.
[00:01:38.900 --> 00:01:42.900]   Help us just focus on you to receive your words, Father.
[00:01:42.900 --> 00:01:46.380]   To receive, to see how great your salvation plan is,
[00:01:46.380 --> 00:01:48.580]   Father, for every one of us.
[00:01:48.580 --> 00:01:49.980]   In Jesus' name we pray, amen.
[00:01:49.980 --> 00:01:54.840]   Hey, when I talk about the Cubs and the Sox,
[00:01:54.840 --> 00:01:56.800]   you have an idea what comes to mind.
[00:01:56.800 --> 00:02:01.340]   How about the Bears and the Packers, how about that?
[00:02:01.340 --> 00:02:04.800]   If you've been in Chicago for a while,
[00:02:04.800 --> 00:02:06.040]   you probably have a good idea, right?
[00:02:06.040 --> 00:02:07.060]   These are a rival.
[00:02:07.060 --> 00:02:10.260]   I mean, these are fans from opponent's side
[00:02:10.260 --> 00:02:11.900]   really hate the other team.
[00:02:11.900 --> 00:02:16.900]   I mean, these are just basically friendly rivals we see.
[00:02:16.900 --> 00:02:20.760]   But in society, as you know, there are many rivals.
[00:02:20.760 --> 00:02:23.360]   And these could be religious rivals,
[00:02:23.360 --> 00:02:25.640]   like Catholic versus Christian in general,
[00:02:25.640 --> 00:02:27.440]   like economic rivals, right?
[00:02:27.440 --> 00:02:30.260]   Are you lower class, are you middle class,
[00:02:30.260 --> 00:02:32.140]   or are you in upper class, right?
[00:02:32.140 --> 00:02:35.260]   Or other rivals like, oh, the school that you go to,
[00:02:35.260 --> 00:02:38.460]   that distinguish, kind of like signify your intelligence.
[00:02:38.460 --> 00:02:41.080]   And there could be family rival.
[00:02:41.080 --> 00:02:43.140]   So I wanna tell you a little bit about a family rival
[00:02:43.140 --> 00:02:45.820]   that I had last year.
[00:02:45.820 --> 00:02:48.060]   It happened during when my grandmother died,
[00:02:48.060 --> 00:02:50.140]   like last April.
[00:02:50.140 --> 00:02:53.260]   And she was like 90 something already, about the time.
[00:02:53.260 --> 00:02:57.140]   You know what the sad thing is that she died?
[00:02:57.140 --> 00:02:59.720]   But the saddest part is that all my uncles,
[00:02:59.720 --> 00:03:04.360]   when she wasn't even in her grave yet,
[00:03:04.360 --> 00:03:06.460]   they were talking about money.
[00:03:06.460 --> 00:03:07.300]   That's the rival.
[00:03:07.300 --> 00:03:10.420]   You guys know what I'm talking about, we're Chinese.
[00:03:10.420 --> 00:03:13.980]   Yep, we talk about money, and they became enemy.
[00:03:13.980 --> 00:03:15.660]   It's within these division
[00:03:15.660 --> 00:03:18.220]   that how Jesus established his church.
[00:03:19.280 --> 00:03:21.320]   So today's topic I wanna talk to you about
[00:03:21.320 --> 00:03:23.920]   is how did Jesus establish the church?
[00:03:23.920 --> 00:03:26.360]   So in the book of Ephesians, actually,
[00:03:26.360 --> 00:03:31.360]   Paul did not chastise these Christians for anything.
[00:03:31.360 --> 00:03:32.580]   It's more like an encouragement
[00:03:32.580 --> 00:03:36.680]   and laying out God's cosmic plan for them to understand.
[00:03:36.680 --> 00:03:39.980]   So in the beginning, he talk about God's plan in general,
[00:03:39.980 --> 00:03:42.480]   which involves our spiritual blessing.
[00:03:42.480 --> 00:03:45.280]   And in the beginning section of chapter two,
[00:03:45.280 --> 00:03:49.200]   he talks about how we are dead to our sins and transgression.
[00:03:49.200 --> 00:03:53.360]   Therefore, God, through Jesus Christ, made us alive.
[00:03:53.360 --> 00:03:55.720]   And then right now, we're gonna talk about the second part
[00:03:55.720 --> 00:03:57.520]   that is parallel to the first part.
[00:03:57.520 --> 00:04:01.520]   Within this, we're talking about another way
[00:04:01.520 --> 00:04:04.840]   how we are dead to Christ in a different standpoint.
[00:04:04.840 --> 00:04:08.600]   So in my first point,
[00:04:08.600 --> 00:04:11.480]   I wanna talk about hopelessness without Christ.
[00:04:11.480 --> 00:04:14.840]   How there's no hope without Christ.
[00:04:17.320 --> 00:04:19.040]   Let me start reading.
[00:04:19.040 --> 00:04:22.280]   Therefore, remember that formerly you who are Gentiles
[00:04:22.280 --> 00:04:24.200]   by birth and caught uncircumcised
[00:04:24.200 --> 00:04:27.420]   by those who cautimcise the circumcision,
[00:04:27.420 --> 00:04:31.100]   which is done in the body by human hands.
[00:04:31.100 --> 00:04:35.700]   Remember that at that time, you were separated from Christ,
[00:04:35.700 --> 00:04:39.560]   excluded from citizenship in Israel and foreigners
[00:04:39.560 --> 00:04:41.800]   to the covenant of the promise.
[00:04:41.800 --> 00:04:44.840]   Without hope and without God in the world.
[00:04:44.840 --> 00:04:49.600]   But now in Christ Jesus, you who once were far away
[00:04:49.600 --> 00:04:52.180]   have been brought back near by the blood of Christ.
[00:04:52.180 --> 00:04:57.040]   So Paul start off by reminding these Christians in Ephesus,
[00:04:57.040 --> 00:04:58.720]   these Gentile Christians,
[00:04:58.720 --> 00:05:01.320]   there is a group called circumcision.
[00:05:01.320 --> 00:05:05.880]   Mainly, these are Jewish people
[00:05:05.880 --> 00:05:07.860]   who probably have accepted Jesus Christ already,
[00:05:07.860 --> 00:05:11.500]   but still thinks that circumcision is necessary.
[00:05:11.500 --> 00:05:15.100]   So they're saying these groups are mocking you guys
[00:05:15.100 --> 00:05:16.920]   because you are not circumcised yet.
[00:05:16.920 --> 00:05:22.380]   But the thing is that Romans and Greeks
[00:05:22.380 --> 00:05:24.460]   don't call themselves Gentiles.
[00:05:24.460 --> 00:05:26.080]   The only people that call themselves,
[00:05:26.080 --> 00:05:29.360]   call other people Gentiles are Jews, the Jewish people.
[00:05:29.360 --> 00:05:33.820]   So why is it so important to distinguish
[00:05:33.820 --> 00:05:37.820]   that they are Jews and those other people are Gentiles?
[00:05:37.820 --> 00:05:40.140]   So if you take a look,
[00:05:40.140 --> 00:05:42.420]   let's go back to the book of Genesis.
[00:05:42.420 --> 00:05:45.300]   This verse right here is basically the backgrounds
[00:05:45.300 --> 00:05:48.460]   where God and Abraham,
[00:05:48.460 --> 00:05:51.960]   God made a covenant with Abraham, an agreement.
[00:05:51.960 --> 00:05:53.340]   He's telling Abraham,
[00:05:53.340 --> 00:05:58.220]   all the nations on the earth will be blessed because of you.
[00:05:58.220 --> 00:06:00.500]   And this circumcision is this phrase
[00:06:00.500 --> 00:06:02.060]   that you are to undergo circumcision
[00:06:02.060 --> 00:06:05.280]   and it will be the sign of the covenant between me and you.
[00:06:05.280 --> 00:06:09.220]   This is a physical sign to show how they are different.
[00:06:10.220 --> 00:06:12.300]   But the problem is that a lot of times
[00:06:12.300 --> 00:06:13.580]   these Jewish people use,
[00:06:13.580 --> 00:06:17.020]   think of the sign as seeing themselves as superior.
[00:06:17.020 --> 00:06:19.740]   Like they are the special race.
[00:06:19.740 --> 00:06:20.980]   They have God with them.
[00:06:20.980 --> 00:06:22.620]   They are part of God's family.
[00:06:22.620 --> 00:06:23.860]   This covenant is telling them,
[00:06:23.860 --> 00:06:26.940]   we are part of God's family and you are not.
[00:06:26.940 --> 00:06:30.500]   So they think of the Gentiles as a lower race, outsiders.
[00:06:30.500 --> 00:06:33.640]   But when Paul is writing this,
[00:06:33.640 --> 00:06:36.300]   God, Jesus Christ, step on the cross,
[00:06:36.300 --> 00:06:37.580]   has redeemed us already.
[00:06:38.540 --> 00:06:42.060]   Therefore, the old order of the Judaisms,
[00:06:42.060 --> 00:06:45.960]   their external and material feature is outdated already
[00:06:45.960 --> 00:06:48.820]   because Christ came in and pushed in a new order.
[00:06:48.820 --> 00:06:51.380]   Therefore, if I go back here and you take a look,
[00:06:51.380 --> 00:06:53.020]   Paul specifically says,
[00:06:53.020 --> 00:06:55.780]   which is done in the body by human hand.
[00:06:55.780 --> 00:06:57.300]   What does that mean by human hand?
[00:06:57.300 --> 00:07:00.180]   Paul emphasizes because if it's by human hand,
[00:07:00.180 --> 00:07:01.600]   that means it's not from God.
[00:07:01.600 --> 00:07:03.260]   Therefore, what Paul is saying,
[00:07:03.260 --> 00:07:04.900]   he's mocking these people also,
[00:07:04.900 --> 00:07:07.180]   these circumcision, these Jews.
[00:07:07.180 --> 00:07:09.100]   He's trying to tell them,
[00:07:09.100 --> 00:07:12.300]   hey, you guys don't have the real circumcision either.
[00:07:12.300 --> 00:07:15.220]   Like, let's take a look what's the real circumcision.
[00:07:15.220 --> 00:07:17.300]   The same author of Genesis, Moses,
[00:07:17.300 --> 00:07:18.620]   he wrote through to Tyrannomy.
[00:07:18.620 --> 00:07:19.460]   He says,
[00:07:19.460 --> 00:07:30.260]   Circumcision is,
[00:07:30.260 --> 00:07:32.940]   God has to do the real circumcision through the heart
[00:07:32.940 --> 00:07:36.420]   where we have the ability to obey and follow his order.
[00:07:36.420 --> 00:07:38.220]   So how does Paul look at that, right?
[00:07:38.220 --> 00:07:40.260]   In Colossians, this is how he sees it.
[00:07:40.260 --> 00:07:42.300]   In him, you were also circumcised
[00:07:42.300 --> 00:07:46.180]   with a circumcision not performed by human hands.
[00:07:46.180 --> 00:07:49.020]   Your whole self ruled by the flesh was put off
[00:07:49.020 --> 00:07:51.660]   when you were circumcised by Christ.
[00:07:51.660 --> 00:07:53.980]   So as we know now, how does God circumcise us?
[00:07:53.980 --> 00:07:54.820]   It's through Christ.
[00:07:54.820 --> 00:07:56.140]   Christ has to come and die for us
[00:07:56.140 --> 00:07:59.180]   and change us into a new person.
[00:07:59.180 --> 00:08:00.660]   That is the real circumcision
[00:08:00.660 --> 00:08:03.260]   that's available to the Jews and Gentiles currently.
[00:08:03.980 --> 00:08:06.740]   (pages rustling)
[00:08:06.740 --> 00:08:13.380]   After talking about circumcision, the physical sign,
[00:08:13.380 --> 00:08:15.780]   Paul continues to remind these Gentile Christians
[00:08:15.780 --> 00:08:20.260]   in Ephesus about their former state without Christ.
[00:08:20.260 --> 00:08:21.100]   Why?
[00:08:21.100 --> 00:08:24.100]   This is to show them how blessed that they are
[00:08:24.100 --> 00:08:25.900]   at their current position.
[00:08:25.900 --> 00:08:28.220]   So this is what he says to these people
[00:08:28.220 --> 00:08:30.260]   before they know in Christ.
[00:08:30.260 --> 00:08:33.700]   Remember that at that time you were separated from Christ,
[00:08:33.700 --> 00:08:36.380]   excluded from citizenship in Israel,
[00:08:36.380 --> 00:08:39.260]   and foreign to the covenant of the promise.
[00:08:39.260 --> 00:08:42.100]   Basically, this is what Paul is saying.
[00:08:42.100 --> 00:08:43.700]   Israel has an advantage over you.
[00:08:43.700 --> 00:08:45.420]   The Jewish people have an advantage over you
[00:08:45.420 --> 00:08:48.460]   because they're part of God's family, but you are not.
[00:08:48.460 --> 00:08:52.740]   So it sums up basically this is what he's saying.
[00:08:52.740 --> 00:08:56.860]   The Gentiles, you don't have anything related to God.
[00:08:56.860 --> 00:08:58.140]   You're isolated from God, right?
[00:08:58.140 --> 00:09:01.820]   So the result comes at the second part of the verse.
[00:09:01.820 --> 00:09:04.860]   You are without hope and without God in this world.
[00:09:04.860 --> 00:09:09.740]   So if you take a look, verse 11 and 12,
[00:09:09.740 --> 00:09:12.620]   look so dark and gloomy for the Gentile
[00:09:12.620 --> 00:09:16.060]   in their former state before knowing Christ.
[00:09:16.060 --> 00:09:21.060]   But again, Paul states but in verse 13.
[00:09:21.060 --> 00:09:27.080]   But Christ right here made 180 turn again for them.
[00:09:27.080 --> 00:09:30.920]   You know, he says, "But now in Christ Jesus,
[00:09:30.920 --> 00:09:34.720]   "you once were far away, have been brought near
[00:09:34.720 --> 00:09:36.520]   "by the blood of Christ."
[00:09:36.520 --> 00:09:40.000]   Instead of being dead to our transgression,
[00:09:40.000 --> 00:09:44.840]   we were once far from God, but Christ brought us near.
[00:09:44.840 --> 00:09:45.920]   What does that mean?
[00:09:45.920 --> 00:09:49.280]   Bring us near means that we have access to God
[00:09:49.280 --> 00:09:52.220]   and that access is through the blood of Jesus Christ.
[00:09:53.940 --> 00:09:58.540]   And this gives me, helps me think of this illustration.
[00:09:58.540 --> 00:10:00.540]   Actually, it's also from Paul.
[00:10:00.540 --> 00:10:03.820]   He talks about a branch grafted in in Romans.
[00:10:03.820 --> 00:10:05.900]   And if you take a look, the lower branch,
[00:10:05.900 --> 00:10:08.700]   the main branch is very different from the top branch
[00:10:08.700 --> 00:10:10.060]   that is grafted in, you know?
[00:10:10.060 --> 00:10:12.160]   The top branch doesn't belong.
[00:10:12.160 --> 00:10:17.140]   And take a look at how this person
[00:10:17.140 --> 00:10:19.340]   attached these two branches together.
[00:10:19.340 --> 00:10:22.340]   It's by some sort of tape or something to glue it on, right?
[00:10:23.360 --> 00:10:25.400]   That tape is basically the blood of Christ.
[00:10:25.400 --> 00:10:28.260]   He used that to glue us into the main branch
[00:10:28.260 --> 00:10:30.300]   that we could be part of the same family.
[00:10:30.300 --> 00:10:35.420]   Therefore, have a great appreciation
[00:10:35.420 --> 00:10:39.420]   for what Christ did for us when we were far away from God.
[00:10:39.420 --> 00:10:42.320]   Therefore, he used his blood to draw us near.
[00:10:42.320 --> 00:10:44.780]   Now let's go to the second point.
[00:10:44.780 --> 00:10:47.520]   The second point is what Christ did to make the church.
[00:10:47.520 --> 00:10:52.580]   So for he himself is our peace,
[00:10:52.580 --> 00:10:55.220]   he who has made the two groups one
[00:10:55.220 --> 00:10:57.260]   and has destroyed the barrier,
[00:10:57.260 --> 00:10:59.080]   the dividing wall of hostility,
[00:10:59.080 --> 00:11:01.500]   by setting aside in his flesh the law
[00:11:01.500 --> 00:11:03.780]   with its command and regulations.
[00:11:03.780 --> 00:11:08.640]   His purpose was to create in himself a new humanity
[00:11:08.640 --> 00:11:11.360]   out of the two, thus making peace,
[00:11:11.360 --> 00:11:14.900]   and in one body to reconcile both of them to God
[00:11:14.900 --> 00:11:19.900]   through the cross by which to put to death their hostility.
[00:11:19.900 --> 00:11:24.740]   He came and preached peace to you who were far away
[00:11:24.740 --> 00:11:26.900]   and peace to those who were near.
[00:11:26.900 --> 00:11:29.460]   For through him we both have access
[00:11:29.460 --> 00:11:30.900]   to the Father by one spirit.
[00:11:30.900 --> 00:11:36.420]   So as we talk about how Christ in the previous point,
[00:11:36.420 --> 00:11:39.300]   he restored our relationship with God.
[00:11:39.300 --> 00:11:44.720]   So in verse 14, Paul starts out by emphasizing
[00:11:44.720 --> 00:11:47.460]   that Christ is our peace.
[00:11:47.460 --> 00:11:49.260]   But what does this peace mean?
[00:11:49.260 --> 00:11:54.260]   In general, peace means there is no hostility, right?
[00:11:54.260 --> 00:11:56.040]   Everyone get along.
[00:11:56.040 --> 00:12:01.000]   But how do you gain that peace?
[00:12:01.000 --> 00:12:02.700]   How did Christ gain that peace for them?
[00:12:02.700 --> 00:12:05.420]   Well, you had to join two groups into one.
[00:12:05.420 --> 00:12:09.140]   Those two groups that we know are the Gentiles and the Jews.
[00:12:09.140 --> 00:12:11.020]   So how did he go on doing so?
[00:12:11.020 --> 00:12:14.100]   The first, there is two things,
[00:12:14.100 --> 00:12:15.940]   that's one thing you have to do.
[00:12:15.940 --> 00:12:16.780]   Let me read it according.
[00:12:16.780 --> 00:12:18.380]   He had to destroy the barrier,
[00:12:18.380 --> 00:12:21.900]   the dividing wall of hostility by setting aside
[00:12:21.900 --> 00:12:24.960]   in his flesh the law with his commands and regulation.
[00:12:24.960 --> 00:12:29.460]   So this is referring to the Temple of Jerusalem, guys.
[00:12:29.460 --> 00:12:31.540]   So if you take a look, where I label Gentile,
[00:12:31.540 --> 00:12:33.260]   that's the outer court.
[00:12:33.260 --> 00:12:37.580]   That is as far as you can go if you're not Jewish.
[00:12:37.580 --> 00:12:40.820]   If you're a Jew, you could go into the inner court
[00:12:40.820 --> 00:12:42.260]   to worship God.
[00:12:42.260 --> 00:12:43.860]   There is actually a physical wall
[00:12:43.860 --> 00:12:46.520]   that divides the two people at a time.
[00:12:46.520 --> 00:12:50.340]   So, but the thing is that,
[00:12:50.340 --> 00:12:54.780]   that's only a manifestation of the Mosaic law,
[00:12:54.780 --> 00:12:56.340]   the regulations of the command.
[00:12:56.340 --> 00:13:03.920]   That's why Jesus had to come and abolish those commands.
[00:13:03.920 --> 00:13:07.620]   Those regulations and law, to tell you honestly,
[00:13:07.620 --> 00:13:10.260]   even the Jewish people, they can't meet themselves.
[00:13:10.260 --> 00:13:13.500]   That holiness is so high, the God standards is so high,
[00:13:13.500 --> 00:13:18.260]   that it's really impossible to meet in human standpoint.
[00:13:18.260 --> 00:13:22.580]   But besides separating these two groups religiously,
[00:13:22.580 --> 00:13:23.860]   there are also separated,
[00:13:23.860 --> 00:13:26.260]   the law also separated them socially.
[00:13:26.260 --> 00:13:27.500]   Because of this law,
[00:13:27.500 --> 00:13:30.420]   the Jewish people have to live according to,
[00:13:30.420 --> 00:13:32.580]   they don't live according to the custom of the world.
[00:13:32.580 --> 00:13:35.540]   So they kind of like lost communication in that point,
[00:13:35.540 --> 00:13:37.540]   but consequently at the same time,
[00:13:37.540 --> 00:13:39.780]   it gives the Jewish people that pride.
[00:13:39.780 --> 00:13:43.020]   They feel like the way how we live, we're superior.
[00:13:43.020 --> 00:13:43.880]   The way you live.
[00:13:43.880 --> 00:13:49.620]   But the thing is that at the end,
[00:13:49.620 --> 00:13:52.460]   Jesus came and abolished that law once and for all
[00:13:52.460 --> 00:13:57.460]   with his flesh to present his perfect sacrifice to God.
[00:13:57.460 --> 00:13:59.660]   So we don't have to worry about this anymore,
[00:13:59.660 --> 00:14:00.980]   these regulations.
[00:14:00.980 --> 00:14:05.540]   Now let's move on to the second part of verse 15 and 16.
[00:14:05.540 --> 00:14:06.980]   So as we move on,
[00:14:06.980 --> 00:14:12.360]   so the purpose of abolishing these hostility is twofold.
[00:14:12.360 --> 00:14:13.660]   First of all, in verse 15,
[00:14:13.660 --> 00:14:17.960]   the second part is to create in himself a new humanity.
[00:14:17.960 --> 00:14:18.800]   Basically,
[00:14:18.800 --> 00:14:24.500]   the rift between the Jews and Gentiles are too deep.
[00:14:24.500 --> 00:14:28.900]   You cannot put them together anymore.
[00:14:28.900 --> 00:14:30.820]   Think about in our country,
[00:14:30.820 --> 00:14:32.740]   you think about the political state right now,
[00:14:32.740 --> 00:14:35.740]   the two big parties, the Democrats and the Republicans,
[00:14:35.740 --> 00:14:37.220]   you can't even work together anymore.
[00:14:37.220 --> 00:14:38.140]   The only thing they could do right now
[00:14:38.140 --> 00:14:39.340]   is call each other name.
[00:14:40.180 --> 00:14:42.640]   We're lucky that our country's continued to function,
[00:14:42.640 --> 00:14:44.440]   seems like quite normally right now.
[00:14:44.440 --> 00:14:49.680]   Therefore, God has to push a new humanity.
[00:14:49.680 --> 00:14:52.840]   Within this new humanity, a new order, a new covenant
[00:14:52.840 --> 00:14:54.880]   has to be established by Christ.
[00:14:54.880 --> 00:14:56.720]   And as I said again,
[00:14:56.720 --> 00:15:00.680]   Jesus is the one that kind of present himself
[00:15:00.680 --> 00:15:05.320]   as an offering to reconcile human between human.
[00:15:05.320 --> 00:15:08.400]   So he reconciled the horizontal hostility,
[00:15:08.400 --> 00:15:11.180]   the horizontal dimension of the hostility.
[00:15:11.180 --> 00:15:13.700]   And as we go on to verse 16,
[00:15:13.700 --> 00:15:16.380]   in that new body is to reconcile
[00:15:16.380 --> 00:15:19.420]   both this new humanity to God.
[00:15:19.420 --> 00:15:22.980]   So his blood not just reconcile
[00:15:22.980 --> 00:15:25.340]   this our human to human hostility,
[00:15:25.340 --> 00:15:28.280]   it also reconcile the vertical dimension,
[00:15:28.280 --> 00:15:29.780]   our humanity to God.
[00:15:29.780 --> 00:15:37.900]   So as we talk about the reconciliation process,
[00:15:37.900 --> 00:15:42.260]   Paul now talks about the proclamation of peace from Christ.
[00:15:42.260 --> 00:15:46.940]   In verse 17, it says, "He came to preach peace."
[00:15:46.940 --> 00:15:50.780]   How does Christ preach peace?
[00:15:50.780 --> 00:15:56.660]   He did it by walking, by doing, by walking the talk.
[00:15:56.660 --> 00:16:00.180]   He was, he is our peace in verse 14,
[00:16:00.180 --> 00:16:03.560]   that says, "For he himself is our peace."
[00:16:03.560 --> 00:16:07.420]   Again, by using his body, the flesh, the blood,
[00:16:08.060 --> 00:16:11.480]   to bring, to end that hostility.
[00:16:11.480 --> 00:16:18.620]   And who are he talking to?
[00:16:18.620 --> 00:16:22.020]   Again, he's emphasizing the ones who are near,
[00:16:22.020 --> 00:16:25.180]   which are the Jewish people.
[00:16:25.180 --> 00:16:26.340]   They have, think about it,
[00:16:26.340 --> 00:16:28.620]   they have all the time, they have the temple,
[00:16:28.620 --> 00:16:32.860]   the laws, the worship regulation, the covenant,
[00:16:32.860 --> 00:16:35.020]   and the Gentiles, the ones who are far,
[00:16:35.020 --> 00:16:36.180]   they don't have anything.
[00:16:36.180 --> 00:16:39.060]   But Paul is saying, in verse 16,
[00:16:39.060 --> 00:16:41.380]   "Even though they have all these things, the Jewish people,
[00:16:41.380 --> 00:16:43.240]   "they still need reconciliation."
[00:16:43.240 --> 00:16:48.160]   Again, in verse 18,
[00:16:48.160 --> 00:16:50.460]   Paul continued to further the concept of peace.
[00:16:50.460 --> 00:16:54.280]   Besides just being right with God, we have access to God.
[00:16:54.280 --> 00:16:57.540]   We, as Jews and Gentiles,
[00:16:57.540 --> 00:17:00.740]   we stand as one humanity in front of God.
[00:17:00.740 --> 00:17:02.260]   And there is no distinction anymore,
[00:17:02.260 --> 00:17:03.940]   because it's just by one spirit,
[00:17:03.940 --> 00:17:06.140]   we have access to the Father.
[00:17:06.140 --> 00:17:10.420]   It stresses that oneness that we have, the new humanity.
[00:17:10.420 --> 00:17:15.060]   And within this new, excuse me,
[00:17:15.060 --> 00:17:16.940]   within this new humanity,
[00:17:16.940 --> 00:17:19.380]   I don't have to talk about my credentials,
[00:17:19.380 --> 00:17:21.900]   my spiritual heritage, my zeal,
[00:17:21.900 --> 00:17:24.460]   or my talent to access God.
[00:17:24.460 --> 00:17:26.740]   The only thing we all need to share in common
[00:17:26.740 --> 00:17:28.220]   to have access to God
[00:17:28.220 --> 00:17:30.820]   is believing in the redemptive work of Jesus Christ.
[00:17:30.820 --> 00:17:35.460]   This brings me, reminds me of this person right here.
[00:17:35.460 --> 00:17:36.420]   Do you know this person?
[00:17:36.420 --> 00:17:37.980]   His name is Jim Elliott.
[00:17:37.980 --> 00:17:40.020]   He was a missionary to Ecuador,
[00:17:40.020 --> 00:17:45.020]   especially to the Native American tribes in around the 1950s.
[00:17:45.020 --> 00:17:49.540]   He and his fellow companions, missionaries,
[00:17:49.540 --> 00:17:54.280]   have decided, "We must let these people hear the gospel."
[00:17:54.280 --> 00:17:57.140]   But the thing is that they know
[00:17:57.140 --> 00:17:59.580]   these Indians are hostile to foreigners.
[00:17:59.580 --> 00:18:02.300]   Yet they went anyway.
[00:18:02.300 --> 00:18:03.580]   What's the result?
[00:18:03.580 --> 00:18:04.460]   He got martyred.
[00:18:04.460 --> 00:18:06.860]   He and his fellow missionaries got martyred.
[00:18:06.860 --> 00:18:11.700]   Yet creating this hostility between their families
[00:18:11.700 --> 00:18:13.340]   and these Indian tribes.
[00:18:13.340 --> 00:18:18.860]   But instead of seeking revenge,
[00:18:18.860 --> 00:18:22.060]   their wives decided to continue on this mission,
[00:18:22.060 --> 00:18:25.740]   decided to go into these tribes and live with them,
[00:18:25.740 --> 00:18:27.780]   to walk out that gospel.
[00:18:27.780 --> 00:18:29.380]   At the end, bringing the gospel,
[00:18:29.380 --> 00:18:32.180]   bringing the conversion to these Indians,
[00:18:32.180 --> 00:18:34.240]   thus ending the hostility.
[00:18:35.240 --> 00:18:40.240]   Therefore, Jesus' work of redemption brings us this peace.
[00:18:40.240 --> 00:18:44.400]   We might have an understanding how hard,
[00:18:44.400 --> 00:18:47.340]   how much work he had to go through to start this.
[00:18:47.340 --> 00:18:52.400]   Now let's go on to our last point.
[00:18:52.400 --> 00:18:53.940]   What the church looked like.
[00:18:53.940 --> 00:19:00.480]   Consequently, you are no longer foreigners and strangers,
[00:19:00.480 --> 00:19:03.160]   but fellow citizens with God's people
[00:19:03.160 --> 00:19:05.840]   and also members of his household.
[00:19:05.840 --> 00:19:09.040]   Built on the foundation of the apostles and the prophets,
[00:19:09.040 --> 00:19:12.080]   with Christ Jesus himself as the chief cornerstone,
[00:19:12.080 --> 00:19:15.120]   in him, the whole building is joined together
[00:19:15.120 --> 00:19:19.120]   and rises to become a holy temple in the Lord.
[00:19:19.120 --> 00:19:21.680]   And in him, you too are being built together
[00:19:21.680 --> 00:19:25.640]   to become a dwelling in which God lives by his spirit.
[00:19:25.640 --> 00:19:29.840]   So as a result of God's redemptive work,
[00:19:29.960 --> 00:19:32.980]   Paul's telling us our status in front of God has changed.
[00:19:32.980 --> 00:19:36.140]   And Paul wanted to talk about
[00:19:36.140 --> 00:19:38.460]   how this new humanity functions,
[00:19:38.460 --> 00:19:41.620]   which we will see the characteristics of the church.
