
[00:00:00.000 --> 00:00:05.000]  今次我再和大家從原生家庭的問題
[00:04:46.000 --> 00:04:50.000]  結果更加會造成家庭的悲劇
[00:04:50.000 --> 00:04:54.000]  在弱室的家庭裡造成弱室被賣的原因
[00:04:54.000 --> 00:04:57.000]  都是因為父親厚齒薄皮
[00:04:57.000 --> 00:05:00.000]  子女得不到父母親完全的愛
[00:05:00.000 --> 00:05:02.000]  以致兄弟不和
[00:05:02.000 --> 00:05:06.000]  甚至嚴重到引起殺忌
[00:05:06.000 --> 00:05:11.000]  雖然人的罪性的確造成很多家庭的問題
[00:05:11.000 --> 00:05:13.000]  連這些家庭的問題
[00:05:13.000 --> 00:05:15.000]  好像傳染病一樣
[00:05:15.000 --> 00:05:18.000]  一代一代地傳下去
[00:05:18.000 --> 00:05:20.000]  但是去到弱室的一代
[00:05:20.000 --> 00:05:22.000]  因為有神的介入
[00:05:22.000 --> 00:05:26.000]  使弱室能夠避過了兄長的殺害
[00:05:26.000 --> 00:05:29.000]  雖然弱室要被賣到埃及
[00:05:29.000 --> 00:05:35.000]  但是弱室在埃及大大經歷到神的賜福
[00:05:35.000 --> 00:05:38.000]  分享完弱室被賣的原因
[00:05:38.000 --> 00:05:42.000]  下一次我會和大家再一次探討一下
[00:05:42.000 --> 00:05:46.000]  弱室被賣之後所遇到的經歷
[00:05:46.000 --> 00:05:48.000]  (字幕製作:貝爾)
[00:05:48.000 --> 00:05:50.000]  (字幕製作:貝爾)
[00:05:50.000 --> 00:05:52.000]  (字幕製作:貝爾)
[00:05:52.000 --> 00:05:57.000]  多謝您收睇時局新聞,再會!

