
[00:00:00.000 --> 00:00:01.280]   sharing God's message.
[00:03:24.760 --> 00:03:28.360]   or being reduced by somebody's sight.
[00:03:28.360 --> 00:03:31.400]   We're being judged, and this fear shapes
[00:03:31.400 --> 00:03:33.640]   how we relate to other people
[00:03:33.640 --> 00:03:37.120]   and even how we relate to God himself.
[00:03:37.120 --> 00:03:41.040]   (speaking in foreign language)
[00:03:50.000 --> 00:03:53.440]   There's a modern French philosopher.
[00:03:53.440 --> 00:03:56.640]   His name is Jean-Paul Sartre,
[00:03:56.640 --> 00:03:59.680]   and he's an atheist philosopher,
[00:03:59.680 --> 00:04:03.880]   and there are some books that he wrote that he argued
[00:04:03.880 --> 00:04:08.880]   being seen is actually a threat to human freedom, right?
[00:04:08.880 --> 00:04:12.280]   That makes sense, right?
[00:04:12.280 --> 00:04:13.560]   You're being seen all the time,
[00:04:13.560 --> 00:04:16.760]   and you don't feel like you're being free all the time,
[00:04:16.760 --> 00:04:21.320]   and Jean-Paul Sartre gave us some examples,
[00:04:21.320 --> 00:04:25.800]   and one of them is that you imagine a time
[00:04:25.800 --> 00:04:29.480]   that a stranger stares at you.
[00:04:29.480 --> 00:04:32.960]   There are strangers staring at you,
[00:04:32.960 --> 00:04:36.640]   and that feeling of it is being,
[00:04:36.640 --> 00:04:41.640]   your existence being reduced into an object of someone else
[00:04:41.640 --> 00:04:45.120]   and an object in their eyes,
[00:04:45.120 --> 00:04:47.680]   and you don't feel, at least you don't feel comfortable,
[00:04:47.680 --> 00:04:49.000]   right?
[00:04:49.000 --> 00:04:52.920]   (speaking in foreign language)
[00:04:52.920 --> 00:05:12.880]   Now, all of us drive, right?
[00:05:12.880 --> 00:05:16.400]   All of us drive on the highway, on the road, okay?
[00:05:16.400 --> 00:05:21.400]   So you kind of find that experience familiar.
[00:05:21.400 --> 00:05:25.840]   Just imagine you're driving on the highway,
[00:05:25.840 --> 00:05:28.560]   and you're free, and you're doing your thing, right?
[00:05:28.560 --> 00:05:31.560]   There's no pressure, and you enjoy the drive,
[00:05:31.560 --> 00:05:33.440]   and you look around, and then all of a sudden,
[00:05:33.440 --> 00:05:35.760]   a police car is following you,
[00:05:35.760 --> 00:05:39.920]   and then you check the back mirror,
[00:05:39.920 --> 00:05:44.680]   and you saw the car behind you, and how do you feel?
[00:05:44.680 --> 00:05:46.600]   You feel pressure, right?
[00:05:46.600 --> 00:05:48.960]   You feel kind of like very uptight,
[00:05:48.960 --> 00:05:51.880]   and you try to be careful, and you focus on the road,
[00:05:51.880 --> 00:05:53.600]   and especially what?
[00:05:53.600 --> 00:05:55.680]   The speed limit, right?
[00:05:55.680 --> 00:06:00.120]   The stop sign, and then you try to drive carefully.
[00:06:00.120 --> 00:06:02.520]   Now, that is the experience of being seen
[00:06:02.520 --> 00:06:05.240]   and being judged all the time.
[00:06:05.240 --> 00:06:09.160]   (speaking in foreign language)
[00:06:10.200 --> 00:06:14.120]   (speaking in foreign language)
[00:06:14.120 --> 00:06:29.760]   Now, being seen feels like being judged, right?
[00:06:29.760 --> 00:06:32.960]   Now, the difference is who is seeing you,
[00:06:32.960 --> 00:06:35.280]   who is looking at you, right?
[00:06:35.280 --> 00:06:38.280]   If it's a police car following you,
[00:06:38.280 --> 00:06:41.000]   you feel being judged, and you feel pressure,
[00:06:41.000 --> 00:06:43.560]   but as we turn to Psalm 139,
[00:06:43.560 --> 00:06:48.120]   we find that there is someone else seeing us all the time.
[00:06:48.120 --> 00:06:52.040]   (speaking in foreign language)
[00:07:04.800 --> 00:07:08.320]   So the first thing here is that,
[00:07:08.320 --> 00:07:10.480]   try to advance the PowerPoint here, yeah.
[00:07:10.480 --> 00:07:13.560]   The first point here in this Psalm 139 says,
[00:07:13.560 --> 00:07:16.120]   "God sees us completely."
[00:07:16.120 --> 00:07:18.440]   (speaking in foreign language)
[00:07:18.440 --> 00:07:20.720]   Now, Psalm 139 opens with the third,
[00:07:20.720 --> 00:07:24.760]   "Fear we think that John Paul Sarge find it fearful."
[00:07:24.760 --> 00:07:28.840]   (speaking in foreign language)
[00:07:28.840 --> 00:07:33.360]   It says, "O Lord, you have searched me, and you know me.
[00:07:33.360 --> 00:07:38.000]   "You know when I sit, and you know when I rise.
[00:07:38.000 --> 00:07:41.200]   "You perceive my thoughts from afar.
[00:07:41.200 --> 00:07:43.440]   "You discern my going out and my lying down.
[00:07:43.440 --> 00:07:45.640]   "You are familiar with all my ways.
[00:07:45.640 --> 00:07:49.440]   "Before a word is on my tongue,
[00:07:49.440 --> 00:07:51.640]   "you know it completely, O Lord.
[00:07:51.640 --> 00:07:54.320]   "You hand me in behind and before.
[00:07:54.320 --> 00:07:56.160]   "You have laid your hand upon me.
[00:07:56.160 --> 00:07:59.360]   "Such knowledge is too wonderful for me,
[00:07:59.360 --> 00:08:02.640]   "too lofty for me to attend."
[00:08:02.640 --> 00:08:06.560]   (speaking in foreign language)
[00:08:28.880 --> 00:08:33.080]   And that is one of the Psalms that we have just did, right?
[00:08:33.080 --> 00:08:35.800]   And God sees and God knows here.
[00:08:35.800 --> 00:08:39.440]   And God searches the depth of your life.
[00:08:39.440 --> 00:08:42.480]   And God knows when you sit, when you sit down,
[00:08:42.480 --> 00:08:44.440]   or when you stand up.
[00:08:44.440 --> 00:08:48.520]   Now, sitting is kind of a posture of resting, right?
[00:08:48.520 --> 00:08:51.600]   You wanna take a break and you sit down.
[00:08:51.600 --> 00:08:56.600]   And the standing is another posture of working, probably,
[00:08:57.400 --> 00:08:59.600]   especially for the ancient people.
[00:08:59.600 --> 00:09:02.840]   So the Psalms says God pays attention to you
[00:09:02.840 --> 00:09:06.880]   when you are resting, when you are working.
[00:09:06.880 --> 00:09:09.840]   God seeing means God is caring for you.
[00:09:09.840 --> 00:09:14.840]   (speaking in foreign language)
[00:09:28.400 --> 00:09:31.320]   And here, God is not like a police,
[00:09:31.320 --> 00:09:34.800]   it's not like a police officer trying to judge you
[00:09:34.800 --> 00:09:36.720]   and find some faults in you.
[00:09:36.720 --> 00:09:40.360]   Here, God is caring for you with His sight
[00:09:40.360 --> 00:09:42.800]   and giving you comfort.
[00:09:42.800 --> 00:09:46.000]   And don't you find comfort in a God
[00:09:46.000 --> 00:09:49.160]   who always cares for you and sees you?
[00:09:49.160 --> 00:09:54.240]   (speaking in foreign language)
[00:09:55.560 --> 00:09:58.400]   And here, the gaze of God is total
[00:09:58.400 --> 00:10:01.840]   and there's no hiding from God.
[00:10:01.840 --> 00:10:03.280]   And we cannot hide from Him.
[00:10:03.280 --> 00:10:06.600]   There's no escape from the sight of God.
[00:10:06.600 --> 00:10:10.600]   (speaking in foreign language)
[00:10:10.600 --> 00:10:14.040]   And then the second point here
[00:10:14.040 --> 00:10:17.240]   is that God is present everywhere.
[00:10:17.240 --> 00:10:21.400]   So let us look at the scripture here, 7 to 9 first.
[00:10:21.400 --> 00:10:24.440]   Where can I go from your spirit, God?
[00:10:24.440 --> 00:10:29.120]   Spirit, God, where can I flee from your presence?
[00:10:29.120 --> 00:10:32.480]   If I go to the heavens, you are there.
[00:10:32.480 --> 00:10:34.520]   If I make my bed in the depths,
[00:10:34.520 --> 00:10:37.480]   the deepest part of the world, you are there.
[00:10:37.480 --> 00:10:41.160]   If I rise on the wings of the dawn,
[00:10:41.160 --> 00:10:44.200]   it means the extremity of direction.
[00:10:44.200 --> 00:10:48.280]   If I settle on the far side of the sea, go ahead.
[00:10:48.280 --> 00:10:53.080]   (speaking in foreign language)
[00:10:54.640 --> 00:10:58.560]   (speaking in foreign language)
[00:10:58.560 --> 00:11:09.320]   And then it continues to say,
[00:11:09.320 --> 00:11:13.680]   even there your hand will guide me
[00:11:13.680 --> 00:11:16.520]   and your right hand will hold me fast.
[00:11:16.520 --> 00:11:19.280]   If I say surely the darkness will hide me
[00:11:19.280 --> 00:11:22.920]   and the light become night around me.
[00:11:22.920 --> 00:11:26.320]   Even the darkness will not be dark to you,
[00:11:26.320 --> 00:11:28.720]   the night will shine like the day
[00:11:28.720 --> 00:11:31.840]   for darkness is as light to you.
[00:11:31.840 --> 00:11:35.760]   (speaking in foreign language)
[00:11:50.560 --> 00:11:55.080]   So here you hear the poet trying to pray to God
[00:11:55.080 --> 00:11:56.800]   who is always present.
[00:11:56.800 --> 00:11:59.560]   And this doesn't seem to be a cry
[00:11:59.560 --> 00:12:04.200]   of someone trying to escape from God.
[00:12:04.200 --> 00:12:09.200]   And it's a realization that God's presence cannot be lost.
[00:12:09.200 --> 00:12:13.240]   And there's no place that God is absent.
[00:12:13.240 --> 00:12:17.160]   (speaking in foreign language)
[00:12:21.560 --> 00:12:23.560]   Now, the poet is David.
[00:12:23.560 --> 00:12:29.560]   I mentioned to you the philosopher John Paul Sartre, right?
[00:12:29.560 --> 00:12:32.880]   For John Paul Sartre, such a knowledge
[00:12:32.880 --> 00:12:35.400]   that God is always seeing you,
[00:12:35.400 --> 00:12:38.640]   being seen all the time means losing your freedom
[00:12:38.640 --> 00:12:41.520]   and your existence because you are always being looked at,
[00:12:41.520 --> 00:12:43.160]   right, being stared at.
[00:12:43.160 --> 00:12:46.240]   And then for David, for the poet here,
[00:12:46.240 --> 00:12:48.320]   being seen is a totally different thing
[00:12:48.320 --> 00:12:51.120]   because here being seen is being seen
[00:12:51.120 --> 00:12:53.480]   by a God who cares about you.
[00:12:53.480 --> 00:12:57.160]   And the gaze of God does not disappear
[00:12:57.160 --> 00:13:02.160]   when life becomes dark, when you can't see in the dark.
[00:13:02.160 --> 00:13:05.960]   God is still seeing you and God does not withdraw
[00:13:05.960 --> 00:13:09.320]   when circumstances go dark or go bad.
[00:13:09.320 --> 00:13:13.240]   (speaking in foreign language)
[00:13:18.360 --> 00:13:22.280]   (speaking in foreign language)
[00:13:22.280 --> 00:13:28.800]   Now, this is interesting
[00:13:28.800 --> 00:13:32.000]   because it's the who is looking at you, right?
[00:13:32.000 --> 00:13:34.680]   It's not a police officer, it's a God who cares about you.
[00:13:34.680 --> 00:13:37.880]   And the presence of God does not expose us
[00:13:37.880 --> 00:13:39.760]   in order to shame us.
[00:13:39.760 --> 00:13:42.600]   The presence of God accompanies us
[00:13:42.600 --> 00:13:46.000]   in order to sustain our life.
[00:13:46.000 --> 00:13:49.920]   (speaking in foreign language)
[00:13:49.920 --> 00:13:53.480]   And there's no height,
[00:13:53.480 --> 00:13:58.280]   there's no height that God is not impressed by us.
[00:13:58.280 --> 00:14:00.280]   And there's no depth,
[00:14:00.280 --> 00:14:04.160]   no, the deepest part where God is discussed by us.
[00:14:04.160 --> 00:14:05.920]   And here the Psalm says,
[00:14:05.920 --> 00:14:09.880]   God is always present in good things and in bad things,
[00:14:09.880 --> 00:14:11.760]   in your success, in your failures,
[00:14:11.760 --> 00:14:13.520]   in your obedience, in your confusion.
[00:14:13.520 --> 00:14:15.760]   And to be seen by God to David
[00:14:15.760 --> 00:14:17.600]   is loved by God.
[00:14:17.600 --> 00:14:21.520]   (speaking in foreign language)
[00:14:21.520 --> 00:14:37.240]   I remember when our first child, Rachel was born
[00:14:37.240 --> 00:14:42.240]   and she was days old or a few weeks old.
[00:14:43.480 --> 00:14:47.920]   And she was lying on her crib.
[00:14:47.920 --> 00:14:50.720]   And I, of course, I'm a loving father.
[00:14:50.720 --> 00:14:54.680]   And I look at her and I see her and I care about her,
[00:14:54.680 --> 00:14:57.880]   even though she is not paying attention to me.
[00:14:57.880 --> 00:15:02.880]   And she was sleeping and I see every single move of hers.
[00:15:02.880 --> 00:15:08.000]   And this is the idea
[00:15:08.000 --> 00:15:10.840]   the Psalms trying to provide for us
[00:15:10.840 --> 00:15:13.120]   is that God is not like a police officer
[00:15:13.120 --> 00:15:16.560]   or a judge trying to catch us doing wrong,
[00:15:16.560 --> 00:15:20.160]   trying to issue a ticket or citation to us.
[00:15:20.160 --> 00:15:23.600]   God is a caring God, always looking at you.
[00:15:23.600 --> 00:15:27.520]   (speaking in foreign language)
[00:15:43.120 --> 00:15:52.920]   And here the psalm continues to tell us
[00:15:52.920 --> 00:15:57.920]   to invite us to know this God who cares about us.
[00:15:57.920 --> 00:16:01.920]   (speaking in foreign language)
[00:16:01.920 --> 00:16:08.320]   Let's continue to read this psalm
[00:16:08.320 --> 00:16:11.200]   from verses 13 and following.
[00:16:11.200 --> 00:16:14.360]   For you create my inmost being,
[00:16:14.360 --> 00:16:17.280]   you knit me together in my mother's womb.
[00:16:17.280 --> 00:16:21.800]   I praise you because I'm fearfully and wonderfully made.
[00:16:21.800 --> 00:16:23.480]   Your works are wonderful.
[00:16:23.480 --> 00:16:25.600]   I know that full well.
[00:16:25.600 --> 00:16:28.440]   My frame was not hidden from you
[00:16:28.440 --> 00:16:32.080]   when I was made in the secret place,
[00:16:32.080 --> 00:16:35.920]   when I was woven together in the depths of the earth.
[00:16:35.920 --> 00:16:41.080]   (speaking in foreign language)
[00:16:41.200 --> 00:16:45.120]   (speaking in foreign language)
[00:16:45.120 --> 00:16:58.320]   And here continue in verse 16.
[00:16:58.320 --> 00:17:01.840]   Your eyes saw my unformed body.
[00:17:01.840 --> 00:17:04.640]   All the days ordained for me were written in your book
[00:17:04.640 --> 00:17:06.840]   before one of them came to be.
[00:17:06.840 --> 00:17:09.880]   How precious to me are your thoughts, O God.
[00:17:09.880 --> 00:17:12.480]   How vast is the sum of them.
[00:17:12.480 --> 00:17:14.520]   Were I to count them,
[00:17:14.520 --> 00:17:18.880]   they would outnumber the grains of sand.
[00:17:18.880 --> 00:17:22.520]   When I awake, I am still with you.
[00:17:22.520 --> 00:17:26.440]   (speaking in foreign language)
[00:17:40.520 --> 00:17:43.320]   (speaking in foreign language)
[00:17:43.320 --> 00:17:48.320]   - So where does the knowledge of God about you begin?
[00:17:48.320 --> 00:17:53.200]   God's knowledge or God's seeing of you
[00:17:53.200 --> 00:17:57.200]   did not begin when you are doing good, all right?
[00:17:57.200 --> 00:18:02.040]   God saw you before you perform,
[00:18:02.040 --> 00:18:03.800]   before any of your activities,
[00:18:03.800 --> 00:18:04.800]   before your failure,
[00:18:04.800 --> 00:18:08.880]   even before your self-awareness of your existence.
[00:18:08.880 --> 00:18:12.240]   This means our lives are not accidents to God.
[00:18:12.240 --> 00:18:17.480]   (speaking in foreign language)
[00:18:17.480 --> 00:18:34.560]   - So God's seeing of us precede our shame
[00:18:34.560 --> 00:18:36.240]   or even our existence.
[00:18:36.240 --> 00:18:39.320]   And that's why David, the poet, can say,
[00:18:39.320 --> 00:18:43.720]   I praise you because I am fearfully and wonderfully made.
[00:18:43.720 --> 00:18:48.720]   God seeing you gives life rather than death.
[00:18:48.720 --> 00:18:53.800]   (speaking in foreign language)
[00:18:53.800 --> 00:19:04.080]   - And here at the end,
[00:19:04.080 --> 00:19:07.160]   the psalm turns personal and prayerful.
[00:19:07.160 --> 00:19:11.640]   It says verses 23 and 24.
[00:19:11.640 --> 00:19:15.400]   Search me, O God, and know my heart,
[00:19:15.400 --> 00:19:18.640]   and test me, and know my anxious thoughts.
[00:19:18.640 --> 00:19:21.600]   See if there's any offensive way in me
[00:19:21.600 --> 00:19:25.160]   and lead me in the way everlasting.
[00:19:25.160 --> 00:19:29.160]   (speaking in foreign language)
[00:19:35.080 --> 00:19:37.800]   - And this is, I think, the most beloved line
[00:19:37.800 --> 00:19:39.000]   in the entire psalm,
[00:19:39.000 --> 00:19:42.280]   or the most surprising line in the psalm.
[00:19:42.280 --> 00:19:46.120]   And the psalm invites us to follow God and to trust Him.
[00:19:46.120 --> 00:19:51.120]   And it does not ask God to look away from us,
[00:19:51.120 --> 00:19:54.880]   ask God to look even deeper in our lives.
[00:19:54.880 --> 00:19:58.800]   (speaking in foreign language)
[00:20:04.920 --> 00:20:07.400]   - And psalm 139, let me conclude,
[00:20:07.400 --> 00:20:10.880]   calls you, or all of us, to know God.
[00:20:10.880 --> 00:20:13.880]   And it's not just knowing about Him, to know Him.
[00:20:13.880 --> 00:20:17.000]   And to be known by God is actually grace,
[00:20:17.000 --> 00:20:18.480]   and to grow in Him.
[00:20:18.480 --> 00:20:23.480]   (speaking in foreign language)
[00:20:35.080 --> 00:20:39.000]   (speaking in foreign language)
[00:20:39.000 --> 00:20:44.880]   - And knowing God here means we stop hiding from Him.
[00:20:44.880 --> 00:20:47.760]   We can be honest and we can be open
[00:20:47.760 --> 00:20:49.520]   and transparent before God.
[00:20:49.520 --> 00:20:52.960]   And it means we allow God not only to comfort us,
[00:20:52.960 --> 00:20:54.400]   but to lead us.
[00:20:54.400 --> 00:20:57.560]   And the gaze of God, the sight of Him,
[00:20:57.560 --> 00:21:00.720]   does not merely reveal who we really are,
[00:21:00.720 --> 00:21:05.720]   but lead us into ways of everlasting life following Him.
[00:21:05.720 --> 00:21:10.080]   (speaking in foreign language)
[00:21:10.080 --> 00:21:25.560]   - And today, I wanna invite you to conclude with a prayer,
[00:21:25.560 --> 00:21:29.640]   to come before this God, and to accept Him,
[00:21:29.640 --> 00:21:32.880]   and to love Him back, to relate to Him.
[00:21:32.880 --> 00:21:37.280]   So let us all pray together.
[00:21:37.280 --> 00:21:41.200]   Let's pray.
[00:21:41.200 --> 00:21:43.000]   (speaking in foreign language)
[00:21:43.000 --> 00:21:47.800]   - Lord, you see us completely, and you still love us.
[00:21:47.800 --> 00:21:51.400]   (speaking in foreign language)
[00:21:51.400 --> 00:21:56.400]   - Thank you, because your gaze is not meant to shame us,
[00:21:57.160 --> 00:22:00.200]   but to guide us and to love us.
[00:22:00.200 --> 00:22:04.120]   (speaking in foreign language)
[00:22:04.120 --> 00:22:10.200]   - And help us, Lord, not only to rest in being known by you,
[00:22:10.200 --> 00:22:13.120]   but to truly know you.
[00:22:13.120 --> 00:22:18.080]   (speaking in foreign language)
[00:22:18.080 --> 00:22:22.360]   - And with the psalm, we wanna conclude
[00:22:22.360 --> 00:22:27.360]   with our heartful prayer, lead us, God, in the way everlasting.
[00:22:27.360 --> 00:22:33.560]   (speaking in foreign language)
[00:22:33.560 --> 00:22:34.720]   - In Christ, we pray.
[00:22:34.720 --> 00:22:37.200]   - Amen. - Amen.
[00:22:37.200 --> 00:22:44.840]   - Well, God bless you, and always be seen by God this week,
[00:22:44.840 --> 00:22:47.560]   and knowing that God is always watching over you
[00:22:47.560 --> 00:22:49.680]   and caring for you, all right?
[00:22:49.680 --> 00:22:53.680]   (speaking in foreign language)
