
[00:00:00.000 --> 00:00:01.920]   - Thanks, Kelly.
[00:11:37.040 --> 00:11:38.080]   bad community.
[00:11:38.080 --> 00:11:41.440]   It will have a negative effect on your life.
[00:11:41.440 --> 00:11:46.440]   But here in verse 17, the wise teacher is telling you,
[00:11:47.080 --> 00:11:50.360]   if you surround yourself with good and spiritual people,
[00:11:50.360 --> 00:11:52.620]   you will grow, you will grow.
[00:11:52.620 --> 00:11:56.260]   If not, your life will decline.
[00:11:56.260 --> 00:11:59.040]   You will slowly drift away from God.
[00:11:59.040 --> 00:12:02.840]   You will slowly drift away from the fear of the Lord.
[00:12:02.840 --> 00:12:07.720]   And it tells you, nobody can be a Christian alone, right?
[00:12:07.720 --> 00:12:09.200]   No one's an island.
[00:12:09.200 --> 00:12:12.960]   Everyone is connected, and that's why you need to belong
[00:12:12.960 --> 00:12:15.600]   to a spiritual community, a home church.
[00:12:15.600 --> 00:12:16.560]   And that is important.
[00:12:16.560 --> 00:12:21.560]   You cannot do Christian from home, all by yourself, right?
[00:12:21.560 --> 00:12:26.880]   And the biblical language for Hebrew is very interesting,
[00:12:26.880 --> 00:12:33.080]   because in Hebrew, here it tells you a piece of iron
[00:12:33.080 --> 00:12:38.240]   sharpening another piece of iron, right?
[00:12:38.240 --> 00:12:41.480]   And slowly, you will increase the value
[00:12:41.480 --> 00:12:44.720]   of both pieces of iron, right?
[00:12:44.720 --> 00:12:48.360]   The iron, one piece by itself, it has value.
[00:12:48.360 --> 00:12:53.260]   However, if you rub it with another piece of iron,
[00:12:53.260 --> 00:12:57.760]   both of them will get sharpened and becomes a knife, right?
[00:12:57.760 --> 00:13:01.200]   It becomes a knife or some tool,
[00:13:01.200 --> 00:13:05.800]   and the value of the piece of iron will increase.
[00:13:05.800 --> 00:13:08.180]   And what it said about, the funny thing about Hebrew
[00:13:08.180 --> 00:13:13.180]   is that in Hebrew, the word faith, faith,
[00:13:14.580 --> 00:13:18.320]   is actually used to describe the blade of a knife.
[00:13:18.320 --> 00:13:23.300]   The blade of the knife is actually the face of the knife.
[00:13:23.300 --> 00:13:27.460]   So the wise teacher is saying, as iron sharpening iron,
[00:13:27.460 --> 00:13:32.420]   as one friend sharpens the blade of the other friend,
[00:13:32.420 --> 00:13:34.440]   the face of the other friend.
[00:13:34.440 --> 00:13:36.960]   So no one can be a Christian alone.
[00:13:36.960 --> 00:13:40.080]   You need to plug in to some sort of community
[00:13:40.080 --> 00:13:42.520]   or small group or some local church
[00:13:42.520 --> 00:13:45.200]   in order for you to grow spiritually,
[00:13:45.200 --> 00:13:47.080]   to grow your relationship with God.
[00:13:47.080 --> 00:13:50.300]   So that is the power of environment.
[00:13:50.300 --> 00:13:55.520]   Principle number eight is habit bundling or habit stacking.
[00:13:55.520 --> 00:13:59.400]   Now what the psychologist is telling us
[00:13:59.400 --> 00:14:03.640]   is that if you wanna build some new habit,
[00:14:03.640 --> 00:14:08.640]   you need to tie the new habit to some established habits.
[00:14:09.020 --> 00:14:12.480]   Some habits that you are doing like your second nature.
[00:14:12.480 --> 00:14:15.420]   How many of you drive a stick shift?
[00:14:15.420 --> 00:14:18.180]   How many of you drive a stick shift?
[00:14:18.180 --> 00:14:21.380]   There you go, all right, here's the man.
[00:14:21.380 --> 00:14:25.740]   I drive a stick shift for so many years.
[00:14:25.740 --> 00:14:30.540]   So even today, I get into a car,
[00:14:30.540 --> 00:14:33.220]   my left foot will do something.
[00:14:33.220 --> 00:14:35.060]   I will try to find the clutch.
[00:14:35.060 --> 00:14:35.880]   And then there are times,
[00:14:35.880 --> 00:14:39.200]   because I have automatic transmission car as well,
[00:14:39.200 --> 00:14:40.880]   so sometimes I jump into the car
[00:14:40.880 --> 00:14:42.320]   and then try to find the clutch.
[00:14:42.320 --> 00:14:44.720]   There's no clutch there, right?
[00:14:44.720 --> 00:14:48.080]   Because it becomes a second nature for me, right?
[00:14:48.080 --> 00:14:50.120]   So that's established habit.
[00:14:50.120 --> 00:14:51.360]   So the psychologist is telling us
[00:14:51.360 --> 00:14:52.720]   if you wanna build new habit,
[00:14:52.720 --> 00:14:57.720]   you have to attach it or tie it with some established habit.
[00:14:57.720 --> 00:15:00.400]   And the easiest way to develop this
[00:15:00.400 --> 00:15:03.080]   is to think about, okay, established habit,
[00:15:03.080 --> 00:15:05.940]   and then I wanna add something to my established habit.
[00:15:05.940 --> 00:15:11.640]   Every morning or every night, you brush your teeth.
[00:15:11.640 --> 00:15:13.740]   When is the best time to floss your teeth?
[00:15:13.740 --> 00:15:16.680]   It's after brushing your teeth, right?
[00:15:16.680 --> 00:15:22.320]   Brushing your teeth is already an established habit, right?
[00:15:22.320 --> 00:15:23.960]   I hope that's true to you.
[00:15:23.960 --> 00:15:25.440]   It's established habit.
[00:15:25.440 --> 00:15:28.640]   It's kind of, you don't have to think about it.
[00:15:28.640 --> 00:15:31.880]   But if you are not flossing your teeth regularly,
[00:15:31.880 --> 00:15:35.000]   the best way, the behavioral psychologist is telling us,
[00:15:35.000 --> 00:15:38.840]   is to stack it onto some established habit.
[00:15:38.840 --> 00:15:41.080]   If you check the wisdom literature in the Bible,
[00:15:41.080 --> 00:15:44.200]   it actually talks about stacking,
[00:15:44.200 --> 00:15:48.040]   something adding to some of the habits
[00:15:48.040 --> 00:15:50.440]   that you may already have.
[00:15:50.440 --> 00:15:54.280]   Here, chapter four, verses 20 and following.
[00:15:54.280 --> 00:15:58.240]   The father is teaching the son to have wisdom.
[00:15:58.240 --> 00:16:01.960]   So he says, "My son, pay attention to what I say.
[00:16:01.960 --> 00:16:04.560]   "Listen closely to my words.
[00:16:04.560 --> 00:16:06.520]   "Do not let them out of your sight.
[00:16:06.520 --> 00:16:08.400]   "Keep them within your heart,
[00:16:08.400 --> 00:16:11.080]   "for they are life to those who find them,
[00:16:11.080 --> 00:16:14.440]   "and health to a man's whole body.
[00:16:14.440 --> 00:16:17.480]   "Above all else, guard your heart,
[00:16:17.480 --> 00:16:20.960]   "for this is the wellspring of life."
[00:16:20.960 --> 00:16:22.400]   You see the stacking here?
[00:16:22.400 --> 00:16:26.680]   One of the way you appreciate the book of Proverbs
[00:16:26.680 --> 00:16:29.640]   or wisdom literature is that there are short sayings,
[00:16:29.640 --> 00:16:33.520]   and sometimes one short sayings has two short verses.
[00:16:33.520 --> 00:16:38.480]   Verse B is stacking on verse A, all right?
[00:16:38.480 --> 00:16:42.400]   It's like staircase, A and then B, A and then B.
[00:16:42.400 --> 00:16:44.840]   Sometimes A, B, and C.
[00:16:44.840 --> 00:16:48.080]   Here, it says, "My son, pay attention."
[00:16:48.080 --> 00:16:49.480]   Pay attention.
[00:16:49.480 --> 00:16:52.080]   It's actually a military word.
[00:16:52.080 --> 00:16:54.480]   It describes soldiers, you know,
[00:16:54.480 --> 00:16:58.840]   standing, guarding on the top of watchtower.
[00:16:58.840 --> 00:17:03.840]   And what the soldier is doing is actually paying attention,
[00:17:03.840 --> 00:17:07.800]   paying attention to noise from the enemies.
[00:17:07.800 --> 00:17:09.880]   Maybe there's approaching army,
[00:17:09.880 --> 00:17:12.600]   approaching horses to the city,
[00:17:12.600 --> 00:17:14.760]   and you pay attention to it.
[00:17:14.760 --> 00:17:18.040]   So he says, "My son, pay attention to what I say.
[00:17:18.040 --> 00:17:21.800]   "Listen closely to my words."
[00:17:22.800 --> 00:17:24.440]   Pay attention, listen closely.
[00:17:24.440 --> 00:17:27.480]   Do not let them out of your sight.
[00:17:27.480 --> 00:17:29.640]   Put it right in front of you.
[00:17:29.640 --> 00:17:33.720]   Keep them within your heart, right?
[00:17:33.720 --> 00:17:36.440]   Stacking one on the other.
[00:17:36.440 --> 00:17:38.040]   Because they are life, right?
[00:17:38.040 --> 00:17:40.360]   They are the wellspring of life.
[00:17:40.360 --> 00:17:44.640]   I remember I told you when I was in college,
[00:17:44.640 --> 00:17:47.760]   I failed the first test of my chemistry class,
[00:17:47.760 --> 00:17:52.040]   and then the following nine tests, I built a new habit.
[00:17:52.040 --> 00:17:53.960]   After the lecture, after the class,
[00:17:53.960 --> 00:17:57.760]   I don't go with my classmates to go out to Starbucks, right,
[00:17:57.760 --> 00:17:59.080]   to have a good time there.
[00:17:59.080 --> 00:18:01.880]   No, I go immediately to the library
[00:18:01.880 --> 00:18:04.200]   and to review the materials.
[00:18:04.200 --> 00:18:09.200]   And I actually use less time to ace the test.
[00:18:09.200 --> 00:18:13.920]   All my classmates, they have fun, they have good time, right?
[00:18:13.920 --> 00:18:17.640]   But at the end, I ace all nine tests.
[00:18:17.640 --> 00:18:20.720]   And that is habit stacking.
[00:18:20.720 --> 00:18:24.760]   You stack one new habit to your established habit.
[00:18:24.760 --> 00:18:28.000]   And that is habit bundling.
[00:18:28.000 --> 00:18:33.000]   And principle nine is to make your goal attractive.
[00:18:33.000 --> 00:18:38.040]   Make it as attractive as possible.
[00:18:38.040 --> 00:18:41.120]   Use different wordings to describe your goal,
[00:18:41.120 --> 00:18:44.440]   to describe your system, to describe your new habit.
[00:18:44.440 --> 00:18:49.440]   If you use attractive words, you will tend to change.
[00:18:50.440 --> 00:18:55.280]   You go to the gym, you have to do some exercise.
[00:18:55.280 --> 00:18:58.120]   If in your mind, if in your mind,
[00:18:58.120 --> 00:19:02.000]   you use some negative description
[00:19:02.000 --> 00:19:07.000]   to describe that new habit, you will bound to fail, right?
[00:19:07.000 --> 00:19:11.120]   Oh man, I have to go, I have to drag my body to go, right?
[00:19:11.120 --> 00:19:16.120]   But if you describe your new habit in a nice way,
[00:19:16.540 --> 00:19:19.220]   there is a bigger chance for you to achieve it.
[00:19:19.220 --> 00:19:23.080]   You know, in the United States hotel rooms,
[00:19:23.080 --> 00:19:28.980]   they are trying to find ways to encourage the customers
[00:19:28.980 --> 00:19:32.260]   to reuse the towel.
[00:19:32.260 --> 00:19:34.660]   That will save a lot of money, right?
[00:19:34.660 --> 00:19:37.340]   Because sometimes you go to a hotel, you stay there,
[00:19:37.340 --> 00:19:41.580]   and then you use the towel only once or just part of it,
[00:19:41.580 --> 00:19:44.940]   right, and then you throw it on the ground, right?
[00:19:44.940 --> 00:19:49.020]   And then you use, and after that, you use a new towel, right?
[00:19:49.020 --> 00:19:50.220]   And by the end of the day,
[00:19:50.220 --> 00:19:54.360]   you probably use three or four towels, right?
[00:19:54.360 --> 00:19:57.800]   Which are unnecessary.
[00:19:57.800 --> 00:20:02.420]   And the hotel manager is trying to do a study.
[00:20:02.420 --> 00:20:05.800]   It says that if you wanna encourage guests
[00:20:05.800 --> 00:20:10.800]   to reuse their towel, you describe reusing towel
[00:20:13.740 --> 00:20:15.020]   with some good words.
[00:20:15.020 --> 00:20:18.860]   As you can tell here, it says,
[00:20:18.860 --> 00:20:23.860]   dear guests, every day, tons of water, gallons of water,
[00:20:23.860 --> 00:20:29.420]   are used to wash towels that have been only used once.
[00:20:29.420 --> 00:20:35.380]   And this hotel is committed to conserve natural resources,
[00:20:35.380 --> 00:20:37.540]   and this is how you can help, right?
[00:20:37.540 --> 00:20:41.780]   If you put it back on the rack, I'll use it again.
[00:20:41.780 --> 00:20:45.940]   If you throw it on the floor, please exchange it, right?
[00:20:45.940 --> 00:20:50.020]   And the study finds out, because of this wording,
[00:20:50.020 --> 00:20:52.780]   even at the wording, save the planet, right?
[00:20:52.780 --> 00:20:55.020]   You don't have to do anything to save your planet.
[00:20:55.020 --> 00:20:57.020]   You just reuse your towel, right?
[00:20:57.020 --> 00:20:59.220]   It makes you a hero, right?
[00:20:59.220 --> 00:21:04.100]   The study finds that this means it's effective.
[00:21:04.100 --> 00:21:09.540]   And then the end, the result is 75% of the guests
[00:21:09.540 --> 00:21:13.660]   in the hotel, reuse their towel more than once.
[00:21:13.660 --> 00:21:18.020]   Because you describe in such a way to save the planet,
[00:21:18.020 --> 00:21:23.020]   right, we do this together, you establish some social norm
[00:21:23.020 --> 00:21:26.320]   for people to conform to it, right?
[00:21:26.320 --> 00:21:30.820]   And the wisdom literature has so much to say about this.
[00:21:30.820 --> 00:21:35.820]   It describes wisdom with beautiful, glorious terms.
[00:21:37.360 --> 00:21:42.360]   Chapter four, wisdom is supreme, therefore get wisdom.
[00:21:42.360 --> 00:21:48.240]   Though it costs all of you, get understanding.
[00:21:48.240 --> 00:21:52.240]   Esteem wisdom is being personalized as a woman.
[00:21:52.240 --> 00:21:56.240]   Esteem her and she will exalt you.
[00:21:56.240 --> 00:21:58.960]   Embrace her, she will honor you.
