
[00:00:00.000 --> 00:00:04.000]  上次提到約瑟原生家庭的問題
[00:04:55.000 --> 00:05:00.000]  我們又做了多少錯的事來傷害了人
[00:05:00.000 --> 00:05:03.000]  我們說錯話、做錯事
[00:05:03.000 --> 00:05:08.000]  絕大多數原因是因為當時年少無知
[00:05:08.000 --> 00:05:13.000]  少年時期的約瑟當時的思想也非常簡單
[00:05:13.000 --> 00:05:16.000]  他自幼就深得父母的愛
[00:05:16.000 --> 00:05:20.000]  他從小到大都沒有需要主動去爭取
[00:05:20.000 --> 00:05:25.000]  因為至少他就得到父母親完全的愛
[00:05:25.000 --> 00:05:28.000]  但他10個兄長就很不同了
[00:05:28.000 --> 00:05:31.000]  這10個兄長至少知道
[00:05:31.000 --> 00:05:35.000]  自己的母親並不是父親的最愛
[00:05:35.000 --> 00:05:37.000]  當約瑟出生後
[00:05:37.000 --> 00:05:42.000]  就更讓這10個兄長感到非常不安
[00:05:42.000 --> 00:05:47.000]  他們的不安是因為缺乏了父親完全對他們的愛
[00:05:47.000 --> 00:05:51.000]  這10個兄長為了爭愛、爭權、爭利
[00:05:51.000 --> 00:05:54.000]  以至有殺親弟的念頭
[00:05:54.000 --> 00:05:57.000]  甚至埋親弟的行動
[00:05:57.000 --> 00:06:01.000]  約瑟和家人生活了一共17年
[00:06:01.000 --> 00:06:03.000]  可以想像一下
[00:06:03.000 --> 00:06:06.000]  年輕人自出生至17歲
[00:06:06.000 --> 00:06:11.000]  在身邊的家人有極之愛他們的親生父母
[00:06:11.000 --> 00:06:15.000]  但同時也有極之恨他的兄長
[00:06:15.000 --> 00:06:18.000]  兄長恨約瑟的程度
[00:06:18.000 --> 00:06:21.000]  竟然嚴重到要殺他
[00:06:21.000 --> 00:06:24.000]  故事說到這裡
[00:06:24.000 --> 00:06:28.000]  有沒有引起大家什麼聯想呢?
[00:06:28.000 --> 00:06:31.000]  大家會不會有一個疑問
[00:06:31.000 --> 00:06:35.000]  對於原生家庭所帶來的負面影響
[00:06:35.000 --> 00:06:42.000]  而這些負面影響又會帶來有多少嚴重的後果呢?
[00:06:42.000 --> 00:06:46.000]  下一次我會和大家再深入探討
[00:06:46.000 --> 00:06:49.000]  約瑟的原生家庭負面影響
[00:06:49.000 --> 00:06:53.000]  所帶來有什麼後果
[00:06:53.000 --> 00:06:55.000]  謝謝大家
[00:06:55.000 --> 00:07:03.000]  請不吝點贊訂閱轉發打賞支持明鏡與點點欄目

