
[00:00:00.000 --> 00:00:06.000]  上次說到,人生就像一部戲
[00:03:13.000 --> 00:03:19.000]  為人父母的你 當你要處理到子女之間的衝突的時候
[00:03:19.000 --> 00:03:22.000]  你們會公平處理嗎?
[00:03:22.000 --> 00:03:25.000]  當你們要處理這些事情的時候
[00:03:25.000 --> 00:03:29.000]  究竟是對事還是對人呢?
[00:03:29.000 --> 00:03:35.000]  大家有沒有想過 父母親處理子女之間衝突的問題
[00:03:35.000 --> 00:03:38.000]  如果處理得不恰當的話
[00:03:38.000 --> 00:03:43.000]  是會造成親兄弟之間的不和呢?
[00:03:43.000 --> 00:03:47.000]  在故事裡的主角約瑟
[00:03:47.000 --> 00:03:52.000]  被兄長恨他而所帶來的嚴重後果
[00:03:52.000 --> 00:03:58.000]  竟然是向同父異母的親弟約瑟動殺機
[00:03:58.000 --> 00:04:00.000]  手術之間可以為了權
[00:04:00.000 --> 00:04:07.000]  為了名 為了味 反目 承受 甚至骨肉相殘
[00:04:07.000 --> 00:04:10.000]  還記不記得在聖經裡所記載
[00:04:10.000 --> 00:04:13.000]  人類的第一宗殺人事件嗎?
[00:04:13.000 --> 00:04:17.000]  都是發生於兩兄弟之間
[00:04:17.000 --> 00:04:21.000]  起因都是因為嫉妒
[00:04:21.000 --> 00:04:26.000]  在故事裡 主角 兄長來向約瑟動殺機
[00:04:26.000 --> 00:04:33.000]  主要原因是與原生家庭所產生的問題有關
[00:04:33.000 --> 00:04:36.000]  約瑟童年和青年時期
[00:04:36.000 --> 00:04:38.000]  都有他幸福的一面
[00:04:38.000 --> 00:04:41.000]  因為親生父母對他的痛愛
[00:04:41.000 --> 00:04:47.000]  但亦由於約瑟的父親對約瑟的偏愛
[00:04:47.000 --> 00:04:52.000]  而令約瑟受到兄長的嫉妒和排斥
[00:04:52.000 --> 00:05:00.000]  甚至導致約瑟日後有被殺的危機和閉脈的結果
[00:05:00.000 --> 00:05:03.000]  約瑟自出母胎至17歲
[00:05:03.000 --> 00:05:07.000]  17年來在他身上所發生的事情
[00:05:07.000 --> 00:05:09.000]  都是不由自主的
[00:05:09.000 --> 00:05:15.000]  例如 他的親生母親是父親最愛的妻子
[00:05:15.000 --> 00:05:20.000]  父親偏愛著自己 親手為自己做採衣
[00:05:20.000 --> 00:05:24.000]  兄長至少就對他 排擠他
[00:05:24.000 --> 00:05:27.000]  他做夢 夢見十個哥哥跪拜他
[00:05:27.000 --> 00:05:31.000]  連親生父母都要跪拜他
[00:05:31.000 --> 00:05:33.000]  父親吩咐他去找兄長
[00:05:33.000 --> 00:05:36.000]  他只有聽命
[00:05:36.000 --> 00:05:39.000]  結果就被兄長埋到埃及
[00:05:39.000 --> 00:05:42.000]  從此之後就與原生家庭分開
[00:05:42.000 --> 00:05:47.000]  流落異鄉 做埃及人的奴隸
[00:05:47.000 --> 00:05:49.000]  這些種種事情的發生
[00:05:49.000 --> 00:05:52.000]  都不是約瑟有自由可以選擇
[00:05:52.000 --> 00:05:56.000]  亦不是約瑟有能力可以改變
[00:05:56.000 --> 00:06:01.000]  下一次我會和大家再探討一下
[00:06:01.000 --> 00:06:07.000]  造成約瑟閉脈的原因和約瑟原生家庭的問題
[00:06:07.000 --> 00:06:11.000]  究竟兩者之間有什麼關係
[00:06:11.000 --> 00:06:23.000]  請不吝點贊訂閱轉發打賞支持明鏡與點點欄目

