
[00:00:00.000 --> 00:00:07.000]  「上次講到約瑟因為高興九兄長能夠將別雅敏從埃及帶來
[00:01:55.000 --> 00:01:59.000]  猶大不願意別雅敏一個人來受罪
[00:01:59.000 --> 00:02:03.000]  所以就向埃及的首相來求情
[00:02:03.000 --> 00:02:07.000]  希望首相能夠紀念別雅敏
[00:02:07.000 --> 00:02:10.000]  在家中裡還有一個老父
[00:02:10.000 --> 00:02:13.000]  以下就是猶大請求的內容
[00:02:13.000 --> 00:02:15.000]  猶大這樣說
[00:02:15.000 --> 00:02:20.000]  「別雅敏是老父在晚年時候所生的一個兒子
[00:02:20.000 --> 00:02:27.000]  別雅敏的同父同母的哥哥已經死了
[00:02:27.000 --> 00:02:31.000]  別雅敏的親母就只剩下她一個兒子
[00:02:31.000 --> 00:02:35.000]  父親非常痛愛別雅敏
[00:02:35.000 --> 00:02:37.000]  如果父親死了
[00:02:37.000 --> 00:02:40.000]  父親必定會傷心至死
[00:02:40.000 --> 00:02:44.000]  猶大也為了救家族和所有的人
[00:02:44.000 --> 00:02:48.000]  更不願意見到老父失去了最愛的兒子
[00:02:48.000 --> 00:02:50.000]  而傷心至死
[00:02:50.000 --> 00:02:52.000]  猶大就用自己的性命
[00:02:52.000 --> 00:02:55.000]  向老父來擔保
[00:02:55.000 --> 00:03:01.000]  他擔保可以安全將別雅敏帶回老父的身邊
[00:03:01.000 --> 00:03:03.000]  如果你就是約瑟
[00:03:03.000 --> 00:03:07.000]  聽到這個兄長猶大的請求
[00:03:07.000 --> 00:03:10.000]  你會有什麼反應呢?
[00:03:10.000 --> 00:03:16.000]  猶大就是當日提議要殺約瑟的人
[00:03:16.000 --> 00:03:18.000]  在約瑟的心目當中
[00:03:18.000 --> 00:03:21.000]  十兄長之中
[00:03:21.000 --> 00:03:24.000]  猶大是最沒有兄弟情的一個
[00:03:24.000 --> 00:03:28.000]  也是約瑟最不信任的一個
[00:03:28.000 --> 00:03:31.000]  如今 約瑟卻親耳聽到
[00:03:31.000 --> 00:03:33.000]  猶大為了親情
[00:03:33.000 --> 00:03:37.000]  竟然將自己的性命作為擔保
[00:03:37.000 --> 00:03:40.000]  大家認為對約瑟一個這麼重情
[00:03:40.000 --> 00:03:42.000]  又這麼重義的人來說
[00:03:42.000 --> 00:03:45.000]  約瑟對猶大這番請求
[00:03:45.000 --> 00:03:50.000]  會有什麼反應和行動呢?
[00:03:50.000 --> 00:03:52.000]  看完45章
[00:03:52.000 --> 00:03:54.000]  一到第15節
[00:03:54.000 --> 00:03:57.000]  約瑟吩咐所有人退去
[00:03:57.000 --> 00:04:01.000]  只剩下他自己和十兄弟的時候
[00:04:01.000 --> 00:04:05.000]  約瑟就和十兄弟相迎
[00:04:05.000 --> 00:04:08.000]  約瑟和十兄弟相迎的時候
[00:04:08.000 --> 00:04:10.000]  他大聲地吐哭
[00:04:10.000 --> 00:04:14.000]  這次是約瑟第三次在哭
[00:04:14.000 --> 00:04:17.000]  聲音大得連外面的埃及人
[00:04:17.000 --> 00:04:20.000]  和法老家中的人都哭了
[00:04:20.000 --> 00:04:23.000]  可想而知 當時的約瑟
[00:04:23.000 --> 00:04:25.000]  已經有心理準備
[00:04:25.000 --> 00:04:29.000]  還有行動和兄長團圓和復和
[00:04:29.000 --> 00:04:35.000]  不過 當時兄弟都被約瑟的表現嚇呆了
[00:04:35.000 --> 00:04:38.000]  於是約瑟就向他們表明
[00:04:38.000 --> 00:04:41.000]  自己的真實身份
[00:04:41.000 --> 00:04:45.000]  就是當年他們賣他的那一張照片
[00:04:45.000 --> 00:04:49.000]  約瑟不但表明自己的身份
[00:04:49.000 --> 00:04:51.000]  看完第五節
[00:04:51.000 --> 00:04:54.000]  約瑟先向他們指出
[00:04:54.000 --> 00:04:59.000]  不要再為當年的事而自憂自恨
[00:04:59.000 --> 00:05:03.000]  當時約瑟這番話足以證明
[00:05:03.000 --> 00:05:06.000]  約瑟當年被兄長出賣的事
[00:05:06.000 --> 00:05:09.000]  其實約瑟已經釋懷了
[00:05:09.000 --> 00:05:12.000]  約瑟的身份和身份
[00:05:12.000 --> 00:05:15.000]  其實約瑟已經釋懷了
[00:05:15.000 --> 00:05:18.000]  弟姐妹 冤尊你就是約瑟
[00:05:18.000 --> 00:05:20.000]  你會像約瑟一樣
[00:05:20.000 --> 00:05:25.000]  肯放下二十多年來兄弟之間的怨恨嗎?
[00:05:25.000 --> 00:05:29.000]  如果想知道故事發展會是怎樣
[00:05:29.000 --> 00:05:32.000]  請不要錯過下一次的講解
[00:05:32.000 --> 00:05:38.000]  MING PAO CANADA | MING PAO TORONTO

