
[00:00:00.000 --> 00:00:03.000]  約瑟被賣後的幾次大經歷
[00:01:48.000 --> 00:01:51.000]  雖然被賣到埃及了做奴隸
[00:01:51.000 --> 00:01:55.000]  但神卻依然與約瑟同在
[00:01:55.000 --> 00:01:59.000]  於是約瑟在主人的眼前蒙恩
[00:01:59.000 --> 00:02:02.000]  還得到主人的肯定
[00:02:02.000 --> 00:02:06.000]  約瑟起初是以一個奴隸的身份來被賣
[00:02:06.000 --> 00:02:10.000]  後來他就再被賣到去法老的奈神
[00:02:10.000 --> 00:02:14.000]  Bolv提佛的家裡做奴隸
[00:02:14.000 --> 00:02:16.000]  是埃及人的家
[00:02:16.000 --> 00:02:19.000]  與埃及人同工作、同生活
[00:02:19.000 --> 00:02:22.000]  由於神與約瑟的同在
[00:02:22.000 --> 00:02:26.000]  約瑟就在主人的眼前蒙恩
[00:02:26.000 --> 00:02:30.000]  Bolv提佛認為自己的家業能得到恩福
[00:02:30.000 --> 00:02:33.000]  全是因為約瑟有神的同在
[00:02:33.000 --> 00:02:37.000]  於是約瑟就深得住主人的賞識
[00:02:37.000 --> 00:02:41.000]  主人還升約瑟做總管
[00:02:41.000 --> 00:02:46.000]  還把家裡各樣大小的事都交由約瑟一個人來管理
[00:02:46.000 --> 00:02:48.000]  大家留意一下
[00:02:48.000 --> 00:02:52.000]  Bolv提佛與約瑟兩個人的背景
[00:02:52.000 --> 00:02:55.000]  地位身份都是非常懸殊
[00:02:55.000 --> 00:02:58.000]  若非約瑟有神的同在
[00:02:58.000 --> 00:03:00.000]  以Bolv提佛的背景
[00:03:00.000 --> 00:03:03.000]  根本不會賞識約瑟
[00:03:03.000 --> 00:03:06.000]  更加不會重用和信任他
[00:03:06.000 --> 00:03:07.000]  試想一下
[00:03:07.000 --> 00:03:11.000]  當初約瑟能夠免受到輕掌、殺害
[00:03:11.000 --> 00:03:15.000]  雖然仍然賣到埃及來做奴隸
[00:03:15.000 --> 00:03:19.000]  但他是由一個非埃及人的奴隸身份
[00:03:19.000 --> 00:03:21.000]  可以晉升為一個總管
[00:03:21.000 --> 00:03:25.000]  管理著埃及法老內臣的一切家業
[00:03:25.000 --> 00:03:29.000]  可想而知約瑟不單是大難不死
[00:03:29.000 --> 00:03:31.000]  神還用到約瑟在埃及裡
[00:03:31.000 --> 00:03:35.000]  大大經歷到與神同在所得到的福氣
[00:03:35.000 --> 00:03:38.000]  由約瑟被賣到埃及來做奴隸
[00:03:38.000 --> 00:03:41.000]  到升為總管這段期間
[00:03:41.000 --> 00:03:44.000]  約瑟由一個青年人
[00:03:44.000 --> 00:03:47.000]  變成一個壯年人
[00:03:47.000 --> 00:03:49.000]  在這段日子裡
[00:03:49.000 --> 00:03:54.000]  約瑟先後經歷過有兩次被陷害
[00:03:54.000 --> 00:03:56.000]  在約瑟的青年期時
[00:03:56.000 --> 00:04:00.000]  被掌興賣到埃及來做奴隸
[00:04:00.000 --> 00:04:02.000]  在約瑟的中年時
[00:04:02.000 --> 00:04:06.000]  他被主母陷害被主人鎖在監獄裡
[00:04:06.000 --> 00:04:10.000]  約瑟當年被害是因為原生家庭問題
[00:04:10.000 --> 00:04:12.000]  父親只是偏愛約瑟
[00:04:12.000 --> 00:04:16.000]  父親忽略了其他十個兒子的感受和需要
[00:04:16.000 --> 00:04:19.000]  加上約瑟年少無知
[00:04:19.000 --> 00:04:21.000]  不懂人情世故
[00:04:21.000 --> 00:04:25.000]  又經常向父親提高掌興的罪行
[00:04:25.000 --> 00:04:29.000]  結果造成被兄長賣到埃及來做奴隸
[00:04:29.000 --> 00:04:32.000]  但神一直與約瑟同在
[00:04:32.000 --> 00:04:34.000]  神賜福給約瑟
[00:04:34.000 --> 00:04:36.000]  約瑟因禍而得福
[00:04:36.000 --> 00:04:39.000]  最初是由一個奴隸的身份
[00:04:39.000 --> 00:04:42.000]  慢慢來到晉升成為總管
[00:04:42.000 --> 00:04:45.000]  約瑟當年要離開自己的家鄉
[00:04:45.000 --> 00:04:49.000]  去到另一個地方來生存
[00:04:49.000 --> 00:04:51.000]  是約瑟自由的選擇
[00:04:51.000 --> 00:04:53.000]  還是他不由自主呢?
[00:04:53.000 --> 00:04:55.000]  電影姐妹
[00:04:56.000 --> 00:05:01.000]  走入人生的路上的確有很多時候是不由自主的
[00:05:01.000 --> 00:05:03.000]  你有沒有像約瑟一樣
[00:05:03.000 --> 00:05:06.000]  不單要離開自己的原生家庭
[00:05:06.000 --> 00:05:08.000]  還要一無所有
[00:05:08.000 --> 00:05:10.000]  獨自來到一個陌生地
[00:05:10.000 --> 00:05:14.000]  沒有家人、親戚、朋友、工作
[00:05:14.000 --> 00:05:18.000]  甚至連自己的性命都不屬於自己
[00:05:18.000 --> 00:05:22.000]  下一次我會再和大家深入探討
[00:05:22.000 --> 00:05:25.000]  究竟約瑟流落異鄉後有什麼經歷
[00:05:25.000 --> 00:05:27.000]  MING PAO CANADA | MING PAO TORONTO
[00:05:27.000 --> 00:05:29.000]  MING PAO CANADA | MING PAO TORONTO
[00:05:29.000 --> 00:05:31.000]  MING PAO CANADA | MING PAO TORONTO
[00:05:31.000 --> 00:05:33.000]  MING PAO CANADA | MING PAO TORONTO
[00:05:33.000 --> 00:05:35.000]  MING PAO CANADA | MING PAO TORONTO
[00:05:35.000 --> 00:05:37.000]  MING PAO CANADA | MING PAO TORONTO

