
[00:00:00.000 --> 00:00:01.080]   Let's welcome him.
[00:02:25.240 --> 00:02:28.780]   So I loved it when the Cubs won the World Series
[00:02:28.780 --> 00:02:31.440]   because I got to go, and I got to take photos
[00:02:31.440 --> 00:02:33.980]   of entire crowds at Wrigleyville
[00:02:33.980 --> 00:02:36.260]   just celebrating and getting excited.
[00:02:36.260 --> 00:02:38.180]   I loved it when the pandemic happened
[00:02:38.180 --> 00:02:41.980]   because I got to take really stark photos of empty shelves,
[00:02:41.980 --> 00:02:43.920]   no toilet paper in sight.
[00:02:43.920 --> 00:02:44.760]   It was great.
[00:02:44.760 --> 00:02:46.020]   It's like a photographer's dream
[00:02:46.020 --> 00:02:51.020]   to live through these kinds of world-changing events, right?
[00:02:51.020 --> 00:02:53.460]   So when all these protests started happening,
[00:02:53.460 --> 00:02:55.580]   when these marches began happening,
[00:02:55.580 --> 00:02:57.460]   I'm like, "I gotta be there.
[00:02:57.460 --> 00:02:58.560]   "I'm a photographer.
[00:02:58.560 --> 00:03:01.800]   "I can't one day teach my kid how to use a camera
[00:03:01.800 --> 00:03:03.500]   "and then not have photos
[00:03:03.500 --> 00:03:05.660]   "of some of the most significant historical events
[00:03:05.660 --> 00:03:07.540]   "that I've lived through."
[00:03:07.540 --> 00:03:08.700]   So I went.
[00:03:08.700 --> 00:03:10.540]   I went to different protests
[00:03:10.540 --> 00:03:11.900]   that were happening around the city.
[00:03:11.900 --> 00:03:13.660]   I documented it, and I took photos,
[00:03:13.660 --> 00:03:14.940]   and I partook in those.
[00:03:14.940 --> 00:03:16.780]   I even accidentally came across
[00:03:16.780 --> 00:03:18.200]   some of the looting that was happening,
[00:03:18.200 --> 00:03:20.140]   and I documented that a little bit,
[00:03:20.140 --> 00:03:22.380]   although a little more scared.
[00:03:22.380 --> 00:03:26.420]   And then what ended up happening next
[00:03:26.420 --> 00:03:31.260]   was quite possibly, quite possibly
[00:03:31.260 --> 00:03:32.900]   the worst experience I've ever had
[00:03:32.900 --> 00:03:34.400]   trying to photograph anything
[00:03:34.400 --> 00:03:38.020]   because in addition to protests that were peaceful
[00:03:38.020 --> 00:03:39.780]   and marches put on by churches
[00:03:39.780 --> 00:03:42.840]   and different organizations and groups,
[00:03:42.840 --> 00:03:47.840]   there was also a lot of panic and fear in our neighborhoods.
[00:03:47.840 --> 00:03:51.460]   And that's what I stumbled on one night.
[00:03:51.460 --> 00:03:54.060]   Sammy and I, my wife, were coming home from Carbone,
[00:03:54.060 --> 00:03:56.740]   which is the best hidden gem in Chicago.
[00:03:56.740 --> 00:03:57.980]   It's right by Riccobini's,
[00:03:57.980 --> 00:04:00.100]   and it is so much better than Riccobini's,
[00:04:00.100 --> 00:04:02.540]   so if you're ever in town, go there.
[00:04:02.540 --> 00:04:03.720]   It is the best.
[00:04:03.720 --> 00:04:06.420]   So we were coming back from that,
[00:04:06.420 --> 00:04:09.580]   and we were driving on 31st and Princeton,
[00:04:09.580 --> 00:04:11.220]   and we noticed at this intersection
[00:04:11.220 --> 00:04:15.340]   was a massive crowd of people, like massive.
[00:04:15.340 --> 00:04:17.320]   I'm talking 40 to 50 people,
[00:04:17.320 --> 00:04:19.660]   and remember, we've just come out of lockdown,
[00:04:19.660 --> 00:04:22.500]   so this is not normal, right?
[00:04:22.500 --> 00:04:24.420]   What is this massive crowd doing?
[00:04:24.420 --> 00:04:27.380]   And we finally drive through, and we get through,
[00:04:27.380 --> 00:04:29.620]   and we notice along our street
[00:04:29.620 --> 00:04:31.780]   there's a bunch of people sitting outside
[00:04:31.780 --> 00:04:35.920]   of their doorsteps, people sitting on lawn chairs
[00:04:35.920 --> 00:04:37.880]   right in front of their buildings.
[00:04:37.880 --> 00:04:41.420]   People are kind of alert and waiting.
[00:04:41.420 --> 00:04:46.780]   So we find out that apparently
[00:04:46.780 --> 00:04:50.080]   one of the very peacefully planned protests
[00:04:50.080 --> 00:04:54.260]   was going to walk through just a corner of our neighborhood,
[00:04:54.260 --> 00:04:57.700]   just a tiny spot of our neighborhood.
[00:04:57.700 --> 00:05:00.980]   And the place where we live just erupted.
[00:05:00.980 --> 00:05:03.340]   People were not okay.
[00:05:03.340 --> 00:05:07.640]   That crowd, they were walking around with baseball bats,
[00:05:07.640 --> 00:05:11.920]   crowbars, table legs that they had unscrewed
[00:05:11.920 --> 00:05:12.920]   from their table.
[00:05:12.920 --> 00:05:15.120]   I even saw a machete.
[00:05:15.120 --> 00:05:16.720]   There were people sitting outside their buildings
[00:05:16.720 --> 00:05:17.880]   with pistols.
[00:05:17.880 --> 00:05:20.000]   I even saw somebody with an AK.
[00:05:20.000 --> 00:05:22.480]   I am not kidding, a semi-automatic weapon.
[00:05:22.480 --> 00:05:26.860]   So being the genius that I am,
[00:05:26.860 --> 00:05:31.960]   and against the wishes of my much smarter wife,
[00:05:31.960 --> 00:05:35.960]   I decide I'm gonna go take photos of this.
[00:05:35.960 --> 00:05:38.380]   How often do you see somebody walking along a street
[00:05:38.380 --> 00:05:41.300]   right next to a police officer with a pistol
[00:05:41.300 --> 00:05:43.260]   or a freaking machete?
[00:05:43.260 --> 00:05:44.820]   Not very often.
[00:05:44.820 --> 00:05:49.200]   So I take my camera and I go out, I go down our street,
[00:05:49.200 --> 00:05:51.640]   and it's tense.
[00:05:51.640 --> 00:05:53.020]   It's, well, not yet.
[00:05:53.020 --> 00:05:54.660]   It's not actually yet tense.
[00:05:54.660 --> 00:05:56.380]   Right now it's pretty light.
[00:05:56.380 --> 00:05:58.700]   I get up there and it's by Franco's Restaurant
[00:05:58.700 --> 00:06:00.980]   and everybody is having a good time.
[00:06:00.980 --> 00:06:02.100]   They're joking with each other.
[00:06:02.100 --> 00:06:05.040]   They're showing off the table legs or the crowbars
[00:06:05.040 --> 00:06:07.220]   or whatever random assortment of weapons
[00:06:07.220 --> 00:06:09.580]   they decided to bring to this little gathering.
[00:06:09.580 --> 00:06:13.040]   Oh, it's a little insane.
[00:06:13.040 --> 00:06:15.400]   And they're all drinking too.
[00:06:15.400 --> 00:06:19.700]   They're in this group and they have,
[00:06:19.700 --> 00:06:22.060]   like some of them have crowbars in one hand
[00:06:22.060 --> 00:06:24.600]   and beer in the other.
[00:06:24.600 --> 00:06:26.540]   And it's getting to them.
[00:06:26.540 --> 00:06:29.000]   So I'm a little anxious about this.
[00:06:29.000 --> 00:06:31.120]   So I make sure to do all the best practices.
[00:06:31.120 --> 00:06:33.500]   I say, "Hey, I'm just a photographer.
[00:06:33.500 --> 00:06:35.140]   "I've been photographing everything that's happening
[00:06:35.140 --> 00:06:37.140]   "from the pandemic to the protests.
[00:06:37.140 --> 00:06:38.560]   "Just so you know, I'll be taking photos.
[00:06:38.560 --> 00:06:39.760]   "If you don't want me to take your photo,
[00:06:39.760 --> 00:06:40.820]   "just let me know."
[00:06:40.820 --> 00:06:42.940]   And I get a lot of people saying, "Yeah, you're fine."
[00:06:42.940 --> 00:06:43.780]   And then some people saying,
[00:06:43.780 --> 00:06:44.900]   "I'd prefer not to be in photos."
[00:06:44.900 --> 00:06:45.740]   I'm like, "Okay."
[00:06:45.740 --> 00:06:48.660]   And then we hear a noise.
[00:06:48.660 --> 00:06:56.120]   And two young kids, I'm talking 10 and 13, tops,
[00:06:57.420 --> 00:06:59.440]   ride their bikes past our crowd.
[00:06:59.440 --> 00:07:04.320]   And two of the guys in the crowd
[00:07:04.320 --> 00:07:07.240]   throw their beer bottles at these kids
[00:07:07.240 --> 00:07:09.740]   and yell, "We don't want you in our neighborhood."
[00:07:09.740 --> 00:07:15.800]   Everything just shifted in a moment.
[00:07:15.800 --> 00:07:19.940]   The tone just took a 180.
[00:07:19.940 --> 00:07:24.720]   And suddenly, things were not jovial anymore.
[00:07:24.720 --> 00:07:26.340]   People weren't messing around.
[00:07:26.340 --> 00:07:29.860]   There was this weird macho and this weird,
[00:07:29.860 --> 00:07:33.720]   almost like desire for violence
[00:07:33.720 --> 00:07:38.720]   or desire for letting out their aggression in this crowd.
[00:07:38.720 --> 00:07:42.120]   It shifted massively.
[00:07:42.120 --> 00:07:45.300]   And in that moment, some of the people
[00:07:45.300 --> 00:07:49.440]   who were a little more under the influence turned around
[00:07:49.440 --> 00:07:51.520]   and they pointed their weapons at me and they said,
[00:07:51.520 --> 00:07:53.380]   "You can't have that here.
[00:07:53.380 --> 00:07:54.580]   "You need to get out of here.
[00:07:54.580 --> 00:07:57.020]   "Some of these people have city jobs, man.
[00:07:57.020 --> 00:07:59.920]   "They don't want me taking photos of them
[00:07:59.920 --> 00:08:03.060]   "doing illegal and terrible things."
[00:08:03.060 --> 00:08:06.680]   So I sense it and I try to push back,
[00:08:06.680 --> 00:08:09.460]   like, "Hey, it's public space," but they're not having it.
[00:08:09.460 --> 00:08:11.080]   So I start to turn around
[00:08:11.080 --> 00:08:12.680]   and I don't wanna walk directly home
[00:08:12.680 --> 00:08:14.840]   because I'm only one and a half blocks away
[00:08:14.840 --> 00:08:16.060]   from where I live.
[00:08:16.060 --> 00:08:17.820]   So I walk the other direction
[00:08:17.820 --> 00:08:20.880]   and two of the guys start following me.
[00:08:20.880 --> 00:08:22.960]   My genius mind was like,
[00:08:22.960 --> 00:08:24.480]   "I should get the memory card out of my camera."
[00:08:24.480 --> 00:08:26.720]   So I do that and that's what I'm thinking of.
[00:08:26.720 --> 00:08:28.360]   And I'm thinking, "I need to find a safe spot."
[00:08:28.360 --> 00:08:31.520]   I see a streetlight off to the corner
[00:08:31.520 --> 00:08:32.800]   and I head there thinking,
[00:08:32.800 --> 00:08:34.980]   "Surely no one's gonna mess with me
[00:08:34.980 --> 00:08:38.060]   "in broad streetlight 'cause it's dark at this point."
[00:08:38.060 --> 00:08:42.120]   So I get there and the two guys show up
[00:08:42.120 --> 00:08:43.340]   and there's a group of people
[00:08:43.340 --> 00:08:45.320]   kind of hanging around that streetlight
[00:08:45.320 --> 00:08:47.540]   and they all form a circle.
[00:08:47.540 --> 00:08:52.540]   And out of the home by that corner comes this older guy.
[00:08:53.100 --> 00:08:55.500]   And if you've ever seen a mafia movie
[00:08:55.500 --> 00:08:57.720]   and you think of like that old mob boss,
[00:08:57.720 --> 00:08:59.740]   that's the image of this guy.
[00:08:59.740 --> 00:09:03.580]   About yay high, balding head, combed over.
[00:09:03.580 --> 00:09:05.220]   Like I don't think he had a cigar,
[00:09:05.220 --> 00:09:08.240]   but if he did, it would have made perfect sense.
[00:09:08.240 --> 00:09:11.580]   So he comes out, he's in his white shirt with his overalls
[00:09:11.580 --> 00:09:13.900]   and he decides to be the one
[00:09:13.900 --> 00:09:16.380]   to take the charge questioning me.
[00:09:16.380 --> 00:09:19.980]   And on his shoulder is a sawed off shotgun.
[00:09:19.980 --> 00:09:21.820]   So this whole crowd surrounds me
[00:09:21.820 --> 00:09:24.820]   and starts asking me questions about where am I from?
[00:09:24.820 --> 00:09:26.300]   Am I actually in this neighborhood?
[00:09:26.300 --> 00:09:27.340]   Do I live here?
[00:09:27.340 --> 00:09:28.820]   What, let me see your driver's license.
[00:09:28.820 --> 00:09:31.540]   Prove that you're not from somewhere else in the city
[00:09:31.540 --> 00:09:34.060]   and you're not trying to like screw us over.
[00:09:34.060 --> 00:09:35.540]   These guys start getting intense.
[00:09:35.540 --> 00:09:37.180]   They start yelling at me.
[00:09:37.180 --> 00:09:40.740]   I'm anxious, I'm worried.
[00:09:40.740 --> 00:09:43.660]   I'm trying everything I can to calm them down.
[00:09:43.660 --> 00:09:44.500]   And eventually I just say,
[00:09:44.500 --> 00:09:47.620]   "Look, I am just gonna leave, all right?
[00:09:47.620 --> 00:09:49.560]   "Clearly you don't want your photo taken.
[00:09:49.560 --> 00:09:51.420]   "I will not take your photo.
[00:09:51.420 --> 00:09:54.600]   "I haven't taken any photo since it got intense.
[00:09:54.600 --> 00:09:56.100]   "I'm just gonna leave."
[00:09:56.100 --> 00:09:58.860]   And they're like, "Yeah, you do that."
[00:09:58.860 --> 00:10:01.740]   I leave and people trail me for just a little bit
[00:10:01.740 --> 00:10:03.900]   but then I zigzag around
[00:10:03.900 --> 00:10:05.220]   so that nobody can see where I'm going
[00:10:05.220 --> 00:10:08.680]   and I come home and I am shook up.
[00:10:08.680 --> 00:10:11.680]   I am like anxious about this.
[00:10:11.680 --> 00:10:13.260]   Even now thinking about the encounter
[00:10:13.260 --> 00:10:16.840]   it gets me really, really tense.
[00:10:19.500 --> 00:10:21.780]   I haven't told this story
[00:10:21.780 --> 00:10:24.020]   because I think there are a lot of other stories
[00:10:24.020 --> 00:10:26.020]   at that time that were more worthy of telling
[00:10:26.020 --> 00:10:29.580]   and more timely and I don't think the world needed me
[00:10:29.580 --> 00:10:32.080]   to tell this story or anything like that.
[00:10:32.080 --> 00:10:34.820]   It wasn't that groundbreaking or anything.
[00:10:34.820 --> 00:10:38.100]   There were other narratives that needed
[00:10:38.100 --> 00:10:40.900]   to be lifted up during that time.
[00:10:40.900 --> 00:10:43.580]   So I kept it to myself but the reason I'm bringing it out now
[00:10:43.580 --> 00:10:46.020]   is because the themes of that story
[00:10:46.020 --> 00:10:50.420]   of hatred and division and aggression
[00:10:50.420 --> 00:10:55.560]   tie in really well to the themes of the book of Jonah.
[00:10:55.560 --> 00:10:57.200]   I won't talk about what that is now
[00:10:57.200 --> 00:10:59.520]   but I'll bring it back in just a minute.
[00:10:59.520 --> 00:11:02.900]   So let's pray.
[00:11:02.900 --> 00:11:07.620]   Oh God, thank you so much that you are our God,
[00:11:07.620 --> 00:11:09.880]   that you love us, that you protect us,
[00:11:09.880 --> 00:11:11.780]   that you have grace for us,
[00:11:11.780 --> 00:11:13.060]   that you have given us your word
[00:11:13.060 --> 00:11:14.900]   so that we may know who you are
[00:11:14.900 --> 00:11:18.580]   and that you give us wonderful gems of Bible books
[00:11:18.580 --> 00:11:20.560]   like the book of Jonah.
[00:11:20.560 --> 00:11:22.460]   I pray that you'd be with us as we talk about it.
[00:11:22.460 --> 00:11:23.700]   Be with me as I speak about it.
[00:11:23.700 --> 00:11:25.540]   Don't let me say anything that is against
[00:11:25.540 --> 00:11:28.860]   or contrary to what you stand for, God.
[00:11:28.860 --> 00:11:32.160]   Let each of us in this room examine our own hearts
[00:11:32.160 --> 00:11:36.480]   in the light of you and what you stand for, God.
[00:11:36.480 --> 00:11:40.740]   May you have your way with each of us.
[00:11:40.740 --> 00:11:43.460]   We love you, God, and we pray this in your name, amen.
[00:11:44.800 --> 00:11:46.140]   Now, if I were to ask any of you
[00:11:46.140 --> 00:11:47.780]   what the book of Jonah is about,
[00:11:47.780 --> 00:11:51.220]   most of us think about VeggieTales, right?
[00:11:51.220 --> 00:11:55.580]   Most of us think about the pirates who don't do anything
[00:11:55.580 --> 00:11:56.980]   and we think about the VeggieTales movie,
[00:11:56.980 --> 00:11:59.100]   the bankrupt their studio, right?
[00:11:59.100 --> 00:12:02.740]   And in that movie, you have a bunch of vegetables
[00:12:02.740 --> 00:12:05.660]   singing fun songs about how awesome God is
[00:12:05.660 --> 00:12:07.800]   and how he gives second chances.
[00:12:07.800 --> 00:12:10.100]   And it's so much fun,
[00:12:10.100 --> 00:12:12.460]   but it's also a very watered down version
[00:12:12.460 --> 00:12:14.540]   of the actual book, right?
[00:12:14.540 --> 00:12:18.220]   Trying to describe the book of Jonah as,
[00:12:18.220 --> 00:12:20.880]   oh, Jonah's scared of Nineveh, he runs away,
[00:12:20.880 --> 00:12:22.280]   God gives him a second chance
[00:12:22.280 --> 00:12:23.760]   and everything turns out great.
[00:12:23.760 --> 00:12:26.080]   Describing it that way is like trying to describe
[00:12:26.080 --> 00:12:29.740]   Avengers Endgame as somebody steals jewelry
[00:12:29.740 --> 00:12:32.000]   from an old guy.
[00:12:32.000 --> 00:12:36.260]   It's not really gonna cover all the bases.
[00:12:36.260 --> 00:12:38.360]   It might technically be true,
[00:12:38.360 --> 00:12:41.440]   but it doesn't give you the full scope of what's there.
[00:12:41.440 --> 00:12:43.560]   And that's a shame because the book of Jonah
[00:12:43.560 --> 00:12:45.400]   is crazy cool.
[00:12:45.400 --> 00:12:48.320]   It is funny, it is extreme,
[00:12:48.320 --> 00:12:51.560]   it is almost satirical in nature.
[00:12:51.560 --> 00:12:54.480]   And it is kind of one of a kind in the Bible.
[00:12:54.480 --> 00:12:57.240]   And when we look at it and we kind of view it
[00:12:57.240 --> 00:12:59.480]   through the lens of a children's book,
[00:12:59.480 --> 00:13:02.040]   we do it a massive disservice.
[00:13:02.040 --> 00:13:05.640]   I gotta give credit to Tim Mackey from The Bible Project
[00:13:05.640 --> 00:13:09.100]   because his work on unraveling and decoding this book
[00:13:09.100 --> 00:13:11.640]   and helping me see it in the way
[00:13:11.640 --> 00:13:15.080]   that maybe the person reading it at the time would have
[00:13:15.080 --> 00:13:18.440]   has changed the way that I look at the book forever.
[00:13:18.440 --> 00:13:19.600]   So props to him.
[00:13:19.600 --> 00:13:23.080]   Now, the part we wanna talk about today
[00:13:23.080 --> 00:13:24.620]   is at the very end of the book.
[00:13:24.620 --> 00:13:26.660]   And we can't talk about the very end of the book
[00:13:26.660 --> 00:13:29.760]   without discussing what goes on for the rest of it.
[00:13:29.760 --> 00:13:33.880]   So in order to talk about the rest of the book
[00:13:33.880 --> 00:13:35.040]   and to sum it up,
[00:13:35.040 --> 00:13:36.760]   I'm gonna use the most sophisticated
[00:13:36.760 --> 00:13:40.280]   storytelling tool I have, puppets.
[00:13:40.280 --> 00:13:41.760]   (audience laughing)
[00:13:41.760 --> 00:13:44.560]   Now, my wife was very much against this,
[00:13:44.560 --> 00:13:46.640]   but for me, that was very personal
[00:13:46.640 --> 00:13:49.280]   because for those of you who don't know, I was homeschooled.
[00:13:49.280 --> 00:13:51.840]   And we don't have sports when you're homeschooled.
[00:13:51.840 --> 00:13:52.760]   When you're homeschooled,
[00:13:52.760 --> 00:13:54.800]   you don't join the volleyball team,
[00:13:54.800 --> 00:13:57.120]   you join the puppet team.
[00:13:57.120 --> 00:13:58.320]   I'm not kidding.
[00:13:58.320 --> 00:14:00.480]   I was in a traveling puppet troop.
[00:14:00.480 --> 00:14:04.520]   We had neon puppets and we were basically the varsity team.
[00:14:04.520 --> 00:14:05.760]   I was pretty good.
[00:14:05.760 --> 00:14:07.040]   In fact, the puppets I had,
[00:14:07.040 --> 00:14:10.240]   you actually had arm rods to deal with as well.
[00:14:10.240 --> 00:14:13.980]   And they were way more advanced than these level one puppets.
[00:14:13.980 --> 00:14:17.400]   But we're gonna work with what the Moody Library has
[00:14:17.400 --> 00:14:19.360]   and we're just gonna go with that.
[00:14:19.360 --> 00:14:20.600]   Sound good?
[00:14:20.600 --> 00:14:25.400]   So bear with me as I give a bit of a comical recap
[00:14:25.400 --> 00:14:27.360]   of the book of Jonah up to this point.
[00:14:27.360 --> 00:14:28.280]   Sound good?
[00:14:28.280 --> 00:14:30.120]   Cool.
[00:14:30.120 --> 00:14:31.380]   Let's recap Jonah.
[00:14:31.380 --> 00:14:35.880]   This is a bit of an overview that Tim Mackey did.
[00:14:35.880 --> 00:14:37.200]   It is wonderful.
[00:14:37.200 --> 00:14:39.680]   We're gonna go through the spark notes of this
[00:14:39.680 --> 00:14:41.620]   as we tell this story.
[00:14:41.620 --> 00:14:43.280]   This is Jonah.
[00:14:43.280 --> 00:14:46.840]   You can tell because he has a necklace of a whale
[00:14:46.840 --> 00:14:48.520]   and it says Jonah.
[00:14:48.520 --> 00:14:50.240]   I don't think that's canonical,
[00:14:50.240 --> 00:14:52.920]   but the puppet says it, so we're gonna go with it.
[00:14:52.920 --> 00:14:54.360]   This is Jonah.
[00:14:54.360 --> 00:14:55.920]   And Jonah's a prophet.
[00:14:55.920 --> 00:14:57.720]   For those of us who don't know,
[00:14:57.720 --> 00:14:59.240]   prophets of the time were basically
[00:14:59.240 --> 00:15:01.560]   God's mouthpiece to Israel.
[00:15:01.560 --> 00:15:04.200]   So God would need to say something to people,
[00:15:04.200 --> 00:15:07.240]   but because God prefers to work through people,
[00:15:07.240 --> 00:15:09.480]   through his representatives on the earth,
[00:15:09.480 --> 00:15:11.240]   that's what it means that we're the image of God
[00:15:11.240 --> 00:15:12.400]   or images of God,
[00:15:12.400 --> 00:15:16.080]   he uses humans to work with other humans.
[00:15:16.080 --> 00:15:17.840]   So he had prophets.
[00:15:17.840 --> 00:15:20.320]   It was this class of people that would
[00:15:20.320 --> 00:15:23.320]   speak on behalf of God.
[00:15:23.320 --> 00:15:25.860]   And Jonah was one of those prophets.
[00:15:25.860 --> 00:15:27.680]   Now if you're in ancient Hebrew
[00:15:27.680 --> 00:15:29.400]   and you're reading the book of Jonah,
[00:15:29.400 --> 00:15:32.120]   when you say, oh, this is a prophetical book,
[00:15:32.120 --> 00:15:34.160]   you're expecting to open it up
[00:15:34.160 --> 00:15:37.200]   and hear all the proclamations of judgments
[00:15:37.200 --> 00:15:39.180]   that God has for Israel,
[00:15:39.180 --> 00:15:42.600]   or all the warnings or all the encouragements that he has.
[00:15:42.600 --> 00:15:45.600]   If you look at the books ahead or behind of Jonah,
[00:15:45.600 --> 00:15:48.920]   they're just chapter upon chapter of the prophets
[00:15:48.920 --> 00:15:51.700]   saying to Israel what they need to know.
[00:15:51.700 --> 00:15:53.660]   But then the book of Jonah is different.
[00:15:53.660 --> 00:15:55.240]   It's a narrative.
[00:15:55.240 --> 00:15:56.080]   And not only that,
[00:15:56.080 --> 00:16:00.080]   it's kind of intense and insane and extreme
[00:16:00.080 --> 00:16:02.400]   in the best way possible.
[00:16:02.400 --> 00:16:04.120]   So at the beginning of the book,
[00:16:04.120 --> 00:16:08.840]   God sends Jonah a message.
[00:16:08.840 --> 00:16:12.200]   It says, "And the word of the Lord came to Jonah.
[00:16:12.200 --> 00:16:15.240]   "Go to Nineveh and that great city
[00:16:15.240 --> 00:16:18.840]   "and tell them the judgment I have for them.
[00:16:18.840 --> 00:16:21.160]   "In 40 days, they're going to be destroyed."
[00:16:21.160 --> 00:16:25.680]   Now, Jonah doesn't like this.
[00:16:25.680 --> 00:16:27.920]   Jonah dislikes this so much
[00:16:27.920 --> 00:16:31.400]   that rather than going to Nineveh over here,
[00:16:31.400 --> 00:16:35.920]   he turns the other direction and heads towards Tarshish.
[00:16:35.920 --> 00:16:38.200]   He gets to a port of Joppa,
[00:16:38.200 --> 00:16:39.840]   he gets in the boat,
[00:16:39.840 --> 00:16:44.840]   and he sails away from where God has asked him to go.
[00:16:44.840 --> 00:16:47.800]   We were going over this with our students
[00:16:47.800 --> 00:16:50.760]   at Urban Voice recently,
[00:16:50.760 --> 00:16:54.000]   and we were like, what do you think is Jonah's motivation?
[00:16:54.000 --> 00:16:54.900]   Why is he running?
[00:16:54.900 --> 00:16:57.840]   Why does he not want to do what God has asked him to?
[00:16:57.840 --> 00:16:59.920]   And the general consensus from the students
[00:16:59.920 --> 00:17:02.000]   and from just about anybody who reads it
[00:17:02.000 --> 00:17:05.200]   is that Nineveh's a bad place and Jonah's terrified.
[00:17:05.200 --> 00:17:10.160]   What Nineveh used to do is when they conquered a city
[00:17:10.160 --> 00:17:12.720]   and they took the walls down,
[00:17:12.720 --> 00:17:14.820]   or they conquered a city
[00:17:14.820 --> 00:17:17.240]   and they would take the leader of that city
[00:17:17.240 --> 00:17:18.840]   and they would string,
[00:17:18.840 --> 00:17:20.960]   I don't know how graphic I should be,
[00:17:20.960 --> 00:17:23.460]   they would cut them up in creative ways
[00:17:23.460 --> 00:17:27.940]   and string them along the wall of that city.
[00:17:27.940 --> 00:17:31.160]   So the leaders would not only be killed and bleeding out,
[00:17:31.160 --> 00:17:34.240]   but they'd also be publicly humiliated in the process,
[00:17:34.240 --> 00:17:37.000]   and everybody in that city would have a very clear reminder
[00:17:37.000 --> 00:17:38.840]   of what has happened to them.
[00:17:38.840 --> 00:17:41.860]   So our students are like, well, Jonah's terrified.
[00:17:41.860 --> 00:17:43.680]   They don't want that to happen to him.
[00:17:43.680 --> 00:17:45.200]   I wouldn't want to go tell Nineveh,
[00:17:45.200 --> 00:17:48.820]   hey, you're gonna be destroyed in like 40 days.
[00:17:48.820 --> 00:17:52.120]   So Jonah's running away.
[00:17:52.120 --> 00:17:55.100]   He gets in the boat, he falls asleep,
[00:17:55.100 --> 00:18:00.100]   and then the Bible says God sent a massive wind,
[00:18:00.100 --> 00:18:06.260]   a great wind, a storm to hit this boat,
