
[00:00:00.000 --> 00:00:06.500]  Ok, this is the third part of my series for our 10th anniversary.
[00:08:08.000 --> 00:08:19.000]  And what is interesting is, every single this kind of document, it follows the same format. 每一種宗主的條約其實都用同樣的格式。
[00:08:19.000 --> 00:08:36.000]  So, as you can see here, number one, the treaty begins with the introduction of the great king. 第一個部分,基本上是一個大王來用很長的篇幅來介紹自己有多偉大有多偉大。
[00:08:36.000 --> 00:08:46.000]  So, after the preamble is the second part, which is what we call the historical introduction or prologue. 第二個部分我們叫做是歷史的序言。
[00:08:46.000 --> 00:08:58.000]  And the great king will say something to the small kingdom and say, this is what I have done for you guys before. 那這個很大的偉大的國王就會說,這是我已經爲你做的事情。
[00:08:58.000 --> 00:09:12.000]  Perhaps some years before the treaty, the great king has saved this small nation from military attack. 可能很久很久之前你們被人攻打的時候,我來拯救了你們。
[00:09:12.000 --> 00:09:24.000]  So, the historical prologue is to remind the small kingdom that I have been good to you. 那這個部分基本上是用來提醒他們我曾經對你們做過恩典的事情。
[00:09:24.000 --> 00:09:32.000]  And then the number three part, part three is the stipulations or the laws. 第三個部分就是關於律法條款。
[00:09:32.000 --> 00:09:48.000]  So, the stipulations or the laws are saying because I have been gracious to you, and that's why you have to live this way in response. 那這個部分基本上是說因爲我如此的恩典的待遇,你應該如何的去回應我如何去生活。
[00:09:48.000 --> 00:09:53.000]  And then number four is the blessing and the curses. 第四個部分關於祝福與詛咒。
[00:09:53.000 --> 00:10:03.000]  So, the treaty says if you obey me, if you are faithful to me, then I will bless you, I will be good to you. 那它說忠誠,我就會給你祝福。
[00:10:03.000 --> 00:10:09.000]  But if you are rebellious, then there will be consequences. 那如果你叛逆我的話,也會帶來後果的。
[00:10:09.000 --> 00:10:21.000]  Now, you look at this format of the Suzerain Treaty, you find it very interesting because it's very similar to the Old Testament law. 那如果你看這個宗主條約的話,你會發現跟我們舊約非常相像。
[00:10:21.000 --> 00:10:31.000]  So, when we go to the Ten Commandments, for example, Exodus 20, 如果你看到埃及紀第20章,我們的十件,
[00:10:31.000 --> 00:10:42.000]  and before any single so-called commandment begins, it gives you these verses. 那首先在什麼其他東西都不用講的同時,它首先跟你講這句話。
[00:10:42.000 --> 00:10:55.000]  So, let me read this. I am the Lord your God, 我是耶和華你的神, who brought you out of Egypt, out of the land of slavery. 曾將你從埃及帝爲奴之家領出來。
[00:10:55.000 --> 00:11:04.000]  Now, only then, after this, do we find the commandments or Ten Commandments. 那這個之後,我們纔會發現十約。
[00:11:04.000 --> 00:11:18.000]  And then the Ten Commandments do not begin with obey me, so I will love you. 十約並不是開始的時候怎麼說,你順從我,然後我再愛你,不是這樣開始的。
[00:11:18.000 --> 00:11:31.000]  It's the other way around. It begins with I have already loved you, I have already rescued you, and here is how you live as my people now. 而是我已經拯救了你,現在這是你做我子民的生活方式。
[00:11:31.000 --> 00:11:44.000]  So, grace comes first, the rescue came first, and then the law came second. The law is flowing out of grace. 拯救在前,律法在後,律法是從恩典流出的。
[00:11:44.000 --> 00:11:59.000]  So, you have to understand, you have to erase the wrong impression. Law is given to you, is to trick you, is to punish you. 你要把這個否定的那個想法,關於律法的想法給去掉。
[00:11:59.000 --> 00:12:10.000]  So, grace first, and then the law is to teach you and guide you how you live. 恩典是先在律法之前出現,然後律法來指導你如何生活。
[00:12:10.000 --> 00:12:18.000]  And then the second aspect of the law in the Old Testament especially is actually wisdom. 第二個方面是關於智慧的。
[00:12:18.000 --> 00:12:23.000]  So, the law reveals the heart of God, the wisdom of God. 律法揭示了神的心腸。
[00:12:23.000 --> 00:12:29.000]  Now, what do the specific laws actually look like? 那些具體的律法究竟是怎麼樣的呢?
[00:12:29.000 --> 00:12:33.000]  Now, you may have some impression, but I want to show you two examples. 我想給你兩個例子。
[00:12:33.000 --> 00:12:46.000]  So, besides the Ten Commandments, the popular, you know, everybody knows, but I want to give you two samples from some of the laws in the Old Testament. 除了十節以外,我想給你兩個例子。
[00:12:46.000 --> 00:12:52.000]  So, let's take a look at this one, from Deuteronomy 22. 生命紀二十二章第八節。
[00:12:52.000 --> 00:12:56.000]  So, pay attention as I read it. So, pay attention as I read it. 小姐,請你們注意。
[00:12:56.000 --> 00:13:21.000]  So, Moses is trying, is to giving the law to the people of God, to Israel, he says, when you build a new house, make a parapet around your roof, so that you may not bring guilt of bloodshed on your house if someone falls from the roof. 你建造新房子,要在房頂上安欄杆,
[00:13:21.000 --> 00:13:32.000]  免得有人從房上掉下來,流血的罪就歸你家了。 So, that's interesting, this law is actually building code. 這很奇怪,這是關於如何建造房子的。
[00:13:32.000 --> 00:13:36.000]  It tells you how to build a house. 你怎麼樣建造一個房子。
[00:13:36.000 --> 00:13:43.000]  Now, in ancient Israel, the house had flat roof. 在古代的以色列,屋頂是平坦的。
[00:13:43.000 --> 00:14:03.000]  So, people can go up to the roof and do something to work there. So, God is saying, you know, when you build a house, you have to build railing, you know, some sort of barrier, so that, you know, perhaps, you know, a child goes up there, and he will fall from the roof. 因爲屋頂是平坦的話,人們就可以爬上去做各樣的事情。
[00:14:03.000 --> 00:14:07.000]  那神說要安欄杆,可能就讓孩子不會墜落。
[00:14:07.000 --> 00:14:13.000]  Yeah, anyone has done renovation in your house lately? 有沒有人裝修的,在家裏?
[00:14:13.000 --> 00:14:19.000]  Okay, a lot, right? And you have to watch out for safety, right? 你們要注意安全,對?
[00:14:19.000 --> 00:14:23.000]  So, this law is actually a safety law. 那這個關於安全的律法。
[00:14:23.000 --> 00:14:28.000]  But the law, behind the law, reveals the wisdom or the heart of God. 但是律法告訴了我們。
[00:14:28.000 --> 00:14:44.000]  So, it's like the heavenly Father saying, you know, life is sacred, life is so special, and God wants to protect life, and so no one, even when no one is watching. 這是一位父親講的話,生命是神聖的,要保護它,即便沒有人在看。
[00:14:44.000 --> 00:14:51.000]  So, you see that the law is trying to reveal to you the heart of God, the wisdom of God. 這關於神的智慧以及神的心腸。
[00:14:51.000 --> 00:15:00.000]  Now, the second example I want to show you is from Leviticus, chapter 19. 這是下一個是關於歷位紀十九章第十九節。
[00:15:00.000 --> 00:15:20.000]  Do not reap the very edges of your field, or gather the gleanings of your harvest, leave them for the poor and for the foreigner. 你們收割莊稼不可割盡田角,也不可拾取所遺落的,要留給窮人和寄居的外人。
[00:15:20.000 --> 00:15:28.000]  So, you may say this is a harvest law, a harvest code. 可能關於是如何收割的一個規定。
[00:15:28.000 --> 00:15:34.000]  So, your harvest is your entire livelihood, right? 你的收成是你全年的生計。
[00:15:34.000 --> 00:15:53.000]  Whether you have wheat or barley or whatever, God is trying to say to you in this law is saying, when you harvest your wheat and barley, your produce, you have to leave the edges out. 神說你收割莊稼的時候,你必須要留下田角。
[00:15:53.000 --> 00:16:07.000]  So, there are some, you know, some of your production, your food items, you have to leave behind for the widows, for the foreigners. 你要爲寡婦、孤兒、陌生人留下可以喫的。
[00:16:07.000 --> 00:16:18.000]  So, you see, this law is kind of a very tiny thing, you know, a very tiny thing about, you know, how you live. 這些都是關於生活的很小的一些關鍵。
[00:16:18.000 --> 00:16:25.000]  But as you can see, you know, when you harvest, you don't harvest every single thing. 但是你收成不是收成所有的東西。
[00:16:25.000 --> 00:16:36.000]  So, you leave it to the weak people or the poor in the society, so they come after you, they can pick up those food. 你還要去照顧社會上面的底層的人民。
[00:16:36.000 --> 00:17:03.000]  And this is the heart of God, this is justice, it's building kind of building a society, economic system, so that, you know, when you look at this law, it's actually the value from God, behind every value is that, you know, God is trying to protect the weak. 這是建立經濟制度本身之中的公益,每一條律法背後都有一個價值觀,而每一個價值觀背後都有一個神要保護的人。
[00:17:03.000 --> 00:17:13.000]  And this is exactly what I'm saying, you know, the wisdom of God, the heart of God is written in everyday life of the people of God. 這就是神的智慧寫進了日常生活之中。
[00:17:13.000 --> 00:17:30.000]  So, the law is actually grace, and the law is actually revealing the heart of God, the wisdom of God, and number three, the law were meant to be missional, to have the world to see how you live. 律法也是關於使命的。
[00:17:30.000 --> 00:17:42.000]  So, we have to ask the question, why the law was given to Israel, to the people of God, what was the ultimate point? 那麼爲什麼要把這些律法賜給以色列呢?它最終的目的是什麼呢?
[00:17:42.000 --> 00:18:11.000]  Deuteronomy 4 says, again Moses is talking to the people of God before they enter the land of Canaan, and he says, observe them, observe those laws that I have preached to you, I have told you, observe them carefully, this will show your wisdom to the nations, to the pagan nations, and they will say, surely, this is how they live, this great nation is a wise and understanding people.
[00:18:11.000 --> 00:18:28.000]  So, the laws in the Old Testament are actually public display of your life, you know, kind of a new way of life, a new way of life that is marked by justice, by the law. 摩西在以進入以色列,進入應許之地之前說,你們要謹守遵行,這就是你們在萬民眼前的智慧,聰明,他們聽見這一切的律例必說,這大國的人真是有智慧,有聰明。
[00:18:28.000 --> 00:18:53.000]  So, the laws in the Old Testament are actually public display of your life, you know, kind of a new way of life, a new way of life that is marked by justice, by generosity, by grace to the surrounding nations, and the surrounding nations will get curious about, hey, this is how you live, you live different than us, and who is your God, and we want to know Him as well. 摩西在以進入以色列,進入應許之地之前說,你們要謹守遵行,這就是你們在萬民眼前的智慧,聰明,他們聽見這一切的律例必說,這大國的人真是有智慧,有聰明。
[00:18:53.000 --> 00:19:02.000]  所以,律法是公開的見證,一種公義恩慈的生活方式,使周圍的國家都會問,他們的神是誰呢,我想認識他。
[00:19:02.000 --> 00:19:31.000]  今天是我們的,這是我們的護照,我們透過日常的生活的智力,見證神的美善,誠實,慷慨,以及我們對待那些無法回報我們的人的一些方式。
[00:19:31.000 --> 00:19:44.000]  這不是一個新的策略,如果我們在古代發現,這不是一個新的策略,而是聖經裏面最古老的一個生活方式。
[00:19:44.000 --> 00:20:10.000]  實踐是神親自用手指把它刻在石頭上的。
[00:20:10.000 --> 00:20:20.000]  《出埃及記》31章,它說,他將兩塊法板交給摩西,是神用指頭寫的石板。
[00:20:20.000 --> 00:20:42.000]  這不是一份可以隨便修改的備忘錄,而是刻在石頭上的盟約,永遠的長存。
[00:20:42.000 --> 00:20:56.000]  那我們就是爲什麼我要你帶一個這樣的小瓶子回家呢?
[00:20:56.000 --> 00:21:08.000]  我們這個小瓶子裏面裝着沙子。
[00:21:08.000 --> 00:21:18.000]  在第一個部分,這個講到第二部分,我們講到了神對亞伯拉罕的應許,神用亞伯拉罕去祝福萬國的人。
[00:21:18.000 --> 00:21:25.000]  第二個部分,我給你們什麼了呢?是一塊拼圖。
[00:21:25.000 --> 00:21:37.000]  上一次我們跟你說,亞伯拉罕這一堆人全部都是破碎的人。
[00:21:37.000 --> 00:21:47.000]  但是上帝選擇用他們去祝福萬國。
[00:21:47.000 --> 00:21:55.000]  他們的神是我們一樣的神。
[00:21:55.000 --> 00:22:12.000]  今天我要請你們把一些石頭帶回家。
[00:22:12.000 --> 00:22:29.000]  希望你們今天結束的時候,拿一些石頭可以放在你的袋子裏面,帶回家。
[00:22:29.000 --> 00:22:35.000]  當你握住這些石頭的時候,請記住,神把律法刻在石頭上,因爲祂的信息是永恆的。
[00:22:35.000 --> 00:22:52.000]  這石頭提醒我們,神說我已經拯救了你,我如此的愛你,這是你應當如何生活的方式。
[00:22:52.000 --> 00:23:05.000]  把它放在家裏某個你可以看到的地方,讓它每天問你一個問題。
[00:23:05.000 --> 00:23:23.000]  我的生活方式有沒有讓人對我的神感到好奇呢?
[00:23:23.000 --> 00:23:35.000]  神不是要我們完美地活着,但是神要求我們忠實地活着。
[00:23:35.000 --> 00:24:03.000]  這是一個邀請,活得如此的有智慧,如此的慷慨,讓一個旁觀者的世界渴望認識這一切背後的善意。
[00:24:03.000 --> 00:24:18.000]  要知道,實踐是從拯救開始的,一直是如此,我們的福音也是如此。
[00:24:18.000 --> 00:24:41.000]  我們一起來禱告。主啊,感謝禰先拯救了我們,然後纔有要求。
[00:24:41.000 --> 00:24:52.000]  請幫助我們接受禰的律法,不是覺得它是一種威脅,而是一種禮物。
[00:24:52.000 --> 00:24:57.000]  願我們的生活方式使人渴望認識禰。
[00:24:57.000 --> 00:25:01.000]  奉耶穌的名求,給你們。
[00:25:01.000 --> 00:25:10.000]  感謝你們參加今天的崇拜,希望我們下個禮拜再見。
[00:25:10.000 --> 00:25:23.000]  我今晚要飛,請祈禱我和我的團隊,我們有17個人要去土耳其。
[00:25:23.000 --> 00:25:34.000]  我會盡力更新您的信息,這取決於互聯網,我會在土耳其錄製一些視頻。
[00:25:34.000 --> 00:25:40.000]  下個禮拜見!
