
[00:00:00.000 --> 00:00:07.000]  上一節提到父親雅各不肯讓最愛的兒子別雅文離開自己
[00:02:51.000 --> 00:02:54.000]  雅各其中有一個兒子叫尤大
[00:02:54.000 --> 00:02:59.000]  尤大也是同時當年提出要殺約瑟的那個
[00:02:59.000 --> 00:03:06.000]  尤大向父親重提埃及首相當年的要求
[00:03:06.000 --> 00:03:10.000]  若父親不用讓別雅文再到埃及買糧
[00:03:10.000 --> 00:03:16.000]  埃及首相不會和他們會面,更不會答應買糧
[00:03:16.000 --> 00:03:19.000]  在經文的八到第九節
[00:03:19.000 --> 00:03:24.000]  尤大強調除非父親肯讓別雅文同去
[00:03:24.000 --> 00:03:29.000]  否則不能夠救活一家
[00:03:29.000 --> 00:03:32.000]  尤大還將自己的性命作為擔保
[00:03:32.000 --> 00:03:35.000]  他承諾若不能平安
[00:03:35.000 --> 00:03:39.000]  將十二弟別雅文平安帶回家
[00:03:39.000 --> 00:03:45.000]  尤大願意將自己的性命作為補償
[00:03:45.000 --> 00:03:47.000]  父親雅各終於批准
[00:03:47.000 --> 00:03:53.000]  將最好的乳香、蜂蜜、香料、活藥當作禮物
[00:03:53.000 --> 00:03:56.000]  又要他們加倍的大銀子同去
[00:03:56.000 --> 00:03:59.000]  為何要加倍呢?
[00:03:59.000 --> 00:04:04.000]  難道雅各擔心埃及首相不賣糧?
[00:04:04.000 --> 00:04:08.000]  還是雅各擔心別雅文的安危呢?
[00:04:08.000 --> 00:04:10.000]  雅各要加倍的原因
[00:04:10.000 --> 00:04:13.000]  一方面是用來買糧用
[00:04:13.000 --> 00:04:19.000]  但另一方面是想歸還上次買糧的錢給埃及首相
[00:04:19.000 --> 00:04:24.000]  因為上次埃及首相並沒有收取他們買糧的錢
[00:04:24.000 --> 00:04:27.000]  而上次和今次最大的分別
[00:04:27.000 --> 00:04:31.000]  是雅各終於肯別雅文同去
[00:04:31.000 --> 00:04:32.000]  大家有否留意
[00:04:32.000 --> 00:04:37.000]  在上次,大仔劉便同樣向父親請求
[00:04:37.000 --> 00:04:42.000]  甚至劉便以自己兩個親生兒子的性命作為擔保
[00:04:42.000 --> 00:04:46.000]  但結果依然不獲父親的批准
[00:04:46.000 --> 00:04:48.000]  但今次呢?
[00:04:48.000 --> 00:04:51.000]  尤大向父親同樣有請求
[00:04:51.000 --> 00:04:53.000]  希望父親准別雅文同去
[00:04:53.000 --> 00:04:57.000]  結果竟然沒有到父親的批准
[00:04:57.000 --> 00:05:02.000]  大家認為,父親雅各為何肯改變心意呢?
[00:05:02.000 --> 00:05:06.000]  當時饑荒的情況的確很嚴重
[00:05:06.000 --> 00:05:08.000]  再沒有糧食供應的話
[00:05:08.000 --> 00:05:13.000]  雅各的家,從老至少都會盛名不保
[00:05:13.000 --> 00:05:18.000]  到時雅各同樣會失去他的愛子別雅文
[00:05:18.000 --> 00:05:21.000]  而且不單止失去一個人的生命
[00:05:21.000 --> 00:05:24.000]  而是整個家族的存亡
[00:05:24.000 --> 00:05:29.000]  雅各作為家族之首,他是有責任的
[00:05:29.000 --> 00:05:33.000]  來保護家族裡每一個大大小小的平安
[00:05:33.000 --> 00:05:38.000]  究竟今次雅各十個兒子再一次到埃及買糧
[00:05:38.000 --> 00:05:40.000]  又會有什麼事情發生呢?
[00:05:40.000 --> 00:05:45.000]  下一次我會繼續和大家繼續一來探討下去
[00:05:45.000 --> 00:05:52.000]  MING PAO CANADA | MING PAO TORONTO

