
[00:00:00.000 --> 00:00:04.400]  想借助這個心靈涼亭的空間
[00:02:16.000 --> 00:02:20.000]  都給回這個陌生的人
[00:02:20.000 --> 00:02:22.000]  他曾經愛過你
[00:02:22.000 --> 00:02:25.000]  你所有的生活
[00:02:25.000 --> 00:02:27.000]  你忽略了的另一個
[00:02:27.000 --> 00:02:30.000]  他深深地去認識你
[00:02:30.000 --> 00:02:35.000]  從書架上拿下一些情書、照片
[00:02:35.000 --> 00:02:38.000]  一些絕望的小紙條
[00:02:38.000 --> 00:02:42.000]  從鏡中撇下你自己的形象
[00:02:42.000 --> 00:02:47.000]  坐,享用你生活的盛宴
[00:02:47.000 --> 00:02:52.000]  這首詩就用了很多家庭的意象
[00:02:52.000 --> 00:02:58.000]  包括門、鏡、書架、照片等等
[00:02:58.000 --> 00:03:04.000]  形容一個人和自己相處在一個歸家的旅程
[00:03:04.000 --> 00:03:07.000]  這首詩形容鏡中的自己
[00:03:07.000 --> 00:03:09.000]  好像一個陌生的人
[00:03:09.000 --> 00:03:12.000]  但有深深彼此認識
[00:03:12.000 --> 00:03:16.000]  只是他們之間沒有好好地坐下來
[00:03:16.000 --> 00:03:21.000]  一起享用食物、喝酒、唱彈一番
[00:03:21.000 --> 00:03:25.000]  其實這裡我也特別深刻
[00:03:25.000 --> 00:03:29.000]  原來我們能夠好好地坐下來
[00:03:29.000 --> 00:03:31.000]  坐下來這件事
[00:03:31.000 --> 00:03:33.000]  不要到處亂走
[00:03:33.000 --> 00:03:36.000]  不要讓自己很忙,到處亂走
[00:03:36.000 --> 00:03:42.000]  這裡是說一個和人分享食物的過程
[00:03:42.000 --> 00:03:45.000]  麵包、酒
[00:03:45.000 --> 00:03:47.000]  也有一點淑齡的意義
[00:03:47.000 --> 00:03:51.000]  好像在說一個大家分享聖餐
[00:03:51.000 --> 00:03:54.000]  Communion(共同體)的意思
[00:03:54.000 --> 00:04:00.000]  我想我們能夠坐下來
[00:04:00.000 --> 00:04:02.000]  和自己相處一下
[00:04:02.000 --> 00:04:05.000]  並不是一件容易的事
[00:04:05.000 --> 00:04:09.000]  我經常體會到
[00:04:09.000 --> 00:04:12.000]  原來要靜下來的時候
[00:04:12.000 --> 00:04:18.000]  需要時間平伏
[00:04:18.000 --> 00:04:21.000]  然後觸摸自己的內心
[00:04:21.000 --> 00:04:23.000]  要和自己打招呼
[00:04:23.000 --> 00:04:25.000]  Say Hi
[00:04:25.000 --> 00:04:30.000]  這位老朋友其實很樂意和你交心
[00:04:30.000 --> 00:04:32.000]  分享生命
[00:04:32.000 --> 00:04:34.000]  可以說他很認識你
[00:04:34.000 --> 00:04:36.000]  和你相處了很久
[00:04:36.000 --> 00:04:39.000]  我想這個新詩裡
[00:04:39.000 --> 00:04:43.000]  其實也給了我們一些提示
[00:04:43.000 --> 00:04:46.000]  和自己相處的一些秘訣
[00:04:46.000 --> 00:04:47.000]  好像剛才所說
[00:04:47.000 --> 00:04:49.000]  第一就是回家
[00:04:49.000 --> 00:04:52.000]  回到自己的心居
[00:04:52.000 --> 00:04:54.000]  好好地看一看自己
[00:04:54.000 --> 00:04:56.000]  好像一塊鏡子
[00:04:56.000 --> 00:04:57.000]  打個招呼
[00:04:57.000 --> 00:04:58.000]  然後坐下來
[00:04:58.000 --> 00:05:00.000]  不要趕急
[00:05:00.000 --> 00:05:02.000]  另外這裡也提示了一些
[00:05:02.000 --> 00:05:05.000]  我們可以和自己相處的素材
[00:05:05.000 --> 00:05:07.000]  獨處的時候可以做些什麼呢?
[00:05:07.000 --> 00:05:12.000]  這裡提到一些書架上的情書
[00:05:12.000 --> 00:05:16.000]  一些照片
[00:05:16.000 --> 00:05:20.000]  一些很急的很絕望的小紙條
[00:05:20.000 --> 00:05:24.000]  都是在說一些生活的片段
[00:05:24.000 --> 00:05:30.000]  一些可能留下過的一些痕跡
[00:05:30.000 --> 00:05:33.000]  其實和自己相處
[00:05:33.000 --> 00:05:36.000]  可以說是用一個回顧
[00:05:36.000 --> 00:05:41.000]  回顧自己這段日子發生的事情
[00:05:41.000 --> 00:05:47.000]  和自己好像有一個交談
[00:05:47.000 --> 00:05:52.000]  我想回顧是很值得我們去做的
[00:05:52.000 --> 00:05:57.000]  因為你將日子這樣流過
[00:05:57.000 --> 00:06:00.000]  可以回望
[00:06:00.000 --> 00:06:04.000]  不回望的時候可以發覺日子好像空白
[00:06:04.000 --> 00:06:06.000]  但當你回望的時候
[00:06:06.000 --> 00:06:11.000]  原來也有很多東西很值得我們去回味
[00:06:11.000 --> 00:06:13.000]  透過回味
[00:06:13.000 --> 00:06:17.000]  觸摸自己有什麼曾經觸動
[00:06:17.000 --> 00:06:19.000]  這些可能是一些
[00:06:19.000 --> 00:06:21.000]  一來認識自己
[00:06:21.000 --> 00:06:23.000]  二來其實是一些提示
[00:06:23.000 --> 00:06:27.000]  我們接下來應該怎樣選擇自己的生活
[00:06:27.000 --> 00:06:29.000]  所以不要忘記
[00:06:29.000 --> 00:06:31.000]  在很忙很忙的日子裡
[00:06:31.000 --> 00:06:33.000]  你靜下來
[00:06:33.000 --> 00:06:36.000]  和自己交個朋友
[00:06:36.000 --> 00:06:39.000]  我也認識一些很喜歡靜修的朋友
[00:06:39.000 --> 00:06:43.000]  他們大概一年有兩三次放下工作
[00:06:43.000 --> 00:06:46.000]  去到一處沒有電話聲
[00:06:46.000 --> 00:06:48.000]  上不到網
[00:06:48.000 --> 00:06:52.000]  只有自己和裡面的朋友相處
[00:06:52.000 --> 00:06:56.000]  赤裸裸的相處幾天
[00:06:56.000 --> 00:06:59.000]  他們出來的時候
[00:06:59.000 --> 00:07:02.000]  也會有一種更新了的
[00:07:02.000 --> 00:07:05.000]  和自己裡面好像
[00:07:05.000 --> 00:07:08.000]  In touch with自己多了
[00:07:08.000 --> 00:07:11.000]  裡面好像多了一個anchor的生活
[00:07:11.000 --> 00:07:14.000]  所以希望大家都好好珍惜
[00:07:14.000 --> 00:07:16.000]  你裡面的自己
[00:07:16.000 --> 00:07:18.000]  愛你自己
[00:07:18.000 --> 00:07:20.000]  謝謝
[00:07:20.000 --> 00:07:22.000]  字幕:J Chong
[00:07:22.000 --> 00:07:25.000]  (字幕由 Amara.org 社群提供)
[00:07:25.000 --> 00:07:28.000]  (字幕由 Amara.org 社群提供)

