
[00:00:00.000 --> 00:00:02.920]   (soft piano music)
[00:03:40.340 --> 00:03:43.500]   of theology and culture," end quote.
[00:03:44.600 --> 00:03:47.840]   This dialogue is meant, I quote again,
[00:03:47.840 --> 00:03:51.680]   "to evoke both the power of conversation
[00:03:51.680 --> 00:03:55.900]   and the turbulence of our times," end quote.
[00:03:55.900 --> 00:03:59.640]   So one of his latest additions features his interview
[00:03:59.640 --> 00:04:02.640]   with a Christian writer and activist
[00:04:02.640 --> 00:04:05.000]   who champions racial justice
[00:04:05.000 --> 00:04:08.040]   and seeks to expose the Christian,
[00:04:08.040 --> 00:04:11.560]   especially white Christians' complicity
[00:04:11.560 --> 00:04:14.180]   in racism in the US.
[00:04:15.120 --> 00:04:20.120]   Today, Dr. Levitin will begin his reflection
[00:04:20.120 --> 00:04:23.540]   of the issue at hand with the title,
[00:04:23.540 --> 00:04:28.540]   "The Start, the Complicity, the Tsunami, and Today,
[00:04:28.540 --> 00:04:33.980]   the Birth, Original Scene, Development, Growth,
[00:04:33.980 --> 00:04:36.300]   Consumption, and Betrayal
[00:04:36.300 --> 00:04:39.700]   of American White Evangelicalism."
[00:04:40.740 --> 00:04:45.100]   Without further ado, let's welcome Dr. Levitin.
[00:04:45.100 --> 00:04:49.180]   - Thank you very, very much.
[00:04:49.180 --> 00:04:52.240]   It's a great joy and privilege to be here.
[00:04:52.240 --> 00:04:58.300]   Presently distinguished faculty, students, and guests,
[00:04:58.300 --> 00:05:02.540]   it's a great honor for me to be participating
[00:05:02.540 --> 00:05:04.780]   in these lectures in 2021.
[00:05:04.780 --> 00:05:08.440]   We had, of course, all hoped that the lectures
[00:05:08.440 --> 00:05:10.980]   would be delivered in person,
[00:05:10.980 --> 00:05:13.540]   but 2020 and the COVID pandemic
[00:05:13.540 --> 00:05:15.580]   regrettably made that impossible.
[00:05:15.580 --> 00:05:21.260]   I hope that the Canadian philosopher, Marshall McLuhan,
[00:05:21.260 --> 00:05:25.780]   is wrong, that this medium will not be the message,
[00:05:25.780 --> 00:05:28.460]   and that you will remember far more
[00:05:28.460 --> 00:05:29.900]   about what I'm trying to say
[00:05:29.900 --> 00:05:32.580]   than the medium by which I will be saying it.
[00:05:32.580 --> 00:05:36.560]   I bring all of you very warm greetings
[00:05:36.560 --> 00:05:38.700]   from Fuller Theological Seminary,
[00:05:38.700 --> 00:05:43.700]   especially from our board of trustees and faculty,
[00:05:43.700 --> 00:05:47.860]   and pray for you, for the church,
[00:05:47.860 --> 00:05:50.440]   and for the world of which we are a part
[00:05:50.440 --> 00:05:53.100]   and for which we serve as we do.
[00:05:53.100 --> 00:05:59.620]   Before formally starting, let's let first things be first.
[00:05:59.620 --> 00:06:05.340]   In Romans 8, the Apostle Paul traces
[00:06:05.340 --> 00:06:10.340]   the pervasive, unfinished, and agonizing groans of God,
[00:06:10.340 --> 00:06:12.820]   the church, and creation itself.
[00:06:12.820 --> 00:06:17.020]   In these lectures, there will be cause for joy,
[00:06:17.020 --> 00:06:21.240]   but there will also be evidences of groaning,
[00:06:21.240 --> 00:06:24.380]   reasons for arguing, causes for crying,
[00:06:24.380 --> 00:06:27.180]   repenting, and lamenting.
[00:06:27.180 --> 00:06:32.500]   Yet in the face of all that is wrong and incomplete,
[00:06:32.500 --> 00:06:36.160]   let us first hear the Apostle Paul's words
[00:06:36.160 --> 00:06:38.420]   toward the end of that well-known chapter.
[00:06:38.420 --> 00:06:45.180]   He writes, "What then are we to say to these things?
[00:06:45.180 --> 00:06:49.220]   "If God is for us, who can be against us?
[00:06:49.220 --> 00:06:52.020]   "He who did not spare his own son,
[00:06:52.020 --> 00:06:54.180]   "but gave him up for us all,
[00:06:54.180 --> 00:06:56.560]   "how will he not also with him
[00:06:56.560 --> 00:06:58.980]   "graciously give us all things?
[00:06:59.900 --> 00:07:03.280]   "In all these things, we are more than conquerors
[00:07:03.280 --> 00:07:05.800]   "through him who loved us.
[00:07:05.800 --> 00:07:09.980]   "For I am sure that neither death, nor life,
[00:07:09.980 --> 00:07:12.780]   "nor angels, nor rulers,
[00:07:12.780 --> 00:07:15.560]   "nor things present, nor things to come,
[00:07:15.560 --> 00:07:20.080]   "nor power, nor height, nor depth,
[00:07:20.080 --> 00:07:23.040]   "nor anything else in all creation
[00:07:23.040 --> 00:07:24.400]   "will be able to separate us
[00:07:24.400 --> 00:07:27.380]   "from the love of God in Christ Jesus our Lord."
[00:07:28.260 --> 00:07:31.260]   I offer these lectures as those with hope,
[00:07:31.260 --> 00:07:34.500]   a hope that is gratefully far beyond ourselves
[00:07:34.500 --> 00:07:36.220]   for these days.
[00:07:36.220 --> 00:07:38.740]   In the name of the Father, and the Son,
[00:07:38.740 --> 00:07:40.860]   and the Holy Spirit, amen.
[00:07:40.860 --> 00:07:43.420]   Shall we pray together?
[00:07:43.420 --> 00:07:48.300]   Oh God, how thankful we are for the privilege and gift
[00:07:48.300 --> 00:07:49.980]   of gathering in this way.
[00:07:49.980 --> 00:07:55.380]   We are in places throughout parts of Asia,
[00:07:55.380 --> 00:07:57.860]   and perhaps around the world,
[00:07:57.860 --> 00:08:00.420]   aware of your presence and faithfulness,
[00:08:00.420 --> 00:08:04.540]   which is our only hope, the only hope of the church,
[00:08:04.540 --> 00:08:06.980]   and the only and final hope of the world.
[00:08:06.980 --> 00:08:10.500]   May our days together this week
[00:08:10.500 --> 00:08:14.060]   be ones that you will bless,
[00:08:14.060 --> 00:08:16.940]   that our conversation and my reflections
[00:08:16.940 --> 00:08:19.900]   will combine in useful ways,
[00:08:19.900 --> 00:08:22.500]   that our understanding of your will
[00:08:22.500 --> 00:08:24.260]   and the future of our nation
[00:08:24.260 --> 00:08:27.500]   and the future to which you call us
[00:08:27.500 --> 00:08:30.200]   will be clearer and that our faithfulness will grow.
[00:08:30.200 --> 00:08:36.340]   We ask it to your glory in the name of Jesus, amen.
[00:08:36.340 --> 00:08:44.060]   To speak about the crisis of American white evangelicalism
[00:08:44.060 --> 00:08:48.100]   is to speak about a crisis within just part
[00:08:48.100 --> 00:08:51.300]   of the body of Christ and its mission in the world.
[00:08:52.420 --> 00:08:56.020]   As I hope and know you will see,
[00:08:56.020 --> 00:08:58.940]   I have no difficulty trying to honestly describe
[00:08:58.940 --> 00:09:02.100]   my understanding of the situation,
[00:09:02.100 --> 00:09:05.500]   but in doing so, I want to remind myself and you
[00:09:05.500 --> 00:09:08.180]   that I am after all talking about part
[00:09:08.180 --> 00:09:10.660]   of our Lord's beloved bride.
[00:09:10.660 --> 00:09:16.500]   The journey of God with God's people from Abraham to today
[00:09:16.500 --> 00:09:20.300]   has been endlessly fraught with crises,
[00:09:20.300 --> 00:09:24.060]   and still our ever loving and persisting good shepherd
[00:09:24.060 --> 00:09:25.820]   does not let us go.
[00:09:25.820 --> 00:09:29.780]   I believe in the legitimacy and in fact,
[00:09:29.780 --> 00:09:33.220]   the necessity of self critique,
[00:09:33.220 --> 00:09:36.980]   while conscious that that can easily and glibly fall prey
[00:09:36.980 --> 00:09:39.180]   to its own arrogance and presumption.
[00:09:39.180 --> 00:09:44.420]   So I want genuinely to repent even in advance
[00:09:44.420 --> 00:09:47.100]   and commit to you that I will try to be both candid
[00:09:47.100 --> 00:09:50.340]   and loving, honest and fair.
[00:09:50.340 --> 00:09:55.020]   The topic is large enough and complex enough
[00:09:55.020 --> 00:09:58.620]   to necessarily state that I'm not addressing
[00:09:58.620 --> 00:10:01.460]   all dimensions of evangelicalism of course,
[00:10:01.460 --> 00:10:03.460]   and certainly not addressing the related
[00:10:03.460 --> 00:10:06.580]   but very different realities of global evangelicalism.
[00:10:06.580 --> 00:10:10.340]   Nor would I pretend to adequately trace therefore
[00:10:10.340 --> 00:10:14.540]   the impact and importance of American white evangelicalism
[00:10:14.540 --> 00:10:17.460]   on the China Graduate School of Theology
[00:10:17.460 --> 00:10:19.860]   or the Chinese church.
[00:10:19.860 --> 00:10:23.140]   Instead, I will offer you my thoughts
[00:10:23.140 --> 00:10:25.100]   about American white evangelicalism
[00:10:25.100 --> 00:10:28.860]   and ask during our question and answer sessions
[00:10:28.860 --> 00:10:32.180]   for your partnership as brothers and sisters in Christ,
[00:10:32.180 --> 00:10:34.580]   with whom the scriptures call us to both rejoice
[00:10:34.580 --> 00:10:37.740]   with those who rejoice and weep with those who weep.
[00:10:37.740 --> 00:10:43.700]   Your reflections, critiques and perhaps even weeping
[00:10:43.700 --> 00:10:45.420]   are truly valuable to me.
[00:10:45.420 --> 00:10:47.260]   And I look forward to hearing your voices
[00:10:47.260 --> 00:10:49.020]   and perspectives as well.
[00:10:49.020 --> 00:10:52.660]   We are in one communion in Christ.
[00:10:52.660 --> 00:10:56.940]   Presently encouraged me to deliver lectures
[00:10:56.940 --> 00:10:59.780]   in a way that would include my own personal experience
[00:10:59.780 --> 00:11:02.980]   and not only to offer them through the lens
[00:11:02.980 --> 00:11:07.420]   of a merely academic set of categories or ideas.
[00:11:07.420 --> 00:11:11.340]   I was grateful for this and pleased
[00:11:11.340 --> 00:11:13.020]   since it allows me to do in public
[00:11:13.020 --> 00:11:15.740]   what we all know to be true in private,
[00:11:15.740 --> 00:11:18.580]   namely that almost all scholarship
[00:11:18.580 --> 00:11:21.940]   is also narrative or narratival.
[00:11:21.940 --> 00:11:23.820]   That is our commitments and interests
[00:11:23.820 --> 00:11:26.100]   are inevitably oriented by
[00:11:26.100 --> 00:11:28.380]   and reflective of our own stories.
[00:11:28.380 --> 00:11:30.620]   A few examples.
[00:11:30.620 --> 00:11:34.380]   I point to Dr. Francis Collins,
[00:11:34.380 --> 00:11:36.620]   the director in the United States
[00:11:36.620 --> 00:11:40.540]   of the National Institutes of Health in Washington, DC
[00:11:40.540 --> 00:11:43.220]   and the leader of the Human Genome Project,
[00:11:43.220 --> 00:11:48.220]   which worked out the first complete sequencing of human DNA
[00:11:48.220 --> 00:11:52.740]   forever changing the way human biological science
[00:11:52.740 --> 00:11:57.100]   would proceed and affecting the lives of people everywhere.
[00:11:57.100 --> 00:12:02.060]   It was he who said that the underlying conviction
[00:12:02.060 --> 00:12:05.580]   of God's creative and recreative love
[00:12:05.580 --> 00:12:09.060]   and salvation in Jesus Christ is the daily rock
[00:12:09.060 --> 00:12:11.540]   on which he seeks to do the very best science
[00:12:11.540 --> 00:12:14.260]   and public health that he can provide.
[00:12:14.260 --> 00:12:19.020]   Dr. Collins can distinguish science from faith,
[00:12:19.020 --> 00:12:22.380]   but his commitment to science and to the evangel
[00:12:22.380 --> 00:12:27.260]   are together part and parcel of one life and one project.
[00:12:27.260 --> 00:12:30.220]   Dr. Martin Luther King,
[00:12:30.220 --> 00:12:32.660]   the great American civil rights leader
[00:12:32.660 --> 00:12:35.500]   was not incidentally black.
[00:12:35.500 --> 00:12:38.700]   It was his blackness that informed his experience
[00:12:38.700 --> 00:12:42.140]   and his theology and also motivated his rhetoric
[00:12:42.140 --> 00:12:44.340]   and his analysis of the past and present.
[00:12:44.340 --> 00:12:49.300]   His personal story made him more capable, not less,
[00:12:49.300 --> 00:12:51.020]   of perceiving reality clearly
[00:12:51.020 --> 00:12:53.300]   in his study of American racial history.
[00:12:53.300 --> 00:12:56.780]   His embeddedness in his story
[00:12:56.780 --> 00:13:00.220]   and in the larger black narrative in the United States,
[00:13:00.220 --> 00:13:01.780]   including his demonstrations
[00:13:01.780 --> 00:13:05.260]   in some of the great marches and movements of the '60s
[00:13:05.260 --> 00:13:07.580]   gave him clearer vision, not less,
[00:13:08.540 --> 00:13:09.900]   that in a multiracial nation,
[00:13:09.900 --> 00:13:13.420]   race is never a neutral factor.
[00:13:13.420 --> 00:13:16.060]   Any claim of neutrality about race in America
[00:13:16.060 --> 00:13:20.020]   is a warning sign that misunderstanding is already at hand.
[00:13:20.020 --> 00:13:27.660]   Jesus was not incidentally a first century Jewish man.
[00:13:27.660 --> 00:13:29.700]   The very character of his divine revelation
[00:13:29.700 --> 00:13:33.420]   and of the love and healing, teaching and sacrifice,
[00:13:33.420 --> 00:13:37.060]   death and resurrection are simultaneously objective
[00:13:37.060 --> 00:13:42.060]   and subjective realities for him and for us.
[00:13:42.060 --> 00:13:45.660]   This is what we affirm about the incarnation,
[00:13:45.660 --> 00:13:48.420]   the universal particularity of God.
[00:13:48.420 --> 00:13:52.300]   Postmodernism has succeeded in driving us
[00:13:52.300 --> 00:13:56.100]   to face the inescapable particularity of life.
[00:13:56.100 --> 00:13:59.020]   In the case of Christian faith,
[00:13:59.020 --> 00:14:03.700]   the particular, however, is the lens by which we can see,
[00:14:03.700 --> 00:14:07.900]   know and encounter the God of the universe.
[00:14:07.900 --> 00:14:09.660]   This is what we hold together.
[00:14:09.660 --> 00:14:16.420]   Just a moment.
[00:14:16.420 --> 00:14:32.300]   Excuse me.
[00:14:32.660 --> 00:14:35.420]   (pages rustling)
[00:14:35.420 --> 00:14:42.300]   All of this is to say that when President Lee
[00:14:42.300 --> 00:14:44.180]   invited me to speak personally
[00:14:44.180 --> 00:14:48.140]   on the subject of American white evangelicalism,
[00:14:48.140 --> 00:14:51.820]   he was allowing me to express in public
[00:14:51.820 --> 00:14:56.820]   what otherwise is privately and inescapably present.
[00:14:56.820 --> 00:15:00.700]   I'm being allowed through his invitation
[00:15:00.700 --> 00:15:05.540]   to pixelate the story with an acknowledgement
[00:15:05.540 --> 00:15:08.980]   of the ways my own experience has ordered the arrangement
[00:15:08.980 --> 00:15:11.940]   and colors and shades of my telling
[00:15:11.940 --> 00:15:13.900]   of the American evangelical story.
[00:15:13.900 --> 00:15:18.340]   On a personal level, I come to you to this topic
[00:15:18.340 --> 00:15:21.100]   first and foremost, simply as a brother in Christ,
[00:15:21.100 --> 00:15:25.620]   seeking as you do to hear and respond
[00:15:25.620 --> 00:15:28.540]   to what the Holy Spirit may want to say to us
[00:15:28.540 --> 00:15:30.020]   in these sessions together.
[00:15:31.020 --> 00:15:33.660]   The primary context out of which I speak
[00:15:33.660 --> 00:15:38.340]   is what we hold in common, our life in Christ.
[00:15:38.340 --> 00:15:41.700]   This defining context of God's loving redemption
[00:15:41.700 --> 00:15:46.700]   holds any and all details about me, my gifts and weaknesses,
[00:15:46.700 --> 00:15:51.740]   my sins and sorrows, my hopes and longings,
[00:15:51.740 --> 00:15:56.700]   my social location, my birth and my new social location
[00:15:56.700 --> 00:15:58.940]   as part of God's one new humanity.
[00:15:59.660 --> 00:16:02.660]   The same of course is true for you.
[00:16:02.660 --> 00:16:06.060]   We find our life's principal location together
[00:16:06.060 --> 00:16:11.060]   in this one new communion, made possible and active
[00:16:11.060 --> 00:16:14.340]   as we are held in the love of the Father, Son and Spirit.
[00:16:14.340 --> 00:16:18.940]   In this common life, we also bring
[00:16:18.940 --> 00:16:21.540]   our distinct similarities and differences.
[00:16:21.540 --> 00:16:25.420]   I am a tall, white, educated American
[00:16:25.420 --> 00:16:28.820]   born and raised on the West Coast of the United States.
[00:16:29.140 --> 00:16:30.740]   And I am 67 years old.
[00:16:30.740 --> 00:16:34.420]   I've been married for nearly 37 years.
[00:16:34.420 --> 00:16:37.940]   And my wife and I have two adult sons.
[00:16:37.940 --> 00:16:41.980]   My family of origin had a low or moderate income
[00:16:41.980 --> 00:16:44.780]   and lived in an agricultural community
[00:16:44.780 --> 00:16:48.540]   adjacent to a nearby Native American community
[00:16:48.540 --> 00:16:52.540]   and in a place known as the Yakama Nation,
[00:16:52.540 --> 00:16:55.700]   a designation of a Native American tribe,
[00:16:55.700 --> 00:16:57.220]   namely the Yakama Nation.
[00:16:58.260 --> 00:17:01.140]   And in a community served by itinerant farm workers
[00:17:01.140 --> 00:17:04.140]   who traveled each season to labor
[00:17:04.140 --> 00:17:06.220]   in the agricultural harvest around us.
[00:17:06.220 --> 00:17:12.140]   My life as a white American was not their life.
[00:17:12.140 --> 00:17:15.420]   We lived in proximate, parallel,
[00:17:15.420 --> 00:17:17.220]   but utterly different worlds.
[00:17:17.220 --> 00:17:20.540]   I grew up in a tight knit family
[00:17:20.540 --> 00:17:24.180]   in which my father saw religion and religious devotion
[00:17:24.180 --> 00:17:26.460]   as one of the most dangerous influences
[00:17:26.460 --> 00:17:29.300]   in the world, one that he wanted his two sons
[00:17:29.300 --> 00:17:31.740]   to avoid if at all possible.
[00:17:31.740 --> 00:17:36.740]   So my Christian journey began as I started college
[00:17:36.740 --> 00:17:40.060]   where I became a Christian through reading the gospels.
[00:17:40.060 --> 00:17:43.980]   I simply had an intellectual and social curiosity
[00:17:43.980 --> 00:17:47.140]   about the Bible and felt that since I was on the road
[00:17:47.140 --> 00:17:50.380]   to becoming, I hoped, an educated person,
[00:17:50.380 --> 00:17:52.180]   I should read the Bible.
[00:17:52.180 --> 00:17:54.220]   And I began with the Gospel of Matthew.
[00:17:55.620 --> 00:17:58.100]   My father had committed to do all he could
[00:17:58.100 --> 00:18:00.780]   to keep his two sons from religion
[00:18:00.780 --> 00:18:02.900]   and especially from religious devotion.
[00:18:02.900 --> 00:18:06.020]   His argument from history and experience
[00:18:06.020 --> 00:18:07.900]   was that religious people,
[00:18:07.900 --> 00:18:10.980]   particularly Christian people in his assessment,
[00:18:10.980 --> 00:18:12.860]   by the influence of their faith,
[00:18:12.860 --> 00:18:16.300]   take great things, the universe,
[00:18:16.300 --> 00:18:18.660]   the mystery of being human,
[00:18:18.660 --> 00:18:21.380]   and turn them into something that's actually very small.
[00:18:21.380 --> 00:18:24.020]   My father is a Christian.
[00:18:24.020 --> 00:18:27.780]   My father illustrated this through the history of science
[00:18:27.780 --> 00:18:30.660]   and Christianity, but also through social
[00:18:30.660 --> 00:18:32.140]   and political history,
[00:18:32.140 --> 00:18:34.340]   as well as moral philosophy and practice.
[00:18:34.340 --> 00:18:38.620]   To my great shock, what I discovered
[00:18:38.620 --> 00:18:40.220]   in the New Testament was first
[00:18:40.220 --> 00:18:44.540]   that Jesus shared this same concern as my father.
[00:18:44.540 --> 00:18:48.540]   Many of his expressions address that very concern.
[00:18:48.540 --> 00:18:52.380]   And yet Jesus' antidote to small-making
[00:18:53.660 --> 00:18:55.620]   is what he announced and displayed
[00:18:55.620 --> 00:18:57.700]   to be the kingdom of God,
[00:18:57.700 --> 00:19:03.620]   the reality that cracks the whole universe wide open.
[00:19:03.620 --> 00:19:07.700]   This was the gift that I was being offered
[00:19:07.700 --> 00:19:09.580]   through the New Testament,
[00:19:09.580 --> 00:19:11.180]   the gift that shocked me
[00:19:11.180 --> 00:19:14.380]   and ultimately has come to change my whole life.
[00:19:14.380 --> 00:19:17.980]   My life as a disciple to this day
[00:19:17.980 --> 00:19:21.260]   has been constantly shaped by the dialogue
[00:19:21.260 --> 00:19:24.780]   between my father's anxiety about Christian faith,
[00:19:24.780 --> 00:19:27.580]   which I believe was accurate and fair,
[00:19:27.580 --> 00:19:32.660]   and how it has been constructively shaped now
[00:19:32.660 --> 00:19:34.820]   by the dialogue between that anxiety
[00:19:34.820 --> 00:19:37.660]   and the comprehensive and personal character
[00:19:37.660 --> 00:19:42.660]   of God's loving reign in Jesus Christ by the Holy Spirit
[00:19:42.660 --> 00:19:48.180]   through one new humanity that we call the church
[00:19:48.180 --> 00:19:50.700]   for the sake of the whole created order.
[00:19:51.540 --> 00:19:55.060]   The first Christians I came to know were and are
[00:19:55.060 --> 00:19:58.660]   some of the most positive spiritual influences in my life.
[00:19:58.660 --> 00:20:02.700]   They referred to themselves as evangelical
[00:20:02.700 --> 00:20:07.740]   and the rest is, well, history.
[00:20:07.740 --> 00:20:11.100]   I stepped into a biblical story I had not known
[00:20:11.100 --> 00:20:15.420]   and into a community that became home to me.
[00:20:15.420 --> 00:20:19.660]   My spiritual life and journey has been full of God
[00:20:19.660 --> 00:20:23.220]   and full of a ministry of resisting smallness.
[00:20:23.220 --> 00:20:28.620]   Let's go back to the beginning
[00:20:28.620 --> 00:20:30.820]   and all of these sections of this lecture
[00:20:30.820 --> 00:20:33.540]   will be very, very introductory.
[00:20:33.540 --> 00:20:36.260]   And I apologize if they seem repetitive
[00:20:36.260 --> 00:20:37.780]   to what you may already know.
[00:20:37.780 --> 00:20:42.020]   By the 17th and 18th centuries,
[00:20:42.020 --> 00:20:45.020]   the so-called birth of America was already by that time
[00:20:45.020 --> 00:20:46.980]   long since underway.
[00:20:47.860 --> 00:20:50.380]   Only in the last quarter of the 18th century
[00:20:50.380 --> 00:20:54.180]   would it become a formally united project.
[00:20:54.180 --> 00:20:56.740]   But for two centuries before that,
[00:20:56.740 --> 00:21:01.020]   Europeans and European colonies had established
[00:21:01.020 --> 00:21:02.940]   what became the United States.
[00:21:02.940 --> 00:21:07.260]   Evangelicalism was a spiritual
[00:21:07.260 --> 00:21:10.140]   and theological renewal movement.
[00:21:10.140 --> 00:21:11.940]   Some would say one that emerged
[00:21:11.940 --> 00:21:15.340]   from the Protestant Reformation of the 16th century.
[00:21:15.340 --> 00:21:19.380]   Evangelicalism was both a spiritual movement
[00:21:19.380 --> 00:21:22.060]   and a way of conceiving of the Christian life.
[00:21:22.060 --> 00:21:26.340]   It was by no means then a party,
[00:21:26.340 --> 00:21:29.420]   let alone an organization or an institution.
[00:21:29.420 --> 00:21:33.380]   It was instead a fresh experience or movement
[00:21:33.380 --> 00:21:37.940]   of the Holy Spirit that cut across denominational lines,
[00:21:37.940 --> 00:21:41.340]   that spoke out into town squares,
[00:21:41.340 --> 00:21:43.420]   that brought influence,
[00:21:43.420 --> 00:21:48.380]   and uncontrolled by formal Christian structures or histories
[00:21:48.380 --> 00:21:50.820]   while declaring and nurturing people
[00:21:50.820 --> 00:21:54.220]   in what they saw as the first order matters of faith.
[00:21:54.220 --> 00:21:59.500]   By the last quarter of the 17th century,
[00:21:59.500 --> 00:22:05.460]   the 18th century,
[00:22:05.460 --> 00:22:07.260]   when the Declaration of Independence
[00:22:07.260 --> 00:22:09.940]   and the War of Independence occurred,
[00:22:09.940 --> 00:22:14.140]   the colonies were clearly hungry for change,
[00:22:14.140 --> 00:22:17.100]   expansion, freedom, and hope.
[00:22:17.100 --> 00:22:20.140]   This, along with various Christian awakenings in Europe
[00:22:20.140 --> 00:22:24.740]   and in America in the 1730s and the 1740s
[00:22:24.740 --> 00:22:28.340]   by groups such as Anglicans and Methodists,
[00:22:28.340 --> 00:22:30.540]   Reformed and Puritan,
[00:22:30.540 --> 00:22:33.820]   meant that institutional religious teaching and authority
[00:22:33.820 --> 00:22:36.980]   were being modified and challenged in various ways.
[00:22:36.980 --> 00:22:38.660]   Together, it created a readiness
[00:22:38.660 --> 00:22:41.020]   for a kind of spiritual awakening
[00:22:41.020 --> 00:22:42.620]   that was motivated by a readiness
[00:22:42.620 --> 00:22:45.140]   to receive the spiritual identity and life
[00:22:45.140 --> 00:22:48.540]   that could freshly ground them in this new context,
[00:22:48.540 --> 00:22:50.020]   in this new land.
[00:22:50.020 --> 00:22:52.780]   The great awakenings in Europe came to
[00:22:52.780 --> 00:22:55.300]   and triumphed in American soil.
[00:22:55.300 --> 00:23:00.260]   In retrospect, a British historian, David Bebbington,
[00:23:00.260 --> 00:23:02.580]   in his defining work in 1989,
[00:23:02.580 --> 00:23:05.620]   entitled "Evangelicalism in Modern Britain,
[00:23:05.620 --> 00:23:09.980]   "A History of the 1730s to the 1980s,"
[00:23:09.980 --> 00:23:12.020]   set forth that evangelicalism
[00:23:12.020 --> 00:23:15.300]   was centered on a quadrilateral set of traits,
[00:23:15.300 --> 00:23:18.220]   that it was Bible-centered,
[00:23:18.220 --> 00:23:20.980]   that it was cross-centered,
[00:23:20.980 --> 00:23:23.820]   that it was conversion-expecting,
[00:23:23.820 --> 00:23:26.940]   and that it was activist-oriented.
[00:23:26.940 --> 00:23:33.260]   This movement unfolded with undulations
[00:23:33.260 --> 00:23:35.220]   that responded to external changes,
[00:23:35.220 --> 00:23:38.620]   to the presence and practice of slavery, for example,
[00:23:38.620 --> 00:23:41.780]   to the critical study of the scriptures,
