
[00:00:00.000 --> 00:00:01.120]   Hello, welcome.
[00:02:13.480 --> 00:02:14.760]   with the Christian faith.
[00:02:14.760 --> 00:02:17.640]   And that's why this series of lecture
[00:02:17.640 --> 00:02:20.360]   was established to remember her
[00:02:20.360 --> 00:02:24.400]   and the series also concentrate on relating faith
[00:02:24.400 --> 00:02:27.760]   to the cultures of our time.
[00:02:27.760 --> 00:02:32.000]   So today we are honored, sorry, wrong button.
[00:02:32.000 --> 00:02:38.240]   So today we are honored to have Professor Daryl Jackson
[00:02:38.240 --> 00:02:42.360]   to be our speaker and then Aung San Suu Kyi
[00:02:42.360 --> 00:02:45.280]   will be the responder.
[00:02:45.280 --> 00:02:49.440]   Professor Daryl Jackson is also the principal
[00:02:49.440 --> 00:02:53.360]   of Whitley College in Melbourne.
[00:02:53.360 --> 00:02:58.360]   He's also the supervisor for our vice president,
[00:02:58.360 --> 00:03:03.880]   Reverend Suu, so he's very important,
[00:03:03.880 --> 00:03:07.520]   owing to Professor Jackson, our vice president,
[00:03:07.520 --> 00:03:08.680]   get his PhD.
[00:03:08.680 --> 00:03:13.040]   According to the website,
[00:03:13.040 --> 00:03:17.840]   Whitley College is kind of like a seminary
[00:03:17.840 --> 00:03:19.840]   that emphasize multicultural,
[00:03:19.840 --> 00:03:22.120]   even if you go to their website,
[00:03:22.120 --> 00:03:25.440]   they will emphasize it's a Baptist,
[00:03:25.440 --> 00:03:27.320]   kind of his heritage is Baptist,
[00:03:27.320 --> 00:03:31.480]   but he also emphasizes multicultural dimension.
[00:03:31.480 --> 00:03:36.480]   And Dr. Jackson is the principal
[00:03:36.480 --> 00:03:41.920]   and he also teach subjects in theological methodology.
[00:03:41.920 --> 00:03:45.200]   And he has lots of course cultural experience.
[00:03:45.200 --> 00:03:47.360]   He will mention some of it in his lecture.
[00:03:47.360 --> 00:03:52.920]   And then our respondent today is Dr. Johnson Yip.
[00:03:52.920 --> 00:03:56.400]   The other respondents, the two respondents yesterday,
[00:03:56.400 --> 00:04:01.400]   they are from the theology faculty,
[00:04:01.400 --> 00:04:04.920]   but Bible is very important,
[00:04:04.920 --> 00:04:07.840]   so we have to get a biblical professor
[00:04:07.840 --> 00:04:09.400]   to be one of the respondents.
[00:04:09.400 --> 00:04:14.280]   So Dr. Johnson Yip is one of our assistant professor
[00:04:14.280 --> 00:04:15.520]   in biblical studies.
[00:04:15.520 --> 00:04:19.040]   He is also an expert in Ezekiel studies.
[00:04:19.040 --> 00:04:22.240]   So without further, and I'm the chairperson,
[00:04:22.240 --> 00:04:24.840]   can you bring, okay, without further ado,
[00:04:24.840 --> 00:04:27.840]   I'll give the time to Dr. Jackson.
[00:04:27.840 --> 00:04:31.920]   (audience applauding)
[00:04:38.760 --> 00:04:43.760]   - I still have a memory of approximately five years ago
[00:04:43.760 --> 00:04:49.040]   being asked by Dr. Chu, your vice president,
[00:04:49.040 --> 00:04:52.600]   if I would be interested in joining you
[00:04:52.600 --> 00:04:55.880]   for the 45th lecture,
[00:04:55.880 --> 00:05:00.520]   associated with the 45th anniversary of the school.
[00:05:00.520 --> 00:05:04.360]   And of course, that was the year that COVID
[00:05:04.360 --> 00:05:07.960]   shut down the world, we could say.
[00:05:07.960 --> 00:05:12.960]   And so my trip, expected trip to Hong Kong in January
[00:05:12.960 --> 00:05:14.960]   did not happen.
[00:05:14.960 --> 00:05:19.520]   I was due to be in Italy, I think in March.
[00:05:19.520 --> 00:05:22.160]   And of course, in Europe, at least,
[00:05:22.160 --> 00:05:24.560]   COVID really began to emerge
[00:05:24.560 --> 00:05:27.880]   in one of the ski resorts in Italy.
[00:05:27.880 --> 00:05:30.160]   And gradually, as the world closed down,
[00:05:30.160 --> 00:05:33.560]   my itinerary for that year just came to a halt.
[00:05:33.560 --> 00:05:37.120]   And I started, I realized I had a very significant
[00:05:37.120 --> 00:05:41.520]   financial investment in the national airline carrier,
[00:05:41.520 --> 00:05:46.520]   Qantas, which held approximately 12 to 15,000 dollar
[00:05:46.520 --> 00:05:49.360]   on my behalf for the next two years.
[00:05:49.360 --> 00:05:53.000]   But what a year that was,
[00:05:53.000 --> 00:05:56.520]   and how things have changed in ways for the good
[00:05:56.520 --> 00:05:59.320]   and sometimes not for the good.
[00:05:59.320 --> 00:06:01.760]   And I know that you're also dealing with some of that now.
[00:06:01.760 --> 00:06:04.520]   But it is a joy and I'm grateful to President Bernard
[00:06:04.520 --> 00:06:06.640]   and also to Vice President Michael.
[00:06:06.640 --> 00:06:11.080]   And your senior staff and faculty and colleagues
[00:06:11.080 --> 00:06:13.360]   for all of the hard work that I know that you've put
[00:06:13.360 --> 00:06:16.360]   into this particular gathering.
[00:06:16.360 --> 00:06:23.320]   I have to say that I suspect that in some way,
[00:06:23.320 --> 00:06:29.080]   you had prayed hard and sought guidance
[00:06:29.080 --> 00:06:31.240]   as to who you ought to invite.
[00:06:31.240 --> 00:06:34.680]   And it seems that you might well know your four speakers
[00:06:34.680 --> 00:06:36.480]   better than we know ourselves.
[00:06:37.480 --> 00:06:39.880]   For the very simple reason that as I was sitting
[00:06:39.880 --> 00:06:42.600]   on the airplane flying up from Melbourne,
[00:06:42.600 --> 00:06:45.840]   as I read through the papers of my colleagues,
[00:06:45.840 --> 00:06:48.160]   I could feel the hairs on the back of my neck
[00:06:48.160 --> 00:06:51.120]   beginning to rise because I thought this is going
[00:06:51.120 --> 00:06:55.240]   to be such an exciting engagement and exchange together
[00:06:55.240 --> 00:06:58.240]   because so many of the themes that we're dealing with
[00:06:58.240 --> 00:07:00.480]   are similar and overlap.
[00:07:00.480 --> 00:07:04.040]   And so it's a real joy, a genuine joy to be here,
[00:07:04.040 --> 00:07:08.080]   to make new friends and also to reacquaint myself
[00:07:08.080 --> 00:07:13.080]   with a former student and a good friend.
[00:07:13.080 --> 00:07:16.480]   So thank you for the invitation and this opportunity.
[00:07:16.480 --> 00:07:23.800]   I can say that since 2003, I've been researching migration
[00:07:23.800 --> 00:07:29.240]   and diaspora in Europe, along with the churches of Europe.
[00:07:29.240 --> 00:07:33.040]   I've professionally spent three years working
[00:07:33.040 --> 00:07:38.040]   for approximately 150 church denominations
[00:07:38.040 --> 00:07:40.720]   and mission organizations in Europe,
[00:07:40.720 --> 00:07:45.640]   trying to understand the impact that migrant Christianity,
[00:07:45.640 --> 00:07:49.000]   particularly, but also other forms of migration
[00:07:49.000 --> 00:07:51.400]   were having upon the churches of Europe
[00:07:51.400 --> 00:07:53.440]   in terms of their welfare provision,
[00:07:53.440 --> 00:07:56.720]   in terms of the nature and composition of the churches,
[00:07:56.720 --> 00:08:00.560]   in terms of their ministry and in terms of their mission.
[00:08:02.160 --> 00:08:07.160]   Of course, that involves a typical range of areas of study,
[00:08:07.160 --> 00:08:09.960]   including the study of statistics,
[00:08:09.960 --> 00:08:13.400]   demographics, stories and history.
[00:08:13.400 --> 00:08:17.480]   But in 2013, after the, as we were preparing
[00:08:17.480 --> 00:08:21.960]   for the second edition of what became a three edition series
[00:08:21.960 --> 00:08:26.480]   of volumes co-authored with an Italian sociologist
[00:08:26.480 --> 00:08:30.680]   of religion, a critic of our work,
[00:08:31.520 --> 00:08:36.120]   a kindly critic of our work approached us and said,
[00:08:36.120 --> 00:08:40.880]   Dr. Jackson, Dr. Passarelli, we've enjoyed reading your work.
[00:08:40.880 --> 00:08:43.840]   It's been a really helpful resource for us
[00:08:43.840 --> 00:08:47.520]   as the church Christian denominations of Europe.
[00:08:47.520 --> 00:08:51.280]   But where is the voice of the migrant in your work?
[00:08:51.280 --> 00:08:54.120]   It was a really helpful
[00:08:54.120 --> 00:08:56.720]   and the challenge still lives with me.
[00:08:56.720 --> 00:09:00.960]   And since that time, I have sought to recognize
[00:09:00.960 --> 00:09:05.680]   my own location as an observer of migration,
[00:09:05.680 --> 00:09:09.920]   particularly as a European observer of migration
[00:09:09.920 --> 00:09:13.760]   and sought to pay much closer attention to the experience,
[00:09:13.760 --> 00:09:16.960]   the lived experience of the migrants,
[00:09:16.960 --> 00:09:20.160]   whose stories I am trying to observe and listen to
[00:09:20.160 --> 00:09:24.800]   and learn from, sometimes attempt to present and represent.
[00:09:24.800 --> 00:09:29.200]   Now, it's likely that many of you will have already realized
[00:09:29.200 --> 00:09:31.840]   that I do not speak with an Australian accent.
[00:09:31.840 --> 00:09:33.040]   (audience laughing)
[00:09:33.040 --> 00:09:35.960]   Though I am a citizen now of Australia,
[00:09:35.960 --> 00:09:40.000]   I am of British origin and readily identify as European.
[00:09:40.000 --> 00:09:42.560]   And by identifying in this way,
[00:09:42.560 --> 00:09:44.960]   I just want to make it very clear
[00:09:44.960 --> 00:09:47.880]   that I have to acknowledge the privilege
[00:09:47.880 --> 00:09:49.840]   that is frequently associated
[00:09:49.840 --> 00:09:53.520]   with being both white and male and European.
[00:09:53.520 --> 00:09:56.280]   It's important, I think, to name that today
[00:09:56.280 --> 00:09:58.120]   in this context where so much
[00:09:58.120 --> 00:10:02.360]   of what we've already heard constitutes as normativity
[00:10:02.360 --> 00:10:06.320]   or of universal theology is nothing other
[00:10:06.320 --> 00:10:09.720]   than contextual forms of European theology.
[00:10:09.720 --> 00:10:15.880]   It's particularly important for me as a missiologist,
[00:10:15.880 --> 00:10:19.200]   and we've already had reference to the work of Andrew Walls,
[00:10:19.200 --> 00:10:22.120]   to acknowledge his own insight
[00:10:22.120 --> 00:10:24.080]   that there has been in the course of,
[00:10:24.080 --> 00:10:26.440]   certainly in the course of our lifetime,
[00:10:26.440 --> 00:10:30.480]   a reversal of mission movement,
[00:10:30.480 --> 00:10:32.640]   whereas previously movement in mission
[00:10:32.640 --> 00:10:34.800]   had been from the West to the rest,
[00:10:34.800 --> 00:10:37.520]   to use a very simplistic shorthand,
[00:10:37.520 --> 00:10:40.280]   Walls points our attention, draws our attention
[00:10:40.280 --> 00:10:42.960]   to the movement from the rest to the West.
[00:10:42.960 --> 00:10:45.440]   Now, there are, of course,
[00:10:45.440 --> 00:10:48.400]   many anxieties associated with that,
[00:10:48.400 --> 00:10:52.320]   but one of the things that I welcome this movement for
[00:10:52.320 --> 00:10:55.240]   is that this movement does not so much represent
[00:10:55.240 --> 00:10:58.280]   the de-Christianization of Europe,
[00:10:58.280 --> 00:11:03.080]   but the de-Europeanization of Christianity.
[00:11:03.080 --> 00:11:06.440]   Now, historically, of course,
[00:11:06.440 --> 00:11:09.360]   migration within the European continent spans
[00:11:09.360 --> 00:11:13.360]   many, many centuries, whether it involves Celtic peoples,
[00:11:13.360 --> 00:11:16.600]   peoples of the Roman Empire, Germanic peoples,
[00:11:16.600 --> 00:11:21.160]   Scandinavian peoples, the Spanish and Portuguese,
[00:11:21.160 --> 00:11:22.880]   emigration to the Americas.
[00:11:22.880 --> 00:11:27.200]   Despite its history of migration,
[00:11:27.200 --> 00:11:31.640]   a Eurocentric perspective frequently fails to recognize
[00:11:31.640 --> 00:11:34.040]   that migration and diaspora
[00:11:34.040 --> 00:11:36.920]   have always been global phenomena,
[00:11:36.920 --> 00:11:40.480]   and the story needs to be told from a different place.
[00:11:40.480 --> 00:11:42.600]   Crisis, constraints, and conflict
[00:11:42.600 --> 00:11:45.080]   are certainly drivers of migration.
[00:11:45.080 --> 00:11:48.440]   It's frequently a result of cultural, social,
[00:11:48.440 --> 00:11:52.280]   technological, or indeed religious innovation.
[00:11:52.280 --> 00:11:54.920]   Think Protestant Reformation
[00:11:54.920 --> 00:11:59.480]   and the eventual discovery amongst Protestants
[00:11:59.480 --> 00:12:02.400]   of a sense of call and vocation to Christian mission,
[00:12:02.400 --> 00:12:05.000]   particularly overseas Christian mission.
[00:12:05.000 --> 00:12:07.040]   And yet, however, the innovations
[00:12:07.040 --> 00:12:10.200]   that frequently accompanied European migration
[00:12:10.200 --> 00:12:12.320]   were not always welcome.
[00:12:16.080 --> 00:12:21.080]   And so as a European studying migration in Europe in 2012,
[00:12:21.080 --> 00:12:25.320]   with my family, we became economic migrants,
[00:12:25.320 --> 00:12:28.600]   and we took up a position in Sydney, Australia,
[00:12:28.600 --> 00:12:32.160]   working for the Baptist Theological College in Sydney,
[00:12:32.160 --> 00:12:33.040]   which is where, of course,
[00:12:33.040 --> 00:12:35.400]   Michael eventually came to join us as a student.
[00:12:35.400 --> 00:12:39.680]   Australia is an immigrant nation.
[00:12:39.680 --> 00:12:41.880]   All non-indigenous theologies
[00:12:41.880 --> 00:12:46.160]   are consequently the theologies of immigrants
[00:12:46.160 --> 00:12:48.760]   who have brought that theology with them.
[00:12:48.760 --> 00:12:50.000]   And so this afternoon,
[00:12:50.000 --> 00:12:53.720]   from within that context of migration,
[00:12:53.720 --> 00:12:55.560]   I also use the word diaspora,
[00:12:55.560 --> 00:12:57.280]   partly to keep the debate alive
[00:12:57.280 --> 00:13:00.000]   about what those two terms might signify
[00:13:00.000 --> 00:13:02.880]   rather than too quickly narrowing down on one,
[00:13:02.880 --> 00:13:04.800]   I intend to present relevant themes
[00:13:04.800 --> 00:13:07.800]   from the work of four migrant theologians,
[00:13:07.800 --> 00:13:11.560]   and I hope that you will appreciate their perspective
[00:13:11.560 --> 00:13:14.400]   and what they bring to their theologizing
[00:13:14.400 --> 00:13:17.080]   as migrant theologians in Australia.
[00:13:17.080 --> 00:13:19.480]   One of them is mainland Chinese,
[00:13:19.480 --> 00:13:22.760]   another is Samoan, another is Sri Lankan,
[00:13:22.760 --> 00:13:25.000]   and a fourth is a European.
[00:13:25.000 --> 00:13:28.040]   One of them is a former PhD student of mine,
[00:13:28.040 --> 00:13:31.680]   two of them are colleagues in different ways,
[00:13:31.680 --> 00:13:36.040]   and another is a well-known local theologian.
[00:13:36.040 --> 00:13:38.480]   But before doing so,
[00:13:38.480 --> 00:13:41.640]   let me just briefly outline some historical
[00:13:41.640 --> 00:13:44.360]   and demographic features of the diaspora
[00:13:44.360 --> 00:13:46.480]   or migrant communities in Australia.
[00:13:46.480 --> 00:13:51.760]   Just as with parts of the USA and Canada,
[00:13:51.760 --> 00:13:53.920]   institutional Christianity arrived
[00:13:53.920 --> 00:13:56.920]   with the first British colonizers,
[00:13:56.920 --> 00:13:59.440]   particularly in Sydney in 1788.
[00:13:59.440 --> 00:14:03.320]   And not long after that,
[00:14:03.320 --> 00:14:07.240]   migration was accelerated by the discovery of gold
[00:14:07.240 --> 00:14:09.960]   in many of the parts of Australia,
[00:14:09.960 --> 00:14:11.880]   particularly in the state now of Victoria,
[00:14:11.880 --> 00:14:12.840]   north of Melbourne.
[00:14:12.840 --> 00:14:16.440]   And this brought with it a new wave
[00:14:16.440 --> 00:14:21.440]   of non-English colonizers or residents, if you like,
[00:14:21.440 --> 00:14:25.840]   including many Chinese who came to work in the gold fields
[00:14:25.840 --> 00:14:27.600]   in search of wealth.
[00:14:27.600 --> 00:14:31.320]   And so when Dr. Chu and I began to do,
[00:14:31.320 --> 00:14:33.600]   explore what he was discovering,
[00:14:33.600 --> 00:14:35.320]   we came to realize that, in fact,
[00:14:35.320 --> 00:14:38.320]   for many of the Chinese Christian communities,
[00:14:38.320 --> 00:14:41.000]   there were certainly, as with the USA,
[00:14:41.000 --> 00:14:46.000]   fifth-generation Chinese Christians present in Australia.
[00:14:46.000 --> 00:14:50.160]   By June of 2022,
[00:14:50.160 --> 00:14:56.120]   there were approximately 600,000 Chinese-born people
[00:14:56.120 --> 00:15:00.560]   resident in Australia, 7.8% of the population.
[00:15:00.560 --> 00:15:03.800]   It's the third largest group of overseas-born residents
[00:15:03.800 --> 00:15:06.200]   after the UK and India.
[00:15:06.200 --> 00:15:11.560]   Samoans first began arriving in Australia
[00:15:11.560 --> 00:15:13.800]   in the early 20th century.
[00:15:13.800 --> 00:15:17.640]   The Wesleyan mission to Samoa from 1828 onwards
[00:15:17.640 --> 00:15:20.520]   saw, of course, many Samoans come to faith
[00:15:20.520 --> 00:15:22.480]   and seek theological training.
[00:15:22.480 --> 00:15:26.400]   And some of those found advanced theological training
[00:15:26.400 --> 00:15:28.200]   in Australia.
[00:15:28.200 --> 00:15:32.200]   However, by 1901,
[00:15:32.200 --> 00:15:34.640]   Australia had introduced legislation
[00:15:34.640 --> 00:15:36.640]   which led to their deportation.
[00:15:36.640 --> 00:15:39.040]   They became unwelcome.
[00:15:39.040 --> 00:15:40.560]   And in fact, the restrictions also
[00:15:40.560 --> 00:15:43.320]   around Chinese residents in Australia,
[00:15:43.320 --> 00:15:45.160]   they had the right to remain,
[00:15:45.160 --> 00:15:48.360]   but the moment they left, there was no right to return.
[00:15:48.360 --> 00:15:51.960]   And so this caused an exit,
[00:15:51.960 --> 00:15:56.800]   particularly for the Samoans, of significant numbers.
[00:15:56.800 --> 00:16:02.160]   It saw the deportation of about 7 1/2 to 8,000
[00:16:02.160 --> 00:16:06.320]   Samoans before the 1921 census.
[00:16:06.320 --> 00:16:09.960]   However, today, approximately 24,000 Samoans
[00:16:09.960 --> 00:16:11.680]   live in Australia.
[00:16:11.680 --> 00:16:15.040]   Sri Lankans in Australia have been present
[00:16:15.040 --> 00:16:16.720]   for a much shorter period,
[00:16:16.720 --> 00:16:18.920]   but they now represent just about 2%
[00:16:18.920 --> 00:16:23.400]   of Australia's overseas-born population,
[00:16:23.400 --> 00:16:27.480]   total of about 145,000 Sri Lankans.
[00:16:27.480 --> 00:16:30.440]   And about a quarter of the Sri Lankans
[00:16:30.440 --> 00:16:32.120]   identify as Christian.
[00:16:32.120 --> 00:16:37.880]   Now, in 2019, to come back to the question about,
[00:16:37.880 --> 00:16:39.320]   well, what about the European?
[00:16:39.320 --> 00:16:42.280]   Who's doing his migrant theology in Australia?
[00:16:42.280 --> 00:16:46.760]   In 2019, I was invited to write a chapter
[00:16:46.760 --> 00:16:50.160]   called "Theology in Australia"
[00:16:50.160 --> 00:16:53.760]   for the "Christianity in Oceania" volume
[00:16:53.760 --> 00:16:58.480]   that tried to identify Christian faith in the Pacific
[00:16:58.480 --> 00:17:01.320]   and in that part of the world that we often call Oceania,
[00:17:01.320 --> 00:17:03.680]   including Australia and New Zealand.
[00:17:03.680 --> 00:17:07.000]   In the research for that chapter,
[00:17:07.000 --> 00:17:09.920]   I found a relative absence of anything
[00:17:09.920 --> 00:17:13.880]   that one might call contextual theology in Australia.
[00:17:13.880 --> 00:17:18.520]   It was largely derivative of theologies from Europe
[00:17:18.520 --> 00:17:21.400]   and of theologies from North America.
[00:17:21.400 --> 00:17:26.120]   That observation had been made in 1977
[00:17:26.120 --> 00:17:27.840]   by a chap called Richard Campbell,
[00:17:27.840 --> 00:17:30.280]   but my research essentially demonstrated
[00:17:30.280 --> 00:17:32.240]   that there'd been little development
[00:17:32.240 --> 00:17:35.040]   or progress made since 1977.
[00:17:35.040 --> 00:17:40.600]   However, I was able and overjoyed in one sense
[00:17:40.600 --> 00:17:43.560]   to engage with the work of a more contextual theologian
[00:17:43.560 --> 00:17:45.880]   in Australia called Chris Budden,
[00:17:45.880 --> 00:17:48.400]   and his work is one I will return to later.
[00:17:48.400 --> 00:17:54.960]   And he makes a challenging claim in his work,
[00:17:56.760 --> 00:17:58.600]   and it was a confronting claim,
[00:17:58.600 --> 00:18:01.040]   and he argues in that book
[00:18:01.040 --> 00:18:04.960]   that most contemporary theologians in Australia,
[00:18:04.960 --> 00:18:07.760]   whatever theology they're doing,
[00:18:07.760 --> 00:18:11.160]   contextual or imported or otherwise,
[00:18:11.160 --> 00:18:14.440]   is a theology that is done in the face of claims
[00:18:14.440 --> 00:18:17.240]   of indigenous people, that is Aboriginal
[00:18:17.240 --> 00:18:19.880]   and Torres Strait Islander peoples,
[00:18:19.880 --> 00:18:23.080]   that they knew God in some way
[00:18:23.080 --> 00:18:25.560]   before the invaders brought the gospel.
[00:18:26.400 --> 00:18:28.600]   Now, I refrain here from engaging
[00:18:28.600 --> 00:18:31.360]   with this particular indigenous claim,
[00:18:31.360 --> 00:18:36.360]   but indeed, Aboriginal and Torres Strait Islander peoples
[00:18:36.360 --> 00:18:40.200]   are indeed Australia's first peoples,
[00:18:40.200 --> 00:18:43.520]   first nations peoples, if you like.
[00:18:43.520 --> 00:18:45.920]   And so the theology in my paper
[00:18:45.920 --> 00:18:49.040]   is also a second peoples theology,
[00:18:49.040 --> 00:18:54.040]   practiced on land, not as guest, but as invader.
[00:18:55.040 --> 00:18:58.720]   All of my theology in Australia
[00:18:58.720 --> 00:19:03.440]   is practiced in the light of a deeply fractured relationship
[00:19:03.440 --> 00:19:06.160]   with its traditional custodians.
[00:19:06.160 --> 00:19:08.200]   I am and always will be
[00:19:08.200 --> 00:19:11.480]   a migrant European theologian in Australia.
[00:19:11.480 --> 00:19:14.400]   So let me turn to the work
[00:19:14.400 --> 00:19:18.760]   of my four migrant theological colleagues,
[00:19:18.760 --> 00:19:22.120]   and in doing so, again, seek to dethrone
[00:19:22.120 --> 00:19:25.960]   the Eurocentric theologies through reflecting
[00:19:25.960 --> 00:19:30.960]   on the phenomenon of emergent migrant theology in Australia.
[00:19:30.960 --> 00:19:33.920]   As I said, I want to outline the work
[00:19:33.920 --> 00:19:36.840]   of four colleagues, four theologians
[00:19:36.840 --> 00:19:39.600]   representing the Chinese, Samoan, Sri Lankan,
[00:19:39.600 --> 00:19:44.480]   and European heritage that has shaped them and forms them.
[00:19:44.480 --> 00:19:47.160]   Now, I'm aware that discussion of the work of others
[00:19:47.160 --> 00:19:50.120]   can be a fraught exercise in terms of presentation
[00:19:50.120 --> 00:19:53.520]   and representation, and I'm also aware
[00:19:53.520 --> 00:19:57.400]   that each of them identifies with the labels
[00:19:57.400 --> 00:20:00.680]   of migrant and diaspora in different ways.
[00:20:00.680 --> 00:20:02.800]   They don't all own them in quite the way
[00:20:02.800 --> 00:20:05.400]   I may appear to use it of them,
[00:20:05.400 --> 00:20:07.600]   but I use it nevertheless to try and capture
[00:20:07.600 --> 00:20:09.440]   something of this as a phenomenon
[00:20:09.440 --> 00:20:11.320]   that we're seeking to identify.
[00:20:11.320 --> 00:20:15.880]   Now, after introducing their work,
[00:20:15.880 --> 00:20:19.840]   I want to, in reflecting on the lived experience
[00:20:19.840 --> 00:20:22.000]   of what does it mean to observe the theology
[00:20:22.000 --> 00:20:26.320]   of four living, breathing theologians in Australia,
[00:20:26.320 --> 00:20:28.920]   what do I then do with that in the face
[00:20:28.920 --> 00:20:30.880]   of the indigenous claim, but also in trying
[00:20:30.880 --> 00:20:34.840]   to make better sense of the way to frame that experience?
[00:20:34.840 --> 00:20:37.280]   And in this respect, I look to the work
[00:20:37.280 --> 00:20:40.600]   of a philosopher of motion called Thomas Nail,
[00:20:40.600 --> 00:20:44.520]   who works at the University of Denver
[00:20:44.520 --> 00:20:47.920]   as he attempts to understand what is the impact
[00:20:47.920 --> 00:20:51.360]   on the world around us today of the phenomenon
[00:20:51.360 --> 00:20:54.760]   of motion, of movement, the movement of people,
[00:20:54.760 --> 00:20:57.200]   and how can we use this work to try
[00:20:57.200 --> 00:20:59.480]   and better understand the phenomenon
[00:20:59.480 --> 00:21:01.560]   that I want to introduce you to
[00:21:01.560 --> 00:21:05.440]   as represented by these four particular theologians.
[00:21:05.440 --> 00:21:08.760]   Nail's work has been really helpful for me
[00:21:08.760 --> 00:21:13.640]   because his argument is that the movement of people
[00:21:13.640 --> 00:21:18.640]   is the primary constitutive motive or power for stasis.
[00:21:18.640 --> 00:21:25.240]   So he says, when we talk about migration,
[00:21:25.240 --> 00:21:27.440]   we so often look at it through the perspective
[00:21:27.440 --> 00:21:30.920]   of the nation state, how it impacts the nation state,
[00:21:30.920 --> 00:21:33.480]   and why it should be resisted by the nation state,
[00:21:33.480 --> 00:21:36.920]   because it's potentially undermining of the nation state.
[00:21:36.920 --> 00:21:40.600]   But Nail says, actually, if we look at the phenomenon
[00:21:40.600 --> 00:21:44.160]   of migration through the movement of people,
[00:21:44.160 --> 00:21:46.840]   we're able to see it's actually the very movement
[00:21:46.840 --> 00:21:49.880]   of those people that leads to forms
[00:21:49.880 --> 00:21:54.880]   of social, political, communal stability
[00:21:54.880 --> 00:21:56.600]   before there's another movement.
[00:21:56.600 --> 00:21:59.600]   And so this sense of the motion being primary,
[00:21:59.600 --> 00:22:02.000]   I found his work particularly helpful,
[00:22:02.000 --> 00:22:03.480]   and maybe you'll be thinking, oh, well,
[00:22:03.480 --> 00:22:06.320]   he's a missiologist, he's likely to do that.
[00:22:06.320 --> 00:22:08.760]   And that's why I do, I find his work really helpful
[00:22:08.760 --> 00:22:12.200]   'cause it puts in primary pole position
[00:22:12.200 --> 00:22:13.640]   the actual movement of the people
[00:22:13.640 --> 00:22:16.240]   that I'm particularly interested in.
[00:22:16.240 --> 00:22:19.320]   So let me turn, first of all, to the work
[00:22:19.320 --> 00:22:24.320]   of a mainland Chinese migrant who finds herself
[00:22:24.320 --> 00:22:28.120]   in Melbourne and now having to reflect
[00:22:28.120 --> 00:22:32.400]   on the experience of being a migrant theologian
[00:22:32.400 --> 00:22:36.840]   in Australia and the impact of these two realities,
[00:22:36.840 --> 00:22:40.640]   her mainland Chinese heritage and her Australian experience
[00:22:40.640 --> 00:22:42.880]   as it takes shape in her work.
[00:22:42.880 --> 00:22:47.080]   Xiaoli Yang arrived in Australia in the early 1990s,
