
[00:00:00.000 --> 00:00:07.000]  我估計大多數人都坐過飛機
[00:05:26.000 --> 00:05:31.000]  保羅用自身經歷告訴提摩他
[00:05:31.000 --> 00:05:35.000]  他曾經在宣教道上遇見很多困難
[00:05:35.000 --> 00:05:48.000]  包括第一次宣教旅程, 保羅去到比西底的安提阿, 以哥廉和路斯德
[00:05:48.000 --> 00:05:52.000]  這三個地方記載在史坦主第十三和第十四章
[00:05:52.000 --> 00:05:57.000]  第一次宣教旅程, 當保羅去到安提阿的時候
[00:05:57.000 --> 00:06:00.000]  亞細亞, 即現在土耳其的地方
[00:06:00.000 --> 00:06:06.000]  有很多猶太人聽了保羅所宣講的
[00:06:06.000 --> 00:06:09.000]  以耶穌基督為中心的福音的時候
[00:06:09.000 --> 00:06:12.000]  經文講到十三章四十四節
[00:06:12.000 --> 00:06:17.000]  滿身疾度, 眼博保羅所講的話, 並且畏惑
[00:06:17.000 --> 00:06:24.000]  這些猶太人教唆當地人, 迫迫保羅和巴勒說他們出境
[00:06:24.000 --> 00:06:35.000]  去到以哥廉十四章頭的時候, 繼續慫恿外邦人去惱恨, 凌辱, 用石頭打
[00:06:35.000 --> 00:06:39.000]  這些所傳福音的使徒, 包括保羅
[00:06:39.000 --> 00:06:44.000]  第十四章第十九節, 在路斯德的時候
[00:06:44.000 --> 00:06:48.000]  這些猶太人從安提阿和以哥廉來到
[00:06:48.000 --> 00:06:52.000]  教唆眾人用石頭打保羅, 以為保羅死了
[00:06:52.000 --> 00:06:56.000]  可想而知, 保羅受傷程度非常嚴重
[00:06:56.000 --> 00:06:58.000]  拖他出城
[00:06:58.000 --> 00:07:09.000]  有趣的是, 由安提阿和以哥廉到路斯德, 約160公里
[00:07:09.000 --> 00:07:16.000]  我跑過環島, 環香港島, 大約55至60公里
[00:07:16.000 --> 00:07:22.000]  即是跑了約兩至三個圈
[00:07:22.000 --> 00:07:29.000]  猶太人不斷迫迫保羅, 讓保羅受苦
[00:07:29.000 --> 00:07:39.000]  保羅一生面對遭遇, 但他一而再再而三宣講耶穌是父的主, 是基督
[00:07:39.000 --> 00:07:50.000]  保羅在哥倫多後書, 左下方, 在十一章提出他所面對的困難
[00:07:50.000 --> 00:07:56.000]  坐牢, 沉船, 被棍打
[00:07:56.000 --> 00:08:04.000]  真命旅途當中, 帶著很多肉身上, 心靈上的創傷
[00:08:04.000 --> 00:08:09.000]  保羅這樣渡過一生
[00:08:09.000 --> 00:08:16.000]  但保羅為何一而再再而三堅忍面對苦難呢?
[00:08:16.000 --> 00:08:24.000]  或者在哥倫多豪書第四章, 提到其中一個向度
[00:08:24.000 --> 00:08:28.000]  我們要思考, 我們有隻寶貝藏起, 瓦起他
[00:08:28.000 --> 00:08:34.000]  要顯明, 博大能力出於神, 不是出於我們
[00:08:34.000 --> 00:08:36.000]  我們先見受敵, 卻不被困住
[00:08:36.000 --> 00:08:38.000]  心裡作難, 卻不致失望
[00:08:38.000 --> 00:08:40.000]  遭逼迫, 卻不被丟棄
[00:08:40.000 --> 00:08:42.000]  打倒了, 卻不致死亡
[00:08:42.000 --> 00:08:48.000]  身上常帶著耶穌基督的死, 抱著耶穌基督的身, 在我, 顯明出來
[00:08:48.000 --> 00:08:59.000]  即是說, 其實不是保羅得, 不是保羅很強壯, 或者頂得住
[00:08:59.000 --> 00:09:04.000]  不是, 是有個寶貝, 有個福音, 有個基督在我心中
[00:09:04.000 --> 00:09:11.000]  原來每一次受苦的時候, 就想起為他受苦的傳, 丁十字計的耶穌
[00:09:11.000 --> 00:09:14.000]  每一次, 神的大能, 聖靈的能力
[00:09:14.000 --> 00:09:16.000]  即是, 見到司祥傳一針八字
[00:09:16.000 --> 00:09:22.000]  讓聖靈各民眾在你們身上, 得盡能力, 去到不同地方, 作耶穌的見證
[00:09:22.000 --> 00:09:30.000]  聖靈給他有能力, 去牽引, 去面對當下不同的挑戰和困難
[00:09:30.000 --> 00:09:35.000]  說到這裡, 除了加拉衣之母以後, 我們跟隨主一腳中行
[00:09:35.000 --> 00:09:41.000]  保羅受苦, 提摩太受苦, 逆勢力代理的上陀都受苦
[00:09:41.000 --> 00:09:46.000]  苦難淪落在我們身上, 是很自然的事
[00:09:46.000 --> 00:09:50.000]  如果你覺得福音是寶貴的
[00:09:50.000 --> 00:09:53.000]  你覺得福音是改變你的生命
[00:09:53.000 --> 00:09:57.000]  你覺得福音是你生命的目標和至寶的時候
[00:09:57.000 --> 00:10:01.000]  你有一個心理預備
[00:10:01.000 --> 00:10:06.000]  甚至有一個心智, 就是為福音去受苦
[00:10:06.000 --> 00:10:11.000]  但保羅不單止說他自身經歷
[00:10:11.000 --> 00:10:17.000]  他也說神在眾聖徒身上, 做了三件事
[00:10:17.000 --> 00:10:24.000]  以至提摩太, 以弗所教會信徒, 甚至柴村家的眾弟子們
[00:10:24.000 --> 00:10:28.000]  我們都可以為福音忍受苦難
[00:10:28.000 --> 00:10:31.000]  他說了三個行動, 是今天的經文當中
[00:10:31.000 --> 00:10:35.000]  包括什麼呢? 他說神是拯救的神
[00:10:35.000 --> 00:10:39.000]  神是呼召的神, 神是懲罰的神
[00:10:39.000 --> 00:10:42.000]  我們先看神是拯救的神
[00:10:42.000 --> 00:10:45.000]  第十一, 一節的下半節
[00:10:45.000 --> 00:10:53.000]  保羅說到他從一切苦難當中, 主都把他救出了
[00:10:53.000 --> 00:10:55.000]  是什麼意思呢? 夏文有說
[00:10:55.000 --> 00:10:59.000]  因為第四章差不多結束這封書信的時候
[00:10:59.000 --> 00:11:06.000]  他說到我初次申訴去到和馬的地方, 去到上告海撒
[00:11:06.000 --> 00:11:12.000]  初次申訴沒有人來幫助, 沒人幫他, 每個人都離開他
[00:11:12.000 --> 00:11:17.000]  但是唯有主站在他旁邊, 加給他力量
[00:11:17.000 --> 00:11:21.000]  讓他將福音傳明, 叫外邦人都聽見
[00:11:21.000 --> 00:11:27.000]  是神自己, 是神支持, 鞏固保羅這樣的行動
[00:11:27.000 --> 00:11:32.000]  並且保羅說, 不單止這樣, 不單止福音傳明
[00:11:32.000 --> 00:11:36.000]  並且說, 我必從獅子的口裡被救出來
[00:11:36.000 --> 00:11:42.000]  我們上一次說過, 獅子指向, 避得前書五章八節
[00:11:42.000 --> 00:11:46.000]  遍地猶恨, 沉覓, 可吞吃的人, 撒旦魔鬼
[00:11:46.000 --> 00:11:50.000]  他會從撒旦的攻擊, 特別攻擊保羅
[00:11:50.000 --> 00:11:53.000]  信靠耶穌基督的心, 這個的向度
[00:11:53.000 --> 00:11:59.000]  神救他出來, 不單止當下在羅馬的地方救他出來
[00:11:59.000 --> 00:12:04.000]  保羅說什麼? 主必救我, 用將來的, future tense
[00:12:04.000 --> 00:12:07.000]  將來的, 主必救我脫離諸般的凶惡
[00:12:07.000 --> 00:12:12.000]  並救我進他的天國, 願榮耀歸給他人, 直到永遠, 永遠, 永遠, 盼望
[00:12:12.000 --> 00:12:17.000]  保羅他也知道, 他所信的神, 是一個救他的神
[00:12:17.000 --> 00:12:21.000]  過去如是, 今日如是, 將來都是
[00:12:21.000 --> 00:12:25.000]  因為我們的主, 是這樣的神
[00:12:25.000 --> 00:12:29.000]  保羅會以一句用主, curious這個字
[00:12:29.000 --> 00:12:32.000]  是主引, 主權
[00:12:32.000 --> 00:12:35.000]  我們的神是滿有主權的神
[00:12:35.000 --> 00:12:39.000]  剛才志明在禱告當中, 打我們領土的時候
[00:12:39.000 --> 00:12:43.000]  天上地下, 所有權利都是屬於他的
[00:12:43.000 --> 00:12:48.000]  萬室都要跪拜, 萬口都要承認, 我們耶穌基督是主
[00:12:48.000 --> 00:12:51.000]  使榮耀歸給父神, curious
[00:12:51.000 --> 00:12:54.000]  我們的主是一個滿有權能的神
[00:12:54.000 --> 00:12:58.000]  正正因為這樣, 主是滿有權能
[00:12:58.000 --> 00:13:01.000]  能夠拯救過去, 現在, 將來
[00:13:01.000 --> 00:13:04.000]  他還怕什麼? 仁伯太
[00:13:04.000 --> 00:13:08.000]  你傳福音受迫, 還怕什麼?
[00:13:08.000 --> 00:13:11.000]  不需要怕
[00:13:14.000 --> 00:13:18.000]  周永輝博士, 南北宣的堂主任
[00:13:18.000 --> 00:13:21.000]  在去年和幾位宣道會的金人
[00:13:21.000 --> 00:13:28.000]  共參加了在韓國舉行的第四屆國喪大會
[00:13:28.000 --> 00:13:32.000]  上年九月, 被致全世界二百個國家
[00:13:32.000 --> 00:13:37.000]  五千國的宣道領袖, 去了這個地方
[00:13:37.000 --> 00:13:41.000]  周博士現在回來, 和我們執委
[00:13:41.000 --> 00:13:44.000]  分享大會的第四天主題
[00:13:44.000 --> 00:13:47.000]  受擊敗的教會
[00:13:47.000 --> 00:13:50.000]  他分享到其中一個, 右上角這張圖
[00:13:50.000 --> 00:13:53.000]  來自以往的Pastor Sam
[00:13:53.000 --> 00:13:57.000]  他是一個穆斯林的歸主者, 他的經歷
[00:13:57.000 --> 00:14:00.000]  Pastor Sam在台上說
[00:14:00.000 --> 00:14:04.000]  十四年前, 出席第三屆的國喪會議
[00:14:04.000 --> 00:14:08.000]  那時是二零一一年, 在南非開普敦舉行
[00:14:08.000 --> 00:14:13.000]  他去完國喪會議後, 回到伊朗
[00:14:13.000 --> 00:14:16.000]  不到六十天, 就被抓去坐牢
[00:14:16.000 --> 00:14:20.000]  坐了五年牢
[00:14:20.000 --> 00:14:24.000]  不過他分享的時候, 並不覺得很哀傷
[00:14:24.000 --> 00:14:28.000]  他是很喜樂地講述他自身的經歷
[00:14:28.000 --> 00:14:31.000]  其中他說, 在一九七四年
[00:14:31.000 --> 00:14:35.000]  第一屆國喪會議, 開始在瑞士
[00:14:35.000 --> 00:14:38.000]  開始國喪會議的時候
[00:14:38.000 --> 00:14:41.000]  他說伊朗只有五百個信徒
[00:14:41.000 --> 00:14:44.000]  五百個穆斯林的歸主者
[00:14:44.000 --> 00:14:47.000]  但到現在, 過了這麼多年
[00:14:47.000 --> 00:14:50.000]  他說伊朗是一個甚麼地方呢?
[00:14:50.000 --> 00:14:54.000]  是一個無數心靈打開的封閉之地
[00:14:54.000 --> 00:14:59.000]  很多人, 以十萬人, 特別是年輕一代
[00:14:59.000 --> 00:15:05.000]  看到政權, 看到很多不同的不義公義的事
[00:15:05.000 --> 00:15:07.000]  發生在伊朗身上
[00:15:07.000 --> 00:15:12.000]  他們很多年輕一代, 轉向尋找真理
[00:15:12.000 --> 00:15:17.000]  接著, 周穆斯聽完這個巴塞斯坦
[00:15:17.000 --> 00:15:20.000]  在台上的分享
[00:15:20.000 --> 00:15:24.000]  就迫不得已坐牢, 也講述自己的自身經歷
[00:15:24.000 --> 00:15:27.000]  他這樣說, 他自己寫到寫到甚麼
[00:15:27.000 --> 00:15:30.000]  每一個信徒都有艱難的時候
[00:15:30.000 --> 00:15:32.000]  我們會有憂骨的時候
[00:15:32.000 --> 00:15:36.000]  我們不要否認這些經歷, 每個人都會經歷的
[00:15:36.000 --> 00:15:39.000]  不過同時我們都要問自己
[00:15:39.000 --> 00:15:43.000]  究竟我們所經歷的事, 是否真的這麼難呢?
[00:15:43.000 --> 00:15:46.000]  聽了這個心靈見證
[00:15:46.000 --> 00:15:50.000]  我們所經歷的事, 是否真的這麼困難呢?
[00:15:50.000 --> 00:15:54.000]  放在一個基督徒受苦難的光譜
[00:15:54.000 --> 00:15:58.000]  在光譜當中, 全世界有很多個
[00:15:58.000 --> 00:16:02.000]  差不多有十九二十億的穆斯林
[00:16:02.000 --> 00:16:05.000]  也有很多大職全職的宣教士
[00:16:05.000 --> 00:16:07.000]  在這麼困難的地方宣教
[00:16:07.000 --> 00:16:10.000]  也有很多穆斯林的歸主者
[00:16:10.000 --> 00:16:14.000]  可能信了耶穌之後, 被趕離自己的家鄉
[00:16:14.000 --> 00:16:18.000]  失去工作, 甚至被鞭打, 受死
[00:16:18.000 --> 00:16:20.000]  在一個這麼苦難的光譜當中
[00:16:20.000 --> 00:16:23.000]  我們站在甚麼位置呢?
[00:16:23.000 --> 00:16:26.000]  我們站在甚麼位置呢?
[00:16:26.000 --> 00:16:28.000]  在這麼幽暗的時代
[00:16:28.000 --> 00:16:31.000]  全世界有二百多個國家
[00:16:31.000 --> 00:16:34.000]  不同的信徒在不同的地位
[00:16:34.000 --> 00:16:38.000]  我們會否也像其他信徒一樣
[00:16:38.000 --> 00:16:42.000]  在黑暗的時代, 作為一點光
[00:16:42.000 --> 00:16:48.000]  讓這點光散發著神榮耀的光輝呢?
[00:16:48.000 --> 00:16:50.000]  很值得我們思考
[00:16:50.000 --> 00:16:53.000]  有時候我們面對困難
[00:16:53.000 --> 00:16:58.000]  好像絕路一樣
[00:16:58.000 --> 00:17:01.000]  但再望遠一點, 望向世界
[00:17:01.000 --> 00:17:03.000]  望向其他受苦的基督徒
[00:17:03.000 --> 00:17:06.000]  其實可能我們所面對的困難
[00:17:06.000 --> 00:17:09.000]  也不是這麼困難
[00:17:09.000 --> 00:17:11.000]  香港好像過去幾年
[00:17:11.000 --> 00:17:12.000]  經歷了很多事
[00:17:12.000 --> 00:17:15.000]  但仍然我們可以在這裡自由崇拜
[00:17:15.000 --> 00:17:17.000]  最少不會有公安坐在這裡
[00:17:17.000 --> 00:17:19.000]  聽崇拜過, 其他人不知要過
[00:17:19.000 --> 00:17:22.000]  我們已經變成了一個命運派
[00:17:22.000 --> 00:17:25.000]  我們已經懂得關起門關不開
[00:17:25.000 --> 00:17:29.000]  還未到達那個境地
[00:17:29.000 --> 00:17:32.000]  沒錯, 我們在傳福音時
[00:17:32.000 --> 00:17:36.000]  可能被取笑, 被邊緣化
[00:17:36.000 --> 00:17:44.000]  但也未至於被鞭打, 坐牢, 甚至被殺
[00:17:44.000 --> 00:17:47.000]  殺身體, 不過殺命運, 當然沒有效
[00:17:47.000 --> 00:17:50.000]  唯有將身體靈魂都滅在地獄的正義下
[00:17:50.000 --> 00:17:54.000]  經歷上, 我們的主, Kyrios
[00:17:54.000 --> 00:17:56.000]  是滿有權兵的主
[00:17:56.000 --> 00:17:59.000]  當我們信靠他的時候
[00:17:59.000 --> 00:18:02.000]  他會幫助我們, 兼顧我們
[00:18:02.000 --> 00:18:06.000]  特別用兼顧的信心去抵擋壓迫者的計謀
[00:18:06.000 --> 00:18:10.000]  讓我們像保羅, 提摩太一樣
[00:18:10.000 --> 00:18:14.000]  為福音, 為主站立得穩
[00:18:14.000 --> 00:18:19.000]  第二點, 神是那位除了拯救我們, 是呼召的神
[00:18:19.000 --> 00:18:23.000]  不但如此, 凡立志在基督耶穌裡
[00:18:23.000 --> 00:18:26.000]  敬虔道日的, 都要受逼迫
[00:18:26.000 --> 00:18:30.000]  保羅在這裡寫, 最少有兩個動向
[00:18:30.000 --> 00:18:32.000]  第一, 剛才所說的
[00:18:32.000 --> 00:18:37.000]  提摩太受苦, 其實不是提摩太受苦
[00:18:37.000 --> 00:18:39.000]  我也受苦了, 保羅
[00:18:39.000 --> 00:18:41.000]  但所有跟從耶穌基督的人
[00:18:41.000 --> 00:18:43.000]  相信主的人都會受苦
[00:18:43.000 --> 00:18:48.000]  所以不要覺得自己受苦是一個很特別的個案
[00:18:48.000 --> 00:18:52.000]  好像只有自己才受苦, 其他人不會的
[00:18:52.000 --> 00:18:54.000]  不是, 每個人都會
[00:18:54.000 --> 00:18:55.000]  這是第一
[00:18:55.000 --> 00:18:58.000]  第二, 我想更重要的是
[00:18:58.000 --> 00:18:59.000]  他會說什麼呢?
[00:18:59.000 --> 00:19:01.000]  其實這裡說什麼呢?
[00:19:01.000 --> 00:19:05.000]  立志要敬虔道日
[00:19:05.000 --> 00:19:11.000]  其實是一個生命的取向
[00:19:11.000 --> 00:19:13.000]  一個立志
[00:19:13.000 --> 00:19:15.000]  這個跟第十節
[00:19:15.000 --> 00:19:17.000]  第十節的那個說什麼呢?
[00:19:17.000 --> 00:19:19.000]  他說我們有一個志向
[00:19:19.000 --> 00:19:21.000]  保留這個志向
[00:19:21.000 --> 00:19:23.000]  Life is a purpose
[00:19:23.000 --> 00:19:25.000]  人生有目的的
[00:19:25.000 --> 00:19:29.000]  我們不是每天吃完又睡, 睡完又吃
[00:19:29.000 --> 00:19:31.000]  就度過一生
[00:19:31.000 --> 00:19:34.000]  我們有一個higher aim
[00:19:34.000 --> 00:19:36.000]  或者highest aim
[00:19:36.000 --> 00:19:39.000]  人生有一個很終極的目標
[00:19:39.000 --> 00:19:42.000]  目標是臨前十章三一節
[00:19:42.000 --> 00:19:44.000]  或是或後都要榮耀神
[00:19:44.000 --> 00:19:47.000]  那個會不會是我們的highest aim?
[00:19:47.000 --> 00:19:49.000]  無論做什麼都好
[00:19:49.000 --> 00:19:51.000]  都是神, 關乎神
[00:19:51.000 --> 00:19:53.000]  言行舉動
[00:19:53.000 --> 00:19:55.000]  起居任食作息
[00:19:55.000 --> 00:19:57.000]  都是神
[00:19:57.000 --> 00:19:59.000]  正正因為保羅說
[00:19:59.000 --> 00:20:01.000]  我們要凡是受逼迫的
[00:20:01.000 --> 00:20:04.000]  但我們是在耶穌基督的
[00:20:04.000 --> 00:20:06.000]  所以我們有一個志向
[00:20:06.000 --> 00:20:08.000]  心志
[00:20:08.000 --> 00:20:10.000]  這個心志能力
[00:20:10.000 --> 00:20:12.000]  就是一生要抱實氣活
[00:20:12.000 --> 00:20:14.000]  一生就去服事
[00:20:14.000 --> 00:20:16.000]  屬於神
[00:20:16.000 --> 00:20:21.000]  我們有雙重的nationality
[00:20:21.000 --> 00:20:22.000]  身份
[00:20:22.000 --> 00:20:25.000]  我們地上可能是中國香港籍
[00:20:25.000 --> 00:20:28.000]  但我們有天國的身份
[00:20:28.000 --> 00:20:30.000]  天國子民的身份
[00:20:30.000 --> 00:20:33.000]  這是《彥法所書》三章尾說了
[00:20:33.000 --> 00:20:35.000]  我們有雙重的身份
[00:20:35.000 --> 00:20:37.000]  不要單單看著地上的身份
[00:20:37.000 --> 00:20:39.000]  不要單單思念地上的事
[00:20:39.000 --> 00:20:41.000]  也要思念天上的事
[00:20:41.000 --> 00:20:43.000]  這個屬靈向度
[00:20:43.000 --> 00:20:45.000]  是幫助我們
[00:20:45.000 --> 00:20:50.000]  提摩太幫助保羅提摩太
[00:20:50.000 --> 00:20:53.000]  以福所教會思考到
[00:20:53.000 --> 00:20:59.000]  全福音不是我們想怎樣就怎樣
[00:20:59.000 --> 00:21:02.000]  我們的心思意念不是
[00:21:02.000 --> 00:21:04.000]  屬於耶穌基督的
[00:21:04.000 --> 00:21:06.000]  是在耶穌基督的
[00:21:06.000 --> 00:21:07.000]  我們都有一個心志
[00:21:07.000 --> 00:21:09.000]  敬天道人
[00:21:09.000 --> 00:21:11.000]  去親近神
[00:21:11.000 --> 00:21:13.000]  去倚靠神
[00:21:13.000 --> 00:21:15.000]  去敬拜神
[00:21:15.000 --> 00:21:17.000]  在十七世紀
[00:21:17.000 --> 00:21:22.000]  十七世紀一批英國和蘇格蘭的神學家
[00:21:22.000 --> 00:21:23.000]  寫了
[00:21:23.000 --> 00:21:26.000]  Westminster Shorthand Criticism
[00:21:26.000 --> 00:21:30.000]  即是韋敏斯德
[00:21:30.000 --> 00:21:34.000]  即是Westminster的小妙理教答問
[00:21:34.000 --> 00:21:35.000]  其實是在說
[00:21:35.000 --> 00:21:37.000]  這本書是說
[00:21:37.000 --> 00:21:39.000]  究竟基督徒的
[00:21:39.000 --> 00:21:43.000]  如何在日常生活中
[00:21:43.000 --> 00:21:46.000]  如何會出一個合神心意的心靈
[00:21:46.000 --> 00:21:48.000]  他有很多條問題
[00:21:48.000 --> 00:21:50.000]  第一條問題是
[00:21:50.000 --> 00:21:53.000]  人生終極目標是甚麼
[00:21:53.000 --> 00:21:55.000]  人生最終極目標
[00:21:55.000 --> 00:21:57.000]  答案是甚麼
[00:21:57.000 --> 00:21:59.000]  人生最終極目標
[00:21:59.000 --> 00:22:01.000]  是為了要神
[00:22:01.000 --> 00:22:02.000]  不單止為了要神
[00:22:02.000 --> 00:22:05.000]  並且以神為樂
[00:22:05.000 --> 00:22:08.000]  讓生命當中會經歷到
[00:22:08.000 --> 00:22:12.000]  我們可以與神同行同剛
[00:22:12.000 --> 00:22:17.000]  去將這個寶貴活潑的福音傳廣開去
[00:22:17.000 --> 00:22:20.000]  這就是我們活著的意思
[00:22:20.000 --> 00:22:23.000]  我讀過一篇文章
[00:22:23.000 --> 00:22:25.000]  他這樣寫
[00:22:25.000 --> 00:22:31.000]  究竟世界有多少個銀河系
[00:22:31.000 --> 00:22:34.000]  這個世界有多少顆星
[00:22:34.000 --> 00:22:36.000]  他說真的多到數不完
[00:22:36.000 --> 00:22:37.000]  對的沒錯
[00:22:37.000 --> 00:22:38.000]  他說
[00:22:38.000 --> 00:22:40.000]  有篇文章說
[00:22:40.000 --> 00:22:42.000]  究竟有多少顆星
[00:22:42.000 --> 00:22:43.000]  他說
[00:22:43.000 --> 00:22:45.000]  自從有人類以來
[00:22:45.000 --> 00:22:48.000]  所說的每一個說話
[00:22:48.000 --> 00:22:51.000]  即是大明全球有八十億人
[00:22:51.000 --> 00:22:53.000]  你也猜八十億人
[00:22:53.000 --> 00:22:55.000]  今天就說今天
[00:22:55.000 --> 00:22:57.000]  說你不是說你自己
[00:22:57.000 --> 00:22:59.000]  我今天說一萬字
[00:22:59.000 --> 00:23:02.000]  全球八十億人就是八十億乘一萬字
[00:23:02.000 --> 00:23:05.000]  即是這麼多個字
[00:23:05.000 --> 00:23:06.000]  他說
[00:23:06.000 --> 00:23:09.000]  自從有人類歷史以來
[00:23:09.000 --> 00:23:11.000]  到現在
[00:23:11.000 --> 00:23:13.000]  所累積的
[00:23:13.000 --> 00:23:15.000]  所說過的說話
[00:23:15.000 --> 00:23:18.000]  都少過這個宇宙銀河系的星
[00:23:20.000 --> 00:23:22.000]  就是這麼多
[00:23:22.000 --> 00:23:24.000]  那你說為何做這麼多
[00:23:24.000 --> 00:23:28.000]  我知道所有宇宙萬物都是神創造
[00:23:28.000 --> 00:23:30.000]  為何神創造這麼多
[00:23:30.000 --> 00:23:33.000]  創造這麼多顆星
[00:23:33.000 --> 00:23:36.000]  就是讓我們
[00:23:36.000 --> 00:23:38.000]  屬於神的人
[00:23:38.000 --> 00:23:40.000]  見到神的遺物
[00:23:40.000 --> 00:23:43.000]  你真的要見到
[00:23:43.000 --> 00:23:45.000]  你今晚試試晚上望一望
[00:23:45.000 --> 00:23:47.000]  如果抬頭一望有星的話
[00:23:47.000 --> 00:23:49.000]  你就說其實
[00:23:49.000 --> 00:23:51.000]  為何神創造這麼多顆星
[00:23:51.000 --> 00:23:53.000]  是要讓我認識有一個神
[00:23:53.000 --> 00:23:55.000]  這個神不單止偉大
[00:23:55.000 --> 00:23:57.000]  祂為我而死
[00:23:57.000 --> 00:24:00.000]  這麼多
[00:24:00.000 --> 00:24:02.000]  這麼偉大的神
[00:24:02.000 --> 00:24:04.000]  滿有權柄的神
[00:24:04.000 --> 00:24:06.000]  祂為我而死
[00:24:06.000 --> 00:24:08.000]  而我一生很想放在
[00:24:08.000 --> 00:24:10.000]  神的手中
[00:24:10.000 --> 00:24:12.000]  愛我到底的神的手中
[00:24:12.000 --> 00:24:14.000]  讓祂使用我
[00:24:14.000 --> 00:24:15.000]  以致到甚麼
[00:24:15.000 --> 00:24:17.000]  讓世人見到我的時候
[00:24:17.000 --> 00:24:19.000]  天上創造宇宙
[00:24:19.000 --> 00:24:21.000]  繁星的神位
[00:24:21.000 --> 00:24:23.000]  從我身上見到神位
