
[00:00:00.000 --> 00:00:05.000]  黨會的節目部邀請了七位統工
[00:08:11.800 --> 00:08:14.800]  與全球教會合作
[00:08:14.800 --> 00:08:17.400]  則在公元二千之際
[00:08:17.400 --> 00:08:23.400]  將赴英傳遍地球是個可期的目標
[00:08:23.400 --> 00:08:27.400]  華赴運動已跟隨其中同等萬民
[00:08:27.400 --> 00:08:30.400]  成為未來的動員動點
[00:08:30.400 --> 00:08:34.800]  我們卻迫切需要從上頭來的智慧
[00:08:34.800 --> 00:08:37.800]  才能洞察這世代
[00:08:37.800 --> 00:08:40.800]  明瞭萬民的處境實況
[00:08:40.800 --> 00:08:44.800]  更實切地回應他們的獨特需要
[00:08:44.800 --> 00:08:48.200]  宣揚那榮耀的呼應
[00:08:48.200 --> 00:08:50.400]  邁向二千
[00:08:50.400 --> 00:08:56.800]  邁向二千的世界正處於一個巨變的年代
[00:08:56.800 --> 00:08:58.600]  科技的進展
[00:08:58.600 --> 00:09:00.200]  資訊的爆炸
[00:09:00.200 --> 00:09:02.200]  共產主義的崩潰
[00:09:02.200 --> 00:09:05.000]  資本主義造成物慾氾濫
[00:09:05.000 --> 00:09:07.000]  個人主義的抬頭
[00:09:07.000 --> 00:09:09.600]  天災人禍的劇增
[00:09:09.600 --> 00:09:11.600]  自然環境的破壞
[00:09:11.600 --> 00:09:13.200]  道德的真空
[00:09:13.200 --> 00:09:14.800]  人際的疏離
[00:09:14.800 --> 00:09:17.600]  迷信的盛行等等
[00:09:17.600 --> 00:09:22.200]  都將我們更深信基督再來的日子近了
[00:09:22.200 --> 00:09:24.600]  我們願意效法基督
[00:09:24.600 --> 00:09:27.400]  以不同的身分與角色
[00:09:27.400 --> 00:09:31.600]  面對這萬變的世代
[00:09:31.600 --> 00:09:34.800]  多元化的世界帶來相對主義
[00:09:34.800 --> 00:09:36.800]  宗教混合主義
[00:09:36.800 --> 00:09:38.800]  半神主義的危機
[00:09:38.800 --> 00:09:42.600]  我們為了穩立在聖經的真理上
[00:09:42.600 --> 00:09:45.000]  基督為唯一的道路
[00:09:45.000 --> 00:09:49.200]  並高舉那信誓不變的三一真神
[00:09:49.200 --> 00:09:53.400]  同時我們追隨基督道承肉身的精神
[00:09:53.400 --> 00:09:55.600]  進入不同的人中間
[00:09:55.600 --> 00:09:59.200]  認同並承擔諸般的苦難
[00:09:59.200 --> 00:10:03.800]  並且肯定基督為教會唯一的元首
[00:10:03.800 --> 00:10:05.200]  宗派水多
[00:10:05.200 --> 00:10:07.000]  恩賜所有不同
[00:10:07.000 --> 00:10:10.400]  卻是般適謙虛溫柔仁愛
[00:10:10.400 --> 00:10:12.800]  用愛心互相寬容
[00:10:12.800 --> 00:10:15.000]  用和平彼此聯絡
[00:10:15.000 --> 00:10:19.600]  竭力保守聖靈所賜和唯一的心
[00:10:19.600 --> 00:10:24.400]  世俗化是這世界的秩序趨勢
[00:10:24.400 --> 00:10:27.600]  其特徵包括驚人的巨變
[00:10:27.600 --> 00:10:29.600]  種族主義的爆發
[00:10:29.600 --> 00:10:31.200]  思想的混亂
[00:10:31.200 --> 00:10:32.600]  人性的虛空
[00:10:32.600 --> 00:10:34.400]  價值相對化
[00:10:34.400 --> 00:10:36.200]  及信念的崩潰
[00:10:36.200 --> 00:10:40.600]  我們必須在聖經深深紮根
[00:10:40.600 --> 00:10:43.200]  抵抗世俗化的洪流
[00:10:43.200 --> 00:10:46.400]  宣揚了不變的十字架的呼應
[00:10:46.400 --> 00:10:49.800]  並堅信基督待死與復活
[00:10:49.800 --> 00:10:54.000]  之救贖大功的絕對性與完整性
[00:10:54.000 --> 00:10:57.000]  在這信仰上不容辯指
[00:10:57.000 --> 00:10:59.800]  在生命上保持聖潔
[00:10:59.800 --> 00:11:03.400]  我們仰望那位十字架上的救贖主
[00:11:03.400 --> 00:11:07.400]  長遠活著為我們祈求的大祭司
[00:11:07.400 --> 00:11:11.400]  保守我們入世而不沾染世俗
[00:11:11.400 --> 00:11:16.800]  我們追隨的基督又是受苦的僕人
[00:11:16.800 --> 00:11:20.000]  他指出這是個苦難的世界
[00:11:20.000 --> 00:11:24.000]  包括了貧窮、疾病、環境破壞
[00:11:24.000 --> 00:11:28.600]  天災、戰爭、家庭破裂、人際疏離
[00:11:28.600 --> 00:11:33.400]  所造成的肉體、思想、感情、心靈
[00:11:33.400 --> 00:11:35.400]  多方面的苦楚
[00:11:35.400 --> 00:11:38.600]  基督為他的十字架勝過苦難
[00:11:38.600 --> 00:11:41.200]  以他的鞭傷帶來一日
[00:11:41.200 --> 00:11:45.400]  以他的復活即再來帶來盼望
[00:11:45.400 --> 00:11:49.800]  我們謙卑的承認有逃避苦難的心態
[00:11:49.800 --> 00:11:53.400]  求聖靈賜容器與聖靈
[00:11:53.400 --> 00:11:56.400]  與基督及萬民的苦難認同
[00:11:56.400 --> 00:11:59.000]  不但自己勝過苦難
[00:11:59.000 --> 00:12:04.000]  並為苦難中的人帶來醫治、安慰與盼望
[00:12:04.000 --> 00:12:07.400]  現真、現今
[00:12:07.400 --> 00:12:11.600]  這世界急步邁進諮詢年代
[00:12:11.600 --> 00:12:13.400]  人在諮詢暴漲
[00:12:13.400 --> 00:12:17.600]  再加上電腦和傳播科技的威力中
[00:12:17.600 --> 00:12:20.800]  更加更加迷惘及焦慮
[00:12:20.800 --> 00:12:24.800]  我們深信基督是道路、真理、生命
[00:12:24.800 --> 00:12:31.200]  因此我們必須充分善用現代傳訊的科技
[00:12:31.200 --> 00:12:34.000]  發揮先知功能
[00:12:34.000 --> 00:12:36.800]  傳達從神而來的訊息
[00:12:36.800 --> 00:12:41.000]  在華人教會的文學創作、影音製作
[00:12:41.000 --> 00:12:48.000]  電子傳播、資訊科技等人才及資源都缺乏的情況下
[00:12:48.000 --> 00:12:51.000]  我們懇求求神憐憫
[00:12:51.000 --> 00:12:57.000]  並呼召專業人才投身這不英語文化的戰線
[00:12:57.000 --> 00:13:01.000]  我們面對的是個凌厲的世界
[00:13:01.000 --> 00:13:04.000]  在東方宗教復興
[00:13:04.000 --> 00:13:06.000]  撒旦教張狂
[00:13:06.000 --> 00:13:08.000]  伊多安邪教充斥
[00:13:08.000 --> 00:13:13.000]  新紀元運動New Age Movement擴展的背後
[00:13:13.000 --> 00:13:16.000]  是那些執政的掌權的
[00:13:16.000 --> 00:13:18.000]  玩下這幽暗世界的
[00:13:18.000 --> 00:13:22.000]  以及天空屬靈氣的惡魔
[00:13:22.000 --> 00:13:25.000]  《遺符所書》六章十二節
[00:13:25.000 --> 00:13:27.000]  我們認定基督是神
[00:13:27.000 --> 00:13:31.000]  祂必率領我們在征戰
[00:13:31.000 --> 00:13:34.000]  所以我們迫切祈求
[00:13:34.000 --> 00:13:37.000]  聖徒要聖潔與成熟
[00:13:37.000 --> 00:13:39.000]  工人要統心與合一
[00:13:39.000 --> 00:13:41.000]  教會要全面動員
[00:13:41.000 --> 00:13:43.000]  在凌厲征戰中
[00:13:43.000 --> 00:13:48.000]  依靠聖父、聖子、聖靈而得勝
[00:13:48.000 --> 00:13:54.000]  邁向二遷的華府運動
[00:13:54.000 --> 00:13:57.000]  以跟隨基督為根基
[00:13:57.000 --> 00:13:59.000]  同德萬民為目標
[00:13:59.000 --> 00:14:02.000]  我們齊步邁向二遷
[00:14:02.000 --> 00:14:05.000]  並且定下七個重點
[00:14:05.000 --> 00:14:08.000]  作為各區跟進的指標
[00:14:08.000 --> 00:14:10.000]  教會更新
[00:14:10.000 --> 00:14:13.000]  都市步道、二遷運動
[00:14:13.000 --> 00:14:16.000]  群體步道、同事拆船
[00:14:16.000 --> 00:14:20.000]  關懷中國及華裔動員
[00:14:20.000 --> 00:14:23.000]  我們願意更加努力
[00:14:23.000 --> 00:14:26.000]  促進華人教會在獨立的合一
[00:14:26.000 --> 00:14:29.000]  尊崇聖經的絕對權威
[00:14:29.000 --> 00:14:32.000]  而在非絕對性的問題
[00:14:32.000 --> 00:14:36.000]  傳統、體制、重點與作風等事情上
[00:14:36.000 --> 00:14:40.000]  互相尊重、接納和學習
[00:14:40.000 --> 00:14:43.000]  邁向二遷的華府運動
[00:14:43.000 --> 00:14:45.000]  更要謹守使命
[00:14:45.000 --> 00:14:48.000]  達成「不事傳不音」的目的
[00:14:48.000 --> 00:14:54.000]  願全球華人教會認同並投入華府運動
[00:14:54.000 --> 00:14:58.000]  完成主所託付的不音使命
[00:14:58.000 --> 00:14:59.000]  阿們

