
[00:00:00.000 --> 00:00:06.880]  究竟我們如何在一個越來越懷疑基督教的世界裏繼續分享信仰呢?
[00:04:03.040 --> 00:04:04.680]  和大家分享一下
[00:04:04.680 --> 00:04:10.000]  第一個就是當講道怎樣向一些懷疑者去講道的時候
[00:04:10.000 --> 00:04:16.400]  Tim Keller提出其實我們要將報道和造就、培靈去結合
[00:04:16.400 --> 00:04:20.600]  Tim Keller認為我們不應該將那些向非信徒報道
[00:04:20.600 --> 00:04:24.880]  和向信徒培靈的東西分開出來
[00:04:24.880 --> 00:04:32.960]  因為他認為福音不單止是給非信徒一個入門的門檻
[00:04:32.960 --> 00:04:39.720]  其實更加是信徒生命改變和成長的動力
[00:04:39.720 --> 00:04:42.280]  在每一篇的訊息裏面
[00:04:42.280 --> 00:04:48.920]  Tim Keller建議我們加入一些小小的護教訊息去回應現代人的懷疑
[00:04:48.920 --> 00:04:51.480]  例如當講道聖經權威的時候
[00:04:51.480 --> 00:04:54.640]  Tim Keller就鼓勵我們不要迴避這些問題
[00:04:54.640 --> 00:04:59.320]  而是可以坦白地講出非信徒的掙扎
[00:04:59.320 --> 00:05:05.080]  甚至可以引用一些世俗學者的說話去拆解他們的盲點
[00:05:05.080 --> 00:05:09.120]  如果我們懂得用這種方法去分享
[00:05:09.120 --> 00:05:12.800]  信徒當然聽到會覺得信仰很真實
[00:05:12.800 --> 00:05:16.280]  而非信徒也會覺得他們是被理解
[00:05:16.280 --> 00:05:20.160]  兩班人就可以同時被福音得著
[00:05:20.160 --> 00:05:24.320]  第二就是講道福音怎樣挑戰現代文化
[00:05:24.320 --> 00:05:28.280]  特別是在面對越來越世俗的社會裏面
[00:05:28.280 --> 00:05:32.120]  Tim Keller認為我們不應該一味去迎合文化
[00:05:32.120 --> 00:05:34.120]  也不應該一味去對抗
[00:05:34.120 --> 00:05:38.080]  而是他認為是要為了對抗而適應
[00:05:38.080 --> 00:05:40.440]  Adapting in order to confront
[00:05:40.440 --> 00:05:44.920]  他認為現代文化有一套隱藏的敘事
[00:05:44.920 --> 00:05:49.480]  例如講道主權自我
[00:05:49.480 --> 00:05:52.640]  Sovereign self
[00:05:52.640 --> 00:05:55.400]  社會教我們一套東西
[00:05:55.400 --> 00:05:57.400]  就是最重要是自己開心
[00:05:57.400 --> 00:05:59.400]  要勇於表達自己的慾望
[00:05:59.400 --> 00:06:01.400]  不要理會別人的看法
[00:06:01.400 --> 00:06:03.400]  但Tim Keller就說
[00:06:03.400 --> 00:06:05.400]  當我們聽到這些東西時
[00:06:05.400 --> 00:06:11.280]  我們首先要肯定他們對自由和身份的認同和渴望
[00:06:11.280 --> 00:06:13.280]  這是一個接觸點
[00:06:13.280 --> 00:06:16.880]  然後再指出他們的矛盾
[00:06:16.880 --> 00:06:18.560]  那個位置在哪裏
[00:06:18.560 --> 00:06:22.640]  就是如果我們把自我當作神的話
[00:06:22.640 --> 00:06:26.240]  而是靠自己去賺取成就來肯定自己
[00:06:26.240 --> 00:06:29.840]  最終只會帶來極大的焦慮和迷失
[00:06:29.840 --> 00:06:33.440]  最後我們把別人帶到基督面前
[00:06:33.440 --> 00:06:35.760]  只有在基督的裏面
[00:06:35.760 --> 00:06:39.040]  我們的身份才是神伯伯之餘
[00:06:39.040 --> 00:06:42.240]  是領受而不是自己賺取的
[00:06:42.240 --> 00:06:44.240]  Tim Keller這種方法
[00:06:44.240 --> 00:06:50.800]  就是教我們如何用福音去精準地督促現代人的一些痛處
[00:06:50.800 --> 00:06:59.280]  第三,Tim Keller在書中嘗試結合理性、情感和想像力
[00:06:59.280 --> 00:07:02.560]  他引用神學家Jonathan Edwards的思想
[00:07:02.560 --> 00:07:07.600]  強調人是被自己最愛的事物去驅動的
[00:07:07.600 --> 00:07:11.600]  如果我們單靠理性邏輯去講道理
[00:07:11.600 --> 00:07:12.720]  其實是不夠的
[00:07:12.720 --> 00:07:16.000]  我們必須透過一些想像力和一些例證
[00:07:16.000 --> 00:07:20.240]  去將真理變成真實
[00:07:20.240 --> 00:07:22.880]  Tim Keller舉了一個例子
[00:07:22.880 --> 00:07:26.160]  他就說Jonathan Edwards在講道裏面講過
[00:07:26.160 --> 00:07:31.200]  他說你的好行為在神的審判面前
[00:07:31.200 --> 00:07:38.480]  就好像用蜘蛛網去頂住一塊在掉下來的大石一樣
[00:07:38.480 --> 00:07:45.920]  他說這些圖像一聽就會令人深深印在他的腦海裏面
[00:07:45.920 --> 00:07:51.520]  令聽眾在情感上明白到因典的重要性
[00:07:51.520 --> 00:07:54.320]  所以我們講道或者大茶經的時候
[00:07:54.320 --> 00:07:58.480]  就不要變成一個冰冷的學術匯報
[00:07:58.480 --> 00:08:02.480]  而是要用一些生動的比喻去激發人的想像力
[00:08:02.480 --> 00:08:07.120]  去將基督的美善帶到聽眾的面前
[00:08:07.120 --> 00:08:09.120]  對於我們橫教會來說
[00:08:09.120 --> 00:08:11.600]  其實這本書是一個很好的提醒
[00:08:11.600 --> 00:08:16.080]  特別是橫教會很容易受一些傳統的道德文化影響
[00:08:16.080 --> 00:08:21.520]  很多時候我們不知不覺就將信仰變成一套行為的守則
[00:08:21.520 --> 00:08:26.960]  教導信徒要乖、要服從、要努力去侍奉
[00:08:26.960 --> 00:08:29.600]  去換取上帝的祝福等等
[00:08:29.600 --> 00:08:32.080]  但Tim Keller提醒我們
[00:08:32.080 --> 00:08:37.200]  律法主義就是靠行為得救的理解
[00:08:37.200 --> 00:08:40.160]  反律法主義就是放縱自己
[00:08:40.160 --> 00:08:41.840]  其實是一對雙胞胎
[00:08:41.840 --> 00:08:46.800]  兩者的根源就是因為不相信上帝的良善和恩典
[00:08:46.800 --> 00:08:50.240]  如果我們一味在港台裏面去教訓人
[00:08:50.240 --> 00:08:55.600]  其實只是在強化人心裏面的道德主義
[00:08:55.600 --> 00:08:58.640]  所以唯有我們每一次都高舉恩典
[00:08:58.640 --> 00:09:01.920]  才可以真正去醫治人心
[00:09:01.920 --> 00:09:05.440]  最後Tim Keller在書的結尾提醒我們
[00:09:05.440 --> 00:09:10.240]  港道的前台詞其實是敬拜
[00:09:10.240 --> 00:09:16.960]  真正有能力的港道不是靠花巧和特別的修辭技巧
[00:09:16.960 --> 00:09:24.480]  而是港元首先自己被福音去改變
[00:09:24.480 --> 00:09:32.080]  讓聽眾可以透過港元看到背後聖靈的大能
[00:09:32.080 --> 00:09:34.160]  看到基督的榮耀
[00:09:34.160 --> 00:09:35.680]  今日的分享就到這裏
[00:09:35.680 --> 00:09:37.920]  多謝大家 我們下次再見
