
[00:00:00.000 --> 00:00:02.420]  怎樣才是一間好的教會呢?
[00:03:14.000 --> 00:03:17.200]  分別是Gospel、City和Movement
[00:03:17.200 --> 00:03:21.280]  第一就是Gospel,福音之外
[00:03:21.280 --> 00:03:24.880]  Tim Keller在這本書很重要的地方就是
[00:03:24.880 --> 00:03:28.720]  很強調福音重心,Gospel Centred
[00:03:28.720 --> 00:03:33.200]  他提醒我們福音其實不是基督教倫理
[00:03:33.200 --> 00:03:35.200]  福音不是社會關懷
[00:03:35.200 --> 00:03:37.680]  福音甚至不是說生命改變
[00:03:37.680 --> 00:03:40.880]  福音首先是一個消息
[00:03:40.880 --> 00:03:45.840]  即是基督已經為我們完成了救恩這個消息
[00:03:45.840 --> 00:03:51.600]  而所有之後的根生、復興、公義、宣教等等
[00:03:51.600 --> 00:03:53.600]  這些是福音帶來的結果
[00:03:53.600 --> 00:03:55.600]  而不是福音本身
[00:03:55.600 --> 00:03:59.440]  The Gospel is not the result of the Gospel
[00:03:59.440 --> 00:04:02.640]  所以他說教會要避免兩個極端
[00:04:02.640 --> 00:04:04.640]  第一就是律法主義
[00:04:04.640 --> 00:04:08.640]  另外一個極端就是反律法主義
[00:04:08.640 --> 00:04:10.640]  但他就說真正的福音
[00:04:10.640 --> 00:04:13.840]  也不是說兩者之間的中庸之道
[00:04:13.840 --> 00:04:16.480]  而是在說第三條路
[00:04:16.480 --> 00:04:19.200]  是在說恩典帶來馴服
[00:04:19.200 --> 00:04:21.840]  而不是馴服換取恩典
[00:04:21.840 --> 00:04:27.040]  接著這本書的第二部分就是到城市
[00:04:27.040 --> 00:04:30.880]  這部分也是Tim Keller在書中很獨特的貢獻
[00:04:30.880 --> 00:04:36.240]  他指出其實聖經對於城市是非常重視的
[00:04:36.240 --> 00:04:39.280]  由蒼西基督講到巴別塔
[00:04:39.280 --> 00:04:42.640]  到啟示獨講到新耶路撒冷
[00:04:42.640 --> 00:04:46.240]  其實城市一直都在救贖歷史裏面
[00:04:46.240 --> 00:04:50.320]  城市有罪惡,但城市也有創造力
[00:04:50.320 --> 00:04:56.880]  城市裏面集中人口、有資源、有思想、有文化
[00:04:56.880 --> 00:05:00.080]  如果福音可以進入到城市
[00:05:00.080 --> 00:05:03.760]  就會對整個社會產生非常深遠的影響
[00:05:03.760 --> 00:05:06.800]  所以Tim Keller提出教會不應該逃離城市
[00:05:06.800 --> 00:05:10.160]  走去鄉郊,走去其他地方教修
[00:05:10.160 --> 00:05:13.280]  他說教會應該學習如何愛城市
[00:05:13.280 --> 00:05:15.280]  應該去理解我們的城市
[00:05:15.280 --> 00:05:17.840]  我們要服侍我們的城市
[00:05:17.840 --> 00:05:21.440]  第三部分是Movement講運動
[00:05:21.440 --> 00:05:26.800]  Tim Keller認為教會不單只是一個機構
[00:05:26.800 --> 00:05:28.800]  它不是一個Institution那麼簡單
[00:05:28.800 --> 00:05:30.800]  而是一個Movement、一個運動
[00:05:30.800 --> 00:05:34.800]  很多教會最後變成我們要維持制度
[00:05:34.800 --> 00:05:39.600]  我們要維持聚會、維持格構、維持財政
[00:05:39.600 --> 00:05:42.160]  但失去了我們的使命感
[00:05:42.160 --> 00:05:45.360]  另一方面有些群體強調運動
[00:05:45.360 --> 00:05:49.600]  完全沒有制度,結果缺乏延續性
[00:05:49.600 --> 00:05:56.240]  所以Tim Keller主張教會同時應該是一個機構
[00:05:56.240 --> 00:06:01.600]  既有生命,亦有秩序、有創新、亦有傳承
[00:06:01.600 --> 00:06:13.760]  Santa Church這本書最大貢獻不是提倡一套教會模式讓我們學習
[00:06:13.760 --> 00:06:16.720]  反而是提醒我們
[00:06:16.720 --> 00:06:22.720]  很多時候教會以為我們很跟聖經
[00:06:22.720 --> 00:06:25.280]  但其實不單止我們要跟聖經
[00:06:25.280 --> 00:06:32.320]  我們還需要有一套對於文化、對於社會、對於城市的使命
[00:06:32.320 --> 00:06:36.320]  教會不單止活在城市裏
[00:06:36.320 --> 00:06:41.200]  教會亦一直在想像城市、在詮釋城市
[00:06:41.200 --> 00:06:44.400]  並且在試圖改變城市
[00:06:44.400 --> 00:06:52.800]  而這種城市想像亦是做城市研究、做神學研究很值得去探討的地方
[00:06:52.800 --> 00:06:56.320]  今日就跟大家分享這本書「Santa Church」
[00:06:56.320 --> 00:06:58.800]  多謝大家,我們下次再見,拜拜
