
[00:00:00.000 --> 00:00:05.640]  各位,我是張詠迅
[00:01:45.600 --> 00:01:47.960]  他寫當時的基督徒
[00:01:47.960 --> 00:01:51.720]  怎樣照顧當時的人
[00:01:51.720 --> 00:01:54.000]  甚至連性命都不要
[00:01:54.000 --> 00:01:54.880]  他這樣說
[00:01:54.880 --> 00:01:59.680]  The best of our brothers lost their lives in this manner
[00:01:59.680 --> 00:02:02.560]  A number of priesbethors, deacons and laymen
[00:02:02.560 --> 00:02:04.280]  were in high recommendation
[00:02:04.280 --> 00:02:06.760]  so that death in this form
[00:02:06.760 --> 00:02:10.280]  the result of great piety and strong faith
[00:02:10.280 --> 00:02:14.120]  seems in everyday the equal of martyrdom
[00:02:14.120 --> 00:02:18.520]  即是當時的一班長老、執事、平信徒
[00:02:18.520 --> 00:02:22.000]  他們甚至以一個殉道者的心態
[00:02:22.000 --> 00:02:25.520]  去服侍當時的這班病死的人
[00:02:25.520 --> 00:02:28.560]  以至很多人連性命都沒有
[00:02:28.560 --> 00:02:31.000]  這件事對當時的異教徒來說
[00:02:31.000 --> 00:02:32.040]  他們很震撼
[00:02:32.040 --> 00:02:34.480]  為什麼基督徒可以這麼有愛心
[00:02:34.480 --> 00:02:36.320]  除了這件事之外
[00:02:36.320 --> 00:02:37.480]  基督徒很強調
[00:02:37.480 --> 00:02:38.680]  譬如婦女方面
[00:02:38.680 --> 00:02:41.040]  亦對當時的一個重男輕女
[00:02:41.040 --> 00:02:43.520]  一個父系的社會都影響很大
[00:02:43.520 --> 00:02:45.040]  所以這本書說
[00:02:45.040 --> 00:02:48.040]  How that resulted in Christian women
[00:02:48.040 --> 00:02:50.520]  enjoying superior status
[00:02:50.520 --> 00:02:54.000]  in comparison with the pagan counterparts
[00:02:54.000 --> 00:02:56.880]  他說基督徒這種強調婦女
[00:02:56.880 --> 00:02:59.240]  平等地位這種意識形態
[00:02:59.240 --> 00:03:02.000]  甚至令到整個信主的婦女
[00:03:02.000 --> 00:03:04.840]  感到自己很超然
[00:03:04.840 --> 00:03:06.000]  很能夠凌駕
[00:03:06.000 --> 00:03:10.480]  令到當時的基督徒極具吸引
[00:03:10.480 --> 00:03:11.840]  這本書甚至說到
[00:03:11.840 --> 00:03:16.440]  基督徒在當時的世界裏面
[00:03:16.440 --> 00:03:21.800]  年紀、年歲甚至活得比異教徒更長命
[00:03:21.800 --> 00:03:24.160]  是因為他們那種信心
[00:03:24.160 --> 00:03:26.240]  活得一種釋放的心理
[00:03:26.240 --> 00:03:28.040]  以致影響很大
[00:03:28.040 --> 00:03:30.560]  這本書差不多可以填補了
[00:03:30.560 --> 00:03:33.160]  我的知識上的空間
[00:03:33.160 --> 00:03:34.920]  以致到原來如此
[00:03:34.920 --> 00:03:37.960]  所以當威斯丹丁將基督教變成國教的時候
[00:03:37.960 --> 00:03:39.840]  當時六個人裏面
[00:03:39.840 --> 00:03:41.880]  其實已經有一個基督徒
[00:03:41.880 --> 00:03:43.440]  所以我只想
[00:03:43.440 --> 00:03:45.120]  其實你跟我今天換去香港
[00:03:45.120 --> 00:03:46.840]  我們又經過疫情
[00:03:46.840 --> 00:03:51.080]  現在香港前路都未明
[00:03:51.080 --> 00:03:52.320]  但我覺得最重要的是
[00:03:52.320 --> 00:03:54.920]  我們基督徒究竟我們人生怎樣活
[00:03:54.920 --> 00:03:57.600]  信仰對於我們來說有多大的震撼
[00:03:57.600 --> 00:03:59.320]  我覺得這個反而是最重要
[00:03:59.320 --> 00:04:01.000]  以致到順境逆境
[00:04:01.000 --> 00:04:02.760]  我們都能夠活得閃亮
[00:04:02.760 --> 00:04:06.120]  我將這本書鄭重推介給大家
[00:04:06.120 --> 00:04:11.120]  多謝您收睇時局新聞,再會!

