
[00:00:00.000 --> 00:00:14.200]  歡迎大家來到漢業獨經Channel
[00:05:21.860 --> 00:05:23.860]  我們同心低頭告告
[00:05:23.860 --> 00:05:27.860]  聖潔崇高知了一切
[00:05:27.860 --> 00:05:32.860]  但同時又慈愛憐憫苦就死人的三一神
[00:05:32.860 --> 00:05:37.860]  感謝主因為祢是色在、金在、而後永在的那位
[00:05:37.860 --> 00:05:40.860]  並且祢是從來都不改變
[00:05:40.860 --> 00:05:42.860]  所以我們信靠祢
[00:05:42.860 --> 00:05:45.860]  感謝祢樂於向我們揭示祢自己
[00:05:45.860 --> 00:05:48.860]  透過聖經的說話和記載
[00:05:48.860 --> 00:05:50.860]  讓我們可以認識祢
[00:05:50.860 --> 00:05:53.860]  上主,我們非常有限
[00:05:53.860 --> 00:05:57.860]  所以原真祢的聖靈來啟迪我們
[00:05:57.860 --> 00:06:00.860]  並且令我們生命因為這樣的緣故得著轉化
[00:06:00.860 --> 00:06:03.860]  使我們能夠活出祢的生命
[00:06:03.860 --> 00:06:06.860]  我們禱告是奉主耶穌基督的名
[00:06:06.860 --> 00:06:08.860]  阿門
[00:06:08.860 --> 00:06:12.860]  今天我揀選的經文
[00:06:12.860 --> 00:06:17.860]  來自《約拿書》第四章全章
[00:06:17.860 --> 00:06:23.860]  我用的版本是新漢語日本的網上版
[00:06:23.860 --> 00:06:25.860]  《約拿書》先倒為快
[00:06:25.860 --> 00:06:27.860]  我讀一次給大家聽
[00:06:28.860 --> 00:06:31.860]  《約拿書》第四章第一節
[00:06:31.860 --> 00:06:35.860]  「這是使約拿大為不快,十分惱怒
[00:06:35.860 --> 00:06:37.860]  他向上主祈禱呼求:
[00:06:37.860 --> 00:06:39.860]  「哦!上主啊!
[00:06:39.860 --> 00:06:43.860]  這豈不是還在我本國時我說過的話嗎?
[00:06:43.860 --> 00:06:46.860]  所以我先前才逃往他思去
[00:06:46.860 --> 00:06:50.860]  因為我知道確實祢是有恩典和憐憫的神
[00:06:50.860 --> 00:06:53.860]  不輕易發怒,滿有慈愛
[00:06:53.860 --> 00:06:56.860]  改變心意而不降惡災
[00:06:56.860 --> 00:06:58.860]  現在,上主啊!
[00:06:58.860 --> 00:07:00.860]  祢取去我的性命吧
[00:07:00.860 --> 00:07:02.860]  是否我死比活著好?」
[00:07:02.860 --> 00:07:05.860]  上主說:「你這樣擄擄對嗎?」
[00:07:05.860 --> 00:07:08.860]  約拿在城外與上主對話
[00:07:08.860 --> 00:07:10.860]  約拿從城外出來
[00:07:10.860 --> 00:07:12.860]  在城的東邊坐下
[00:07:12.860 --> 00:07:15.860]  他在那裡為自己造了一個棚
[00:07:15.860 --> 00:07:17.860]  坐在棚的陰下
[00:07:17.860 --> 00:07:19.860]  要看看城裡將發生何事
[00:07:19.860 --> 00:07:22.860]  上主神子派一火披馬
[00:07:22.860 --> 00:07:24.860]  他長起來高過約拿
[00:07:24.860 --> 00:07:26.860]  成為樹蔭
[00:07:26.860 --> 00:07:27.860]  遮蓋他的頭
[00:07:27.860 --> 00:07:29.860]  使他免受苦楚
[00:07:29.860 --> 00:07:32.860]  約拿因披馬而大大歡喜
[00:07:32.860 --> 00:07:34.860]  神子派一條蟲
[00:07:34.860 --> 00:07:36.860]  在第二天黎明
[00:07:36.860 --> 00:07:38.860]  來到時豬蟲、豬食
[00:07:38.860 --> 00:07:40.860]  拿火披馬
[00:07:40.860 --> 00:07:42.860]  披馬就枯萎了
[00:07:42.860 --> 00:07:44.860]  當太陽升起的時候
[00:07:44.860 --> 00:07:46.860]  神子派悶熱的東風
[00:07:46.860 --> 00:07:48.860]  太陽猛曬約拿的頭
[00:07:48.860 --> 00:07:49.860]  使他頭暈
[00:07:49.860 --> 00:07:51.860]  他就自己求死說
[00:07:51.860 --> 00:07:54.860]  「我死比活著好」
[00:07:54.860 --> 00:07:56.860]  神對約拿說
[00:07:56.860 --> 00:07:59.860]  「你因拿火披馬而老老,對嗎?」
[00:07:59.860 --> 00:08:02.860]  「他說我老老以至於死也是對的」
[00:08:02.860 --> 00:08:03.860]  上主說
[00:08:03.860 --> 00:08:05.860]  「你姑息拿火披馬
[00:08:05.860 --> 00:08:07.860]  你沒有為他辛勞
[00:08:07.860 --> 00:08:09.860]  也沒有使他長大
[00:08:09.860 --> 00:08:11.860]  他日夜生存日夜消亡
[00:08:11.860 --> 00:08:12.860]  至於我
[00:08:12.860 --> 00:08:14.860]  難道我不該姑息
[00:08:14.860 --> 00:08:16.860]  你你未這大城嗎?」
[00:08:16.860 --> 00:08:18.860]  城裡有超過十二萬人
[00:08:18.860 --> 00:08:20.860]  不曉得分辨左手與右手
[00:08:20.860 --> 00:08:23.860]  還有很多生畜嗎?
[00:08:23.860 --> 00:08:26.860]  這張聖經我想大家都不陌生
[00:08:26.860 --> 00:08:29.860]  如果我們看這個版本的時候
[00:08:29.860 --> 00:08:31.860]  我們可以留意到有幾個
[00:08:31.860 --> 00:08:33.860]  或者兩個字眼很特別
[00:08:33.860 --> 00:08:34.860]  在第一節
[00:08:34.860 --> 00:08:36.860]  這裡說約拿大為不快
[00:08:36.860 --> 00:08:38.860]  十分老奴
[00:08:38.860 --> 00:08:40.860]  第四節
[00:08:40.860 --> 00:08:41.860]  上主就問他
[00:08:41.860 --> 00:08:44.860]  「你這樣這麼老奴,對嗎?」
[00:08:44.860 --> 00:08:47.860]  去到第九節
[00:08:47.860 --> 00:08:50.860]  上主問約拿
[00:08:50.860 --> 00:08:53.860]  「你因拿火披馬而老老,對嗎?」
[00:08:53.860 --> 00:08:54.860]  約拿說
[00:08:54.860 --> 00:08:57.860]  「我老老以至於死也是對的」
[00:08:57.860 --> 00:08:59.860]  生氣、憤怒
[00:08:59.860 --> 00:09:02.860]  另一個字我想大家都留意
[00:09:02.860 --> 00:09:03.860]  就是在第四節
[00:09:03.860 --> 00:09:05.860]  上主問他
[00:09:05.860 --> 00:09:07.860]  「對嗎?」
[00:09:07.860 --> 00:09:10.860]  去到第九節上主又問
[00:09:10.860 --> 00:09:12.860]  「對嗎?」
[00:09:12.860 --> 00:09:14.860]  第一次上主問約拿
[00:09:14.860 --> 00:09:15.860]  「對嗎?」的時候
[00:09:15.860 --> 00:09:17.860]  約拿沒有回應
[00:09:17.860 --> 00:09:20.860]  但到第九節上主再問約拿的時候
[00:09:20.860 --> 00:09:21.860]  約拿說
[00:09:21.860 --> 00:09:24.860]  「我就算死也是對的」
[00:09:24.860 --> 00:09:26.860]  老老和對
[00:09:26.860 --> 00:09:27.860]  這兩個字
[00:09:27.860 --> 00:09:29.860]  約拿很生氣
[00:09:29.860 --> 00:09:31.860]  他認為他生氣得很對
[00:09:31.860 --> 00:09:33.860]  甚至因為這個緣故
[00:09:33.860 --> 00:09:36.860]  他不能夠接受上主的行事
[00:09:36.860 --> 00:09:38.860]  所以他求死也是對的
[00:09:38.860 --> 00:09:40.860]  其實約拿生氣什麼呢?
[00:09:40.860 --> 00:09:42.860]  當然我們知道
[00:09:42.860 --> 00:09:44.860]  約拿生氣的是尼尼美
[00:09:44.860 --> 00:09:48.860]  因為亞述是以色列的死對頭
[00:09:48.860 --> 00:09:50.860]  殘暴見稱
[00:09:50.860 --> 00:09:52.860]  威脅著以色列的生存
[00:09:52.860 --> 00:09:54.860]  不過我想約拿還會生氣的
[00:09:54.860 --> 00:09:56.860]  並不是真的生氣尼尼美
[00:09:56.860 --> 00:09:58.860]  更加明顯他是生氣上主
[00:09:58.860 --> 00:10:01.860]  派他來向一個
[00:10:01.860 --> 00:10:04.860]  威脅自己民族的國家
[00:10:04.860 --> 00:10:06.860]  宣講悔改的福音
[00:10:06.860 --> 00:10:08.860]  結果還說了一句話
[00:10:08.860 --> 00:10:10.860]  全城悔改
[00:10:10.860 --> 00:10:13.860]  上帝千方百計要約拿去尼尼美
[00:10:13.860 --> 00:10:15.860]  真的好像是幫他
[00:10:15.860 --> 00:10:18.860]  我們叫他做漢奸
[00:10:18.860 --> 00:10:20.860]  逼他做民族的罪人
[00:10:20.860 --> 00:10:22.860]  約拿也說了
[00:10:22.860 --> 00:10:24.860]  在第二節
[00:10:24.860 --> 00:10:26.860]  他說我在本國的時候
[00:10:26.860 --> 00:10:27.860]  我也這樣說
[00:10:27.860 --> 00:10:29.860]  其實我早就知道了
[00:10:29.860 --> 00:10:30.860]  他又說
[00:10:30.860 --> 00:10:31.860]  「你啊 神啊
[00:10:31.860 --> 00:10:33.860]  我知道你確是有恩典和憐憫的神
[00:10:33.860 --> 00:10:35.860]  不輕而發牢 滿有慈愛
[00:10:35.860 --> 00:10:37.860]  改變心意而不幹惡災」
[00:10:37.860 --> 00:10:39.860]  聽起來好像挺好
[00:10:39.860 --> 00:10:41.860]  說得很對
[00:10:41.860 --> 00:10:43.860]  約拿心裡想說什麼呢
[00:10:43.860 --> 00:10:45.860]  就是神早就知道你是這樣
[00:10:45.860 --> 00:10:47.860]  早就知道你不會倒頭來
[00:10:47.860 --> 00:10:49.860]  不會毀滅尼尼美
[00:10:49.860 --> 00:10:51.860]  所以你為什麼派我來呢
[00:10:51.860 --> 00:10:53.860]  他很不高興 生氣神
[00:10:53.860 --> 00:10:55.860]  其實我們想一個問題
[00:10:55.860 --> 00:10:57.860]  神有沒有憤怒呢
[00:10:57.860 --> 00:10:59.860]  在整個約拿書裡
[00:10:59.860 --> 00:11:01.860]  我們看到神似乎很溫柔
[00:11:01.860 --> 00:11:03.860]  當然我們知道
[00:11:03.860 --> 00:11:05.860]  上主當然有憤怒
[00:11:05.860 --> 00:11:07.860]  不過他憤怒的對象是罪
[00:11:07.860 --> 00:11:09.860]  他憤怒的對象是
[00:11:09.860 --> 00:11:11.860]  不憐憫人的心
[00:11:11.860 --> 00:11:13.860]  約拿面對著憤怒
[00:11:13.860 --> 00:11:15.860]  他的反應是什麼呢
[00:11:15.860 --> 00:11:17.860]  第一當然最想尼尼美死光
[00:11:17.860 --> 00:11:19.860]  第二就是
[00:11:19.860 --> 00:11:21.860]  如果尼尼美人不死
[00:11:21.860 --> 00:11:23.860]  仇敵不死
[00:11:23.860 --> 00:11:25.860]  令他生氣的人不死
[00:11:25.860 --> 00:11:27.860]  他說不如我死吧
[00:11:27.860 --> 00:11:29.860]  這就是約拿的反應
[00:11:29.860 --> 00:11:31.860]  消滅令他憤怒的對象
[00:11:31.860 --> 00:11:33.860]  甚至消滅自己
[00:11:33.860 --> 00:11:35.860]  沒有眼睛看了
[00:11:35.860 --> 00:11:37.860]  神問了一個很有趣的問題
[00:11:37.860 --> 00:11:39.860]  對嗎?你這麼憤怒
[00:11:39.860 --> 00:11:41.860]  對嗎?
[00:11:41.860 --> 00:11:43.860]  其實這是一個什麼問題呢
[00:11:43.860 --> 00:11:45.860]  這是一個什麼問題呢
[00:11:45.860 --> 00:11:47.860]  如果回想起來
[00:11:47.860 --> 00:11:49.860]  我就知道
[00:11:49.860 --> 00:11:52.860]  神面對憤怒的方法是什麼呢
[00:11:52.860 --> 00:11:55.860]  當然最終他會審判
[00:11:55.860 --> 00:11:57.860]  不過他要消滅的
[00:11:57.860 --> 00:11:59.860]  首先不是罪人
[00:11:59.860 --> 00:12:01.860]  是令人犯的罪
[00:12:01.860 --> 00:12:03.860]  令人受害的罪
[00:12:03.860 --> 00:12:05.860]  他最終要消滅的是罪
[00:12:05.860 --> 00:12:07.860]  同樣他最終要消滅的是
[00:12:07.860 --> 00:12:09.860]  不憐憫的心
[00:12:09.860 --> 00:12:11.860]  也就是說
[00:12:11.860 --> 00:12:14.860]  他要將他僕人約拿轉化過來
[00:12:14.860 --> 00:12:16.860]  無論如何
[00:12:16.860 --> 00:12:18.860]  神都是千方百計
[00:12:18.860 --> 00:12:20.860]  用盡方法
[00:12:20.860 --> 00:12:22.860]  令人能夠和他同心
[00:12:22.860 --> 00:12:24.860]  就是這樣
[00:12:24.860 --> 00:12:26.860]  當神問約拿你這麼憤怒
[00:12:26.860 --> 00:12:28.860]  對嗎?我想意思不單止是
[00:12:28.860 --> 00:12:30.860]  你發脾氣是錯的
[00:12:30.860 --> 00:12:32.860]  而是其實你憤怒錯了
[00:12:32.860 --> 00:12:36.860]  又或者你面對憤怒對象的方法
[00:12:36.860 --> 00:12:38.860]  是錯的
[00:12:38.860 --> 00:12:40.860]  更加我想一個很重要的
[00:12:40.860 --> 00:12:42.860]  上帝說什麼呢
[00:12:42.860 --> 00:12:44.860]  上帝用那棵披麻來教導約拿
[00:12:44.860 --> 00:12:46.860]  什麼意思呢?
[00:12:46.860 --> 00:12:50.860]  上帝說那棵披麻不是你種的
[00:12:50.860 --> 00:12:52.860]  不是你來挑罐的
[00:12:52.860 --> 00:12:54.860]  它一天生成一天死亡
[00:12:54.860 --> 00:12:56.860]  你都覺得這麼不開心
[00:12:56.860 --> 00:12:58.860]  在第十節
[00:12:58.860 --> 00:13:00.860]  上帝說
[00:13:00.860 --> 00:13:02.860]  你沒有為它生老
[00:13:02.860 --> 00:13:04.860]  也沒有視它長大
[00:13:04.860 --> 00:13:06.860]  它一夜生存一夜消亡
[00:13:06.860 --> 00:13:08.860]  嚴格上來說
[00:13:08.860 --> 00:13:10.860]  上帝說其實與你何干呢?
[00:13:10.860 --> 00:13:12.860]  但在第十一節上帝說
[00:13:12.860 --> 00:13:14.860]  至於我
[00:13:14.860 --> 00:13:16.860]  難道我不應該顧惜離離微成
[00:13:16.860 --> 00:13:18.860]  這個大城裏面
[00:13:18.860 --> 00:13:20.860]  不能分左右手
[00:13:20.860 --> 00:13:22.860]  大家知道吧,嬰兒,十二萬
[00:13:22.860 --> 00:13:24.860]  所以整個城數起來
[00:13:24.860 --> 00:13:26.860]  加上大人,加上生畜
[00:13:26.860 --> 00:13:28.860]  有多少的活口呢?
[00:13:28.860 --> 00:13:30.860]  上帝說這些是我創造的
[00:13:30.860 --> 00:13:32.860]  那棵樹不是你種的
[00:13:32.860 --> 00:13:34.860]  不是你挑罐的
[00:13:34.860 --> 00:13:36.860]  它生成消亡你都這麼緊張
[00:13:36.860 --> 00:13:38.860]  更何況
[00:13:38.860 --> 00:13:40.860]  離離微成裏面的人和生畜
[00:13:40.860 --> 00:13:42.860]  我是創造著
[00:13:42.860 --> 00:13:44.860]  所以你生氣
[00:13:44.860 --> 00:13:46.860]  你生氣對不對呢?
[00:13:46.860 --> 00:13:48.860]  我想這個對抹的問題
[00:13:48.860 --> 00:13:50.860]  就是要約拿想想
[00:13:50.860 --> 00:13:52.860]  其實
[00:13:52.860 --> 00:13:54.860]  誰才是真正的審判主
[00:13:54.860 --> 00:13:56.860]  誰才是真正有權
[00:13:56.860 --> 00:13:58.860]  去審判
[00:13:58.860 --> 00:14:00.860]  就是這樣
[00:14:00.860 --> 00:14:02.860]  回看約拿書的時候
[00:14:02.860 --> 00:14:04.860]  我們在當中有幾個
[00:14:04.860 --> 00:14:06.860]  很重要的學習
[00:14:06.860 --> 00:14:08.860]  求主幫我們
[00:14:08.860 --> 00:14:10.860]  求主幫我們
[00:14:10.860 --> 00:14:12.860]  我們見到上主是聖潔公義
[00:14:12.860 --> 00:14:14.860]  但他都是私慈愛憐憫
[00:14:14.860 --> 00:14:16.860]  我們對於這位神
[00:14:16.860 --> 00:14:18.860]  我們頭腦上知道
[00:14:18.860 --> 00:14:20.860]  但到底我們心裏
[00:14:20.860 --> 00:14:22.860]  是否和神
[00:14:22.860 --> 00:14:24.860]  對齊呢?
[00:14:24.860 --> 00:14:26.860]  我們見到上主對約拿
[00:14:26.860 --> 00:14:28.860]  用很多方法
[00:14:28.860 --> 00:14:30.860]  讓他能夠明白上主的心
[00:14:30.860 --> 00:14:32.860]  在整個的學習裏面
[00:14:32.860 --> 00:14:34.860]  我體會
[00:14:34.860 --> 00:14:36.860]  就是約拿是一個
[00:14:36.860 --> 00:14:38.860]  很成功的先知
[00:14:38.860 --> 00:14:40.860]  他一句說話就令到整個離離微成
[00:14:40.860 --> 00:14:42.860]  右上之下的人悔改
[00:14:42.860 --> 00:14:44.860]  非常有成果
[00:14:44.860 --> 00:14:46.860]  問題是一個這麼成功的先知
[00:14:46.860 --> 00:14:48.860]  他也認識神
[00:14:48.860 --> 00:14:50.860]  不過他的心
[00:14:50.860 --> 00:14:52.860]  有沒有和神對齊呢?
[00:14:52.860 --> 00:14:54.860]  這就是我反省的一個地方
[00:14:54.860 --> 00:14:56.860]  我想我們當然很重視
[00:14:56.860 --> 00:14:58.860]  事公的成果
[00:14:58.860 --> 00:15:00.860]  這是對的
[00:15:00.860 --> 00:15:02.860]  但我是否同樣重視
[00:15:02.860 --> 00:15:04.860]  人呢?
[00:15:04.860 --> 00:15:06.860]  更深的就是
[00:15:06.860 --> 00:15:08.860]  我的心是否和上主的心
[00:15:08.860 --> 00:15:10.860]  接近甚至對齊
[00:15:10.860 --> 00:15:12.860]  我們見到上主是公義
[00:15:12.860 --> 00:15:14.860]  但同樣他是溫柔慈悲
[00:15:14.860 --> 00:15:16.860]  他用很多方法
[00:15:16.860 --> 00:15:18.860]  希望他的僕人
[00:15:18.860 --> 00:15:20.860]  服侍他的人
[00:15:20.860 --> 00:15:22.860]  不單止做到他要做的事
[00:15:22.860 --> 00:15:24.860]  更加和他心對齊
[00:15:24.860 --> 00:15:26.860]  其實亭姐妹
[00:15:26.860 --> 00:15:28.860]  老實說我們也明白
[00:15:28.860 --> 00:15:30.860]  我們也聽過不少人這樣說
[00:15:30.860 --> 00:15:32.860]  其實神如果做到他要做的事
[00:15:32.860 --> 00:15:34.860]  何必我們呢?
[00:15:34.860 --> 00:15:36.860]  他創造世界的時候
[00:15:36.860 --> 00:15:38.860]  我們有誰在呢?沒有
[00:15:38.860 --> 00:15:40.860]  他成就一切其實不用靠我們
[00:15:40.860 --> 00:15:42.860]  但為何要我們拭目以待呢?
[00:15:42.860 --> 00:15:44.860]  說到底就是要我們的心和他對齊
[00:15:44.860 --> 00:15:46.860]  讓我們可以貼近他
[00:15:46.860 --> 00:15:48.860]  讓我們可以和他心連心
[00:15:48.860 --> 00:15:50.860]  我們就問一個問題
[00:15:50.860 --> 00:15:52.860]  到底到頭來
[00:15:52.860 --> 00:15:54.860]  若拿有沒有和神對齊呢?
[00:15:54.860 --> 00:15:56.860]  若拿的心有沒有被轉化過來呢?
[00:15:56.860 --> 00:15:58.860]  我們見到利利微微
[00:15:58.860 --> 00:16:00.860]  沒錯他們悔改了
[00:16:00.860 --> 00:16:02.860]  神做到他要做的事
[00:16:02.860 --> 00:16:04.860]  那若拿呢?若拿有沒有
[00:16:04.860 --> 00:16:06.860]  真是和神的心對齊呢?
[00:16:06.860 --> 00:16:08.860]  這個問題很有趣
[00:16:08.860 --> 00:16:10.860]  若拿書很有趣
[00:16:10.860 --> 00:16:12.860]  四章書裏面最後結束
[00:16:12.860 --> 00:16:14.860]  是沒有答案的
[00:16:14.860 --> 00:16:16.860]  十文章的問題就完結了
[00:16:16.860 --> 00:16:18.860]  若拿有什麼反應呢?沒有
[00:16:18.860 --> 00:16:20.860]  但如果我們想深一層就知道
[00:16:20.860 --> 00:16:21.860]  很特別
[00:16:21.860 --> 00:16:23.860]  若拿書是誰寫的呢?
[00:16:23.860 --> 00:16:25.860]  若拿在餘福裏面的
[00:16:25.860 --> 00:16:27.860]  懺悔祈禱
[00:16:27.860 --> 00:16:29.860]  其實是誰聽到的呢?
[00:16:29.860 --> 00:16:31.860]  若拿在第四章
[00:16:31.860 --> 00:16:33.860]  在山上和神的強烈對話
[00:16:33.860 --> 00:16:35.860]  發脾氣的對話
[00:16:35.860 --> 00:16:37.860]  其實是誰知道的呢?
[00:16:37.860 --> 00:16:39.860]  當然我們想到的
[00:16:39.860 --> 00:16:41.860]  當然是若拿自己知道的
[00:16:41.860 --> 00:16:43.860]  所以很有可能
[00:16:43.860 --> 00:16:45.860]  若拿書根本就是
[00:16:45.860 --> 00:16:47.860]  若拿自己寫出來的
[00:16:47.860 --> 00:16:49.860]  就算不是他也會
[00:16:49.860 --> 00:16:51.860]  覆述給人聽
[00:16:51.860 --> 00:16:53.860]  我就想到一個很有趣的結果
[00:16:53.860 --> 00:16:55.860]  即是說若拿
[00:16:55.860 --> 00:16:57.860]  他真的轉變了過來
[00:16:57.860 --> 00:16:59.860]  他明白了過來,他悔改了
[00:16:59.860 --> 00:17:01.860]  所以他才將他的遭遇寫下
[00:17:01.860 --> 00:17:03.860]  不過不單止這樣
[00:17:03.860 --> 00:17:05.860]  原來在考古裏面
[00:17:05.860 --> 00:17:07.860]  有些發現很有趣
[00:17:07.860 --> 00:17:09.860]  新聞說的
[00:17:09.860 --> 00:17:11.860]  不是我說的
[00:17:11.860 --> 00:17:13.860]  是在2014年
[00:17:13.860 --> 00:17:15.860]  當時的伊斯蘭國
[00:17:15.860 --> 00:17:17.860]  在摩蘇爾的地方
[00:17:17.860 --> 00:17:19.860]  即是以前尼尼尼姓的地方
[00:17:19.860 --> 00:17:21.860]  在那裏炸了
[00:17:21.860 --> 00:17:23.860]  先知若拿的墳墓
[00:17:23.860 --> 00:17:25.860]  這樣就有趣了
[00:17:25.860 --> 00:17:27.860]  原來若拿他死了
[00:17:27.860 --> 00:17:29.860]  死了在尼尼尼
[00:17:29.860 --> 00:17:31.860]  沒有回到以色列
[00:17:31.860 --> 00:17:33.860]  我們就知道
[00:17:33.860 --> 00:17:35.860]  原來若拿他明白了過來之後
[00:17:35.860 --> 00:17:37.860]  他停留了,一直直至
[00:17:37.860 --> 00:17:39.860]  他生命結束,都在尼尼尼
[00:17:39.860 --> 00:17:41.860]  我們可以想像一下
[00:17:41.860 --> 00:17:43.860]  一個先知,一個那麼成功
[00:17:43.860 --> 00:17:45.860]  那麼認識神的先知
[00:17:45.860 --> 00:17:49.860]  一個那麼有猶太傳統背景的先知
[00:17:49.860 --> 00:17:51.860]  如果他要留在尼尼尼
[00:17:51.860 --> 00:17:53.860]  他每天看到的
[00:17:53.860 --> 00:17:55.860]  是他以前恨之入骨的受敵
[00:17:55.860 --> 00:17:57.860]  不過現在悔改了
[00:17:57.860 --> 00:17:59.860]  他要在那裏生活直至死亡
[00:17:59.860 --> 00:18:01.860]  你想想他每天要打破
[00:18:01.860 --> 00:18:03.860]  多少他的
[00:18:03.860 --> 00:18:05.860]  宗教的禁忌
[00:18:05.860 --> 00:18:07.860]  那些傳統
[00:18:07.860 --> 00:18:10.860]  我們看到若拿是整個改變過來的
[00:18:10.860 --> 00:18:12.860]  他和神的心是對齊的
[00:18:12.860 --> 00:18:14.860]  所以弟兄姐妹求主憐憫我們
[00:18:14.860 --> 00:18:17.860]  今天我們在侍奉過程裏面
